Orthogroup	A_vesiculosa.proteins	V_vinifera.proteins
OG0000032	Av_00017613-RA, Av_00005837-RA	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1
OG0000034	Av_00010139-RA	VIT_200s0532g00070.1
OG0000034	Av_00014124-RA, Av_00014125-RA	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1
OG0000034	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1
OG0000037	Av_00005925-RA	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1
OG0000038	Av_00017653-RA	VIT_219s0015g00070.1, VIT_217s0000g09550.1
OG0000040	Av_00004970-RA	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	VIT_204s0023g03710.1, VIT_203s0038g02310.1
OG0000041	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1
OG0000041	Av_00023746-RA, Av_00022768-RA	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1
OG0000041	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	VIT_211s0016g01300.1, VIT_209s0002g01400.1
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	VIT_208s0007g07230.1
OG0000042	Av_00019089-RA	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4
OG0000042	Av_00009478-RA, Av_00008427-RA	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	VIT_204s0023g01430.1
OG0000044	Av_00012555-RA, Av_00002870-RA	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	VIT_209s0002g02300.1, VIT_204s0008g01160.1
OG0000044	Av_00002322-RA, Av_00009708-RA	VIT_200s0179g00170.1
OG0000046	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA	VIT_203s0063g02440.1
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	VIT_211s0016g03880.1
OG0000046	Av_00009129-RA, Av_00005749-RA	VIT_214s0083g00330.3, VIT_214s0083g00330.1
OG0000046	Av_00024073-RA, Av_00006807-RA	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3
OG0000047	Av_00021683-RA	VIT_207s0031g01140.1
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1
OG0000047	Av_00021866-RA	VIT_203s0097g00160.2, VIT_203s0097g00160.1, VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4
OG0000047	Av_00011450-RA, Av_00000054-RA	VIT_215s0048g01240.1
OG0000047	Av_00015234-RA, Av_00010903-RA	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1
OG0000047	Av_00011809-RA	VIT_212s0059g02675.1
OG0000050	Av_00009969-RA, Av_00012807-RA, Av_00021668-RA	VIT_216s0098g01340.1
OG0000050	Av_00018938-RA	VIT_209s0054g01090.1
OG0000055	Av_00002758-RA	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	VIT_205s0020g01770.1
OG0000055	Av_00017818-RA	VIT_207s0005g06450.1
OG0000055	Av_00024743-RA, Av_00019729-RA	VIT_219s0014g00940.1, VIT_219s0090g00030.1
OG0000055	Av_00008958-RA	VIT_210s0116g00850.1
OG0000055	Av_00016413-RA, Av_00013445-RA	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1, VIT_206s0004g03670.1
OG0000058	Av_00008430-RA	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1
OG0000058	Av_00002928-RA	VIT_208s0007g03650.1
OG0000059	Av_00013645-RA	VIT_218s0041g00030.1
OG0000060	Av_00019407-RA, Av_00013026-RA, Av_00002915-RA, Av_00025088-RA, Av_00009650-RA	VIT_203s0110g00150.1
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	VIT_212s0028g01830.1, VIT_212s0028g01840.1
OG0000065	Av_00001967-RA	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2
OG0000067	Av_00002873-RA, Av_00024311-RA, Av_00023884-RA, Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	VIT_204s0044g00580.1
OG0000070	Av_00000389-RA	VIT_212s0178g00200.4
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3
OG0000071	Av_00011182-RA, Av_00001686-RA	VIT_217s0000g09810.1, VIT_214s0219g00230.2, VIT_214s0219g00230.1
OG0000071	Av_00021173-RA	VIT_208s0007g04820.1
OG0000071	Av_00011924-RA	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	VIT_205s0051g00590.1
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	VIT_207s0005g05520.4, VIT_207s0005g05520.1
OG0000071	Av_00002646-RA, Av_00005357-RA	VIT_201s0137g00240.2, VIT_201s0137g00240.1
OG0000072	Av_00013714-RA, Av_00000367-RA	VIT_200s2837g00010.1
OG0000072	Av_00011117-RA	VIT_206s0004g01710.1, VIT_206s0004g01690.1, VIT_218s0072g00800.1, VIT_204s0044g00560.1, VIT_213s0064g01340.1
OG0000077	Av_00007275-RA	VIT_203s0038g02050.1
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	VIT_206s0061g00475.1, VIT_207s0005g05300.1, VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1
OG0000079	Av_00009274-RA	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1
OG0000085	Av_00009790-RA, Av_00008760-RA	VIT_211s0016g01060.1
OG0000085	Av_00021920-RA, Av_00004097-RA	VIT_209s0002g01110.1
OG0000085	Av_00005421-RA, Av_00002984-RA	VIT_208s0056g00150.1
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	VIT_211s0065g00470.2, VIT_211s0065g00470.1
OG0000085	Av_00018975-RA	VIT_206s0004g00220.2, VIT_206s0004g00220.1
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	VIT_208s0007g05390.1
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	VIT_201s0026g00940.1
OG0000088	Av_00002335-RA, Av_00019465-RA	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1
OG0000088	Av_00003725-RA	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1
OG0000089	Av_00007975-RA	VIT_211s0016g04590.1
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7
OG0000090	Av_00014172-RA, Av_00010636-RA	VIT_200s0780g00040.1
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3
OG0000091	Av_00024182-RA, Av_00022189-RA	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1
OG0000091	Av_00011058-RA, Av_00016851-RA	VIT_211s0052g01250.1
OG0000091	Av_00004488-RA	VIT_211s0052g01230.1
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1
OG0000092	Av_00005802-RA	VIT_219s0027g00830.1
OG0000092	Av_00002090-RA	VIT_213s0084g00060.1
OG0000093	Av_00008996-RA, Av_00019964-RA, Av_00006037-RA	VIT_213s0064g01740.1
OG0000095	Av_00016560-RA	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3
OG0000095	Av_00022745-RA, Av_00014819-RA	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4
OG0000095	Av_00015892-RA, Av_00013399-RA	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6
OG0000096	Av_00015889-RA	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1
OG0000096	Av_00006885-RA, Av_00009973-RA	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1
OG0000097	Av_00021109-RA	VIT_203s0017g00090.1, VIT_212s0057g00745.1, VIT_209s0096g01010.1, VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1, VIT_212s0057g00820.1, VIT_216s0013g01710.1
OG0000098	Av_00009967-RA	VIT_218s0001g14360.1
OG0000098	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA	VIT_210s0003g05320.1
OG0000098	Av_00020806-RA, Av_00006102-RA	VIT_202s0025g03540.1, VIT_217s0000g02450.1
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1
OG0000098	Av_00006162-RA, Av_00008431-RA	VIT_216s0050g00380.1
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	VIT_202s0025g03680.1
OG0000102	Av_00005016-RA, Av_00021401-RA, Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3
OG0000103	Av_00007835-RA, Av_00000217-RA	VIT_219s0027g00390.1
OG0000103	Av_00018171-RA	VIT_219s0014g01530.3, VIT_219s0014g01530.1, VIT_219s0014g01530.2, VIT_215s0024g01320.1
OG0000104	Av_00018015-RA	VIT_208s0007g02700.1
OG0000104	Av_00015686-RA	VIT_208s0007g02710.1
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA, Av_00003052-RA, Av_00015716-RA	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	VIT_208s0007g03600.1, VIT_208s0007g03600.2
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1
OG0000107	Av_00000247-RA, Av_00006353-RA	VIT_201s0011g04180.1
OG0000107	Av_00007784-RA	VIT_214s0006g02480.3, VIT_214s0006g02480.2, VIT_214s0006g02480.1, VIT_214s0006g02480.4, VIT_214s0006g02480.6, VIT_214s0006g02480.5
OG0000108	Av_00010829-RA, Av_00005367-RA	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1
OG0000108	Av_00003730-RA	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1
OG0000109	Av_00018758-RA, Av_00008820-RA	VIT_203s0038g00700.1
OG0000109	Av_00021187-RA, Av_00001943-RA	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1
OG0000109	Av_00011101-RA, Av_00009901-RA	VIT_218s0001g13580.1
OG0000110	Av_00020501-RA, Av_00008377-RA	VIT_218s0122g00420.1, VIT_218s0122g00520.1
OG0000110	Av_00008370-RA	VIT_218s0122g00370.1
OG0000110	Av_00011529-RA	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA, Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA, Av_00018535-RA, Av_00024096-RA	VIT_219s0027g00800.1
OG0000112	Av_00022329-RA	VIT_214s0108g00960.1
OG0000113	Av_00023507-RA	VIT_204s0008g05640.1
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	VIT_212s0035g02000.1, VIT_202s0154g00320.1
OG0000114	Av_00003668-RA, Av_00015326-RA	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1
OG0000115	Av_00020146-RA	VIT_208s0040g00710.1, VIT_208s0040g00715.1
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	VIT_206s0004g03890.1
OG0000118	Av_00017992-RA, Av_00017242-RA	VIT_219s0015g01190.1
OG0000118	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	VIT_202s0025g01050.1
OG0000120	Av_00014461-RA, Av_00022346-RA	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3
OG0000120	Av_00021880-RA	VIT_208s0007g06140.1
OG0000120	Av_00022290-RA	VIT_213s0064g01380.1
OG0000120	Av_00020803-RA	VIT_215s0046g03030.1, VIT_215s0046g03030.2
OG0000121	Av_00021066-RA	VIT_214s0036g01040.1, VIT_214s0036g01050.1, VIT_201s0011g00800.1, VIT_206s0009g00800.1
OG0000121	Av_00013289-RA	VIT_206s0009g00810.1, VIT_206s0009g00810.5, VIT_206s0009g00810.2, VIT_206s0009g00810.6, VIT_206s0009g00810.4, VIT_206s0009g00810.3
OG0000122	Av_00015420-RA	VIT_211s0037g01170.1
OG0000122	Av_00015160-RA, Av_00024373-RA	VIT_218s0001g08620.1
OG0000123	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA	VIT_216s0100g00750.1, VIT_216s0100g01170.3, VIT_216s0100g01170.4, VIT_216s0100g01170.1, VIT_216s0100g01160.1, VIT_216s0100g01070.1, VIT_210s0042g00920.1, VIT_210s0042g00930.1, VIT_216s0100g00780.1, VIT_216s0100g00910.1, VIT_216s0100g00830.1, VIT_216s0100g01150.1, VIT_216s0100g01120.1, VIT_216s0100g01140.1, VIT_216s0100g01170.2, VIT_216s0100g01020.2, VIT_216s0100g00770.1, VIT_216s0100g00990.1, VIT_216s0100g01010.1, VIT_216s0100g01020.3, VIT_216s0100g00900.1, VIT_216s0100g00930.1, VIT_216s0100g00880.1, VIT_216s0100g01020.1, VIT_216s0100g01000.1, VIT_216s0100g01040.1, VIT_216s0100g00920.1, VIT_216s0100g00840.1, VIT_216s0100g00940.1, VIT_216s0100g00850.1
OG0000123	Av_00020305-RA, Av_00003479-RA, Av_00006755-RA, Av_00023019-RA	VIT_205s0136g00260.1
OG0000124	Av_00010170-RA	VIT_203s0063g00820.1
OG0000125	Av_00006820-RA	VIT_207s0104g00830.1
OG0000125	Av_00020356-RA	VIT_214s0030g00210.1, VIT_214s0030g00210.3, VIT_214s0030g00210.2
OG0000125	Av_00016779-RA	VIT_214s0030g00320.1, VIT_214s0030g00200.1, VIT_214s0030g00230.1, VIT_214s0030g00230.2, VIT_214s0030g00240.1, VIT_214s0030g00260.1, VIT_214s0030g00280.1, VIT_214s0030g00250.1
OG0000127	Av_00014440-RA, Av_00001249-RA, Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	VIT_207s0104g01340.1
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	VIT_204s0043g00980.1
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	VIT_204s0069g00010.1, VIT_204s0069g00540.2, VIT_204s0069g00610.1, VIT_204s0069g00550.1, VIT_204s0069g00170.1, VIT_204s0069g00330.1, VIT_204s0069g00540.3, VIT_204s0069g00540.1, VIT_204s0069g00720.1, VIT_204s0069g00260.1, VIT_204s0069g00200.1, VIT_204s0069g00380.1, VIT_204s0069g00375.1, VIT_204s0069g00230.1, VIT_204s0069g00560.1, VIT_204s0069g00670.1, VIT_204s0069g00060.1, VIT_204s0069g00390.1, VIT_204s0069g00620.1, VIT_211s0052g00985.1, VIT_211s0052g01020.1, VIT_211s0052g01020.4, VIT_211s0052g01020.2, VIT_211s0052g01020.3
OG0000131	Av_00008767-RA	VIT_209s0002g01320.1, VIT_218s0086g00410.1, VIT_207s0005g05920.1, VIT_207s0005g05910.1, VIT_207s0005g05930.1, VIT_207s0005g05985.1, VIT_212s0059g00740.1, VIT_218s0086g00590.1, VIT_209s0002g01330.1, VIT_209s0002g01340.1
OG0000134	Av_00001044-RA, Av_00022546-RA, Av_00018234-RA	VIT_218s0001g10930.1, VIT_218s0001g10910.1, VIT_218s0001g10870.1, VIT_218s0001g10870.2, VIT_218s0001g10830.1, VIT_218s0001g10830.2, VIT_218s0001g10830.3, VIT_218s0001g10940.1, VIT_218s0001g10970.1, VIT_218s0001g10950.1, VIT_218s0001g11010.3, VIT_218s0001g11010.1, VIT_218s0001g11010.2, VIT_218s0001g10880.1, VIT_218s0001g10920.1
OG0000135	Av_00023049-RA	VIT_204s0008g01360.1
OG0000135	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA	VIT_209s0054g01060.1
OG0000135	Av_00017962-RA, Av_00001097-RA	VIT_211s0065g00390.1
OG0000136	Av_00023894-RA, Av_00014249-RA, Av_00022366-RA	VIT_204s0023g03860.3, VIT_204s0023g03860.1, VIT_204s0023g03860.2
