Orthogroup	A_vesiculosa.proteins	L_sativa.proteins
OG0000022	Av_00004844-RA	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1
OG0000022	Av_00010967-RA	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3
OG0000023	Av_00004265-RA	Lsat_1_v5_gn_5_78901.2, Lsat_1_v5_gn_5_109840.2, Lsat_1_v5_gn_5_62800.4, Lsat_1_v5_gn_5_62800.3, Lsat_1_v5_gn_0_39321.3, Lsat_1_v5_gn_0_39321.1, Lsat_1_v5_gn_0_39321.2
OG0000024	Av_00007869-RA	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1
OG0000024	Av_00004852-RA	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2
OG0000025	Av_00009754-RA	Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10
OG0000025	Av_00000980-RA, Av_00012375-RA	Lsat_1_v5_gn_3_45161.1
OG0000025	Av_00008813-RA	Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2
OG0000027	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA	Lsat_1_v5_gn_5_85480.2
OG0000027	Av_00009069-RA	Lsat_1_v5_gn_1_31841.2
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA, Av_00011314-RA, Av_00014202-RA, Av_00009276-RA	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3
OG0000029	Av_00007061-RA	Lsat_1_v5_gn_0_37361.2, Lsat_1_v5_gn_0_37361.1, Lsat_1_v5_gn_5_52120.1, Lsat_1_v5_gn_9_35121.4
OG0000029	Av_00016651-RA	Lsat_1_v5_gn_9_35021.5
OG0000029	Av_00023395-RA	Lsat_1_v5_gn_5_150741.1, Lsat_1_v5_gn_8_101081.1, Lsat_1_v5_gn_8_101081.3, Lsat_1_v5_gn_8_101061.3, Lsat_1_v5_gn_8_101061.1, Lsat_1_v5_gn_8_101161.1, Lsat_1_v5_gn_8_101161.3, Lsat_1_v5_gn_8_101181.1, Lsat_1_v5_gn_8_101181.2
OG0000031	Av_00023880-RA	Lsat_1_v5_gn_3_75880.1
OG0000032	Av_00017613-RA, Av_00005837-RA	Lsat_1_v5_gn_9_107401.1
OG0000034	Av_00014124-RA, Av_00014125-RA	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1
OG0000037	Av_00004452-RA, Av_00001047-RA	Lsat_1_v5_gn_6_113241.1, Lsat_1_v5_gn_6_113241.3, Lsat_1_v5_gn_6_113301.1, Lsat_1_v5_gn_6_113301.2, Lsat_1_v5_gn_6_113220.1, Lsat_1_v5_gn_6_113220.3
OG0000037	Av_00005925-RA	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1
OG0000038	Av_00017653-RA	Lsat_1_v5_gn_1_70980.4
OG0000040	Av_00004970-RA	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1
OG0000041	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	Lsat_1_v5_gn_8_43460.1
OG0000041	Av_00023746-RA, Av_00022768-RA	Lsat_1_v5_gn_6_114481.1
OG0000041	Av_00021262-RA, Av_00001083-RA, Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	Lsat_1_v5_gn_7_35020.1
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	Lsat_1_v5_gn_6_53661.1
OG0000042	Av_00019089-RA	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3
OG0000042	Av_00009478-RA, Av_00008427-RA	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	Lsat_1_v5_gn_2_76741.1
OG0000044	Av_00012555-RA, Av_00002870-RA	Lsat_1_v5_gn_2_98240.1, Lsat_1_v5_gn_6_46760.1, Lsat_1_v5_gn_2_109221.1
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	Lsat_1_v5_gn_6_14101.1
OG0000044	Av_00002322-RA, Av_00009708-RA	Lsat_1_v5_gn_5_185501.1
OG0000046	Av_00004429-RA, Av_00012280-RA	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1
OG0000046	Av_00002747-RA, Av_00016996-RA	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1
OG0000046	Av_00009129-RA, Av_00005749-RA	Lsat_1_v5_gn_2_86540.1
OG0000047	Av_00021683-RA	Lsat_1_v5_gn_6_109820.1
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA	Lsat_1_v5_gn_4_108241.3, Lsat_1_v5_gn_9_75300.1, Lsat_1_v5_gn_9_75300.3
OG0000047	Av_00021866-RA	Lsat_1_v5_gn_7_84161.1, Lsat_1_v5_gn_6_107221.5, Lsat_1_v5_gn_5_109681.1, Lsat_1_v5_gn_5_111061.1, Lsat_1_v5_gn_1_102361.1
OG0000047	Av_00024227-RA	Lsat_1_v5_gn_0_36361.1, Lsat_1_v5_gn_8_35560.3, Lsat_1_v5_gn_8_35560.2, Lsat_1_v5_gn_8_35560.1
OG0000048	Av_00020140-RA	Lsat_1_v5_gn_1_73001.1
OG0000048	Av_00010433-RA, Av_00019438-RA	Lsat_1_v5_gn_1_72560.1, Lsat_1_v5_gn_1_72560.3, Lsat_1_v5_gn_1_72560.2, Lsat_1_v5_gn_1_72901.1, Lsat_1_v5_gn_1_72901.3, Lsat_1_v5_gn_1_72740.2, Lsat_1_v5_gn_1_72740.1, Lsat_1_v5_gn_1_72700.1, Lsat_1_v5_gn_1_72640.1, Lsat_1_v5_gn_1_72640.2, Lsat_1_v5_gn_1_72600.3, Lsat_1_v5_gn_1_72600.1, Lsat_1_v5_gn_1_72901.2, Lsat_1_v5_gn_1_72921.2, Lsat_1_v5_gn_1_72921.1, Lsat_1_v5_gn_1_72941.3, Lsat_1_v5_gn_1_72941.2, Lsat_1_v5_gn_1_72941.1, Lsat_1_v5_gn_1_72961.3, Lsat_1_v5_gn_1_72961.2, Lsat_1_v5_gn_1_72961.1, Lsat_1_v5_gn_1_82001.1, Lsat_1_v5_gn_1_82001.3, Lsat_1_v5_gn_1_82001.2, Lsat_1_v5_gn_9_39161.2, Lsat_1_v5_gn_9_39161.3, Lsat_1_v5_gn_9_39161.1, Lsat_1_v5_gn_9_39240.3, Lsat_1_v5_gn_9_39240.2, Lsat_1_v5_gn_9_39240.1, Lsat_1_v5_gn_9_38580.3, Lsat_1_v5_gn_9_38580.2, Lsat_1_v5_gn_9_38580.1
OG0000055	Av_00002758-RA	Lsat_1_v5_gn_4_2160.1, Lsat_1_v5_gn_3_31781.1
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	Lsat_1_v5_gn_3_25860.1, Lsat_1_v5_gn_3_25860.2
OG0000055	Av_00017818-RA	Lsat_1_v5_gn_5_180201.2, Lsat_1_v5_gn_5_180201.1, Lsat_1_v5_gn_5_180201.3
OG0000055	Av_00024743-RA, Av_00019729-RA	Lsat_1_v5_gn_9_94201.1, Lsat_1_v5_gn_9_94201.3
OG0000055	Av_00008958-RA	Lsat_1_v5_gn_7_17361.1
OG0000055	Av_00016413-RA, Av_00013445-RA	Lsat_1_v5_gn_2_110100.1, Lsat_1_v5_gn_2_110100.3, Lsat_1_v5_gn_2_115401.1, Lsat_1_v5_gn_2_115401.2, Lsat_1_v5_gn_5_166160.1, Lsat_1_v5_gn_9_21141.1
OG0000058	Av_00008430-RA	Lsat_1_v5_gn_4_12580.1, Lsat_1_v5_gn_4_7680.1, Lsat_1_v5_gn_4_7680.2
OG0000058	Av_00002928-RA	Lsat_1_v5_gn_6_66300.5, Lsat_1_v5_gn_6_66300.3, Lsat_1_v5_gn_6_66300.4
OG0000059	Av_00013645-RA	Lsat_1_v5_gn_0_45160.1
OG0000063	Av_00005674-RA	Lsat_1_v5_gn_5_175381.2
OG0000064	Av_00024276-RA	Lsat_1_v5_gn_1_19000.1
OG0000065	Av_00001967-RA	Lsat_1_v5_gn_8_81940.1, Lsat_1_v5_gn_8_81940.3, Lsat_1_v5_gn_8_81960.1, Lsat_1_v5_gn_8_83441.2, Lsat_1_v5_gn_8_83441.1, Lsat_1_v5_gn_8_83421.1, Lsat_1_v5_gn_8_83421.2, Lsat_1_v5_gn_8_84381.1, Lsat_1_v5_gn_8_81760.2, Lsat_1_v5_gn_8_81700.2, Lsat_1_v5_gn_8_81760.1, Lsat_1_v5_gn_8_81700.1, Lsat_1_v5_gn_8_81880.1, Lsat_1_v5_gn_8_81880.2, Lsat_1_v5_gn_8_81900.1, Lsat_1_v5_gn_8_81900.3
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	Lsat_1_v5_gn_5_42480.1, Lsat_1_v5_gn_5_42480.3, Lsat_1_v5_gn_8_116260.1
OG0000071	Av_00011182-RA, Av_00001686-RA	Lsat_1_v5_gn_5_12880.1, Lsat_1_v5_gn_2_94200.1, Lsat_1_v5_gn_2_93361.1
OG0000071	Av_00021173-RA	Lsat_1_v5_gn_6_28301.3
OG0000071	Av_00011924-RA	Lsat_1_v5_gn_2_111980.3, Lsat_1_v5_gn_2_111980.1, Lsat_1_v5_gn_9_71760.3, Lsat_1_v5_gn_9_71760.1
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	Lsat_1_v5_gn_2_43400.1, Lsat_1_v5_gn_0_4881.2, Lsat_1_v5_gn_0_4881.1
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	Lsat_1_v5_gn_8_90220.1, Lsat_1_v5_gn_9_12800.1
OG0000071	Av_00018793-RA	Lsat_1_v5_gn_6_62560.2
OG0000071	Av_00002235-RA	Lsat_1_v5_gn_6_62560.4
OG0000071	Av_00002646-RA, Av_00005357-RA	Lsat_1_v5_gn_8_154380.2, Lsat_1_v5_gn_8_154380.1
OG0000072	Av_00013714-RA, Av_00000367-RA	Lsat_1_v5_gn_9_73101.1
OG0000072	Av_00011117-RA	Lsat_1_v5_gn_6_81961.1, Lsat_1_v5_gn_6_48681.1, Lsat_1_v5_gn_6_104521.1, Lsat_1_v5_gn_6_99580.1, Lsat_1_v5_gn_7_10540.1, Lsat_1_v5_gn_1_9380.1, Lsat_1_v5_gn_5_89880.1, Lsat_1_v5_gn_6_48701.3, Lsat_1_v5_gn_6_48701.1, Lsat_1_v5_gn_6_48681.3, Lsat_1_v5_gn_1_67140.3, Lsat_1_v5_gn_6_48701.6, Lsat_1_v5_gn_6_99500.1, Lsat_1_v5_gn_1_67140.1, Lsat_1_v5_gn_6_48661.1, Lsat_1_v5_gn_6_41341.1, Lsat_1_v5_gn_6_99560.2, Lsat_1_v5_gn_6_48681.2, Lsat_1_v5_gn_6_99480.1, Lsat_1_v5_gn_6_99380.1
OG0000075	Av_00024003-RA	Lsat_1_v5_gn_4_44341.1, Lsat_1_v5_gn_7_11420.1
OG0000077	Av_00007275-RA	Lsat_1_v5_gn_8_126040.1
OG0000078	Av_00015019-RA	Lsat_1_v5_gn_6_63141.1, Lsat_1_v5_gn_6_61461.1, Lsat_1_v5_gn_0_4660.1
OG0000079	Av_00009274-RA	Lsat_1_v5_gn_4_145381.3, Lsat_1_v5_gn_4_145200.1
OG0000085	Av_00009790-RA, Av_00008760-RA	Lsat_1_v5_gn_5_140541.1, Lsat_1_v5_gn_8_85560.1
OG0000085	Av_00021920-RA, Av_00004097-RA	Lsat_1_v5_gn_4_93421.2, Lsat_1_v5_gn_4_93421.1, Lsat_1_v5_gn_4_94081.1
OG0000085	Av_00005421-RA, Av_00002984-RA	Lsat_1_v5_gn_5_153541.1, Lsat_1_v5_gn_5_153541.3
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	Lsat_1_v5_gn_5_80941.2, Lsat_1_v5_gn_5_80941.1, Lsat_1_v5_gn_5_80941.3, Lsat_1_v5_gn_7_57420.2, Lsat_1_v5_gn_7_57420.5, Lsat_1_v5_gn_7_57420.1, Lsat_1_v5_gn_5_80560.1
OG0000085	Av_00018975-RA	Lsat_1_v5_gn_2_50401.1
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	Lsat_1_v5_gn_5_159621.1
OG0000088	Av_00002335-RA, Av_00019465-RA	Lsat_1_v5_gn_7_102080.1, Lsat_1_v5_gn_7_102080.3, Lsat_1_v5_gn_7_102060.2, Lsat_1_v5_gn_7_102060.1, Lsat_1_v5_gn_5_125941.3, Lsat_1_v5_gn_5_125941.1
OG0000088	Av_00003725-RA	Lsat_1_v5_gn_4_37761.1, Lsat_1_v5_gn_4_37780.1
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	Lsat_1_v5_gn_5_133321.1, Lsat_1_v5_gn_5_133301.1, Lsat_1_v5_gn_5_133301.2, Lsat_1_v5_gn_1_33901.1, Lsat_1_v5_gn_1_33901.2, Lsat_1_v5_gn_1_34040.1, Lsat_1_v5_gn_1_33941.1, Lsat_1_v5_gn_4_104160.1, Lsat_1_v5_gn_5_133361.1, Lsat_1_v5_gn_5_133361.3, Lsat_1_v5_gn_5_132941.1
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA, Av_00007975-RA	Lsat_1_v5_gn_5_32461.1, Lsat_1_v5_gn_5_32481.2, Lsat_1_v5_gn_5_32481.1, Lsat_1_v5_gn_5_32481.3, Lsat_1_v5_gn_5_32461.2, Lsat_1_v5_gn_5_32461.3, Lsat_1_v5_gn_6_22800.1
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	Lsat_1_v5_gn_2_91101.2, Lsat_1_v5_gn_2_91101.1, Lsat_1_v5_gn_0_22040.1, Lsat_1_v5_gn_0_22040.3
OG0000091	Av_00024182-RA, Av_00022189-RA	Lsat_1_v5_gn_2_45920.2, Lsat_1_v5_gn_2_45920.1
OG0000091	Av_00011058-RA, Av_00016851-RA	Lsat_1_v5_gn_7_56941.1
OG0000093	Av_00020943-RA, Av_00012171-RA, Av_00010259-RA, Av_00009079-RA, Av_00009080-RA, Av_00024091-RA, Av_00008996-RA, Av_00019964-RA, Av_00006037-RA	Lsat_1_v5_gn_6_49701.3, Lsat_1_v5_gn_6_49701.4, Lsat_1_v5_gn_6_49701.1
OG0000095	Av_00022745-RA, Av_00014819-RA	Lsat_1_v5_gn_8_33061.2, Lsat_1_v5_gn_8_33061.1
OG0000095	Av_00015892-RA, Av_00013399-RA	Lsat_1_v5_gn_4_9780.1
OG0000096	Av_00015889-RA	Lsat_1_v5_gn_2_83360.1, Lsat_1_v5_gn_5_65600.1, Lsat_1_v5_gn_5_64321.1, Lsat_1_v5_gn_3_119721.1, Lsat_1_v5_gn_3_119740.1, Lsat_1_v5_gn_3_119441.1, Lsat_1_v5_gn_3_119441.3, Lsat_1_v5_gn_3_119700.5, Lsat_1_v5_gn_3_119700.1, Lsat_1_v5_gn_3_119900.1, Lsat_1_v5_gn_3_119861.1, Lsat_1_v5_gn_3_118940.1, Lsat_1_v5_gn_3_118880.1, Lsat_1_v5_gn_3_119381.2, Lsat_1_v5_gn_3_119381.1
OG0000097	Av_00021109-RA	Lsat_1_v5_gn_9_117821.1, Lsat_1_v5_gn_8_30160.1, Lsat_1_v5_gn_2_133840.1, Lsat_1_v5_gn_9_10221.1
OG0000098	Av_00009967-RA	Lsat_1_v5_gn_9_46981.1, Lsat_1_v5_gn_9_46981.2, Lsat_1_v5_gn_8_30681.1, Lsat_1_v5_gn_2_9641.3, Lsat_1_v5_gn_2_9641.1
OG0000098	Av_00020806-RA, Av_00006102-RA	Lsat_1_v5_gn_3_7300.2, Lsat_1_v5_gn_3_7300.1, Lsat_1_v5_gn_6_6441.1
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	Lsat_1_v5_gn_9_33260.1, Lsat_1_v5_gn_5_111360.1
OG0000102	Av_00005016-RA, Av_00021401-RA, Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	Lsat_1_v5_gn_7_22980.1, Lsat_1_v5_gn_8_116441.1, Lsat_1_v5_gn_8_116481.1, Lsat_1_v5_gn_8_116461.1, Lsat_1_v5_gn_8_116441.2, Lsat_1_v5_gn_8_116461.2, Lsat_1_v5_gn_4_158581.1, Lsat_1_v5_gn_8_63680.1, Lsat_1_v5_gn_3_42561.1
OG0000103	Av_00007835-RA, Av_00000217-RA	Lsat_1_v5_gn_7_103281.1, Lsat_1_v5_gn_7_103301.1, Lsat_1_v5_gn_7_103301.2, Lsat_1_v5_gn_7_116101.1, Lsat_1_v5_gn_7_116101.2
OG0000104	Av_00018015-RA	Lsat_1_v5_gn_6_35741.3, Lsat_1_v5_gn_6_35741.2, Lsat_1_v5_gn_6_35741.1
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA	Lsat_1_v5_gn_4_64081.1
OG0000105	Av_00003052-RA, Av_00015716-RA	Lsat_1_v5_gn_5_1921.1, Lsat_1_v5_gn_7_114220.1
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	Lsat_1_v5_gn_1_48520.5, Lsat_1_v5_gn_1_48520.1
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	Lsat_1_v5_gn_8_122340.1
OG0000107	Av_00000247-RA, Av_00006353-RA	Lsat_1_v5_gn_3_62240.3, Lsat_1_v5_gn_3_62240.1
OG0000107	Av_00007784-RA	Lsat_1_v5_gn_4_155521.1, Lsat_1_v5_gn_4_155521.2, Lsat_1_v5_gn_2_80941.2, Lsat_1_v5_gn_2_80941.1, Lsat_1_v5_gn_4_14740.3, Lsat_1_v5_gn_8_42381.1, Lsat_1_v5_gn_8_42381.2
OG0000108	Av_00010829-RA, Av_00005367-RA	Lsat_1_v5_gn_9_6621.1
OG0000109	Av_00018758-RA, Av_00008820-RA	Lsat_1_v5_gn_8_127960.2, Lsat_1_v5_gn_8_127960.1
OG0000109	Av_00021187-RA, Av_00001943-RA	Lsat_1_v5_gn_2_78600.1
OG0000110	Av_00020501-RA, Av_00008377-RA	Lsat_1_v5_gn_6_100980.1, Lsat_1_v5_gn_6_100980.3, Lsat_1_v5_gn_6_100980.4, Lsat_1_v5_gn_6_100940.2, Lsat_1_v5_gn_6_100940.3, Lsat_1_v5_gn_6_100940.1
OG0000110	Av_00008370-RA	Lsat_1_v5_gn_1_5581.3
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	Lsat_1_v5_gn_8_26500.1, Lsat_1_v5_gn_9_42020.1, Lsat_1_v5_gn_9_18701.1, Lsat_1_v5_gn_3_105620.1, Lsat_1_v5_gn_0_15540.1, Lsat_1_v5_gn_7_82600.1, Lsat_1_v5_gn_7_67161.1, Lsat_1_v5_gn_3_13441.1
OG0000112	Av_00024096-RA	Lsat_1_v5_gn_3_55741.1, Lsat_1_v5_gn_9_17001.1, Lsat_1_v5_gn_4_4620.1
OG0000112	Av_00022329-RA, Av_00022327-RA, Av_00022328-RA	Lsat_1_v5_gn_4_147941.1
OG0000113	Av_00023507-RA	Lsat_1_v5_gn_6_21140.1
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	Lsat_1_v5_gn_3_1560.1, Lsat_1_v5_gn_1_127541.1, Lsat_1_v5_gn_1_127541.5, Lsat_1_v5_gn_1_127541.2, Lsat_1_v5_gn_3_320.1, Lsat_1_v5_gn_3_221.1, Lsat_1_v5_gn_7_47621.1
OG0000114	Av_00003668-RA, Av_00015326-RA	Lsat_1_v5_gn_7_20181.2, Lsat_1_v5_gn_7_20181.1, Lsat_1_v5_gn_7_20220.1, Lsat_1_v5_gn_7_20200.1
OG0000115	Av_00020146-RA	Lsat_1_v5_gn_9_55720.3, Lsat_1_v5_gn_9_55720.1, Lsat_1_v5_gn_5_111240.3, Lsat_1_v5_gn_5_111240.1, Lsat_1_v5_gn_5_111280.2, Lsat_1_v5_gn_5_111280.1, Lsat_1_v5_gn_9_55780.1, Lsat_1_v5_gn_9_55760.1, Lsat_1_v5_gn_9_55820.1, Lsat_1_v5_gn_6_27021.1, Lsat_1_v5_gn_6_27021.2, Lsat_1_v5_gn_9_55800.1, Lsat_1_v5_gn_5_161580.3, Lsat_1_v5_gn_5_161580.1, Lsat_1_v5_gn_5_161560.2, Lsat_1_v5_gn_5_161560.1
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	Lsat_1_v5_gn_7_54561.1
OG0000118	Av_00017992-RA, Av_00017242-RA	Lsat_1_v5_gn_7_116161.1
OG0000118	Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	Lsat_1_v5_gn_6_86061.3
OG0000118	Av_00007265-RA	Lsat_1_v5_gn_9_13560.1, Lsat_1_v5_gn_5_177320.1
OG0000120	Av_00014461-RA, Av_00022346-RA	Lsat_1_v5_gn_5_164121.1, Lsat_1_v5_gn_8_75640.3, Lsat_1_v5_gn_8_75640.1
OG0000120	Av_00021880-RA	Lsat_1_v5_gn_8_79201.3, Lsat_1_v5_gn_8_79201.1
