Orthogroup	A_vesiculosa.proteins	S_lycopersicum.proteins
OG0000024	Av_00004852-RA	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1
OG0000025	Av_00000980-RA, Av_00012375-RA	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1
OG0000025	Av_00020768-RA, Av_00004540-RA	Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1
OG0000027	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA	Solyc00g257110.3.1, Solyc03g113405.1.1
OG0000028	Av_00009276-RA	Solyc01g005715.1.1, Solyc01g005720.3.1, Solyc01g008390.2.1, Solyc01g006550.3.1, Solyc01g005730.3.1, Solyc01g005870.2.1, Solyc01g005760.3.1, Solyc01g008410.2.1, Solyc01g005755.1.1, Solyc01g006545.1.1, Solyc01g009680.3.1, Solyc03g082780.2.1, Solyc01g005775.1.1, Solyc01g005710.2.1, Solyc01g016370.2.1, Solyc10g007210.1.1, Solyc01g009700.2.1, Solyc01g005865.1.1, Solyc09g064670.2.1, Solyc12g040740.2.1, Solyc01g014147.1.1, Solyc01g009930.2.1, Solyc01g014143.1.1, Solyc01g014150.1.1
OG0000029	Av_00007061-RA, Av_00016651-RA	Solyc05g017780.1.1
OG0000029	Av_00023395-RA	Solyc11g072140.2.1, Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1
OG0000031	Av_00023882-RA	Solyc01g080980.1.1
OG0000031	Av_00023880-RA	Solyc02g084950.3.1
OG0000032	Av_00017613-RA, Av_00005837-RA	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000034	Av_00010139-RA	Solyc02g080000.1.1
OG0000034	Av_00014124-RA, Av_00014125-RA, Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	Av_00005925-RA	Solyc09g059240.3.1
OG0000038	Av_00017653-RA	Solyc03g111975.1.1, Solyc06g076160.3.1
OG0000038	Av_00000257-RA	Solyc09g014900.3.1
OG0000040	Av_00004970-RA	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	Solyc05g008235.1.1, Solyc05g008250.2.1
OG0000041	Av_00023746-RA, Av_00022768-RA	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000041	Av_00003291-RA	Solyc06g065100.3.1
OG0000042	Av_00019089-RA	Solyc03g096650.2.1
OG0000042	Av_00009478-RA, Av_00008427-RA	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000043	Av_00014180-RA	Solyc02g092860.3.1, Solyc02g064850.2.1
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	Av_00012555-RA, Av_00002870-RA	Solyc11g069240.2.1, Solyc06g075250.3.1, Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	Av_00002322-RA, Av_00009708-RA	Solyc09g065670.3.1
OG0000046	Av_00004429-RA, Av_00012280-RA	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	Solyc12g007110.2.1
OG0000046	Av_00002747-RA, Av_00016996-RA	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	Av_00005749-RA	Solyc02g089760.3.1
OG0000046	Av_00024073-RA, Av_00006807-RA	Solyc02g089750.4.1
OG0000047	Av_00021683-RA	Solyc04g078300.3.1
OG0000047	Av_00024563-RA	Solyc04g025050.1.1
OG0000047	Av_00021866-RA	Solyc01g106170.3.1, Solyc12g088080.1.1
OG0000047	Av_00011450-RA, Av_00000054-RA	Solyc00g179240.2.1, Solyc10g017640.1.1
OG0000047	Av_00015234-RA, Av_00010903-RA	Solyc06g035560.2.1
OG0000048	Av_00020140-RA	Solyc02g087910.2.1
OG0000050	Av_00009969-RA	Solyc04g015475.1.1
OG0000050	Av_00018370-RA	Solyc02g065260.3.1
OG0000051	Av_00024209-RA, Av_00016836-RA	Solyc05g013435.1.1
OG0000051	Av_00010341-RA	Solyc00g304030.2.1, Solyc05g021247.1.1
OG0000051	Av_00010376-RA	Solyc07g026580.1.1
OG0000055	Av_00002758-RA	Solyc05g024290.3.1
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	Solyc01g067400.3.1
OG0000055	Av_00017818-RA	Solyc09g061330.2.1, Solyc06g083500.3.1
OG0000055	Av_00024743-RA, Av_00019729-RA	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1
OG0000055	Av_00008958-RA	Solyc10g005300.3.1
OG0000055	Av_00016413-RA, Av_00013445-RA	Solyc10g085990.2.1, Solyc11g072660.2.1, Solyc06g075550.3.1
OG0000058	Av_00002928-RA	Solyc09g009750.2.1
OG0000059	Av_00013645-RA	Solyc09g005190.2.1, Solyc10g076560.1.1
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	Av_00005674-RA	Solyc09g018600.1.1
OG0000065	Av_00001967-RA	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	Solyc11g072490.2.1
OG0000067	Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA	Solyc10g019030.1.1
OG0000070	Av_00003740-RA	Solyc04g071260.3.1
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	Solyc03g078400.3.1
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1
OG0000070	Av_00006141-RA, Av_00020546-RA	Solyc00g017210.2.1
OG0000070	Av_00013415-RA, Av_00023180-RA	Solyc10g086460.2.1
OG0000071	Av_00011182-RA, Av_00001686-RA	Solyc03g111690.3.1, Solyc02g093580.3.1
OG0000071	Av_00021173-RA	Solyc09g008380.3.1
OG0000071	Av_00011924-RA	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	Solyc09g091430.3.1
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	Solyc09g061890.3.1
OG0000071	Av_00002646-RA, Av_00005357-RA	Solyc05g014000.3.1
OG0000072	Av_00013714-RA, Av_00000367-RA	Solyc05g051515.1.1
OG0000072	Av_00011117-RA	Solyc01g074000.3.1, Solyc10g008910.1.1, Solyc01g073970.3.1, Solyc02g077480.1.1, Solyc01g080600.3.1, Solyc01g086820.3.1, Solyc12g056540.1.1, Solyc01g086800.3.1
OG0000073	Av_00024641-RA, Av_00020433-RA, Av_00024603-RA, Av_00020876-RA, Av_00019763-RA, Av_00024766-RA, Av_00025012-RA, Av_00024816-RA, Av_00024387-RA, Av_00019313-RA, Av_00025045-RA, Av_00023480-RA, Av_00020624-RA, Av_00025102-RA	Solyc00g025650.2.1
OG0000077	Av_00007275-RA	Solyc01g111230.3.1
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	Solyc11g071900.1.1
OG0000078	Av_00015019-RA	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1
OG0000079	Av_00009274-RA	Solyc02g079910.2.1
OG0000085	Av_00009790-RA, Av_00008760-RA	Solyc07g041940.3.1
OG0000085	Av_00021920-RA, Av_00004097-RA	Solyc12g049360.2.1, Solyc06g062920.3.1
OG0000085	Av_00005421-RA, Av_00002984-RA	Solyc10g074710.2.1
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	Solyc12g009310.2.1, Solyc07g042590.3.1
OG0000085	Av_00018975-RA	Solyc01g028830.3.1
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	Solyc05g006420.3.1
OG0000088	Av_00002335-RA, Av_00019465-RA	Solyc12g014350.2.1
OG0000088	Av_00003725-RA	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA, Av_00007975-RA	Solyc08g067610.3.1, Solyc08g067620.2.1
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	Solyc09g065870.3.1
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	Solyc02g093520.3.1
OG0000091	Av_00024182-RA, Av_00022189-RA	Solyc12g098610.2.1, Solyc09g092520.3.1
OG0000091	Av_00011058-RA, Av_00016851-RA	Solyc07g009380.3.1, Solyc05g046290.3.1
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1
OG0000092	Av_00005802-RA, Av_00005801-RA	Solyc04g039980.3.1, Solyc04g039990.3.1
OG0000093	Av_00012171-RA, Av_00010259-RA, Av_00009079-RA, Av_00009080-RA, Av_00024091-RA, Av_00008996-RA, Av_00019964-RA, Av_00006037-RA	Solyc01g074030.3.1, Solyc01g074040.1.1
OG0000095	Av_00016560-RA	Solyc03g121630.3.1
OG0000095	Av_00022745-RA, Av_00014819-RA	Solyc07g043270.3.1
OG0000095	Av_00015892-RA, Av_00013399-RA	Solyc08g060840.1.1
OG0000096	Av_00015889-RA	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1
OG0000097	Av_00021109-RA	Solyc08g044336.1.1
OG0000098	Av_00009967-RA	Solyc04g081490.3.1, Solyc12g089310.2.1
OG0000098	Av_00020806-RA, Av_00006102-RA	Solyc03g118760.3.1
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	Solyc10g080940.2.1
OG0000098	Av_00006162-RA, Av_00008431-RA	Solyc06g076640.3.1
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1
OG0000102	Av_00005016-RA, Av_00021401-RA, Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	Solyc02g077050.3.1
OG0000103	Av_00007835-RA, Av_00000217-RA	Solyc07g062620.3.1, Solyc10g005640.3.1, Solyc10g005630.3.1
OG0000104	Av_00018015-RA	Solyc10g083170.2.1
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA, Av_00003052-RA, Av_00015716-RA	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	Solyc10g083500.2.1, Solyc09g009380.3.1
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1
OG0000107	Av_00000247-RA, Av_00006353-RA	Solyc05g008805.1.1
OG0000107	Av_00007784-RA	Solyc02g086370.3.1, Solyc05g008820.3.1, Solyc05g008815.1.1
OG0000108	Av_00010829-RA, Av_00005367-RA	Solyc06g009280.1.1, Solyc06g009290.3.1
OG0000108	Av_00003730-RA	Solyc02g071350.3.1, Solyc02g071340.2.1
OG0000109	Av_00018758-RA, Av_00008820-RA	Solyc01g110380.3.1
OG0000109	Av_00021187-RA, Av_00001943-RA	Solyc02g084390.3.1, Solyc02g062330.2.1
OG0000109	Av_00011101-RA, Av_00009901-RA	Solyc04g081060.3.1
OG0000110	Av_00020501-RA, Av_00008377-RA	Solyc12g056820.2.1
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	Solyc04g050840.1.1, Solyc02g011930.1.1, Solyc04g039760.2.1, Solyc09g031840.1.1, Solyc03g080130.1.1, Solyc08g045620.1.1, Solyc10g018980.2.1, Solyc04g050850.2.1, Solyc04g024540.1.1
OG0000112	Av_00018535-RA	Solyc01g017140.1.1, Solyc08g014590.1.1, Solyc11g040080.1.1, Solyc03g013490.1.1, Solyc09g031850.1.1, Solyc04g024580.1.1, Solyc06g018000.2.1
OG0000112	Av_00022329-RA	Solyc12g035790.1.1, Solyc12g019590.1.1
OG0000112	Av_00022327-RA	Solyc02g014800.2.1, Solyc11g021070.2.1
OG0000112	Av_00022328-RA	Solyc09g031830.1.1, Solyc06g074590.2.1
OG0000113	Av_00023507-RA	Solyc06g065970.1.1
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1
OG0000114	Av_00003668-RA, Av_00015326-RA	Solyc02g079540.2.1, Solyc02g079533.1.1, Solyc02g079550.2.1, Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1, Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1
OG0000115	Av_00020146-RA	Solyc10g078200.1.1, Solyc12g042390.1.1, Solyc12g094540.1.1, Solyc11g006480.1.1, Solyc01g103460.2.1
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1
OG0000118	Av_00017992-RA, Av_00017242-RA	Solyc07g066080.3.1
OG0000118	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	Solyc10g011740.3.1, Solyc01g095490.3.1
OG0000120	Av_00014461-RA, Av_00022346-RA	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1
OG0000120	Av_00021880-RA	Solyc03g077920.1.1
OG0000120	Av_00022290-RA	Solyc01g086720.3.1
OG0000120	Av_00020803-RA	Solyc08g008020.1.1
OG0000121	Av_00021066-RA	Solyc11g071650.2.1
OG0000121	Av_00001370-RA	Solyc01g097000.3.1
