Orthogroup	L_sativa.proteins	A_hypochondriacus.proteins
OG0000021	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA
OG0000024	Lsat_1_v5_gn_3_36180.4, Lsat_1_v5_gn_3_36440.3, Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1	AH017854-RA, AH007410-RA
OG0000024	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2	AH007961-RA, AH010292-RA, AH007960-RA, AH007959-RA
OG0000025	Lsat_1_v5_gn_3_45161.1	AH001710-RA, AH001709-RA, AH023136-RA
OG0000025	Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2	AH001716-RA
OG0000026	Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2	AH010288-RA
OG0000026	Lsat_1_v5_gn_5_42681.2, Lsat_1_v5_gn_5_40321.2, Lsat_1_v5_gn_0_44201.1	AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA
OG0000027	Lsat_1_v5_gn_3_101980.3, Lsat_1_v5_gn_5_90761.3, Lsat_1_v5_gn_5_85480.2, Lsat_1_v5_gn_1_31841.2, Lsat_1_v5_gn_5_19060.2, Lsat_1_v5_gn_3_101980.1, Lsat_1_v5_gn_5_19060.1	AH002791-RA
OG0000027	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2	AH009374-RA
OG0000028	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA, AH020918-RA, AH013996-RA, AH019532-RA, AH010516-RA
OG0000029	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	Lsat_1_v5_gn_9_35121.2, Lsat_1_v5_gn_9_35121.1, Lsat_1_v5_gn_9_35021.1, Lsat_1_v5_gn_9_35021.2, Lsat_1_v5_gn_9_35061.2, Lsat_1_v5_gn_9_35061.1	AH010825-RA, AH006239-RA
OG0000029	Lsat_1_v5_gn_7_30861.4	AH006350-RA
OG0000029	Lsat_1_v5_gn_9_35021.5	AH011168-RA
OG0000030	Lsat_1_v5_gn_3_70580.1, Lsat_1_v5_gn_3_70480.1	AH004946-RA, AH004294-RA
OG0000030	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1	AH016837-RA, AH023677-RA, AH023678-RA
OG0000031	Lsat_1_v5_gn_3_77400.2, Lsat_1_v5_gn_3_77400.1, Lsat_1_v5_gn_3_77440.2, Lsat_1_v5_gn_3_77440.1, Lsat_1_v5_gn_4_149540.1	AH006620-RA, AH020546-RA, AH017304-RA
OG0000031	Lsat_1_v5_gn_3_75880.1	AH005774-RA
OG0000031	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3	AH010116-RA
OG0000032	Lsat_1_v5_gn_9_107401.1	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA
OG0000034	Lsat_1_v5_gn_4_57601.3, Lsat_1_v5_gn_4_116381.2, Lsat_1_v5_gn_4_116381.1, Lsat_1_v5_gn_4_116381.4, Lsat_1_v5_gn_4_57641.2, Lsat_1_v5_gn_4_57641.1, Lsat_1_v5_gn_7_17880.1, Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1, Lsat_1_v5_gn_7_18081.1, Lsat_1_v5_gn_7_18141.1	AH015068-RA
OG0000037	Lsat_1_v5_gn_6_113241.1, Lsat_1_v5_gn_6_113241.3, Lsat_1_v5_gn_6_113301.1, Lsat_1_v5_gn_6_113301.2, Lsat_1_v5_gn_6_113220.1, Lsat_1_v5_gn_6_113220.3	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA
OG0000037	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1	AH022157-RA, AH022156-RA
OG0000038	Lsat_1_v5_gn_1_70980.4	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA
OG0000041	Lsat_1_v5_gn_6_114481.1	AH002675-RA, AH017708-RA
OG0000042	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3	AH016437-RA
OG0000042	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	Lsat_1_v5_gn_1_24061.2, Lsat_1_v5_gn_1_24061.1, Lsat_1_v5_gn_1_24061.6	AH015075-RA, AH015076-RA, AH015074-RA
OG0000043	Lsat_1_v5_gn_1_25520.1, Lsat_1_v5_gn_1_25520.3, Lsat_1_v5_gn_1_22720.1	AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA
OG0000044	Lsat_1_v5_gn_2_76741.1	AH003991-RA
OG0000044	Lsat_1_v5_gn_5_35960.3, Lsat_1_v5_gn_5_35960.1	AH006255-RA
OG0000044	Lsat_1_v5_gn_6_14101.1	AH013313-RA
OG0000044	Lsat_1_v5_gn_4_66301.1, Lsat_1_v5_gn_4_66301.3	AH001378-RA
OG0000044	Lsat_1_v5_gn_5_185501.1	AH002596-RA, AH017804-RA
OG0000046	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1	AH000561-RA
OG0000046	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1	AH020861-RA
OG0000046	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1	AH005447-RA, AH004082-RA
OG0000046	Lsat_1_v5_gn_2_86540.1	AH016482-RA
OG0000047	Lsat_1_v5_gn_6_109820.1	AH003569-RA
OG0000047	Lsat_1_v5_gn_4_108241.3, Lsat_1_v5_gn_9_75300.1, Lsat_1_v5_gn_9_75300.3	AH008841-RA
OG0000047	Lsat_1_v5_gn_7_84161.1, Lsat_1_v5_gn_6_107221.5, Lsat_1_v5_gn_5_109681.1, Lsat_1_v5_gn_5_111061.1	AH008924-RA
OG0000047	Lsat_1_v5_gn_1_102361.1	AH003784-RA, AH008644-RA
OG0000047	Lsat_1_v5_gn_0_36361.1, Lsat_1_v5_gn_8_35560.3, Lsat_1_v5_gn_8_35560.2, Lsat_1_v5_gn_8_35560.1, Lsat_1_v5_gn_5_23501.1, Lsat_1_v5_gn_4_114440.3	AH016591-RA
OG0000047	Lsat_1_v5_gn_7_19860.1, Lsat_1_v5_gn_9_25680.1, Lsat_1_v5_gn_4_821.1, Lsat_1_v5_gn_4_103221.2, Lsat_1_v5_gn_4_10400.5, Lsat_1_v5_gn_4_10400.3, Lsat_1_v5_gn_4_14100.2, Lsat_1_v5_gn_4_14100.1, Lsat_1_v5_gn_4_861.1, Lsat_1_v5_gn_4_71361.1, Lsat_1_v5_gn_4_861.2, Lsat_1_v5_gn_4_14100.3, Lsat_1_v5_gn_4_1060.1, Lsat_1_v5_gn_4_1060.2, Lsat_1_v5_gn_2_93321.1, Lsat_1_v5_gn_2_93321.3	AH023632-RA, AH004534-RA
OG0000048	Lsat_1_v5_gn_5_149921.1, Lsat_1_v5_gn_5_152461.3, Lsat_1_v5_gn_5_152461.1	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA
OG0000055	Lsat_1_v5_gn_4_2160.1, Lsat_1_v5_gn_3_31781.1	AH005218-RA, AH004572-RA
OG0000055	Lsat_1_v5_gn_3_25860.1, Lsat_1_v5_gn_3_25860.2	AH007027-RA
OG0000055	Lsat_1_v5_gn_9_12120.3, Lsat_1_v5_gn_9_12120.1	AH013063-RA
OG0000058	Lsat_1_v5_gn_6_66300.1, Lsat_1_v5_gn_6_66300.2	AH016699-RA
OG0000058	Lsat_1_v5_gn_6_66300.5, Lsat_1_v5_gn_6_66300.3, Lsat_1_v5_gn_6_66300.4	AH012624-RA
OG0000059	Lsat_1_v5_gn_2_62240.4, Lsat_1_v5_gn_2_62240.3, Lsat_1_v5_gn_8_118040.1, Lsat_1_v5_gn_8_118040.2, Lsat_1_v5_gn_8_118101.1, Lsat_1_v5_gn_8_118101.2, Lsat_1_v5_gn_2_62280.1, Lsat_1_v5_gn_2_62280.2, Lsat_1_v5_gn_2_73280.1, Lsat_1_v5_gn_2_73280.2, Lsat_1_v5_gn_2_62181.1, Lsat_1_v5_gn_2_62181.3, Lsat_1_v5_gn_2_62541.1, Lsat_1_v5_gn_2_62920.4, Lsat_1_v5_gn_2_30021.1, Lsat_1_v5_gn_2_62920.2, Lsat_1_v5_gn_2_62501.3, Lsat_1_v5_gn_2_62501.1	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000063	Lsat_1_v5_gn_5_151121.1, Lsat_1_v5_gn_5_151121.3, Lsat_1_v5_gn_5_151081.3, Lsat_1_v5_gn_5_151081.1, Lsat_1_v5_gn_5_151141.2, Lsat_1_v5_gn_5_151141.1, Lsat_1_v5_gn_5_150900.1, Lsat_1_v5_gn_5_150900.2	AH012497-RA
OG0000063	Lsat_1_v5_gn_5_175381.2	AH023171-RA
OG0000063	Lsat_1_v5_gn_8_13440.1	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000065	Lsat_1_v5_gn_8_81940.1, Lsat_1_v5_gn_8_81940.3, Lsat_1_v5_gn_8_81960.1, Lsat_1_v5_gn_8_83441.2, Lsat_1_v5_gn_8_83441.1, Lsat_1_v5_gn_8_83421.1, Lsat_1_v5_gn_8_83421.2, Lsat_1_v5_gn_8_84381.1, Lsat_1_v5_gn_8_81760.2, Lsat_1_v5_gn_8_81700.2, Lsat_1_v5_gn_8_81760.1, Lsat_1_v5_gn_8_81700.1, Lsat_1_v5_gn_8_81880.1, Lsat_1_v5_gn_8_81880.2, Lsat_1_v5_gn_8_81900.1, Lsat_1_v5_gn_8_81900.3	AH013518-RA, AH020188-RA
OG0000068	Lsat_1_v5_gn_4_105500.5, Lsat_1_v5_gn_4_105500.1, Lsat_1_v5_gn_2_74860.1, Lsat_1_v5_gn_8_106801.3, Lsat_1_v5_gn_1_45260.4, Lsat_1_v5_gn_2_74920.3	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA
OG0000070	Lsat_1_v5_gn_8_82840.1	AH016471-RA
OG0000071	Lsat_1_v5_gn_5_12880.1	AH022369-RA, AH013559-RA
OG0000071	Lsat_1_v5_gn_6_28301.3	AH012735-RA
OG0000071	Lsat_1_v5_gn_2_111980.3, Lsat_1_v5_gn_2_111980.1, Lsat_1_v5_gn_9_71760.3, Lsat_1_v5_gn_9_71760.1	AH020129-RA
OG0000071	Lsat_1_v5_gn_2_43400.1, Lsat_1_v5_gn_0_4881.2, Lsat_1_v5_gn_0_4881.1	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Lsat_1_v5_gn_8_90220.1, Lsat_1_v5_gn_9_12800.1	AH013047-RA
OG0000071	Lsat_1_v5_gn_8_154380.2, Lsat_1_v5_gn_8_154380.1	AH004886-RA
OG0000072	Lsat_1_v5_gn_1_16160.1, Lsat_1_v5_gn_1_3221.2	AH003759-RA, AH005866-RA
OG0000077	Lsat_1_v5_gn_3_45880.1, Lsat_1_v5_gn_3_45880.2, Lsat_1_v5_gn_4_68600.1, Lsat_1_v5_gn_8_126040.1	AH000842-RA
OG0000077	Lsat_1_v5_gn_1_97920.1, Lsat_1_v5_gn_1_97880.3, Lsat_1_v5_gn_1_97880.1	AH019349-RA
OG0000077	Lsat_1_v5_gn_1_67980.1, Lsat_1_v5_gn_1_67800.1, Lsat_1_v5_gn_1_67980.2, Lsat_1_v5_gn_1_67980.3, Lsat_1_v5_gn_1_60200.1, Lsat_1_v5_gn_1_60340.3, Lsat_1_v5_gn_1_67920.1, Lsat_1_v5_gn_1_67920.3	AH007662-RA, AH007663-RA
OG0000077	Lsat_1_v5_gn_1_60240.1, Lsat_1_v5_gn_1_60140.1, Lsat_1_v5_gn_1_60140.2, Lsat_1_v5_gn_1_60240.2, Lsat_1_v5_gn_6_36221.1, Lsat_1_v5_gn_6_36240.1, Lsat_1_v5_gn_1_60340.1	AH006889-RA
OG0000079	Lsat_1_v5_gn_4_58020.1, Lsat_1_v5_gn_4_58020.2	AH015194-RA
OG0000079	Lsat_1_v5_gn_4_145381.3, Lsat_1_v5_gn_4_145200.1	AH008309-RA
OG0000085	Lsat_1_v5_gn_5_140541.1, Lsat_1_v5_gn_8_85560.1	AH014594-RA, AH021106-RA
OG0000085	Lsat_1_v5_gn_4_93421.2, Lsat_1_v5_gn_4_93421.1, Lsat_1_v5_gn_4_94081.1	AH013377-RA, AH013378-RA
OG0000085	Lsat_1_v5_gn_5_153541.1, Lsat_1_v5_gn_5_153541.3	AH021680-RA
OG0000085	Lsat_1_v5_gn_5_80941.2, Lsat_1_v5_gn_5_80941.1, Lsat_1_v5_gn_5_80941.3, Lsat_1_v5_gn_7_57420.2, Lsat_1_v5_gn_7_57420.5, Lsat_1_v5_gn_7_57420.1, Lsat_1_v5_gn_5_80560.1	AH015892-RA, AH017005-RA
OG0000085	Lsat_1_v5_gn_3_20560.1, Lsat_1_v5_gn_6_75341.1	AH018522-RA
OG0000087	Lsat_1_v5_gn_5_159621.1	AH006703-RA, AH020455-RA
OG0000087	Lsat_1_v5_gn_1_115501.1	AH019163-RA, AH015676-RA, AH019164-RA, AH015677-RA
OG0000087	Lsat_1_v5_gn_4_74061.1, Lsat_1_v5_gn_5_18120.3, Lsat_1_v5_gn_5_18120.1	AH017338-RA
OG0000088	Lsat_1_v5_gn_7_102080.1, Lsat_1_v5_gn_7_102080.3, Lsat_1_v5_gn_7_102060.2, Lsat_1_v5_gn_7_102060.1, Lsat_1_v5_gn_5_125941.3, Lsat_1_v5_gn_5_125941.1	AH007982-RA
OG0000088	Lsat_1_v5_gn_4_37761.1, Lsat_1_v5_gn_4_37780.1	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	Lsat_1_v5_gn_5_133321.1, Lsat_1_v5_gn_5_133301.1, Lsat_1_v5_gn_5_133301.2, Lsat_1_v5_gn_1_33901.1, Lsat_1_v5_gn_1_33901.2, Lsat_1_v5_gn_1_34040.1, Lsat_1_v5_gn_1_33941.1, Lsat_1_v5_gn_4_104160.1, Lsat_1_v5_gn_5_133361.1, Lsat_1_v5_gn_5_133361.3, Lsat_1_v5_gn_5_132941.1	AH002040-RA
OG0000089	Lsat_1_v5_gn_5_32461.1, Lsat_1_v5_gn_5_32481.2, Lsat_1_v5_gn_5_32481.1, Lsat_1_v5_gn_5_32481.3, Lsat_1_v5_gn_5_32461.2, Lsat_1_v5_gn_5_32461.3, Lsat_1_v5_gn_6_22800.1	AH019224-RA, AH019223-RA, AH014168-RA
OG0000090	Lsat_1_v5_gn_2_91101.2, Lsat_1_v5_gn_2_91101.1, Lsat_1_v5_gn_0_22040.1, Lsat_1_v5_gn_0_22040.3	AH005307-RA
OG0000091	Lsat_1_v5_gn_2_45920.2, Lsat_1_v5_gn_2_45920.1	AH020558-RA, AH020560-RA
OG0000093	Lsat_1_v5_gn_6_49701.3, Lsat_1_v5_gn_6_49701.4, Lsat_1_v5_gn_6_49701.1	AH013659-RA, AH010915-RA, AH007680-RA, AH007681-RA
OG0000095	Lsat_1_v5_gn_8_33061.2, Lsat_1_v5_gn_8_33061.1	AH006304-RA
OG0000095	Lsat_1_v5_gn_4_9780.1	AH010162-RA
OG0000096	Lsat_1_v5_gn_2_83360.1, Lsat_1_v5_gn_5_65600.1, Lsat_1_v5_gn_5_64321.1, Lsat_1_v5_gn_3_119721.1, Lsat_1_v5_gn_3_119740.1, Lsat_1_v5_gn_3_119441.1, Lsat_1_v5_gn_3_119441.3, Lsat_1_v5_gn_3_119700.5, Lsat_1_v5_gn_3_119700.1, Lsat_1_v5_gn_3_119900.1, Lsat_1_v5_gn_3_119861.1, Lsat_1_v5_gn_3_118940.1, Lsat_1_v5_gn_3_118880.1, Lsat_1_v5_gn_3_119381.2, Lsat_1_v5_gn_3_119381.1	AH005894-RA
OG0000096	Lsat_1_v5_gn_5_138141.2, Lsat_1_v5_gn_5_138141.1, Lsat_1_v5_gn_9_116901.4	AH001835-RA
OG0000097	Lsat_1_v5_gn_4_75740.1	AH017957-RA
OG0000097	Lsat_1_v5_gn_2_121260.3, Lsat_1_v5_gn_7_36640.3, Lsat_1_v5_gn_7_36640.4	AH006658-RA
OG0000097	Lsat_1_v5_gn_8_30160.1	AH021560-RA
OG0000097	Lsat_1_v5_gn_9_10221.1	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000098	Lsat_1_v5_gn_9_46981.1, Lsat_1_v5_gn_9_46981.2, Lsat_1_v5_gn_8_30681.1, Lsat_1_v5_gn_2_9641.3, Lsat_1_v5_gn_2_9641.1	AH016758-RA
OG0000098	Lsat_1_v5_gn_3_7300.2, Lsat_1_v5_gn_3_7300.1, Lsat_1_v5_gn_6_6441.1	AH003177-RA
OG0000099	Lsat_1_v5_gn_4_137760.1, Lsat_1_v5_gn_4_137860.1	AH005801-RA
OG0000099	Lsat_1_v5_gn_8_26161.1	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA
OG0000102	Lsat_1_v5_gn_7_22980.1, Lsat_1_v5_gn_8_116441.1, Lsat_1_v5_gn_8_116481.1, Lsat_1_v5_gn_8_116461.1, Lsat_1_v5_gn_8_116441.2, Lsat_1_v5_gn_8_116461.2, Lsat_1_v5_gn_4_158581.1, Lsat_1_v5_gn_8_63680.1, Lsat_1_v5_gn_3_42561.1	AH010958-RA, AH012445-RA, AH021394-RA
OG0000103	Lsat_1_v5_gn_2_108880.2, Lsat_1_v5_gn_2_108880.1	AH021989-RA
OG0000103	Lsat_1_v5_gn_7_19020.3, Lsat_1_v5_gn_7_19020.1, Lsat_1_v5_gn_5_153021.1, Lsat_1_v5_gn_5_153021.3	AH010272-RA, AH008021-RA, AH015077-RA
OG0000104	Lsat_1_v5_gn_6_35741.3, Lsat_1_v5_gn_6_35741.2, Lsat_1_v5_gn_6_35741.1	AH021778-RA, AH012562-RA
OG0000104	Lsat_1_v5_gn_4_50200.1, Lsat_1_v5_gn_4_50280.1, Lsat_1_v5_gn_4_50280.2, Lsat_1_v5_gn_4_50280.3, Lsat_1_v5_gn_4_50160.1, Lsat_1_v5_gn_4_50160.2, Lsat_1_v5_gn_1_57981.3, Lsat_1_v5_gn_1_57981.1, Lsat_1_v5_gn_1_57981.2, Lsat_1_v5_gn_1_57941.1, Lsat_1_v5_gn_1_57941.2, Lsat_1_v5_gn_1_57941.3, Lsat_1_v5_gn_1_57701.2, Lsat_1_v5_gn_1_57701.1, Lsat_1_v5_gn_1_57741.3, Lsat_1_v5_gn_1_57741.2, Lsat_1_v5_gn_1_57741.1, Lsat_1_v5_gn_1_57801.2, Lsat_1_v5_gn_1_57801.1, Lsat_1_v5_gn_1_57801.3, Lsat_1_v5_gn_1_57901.1, Lsat_1_v5_gn_1_57901.2	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	Lsat_1_v5_gn_0_11801.1, Lsat_1_v5_gn_2_91441.1	AH005316-RA
OG0000105	Lsat_1_v5_gn_4_64081.1	AH021428-RA, AH014857-RA
OG0000105	Lsat_1_v5_gn_1_48520.5, Lsat_1_v5_gn_1_48520.1	AH012640-RA, AH021838-RA
OG0000106	Lsat_1_v5_gn_8_122340.1	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Lsat_1_v5_gn_3_62240.3, Lsat_1_v5_gn_3_62240.1	AH004190-RA, AH005485-RA
OG0000107	Lsat_1_v5_gn_4_155521.1, Lsat_1_v5_gn_4_155521.2, Lsat_1_v5_gn_2_80941.2, Lsat_1_v5_gn_2_80941.1, Lsat_1_v5_gn_4_14740.3, Lsat_1_v5_gn_8_42381.1, Lsat_1_v5_gn_8_42381.2	AH001713-RA
OG0000108	Lsat_1_v5_gn_9_6621.1	AH010687-RA, AH001829-RA
OG0000109	Lsat_1_v5_gn_8_127960.2, Lsat_1_v5_gn_8_127960.1	AH001741-RA
OG0000109	Lsat_1_v5_gn_2_78600.1	AH003764-RA
OG0000110	Lsat_1_v5_gn_6_100980.1, Lsat_1_v5_gn_6_100980.3, Lsat_1_v5_gn_6_100980.4, Lsat_1_v5_gn_6_100940.2, Lsat_1_v5_gn_6_100940.3, Lsat_1_v5_gn_6_100940.1	AH019974-RA, AH007045-RA
