Orthogroup	V_vinifera.proteins	D_spatulata.proteins
OG0000026	VIT_219s0014g04900.1, VIT_219s0014g04900.3, VIT_219s0014g04900.4	Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA
OG0000026	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1	Ds_00016879-RA, Ds_00016881-RA
OG0000027	VIT_209s0002g00130.3, VIT_209s0002g00130.4	Ds_00000646-RA
OG0000027	VIT_217s0000g05540.2	Ds_00015071-RA
OG0000028	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA
OG0000029	VIT_217s0000g02105.1, VIT_217s0000g02100.1, VIT_218s0041g00010.1, VIT_218s0041g00020.1, VIT_218s0041g00040.1	Ds_00010871-RA, Ds_00010870-RA
OG0000029	VIT_203s0132g00390.1, VIT_203s0132g00350.1	Ds_00005993-RA
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	Ds_00015041-RA
OG0000031	VIT_204s0023g03790.1, VIT_204s0023g03810.1	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	Ds_00001472-RA
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	Ds_00000354-RA, Ds_00000355-RA
OG0000034	VIT_200s0532g00070.1	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	Ds_00010208-RA, Ds_00015077-RA
OG0000034	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1	Ds_00015914-RA
OG0000037	VIT_218s0001g11580.1, VIT_218s0001g11570.1	Ds_00007891-RA
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	Ds_00015216-RA
OG0000038	VIT_217s0000g09610.1	Ds_00003815-RA
OG0000038	VIT_217s0000g09570.1, VIT_217s0000g09510.1	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	Ds_00008461-RA, Ds_00008462-RA
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	VIT_207s0130g00040.1	Ds_00006251-RA
OG0000041	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1	Ds_00008539-RA, Ds_00005900-RA
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	Ds_00016022-RA, Ds_00000091-RA
OG0000041	VIT_208s0007g07230.1	Ds_00006077-RA
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	Ds_00012464-RA
OG0000042	VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2	Ds_00015505-RA
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	Ds_00007701-RA
OG0000043	VIT_218s0001g09650.1	Ds_00000548-RA, Ds_00002531-RA
OG0000043	VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1	Ds_00002532-RA
OG0000044	VIT_204s0023g01430.1	Ds_00010910-RA, Ds_00011206-RA
OG0000044	VIT_201s0010g02100.2, VIT_201s0010g02100.1	Ds_00005439-RA
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	Ds_00008781-RA
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	Ds_00012803-RA
OG0000044	VIT_200s0179g00170.1	Ds_00008624-RA
OG0000046	VIT_203s0063g02440.1	Ds_00010906-RA, Ds_00011215-RA
OG0000046	VIT_211s0016g03880.1	Ds_00013053-RA
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	Ds_00008496-RA, Ds_00012090-RA
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	Ds_00000726-RA
OG0000047	VIT_207s0031g01140.1	Ds_00001929-RA
OG0000047	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1	Ds_00013036-RA
OG0000047	VIT_201s0010g03896.1	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA
OG0000047	VIT_215s0048g01240.1	Ds_00008795-RA
OG0000047	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA
OG0000047	VIT_212s0059g02675.1	Ds_00004014-RA
OG0000050	VIT_216s0098g01340.1	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA, Ds_00012851-RA, Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	Ds_00010593-RA
OG0000055	VIT_205s0020g01770.1	Ds_00014521-RA
OG0000055	VIT_207s0005g06450.1	Ds_00001014-RA
OG0000055	VIT_219s0014g00940.1, VIT_219s0090g00030.1	Ds_00002955-RA
OG0000055	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1, VIT_206s0004g03670.1	Ds_00001660-RA
OG0000058	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1	Ds_00011609-RA, Ds_00005255-RA
OG0000058	VIT_206s0080g00085.1	Ds_00002067-RA
OG0000058	VIT_208s0007g03650.1	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	VIT_218s0001g01320.1, VIT_218s0001g01370.1	Ds_00015524-RA, Ds_00015528-RA
OG0000059	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1	Ds_00009643-RA, Ds_00013734-RA
OG0000059	VIT_218s0041g00030.1	Ds_00013728-RA
OG0000060	VIT_203s0110g00150.1	Ds_00008503-RA, Ds_00012663-RA, Ds_00017662-RA
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	Ds_00001207-RA, Ds_00010181-RA
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	Ds_00009318-RA, Ds_00016604-RA
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	Ds_00010296-RA, Ds_00015402-RA
OG0000070	VIT_204s0044g00580.1	Ds_00003633-RA
OG0000070	VIT_212s0178g00200.4	Ds_00016135-RA
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	Ds_00010078-RA
OG0000070	VIT_208s0007g06520.1, VIT_206s0004g04570.2, VIT_206s0004g04570.3, VIT_206s0004g04570.1	Ds_00008515-RA
OG0000070	VIT_204s0044g00580.2, VIT_213s0019g01240.4	Ds_00001412-RA, Ds_00010928-RA
OG0000071	VIT_217s0000g09810.1, VIT_214s0219g00230.2, VIT_214s0219g00230.1	Ds_00003826-RA
OG0000071	VIT_208s0007g04820.1	Ds_00002033-RA
OG0000071	VIT_205s0051g00590.1	Ds_00013248-RA, Ds_00007141-RA
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	Ds_00006568-RA
OG0000071	VIT_201s0137g00240.2, VIT_201s0137g00240.1	Ds_00012035-RA, Ds_00010724-RA
OG0000072	VIT_204s0023g03120.1	Ds_00003598-RA
OG0000072	VIT_206s0004g01710.1, VIT_206s0004g01690.1, VIT_218s0072g00800.1, VIT_204s0044g00560.1, VIT_213s0064g01340.1	Ds_00000109-RA
OG0000076	VIT_215s0021g00810.1	Ds_00004958-RA
OG0000077	VIT_203s0038g02050.1	Ds_00000030-RA, Ds_00000031-RA
OG0000078	VIT_206s0061g00475.1, VIT_207s0005g05300.1, VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000079	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1	Ds_00017477-RA, Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA
OG0000084	VIT_208s0032g00240.1, VIT_210s0092g00480.1, VIT_210s0092g00370.1, VIT_210s0092g00495.1, VIT_218s0072g01140.1, VIT_210s0092g00510.1, VIT_219s0015g00080.1, VIT_219s0015g00110.1, VIT_219s0015g00100.1	Ds_00017343-RA
OG0000085	VIT_211s0016g01060.1	Ds_00013315-RA
OG0000085	VIT_209s0002g01110.1	Ds_00002345-RA
OG0000085	VIT_208s0056g00150.1	Ds_00006817-RA
OG0000085	VIT_211s0065g00470.2, VIT_211s0065g00470.1	Ds_00003374-RA
OG0000085	VIT_206s0004g00220.2, VIT_206s0004g00220.1	Ds_00013221-RA, Ds_00016552-RA
OG0000085	VIT_202s0087g00270.1	Ds_00007391-RA
OG0000087	VIT_208s0007g05390.1	Ds_00000857-RA
OG0000087	VIT_201s0026g00940.1	Ds_00015816-RA, Ds_00008978-RA
OG0000088	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2	Ds_00011160-RA
OG0000089	VIT_209s0002g05590.1, VIT_209s0002g05570.1, VIT_209s0002g05560.1, VIT_209s0002g05530.1, VIT_209s0002g05530.3, VIT_209s0002g05410.2, VIT_209s0002g05410.1, VIT_209s0002g05410.3, VIT_209s0002g05530.2	Ds_00010413-RA, Ds_00002434-RA
OG0000089	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1	Ds_00000919-RA, Ds_00000698-RA
OG0000089	VIT_211s0016g04590.1	Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA
OG0000090	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7	Ds_00003959-RA
OG0000090	VIT_200s0780g00040.1	Ds_00004417-RA
OG0000090	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3	Ds_00008033-RA, Ds_00010488-RA
OG0000091	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1	Ds_00005720-RA, Ds_00012613-RA
OG0000091	VIT_211s0052g01250.1	Ds_00007917-RA
OG0000091	VIT_211s0052g01230.1	Ds_00009843-RA
OG0000091	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1	Ds_00009911-RA, Ds_00000663-RA
OG0000092	VIT_219s0027g00830.1	Ds_00013213-RA, Ds_00006795-RA
OG0000093	VIT_213s0064g01740.1	Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA
OG0000095	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3	Ds_00016626-RA
OG0000095	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4	Ds_00005433-RA
OG0000095	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6	Ds_00005415-RA
OG0000096	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1	Ds_00011884-RA, Ds_00011885-RA
OG0000096	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA
OG0000097	VIT_217s0000g08760.1	Ds_00008970-RA
OG0000097	VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1	Ds_00011731-RA
OG0000098	VIT_218s0001g14360.1	Ds_00000511-RA
OG0000098	VIT_210s0003g05320.1	Ds_00004278-RA, Ds_00000887-RA
OG0000098	VIT_202s0025g03540.1, VIT_217s0000g02450.1	Ds_00001304-RA
OG0000098	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000098	VIT_216s0050g00380.1	Ds_00010103-RA
OG0000099	VIT_214s0006g01680.1	Ds_00012557-RA
OG0000102	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA, Ds_00011502-RA, Ds_00015916-RA
OG0000103	VIT_219s0027g00390.1	Ds_00007541-RA
OG0000103	VIT_208s0040g01930.5, VIT_208s0040g01930.7, VIT_208s0040g01930.4, VIT_208s0040g01930.3, VIT_208s0040g01930.8, VIT_208s0040g01930.2, VIT_208s0040g01930.6, VIT_208s0040g01930.1	Ds_00008775-RA
OG0000103	VIT_200s0370g00010.4, VIT_200s0370g00010.3, VIT_200s0370g00010.2, VIT_200s0370g00010.1	Ds_00015206-RA, Ds_00015118-RA
OG0000104	VIT_208s0007g02700.1	Ds_00015579-RA
OG0000104	VIT_208s0007g02710.1	Ds_00015800-RA, Ds_00015801-RA
OG0000105	VIT_214s0066g00460.2, VIT_214s0066g00460.1	Ds_00016593-RA, Ds_00001973-RA
OG0000105	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1	Ds_00004427-RA, Ds_00011176-RA, Ds_00014085-RA
OG0000105	VIT_208s0007g03600.1, VIT_208s0007g03600.2	Ds_00008720-RA, Ds_00016969-RA
OG0000105	VIT_206s0061g01540.1	Ds_00015702-RA
OG0000106	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1	Ds_00012991-RA
OG0000107	VIT_201s0011g04180.1	Ds_00008559-RA
OG0000108	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1	Ds_00004396-RA
OG0000109	VIT_203s0038g00700.1	Ds_00000324-RA
OG0000109	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1	Ds_00013208-RA
OG0000109	VIT_218s0001g13580.1	Ds_00000125-RA
OG0000110	VIT_218s0122g00420.1, VIT_218s0122g00520.1	Ds_00010855-RA
OG0000110	VIT_218s0122g00370.1	Ds_00011944-RA
OG0000110	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1	Ds_00016825-RA
OG0000110	VIT_218s0164g00110.4, VIT_218s0164g00110.3, VIT_218s0164g00110.2, VIT_218s0164g00110.1, VIT_218s0164g00170.1, VIT_218s0164g00100.2, VIT_218s0164g00100.1, VIT_218s0122g00170.1, VIT_218s0164g00090.1	Ds_00005164-RA
OG0000112	VIT_219s0027g00800.1	Ds_00016959-RA, Ds_00016949-RA
OG0000113	VIT_204s0008g05640.1	Ds_00004232-RA, Ds_00002603-RA
OG0000113	VIT_215s0048g00630.1	Ds_00016297-RA
OG0000113	VIT_212s0035g02000.1, VIT_202s0154g00320.1	Ds_00011325-RA
OG0000114	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1	Ds_00015893-RA, Ds_00015892-RA
OG0000115	VIT_208s0040g00710.1, VIT_208s0040g00715.1	Ds_00009366-RA
OG0000115	VIT_214s0060g00990.1, VIT_214s0060g01000.1	Ds_00011785-RA
OG0000115	VIT_207s0005g01745.1	Ds_00003925-RA, Ds_00003924-RA
OG0000116	VIT_206s0004g03890.1	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA
OG0000117	VIT_201s0011g05150.1, VIT_201s0011g05180.1, VIT_201s0011g05190.1, VIT_201s0011g05170.1	Ds_00008529-RA
OG0000117	VIT_201s0011g05120.1, VIT_201s0011g05110.1, VIT_201s0011g05140.1, VIT_201s0011g05130.1	Ds_00008532-RA, Ds_00008530-RA, Ds_00008531-RA
OG0000118	VIT_219s0015g01190.1	Ds_00011668-RA, Ds_00006827-RA
OG0000118	VIT_202s0025g01050.1	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA
OG0000118	VIT_203s0038g02390.1	Ds_00002816-RA
OG0000120	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3	Ds_00011028-RA
OG0000120	VIT_208s0007g06140.1	Ds_00011026-RA
OG0000120	VIT_213s0064g01380.1	Ds_00014982-RA
OG0000120	VIT_215s0046g03030.1, VIT_215s0046g03030.2	Ds_00015941-RA
OG0000122	VIT_211s0037g01170.1	Ds_00006648-RA
OG0000122	VIT_218s0001g08620.1, VIT_209s0002g08340.1	Ds_00016938-RA, Ds_00018075-RA
OG0000123	VIT_216s0100g00750.1, VIT_216s0100g01170.3, VIT_216s0100g01170.4, VIT_216s0100g01170.1, VIT_216s0100g01160.1, VIT_216s0100g01070.1, VIT_210s0042g00920.1, VIT_210s0042g00930.1, VIT_216s0100g00780.1, VIT_216s0100g00910.1, VIT_216s0100g00830.1, VIT_216s0100g01150.1, VIT_216s0100g01120.1, VIT_216s0100g01140.1, VIT_216s0100g01170.2, VIT_216s0100g01020.2, VIT_216s0100g00770.1, VIT_216s0100g00990.1, VIT_216s0100g01010.1, VIT_216s0100g01020.3, VIT_216s0100g00900.1, VIT_216s0100g00930.1, VIT_216s0100g00880.1, VIT_216s0100g01020.1, VIT_216s0100g01000.1, VIT_216s0100g01040.1, VIT_216s0100g00920.1, VIT_216s0100g00840.1, VIT_216s0100g00940.1, VIT_216s0100g00850.1	Ds_00017692-RA, Ds_00004523-RA
OG0000123	VIT_205s0136g00260.1	Ds_00005553-RA
OG0000124	VIT_203s0063g00820.1	Ds_00009554-RA
OG0000124	VIT_205s0020g03010.1, VIT_205s0020g03000.1	Ds_00003136-RA
