Orthogroup	V_vinifera.proteins	G_max.proteins
OG0000026	VIT_218s0001g04170.1, VIT_218s0001g04050.1, VIT_218s0001g04080.1, VIT_218s0001g05430.1, VIT_218s0001g05290.1, VIT_218s0001g04280.1, VIT_218s0001g05230.1, VIT_218s0001g04870.1, VIT_218s0001g04120.1, VIT_218s0001g05520.1, VIT_218s0001g05360.1, VIT_218s0001g05470.1, VIT_218s0001g04220.1, VIT_218s0001g04780.1, VIT_218s0001g05240.1, VIT_219s0014g01060.1, VIT_219s0014g01060.2, VIT_219s0014g01060.3, VIT_219s0014g01070.1, VIT_219s0014g04810.1, VIT_219s0014g04800.1, VIT_219s0014g02580.1, VIT_219s0014g02550.1, VIT_219s0014g02590.1	GmISU01.12G181500.1.p, GmISU01.13G247600.1.p
OG0000027	VIT_217s0000g05540.1	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p
OG0000027	VIT_214s0066g02550.1	GmISU01.13G043700.1.p, GmISU01.19G016900.1.p
OG0000027	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p
OG0000027	VIT_217s0000g05540.2	GmISU01.07G023600.4.p
OG0000027	VIT_209s0002g00130.2, VIT_209s0002g00130.1	GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p
OG0000027	VIT_211s0052g00620.1	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p
OG0000027	VIT_204s0008g02460.1	GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p
OG0000027	VIT_211s0149g00210.1	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p
OG0000027	VIT_209s0002g02260.1	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p
OG0000028	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1	GmISU01.09G114900.1.p
OG0000028	VIT_219s0085g00160.1	GmISU01.14G143700.1.p
OG0000029	VIT_217s0000g02105.1, VIT_217s0000g02100.1, VIT_218s0041g00010.1	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p
OG0000029	VIT_218s0041g00020.1, VIT_218s0041g00040.1	GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p
OG0000029	VIT_218s0001g01310.1	GmISU01.04G201000.1.p
OG0000029	VIT_203s0132g00390.1, VIT_203s0132g00350.1	GmISU01.09G026100.1.p
OG0000030	VIT_200s0918g00015.1	GmISU01.11G076400.1.p, GmISU01.01G123300.1.p
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p
OG0000030	VIT_200s0976g00003.1, VIT_200s0560g00020.1, VIT_200s0517g00010.1, VIT_200s0869g00010.1, VIT_200s0560g00010.1, VIT_200s0517g00020.1, VIT_200s1235g00030.1, VIT_200s0976g00006.1, VIT_200s2386g00010.1	GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p
OG0000030	VIT_200s0976g00010.1, VIT_200s1235g00020.1	GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p
OG0000031	VIT_210s0003g04920.1	GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p
OG0000031	VIT_212s0057g01060.1	GmISU01.03G037000.1.p, GmISU01.03G055300.1.p
OG0000031	VIT_204s0023g03790.1, VIT_204s0023g03810.1	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p
OG0000031	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1	GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p
OG0000032	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p
OG0000034	VIT_200s0532g00070.1	GmISU01.20G104100.1.p
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000034	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1	GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p
OG0000037	VIT_218s0001g11400.1	GmISU01.04G033500.1.p
OG0000037	VIT_218s0001g11560.1, VIT_218s0001g11530.1, VIT_218s0001g11500.1, VIT_218s0001g11480.1, VIT_218s0001g11490.1, VIT_218s0001g11430.1, VIT_218s0001g11470.1, VIT_218s0001g11520.1	GmISU01.06G032400.1.p, GmISU01.04G033400.1.p
OG0000037	VIT_218s0001g11580.1, VIT_218s0001g11570.1	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p, GmISU01.16G078400.1.p
OG0000037	VIT_207s0255g00090.1	GmISU01.01G143300.1.p, GmISU01.11G054400.1.p, GmISU01.11G054500.1.p, GmISU01.01G143400.1.p
OG0000038	VIT_219s0015g00070.1, VIT_217s0000g09550.1	GmISU01.04G152300.1.p
OG0000038	VIT_217s0000g09610.1	GmISU01.05G039200.1.p
OG0000038	VIT_217s0000g09570.1, VIT_217s0000g09510.1	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p
OG0000040	VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000040	VIT_217s0000g03330.1, VIT_217s0000g03330.2, VIT_214s0006g02630.1	GmISU01.05G203400.1.p, GmISU01.08G040800.1.p, GmISU01.08G040900.1.p
OG0000040	VIT_201s0011g03890.1, VIT_201s0011g03990.1, VIT_201s0011g03900.1, VIT_214s0006g02650.1	GmISU01.10G231000.4.p, GmISU01.20G085800.1.p, GmISU01.20G086300.4.p, GmISU01.20G086300.1.p, GmISU01.20G086300.2.p, GmISU01.20G086400.2.p, GmISU01.20G086400.1.p, GmISU01.20G086400.3.p, GmISU01.20G085900.2.p, GmISU01.20G086100.1.p, GmISU01.10G230900.1.p, GmISU01.20G085900.1.p, GmISU01.10G231000.2.p, GmISU01.20G086200.1.p, GmISU01.10G081500.1.p
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	VIT_207s0130g00040.1	GmISU01.06G147100.1.p, GmISU01.04G166400.1.p
OG0000041	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1	GmISU01.20G011000.1.p, GmISU01.07G183700.1.p
OG0000041	VIT_205s0049g01020.1, VIT_207s0005g03340.1	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p
OG0000041	VIT_205s0077g01360.1	GmISU01.19G063300.1.p
OG0000041	VIT_215s0046g00170.1	GmISU01.03G215400.1.p, GmISU01.19G216600.1.p, GmISU01.16G020400.1.p, GmISU01.07G050100.1.p
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000041	VIT_208s0007g07230.1	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	GmISU01.12G054200.1.p
OG0000042	VIT_213s0019g02140.1	GmISU01.11G201500.2.p, GmISU01.11G201500.1.p, GmISU01.18G033000.1.p, GmISU01.11G201600.1.p, GmISU01.11G201700.1.p, GmISU01.11G200700.1.p
OG0000042	VIT_206s0004g05370.1, VIT_206s0004g05360.1, VIT_206s0004g05340.3, VIT_206s0004g05430.3, VIT_206s0004g05430.2, VIT_206s0004g05430.1, VIT_206s0004g05340.2, VIT_206s0004g05340.1, VIT_206s0004g05330.1, VIT_206s0004g05380.1, VIT_206s0004g05390.1, VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2	GmISU01.11G123500.1.p
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	VIT_207s0129g00830.1, VIT_207s0129g00700.1, VIT_207s0129g00770.1, VIT_207s0129g00750.1	GmISU01.01G151300.1.p
OG0000043	VIT_218s0001g09650.1, VIT_218s0001g09500.1, VIT_218s0001g09510.1, VIT_218s0001g09520.1, VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1	GmISU01.11G085400.1.p
OG0000044	VIT_204s0023g01430.1	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	VIT_209s0054g01820.1	GmISU01.02G138600.2.p, GmISU01.02G138600.1.p
OG0000044	VIT_201s0010g02100.2, VIT_201s0010g02100.1	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p
OG0000044	VIT_212s0028g03030.2, VIT_212s0028g03030.1	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p
OG0000044	VIT_200s0179g00170.1	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	VIT_204s0023g01570.1	GmISU01.11G060900.3.p, GmISU01.11G060900.1.p, GmISU01.01G137200.1.p, GmISU01.01G137200.2.p, GmISU01.11G060900.4.p, GmISU01.16G114300.1.p, GmISU01.02G052000.1.p
OG0000046	VIT_211s0016g03880.1	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p
OG0000047	VIT_207s0031g01140.1	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
OG0000048	VIT_208s0058g01230.1, VIT_206s0004g08060.1	GmISU01.18G048900.1.p
OG0000048	VIT_208s0058g01210.1	GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p
OG0000048	VIT_213s0320g00050.1	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p
OG0000050	VIT_216s0098g01340.1, VIT_209s0054g01090.1	GmISU01.15G184350.1.p
