Orthogroup	V_vinifera.proteins	D_muscipula.proteins
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	Dm_00005610-RA, Dm_00016090-RA
OG0000041	VIT_207s0130g00040.1	Dm_00017104-RA, Dm_00020901-RA
OG0000041	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1	Dm_00004417-RA
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1	Dm_00009275-RA, Dm_00004200-RA
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	Dm_00010291-RA
OG0000041	VIT_211s0016g01320.1, VIT_211s0016g01310.1, VIT_204s0008g01840.1	Dm_00012002-RA
OG0000041	VIT_208s0007g07230.1	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA
OG0000042	VIT_206s0004g05320.1, VIT_206s0004g05320.2, VIT_206s0004g05450.1, VIT_206s0004g05280.5	Dm_00012006-RA
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	VIT_204s0023g01430.1	Dm_00020841-RA
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	Dm_00009532-RA, Dm_00014819-RA
OG0000044	VIT_200s0179g00170.1	Dm_00016520-RA
OG0000046	VIT_203s0063g02440.1	Dm_00020179-RA, Dm_00012741-RA
OG0000046	VIT_211s0016g03880.1	Dm_00006378-RA, Dm_00013509-RA
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	Dm_00014024-RA, Dm_00012683-RA
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	Dm_00007080-RA
OG0000047	VIT_207s0031g01140.1	Dm_00007969-RA, Dm_00020823-RA
OG0000047	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1	Dm_00005670-RA
OG0000047	VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4	Dm_00018046-RA
OG0000047	VIT_215s0048g01240.1, VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1	Dm_00010754-RA
OG0000047	VIT_212s0059g02675.1	Dm_00001976-RA
OG0000048	VIT_213s0320g00050.1	Dm_00000024-RA
OG0000050	VIT_216s0098g01340.1	Dm_00010232-RA, Dm_00016824-RA, Dm_00012378-RA, Dm_00019415-RA, Dm_00019277-RA, Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA, Dm_00018494-RA, Dm_00018187-RA, Dm_00015317-RA, Dm_00021049-RA, Dm_00006647-RA, Dm_00012380-RA, Dm_00020915-RA
OG0000052	VIT_203s0038g03060.2, VIT_203s0038g03060.4, VIT_203s0038g03060.1, VIT_203s0038g03060.5, VIT_203s0038g03060.3	Dm_00008735-RA
OG0000052	VIT_212s0034g00170.1	Dm_00012650-RA, Dm_00009999-RA, Dm_00013114-RA, Dm_00014555-RA, Dm_00015373-RA, Dm_00010919-RA, Dm_00021113-RA, Dm_00005709-RA, Dm_00008162-RA, Dm_00012999-RA, Dm_00017264-RA, Dm_00011508-RA, Dm_00019412-RA, Dm_00001186-RA, Dm_00018242-RA, Dm_00012720-RA, Dm_00009647-RA, Dm_00002695-RA, Dm_00008249-RA, Dm_00007501-RA, Dm_00015881-RA, Dm_00017354-RA, Dm_00015650-RA, Dm_00008192-RA, Dm_00013113-RA, Dm_00014277-RA, Dm_00012649-RA, Dm_00017209-RA, Dm_00012872-RA, Dm_00019700-RA, Dm_00008290-RA, Dm_00011509-RA, Dm_00019705-RA, Dm_00003942-RA, Dm_00016404-RA, Dm_00015812-RA, Dm_00012633-RA, Dm_00019929-RA, Dm_00015651-RA, Dm_00017355-RA, Dm_00013782-RA, Dm_00014947-RA, Dm_00019729-RA, Dm_00002983-RA, Dm_00014554-RA, Dm_00014912-RA, Dm_00019928-RA, Dm_00001185-RA, Dm_00007931-RA, Dm_00012998-RA, Dm_00008031-RA, Dm_00008032-RA, Dm_00012559-RA, Dm_00006023-RA, Dm_00012346-RA, Dm_00019701-RA, Dm_00014278-RA, Dm_00015588-RA, Dm_00015193-RA, Dm_00008163-RA, Dm_00008161-RA, Dm_00008752-RA, Dm_00008250-RA, Dm_00008877-RA, Dm_00006548-RA, Dm_00006902-RA, Dm_00019555-RA, Dm_00011953-RA, Dm_00016443-RA, Dm_00005456-RA, Dm_00009158-RA, Dm_00004405-RA
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	Dm_00019791-RA
OG0000055	VIT_205s0020g01770.1	Dm_00013087-RA, Dm_00006640-RA
OG0000055	VIT_207s0005g06450.1	Dm_00000927-RA
OG0000055	VIT_219s0014g00940.1, VIT_219s0090g00030.1	Dm_00000848-RA
OG0000055	VIT_210s0116g00850.1	Dm_00006448-RA, Dm_00014246-RA
OG0000055	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1, VIT_206s0004g03670.1	Dm_00011186-RA
OG0000058	VIT_208s0007g03650.1	Dm_00001789-RA, Dm_00000773-RA
OG0000059	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1	Dm_00007673-RA
OG0000060	VIT_203s0110g00150.1	Dm_00009221-RA, Dm_00019776-RA, Dm_00014611-RA, Dm_00011321-RA, Dm_00006664-RA, Dm_00009640-RA, Dm_00017358-RA, Dm_00010891-RA, Dm_00019940-RA, Dm_00021085-RA, Dm_00013756-RA, Dm_00010328-RA, Dm_00011116-RA, Dm_00000620-RA, Dm_00008660-RA, Dm_00010462-RA, Dm_00009641-RA, Dm_00020104-RA, Dm_00016085-RA
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	Dm_00017284-RA, Dm_00001327-RA
OG0000063	VIT_218s0001g06850.3, VIT_218s0001g06850.6, VIT_218s0001g06850.1, VIT_218s0001g06850.2, VIT_218s0001g06850.5, VIT_218s0001g06850.4, VIT_206s0004g07740.1, VIT_208s0058g00970.1, VIT_208s0058g00970.3, VIT_208s0058g00970.2	Dm_00000040-RA
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	Dm_00018921-RA
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	Dm_00004643-RA, Dm_00004223-RA
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	Dm_00011275-RA
OG0000070	VIT_204s0044g00580.1	Dm_00019678-RA
OG0000070	VIT_212s0178g00200.4	Dm_00017292-RA
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	Dm_00008155-RA
OG0000071	VIT_217s0000g09810.1, VIT_214s0219g00230.2, VIT_214s0219g00230.1	Dm_00001685-RA
OG0000071	VIT_208s0007g04820.1	Dm_00016304-RA
OG0000071	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4	Dm_00012616-RA
OG0000071	VIT_205s0051g00590.1	Dm_00019310-RA
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	Dm_00008368-RA, Dm_00000932-RA
OG0000072	VIT_200s2837g00010.1	Dm_00015257-RA
OG0000072	VIT_204s0023g03120.1	Dm_00012063-RA
OG0000072	VIT_206s0004g01710.1, VIT_206s0004g01690.1, VIT_218s0072g00800.1, VIT_204s0044g00560.1, VIT_213s0064g01340.1	Dm_00019149-RA
OG0000077	VIT_203s0038g02050.1	Dm_00004852-RA, Dm_00021132-RA
OG0000077	VIT_206s0004g00980.1, VIT_206s0004g00970.1	Dm_00009375-RA
OG0000078	VIT_206s0061g00475.1, VIT_207s0005g05300.1, VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA
OG0000085	VIT_211s0016g01060.1	Dm_00002079-RA, Dm_00008755-RA
OG0000085	VIT_209s0002g01110.1	Dm_00018382-RA, Dm_00014711-RA
OG0000085	VIT_208s0056g00150.1	Dm_00000001-RA
OG0000085	VIT_211s0065g00470.2, VIT_211s0065g00470.1	Dm_00021097-RA
OG0000085	VIT_206s0004g00220.2, VIT_206s0004g00220.1	Dm_00020301-RA
OG0000085	VIT_202s0087g00270.1	Dm_00011328-RA
OG0000087	VIT_208s0007g05390.1	Dm_00009408-RA
OG0000087	VIT_201s0026g00940.1	Dm_00020143-RA, Dm_00002856-RA
OG0000088	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1	Dm_00006025-RA
OG0000088	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2	Dm_00016161-RA
OG0000089	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	VIT_211s0016g04590.1	Dm_00005052-RA, Dm_00008000-RA, Dm_00005053-RA, Dm_00014697-RA, Dm_00001050-RA
OG0000090	VIT_200s0780g00040.1	Dm_00017037-RA
OG0000090	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3	Dm_00004995-RA
OG0000091	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1	Dm_00002549-RA, Dm_00011577-RA
OG0000091	VIT_211s0052g01250.1	Dm_00004862-RA
OG0000091	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1	Dm_00000624-RA, Dm_00001319-RA, Dm_00002331-RA
OG0000092	VIT_213s0067g00650.1	Dm_00003221-RA, Dm_00003211-RA
OG0000092	VIT_219s0027g00830.1	Dm_00008014-RA, Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA, Dm_00019542-RA, Dm_00018772-RA, Dm_00019544-RA, Dm_00016580-RA, Dm_00003219-RA, Dm_00009722-RA, Dm_00019429-RA, Dm_00019543-RA
OG0000092	VIT_213s0084g00060.1	Dm_00002958-RA
OG0000093	VIT_213s0064g01740.1	Dm_00014861-RA, Dm_00016946-RA, Dm_00008254-RA, Dm_00012465-RA
OG0000095	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3	Dm_00013674-RA
OG0000095	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6	Dm_00001105-RA
OG0000096	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1	Dm_00002220-RA
OG0000096	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1	Dm_00002364-RA, Dm_00001356-RA, Dm_00001357-RA
OG0000097	VIT_217s0000g08760.1	Dm_00005636-RA, Dm_00005630-RA
OG0000097	VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1	Dm_00006030-RA
OG0000097	VIT_212s0057g00820.1, VIT_216s0013g01710.1	Dm_00017352-RA
OG0000098	VIT_218s0001g14360.1	Dm_00003034-RA
OG0000098	VIT_210s0003g05320.1	Dm_00021020-RA
OG0000098	VIT_202s0025g03540.1, VIT_217s0000g02450.1	Dm_00015457-RA
OG0000098	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1	Dm_00004482-RA, Dm_00015844-RA
OG0000098	VIT_216s0050g00380.1	Dm_00003528-RA
OG0000098	VIT_202s0025g03680.1	Dm_00013312-RA, Dm_00006029-RA
OG0000102	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3	Dm_00001450-RA, Dm_00018156-RA, Dm_00001449-RA, Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA, Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
OG0000103	VIT_219s0027g00390.1	Dm_00020702-RA
OG0000103	VIT_200s0370g00010.4, VIT_200s0370g00010.3, VIT_200s0370g00010.2, VIT_200s0370g00010.1	Dm_00001448-RA
OG0000103	VIT_219s0014g01530.3, VIT_219s0014g01530.1, VIT_219s0014g01530.2, VIT_215s0024g01320.1	Dm_00020247-RA
OG0000104	VIT_208s0007g02700.1	Dm_00012898-RA
OG0000104	VIT_208s0007g02710.1	Dm_00001406-RA
OG0000105	VIT_214s0066g00460.2, VIT_214s0066g00460.1	Dm_00012589-RA
OG0000105	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1	Dm_00013721-RA, Dm_00001881-RA
OG0000105	VIT_208s0007g03600.1, VIT_208s0007g03600.2	Dm_00000769-RA, Dm_00001787-RA
OG0000105	VIT_206s0061g01540.1	Dm_00006766-RA
OG0000106	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA
OG0000107	VIT_201s0011g04180.1	Dm_00002832-RA, Dm_00001602-RA
OG0000107	VIT_214s0006g02480.3, VIT_214s0006g02480.2, VIT_214s0006g02480.1, VIT_214s0006g02480.4, VIT_214s0006g02480.6, VIT_214s0006g02480.5	Dm_00001603-RA
OG0000108	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA
OG0000108	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1	Dm_00014168-RA
OG0000109	VIT_203s0038g00700.1	Dm_00003433-RA
OG0000109	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1	Dm_00007914-RA
OG0000109	VIT_218s0001g13580.1	Dm_00012182-RA
OG0000110	VIT_218s0122g00420.1, VIT_218s0122g00520.1	Dm_00010771-RA
OG0000110	VIT_218s0122g00370.1	Dm_00016846-RA
OG0000110	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1	Dm_00017526-RA
OG0000110	VIT_218s0164g00110.4, VIT_218s0164g00110.3, VIT_218s0164g00110.2, VIT_218s0164g00110.1, VIT_218s0164g00170.1, VIT_218s0164g00100.2, VIT_218s0164g00100.1, VIT_218s0122g00170.1, VIT_218s0164g00090.1	Dm_00018936-RA, Dm_00009959-RA, Dm_00005480-RA, Dm_00014565-RA
OG0000113	VIT_204s0008g05640.1	Dm_00016399-RA
OG0000113	VIT_212s0035g02000.1, VIT_202s0154g00320.1	Dm_00006694-RA, Dm_00006695-RA
OG0000114	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1	Dm_00013880-RA
OG0000115	VIT_214s0060g00990.1, VIT_214s0060g01000.1	Dm_00013370-RA
OG0000115	VIT_207s0005g01745.1	Dm_00015940-RA, Dm_00015939-RA, Dm_00008526-RA, Dm_00005665-RA, Dm_00005666-RA
OG0000116	VIT_206s0004g03890.1	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA
OG0000118	VIT_219s0015g01190.1	Dm_00001565-RA
OG0000118	VIT_202s0025g01050.1	Dm_00002039-RA, Dm_00015779-RA
OG0000118	VIT_203s0038g02390.1	Dm_00006495-RA
OG0000120	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3	Dm_00019247-RA
OG0000120	VIT_208s0007g06140.1	Dm_00008637-RA
OG0000120	VIT_213s0064g01380.1	Dm_00001877-RA
OG0000120	VIT_215s0046g03030.1, VIT_215s0046g03030.2	Dm_00017973-RA
OG0000121	VIT_214s0036g01040.1, VIT_214s0036g01050.1, VIT_201s0011g00800.1, VIT_206s0009g00800.1	Dm_00017678-RA
OG0000121	VIT_206s0009g00780.1	Dm_00021095-RA
OG0000122	VIT_218s0001g08620.1	Dm_00016543-RA
OG0000122	VIT_209s0002g08340.1	Dm_00009338-RA
OG0000123	VIT_216s0100g00750.1, VIT_216s0100g01170.3, VIT_216s0100g01170.4, VIT_216s0100g01170.1, VIT_216s0100g01160.1, VIT_216s0100g01070.1, VIT_210s0042g00920.1, VIT_210s0042g00930.1, VIT_216s0100g00780.1, VIT_216s0100g00910.1, VIT_216s0100g00830.1, VIT_216s0100g01150.1, VIT_216s0100g01120.1, VIT_216s0100g01140.1, VIT_216s0100g01170.2, VIT_216s0100g01020.2, VIT_216s0100g00770.1, VIT_216s0100g00990.1, VIT_216s0100g01010.1, VIT_216s0100g01020.3, VIT_216s0100g00900.1, VIT_216s0100g00930.1, VIT_216s0100g00880.1, VIT_216s0100g01020.1, VIT_216s0100g01000.1, VIT_216s0100g01040.1, VIT_216s0100g00920.1, VIT_216s0100g00840.1, VIT_216s0100g00940.1, VIT_216s0100g00850.1	Dm_00013069-RA, Dm_00000436-RA
OG0000123	VIT_214s0068g00920.2, VIT_214s0068g00920.3, VIT_214s0068g00920.1	Dm_00020844-RA
OG0000123	VIT_205s0136g00260.1	Dm_00006567-RA, Dm_00005134-RA
OG0000124	VIT_205s0020g03010.1, VIT_205s0020g03000.1	Dm_00007112-RA
OG0000125	VIT_207s0104g00830.1	Dm_00004819-RA
OG0000125	VIT_214s0030g00320.1, VIT_214s0030g00200.1, VIT_214s0030g00230.1, VIT_214s0030g00230.2, VIT_214s0030g00240.1, VIT_214s0030g00260.1, VIT_214s0030g00280.1, VIT_214s0030g00250.1	Dm_00000561-RA
OG0000125	VIT_205s0020g02170.1	Dm_00019657-RA
OG0000127	VIT_207s0104g01340.1	Dm_00001228-RA, Dm_00006084-RA
OG0000127	VIT_204s0043g00980.1	Dm_00015587-RA
OG0000129	VIT_204s0069g00740.1	Dm_00018929-RA, Dm_00010360-RA
