,target_id,AT_gene_id,Symbol,Description,Position
30,Dm_00001993-RA,AT5G39660.3, Symbols: CDF2 , cycling DOF factor 2 , chr5:15878920-15880712 FORWARD LENGTH=457
31,Dm_00004414-RA,AT2G01340.1, Symbols: At17.1 ,  , chr2:164014-165068 FORWARD LENGTH=215
32,Dm_00007552-RA,AT1G34750.3, Symbols: CIPP1 , CERK-1 interacting protein phosphatase 1 , chr1:12736386-12737727 REVERSE LENGTH=282
33,Dm_00008814-RA,AT5G53460.3, Symbols: GLT1 , NADH-dependent glutamate synthase 1 , chr5:21700518-21709629 FORWARD LENGTH=2208
34,Dm_00011640-RA,AT2G13650.5, Symbols: GONST1 , golgi nucleotide sugar transporter 1 , chr2:5687584-5689709 REVERSE LENGTH=244
35,Dm_00013162-RA,AT4G23060.1, Symbols: IQD22 , IQ-domain 22 , chr4:12087283-12090408 FORWARD LENGTH=484
36,Dm_00017741-RA,AT5G49230.2," Symbols: HRB1, AtDIL9-7 "," DROUGHT INDUCED LIKE9-7, HYPERSENSITIVE TO RED AND BLUE ", chr5:19959048-19960422 REVERSE LENGTH=206
37,Dm_00007357-RA,AT1G10490.2, Symbols: no symbol available , no full name available , chr1:3453589-3459925 FORWARD LENGTH=1028
38,Dm_00019690-RA,AT3G23990.1," Symbols: HSP60, HSP60-3B "," heat shock protein 60, HEAT SHOCK PROTEIN 60-3B ", chr3:8669013-8672278 FORWARD LENGTH=577
39,Dm_00012573-RA,NA,,,
40,Dm_00013238-RA,AT3G48530.1," Symbols: KINgamma, KING1 ", SNF1-related protein kinase regulatory subunit gamma 1 , chr3:17987559-17989592 FORWARD LENGTH=424
41,Dm_00008602-RA,AT3G23990.1," Symbols: HSP60, HSP60-3B "," heat shock protein 60, HEAT SHOCK PROTEIN 60-3B ", chr3:8669013-8672278 FORWARD LENGTH=577
42,Dm_00013103-RA,AT5G24810.1, Symbols: ABC1K11 ,  , chr5:8516902-8522616 REVERSE LENGTH=1009
43,Dm_00016415-RA,AT5G41800.1, Symbols: no symbol available , no full name available , chr5:16733842-16735888 FORWARD LENGTH=452
44,Dm_00011173-RA,AT1G77120.1," Symbols: ADH1, ATADH, ADH, ATADH1 "," ARABIDOPSIS THALIANA ALCOHOL DEHYDROGENASE, ALCOHOL DEHYDROGENASE, alcohol dehydrogenase 1 ", chr1:28975509-28977216 FORWARD LENGTH=379
45,Dm_00003868-RA,AT2G27470.1, Symbols: NF-YB11 ," ""nuclear factor Y, subunit B11"" ", chr2:11745196-11746375 REVERSE LENGTH=275
46,Dm_00002697-RA,AT1G01060.4," Symbols: LHY1, LHY "," LATE ELONGATED HYPOCOTYL, LATE ELONGATED HYPOCOTYL 1 ", chr1:33992-37061 REVERSE LENGTH=644
47,Dm_00006619-RA,AT2G23140.5," Symbols: AtPUB4, PUB4 ", plant U-box 4 , chr2:9845696-9847721 REVERSE LENGTH=637
48,Dm_00001071-RA,AT5G66920.1, Symbols: sks17 , SKU5  similar 17 , chr5:26722963-26725370 FORWARD LENGTH=546
49,Dm_00002233-RA,AT4G15080.2, Symbols: no symbol available , no full name available , chr4:8609085-8612229 REVERSE LENGTH=718
50,Dm_00012574-RA,NA,,,
51,Dm_00012974-RA,AT2G42320.2, Symbols: no symbol available , no full name available , chr2:17628102-17630657 FORWARD LENGTH=669
52,Dm_00019670-RA,AT5G15720.1, Symbols: GLIP7 , GDSL-motif lipase 7 , chr5:5124684-5126155 REVERSE LENGTH=364
53,Dm_00009590-RA,AT3G59350.6, Symbols: MAZ , MAZZA , chr3:21933221-21934883 FORWARD LENGTH=423
54,Dm_00013794-RA,AT3G62270.1, Symbols: BOR2 , REQUIRES HIGH BORON 2 , chr3:23042528-23045633 REVERSE LENGTH=703
55,Dm_00020683-RA,AT5G27930.2, Symbols: EGR2 , E Growth-Regulating 2 , chr5:9958199-9960219 REVERSE LENGTH=373
56,Dm_00000560-RA,AT3G21510.1, Symbols: AHP1 , histidine-containing phosphotransmitter 1 , chr3:7578432-7579537 REVERSE LENGTH=154
57,Dm_00000204-RA,AT3G49550.1, Symbols: no symbol available , no full name available , chr3:18368201-18368644 FORWARD LENGTH=147
58,Dm_00009269-RA,AT1G72680.1," Symbols: ATCAD1, CAD1 "," CINNAMYL ALCOHOL DEHYDROGENASE 1, cinnamyl-alcohol dehydrogenase ", chr1:27359346-27360876 REVERSE LENGTH=355
59,Dm_00016567-RA,AT4G09810.1, Symbols: URGT5 , UDP-Rha/UDP-Gal transporter 5 , chr4:6175415-6176892 REVERSE LENGTH=335
60,Dm_00008271-RA,AT2G30370.3," Symbols: AtEPFL6, EPFL6, CHAL "," CHALLAH, epidermis patterning factor (EPF1)-like 6 ", chr2:12940577-12942579 REVERSE LENGTH=166
61,Dm_00001189-RA,AT5G04170.1, Symbols: no symbol available , no full name available , chr5:1145579-1147519 FORWARD LENGTH=354
62,Dm_00013010-RA,AT4G33600.1, Symbols: no symbol available , no full name available , chr4:16144452-16145864 REVERSE LENGTH=470
63,Dm_00018867-RA,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
64,Dm_00003556-RA,NA,,,
65,Dm_00004788-RA,AT5G16110.1, Symbols: no symbol available , no full name available , chr5:5261171-5262668 REVERSE LENGTH=244
66,Dm_00007701-RA,AT1G12360.1," Symbols: SEC11, KEU ", keule , chr1:4201172-4206144 FORWARD LENGTH=666
67,Dm_00019790-RA,AT1G04030.2, Symbols: no symbol available , no full name available , chr1:1040597-1042313 FORWARD LENGTH=434
68,Dm_00002000-RA,AT2G02960.6, Symbols: no symbol available , no full name available , chr2:862346-863980 REVERSE LENGTH=271
69,Dm_00004067-RA,AT5G46240.1," Symbols: AtKAT1, KAT1 ", potassium channel in Arabidopsis thaliana 1 , chr5:18743652-18746561 REVERSE LENGTH=677
70,Dm_00011800-RA,AT4G32295.1, Symbols: KIX9 , kinase-inducible domain interacting 9 , chr4:15592960-15594080 FORWARD LENGTH=238
71,Dm_00004116-RA,AT1G21680.1, Symbols: no symbol available , no full name available , chr1:7613028-7615148 FORWARD LENGTH=706
72,Dm_00013442-RA,AT2G36670.2, Symbols: no symbol available , no full name available , chr2:15364949-15368016 REVERSE LENGTH=507
73,Dm_00012925-RA,AT1G01225.1, Symbols: no symbol available , no full name available , chr1:96064-97242 FORWARD LENGTH=260
74,Dm_00006931-RA,NA,,,
75,Dm_00011275-RA,AT2G37080.3," Symbols: ICR2, RIP2, RIP3 "," interactor of constitutively active ROP2, ROP interactive partner 2, ROP interactive partner 3 ", chr2:15581565-15584057 REVERSE LENGTH=581
76,Dm_00016822-RA,AT3G26590.1, Symbols: no symbol available , no full name available , chr3:9761927-9765259 REVERSE LENGTH=500
77,Dm_00005991-RA,AT1G54220.2, Symbols: mtE2-3 , mitochondrial pyruvate dehydrogenase subunit 2-3 , chr1:20246460-20250208 REVERSE LENGTH=539
78,Dm_00012820-RA,AT2G34690.1, Symbols: ACD11 , ACCELERATED CELL DEATH 11 , chr2:14630425-14631779 FORWARD LENGTH=206
79,Dm_00016522-RA,AT1G19190.1, Symbols: NPF5.1 ,  , chr1:6623876-6624832 FORWARD LENGTH=318
80,Dm_00015603-RA,AT2G31955.5, Symbols: CNX2 , cofactor of nitrate reductase and xanthine dehydrogenase 2 , chr2:13584635-13586484 REVERSE LENGTH=390
81,Dm_00002189-RA,AT2G03350.1, Symbols: no symbol available , no full name available , chr2:1019733-1021071 REVERSE LENGTH=179
82,Dm_00010813-RA,AT1G75250.2," Symbols: ATRL6, RSM3, RL6 "," RADIALIS-LIKE SANT/MYB 3, RAD-like 6 ", chr1:28244463-28245453 REVERSE LENGTH=97
83,Dm_00014769-RA,AT4G00720.1," Symbols: SK32, ATSK32, ASKTHETA "," shaggy-like protein kinase 32, SHAGGY-LIKE PROTEIN KINASE THETA ", chr4:294116-297002 REVERSE LENGTH=472
84,Dm_00005870-RA,AT3G54320.3," Symbols: ATWRI1, WRI1, ASML1, WRI "," WRINKLED, WRINKLED 1, ACTIVATOR OF SPO(MIN)::LUC1 ", chr3:20114809-20118473 FORWARD LENGTH=430
85,Dm_00001167-RA,AT2G41410.1, Symbols: no symbol available , no full name available , chr2:17262085-17262735 REVERSE LENGTH=216
86,Dm_00011906-RA,AT3G01680.1," Symbols: AtSEOR1, SEOR1, SEOb "," Arabidopsis thaliana sieve element occlusion-related 1, sieve element occlusion b, Sieve-Element-Occlusion-Related 1 ", chr3:252033-255246 FORWARD LENGTH=740
87,Dm_00017791-RA,AT4G05200.1, Symbols: CRK25 , cysteine-rich RLK (RECEPTOR-like protein kinase) 25 , chr4:2679793-2682309 REVERSE LENGTH=675
88,Dm_00013771-RA,AT3G01750.2, Symbols: no symbol available , no full name available , chr3:270615-272691 FORWARD LENGTH=664
89,Dm_00004066-RA,AT2G34510.1, Symbols: AthB-1 ,  , chr2:14544114-14546732 REVERSE LENGTH=401
90,Dm_00005956-RA,AT3G11760.1, Symbols: no symbol available , no full name available , chr3:3718529-3721123 FORWARD LENGTH=702
91,Dm_00014449-RA,AT5G61350.1," Symbols: ERU, CAP1 "," ERULUS, [Ca2+]cyt-associated protein kinase 1 ", chr5:24667973-24670501 FORWARD LENGTH=842
92,Dm_00015134-RA,AT4G02280.1," Symbols: SUS3, ATSUS3 ", sucrose synthase 3 , chr4:995166-998719 FORWARD LENGTH=809
93,Dm_00014995-RA,AT5G62680.1," Symbols: GTR2, AtNPF2.11, NPF2.11 "," GLUCOSINOLATE TRANSPORTER-2, NRT1/ PTR family 2.11 ", chr5:25165430-25167822 REVERSE LENGTH=616
94,Dm_00001386-RA,NA,,,
95,Dm_00006372-RA,AT2G28000.1," Symbols: ARC2, CH-CPN60A, SLP, CPN60A, Cpn60alpha1, CPNA1 "," SCHLEPPERLESS, chaperonin-60alpha1, CHLOROPLAST CHAPERONIN 60ALPHA, ACCUMULATION AND REPLICATION OF CHLOROPLASTS 2, chaperonin-60alpha ", chr2:11926603-11929184 FORWARD LENGTH=586
96,Dm_00011100-RA,AT1G78600.1," Symbols: LZF1, STH3, BBX22, DBB3 "," DOUBLE B-BOX 3, light-regulated zinc finger protein 1, B-box domain protein 22, SALT TOLERANCE HOMOLOG 3 ", chr1:29567370-29568662 FORWARD LENGTH=299
97,Dm_00011159-RA,AT5G05170.1," Symbols: CEV1, IXR1, ELI1, ATH-B, CESA3, MRE1, ATCESA3 "," ISOXABEN RESISTANT  1, ECTOPIC LIGNIFICATION 1, CONSTITUTIVE EXPRESSION OF VSP 1, multiple response expansion 1, CELLULOSE SYNTHASE 3 ", chr5:1530401-1535090 REVERSE LENGTH=1065
98,Dm_00013017-RA,AT4G04940.1, Symbols: no symbol available , no full name available , chr4:2511212-2517052 REVERSE LENGTH=910
99,Dm_00018225-RA,AT5G25220.2, Symbols: KNAT3 , KNOTTED1-like homeobox gene 3 , chr5:8736208-8738087 FORWARD LENGTH=419
100,Dm_00015223-RA,AT5G10910.1, Symbols: CMAL , Chloroplast MraW-Like , chr5:3439588-3441517 FORWARD LENGTH=434
101,Dm_00004667-RA,AT5G54290.1, Symbols: CcdA ,  , chr5:22051097-22053923 FORWARD LENGTH=354
102,Dm_00002068-RA,AT4G35240.4, Symbols: no symbol available , no full name available , chr4:16761479-16764324 REVERSE LENGTH=846
103,Dm_00005782-RA,AT1G04250.1," Symbols: AtIAA17, IAA17, AXR3 "," indole-3-acetic acid inducible 17, AUXIN RESISTANT 3 ", chr1:1136382-1138340 FORWARD LENGTH=229
104,Dm_00009414-RA,AT1G75840.1," Symbols: ATROP4, ROP4, ATGP3, ARAC5 "," RAC-like GTP binding protein 5, ARABIDOPSIS THALIANA GERANYLGERANYLATED PROTEIN 3, RHO-LIKE GTP BINDING PROTEIN 4 ", chr1:28475964-28477377 FORWARD LENGTH=196
105,Dm_00011169-RA,AT5G61430.1," Symbols: NAC100, ATNAC5, ANAC100 ", NAC domain containing protein 100 , chr5:24701328-24702553 REVERSE LENGTH=336
106,Dm_00001880-RA,AT3G52140.1," Symbols: FMT, NOXY38, FRIENDLY "," FRIENDLY MITOCHONDRIA, non responding to oxylipins 38 ", chr3:19333232-19341295 FORWARD LENGTH=1403
107,Dm_00003360-RA,AT2G23620.1," Symbols: MES1, ATMES1 "," methyl esterase 1, ARABIDOPSIS THALIANA METHYL ESTERASE 1 ", chr2:10047462-10049248 REVERSE LENGTH=263
108,Dm_00004311-RA,AT5G59790.2, Symbols: SOK5 , SOSEKI5 , chr5:24090950-24092426 FORWARD LENGTH=386
109,Dm_00003830-RA,AT4G12080.1," Symbols: AHL1, ATAHL1 ", AT-hook motif nuclear-localized protein 1 , chr4:7239466-7241246 FORWARD LENGTH=356
110,Dm_00008931-RA,AT4G23160.1, Symbols: CRK8 , cysteine-rich RLK (RECEPTOR-like protein kinase) 8 , chr4:12131325-12134086 FORWARD LENGTH=682
111,Dm_00012365-RA,AT5G42800.1," Symbols: TT3, M318, DFR ", dihydroflavonol 4-reductase , chr5:17164296-17165864 REVERSE LENGTH=382
112,Dm_00001973-RA,NA,,,
113,Dm_00014598-RA,AT3G03800.2," Symbols: ATSYP131, SYP131 ", syntaxin of plants 131 , chr3:969314-971460 FORWARD LENGTH=306
114,Dm_00016479-RA,NA,,,
115,Dm_00003068-RA,AT5G52030.2, Symbols: no symbol available , no full name available , chr5:21128291-21130034 FORWARD LENGTH=402
116,Dm_00005737-RA,AT1G77280.2, Symbols: no symbol available , no full name available , chr1:29031468-29034574 REVERSE LENGTH=753
117,Dm_00015526-RA,AT4G24390.2, Symbols: AFB4 , auxin signaling F-box 4 , chr4:12613909-12615966 REVERSE LENGTH=623
118,Dm_00015938-RA,AT5G53940.1, Symbols: no symbol available , no full name available , chr5:21897164-21898589 REVERSE LENGTH=129
119,Dm_00001361-RA,AT1G10200.1," Symbols: WLIM1, AtWLIM1 ", WLIM1 , chr1:3346677-3347763 REVERSE LENGTH=190
120,Dm_00001969-RA,AT1G65380.1," Symbols: CLV2, AtRLP10 "," Receptor Like Protein 10, clavata 2 ", chr1:24286943-24289105 FORWARD LENGTH=720
121,Dm_00005273-RA,AT5G02810.1," Symbols: APRR7, PRR7 ", pseudo-response regulator 7 , chr5:638283-641461 REVERSE LENGTH=727
122,Dm_00018315-RA,AT4G14368.2, Symbols: no symbol available , no full name available , chr4:8274313-8278810 REVERSE LENGTH=1089
123,Dm_00008736-RA,AT5G20250.4," Symbols: RS6, DIN10 "," raffinose synthase 6, DARK INDUCIBLE 10 ", chr5:6833730-6836635 FORWARD LENGTH=844
124,Dm_00003027-RA,AT4G16630.1, Symbols: no symbol available , no full name available , chr4:9362176-9366449 REVERSE LENGTH=789
125,Dm_00004152-RA,AT3G10300.3, Symbols: no symbol available , no full name available , chr3:3186436-3188071 FORWARD LENGTH=335
126,Dm_00014337-RA,AT5G61380.1," Symbols: PRR1, AtTOC1, TOC1, APRR1 "," TIMING OF CAB EXPRESSION 1, PSEUDO-RESPONSE REGULATOR 1 ", chr5:24675540-24678176 FORWARD LENGTH=618
127,Dm_00010954-RA,AT3G02300.2, Symbols: no symbol available , no full name available , chr3:461518-463929 FORWARD LENGTH=482
128,Dm_00000670-RA,AT5G05830.1, Symbols: no symbol available , no full name available , chr5:1755910-1756825 FORWARD LENGTH=204
129,Dm_00007110-RA,AT2G36530.1," Symbols: LOS2, ENO2 "," LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 2, enolase 2 ", chr2:15321081-15323786 REVERSE LENGTH=444
130,Dm_00001663-RA,AT1G47128.1," Symbols: RD21, RD21A "," responsive to dehydration 21A, responsive to dehydration 21 ", chr1:17283139-17285609 REVERSE LENGTH=462
131,Dm_00016161-RA,AT1G07650.2, Symbols: LMK1 , leucine-rich repeat receptor-like kinase with extracellular malectin-like domain 1 , chr1:2359817-2366423 REVERSE LENGTH=1020
132,Dm_00008567-RA,AT3G18580.1, Symbols: SSB2 , Mitochondrial single-stranded binding protein 2 , chr3:6396940-6398068 REVERSE LENGTH=217
133,Dm_00017885-RA,NA,,,
134,Dm_00014318-RA,AT5G42240.1, Symbols: scpl42 , serine carboxypeptidase-like 42 , chr5:16888717-16890931 FORWARD LENGTH=473
135,Dm_00008089-RA,AT3G14690.2, Symbols: CYP72A15 ," ""cytochrome P450, family 72, subfamily A, polypeptide 15"" ", chr3:4937305-4939310 FORWARD LENGTH=547
136,Dm_00007294-RA,AT4G34910.1, Symbols: no symbol available , no full name available , chr4:16631661-16634834 FORWARD LENGTH=626
137,Dm_00016316-RA,NA,,,
138,Dm_00015468-RA,AT2G39210.1, Symbols: PIC30 , PICLORAM RESISTANT30 , chr2:16366287-16368231 REVERSE LENGTH=601
139,Dm_00016992-RA,AT4G05520.1," Symbols: ATEHD2, EHD2 ", EPS15 homology domain 2 , chr4:2804522-2807833 FORWARD LENGTH=546
140,Dm_00007613-RA,AT3G47730.1," Symbols: ATH1, ABCA2, ATATH1 "," A. THALIANA ABC2 HOMOLOG 1, ABC2 homolog 1, ATP-binding cassette A2 ", chr3:17594342-17598828 REVERSE LENGTH=983
141,Dm_00013628-RA,AT5G11520.1," Symbols: YLS4, ASP3 "," aspartate aminotransferase 3, YELLOW-LEAF-SPECIFIC GENE 4 ", chr5:3685257-3687721 REVERSE LENGTH=449
142,Dm_00015333-RA,AT4G35310.2," Symbols: CPK5, ATCPK5 ", calmodulin-domain protein kinase 5 , chr4:16802436-16804628 FORWARD LENGTH=556
143,Dm_00017582-RA,AT3G24315.1," Symbols: SEC20, AtSec20 ",  , chr3:8820599-8822445 REVERSE LENGTH=293
144,Dm_00004106-RA,AT4G08900.1, Symbols: ARGAH1 , arginine amidohydrolase 1 , chr4:5703499-5705180 FORWARD LENGTH=342
145,Dm_00007194-RA,NA,,,
146,Dm_00018430-RA,AT3G02550.1, Symbols: LBD41 , LOB domain-containing protein 41 , chr3:536747-537650 REVERSE LENGTH=263
147,Dm_00010726-RA,AT2G45220.1," Symbols: AtPME17, PME17 ", pectin methylesterase 17 , chr2:18644281-18646394 REVERSE LENGTH=511
148,Dm_00013629-RA,AT5G19550.1," Symbols: AAT2, ASP2 "," ASPARTATE AMINOTRANSFERASE 2, aspartate aminotransferase 2 ", chr5:6598201-6601597 FORWARD LENGTH=405
149,Dm_00009030-RA,AT4G12910.1, Symbols: scpl20 , serine carboxypeptidase-like 20 , chr4:7550576-7553051 REVERSE LENGTH=497
150,Dm_00011202-RA,NA,,,
151,Dm_00012216-RA,AT3G17510.1," Symbols: SnRK3.16, CIPK1 "," CBL-interacting protein kinase 1, SNF1-RELATED PROTEIN KINASE 3.16 ", chr3:5989309-5992627 REVERSE LENGTH=444
152,Dm_00012960-RA,AT4G17170.1," Symbols: RAB2A, AT-RAB2, ATRAB2A, ATRABB1C, RAB-B1B, ATRAB-B1B, RABB1C "," ARABIDOPSIS RAB GTPASE HOMOLOG B1B, RAB GTPase homolog B1C, RAB GTPASE HOMOLOG B1B ", chr4:9644908-9646220 REVERSE LENGTH=211
153,Dm_00013481-RA,AT5G12420.1, Symbols: WSD7 , WS /DGAT 7 , chr5:4024568-4026715 REVERSE LENGTH=480
154,Dm_00013585-RA,AT4G11820.2," Symbols: MVA1, FKP1, HMGS "," FLAKY POLLEN 1, HYDROXYMETHYLGLUTARYL-COA SYNTHASE ", chr4:7109124-7111901 REVERSE LENGTH=461
155,Dm_00014767-RA,NA,,,
156,Dm_00020120-RA,AT1G66370.1," Symbols: MYB113, AtMYB113 ", myb domain protein 113 , chr1:24753634-24754604 FORWARD LENGTH=246
157,Dm_00000751-RA,AT4G30240.1, Symbols: NISP , NSP-interacting syntaxin domain-containing protein , chr4:14808359-14809745 REVERSE LENGTH=300
158,Dm_00001335-RA,AT1G06410.3," Symbols: ATTPSA, TPS7, ATTPS7 "," TREHALOSE -6-PHOSPHATASE SYNTHASE S7, trehalose-phosphatase/synthase 7 ", chr1:1955413-1958153 FORWARD LENGTH=851
159,Dm_00003508-RA,AT1G12820.1, Symbols: AFB3 , auxin signaling F-box 3 , chr1:4368879-4370780 REVERSE LENGTH=577
160,Dm_00004549-RA,AT2G28840.1, Symbols: XBAT31 , XB3 ortholog 1 in Arabidopsis thaliana , chr2:12378542-12380474 FORWARD LENGTH=456
161,Dm_00004800-RA,AT1G79550.2," Symbols: PGKc, PGK, PGK3 "," phosphoglycerate kinase, phosphoglycerate kinase 3 ", chr1:29924347-29926295 REVERSE LENGTH=401
162,Dm_00006036-RA,AT5G54860.1, Symbols: no symbol available , no full name available , chr5:22284721-22287025 FORWARD LENGTH=491
163,Dm_00006673-RA,AT1G60470.1," Symbols: AtGolS4, GolS4 ", galactinol synthase 4 , chr1:22279181-22280454 REVERSE LENGTH=334
164,Dm_00007457-RA,AT1G27050.1, Symbols: no symbol available , no full name available , chr1:9393706-9394408 FORWARD LENGTH=205
165,Dm_00008210-RA,AT1G79750.1," Symbols: NADP-ME4, ATNADP-ME4 "," Arabidopsis thaliana NADP-malic enzyme 4, NADP-malic enzyme 4 ", chr1:30007655-30011179 REVERSE LENGTH=646
166,Dm_00008459-RA,AT2G25290.4, Symbols: Phox1 , Phox1 , chr2:10766192-10768517 REVERSE LENGTH=745
167,Dm_00008988-RA,AT1G54100.2, Symbols: ALDH7B4 , aldehyde dehydrogenase 7B4 , chr1:20195435-20198853 REVERSE LENGTH=508
168,Dm_00012234-RA,AT2G25180.1," Symbols: ARR12, AtARR12, RR12 ", response regulator 12 , chr2:10724490-10726961 REVERSE LENGTH=596
169,Dm_00013551-RA,AT4G24380.1, Symbols: no symbol available , no full name available , chr4:12612554-12613586 FORWARD LENGTH=234
170,Dm_00014489-RA,NA,,,
171,Dm_00016386-RA,AT4G02930.1, Symbols: no symbol available , no full name available , chr4:1295751-1298354 REVERSE LENGTH=454
172,Dm_00017562-RA,AT3G02070.2, Symbols: no symbol available , no full name available , chr3:361368-363132 FORWARD LENGTH=219
173,Dm_00017810-RA,AT3G01170.1, Symbols: no symbol available , no full name available , chr3:58043-58690 FORWARD LENGTH=215
174,Dm_00018389-RA,NA,,,
175,Dm_00004545-RA,AT2G45910.2, Symbols: PUB33 ,  , chr2:18894520-18898212 FORWARD LENGTH=834
176,Dm_00006554-RA,AT1G74920.1, Symbols: ALDH10A8 , aldehyde dehydrogenase 10A8 , chr1:28139175-28142573 REVERSE LENGTH=501
177,Dm_00006272-RA,AT1G22710.1," Symbols: SUC2, SUT1, ATSUC2 "," SUCROSE TRANSPORTER 1, sucrose-proton symporter 2, ARABIDOPSIS THALIANA SUCROSE-PROTON SYMPORTER 2 ", chr1:8030911-8032970 REVERSE LENGTH=512
178,Dm_00003274-RA,AT1G70900.1, Symbols: no symbol available , no full name available , chr1:26732456-26733637 FORWARD LENGTH=244
179,Dm_00007411-RA,AT5G09590.1," Symbols: MTHSC70-2, HSC70-5 "," mitochondrial HSO70 2, HEAT SHOCK COGNATE ", chr5:2975721-2978508 FORWARD LENGTH=682
180,Dm_00013083-RA,NA,,,
181,Dm_00020080-RA,NA,,,
