Orthogroup	S_lycopersicum.proteins	V_vinifera.proteins
OG0000034	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1	VIT_200s2745g00010.1, VIT_200s2659g00010.1, VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1, VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1, VIT_210s0092g00650.1, VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1, VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1
OG0000037	Solyc12g088970.1.1	VIT_218s0001g11400.1
OG0000037	Solyc04g079680.3.1, Solyc04g079660.2.1, Solyc04g079640.3.1	VIT_218s0001g11580.1, VIT_218s0001g11570.1
OG0000037	Solyc09g059240.3.1, Solyc04g007940.3.1, Solyc06g073570.3.1, Solyc10g081550.2.1, Solyc10g039210.3.1	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1
OG0000038	Solyc06g076160.3.1	VIT_219s0015g00070.1, VIT_217s0000g09550.1
OG0000038	Solyc03g111880.3.1	VIT_217s0000g09570.1, VIT_217s0000g09510.1
OG0000040	Solyc03g083470.3.1	VIT_216s0039g01330.1, VIT_216s0022g01660.1
OG0000040	Solyc02g081500.3.1	VIT_216s0098g00170.1, VIT_216s0098g00390.1, VIT_216s0098g00390.2
OG0000040	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1	VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1
OG0000040	Solyc02g086210.3.1	VIT_217s0000g03330.1, VIT_217s0000g03330.2, VIT_214s0006g02630.1
OG0000040	Solyc05g009090.2.1, Solyc05g009040.3.1, Solyc05g009050.2.1, Solyc04g007380.2.1	VIT_201s0011g03890.1, VIT_201s0011g03990.1, VIT_201s0011g03900.1, VIT_214s0006g02650.1
OG0000041	Solyc10g055410.2.1, Solyc01g111500.3.1	VIT_204s0023g03710.1, VIT_203s0038g02310.1
OG0000041	Solyc05g008235.1.1, Solyc05g008250.2.1	VIT_217s0000g02660.1
OG0000041	Solyc03g005570.3.1, Solyc06g053610.3.1	VIT_205s0049g01020.1, VIT_207s0005g03340.1
OG0000041	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1	VIT_207s0005g01210.2, VIT_207s0005g01210.1
OG0000041	Solyc12g049300.2.1	VIT_211s0016g01320.1, VIT_211s0016g01310.1, VIT_204s0008g01840.1
OG0000042	Solyc03g096650.2.1	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4
OG0000042	Solyc03g096640.3.1, Solyc06g083470.3.1, Solyc06g083480.3.1, Solyc06g083490.3.1, Solyc03g096660.2.1	VIT_206s0004g05320.1, VIT_206s0004g05320.2, VIT_206s0004g05450.1, VIT_206s0004g05280.5
OG0000042	Solyc06g005720.3.1	VIT_206s0004g05370.1, VIT_206s0004g05360.1, VIT_206s0004g05340.3, VIT_206s0004g05430.3, VIT_206s0004g05430.2, VIT_206s0004g05430.1, VIT_206s0004g05340.2, VIT_206s0004g05340.1, VIT_206s0004g05330.1, VIT_206s0004g05380.1, VIT_206s0004g05390.1, VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2
OG0000042	Solyc10g086620.2.1	VIT_208s0007g00890.1
OG0000042	Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1	VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000043	Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1	VIT_218s0001g09650.1
OG0000043	Solyc12g088510.1.1, Solyc12g088460.2.1	VIT_218s0001g09500.1, VIT_218s0001g09510.1, VIT_218s0001g09520.1
OG0000044	Solyc02g085580.3.1, Solyc02g062940.3.1	VIT_204s0023g01430.1
OG0000044	Solyc01g099340.3.1	VIT_209s0054g01820.1
OG0000044	Solyc04g008500.3.1	VIT_201s0010g02100.2, VIT_201s0010g02100.1
OG0000044	Solyc10g084180.2.1, Solyc09g007550.3.1	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1
OG0000044	Solyc03g121660.3.1, Solyc06g062670.3.1	VIT_209s0002g02300.1, VIT_204s0008g01160.1
OG0000044	Solyc07g053570.3.1	VIT_212s0028g03030.2, VIT_212s0028g03030.1
OG0000044	Solyc09g065670.3.1	VIT_200s0179g00170.1
OG0000046	Solyc12g007110.2.1	VIT_211s0016g03880.1
OG0000046	Solyc02g089760.3.1	VIT_214s0083g00330.3, VIT_214s0083g00330.1
OG0000046	Solyc02g089750.4.1	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3
OG0000047	Solyc04g078300.3.1	VIT_207s0031g01140.1
OG0000047	Solyc01g106170.3.1	VIT_203s0097g00160.2, VIT_203s0097g00160.1
OG0000047	Solyc12g088080.1.1	VIT_203s0097g00160.3, VIT_203s0097g00160.4
OG0000047	Solyc12g087830.2.1	VIT_201s0010g03896.1, VIT_214s0068g01800.1
OG0000047	Solyc00g179240.2.1, Solyc10g017640.1.1	VIT_215s0048g01240.1
OG0000047	Solyc06g035560.2.1	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1
OG0000048	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1	VIT_208s0058g01230.1, VIT_206s0004g08060.1, VIT_208s0058g01210.1
OG0000048	Solyc01g081600.3.1	VIT_213s0320g00050.1
OG0000050	Solyc04g015475.1.1, Solyc00g075030.3.1	VIT_216s0098g01340.1
OG0000055	Solyc05g024290.3.1	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2
OG0000055	Solyc01g067400.3.1	VIT_205s0020g01770.1
OG0000055	Solyc02g094380.2.1	VIT_214s0068g01540.3, VIT_214s0068g01540.4, VIT_214s0068g01540.1, VIT_214s0068g01540.2
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	VIT_207s0005g06450.1
OG0000055	Solyc04g050970.3.1	VIT_204s0043g01030.1
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1	VIT_219s0014g00940.1
OG0000055	Solyc10g005300.3.1	VIT_210s0116g00850.1
OG0000055	Solyc10g085990.2.1	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1
OG0000055	Solyc11g072660.2.1, Solyc06g075550.3.1	VIT_206s0004g03670.1
OG0000056	Solyc03g006240.3.1	VIT_210s0003g01010.1
OG0000056	Solyc02g077130.2.1, Solyc01g099080.3.1, Solyc00g098560.3.1, Solyc01g099050.3.1, Solyc01g099030.3.1, Solyc01g099060.2.1, Solyc01g099010.3.1, Solyc01g099020.3.1, Solyc01g099040.3.1	VIT_214s0060g02080.1
OG0000058	Solyc03g079890.2.1	VIT_213s0019g02640.6, VIT_213s0019g02640.5, VIT_213s0019g02640.7, VIT_213s0019g02640.3, VIT_213s0019g02640.2, VIT_213s0019g02640.4, VIT_213s0019g02640.1, VIT_213s0019g02580.1, VIT_213s0019g02590.1, VIT_213s0019g02620.1, VIT_213s0019g02610.1, VIT_213s0019g02600.1, VIT_213s0019g02560.2, VIT_213s0019g02560.4, VIT_213s0019g02560.1, VIT_213s0019g02560.3
OG0000058	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1	VIT_206s0080g00085.1
OG0000058	Solyc09g009750.2.1	VIT_208s0007g03650.1
OG0000058	Solyc01g091930.3.1	VIT_215s0048g01210.3, VIT_215s0048g01210.4, VIT_215s0048g01210.2, VIT_215s0048g01210.1, VIT_215s0048g01200.1
OG0000059	Solyc02g068660.2.1	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1
OG0000059	Solyc09g005190.2.1, Solyc10g076560.1.1	VIT_218s0041g00030.1
OG0000060	Solyc10g150000.2.1, Solyc10g045650.2.1, Solyc02g061930.2.1, Solyc03g033760.2.1, Solyc12g027540.2.1	VIT_203s0110g00150.1
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	VIT_212s0028g01830.1, VIT_212s0028g01840.1
OG0000063	Solyc05g050870.3.1, Solyc09g018590.1.1	VIT_208s0058g00970.1, VIT_208s0058g00970.3, VIT_208s0058g00970.2
OG0000063	Solyc10g076220.2.1, Solyc10g076240.2.1, Solyc10g075120.2.1, Solyc10g076230.2.1, Solyc10g076190.2.1, Solyc10g076210.2.1, Solyc10g076243.1.1, Solyc00g072400.3.1	VIT_208s0058g00990.1
OG0000063	Solyc06g050440.3.1, Solyc05g052280.3.1	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3
OG0000065	Solyc01g081310.3.1	VIT_218s0001g07010.1
OG0000065	Solyc06g069045.1.1	VIT_217s0000g02940.1, VIT_217s0000g02920.1
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1
OG0000065	Solyc01g081250.3.1, Solyc01g081270.2.1	VIT_215s0024g01540.1, VIT_215s0024g01540.2, VIT_215s0107g00150.1, VIT_200s0153g00050.1, VIT_200s0153g00070.1, VIT_215s0024g01650.1, VIT_215s0024g01630.1
OG0000065	Solyc09g011535.1.1	VIT_205s0051g00110.1, VIT_205s0051g00180.1, VIT_205s0051g00130.1, VIT_218s0072g00320.1, VIT_205s0051g00240.1, VIT_200s2718g00010.1, VIT_200s2652g00010.1, VIT_206s0004g01575.1, VIT_215s0024g01369.1, VIT_215s0024g01515.1, VIT_219s0027g00930.1, VIT_206s0004g05690.1, VIT_205s0051g00310.1
OG0000065	Solyc09g063150.3.1	VIT_207s0005g04880.1, VIT_207s0005g04870.1, VIT_207s0005g04890.1
OG0000067	Solyc11g072490.2.1	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2
OG0000067	Solyc09g007360.3.1, Solyc10g084290.2.1, Solyc10g086030.2.1, Solyc10g019030.1.1	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5
OG0000068	Solyc02g068670.2.1, Solyc02g068600.3.1	VIT_210s0003g04510.1
OG0000068	Solyc02g068610.2.1	VIT_201s0010g01370.1, VIT_201s0010g01380.2, VIT_201s0010g01380.4, VIT_201s0010g01380.5, VIT_201s0010g01380.1, VIT_201s0010g01380.3
OG0000070	Solyc03g078400.3.1	VIT_204s0044g00580.1
OG0000070	Solyc01g104775.1.1	VIT_212s0178g00200.2, VIT_212s0178g00200.3, VIT_212s0178g00200.5, VIT_212s0178g00200.1
OG0000070	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3
OG0000070	Solyc04g045285.1.1, Solyc05g024490.3.1, Solyc11g005330.2.1	VIT_204s0044g00580.2, VIT_213s0019g01240.4
OG0000071	Solyc03g111690.3.1	VIT_217s0000g09810.1
OG0000071	Solyc02g093580.3.1	VIT_214s0219g00230.2, VIT_214s0219g00230.1
OG0000071	Solyc09g008380.3.1	VIT_208s0007g04820.1
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4
OG0000071	Solyc09g091430.3.1	VIT_205s0051g00590.1
OG0000071	Solyc09g061890.3.1	VIT_207s0005g05520.4, VIT_207s0005g05520.1
OG0000071	Solyc05g014000.3.1	VIT_201s0137g00240.2, VIT_201s0137g00240.1
OG0000072	Solyc04g081150.3.1	VIT_218s0001g13680.2
OG0000072	Solyc05g051515.1.1	VIT_207s0191g00130.1, VIT_200s2837g00010.1, VIT_204s0023g03120.1, VIT_218s0001g13680.1
OG0000072	Solyc01g073970.3.1, Solyc02g077480.1.1	VIT_218s0072g00800.1
OG0000072	Solyc01g086820.3.1	VIT_213s0064g01340.1
OG0000077	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1	VIT_203s0038g02060.1
OG0000077	Solyc01g111230.3.1	VIT_203s0038g02050.1
OG0000077	Solyc06g054320.1.1	VIT_213s0019g01210.1
OG0000077	Solyc01g006060.3.1	VIT_206s0004g00970.1
OG0000077	Solyc07g042300.1.1	VIT_208s0007g06960.1, VIT_208s0007g06950.1, VIT_208s0007g06930.1, VIT_208s0007g06990.1, VIT_208s0007g07000.1, VIT_208s0007g06910.1, VIT_208s0007g06900.1
OG0000078	Solyc11g071900.1.1	VIT_206s0061g00475.1
OG0000079	Solyc02g079890.2.1, Solyc03g007730.1.1, Solyc02g079895.1.1, Solyc00g154480.2.1	VIT_200s0392g00060.1, VIT_200s0361g00060.1, VIT_200s0392g00030.1
OG0000079	Solyc01g105890.3.1, Solyc01g105920.3.1, Solyc01g105900.2.1, Solyc01g105880.4.1, Solyc01g105960.2.1, Solyc01g105850.3.1, Solyc01g105870.3.1, Solyc02g079840.2.1	VIT_200s0724g00010.1, VIT_200s2271g00010.1, VIT_213s0067g00090.1, VIT_213s0084g00010.1, VIT_213s0067g00130.1, VIT_213s0067g00370.1, VIT_213s0067g03770.1, VIT_213s0067g03700.1, VIT_213s0067g03830.1, VIT_213s0067g03790.1, VIT_213s0123g00040.1, VIT_213s0019g00060.1, VIT_213s0067g03740.1, VIT_213s0123g00024.1
OG0000079	Solyc01g105860.3.1, Solyc01g105950.3.1, Solyc02g079910.2.1	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1
OG0000084	Solyc01g008670.3.1, Solyc01g008640.3.1, Solyc01g008650.3.1, Solyc04g083140.2.1, Solyc11g007980.2.1, Solyc06g066240.3.1, Solyc06g066230.3.1, Solyc06g059995.1.1, Solyc06g034236.1.1, Solyc06g035943.1.1, Solyc06g060017.1.1, Solyc06g060190.3.1, Solyc08g074260.3.1, Solyc02g062030.1.1, Solyc03g118585.1.1, Solyc04g063245.1.1, Solyc03g058853.1.1, Solyc07g007460.2.1, Solyc07g052370.3.1, Solyc03g058855.1.1, Solyc10g087013.1.1, Solyc10g087010.2.1, Solyc08g076253.1.1, Solyc08g076257.1.1, Solyc08g076250.2.1, Solyc12g036675.1.1, Solyc03g118583.1.1, Solyc11g038350.1.1, Solyc09g065455.1.1, Solyc06g034238.1.1	VIT_210s0092g00450.1
OG0000084	Solyc02g092250.3.1, Solyc10g017510.3.1	VIT_208s0032g00240.1, VIT_210s0092g00480.1, VIT_210s0092g00370.1, VIT_210s0092g00495.1, VIT_218s0072g01140.1, VIT_210s0092g00510.1, VIT_219s0015g00080.1, VIT_219s0015g00110.1, VIT_219s0015g00100.1
OG0000085	Solyc07g041940.3.1	VIT_211s0016g01060.1
OG0000085	Solyc08g061250.3.1	VIT_204s0008g02070.1
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	VIT_209s0002g01110.1
OG0000085	Solyc10g074710.2.1	VIT_208s0056g00150.1
