Orthogroup	L_sativa.proteins	Other
OG0000585	Lsat_1_v5_gn_8_156180.1	Solyc05g005550.3.1, Solyc05g005540.3.1, Solyc05g005560.4.1, Solyc05g005570.3.1
OG0000665	Lsat_1_v5_gn_0_761.7, Lsat_1_v5_gn_0_761.1	FUN_027043-T1
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	Dm_00020852-RA, Dm_00017236-RA
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	Av_00006713-RA
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	Ds_00002716-RA
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	Bevul.3G174400.1.p
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	GmISU01.19G083900.2.p, GmISU01.19G083900.3.p, GmISU01.16G036600.4.p, GmISU01.16G036600.3.p, GmISU01.16G036600.5.p, GmISU01.16G036600.1.p
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	VIT_208s0007g07340.2, VIT_208s0007g07340.1
OG0000692	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3	AT3G03880.1
OG0000694	Lsat_1_v5_gn_3_47000.3	AH016855-RA
OG0000698	Lsat_1_v5_gn_7_31941.1, Lsat_1_v5_gn_7_31941.3	Dm_00007721-RA
OG0000858	Lsat_1_v5_gn_8_3640.1, Lsat_1_v5_gn_8_3640.2	Solyc11g067040.2.1
OG0001372	Lsat_1_v5_gn_7_39441.1, Lsat_1_v5_gn_7_39441.3, Lsat_1_v5_gn_8_88200.1	Dm_00010073-RA
OG0001372	Lsat_1_v5_gn_7_39441.1, Lsat_1_v5_gn_7_39441.3, Lsat_1_v5_gn_8_88200.1	Av_00019288-RA
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	Av_00011875-RA, Av_00007017-RA
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	Ds_00006092-RA
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	FUN_000105-T1, FUN_000296-T1
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	Bevul.4G243400.1.p
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	AH007671-RA, AH010895-RA
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	Dm_00005886-RA
OG0001528	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5	Aqcoe2G005400.3.p
OG0001540	Lsat_1_v5_gn_5_661.3, Lsat_1_v5_gn_5_661.2, Lsat_1_v5_gn_5_661.1	AT1G55740.1
OG0001588	Lsat_1_v5_gn_6_108781.1, Lsat_1_v5_gn_6_108781.3, Lsat_1_v5_gn_9_79720.3, Lsat_1_v5_gn_9_79720.1, Lsat_1_v5_gn_9_79720.2	FUN_024324-T1
OG0001603	Lsat_1_v5_gn_8_142041.3	Av_00006355-RA
OG0001617	Lsat_1_v5_gn_0_1820.1	FUN_012782-T1
OG0001796	Lsat_1_v5_gn_8_11360.2, Lsat_1_v5_gn_8_11360.1	Av_00019967-RA, Av_00019966-RA
OG0001809	Lsat_1_v5_gn_6_117360.1, Lsat_1_v5_gn_6_117360.3, Lsat_1_v5_gn_5_115820.2	AH007334-RA
OG0001900	Lsat_1_v5_gn_6_20700.1	AT5G11130.2, AT5G11130.1
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	AT1G17880.1, AT1G73230.1
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	GmISU01.12G036100.2.p, GmISU01.12G036100.1.p, GmISU01.11G105200.1.p, GmISU01.11G105100.1.p, GmISU01.01G064900.1.p
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Bevul.1G154100.1.p
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	FUN_038321-T1, FUN_047814-T1
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Ds_00000238-RA, Ds_00014388-RA
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Av_00022420-RA, Av_00019298-RA, Av_00019529-RA, Av_00019299-RA, Av_00008879-RA
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Dm_00006901-RA, Dm_00013956-RA
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	VIT_217s0053g00620.3, VIT_217s0053g00620.1, VIT_217s0053g00620.2
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002089	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002122	Lsat_1_v5_gn_1_9280.3, Lsat_1_v5_gn_1_9280.1	AT5G09300.2, AT5G09300.1
OG0002708	Lsat_1_v5_gn_5_150381.2, Lsat_1_v5_gn_5_150381.1, Lsat_1_v5_gn_8_101401.3, Lsat_1_v5_gn_8_101401.1	AH013816-RA
OG0002780	Lsat_1_v5_gn_9_20540.1, Lsat_1_v5_gn_8_77040.1, Lsat_1_v5_gn_5_164760.1	Av_00022223-RA, Av_00022171-RA
OG0002780	Lsat_1_v5_gn_9_20540.1, Lsat_1_v5_gn_8_77040.1, Lsat_1_v5_gn_5_164760.1	Ds_00015543-RA
OG0002813	Lsat_1_v5_gn_2_15881.1, Lsat_1_v5_gn_2_15881.3, Lsat_1_v5_gn_2_15881.4	Dm_00005679-RA
OG0003203	Lsat_1_v5_gn_6_45841.1, Lsat_1_v5_gn_6_45841.3	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	GmISU01.08G125900.1.p
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	AT5G64970.3, AT5G64970.1, AT5G64970.2
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	VIT_200s0665g00020.2, VIT_200s0665g00020.1
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	Av_00011620-RA
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	Dm_00013720-RA
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	Ds_00010965-RA
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	AH006005-RA
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	Bevul.6G068900.1.p
OG0003601	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4	FUN_017017-T1
OG0003709	Lsat_1_v5_gn_2_61121.2	AH012070-RA
OG0004571	Lsat_1_v5_gn_4_75761.1, Lsat_1_v5_gn_4_75761.2, Lsat_1_v5_gn_1_28281.2, Lsat_1_v5_gn_1_28281.1, Lsat_1_v5_gn_1_28261.1, Lsat_1_v5_gn_1_28261.2	FUN_010783-T1, FUN_010783-T2
OG0004571	Lsat_1_v5_gn_4_75761.1, Lsat_1_v5_gn_4_75761.2, Lsat_1_v5_gn_1_28281.2, Lsat_1_v5_gn_1_28281.1, Lsat_1_v5_gn_1_28261.1, Lsat_1_v5_gn_1_28261.2	AH017960-RA
OG0004906	Lsat_1_v5_gn_4_3541.1, Lsat_1_v5_gn_3_31041.1, Lsat_1_v5_gn_3_31041.3	Dm_00009156-RA
OG0004934	Lsat_1_v5_gn_9_17140.3, Lsat_1_v5_gn_9_17140.2, Lsat_1_v5_gn_9_17140.1	FUN_051114-T2, FUN_051114-T1, FUN_010650-T1
OG0005212	Lsat_1_v5_gn_8_8260.1, Lsat_1_v5_gn_8_8260.2	Dm_00005501-RA, Dm_00007698-RA
OG0005344	Lsat_1_v5_gn_5_88241.1, Lsat_1_v5_gn_5_88241.3, Lsat_1_v5_gn_7_51160.1	Dm_00000997-RA
OG0005580	Lsat_1_v5_gn_7_17340.1, Lsat_1_v5_gn_7_17340.2	AH010189-RA
OG0005584	Lsat_1_v5_gn_2_132621.1, Lsat_1_v5_gn_3_49500.1	AH012413-RA
OG0005646	Lsat_1_v5_gn_2_101040.3, Lsat_1_v5_gn_2_101040.1, Lsat_1_v5_gn_2_101040.2	Solyc11g045527.1.1
OG0005663	Lsat_1_v5_gn_3_117820.1, Lsat_1_v5_gn_2_36241.1	AH007500-RA
OG0005728	Lsat_1_v5_gn_3_21560.3, Lsat_1_v5_gn_3_21560.1	FUN_007555-T1
OG0006217	Lsat_1_v5_gn_1_34320.4, Lsat_1_v5_gn_1_34320.2, Lsat_1_v5_gn_1_34320.1	Dm_00002509-RA
OG0006407	Lsat_1_v5_gn_9_45021.1, Lsat_1_v5_gn_2_6461.1	Av_00003763-RA
OG0006477	Lsat_1_v5_gn_7_104380.1, Lsat_1_v5_gn_5_162580.2, Lsat_1_v5_gn_5_162580.1	Bevul.3G191500.1.p
OG0006676	Lsat_1_v5_gn_5_187201.1, Lsat_1_v5_gn_9_49380.4	Dm_00011969-RA
OG0006741	Lsat_1_v5_gn_5_56640.1, Lsat_1_v5_gn_3_53141.1, Lsat_1_v5_gn_0_26800.2, Lsat_1_v5_gn_0_26800.4	AH015755-RA
OG0006918	Lsat_1_v5_gn_6_118341.1, Lsat_1_v5_gn_6_118341.3, Lsat_1_v5_gn_6_118341.2	AH011772-RA
OG0007026	Lsat_1_v5_gn_1_33920.1	AH002043-RA
OG0007659	Lsat_1_v5_gn_2_100120.2, Lsat_1_v5_gn_2_100120.1, Lsat_1_v5_gn_1_64201.2, Lsat_1_v5_gn_1_64201.1, Lsat_1_v5_gn_1_64201.3	AH019026-RA
OG0008119	Lsat_1_v5_gn_2_108521.1, Lsat_1_v5_gn_2_108521.3, Lsat_1_v5_gn_4_16040.1	FUN_038383-T1
OG0008271	Lsat_1_v5_gn_7_69480.1	Dm_00006238-RA
OG0008619	Lsat_1_v5_gn_6_78761.1	FUN_042971-T1
OG0008816	Lsat_1_v5_gn_4_43080.1, Lsat_1_v5_gn_4_43080.3	AH009124-RA
OG0009290	Lsat_1_v5_gn_9_36521.1, Lsat_1_v5_gn_9_36460.1	AT5G48890.1, AT5G48890.2
OG0009290	Lsat_1_v5_gn_9_36521.1, Lsat_1_v5_gn_9_36460.1	Aqcoe3G155900.1.p
OG0009290	Lsat_1_v5_gn_5_179601.1	Aqcoe2G390000.1.p
OG0009290	Lsat_1_v5_gn_5_179601.1	AH013045-RA
OG0009290	Lsat_1_v5_gn_5_179601.1	Bevul.7G121700.1.p
OG0009290	Lsat_1_v5_gn_5_179601.1	FUN_043549-T1
OG0009791	Lsat_1_v5_gn_9_11700.2, Lsat_1_v5_gn_9_11700.1	FUN_043667-T1
OG0009802	Lsat_1_v5_gn_5_26860.1	AH011377-RA
OG0010164	Lsat_1_v5_gn_6_11100.1	AH023292-RA
OG0010941	Lsat_1_v5_gn_8_111400.1	FUN_046623-T1
