Orthogroup	D_muscipula.proteins	Other
OG0000698	Dm_00007721-RA	Solyc12g036160.2.1
OG0000698	Dm_00007721-RA	FUN_001667-T1
OG0000698	Dm_00007721-RA	GmISU01.13G187600.13.p, GmISU01.13G187600.14.p, GmISU01.13G187600.15.p, GmISU01.13G187600.16.p
OG0000723	Dm_00011545-RA	FUN_040977-T1
OG0000723	Dm_00011545-RA	AH011270-RA
OG0000907	Dm_00004619-RA	FUN_033789-T2, FUN_033789-T4, FUN_033789-T3, FUN_033789-T1
OG0000907	Dm_00004619-RA	Bevul.2G127800.4.p, Bevul.8G143400.1.p, Bevul.2G127800.6.p, Bevul.2G127800.5.p, Bevul.2G127800.1.p, Bevul.2G127800.2.p, Bevul.2G127800.7.p, Bevul.2G127800.8.p, Bevul.2G127800.3.p
OG0000907	Dm_00004619-RA	AH007372-RA
OG0000907	Dm_00004619-RA	Solyc05g010440.2.1, Solyc00g059500.2.1, Solyc05g010427.1.1
OG0001372	Dm_00010073-RA	Lsat_1_v5_gn_7_39441.1, Lsat_1_v5_gn_7_39441.3, Lsat_1_v5_gn_8_88200.1
OG0001372	Dm_00010073-RA	VIT_211s0016g02890.6, VIT_211s0016g02890.3, VIT_211s0016g02890.4, VIT_211s0016g02890.1, VIT_211s0016g02890.2, VIT_211s0016g02890.5
OG0001372	Dm_00010073-RA	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p
OG0001372	Dm_00010073-RA	Solyc12g008620.2.1
OG0001372	Dm_00010073-RA	Aqcoe7G145100.1.p
OG0001372	Dm_00010073-RA	Bevul.8G204900.1.p
OG0001372	Dm_00010073-RA	AH014446-RA
OG0001372	Dm_00010073-RA	FUN_026719-T1
OG0001372	Dm_00010073-RA	AT5G56610.2, AT5G56610.1
OG0001372	Dm_00010073-RA	Av_00019288-RA
OG0001372	Dm_00010073-RA	Av_00019288-RA
OG0001528	Dm_00005886-RA	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5
OG0002089	Dm_00006901-RA, Dm_00013956-RA	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3
OG0002089	Dm_00006901-RA, Dm_00013956-RA	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002122	Dm_00020575-RA	AT5G09300.2, AT5G09300.1
OG0002184	Dm_00014120-RA	AH016880-RA
OG0002221	Dm_00000544-RA	Solyc01g098190.3.1
OG0002692	Dm_00001834-RA	AT5G27970.1, AT5G27970.2, AT5G27970.4, AT5G27970.3, AT5G27970.5
OG0002692	Dm_00001834-RA	GmISU01.20G187800.8.p, GmISU01.20G187800.3.p, GmISU01.20G187800.9.p, GmISU01.20G187800.7.p, GmISU01.20G187800.1.p, GmISU01.20G187800.6.p, GmISU01.10G127700.1.p, GmISU01.10G127700.4.p, GmISU01.10G127700.2.p, GmISU01.10G127700.3.p, GmISU01.10G127700.5.p
OG0002692	Dm_00001834-RA	Solyc09g018370.3.1
OG0002692	Dm_00001834-RA	VIT_214s0030g01530.2, VIT_214s0030g01530.1, VIT_214s0030g01530.4, VIT_214s0030g01530.3, VIT_214s0030g01530.5, VIT_214s0030g01530.6, VIT_214s0030g01530.7
OG0002813	Dm_00005679-RA	AT1G08600.3, AT1G08600.1, AT1G08600.2, AT1G08600.4
OG0002813	Dm_00005679-RA	GmISU01.10G132600.5.p, GmISU01.10G132600.8.p, GmISU01.10G132600.9.p, GmISU01.10G132600.2.p, GmISU01.10G132600.10.p, GmISU01.10G132600.11.p, GmISU01.10G132600.12.p, GmISU01.10G132600.13.p, GmISU01.10G132600.14.p, GmISU01.10G132600.3.p, GmISU01.10G132600.6.p, GmISU01.10G132600.7.p, GmISU01.20G185800.4.p, GmISU01.20G185800.5.p
OG0002813	Dm_00005679-RA	Lsat_1_v5_gn_2_15881.1, Lsat_1_v5_gn_2_15881.3, Lsat_1_v5_gn_2_15881.4
OG0002813	Dm_00005679-RA	Solyc04g050150.3.1, Solyc04g050160.3.1
OG0003601	Dm_00013720-RA	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4
OG0003680	Dm_00000823-RA, Dm_00008727-RA	Solyc07g064040.3.1, Solyc10g006510.3.1
OG0003709	Dm_00002045-RA	AH012070-RA
OG0004133	Dm_00008714-RA	FUN_025910-T1
OG0004571	Dm_00008794-RA	FUN_010783-T1, FUN_010783-T2
OG0004571	Dm_00008794-RA	AH017960-RA
OG0004813	Dm_00007348-RA	AT2G29630.4
OG0004906	Dm_00009156-RA	Av_00017205-RA
OG0004906	Dm_00009156-RA	GmISU01.08G095600.1.p, GmISU01.08G095600.2.p, GmISU01.18G005700.1.p, GmISU01.11G228300.1.p
OG0004906	Dm_00009156-RA	AT1G27385.1, AT1G27385.4, AT1G27385.3, AT1G27385.2
OG0004906	Dm_00009156-RA	Lsat_1_v5_gn_4_3541.1, Lsat_1_v5_gn_3_31041.1, Lsat_1_v5_gn_3_31041.3
OG0005212	Dm_00005501-RA, Dm_00007698-RA	Bevul.3G073000.1.p
OG0005212	Dm_00005501-RA, Dm_00007698-RA	AH012379-RA
OG0005212	Dm_00005501-RA, Dm_00007698-RA	Lsat_1_v5_gn_8_8260.1, Lsat_1_v5_gn_8_8260.2
OG0005212	Dm_00005501-RA, Dm_00007698-RA	AT4G25540.1
OG0005212	Dm_00005501-RA, Dm_00007698-RA	GmISU01.10G198450.1.p
OG0005212	Dm_00005501-RA, Dm_00007698-RA	FUN_013939-T1
OG0005344	Dm_00000997-RA	VIT_211s0037g01020.1, VIT_211s0037g01020.2
OG0005344	Dm_00000997-RA	FUN_013009-T1, FUN_013009-T2
OG0005344	Dm_00000997-RA	Solyc07g006180.3.1
OG0005344	Dm_00000997-RA	Lsat_1_v5_gn_5_88241.1, Lsat_1_v5_gn_5_88241.3, Lsat_1_v5_gn_7_51160.1
OG0005344	Dm_00000997-RA	GmISU01.15G019100.1.p, GmISU01.13G312300.3.p, GmISU01.13G312300.1.p, GmISU01.13G312300.4.p, GmISU01.13G312300.2.p, GmISU01.08G318500.1.p, GmISU01.18G131100.1.p
OG0005344	Dm_00000997-RA	AT4G30480.1, AT4G30480.3, AT4G30480.2
OG0005540	Dm_00014317-RA	Bevul.8G166200.1.p, Bevul.8G166400.1.p
OG0006217	Dm_00002509-RA	GmISU01.15G006600.1.p, GmISU01.15G006600.2.p, GmISU01.15G006600.3.p, GmISU01.15G006600.4.p, GmISU01.13G323800.1.p
OG0006217	Dm_00002509-RA	VIT_209s0002g07070.1
OG0006217	Dm_00002509-RA	FUN_005440-T1
OG0006217	Dm_00002509-RA	Lsat_1_v5_gn_1_34320.4, Lsat_1_v5_gn_1_34320.2, Lsat_1_v5_gn_1_34320.1
OG0006676	Dm_00011969-RA	Lsat_1_v5_gn_5_187201.1, Lsat_1_v5_gn_9_49380.4
OG0006676	Dm_00011969-RA	Solyc08g075850.3.1
OG0006676	Dm_00011969-RA	FUN_023995-T1
OG0006676	Dm_00011969-RA	Bevul.4G080800.1.p, Bevul.2G073100.1.p, Bevul.4G080600.1.p
OG0006676	Dm_00011969-RA	VIT_207s0151g00660.1, VIT_207s0151g00660.2
OG0006717	Dm_00014097-RA	AH015296-RA
OG0006918	Dm_00014879-RA	AH011772-RA
OG0007109	Dm_00018801-RA	Solyc10g012260.1.1
OG0008119	Dm_00010028-RA	FUN_038383-T1
OG0008141	Dm_00014606-RA	FUN_009496-T3, FUN_009496-T1
OG0008271	Dm_00006238-RA	Solyc02g079000.3.1
OG0008271	Dm_00006238-RA	VIT_219s0085g00490.1
OG0008271	Dm_00006238-RA	GmISU01.08G219400.1.p
OG0008271	Dm_00006238-RA	Lsat_1_v5_gn_7_69480.1
OG0008271	Dm_00006238-RA	FUN_002764-T1, FUN_002764-T2
OG0008271	Dm_00006238-RA	Bevul.2G084500.2.p, Bevul.2G084500.3.p, Bevul.2G084500.4.p, Bevul.2G084500.1.p
OG0008271	Dm_00006238-RA	AH023388-RA
OG0008771	Dm_00001142-RA	Solyc04g079850.2.1
OG0009667	Dm_00006034-RA	AH014117-RA
OG0009791	Dm_00020522-RA	FUN_043667-T1
OG0010164	Dm_00000640-RA	AH023292-RA
