Orthogroup	A_vesiculosa.proteins	Other
OG0000367	Av_00004876-RA	GmISU01.16G100000.1.p, GmISU01.02G040500.3.p, GmISU01.02G040500.1.p
OG0000367	Av_00004876-RA	Bevul.8G001900.1.p
OG0000394	Av_00013931-RA	Solyc01g094890.3.1
OG0000398	Av_00019797-RA	FUN_036311-T1
OG0000398	Av_00019797-RA	Bevul.3G203500.1.p
OG0000491	Av_00009261-RA, Av_00011012-RA, Av_00011199-RA, Av_00013816-RA	Solyc06g072000.2.1, Solyc06g071980.3.1
OG0000543	Av_00003864-RA	AT4G09760.1, AT4G09760.2, AT1G71697.1
OG0000692	Av_00006713-RA	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3
OG0000723	Av_00020822-RA, Av_00014589-RA	FUN_040977-T1
OG0000723	Av_00014589-RA	AH011270-RA
OG0001335	Av_00001537-RA	Solyc09g075610.3.1
OG0001335	Av_00001537-RA	GmISU01.03G190800.1.p, GmISU01.19G192400.1.p, GmISU01.19G192400.2.p
OG0001335	Av_00001537-RA	Ds_00000973-RA
OG0001335	Av_00001537-RA	Aqcoe3G017500.1.p, Aqcoe4G069700.1.p
OG0001372	Av_00019288-RA	Dm_00010073-RA
OG0001372	Av_00019288-RA	Dm_00010073-RA
OG0001372	Av_00019288-RA	AT5G56610.2, AT5G56610.1
OG0001372	Av_00019288-RA	Lsat_1_v5_gn_7_39441.1, Lsat_1_v5_gn_7_39441.3, Lsat_1_v5_gn_8_88200.1
OG0001372	Av_00019288-RA	VIT_211s0016g02890.6, VIT_211s0016g02890.3, VIT_211s0016g02890.4, VIT_211s0016g02890.1, VIT_211s0016g02890.2, VIT_211s0016g02890.5
OG0001372	Av_00019288-RA	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p
OG0001372	Av_00019288-RA	Solyc12g008620.2.1
OG0001372	Av_00019288-RA	Aqcoe7G145100.1.p
OG0001372	Av_00019288-RA	Bevul.8G204900.1.p
OG0001372	Av_00019288-RA	AH014446-RA
OG0001372	Av_00019288-RA	FUN_026719-T1
OG0001528	Av_00011875-RA, Av_00007017-RA	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5
OG0001540	Av_00021301-RA	AT1G55740.1
OG0001603	Av_00006355-RA	Bevul.6G134500.1.p
OG0001603	Av_00006355-RA	AH005494-RA
OG0001603	Av_00006355-RA	FUN_033485-T1, FUN_033485-T3, FUN_033485-T4, FUN_033485-T2
OG0001603	Av_00006355-RA	Solyc09g059675.1.1
OG0001603	Av_00006355-RA	Lsat_1_v5_gn_8_142041.3
OG0001603	Av_00006355-RA	VIT_218s0041g02320.1, VIT_214s0030g00890.1
OG0001739	Av_00000752-RA	AT4G02370.1, AT1G02816.1
OG0001739	Av_00000752-RA	VIT_214s0060g01780.1, VIT_214s0060g01760.1, VIT_207s0005g00670.1
OG0001739	Av_00000752-RA	FUN_024761-T1
OG0001739	Av_00000752-RA	Bevul.7G101000.1.p
OG0001739	Av_00000752-RA	AH012946-RA, AH022092-RA
OG0001796	Av_00019967-RA, Av_00019966-RA	Solyc03g095500.3.1
OG0001796	Av_00019967-RA, Av_00019966-RA	Lsat_1_v5_gn_8_11360.2, Lsat_1_v5_gn_8_11360.1
OG0001796	Av_00019967-RA, Av_00019966-RA	Bevul.7G002100.2.p, Bevul.7G002100.1.p, Bevul.2G030700.1.p
OG0001796	Av_00019967-RA, Av_00019966-RA	AH017142-RA, AH016106-RA, AH021694-RA, AH019300-RA
OG0001900	Av_00020213-RA	AT5G11130.2, AT5G11130.1
OG0002089	Av_00022420-RA, Av_00019298-RA, Av_00019529-RA, Av_00019299-RA, Av_00008879-RA	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3
OG0002089	Av_00022420-RA, Av_00019298-RA, Av_00019529-RA, Av_00019299-RA, Av_00008879-RA	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002122	Av_00015886-RA	AT5G09300.2, AT5G09300.1
OG0002184	Av_00004070-RA	AH016880-RA
OG0002196	Av_00002677-RA	FUN_047431-T1
OG0002221	Av_00016167-RA, Av_00021226-RA	Solyc01g098190.3.1
OG0002780	Av_00022223-RA, Av_00022171-RA	GmISU01.19G157900.8.p, GmISU01.19G157900.7.p, GmISU01.19G157900.4.p, GmISU01.19G157900.3.p, GmISU01.19G157900.6.p, GmISU01.19G157900.5.p, GmISU01.19G157900.2.p, GmISU01.03G155700.5.p, GmISU01.03G155700.6.p, GmISU01.03G155700.4.p, GmISU01.03G155700.2.p, GmISU01.03G155700.1.p, GmISU01.13G126600.1.p, GmISU01.10G064400.1.p
OG0002780	Av_00022223-RA, Av_00022171-RA	Lsat_1_v5_gn_9_20540.1, Lsat_1_v5_gn_8_77040.1, Lsat_1_v5_gn_5_164760.1
OG0002780	Av_00022223-RA, Av_00022171-RA	VIT_215s0021g02070.1, VIT_208s0007g03370.1, VIT_208s0007g03370.2
OG0002780	Av_00022223-RA, Av_00022171-RA	AT3G44450.1, AT3G52740.1
OG0002780	Av_00022223-RA, Av_00022171-RA	Bevul.7G027700.1.p
OG0002780	Av_00022223-RA, Av_00022171-RA	AH021818-RA
OG0002780	Av_00022223-RA, Av_00022171-RA	FUN_039073-T1, FUN_020542-T1
OG0002780	Av_00022223-RA, Av_00022171-RA	Solyc09g009420.1.1
OG0002780	Av_00022223-RA, Av_00022171-RA	Ds_00015543-RA
OG0002780	Av_00022223-RA, Av_00022171-RA	Ds_00015543-RA
OG0002918	Av_00017993-RA	Bevul.5G093200.1.p, Bevul.7G002200.1.p
OG0002918	Av_00017993-RA	Solyc09g009640.3.1
OG0002918	Av_00017993-RA	AH018420-RA
OG0002918	Av_00017993-RA	AT2G03870.2, AT2G03870.1
OG0002918	Av_00017993-RA	FUN_004101-T1, FUN_031985-T1
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	Solyc11g069460.2.1
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	Lsat_1_v5_gn_6_45841.1, Lsat_1_v5_gn_6_45841.3
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	AT2G28380.1
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	GmISU01.12G141500.1.p, GmISU01.13G285600.1.p, GmISU01.12G068800.1.p, GmISU01.11G159000.1.p
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	VIT_206s0004g02810.1, VIT_206s0004g02810.2
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	Aqcoe1G000300.1.p
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	Bevul.9G049200.1.p
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	AH001247-RA, AH000177-RA
OG0003203	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA	FUN_027297-T1
OG0003424	Av_00005714-RA	GmISU01.11G204600.1.p
OG0003424	Av_00005714-RA	Bevul.2G234400.1.p
OG0003424	Av_00005714-RA	FUN_030183-T1, FUN_019190-T1
OG0003424	Av_00005714-RA	AH016407-RA, AH023022-RA
OG0003601	Av_00011620-RA	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4
OG0003680	Av_00018665-RA, Av_00000185-RA, Av_00023208-RA, Av_00007878-RA	Solyc07g064040.3.1, Solyc10g006510.3.1
OG0003709	Av_00020610-RA, Av_00022904-RA	AH012070-RA
OG0004133	Av_00009369-RA, Av_00001597-RA	FUN_025910-T1
OG0004813	Av_00021092-RA	AT2G29630.4
OG0004906	Av_00017205-RA	Dm_00009156-RA
OG0005556	Av_00000176-RA	AH007532-RA
OG0005556	Av_00000176-RA	Bevul.4G033900.1.p
OG0005556	Av_00000176-RA	FUN_037079-T2, FUN_037079-T3, FUN_037079-T1
OG0005556	Av_00000176-RA	AT4G11160.3, AT4G11160.1, AT4G11160.2
OG0006407	Av_00003763-RA	Lsat_1_v5_gn_9_45021.1, Lsat_1_v5_gn_2_6461.1
OG0006407	Av_00003763-RA	GmISU01.04G017800.2.p, GmISU01.04G017800.1.p, GmISU01.06G016500.1.p
OG0006407	Av_00003763-RA	VIT_218s0001g00110.1, VIT_218s0001g00110.2, VIT_218s0001g00110.3, VIT_218s0001g00110.4
OG0006407	Av_00003763-RA	Solyc12g094585.1.1
OG0006717	Av_00005567-RA	AH015296-RA
OG0006918	Av_00000539-RA	AH011772-RA
OG0007093	Av_00024465-RA	AT4G26050.1, AT4G29880.1, AT2G19330.1
OG0007093	Av_00024465-RA	Aqcoe7G260900.1.p
OG0007093	Av_00024465-RA	GmISU01.17G052800.1.p, GmISU01.15G152500.1.p, GmISU01.09G055900.1.p
OG0007093	Av_00024465-RA	VIT_211s0052g00390.1
OG0007093	Av_00024465-RA	AH014259-RA
OG0007093	Av_00024465-RA	Bevul.8G120900.1.p
OG0007109	Av_00021128-RA	Solyc10g012260.1.1
OG0008119	Av_00000084-RA	FUN_038383-T1
OG0008141	Av_00016339-RA, Av_00022697-RA	FUN_009496-T3, FUN_009496-T1
OG0008771	Av_00016438-RA	Solyc04g079850.2.1
OG0009667	Av_00007884-RA	AH014117-RA
OG0009791	Av_00002215-RA	FUN_043667-T1
OG0009802	Av_00014429-RA, Av_00001243-RA	AH011377-RA
OG0010164	Av_00010075-RA, Av_00014323-RA	AH023292-RA
