Orthogroup	G_max.proteins	Other
OG0000255	GmISU01.08G162500.1.p, GmISU01.15G208400.1.p, GmISU01.15G208500.1.p, GmISU01.15G208700.1.p, GmISU01.09G083700.1.p	AH000042-RA, AH010279-RA, AH001023-RA, AH001025-RA
OG0000367	GmISU01.16G100000.1.p, GmISU01.02G040500.3.p, GmISU01.02G040500.1.p	Av_00004876-RA
OG0000395	GmISU01.03G056800.1.p	Solyc10g085000.2.1, Solyc09g011750.3.1
OG0000398	GmISU01.03G098400.3.p, GmISU01.03G098400.1.p, GmISU01.19G102100.2.p, GmISU01.19G102100.1.p	FUN_036311-T1
OG0000398	GmISU01.03G098400.3.p, GmISU01.03G098400.1.p, GmISU01.19G102100.2.p, GmISU01.19G102100.1.p	Bevul.3G203500.1.p
OG0000491	GmISU01.06G156800.2.p, GmISU01.06G156800.12.p, GmISU01.06G156800.10.p, GmISU01.06G156800.9.p, GmISU01.06G156800.5.p, GmISU01.06G156800.6.p, GmISU01.06G156800.13.p, GmISU01.06G156800.11.p, GmISU01.06G156800.1.p, GmISU01.06G156800.8.p, GmISU01.06G156800.7.p, GmISU01.04G157200.6.p, GmISU01.04G157200.2.p, GmISU01.04G157200.5.p, GmISU01.04G157200.3.p, GmISU01.05G043100.3.p, GmISU01.05G043100.2.p, GmISU01.05G043100.6.p, GmISU01.17G119200.3.p, GmISU01.17G119200.1.p, GmISU01.17G119200.2.p	Solyc06g072000.2.1, Solyc06g071980.3.1
OG0000585	GmISU01.18G110100.1.p, GmISU01.18G110200.1.p, GmISU01.08G257550.1.p, GmISU01.08G257600.1.p, GmISU01.01G028700.5.p, GmISU01.01G028700.1.p, GmISU01.01G028700.3.p, GmISU01.01G028700.2.p, GmISU01.01G028700.4.p, GmISU01.02G031300.1.p, GmISU01.02G031300.4.p, GmISU01.02G031300.2.p	Solyc05g005550.3.1, Solyc05g005540.3.1, Solyc05g005560.4.1, Solyc05g005570.3.1
OG0000665	GmISU01.07G178800.1.p, GmISU01.02G120100.1.p, GmISU01.07G178800.3.p	FUN_027043-T1
OG0000692	GmISU01.19G083900.2.p, GmISU01.19G083900.3.p, GmISU01.16G036600.4.p, GmISU01.16G036600.3.p, GmISU01.16G036600.5.p, GmISU01.16G036600.1.p	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3
OG0000698	GmISU01.13G187600.13.p, GmISU01.13G187600.14.p, GmISU01.13G187600.15.p, GmISU01.13G187600.16.p	Dm_00007721-RA
OG0000723	GmISU01.18G181800.1.p	FUN_040977-T1
OG0000723	GmISU01.18G181800.1.p	AH011270-RA
OG0000780	GmISU01.08G026900.4.p, GmISU01.08G026900.1.p, GmISU01.08G026900.6.p, GmISU01.08G026900.5.p, GmISU01.05G190400.1.p, GmISU01.05G190400.4.p, GmISU01.05G190400.5.p	Solyc05g026380.2.1
OG0000858	GmISU01.07G077300.6.p, GmISU01.07G077300.5.p, GmISU01.07G077300.7.p, GmISU01.07G077300.8.p, GmISU01.07G077300.4.p, GmISU01.07G077300.3.p, GmISU01.07G077300.1.p, GmISU01.07G077300.9.p, GmISU01.07G077300.2.p, GmISU01.09G152600.1.p, GmISU01.09G152600.6.p, GmISU01.09G152600.5.p, GmISU01.09G152600.7.p, GmISU01.09G152600.8.p, GmISU01.09G152600.4.p, GmISU01.09G152600.3.p, GmISU01.09G152600.11.p, GmISU01.09G152600.10.p, GmISU01.09G152600.2.p, GmISU01.09G152600.9.p	Solyc11g067040.2.1
OG0001012	GmISU01.06G131600.1.p	FUN_029256-T1, FUN_029256-T2
OG0001335	GmISU01.03G190800.1.p, GmISU01.19G192400.1.p, GmISU01.19G192400.2.p	Av_00001537-RA
OG0001372	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p	Dm_00010073-RA
OG0001372	GmISU01.08G029500.1.p, GmISU01.05G192600.1.p	Av_00019288-RA
OG0001588	GmISU01.06G044950.1.p, GmISU01.06G044950.2.p, GmISU01.04G046200.2.p, GmISU01.04G046200.3.p	FUN_024324-T1
OG0001617	GmISU01.08G308300.1.p, GmISU01.18G120800.1.p	FUN_012782-T1
OG0001809	GmISU01.02G185600.2.p, GmISU01.02G185600.1.p, GmISU01.02G185600.3.p, GmISU01.02G185600.4.p, GmISU01.14G153700.4.p, GmISU01.14G153700.3.p, GmISU01.14G153700.1.p, GmISU01.14G153700.2.p, GmISU01.04G183700.1.p	AH007334-RA
OG0001834	GmISU01.10G012000.1.p, GmISU01.02G011200.1.p, GmISU01.17G181700.1.p, GmISU01.03G178300.2.p, GmISU01.03G178300.1.p	FUN_044741-T1
OG0002089	GmISU01.12G036100.2.p, GmISU01.12G036100.1.p, GmISU01.11G105200.1.p, GmISU01.11G105100.1.p, GmISU01.01G064900.1.p	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3
OG0002089	GmISU01.12G036100.2.p, GmISU01.12G036100.1.p, GmISU01.11G105200.1.p, GmISU01.11G105100.1.p, GmISU01.01G064900.1.p	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002184	GmISU01.14G187700.18.p, GmISU01.14G187700.3.p, GmISU01.14G187700.15.p, GmISU01.14G187700.13.p, GmISU01.14G187700.14.p, GmISU01.14G187700.12.p, GmISU01.14G187700.11.p, GmISU01.14G187700.16.p, GmISU01.14G187700.25.p, GmISU01.14G187700.24.p, GmISU01.14G187700.26.p, GmISU01.14G187700.27.p, GmISU01.14G187700.23.p, GmISU01.14G187700.22.p, GmISU01.14G187700.21.p, GmISU01.14G187700.20.p, GmISU01.17G228400.1.p, GmISU01.14G187700.10.p, GmISU01.14G187700.8.p, GmISU01.14G187700.4.p, GmISU01.14G187700.19.p, GmISU01.14G187700.17.p	AH016880-RA
OG0002196	GmISU01.02G030700.2.p	FUN_047431-T1
OG0002221	GmISU01.20G188500.1.p, GmISU01.20G188500.2.p, GmISU01.10G126900.1.p	Solyc01g098190.3.1
OG0002692	GmISU01.20G187800.8.p, GmISU01.20G187800.3.p, GmISU01.20G187800.9.p, GmISU01.20G187800.7.p, GmISU01.20G187800.1.p, GmISU01.20G187800.6.p, GmISU01.10G127700.1.p, GmISU01.10G127700.4.p, GmISU01.10G127700.2.p, GmISU01.10G127700.3.p, GmISU01.10G127700.5.p	Dm_00001834-RA
OG0002780	GmISU01.19G157900.8.p, GmISU01.19G157900.7.p, GmISU01.19G157900.4.p, GmISU01.19G157900.3.p, GmISU01.19G157900.6.p, GmISU01.19G157900.5.p, GmISU01.19G157900.2.p, GmISU01.03G155700.5.p, GmISU01.03G155700.6.p, GmISU01.03G155700.4.p, GmISU01.03G155700.2.p, GmISU01.03G155700.1.p, GmISU01.13G126600.1.p, GmISU01.10G064400.1.p	Av_00022223-RA, Av_00022171-RA
OG0002780	GmISU01.19G157900.8.p, GmISU01.19G157900.7.p, GmISU01.19G157900.4.p, GmISU01.19G157900.3.p, GmISU01.19G157900.6.p, GmISU01.19G157900.5.p, GmISU01.19G157900.2.p, GmISU01.03G155700.5.p, GmISU01.03G155700.6.p, GmISU01.03G155700.4.p, GmISU01.03G155700.2.p, GmISU01.03G155700.1.p, GmISU01.13G126600.1.p, GmISU01.10G064400.1.p	Ds_00015543-RA
OG0002784	GmISU01.02G059100.2.p, GmISU01.16G119700.2.p	Solyc06g030590.2.1
OG0002813	GmISU01.10G132600.5.p, GmISU01.10G132600.8.p, GmISU01.10G132600.9.p, GmISU01.10G132600.2.p, GmISU01.10G132600.10.p, GmISU01.10G132600.11.p, GmISU01.10G132600.12.p, GmISU01.10G132600.13.p, GmISU01.10G132600.14.p, GmISU01.10G132600.3.p, GmISU01.10G132600.6.p, GmISU01.10G132600.7.p, GmISU01.20G185800.4.p, GmISU01.20G185800.5.p	Dm_00005679-RA
OG0003203	GmISU01.12G141500.1.p, GmISU01.13G285600.1.p, GmISU01.12G068800.1.p, GmISU01.11G159000.1.p	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA
OG0003424	GmISU01.11G204600.1.p	Av_00005714-RA
OG0003543	GmISU01.03G149900.1.p, GmISU01.19G153200.1.p, GmISU01.10G060200.3.p	Ds_00005487-RA
OG0003601	GmISU01.08G125900.1.p	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4
OG0003680	GmISU01.15G059200.1.p	Solyc07g064040.3.1, Solyc10g006510.3.1
OG0003709	GmISU01.08G026250.1.p	AH012070-RA
OG0004571	GmISU01.04G148700.2.p, GmISU01.04G148700.4.p, GmISU01.04G148700.1.p	FUN_010783-T1, FUN_010783-T2
OG0004571	GmISU01.04G148700.2.p, GmISU01.04G148700.4.p, GmISU01.04G148700.1.p	AH017960-RA
OG0004906	GmISU01.08G095600.1.p, GmISU01.08G095600.2.p, GmISU01.18G005700.1.p, GmISU01.11G228300.1.p	Dm_00009156-RA
OG0004934	GmISU01.16G025300.1.p, GmISU01.16G025300.2.p, GmISU01.07G054700.1.p	FUN_051114-T2, FUN_051114-T1, FUN_010650-T1
OG0005212	GmISU01.10G198450.1.p	Dm_00005501-RA, Dm_00007698-RA
OG0005344	GmISU01.15G019100.1.p, GmISU01.13G312300.3.p, GmISU01.13G312300.1.p, GmISU01.13G312300.4.p, GmISU01.13G312300.2.p, GmISU01.08G318500.1.p, GmISU01.18G131100.1.p	Dm_00000997-RA
OG0005580	GmISU01.17G013000.1.p, GmISU01.07G221500.1.p	AH010189-RA
OG0005646	GmISU01.11G119800.1.p	Solyc11g045527.1.1
OG0005663	GmISU01.20G033400.1.p, GmISU01.20G033400.2.p, GmISU01.13G049600.4.p, GmISU01.02G237000.3.p, GmISU01.02G237000.1.p, GmISU01.14G036700.1.p	AH007500-RA
OG0005728	GmISU01.15G138100.1.p, GmISU01.09G039500.1.p, GmISU01.09G039500.3.p, GmISU01.09G039500.2.p, GmISU01.15G138100.4.p, GmISU01.15G138100.2.p, GmISU01.15G138100.3.p, GmISU01.09G039500.4.p	FUN_007555-T1
OG0006217	GmISU01.15G006600.1.p, GmISU01.15G006600.2.p, GmISU01.15G006600.3.p, GmISU01.15G006600.4.p, GmISU01.13G323800.1.p	Dm_00002509-RA
OG0006407	GmISU01.04G017800.2.p, GmISU01.04G017800.1.p, GmISU01.06G016500.1.p	Av_00003763-RA
OG0006477	GmISU01.19G109000.4.p, GmISU01.19G109000.1.p, GmISU01.19G109000.3.p, GmISU01.19G109000.2.p	Bevul.3G191500.1.p
OG0006741	GmISU01.19G018500.1.p, GmISU01.13G042400.1.p, GmISU01.13G042500.1.p	AH015755-RA
OG0007026	GmISU01.07G030800.2.p, GmISU01.07G030800.1.p, GmISU01.08G194000.2.p, GmISU01.08G194000.1.p	AH002043-RA
OG0007093	GmISU01.17G052800.1.p, GmISU01.15G152500.1.p, GmISU01.09G055900.1.p	Av_00024465-RA
OG0007109	GmISU01.14G118300.2.p, GmISU01.14G118300.5.p, GmISU01.14G118300.6.p, GmISU01.14G118300.3.p, GmISU01.14G118300.1.p, GmISU01.14G118300.4.p	Solyc10g012260.1.1
OG0007659	GmISU01.12G141700.2.p, GmISU01.12G141700.1.p, GmISU01.13G285800.1.p	AH019026-RA
OG0008119	GmISU01.20G136100.1.p, GmISU01.10G181300.1.p	FUN_038383-T1
OG0008271	GmISU01.08G219400.1.p	Dm_00006238-RA
OG0009791	GmISU01.10G037500.1.p, GmISU01.13G100300.1.p, GmISU01.13G100300.2.p	FUN_043667-T1
OG0009802	GmISU01.08G066700.1.p	AH011377-RA
OG0010164	GmISU01.04G073400.2.p, GmISU01.06G074500.1.p	AH023292-RA
OG0010941	GmISU01.06G149900.1.p	FUN_046623-T1
