Orthogroup	D_spatulata.proteins	A_hypochondriacus.proteins
OG0000025	Ds_00008906-RA, Ds_00008905-RA	AH001716-RA
OG0000025	Ds_00011235-RA	AH001699-RA, AH001703-RA, AH001700-RA, AH001701-RA, AH001705-RA, AH001698-RA, AH001704-RA
OG0000026	Ds_00006582-RA	AH012493-RA
OG0000026	Ds_00001373-RA	AH010288-RA, AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA, AH010098-RA, AH010095-RA, AH010094-RA, AH009973-RA
OG0000026	Ds_00016879-RA, Ds_00016881-RA, Ds_00001374-RA	AH010101-RA
OG0000026	Ds_00018009-RA, Ds_00018041-RA, Ds_00015619-RA	AH008141-RA
OG0000027	Ds_00016246-RA, Ds_00016163-RA, Ds_00002306-RA, Ds_00000646-RA, Ds_00007953-RA, Ds_00009832-RA, Ds_00007193-RA	AH002791-RA
OG0000028	Ds_00010076-RA, Ds_00010074-RA	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA
OG0000028	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA	AH020918-RA
OG0000028	Ds_00011377-RA, Ds_00011385-RA	AH013996-RA, AH019532-RA
OG0000029	Ds_00015527-RA, Ds_00015526-RA	AH007429-RA, AH007431-RA
OG0000029	Ds_00010871-RA, Ds_00010870-RA	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	Ds_00005993-RA	AH006350-RA
OG0000029	Ds_00003603-RA, Ds_00014221-RA	AH011168-RA
OG0000030	Ds_00015041-RA	AH016837-RA, AH023677-RA, AH023678-RA
OG0000031	Ds_00009829-RA, Ds_00009830-RA	AH004273-RA, AH006728-RA
OG0000031	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA	AH010117-RA
OG0000031	Ds_00001472-RA	AH005774-RA
OG0000031	Ds_00000354-RA, Ds_00000355-RA	AH010116-RA
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	AH018551-RA
OG0000034	Ds_00010208-RA, Ds_00015077-RA, Ds_00015914-RA	AH015068-RA
OG0000037	Ds_00010987-RA, Ds_00009807-RA	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA
OG0000037	Ds_00015216-RA	AH022157-RA, AH022156-RA
OG0000041	Ds_00006251-RA	AH007879-RA
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	AH002675-RA, AH017708-RA
OG0000042	Ds_00012464-RA	AH016437-RA
OG0000042	Ds_00007701-RA	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	Ds_00000548-RA, Ds_00002531-RA	AH015480-RA, AH006791-RA
OG0000044	Ds_00010910-RA, Ds_00011206-RA	AH003991-RA
OG0000044	Ds_00007873-RA	AH008438-RA
OG0000044	Ds_00005439-RA	AH006255-RA
OG0000044	Ds_00005440-RA	AH016207-RA
OG0000044	Ds_00012803-RA	AH013313-RA
OG0000044	Ds_00008624-RA	AH002596-RA, AH017804-RA
OG0000046	Ds_00016515-RA, Ds_00004346-RA	AH000561-RA
OG0000046	Ds_00013053-RA	AH020861-RA
OG0000046	Ds_00008610-RA	AH005447-RA, AH004082-RA
OG0000046	Ds_00008496-RA, Ds_00012090-RA	AH016482-RA
OG0000046	Ds_00000726-RA	AH003338-RA, AH002087-RA, AH000466-RA
OG0000047	Ds_00001929-RA	AH003569-RA
OG0000047	Ds_00013036-RA	AH008841-RA, AH000830-RA, AH000718-RA
OG0000047	Ds_00005948-RA	AH011231-RA, AH020493-RA
OG0000047	Ds_00000942-RA	AH011987-RA
OG0000047	Ds_00011058-RA	AH022778-RA
OG0000047	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA	AH023632-RA, AH004534-RA
OG0000047	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA	AH009198-RA
OG0000055	Ds_00010593-RA	AH005218-RA, AH004572-RA
OG0000055	Ds_00014521-RA	AH007027-RA
OG0000058	Ds_00002067-RA	AH016699-RA
OG0000058	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	AH012624-RA
OG0000059	Ds_00015524-RA, Ds_00015528-RA	AH011171-RA
OG0000059	Ds_00009643-RA	AH007433-RA
OG0000059	Ds_00013734-RA	AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	Ds_00008503-RA, Ds_00012663-RA, Ds_00017662-RA	AH016857-RA
OG0000063	Ds_00001207-RA, Ds_00010181-RA	AH001425-RA, AH001424-RA
OG0000063	Ds_00014318-RA	AH023171-RA
OG0000065	Ds_00009318-RA, Ds_00016604-RA	AH020188-RA
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA	AH001311-RA
OG0000067	Ds_00010296-RA, Ds_00015402-RA	AH020385-RA, AH006767-RA
OG0000070	Ds_00010078-RA	AH004919-RA, AH004504-RA, AH022950-RA
OG0000070	Ds_00001412-RA, Ds_00010928-RA	AH016471-RA
OG0000071	Ds_00003826-RA	AH022369-RA, AH013559-RA
OG0000071	Ds_00005567-RA	AH019943-RA
OG0000071	Ds_00002033-RA	AH012735-RA
OG0000071	Ds_00013248-RA, Ds_00007141-RA	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Ds_00006568-RA	AH013047-RA
OG0000071	Ds_00012035-RA, Ds_00010724-RA	AH004886-RA
OG0000072	Ds_00000109-RA	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA
OG0000076	Ds_00004958-RA	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA
OG0000077	Ds_00000030-RA, Ds_00000031-RA	AH000842-RA
OG0000077	Ds_00006087-RA	AH007662-RA, AH007663-RA
OG0000077	Ds_00011039-RA	AH006889-RA
OG0000078	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA	AH022838-RA
OG0000079	Ds_00017477-RA, Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA	AH008309-RA
OG0000085	Ds_00013315-RA	AH014594-RA, AH021106-RA
OG0000085	Ds_00002345-RA	AH013377-RA, AH013378-RA
OG0000085	Ds_00006817-RA	AH021680-RA
OG0000085	Ds_00003374-RA	AH015892-RA, AH017005-RA
OG0000085	Ds_00007391-RA	AH018522-RA
OG0000087	Ds_00000857-RA	AH006703-RA, AH020455-RA
OG0000087	Ds_00015816-RA, Ds_00008978-RA	AH004659-RA
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	AH007982-RA
OG0000088	Ds_00011160-RA	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	Ds_00000698-RA	AH002040-RA
OG0000089	Ds_00014281-RA, Ds_00009910-RA	AH019224-RA, AH019223-RA
OG0000090	Ds_00003959-RA	AH003790-RA, AH010641-RA
OG0000090	Ds_00008033-RA, Ds_00010488-RA	AH005307-RA
OG0000091	Ds_00005720-RA, Ds_00012613-RA	AH020558-RA, AH020560-RA
OG0000091	Ds_00009911-RA	AH021178-RA, AH000644-RA
OG0000091	Ds_00000663-RA	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	Ds_00014224-RA, Ds_00014213-RA	AH021997-RA, AH012260-RA
OG0000095	Ds_00016626-RA	AH013260-RA
OG0000095	Ds_00005433-RA	AH006304-RA
OG0000095	Ds_00005415-RA	AH010162-RA
OG0000096	Ds_00011884-RA, Ds_00011885-RA	AH005894-RA
OG0000097	Ds_00008970-RA	AH017957-RA
OG0000097	Ds_00011731-RA	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000098	Ds_00000511-RA	AH016758-RA
OG0000098	Ds_00001304-RA	AH003177-RA
OG0000099	Ds_00012557-RA	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA
OG0000101	Ds_00017680-RA, Ds_00013692-RA	AH019269-RA
OG0000102	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA	AH010958-RA, AH012445-RA
OG0000102	Ds_00011502-RA, Ds_00015916-RA	AH021394-RA
OG0000103	Ds_00007541-RA	AH010123-RA
OG0000103	Ds_00008775-RA	AH021989-RA
OG0000103	Ds_00015206-RA, Ds_00015118-RA	AH010272-RA, AH008021-RA, AH015077-RA
OG0000104	Ds_00015579-RA	AH021778-RA, AH012562-RA
OG0000104	Ds_00015800-RA, Ds_00015801-RA	AH012563-RA
OG0000105	Ds_00016593-RA, Ds_00001973-RA	AH005316-RA
OG0000105	Ds_00004427-RA, Ds_00011176-RA	AH021428-RA, AH014857-RA
OG0000105	Ds_00008720-RA, Ds_00016969-RA	AH012640-RA, AH021838-RA
OG0000105	Ds_00015702-RA	AH013279-RA
OG0000106	Ds_00012991-RA	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Ds_00008559-RA	AH004190-RA, AH005485-RA
OG0000108	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA	AH010687-RA, AH001829-RA
OG0000108	Ds_00004396-RA	AH012760-RA, AH014759-RA
OG0000109	Ds_00000324-RA	AH001741-RA
OG0000109	Ds_00013208-RA	AH003764-RA
OG0000109	Ds_00000125-RA	AH008949-RA
OG0000110	Ds_00010855-RA	AH019974-RA, AH007045-RA
OG0000113	Ds_00004232-RA, Ds_00002603-RA	AH016269-RA, AH023225-RA
OG0000113	Ds_00016297-RA	AH023633-RA
OG0000113	Ds_00011325-RA	AH018586-RA
OG0000114	Ds_00015893-RA, Ds_00015892-RA	AH015161-RA
OG0000115	Ds_00012650-RA	AH020498-RA
OG0000115	Ds_00009366-RA	AH002718-RA, AH002719-RA, AH011596-RA, AH021864-RA, AH006630-RA
OG0000115	Ds_00003925-RA	AH011228-RA
OG0000116	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA	AH022502-RA
OG0000117	Ds_00008529-RA	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	Ds_00006827-RA	AH022107-RA
OG0000118	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA	AH012040-RA, AH019634-RA
OG0000118	Ds_00002816-RA	AH006465-RA, AH002266-RA, AH009602-RA
OG0000120	Ds_00011028-RA	AH020337-RA, AH006837-RA
OG0000120	Ds_00011026-RA	AH020344-RA
OG0000120	Ds_00004593-RA	AH009707-RA
OG0000120	Ds_00015941-RA	AH018632-RA
OG0000121	Ds_00007035-RA	AH010321-RA
OG0000121	Ds_00010128-RA	AH003861-RA
OG0000121	Ds_00014897-RA	AH003011-RA
OG0000122	Ds_00007977-RA	AH015608-RA
OG0000122	Ds_00016938-RA, Ds_00018075-RA	AH003330-RA
OG0000124	Ds_00009554-RA	AH001376-RA
OG0000124	Ds_00015312-RA	AH019891-RA, AH004745-RA, AH000628-RA
OG0000125	Ds_00004719-RA	AH012890-RA
OG0000125	Ds_00006202-RA	AH010561-RA
OG0000125	Ds_00006911-RA	AH010563-RA
OG0000127	Ds_00000390-RA, Ds_00012730-RA	AH022171-RA, AH012869-RA
OG0000127	Ds_00017651-RA	AH002969-RA, AH017357-RA
OG0000129	Ds_00008115-RA	AH019248-RA
OG0000129	Ds_00014831-RA, Ds_00009085-RA	AH019249-RA
OG0000131	Ds_00008212-RA, Ds_00013324-RA	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA
OG0000134	Ds_00015753-RA, Ds_00003473-RA, Ds_00007908-RA	AH001790-RA, AH001791-RA
OG0000135	Ds_00011844-RA	AH016059-RA
OG0000135	Ds_00000458-RA, Ds_00012779-RA	AH013502-RA
OG0000135	Ds_00003378-RA, Ds_00002564-RA	AH015896-RA
OG0000136	Ds_00012310-RA	AH017306-RA
OG0000137	Ds_00001512-RA, Ds_00014384-RA, Ds_00014967-RA, Ds_00014968-RA	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA
OG0000138	Ds_00008401-RA	AH016422-RA, AH016421-RA
OG0000138	Ds_00015496-RA	AH013724-RA, AH022574-RA
OG0000139	Ds_00013858-RA, Ds_00013856-RA	AH023020-RA
OG0000140	Ds_00002651-RA	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA
OG0000142	Ds_00016529-RA, Ds_00015657-RA, Ds_00017015-RA	AH003498-RA, AH003496-RA, AH003495-RA, AH003497-RA
OG0000143	Ds_00007320-RA	AH002172-RA
OG0000143	Ds_00017988-RA	AH016191-RA, AH008728-RA
OG0000143	Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA	AH008727-RA
OG0000144	Ds_00006975-RA	AH010736-RA
OG0000144	Ds_00008018-RA	AH005332-RA
OG0000145	Ds_00004600-RA	AH009242-RA
OG0000146	Ds_00014708-RA, Ds_00014704-RA, Ds_00014622-RA	AH013670-RA, AH013668-RA
OG0000146	Ds_00006085-RA	AH023024-RA
OG0000147	Ds_00005844-RA	AH000183-RA
OG0000148	Ds_00010086-RA	AH022552-RA
OG0000148	Ds_00017699-RA	AH022967-RA
OG0000149	Ds_00012034-RA	AH016220-RA
OG0000149	Ds_00009210-RA	AH022324-RA
OG0000149	Ds_00003858-RA	AH018906-RA
OG0000152	Ds_00013693-RA	AH000407-RA
OG0000152	Ds_00007505-RA	AH022508-RA, AH013637-RA, AH016497-RA, AH022506-RA
OG0000153	Ds_00010298-RA	AH021960-RA
OG0000153	Ds_00005175-RA	AH008291-RA
OG0000153	Ds_00014432-RA	AH007368-RA
OG0000155	Ds_00014910-RA	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA
OG0000155	Ds_00004721-RA	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA
OG0000157	Ds_00000657-RA	AH001951-RA
OG0000157	Ds_00015738-RA, Ds_00009636-RA	AH019804-RA
OG0000159	Ds_00013623-RA, Ds_00013624-RA, Ds_00007406-RA, Ds_00013622-RA, Ds_00012539-RA	AH009478-RA, AH009480-RA
OG0000159	Ds_00007405-RA	AH020974-RA
OG0000159	Ds_00004538-RA	AH011882-RA
OG0000160	Ds_00007481-RA	AH016892-RA, AH023753-RA
OG0000160	Ds_00013430-RA	AH005973-RA
OG0000161	Ds_00008227-RA, Ds_00008230-RA, Ds_00004514-RA, Ds_00013396-RA	AH010020-RA
OG0000162	Ds_00008464-RA	AH022861-RA, AH022859-RA
OG0000162	Ds_00006516-RA	AH005478-RA, AH004130-RA
OG0000162	Ds_00005880-RA	AH000903-RA
OG0000163	Ds_00011543-RA	AH014552-RA
OG0000163	Ds_00001076-RA, Ds_00007815-RA	AH002639-RA, AH017756-RA
OG0000164	Ds_00016899-RA, Ds_00000385-RA	AH021228-RA, AH014343-RA
OG0000164	Ds_00001238-RA	AH001454-RA, AH000392-RA
OG0000164	Ds_00007283-RA	AH020804-RA, AH014173-RA
OG0000165	Ds_00001766-RA	AH001450-RA, AH009997-RA, AH010091-RA
OG0000168	Ds_00006112-RA	AH007811-RA
OG0000169	Ds_00004019-RA	AH003317-RA
OG0000169	Ds_00003898-RA	AH010535-RA
OG0000170	Ds_00016912-RA	AH011283-RA
OG0000170	Ds_00006258-RA, Ds_00006960-RA	AH007222-RA, AH010754-RA
OG0000171	Ds_00014598-RA, Ds_00002404-RA, Ds_00000753-RA	AH000491-RA, AH002132-RA
OG0000179	Ds_00005952-RA	AH015938-RA
OG0000179	Ds_00010315-RA	AH012805-RA
OG0000179	Ds_00001438-RA, Ds_00013435-RA	AH004307-RA
OG0000180	Ds_00016983-RA	AH013715-RA
OG0000180	Ds_00017730-RA	AH022087-RA
OG0000181	Ds_00017542-RA	AH008868-RA
OG0000181	Ds_00014418-RA	AH010377-RA, AH003266-RA
OG0000182	Ds_00010282-RA, Ds_00005977-RA	AH001251-RA, AH000172-RA, AH021993-RA
OG0000182	Ds_00008849-RA, Ds_00013004-RA	AH012779-RA
OG0000183	Ds_00012303-RA, Ds_00001174-RA	AH000308-RA, AH001363-RA
OG0000183	Ds_00011530-RA	AH015254-RA
OG0000184	Ds_00003186-RA, Ds_00006449-RA	AH007212-RA
OG0000184	Ds_00006448-RA	AH019907-RA, AH007213-RA
OG0000184	Ds_00014554-RA	AH017737-RA
OG0000185	Ds_00003146-RA	AH007772-RA
OG0000185	Ds_00003193-RA	AH020040-RA
OG0000186	Ds_00004773-RA	AH004613-RA
OG0000187	Ds_00008058-RA	AH006242-RA
OG0000187	Ds_00008057-RA	AH003380-RA
OG0000187	Ds_00006661-RA	AH004538-RA, AH005195-RA
OG0000188	Ds_00015932-RA, Ds_00008381-RA	AH009637-RA
OG0000191	Ds_00009563-RA, Ds_00000808-RA, Ds_00011024-RA	AH006833-RA
OG0000192	Ds_00004053-RA	AH011160-RA, AH011162-RA, AH011161-RA
OG0000192	Ds_00004978-RA, Ds_00009310-RA, Ds_00015642-RA	AH011736-RA
OG0000193	Ds_00013537-RA, Ds_00014382-RA	AH002455-RA
OG0000198	Ds_00010071-RA	AH013656-RA
OG0000198	Ds_00009858-RA	AH009407-RA
OG0000198	Ds_00001079-RA	AH006665-RA, AH004318-RA
OG0000198	Ds_00003282-RA	AH015977-RA
OG0000199	Ds_00014671-RA	AH011848-RA
OG0000199	Ds_00004356-RA	AH001884-RA
OG0000199	Ds_00012859-RA, Ds_00014801-RA	AH015573-RA
OG0000200	Ds_00016619-RA	AH005777-RA
OG0000200	Ds_00006108-RA, Ds_00006110-RA	AH014501-RA
OG0000201	Ds_00015640-RA	AH020018-RA
OG0000206	Ds_00007448-RA	AH022824-RA, AH007651-RA
OG0000207	Ds_00007817-RA, Ds_00001074-RA	AH002648-RA
OG0000207	Ds_00009946-RA	AH022984-RA
OG0000207	Ds_00000933-RA	AH018948-RA
OG0000207	Ds_00001632-RA, Ds_00008813-RA	AH009146-RA
OG0000207	Ds_00008814-RA	AH009147-RA
OG0000208	Ds_00002327-RA	AH013416-RA, AH022322-RA, AH013411-RA
OG0000211	Ds_00012122-RA, Ds_00012463-RA, Ds_00012462-RA, Ds_00007175-RA, Ds_00000439-RA, Ds_00012459-RA	AH015397-RA, AH019277-RA
OG0000211	Ds_00005345-RA	AH017571-RA
OG0000211	Ds_00010559-RA	AH005036-RA, AH004370-RA
OG0000212	Ds_00012990-RA	AH019579-RA, AH012403-RA
OG0000212	Ds_00007503-RA, Ds_00010063-RA	AH013636-RA
OG0000213	Ds_00004488-RA	AH021488-RA, AH014963-RA
OG0000213	Ds_00009515-RA	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA
OG0000216	Ds_00014036-RA	AH008260-RA
OG0000216	Ds_00006476-RA	AH002574-RA
OG0000216	Ds_00005269-RA	AH000038-RA
OG0000217	Ds_00007309-RA, Ds_00007311-RA	AH006817-RA, AH006820-RA
OG0000218	Ds_00009872-RA	AH021003-RA
OG0000218	Ds_00005113-RA	AH018419-RA
OG0000219	Ds_00003099-RA, Ds_00007306-RA, Ds_00009965-RA, Ds_00007304-RA, Ds_00009970-RA	AH012080-RA
OG0000219	Ds_00007308-RA, Ds_00003100-RA, Ds_00009967-RA, Ds_00009968-RA, Ds_00009180-RA, Ds_00007307-RA, Ds_00007305-RA, Ds_00009969-RA, Ds_00009950-RA, Ds_00010404-RA, Ds_00003104-RA, Ds_00009949-RA, Ds_00009181-RA	AH011868-RA, AH011866-RA, AH011867-RA
OG0000220	Ds_00005279-RA	AH018373-RA
OG0000221	Ds_00011265-RA	AH016860-RA
OG0000221	Ds_00005941-RA, Ds_00007739-RA	AH015847-RA, AH019151-RA
OG0000222	Ds_00011130-RA	AH018451-RA, AH011549-RA
OG0000222	Ds_00015918-RA	AH019420-RA, AH010384-RA, AH019521-RA
OG0000222	Ds_00000960-RA	AH012987-RA
OG0000222	Ds_00005548-RA	AH012396-RA
OG0000224	Ds_00015113-RA	AH021647-RA, AH015222-RA
OG0000224	Ds_00001155-RA, Ds_00017987-RA	AH000336-RA, AH001344-RA
OG0000227	Ds_00010370-RA, Ds_00015277-RA	AH019119-RA
OG0000227	Ds_00008521-RA, Ds_00015271-RA, Ds_00012771-RA	AH022956-RA, AH016463-RA
OG0000228	Ds_00007084-RA	AH002970-RA, AH017354-RA
OG0000229	Ds_00013197-RA, Ds_00016620-RA	AH003810-RA, AH005782-RA
OG0000230	Ds_00002554-RA	AH016753-RA
OG0000230	Ds_00010011-RA, Ds_00018035-RA	AH023644-RA
OG0000230	Ds_00002902-RA, Ds_00005465-RA	AH009416-RA
OG0000231	Ds_00015462-RA	AH004765-RA
OG0000232	Ds_00014009-RA	AH009986-RA, AH009984-RA, AH009983-RA, AH009981-RA, AH009982-RA, AH008127-RA
OG0000235	Ds_00006097-RA	AH007677-RA, AH010905-RA
OG0000235	Ds_00014038-RA	AH020331-RA, AH006874-RA, AH006856-RA
OG0000236	Ds_00015612-RA	AH023101-RA, AH016378-RA
OG0000236	Ds_00008273-RA	AH013818-RA
OG0000236	Ds_00015613-RA	AH023094-RA
OG0000238	Ds_00009909-RA, Ds_00012113-RA, Ds_00014947-RA	AH022168-RA, AH022166-RA, AH022167-RA, AH004972-RA, AH002211-RA, AH002223-RA, AH002216-RA, AH013971-RA, AH002218-RA, AH000864-RA, AH005582-RA
OG0000240	Ds_00005490-RA	AH007927-RA
OG0000240	Ds_00002050-RA	AH012669-RA
OG0000240	Ds_00008338-RA	AH001498-RA, AH000378-RA
OG0000241	Ds_00015289-RA, Ds_00005132-RA	AH011397-RA, AH018288-RA, AH018263-RA
OG0000241	Ds_00009206-RA	AH001165-RA, AH016129-RA, AH018322-RA
OG0000242	Ds_00012553-RA	AH009443-RA
OG0000243	Ds_00002144-RA	AH003233-RA
OG0000244	Ds_00015624-RA, Ds_00012931-RA	AH012219-RA
OG0000244	Ds_00005926-RA	AH013016-RA
OG0000244	Ds_00016294-RA, Ds_00006368-RA	AH001047-RA, AH001046-RA
OG0000245	Ds_00010310-RA	AH021950-RA
OG0000246	Ds_00002196-RA, Ds_00014152-RA, Ds_00012109-RA, Ds_00002178-RA, Ds_00013893-RA, Ds_00013909-RA	AH014183-RA, AH013911-RA, AH014182-RA
OG0000247	Ds_00003230-RA	AH022128-RA
OG0000247	Ds_00004686-RA, Ds_00001094-RA	AH022491-RA, AH010176-RA, AH010177-RA
OG0000249	Ds_00017955-RA, Ds_00006075-RA, Ds_00005512-RA	AH007643-RA
OG0000249	Ds_00002711-RA	AH006900-RA
OG0000249	Ds_00017247-RA	AH002805-RA
OG0000250	Ds_00012078-RA	AH002733-RA
OG0000250	Ds_00004610-RA, Ds_00016483-RA	AH009230-RA
OG0000251	Ds_00013459-RA	AH010082-RA
OG0000251	Ds_00006599-RA	AH023083-RA
OG0000252	Ds_00017779-RA	AH005701-RA, AH003872-RA
OG0000254	Ds_00002367-RA, Ds_00000795-RA, Ds_00016930-RA	AH016102-RA
OG0000256	Ds_00012988-RA	AH012393-RA
OG0000256	Ds_00016497-RA	AH015599-RA, AH015603-RA
OG0000257	Ds_00009045-RA	AH004421-RA
OG0000257	Ds_00001881-RA	AH020706-RA
OG0000262	Ds_00003658-RA	AH006972-RA, AH007602-RA, AH010501-RA
OG0000262	Ds_00009337-RA	AH020567-RA, AH006502-RA
OG0000262	Ds_00002158-RA, Ds_00007580-RA	AH010069-RA, AH008056-RA
OG0000263	Ds_00007557-RA	AH014844-RA, AH014846-RA
OG0000263	Ds_00014080-RA	AH017033-RA
OG0000264	Ds_00004404-RA	AH021353-RA, AH014775-RA
OG0000265	Ds_00001790-RA	AH010088-RA
OG0000265	Ds_00001172-RA	AH001360-RA, AH001361-RA, AH018443-RA
OG0000266	Ds_00010221-RA, Ds_00017447-RA	AH021514-RA, AH015026-RA
OG0000267	Ds_00016004-RA	AH016079-RA
