Orthogroup	D_spatulata.proteins	A_thaliana.proteins
OG0000028	Ds_00010076-RA, Ds_00010074-RA, Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA, Ds_00011377-RA, Ds_00011385-RA, Ds_00017488-RA, Ds_00011386-RA, Ds_00011732-RA	AT1G47890.1, AT1G45616.1
OG0000029	Ds_00010871-RA, Ds_00010870-RA	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
OG0000030	Ds_00015041-RA	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000031	Ds_00001472-RA	AT4G36470.1
OG0000031	Ds_00000354-RA, Ds_00000355-RA	AT1G19640.1
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	AT4G23320.2, AT4G23320.1, AT4G23320.3
OG0000034	Ds_00010208-RA, Ds_00015077-RA	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	Ds_00015914-RA	AT4G23220.1
OG0000037	Ds_00015216-RA	AT3G25180.1, AT3G25180.2
OG0000038	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	Ds_00008461-RA, Ds_00008462-RA	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	Ds_00006077-RA	AT3G13540.1
OG0000042	Ds_00012464-RA	AT1G07440.2, AT2G29170.1
OG0000042	Ds_00015505-RA	AT2G29260.1
OG0000042	Ds_00007701-RA	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	Ds_00000548-RA, Ds_00002531-RA	AT5G10610.1, AT5G10600.1
OG0000044	Ds_00010910-RA, Ds_00011206-RA	AT3G50700.1, AT5G66730.1
OG0000044	Ds_00005439-RA	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1
OG0000044	Ds_00008781-RA	AT5G03150.1
OG0000044	Ds_00012803-RA	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	Ds_00008624-RA	AT4G02670.1, AT4G02670.2
OG0000045	Ds_00009752-RA	AT1G67020.1
OG0000046	Ds_00016515-RA, Ds_00004346-RA	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	Ds_00013053-RA	AT3G24550.1, AT3G24540.1
OG0000046	Ds_00008610-RA	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	Ds_00008496-RA, Ds_00012090-RA	AT5G38560.1
OG0000047	Ds_00001929-RA	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	Ds_00013036-RA, Ds_00005948-RA	AT2G34440.1, AT3G66656.1
OG0000047	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA	AT5G62165.14
OG0000048	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA	AT4G33355.2, AT4G33355.1
OG0000050	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA	AT1G21280.1
OG0000055	Ds_00010593-RA	AT5G13160.1
OG0000055	Ds_00014521-RA	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	Ds_00001014-RA	AT3G07070.1
OG0000055	Ds_00002955-RA	AT3G20530.2, AT3G20530.1
OG0000055	Ds_00001660-RA	AT5G02800.1, AT1G07870.1, AT1G07870.2
OG0000058	Ds_00011609-RA, Ds_00005255-RA	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2
OG0000058	Ds_00002067-RA	AT5G59110.1
OG0000058	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	AT5G03620.2, AT5G03620.1
OG0000059	Ds_00009643-RA, Ds_00013734-RA	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3
OG0000059	Ds_00013728-RA	AT1G16090.1
OG0000060	Ds_00017662-RA	ATMG00810.1
OG0000065	Ds_00009318-RA, Ds_00016604-RA	AT3G09270.1
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000070	Ds_00003633-RA	AT5G09810.1
OG0000070	Ds_00010078-RA	AT3G12110.1, AT5G59370.1, AT5G59370.2, AT3G46520.2, AT3G46520.1
OG0000070	Ds_00014701-RA	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1
OG0000070	Ds_00001412-RA, Ds_00010928-RA	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1
OG0000071	Ds_00003826-RA	AT5G63180.1, AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1
OG0000071	Ds_00002033-RA	AT3G53190.1
OG0000071	Ds_00013248-RA, Ds_00007141-RA	AT4G13710.2, AT4G13710.1
OG0000071	Ds_00006568-RA	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	Ds_00012035-RA, Ds_00010724-RA	AT1G67750.1
OG0000072	Ds_00003598-RA	AT5G10980.1
OG0000072	Ds_00000109-RA	AT5G10400.1, AT1G09200.1, AT5G10390.1, AT3G27360.1, AT5G65360.1, AT5G65350.1
OG0000072	Ds_00017713-RA	AT1G75600.1
OG0000075	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA	AT1G40390.1, AT1G43760.1
OG0000076	Ds_00004958-RA	AT5G42965.1
OG0000077	Ds_00000030-RA, Ds_00000031-RA	AT2G21100.1, AT2G21100.2
OG0000077	Ds_00006087-RA	AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1
OG0000077	Ds_00011039-RA	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1
OG0000078	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA	AT1G04645.1, AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1
OG0000078	Ds_00009717-RA	AT4G16295.1, AT4G29035.1
OG0000078	Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA	AT5G06020.1, AT5G06030.1, AT5G06040.1
OG0000085	Ds_00013315-RA	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	Ds_00002345-RA	AT1G72540.1
OG0000085	Ds_00006817-RA	AT5G01020.1
OG0000085	Ds_00003374-RA	AT2G07180.1, AT2G07180.2
OG0000085	Ds_00013221-RA, Ds_00016552-RA	AT5G56460.1
OG0000085	Ds_00007391-RA	AT1G61590.1
OG0000087	Ds_00000857-RA	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	Ds_00015816-RA, Ds_00008978-RA	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	Ds_00011160-RA	AT1G29720.1
OG0000089	Ds_00000919-RA, Ds_00000698-RA	AT1G15520.2, AT1G15520.1
OG0000089	Ds_00014281-RA, Ds_00009910-RA, Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA	AT3G30842.1
OG0000090	Ds_00003959-RA	AT5G63970.1, AT5G63970.2
OG0000090	Ds_00008033-RA, Ds_00010488-RA	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
OG0000091	Ds_00005720-RA, Ds_00012613-RA	AT4G14130.1, AT3G23730.1
OG0000091	Ds_00009843-RA	AT4G30270.1, AT4G25810.1, AT5G57560.1, AT5G57550.1
OG0000093	Ds_00002167-RA	AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2
OG0000095	Ds_00016626-RA	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2
OG0000095	Ds_00005433-RA	AT3G22170.1, AT3G22170.2
OG0000095	Ds_00005415-RA	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	Ds_00011884-RA, Ds_00011885-RA	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1
OG0000096	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1
OG0000098	Ds_00000511-RA	AT1G20010.1, AT1G75780.1
OG0000098	Ds_00004278-RA, Ds_00000887-RA	AT4G20890.1, AT5G44340.1
OG0000098	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA	AT5G12250.1
OG0000099	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA, Ds_00012557-RA	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000101	Ds_00017680-RA, Ds_00013692-RA	AT3G30235.1
OG0000101	Ds_00013443-RA, Ds_00013823-RA, Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1
OG0000101	Ds_00008372-RA	AT2G06541.1, AT2G06541.2
OG0000102	Ds_00011097-RA, Ds_00000392-RA	AT2G22160.1
OG0000102	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA	AT3G49340.1, AT2G27420.1
OG0000102	Ds_00011502-RA, Ds_00015916-RA	AT5G45890.1
OG0000103	Ds_00007541-RA	AT1G16670.1
OG0000105	Ds_00016593-RA, Ds_00001973-RA	AT3G27580.2, AT3G27580.1
OG0000105	Ds_00004427-RA, Ds_00011176-RA	AT5G47750.1
OG0000105	Ds_00008720-RA, Ds_00016969-RA	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1
OG0000106	Ds_00012991-RA	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1
OG0000107	Ds_00008559-RA	AT1G15080.1
OG0000108	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3
OG0000108	Ds_00004396-RA	AT5G46540.1, AT4G18050.1, AT4G18050.2
OG0000109	Ds_00000324-RA	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1
OG0000109	Ds_00013208-RA	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3
OG0000110	Ds_00010855-RA	AT5G48100.1
OG0000110	Ds_00011944-RA, Ds_00016825-RA, Ds_00005164-RA	AT5G09360.1
OG0000112	Ds_00016959-RA, Ds_00016949-RA	ATCG00860.1, ATCG01280.1
OG0000113	Ds_00016297-RA	AT4G00165.1, AT4G00165.2
OG0000113	Ds_00011325-RA	AT2G45180.1
OG0000114	Ds_00015893-RA, Ds_00015892-RA	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1
OG0000115	Ds_00009366-RA	AT5G48350.1, AT3G62320.1
OG0000116	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA	AT1G07660.1
OG0000117	Ds_00008529-RA	AT1G70850.3, AT1G70850.1, AT1G70830.1, AT1G70830.4, AT1G70830.2, AT1G70850.2, AT1G70830.3, AT1G70830.5, AT1G70860.1, AT1G70880.1, AT1G70890.1, AT1G70840.1, AT1G23130.1, AT1G35310.1, AT1G35260.1, AT5G28010.1, AT5G28010.2, AT5G28000.1
OG0000118	Ds_00011668-RA, Ds_00006827-RA	AT3G08690.1, AT3G08690.2, AT5G56150.1
OG0000118	Ds_00002816-RA	AT5G53300.4, AT5G53300.2, AT5G53300.1, AT4G27960.1, AT2G16740.1, AT1G64230.2, AT1G64230.1, AT5G41700.2, AT5G41700.4, AT5G41700.5, AT5G41700.1
OG0000120	Ds_00011028-RA	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1
OG0000120	Ds_00011026-RA	AT5G06850.1
OG0000120	Ds_00015941-RA	AT4G11610.2, AT4G11610.1, AT4G11610.3
OG0000121	Ds_00007035-RA	AT5G04885.3, AT5G04885.1, AT5G04885.2
OG0000122	Ds_00007977-RA	ATCG00350.1
OG0000122	Ds_00016938-RA, Ds_00018075-RA	ATCG00340.1
OG0000124	Ds_00009554-RA, Ds_00015312-RA	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1
OG0000125	Ds_00004719-RA	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2
OG0000125	Ds_00006202-RA, Ds_00006911-RA	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1
OG0000127	Ds_00017651-RA	AT5G50790.1
OG0000128	Ds_00011307-RA, Ds_00008095-RA	AT1G78950.2, AT1G78950.1, AT1G78955.5, AT1G78955.4, AT1G78955.2, AT1G78955.3, AT1G78955.1, AT1G66960.3, AT1G66960.4, AT1G66960.2, AT1G66960.1, AT1G78960.5, AT1G78960.2, AT1G78960.3, AT1G78960.1, AT1G78960.4, AT1G78970.2, AT1G78970.1, AT1G78970.3
OG0000129	Ds_00014831-RA, Ds_00009085-RA	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1
OG0000134	Ds_00015753-RA, Ds_00003473-RA, Ds_00007908-RA	AT2G26560.1
OG0000135	Ds_00011844-RA	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2
OG0000135	Ds_00000458-RA, Ds_00012779-RA	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1
OG0000135	Ds_00003378-RA, Ds_00002564-RA	AT2G07020.1, AT5G35380.1
OG0000136	Ds_00012310-RA	AT5G62880.2, AT3G48040.2, AT5G62880.1, AT3G48040.1, AT5G45970.1
OG0000136	Ds_00000277-RA	AT1G20090.1, AT1G75840.1
OG0000138	Ds_00008401-RA	AT3G23635.1
OG0000138	Ds_00015264-RA	AT2G39705.1
OG0000138	Ds_00015496-RA	AT2G29125.1
OG0000139	Ds_00013858-RA, Ds_00013856-RA	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1
OG0000142	Ds_00016529-RA, Ds_00015657-RA, Ds_00017015-RA	AT1G61180.2, AT1G61310.1, AT1G61300.1, AT1G61300.2, AT1G61190.4, AT1G61190.1, AT1G61190.3, AT1G61190.2, AT1G61180.1, AT5G63020.1, AT1G12290.1, AT1G12290.2, AT1G12290.4, AT1G12290.3, AT1G12210.2, AT1G12210.3, AT1G12210.1, AT1G12280.1, AT1G12280.2, AT1G12220.3, AT1G12220.1, AT1G12220.2, AT4G10780.1, AT4G10780.2, AT1G63350.3, AT1G63360.1, AT1G63360.2, AT1G62630.1, AT1G63350.4, AT1G63350.2, AT1G63350.1
OG0000143	Ds_00017988-RA, Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1
OG0000144	Ds_00008018-RA	AT1G60940.1, AT1G60940.2, AT1G10940.2, AT1G10940.1
OG0000144	Ds_00008164-RA	AT1G78290.3, AT1G78290.2
OG0000144	Ds_00010956-RA, Ds_00003597-RA	AT4G40010.1
OG0000145	Ds_00004600-RA	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2
OG0000146	Ds_00008350-RA	AT1G53540.1, AT3G46230.1, AT5G59720.1
OG0000146	Ds_00006085-RA	AT2G29500.1
OG0000147	Ds_00010706-RA	AT3G26440.4
OG0000147	Ds_00005844-RA	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3
OG0000148	Ds_00010086-RA	AT1G07530.1, AT2G29060.1, AT2G29060.2
OG0000148	Ds_00010778-RA	AT2G37650.1, AT2G37650.2
OG0000149	Ds_00012034-RA	AT4G31810.1
OG0000149	Ds_00003858-RA	AT2G30660.1, AT2G30660.2, AT2G30650.2, AT2G30650.1, AT5G65940.2, AT5G65940.3, AT5G65940.1, AT5G65940.4
OG0000152	Ds_00013693-RA	AT3G09480.1
OG0000152	Ds_00007505-RA	AT5G59910.1, AT3G45980.1, AT3G46030.1, AT2G28720.1
OG0000153	Ds_00010298-RA	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1
OG0000153	Ds_00005175-RA	AT5G47640.1, AT4G14540.1
OG0000153	Ds_00014432-RA	AT2G13570.1
OG0000154	Ds_00014448-RA	AT2G47170.1, AT2G47170.3, AT2G47170.2
OG0000154	Ds_00009433-RA, Ds_00003935-RA	AT3G62290.2, AT3G62290.3, AT3G62290.1
OG0000155	Ds_00014910-RA, Ds_00004721-RA	AT3G62930.1, AT1G03020.1
OG0000156	Ds_00000597-RA, Ds_00002488-RA	AT4G37780.1
OG0000156	Ds_00007972-RA	AT5G57620.1
OG0000156	Ds_00003462-RA	AT2G36890.1, AT2G36890.2
OG0000157	Ds_00015738-RA, Ds_00009636-RA	AT3G42170.1, AT3G42170.2
OG0000159	Ds_00004538-RA, Ds_00004525-RA, Ds_00004526-RA	AT5G54160.1
OG0000160	Ds_00007481-RA	AT1G42540.4, AT1G42540.1, AT1G42540.2
OG0000160	Ds_00013430-RA	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3
OG0000162	Ds_00008464-RA	AT1G66880.1, AT1G66880.2, AT1G66880.3, AT5G38210.3, AT5G38210.2, AT5G38210.1
OG0000162	Ds_00005880-RA	AT1G25390.2, AT1G25390.1
OG0000163	Ds_00006949-RA	AT1G54560.1, AT1G54560.2, AT1G08730.1, AT1G08730.2
OG0000164	Ds_00016899-RA, Ds_00000385-RA	AT1G48410.2, AT1G48410.3, AT1G48410.1
OG0000164	Ds_00001238-RA	AT2G27880.1
OG0000164	Ds_00007283-RA	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3
OG0000167	Ds_00008681-RA, Ds_00008627-RA, Ds_00007273-RA, Ds_00017743-RA, Ds_00002188-RA, Ds_00014960-RA, Ds_00014248-RA, Ds_00014101-RA, Ds_00015803-RA, Ds_00002846-RA, Ds_00017493-RA	AT4G09490.1
OG0000168	Ds_00010005-RA	AT3G43790.1, AT3G43790.3, AT3G43790.2, AT3G43790.5, AT3G43790.4
OG0000168	Ds_00006112-RA	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2
OG0000169	Ds_00004019-RA	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1
OG0000169	Ds_00003898-RA	AT1G56240.1, AT1G56250.1, AT1G09155.1
OG0000170	Ds_00015508-RA	AT2G29400.1, AT5G59160.3, AT5G59160.1, AT5G59160.2, AT3G46820.1
OG0000170	Ds_00016912-RA	AT4G11240.1, AT1G64040.1
OG0000171	Ds_00014598-RA, Ds_00002404-RA, Ds_00000753-RA	AT5G25810.1, AT5G11590.1
OG0000172	Ds_00015990-RA, Ds_00014297-RA	AT3G08680.2, AT3G08680.1
OG0000173	Ds_00002108-RA, Ds_00003719-RA, Ds_00005129-RA, Ds_00008498-RA, Ds_00018001-RA, Ds_00000349-RA, Ds_00010973-RA, Ds_00006728-RA, Ds_00007195-RA, Ds_00015053-RA, Ds_00008450-RA, Ds_00014042-RA, Ds_00017268-RA, Ds_00006674-RA, Ds_00012604-RA, Ds_00010484-RA, Ds_00004262-RA, Ds_00005822-RA, Ds_00012915-RA, Ds_00002664-RA, Ds_00008699-RA, Ds_00014236-RA, Ds_00009202-RA, Ds_00014804-RA, Ds_00016662-RA, Ds_00000810-RA, Ds_00002737-RA, Ds_00002119-RA, Ds_00010302-RA, Ds_00006631-RA, Ds_00011326-RA, Ds_00014873-RA, Ds_00007762-RA, Ds_00001725-RA, Ds_00017111-RA, Ds_00010972-RA, Ds_00009699-RA, Ds_00004167-RA, Ds_00013188-RA, Ds_00015054-RA, Ds_00016701-RA, Ds_00011153-RA, Ds_00009201-RA, Ds_00006681-RA, Ds_00010812-RA, Ds_00010301-RA, Ds_00017269-RA, Ds_00013137-RA, Ds_00017726-RA, Ds_00006692-RA, Ds_00008072-RA, Ds_00015957-RA, Ds_00008449-RA, Ds_00012098-RA, Ds_00010636-RA, Ds_00009266-RA, Ds_00010388-RA, Ds_00017431-RA, Ds_00001153-RA, Ds_00015628-RA, Ds_00013230-RA, Ds_00008700-RA, Ds_00017698-RA, Ds_00017217-RA, Ds_00016746-RA, Ds_00003689-RA, Ds_00017513-RA, Ds_00002665-RA, Ds_00008632-RA, Ds_00003688-RA, Ds_00014613-RA, Ds_00000348-RA, Ds_00014043-RA, Ds_00016468-RA, Ds_00004217-RA, Ds_00006630-RA	AT3G29785.1
OG0000178	Ds_00014079-RA	AT3G46730.1, AT3G46710.1, AT3G46530.1
OG0000179	Ds_00005952-RA	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1
OG0000179	Ds_00001438-RA, Ds_00013435-RA	AT3G51370.3, AT3G51370.1, AT5G66080.1
