Orthogroup	D_spatulata.proteins	A_coerulea.proteins
OG0000028	Ds_00010076-RA, Ds_00010074-RA, Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA, Ds_00011377-RA, Ds_00011385-RA, Ds_00017488-RA, Ds_00011386-RA, Ds_00011732-RA	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p
OG0000029	Ds_00015527-RA, Ds_00015526-RA	Aqcoe5G413000.1.p, Aqcoe5G413200.1.p
OG0000029	Ds_00010871-RA, Ds_00010870-RA	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p
OG0000029	Ds_00005992-RA, Ds_00005993-RA, Ds_00003603-RA, Ds_00014221-RA, Ds_00005994-RA, Ds_00005991-RA, Ds_00008364-RA, Ds_00015383-RA, Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p
OG0000030	Ds_00015041-RA	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p
OG0000031	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA	Aqcoe1G289700.1.p
OG0000031	Ds_00001472-RA	Aqcoe6G125600.1.p
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	Aqcoe6G280300.1.p
OG0000034	Ds_00010208-RA, Ds_00015077-RA	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p
OG0000034	Ds_00015914-RA	Aqcoe1G366600.1.p
OG0000037	Ds_00010987-RA, Ds_00009807-RA, Ds_00007891-RA, Ds_00015216-RA	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p
OG0000038	Ds_00017774-RA	Aqcoe4G206500.1.p
OG0000038	Ds_00003815-RA	Aqcoe3G138700.1.p
OG0000038	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p
OG0000040	Ds_00008461-RA, Ds_00008462-RA	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p
OG0000041	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA	Aqcoe6G223300.1.p
OG0000041	Ds_00016658-RA, Ds_00008539-RA, Ds_00005900-RA	Aqcoe3G017900.1.p
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	Aqcoe2G279000.1.p
OG0000041	Ds_00016022-RA, Ds_00000091-RA	Aqcoe7G114500.1.p
OG0000041	Ds_00006077-RA	Aqcoe1G055500.1.p, Aqcoe1G055800.1.p, Aqcoe1G055800.2.p
OG0000042	Ds_00012464-RA	Aqcoe3G112800.2.p
OG0000042	Ds_00015505-RA	Aqcoe1G101200.1.p
OG0000042	Ds_00007701-RA	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p
OG0000043	Ds_00000548-RA, Ds_00002531-RA	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p
OG0000044	Ds_00010910-RA, Ds_00011206-RA	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p
OG0000044	Ds_00008781-RA	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p
OG0000044	Ds_00012803-RA	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p
OG0000044	Ds_00008624-RA	Aqcoe2G353000.1.p
OG0000045	Ds_00009752-RA	Aqcoe4G228400.1.p, Aqcoe1G252100.1.p, Aqcoe3G105000.1.p
OG0000046	Ds_00013053-RA	Aqcoe7G176700.1.p
OG0000046	Ds_00008610-RA	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p
OG0000046	Ds_00000726-RA	Aqcoe2G156400.1.p
OG0000047	Ds_00001929-RA	Aqcoe6G058700.1.p
OG0000047	Ds_00013036-RA, Ds_00005948-RA	Aqcoe7G259200.1.p
OG0000048	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA	Aqcoe1G464400.1.p, Aqcoe1G464500.1.p, Aqcoe1G462000.1.p, Aqcoe1G415500.1.p, Aqcoe2G254500.1.p, Aqcoe1G405500.1.p, Aqcoe1G403400.1.p
OG0000048	Ds_00015046-RA, Ds_00014049-RA, Ds_00014050-RA, Ds_00014051-RA, Ds_00011988-RA	Aqcoe1G403300.1.p, Aqcoe1G403100.1.p
OG0000049	Ds_00012230-RA, Ds_00003024-RA, Ds_00002245-RA, Ds_00008896-RA, Ds_00006497-RA, Ds_00017443-RA, Ds_00012468-RA, Ds_00017526-RA, Ds_00014937-RA	Aqcoe5G111200.1.p, Aqcoe2G242900.1.p, Aqcoe4G190900.1.p
OG0000049	Ds_00013655-RA, Ds_00002182-RA, Ds_00005477-RA, Ds_00005217-RA, Ds_00017621-RA, Ds_00017554-RA, Ds_00002211-RA, Ds_00012899-RA, Ds_00006677-RA, Ds_00012844-RA, Ds_00014920-RA, Ds_00010466-RA, Ds_00018005-RA	Aqcoe7G201400.1.p, Aqcoe1G106600.1.p
OG0000049	Ds_00007713-RA, Ds_00008144-RA, Ds_00002995-RA	Aqcoe4G244100.1.p, Aqcoe2G146400.1.p, Aqcoe2G161600.1.p, Aqcoe2G151500.1.p, Aqcoe1G257500.1.p, Aqcoe7G255600.1.p, Aqcoe5G140400.1.p, Aqcoe7G042100.1.p, Aqcoe4G194500.1.p, Aqcoe2G150700.1.p, Aqcoe2G229600.1.p, Aqcoe1G504100.2.p, Aqcoe1G504100.1.p, Aqcoe4G121100.2.p, Aqcoe4G121100.1.p, Aqcoe4G121100.3.p, Aqcoe5G384400.1.p, Aqcoe2G248200.1.p, Aqcoe1G378100.1.p, Aqcoe7G150100.1.p, Aqcoe7G150100.2.p, Aqcoe4G247300.1.p, Aqcoe2G293000.1.p, Aqcoe1190s0001.1.p, Aqcoe6G195600.2.p, Aqcoe6G195600.1.p, Aqcoe4G122400.1.p, Aqcoe0009s0020.1.p, Aqcoe2G170300.1.p, Aqcoe5G386100.1.p, Aqcoe4G033100.1.p, Aqcoe7G332700.1.p, Aqcoe7G332700.2.p, Aqcoe4G159700.1.p, Aqcoe2G254900.1.p, Aqcoe2G253300.1.p, Aqcoe2G253300.2.p, Aqcoe4G137600.2.p, Aqcoe4G137600.1.p, Aqcoe2G294000.1.p, Aqcoe6G198700.1.p, Aqcoe2G289200.2.p, Aqcoe2G289200.1.p, Aqcoe5G384300.1.p, Aqcoe4G176600.1.p, Aqcoe4G307300.1.p
OG0000050	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA, Ds_00012851-RA, Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA	Aqcoe4G238500.1.p
OG0000050	Ds_00016172-RA	Aqcoe2G034000.1.p, Aqcoe4G097200.1.p
OG0000051	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA, Ds_00002936-RA, Ds_00016530-RA, Ds_00015250-RA, Ds_00017962-RA, Ds_00009669-RA, Ds_00014341-RA, Ds_00007321-RA	Aqcoe6G282400.1.p
OG0000052	Ds_00016909-RA, Ds_00003004-RA, Ds_00016200-RA, Ds_00008947-RA	Aqcoe7G223300.1.p, Aqcoe3G012700.1.p, Aqcoe7G148000.1.p, Aqcoe7G148000.2.p, Aqcoe2G338100.1.p
OG0000055	Ds_00010593-RA	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p
OG0000055	Ds_00014521-RA	Aqcoe5G081700.1.p
OG0000055	Ds_00001014-RA	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p
OG0000055	Ds_00002955-RA	Aqcoe1G276100.1.p
OG0000055	Ds_00001660-RA	Aqcoe2G168000.1.p, Aqcoe2G168000.2.p, Aqcoe1G484000.1.p
OG0000058	Ds_00011609-RA, Ds_00005255-RA	Aqcoe7G095800.1.p, Aqcoe7G095800.2.p, Aqcoe1G094600.1.p, Aqcoe4G235100.1.p, Aqcoe1G125300.1.p, Aqcoe1G094800.1.p
OG0000058	Ds_00002067-RA, Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p
OG0000059	Ds_00015524-RA, Ds_00015528-RA	Aqcoe5G413100.1.p
OG0000059	Ds_00013728-RA	Aqcoe6G325200.1.p
OG0000063	Ds_00001207-RA, Ds_00010181-RA	Aqcoe4G036500.1.p
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA, Ds_00010296-RA, Ds_00015402-RA	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p
OG0000070	Ds_00003633-RA	Aqcoe5G246400.1.p
OG0000070	Ds_00016135-RA	Aqcoe5G246400.2.p
OG0000070	Ds_00010078-RA, Ds_00014701-RA, Ds_00008515-RA	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p
OG0000071	Ds_00003826-RA	Aqcoe5G383300.1.p, Aqcoe3G135100.1.p
OG0000071	Ds_00013248-RA, Ds_00007141-RA	Aqcoe2G390800.1.p
OG0000071	Ds_00006568-RA	Aqcoe5G006300.1.p
OG0000072	Ds_00003598-RA	Aqcoe2G393100.1.p
OG0000072	Ds_00000109-RA	Aqcoe1G063900.1.p, Aqcoe1G249200.1.p, Aqcoe1G021700.1.p, Aqcoe1G247500.1.p, Aqcoe1G022200.1.p, Aqcoe2G265300.1.p
OG0000072	Ds_00017713-RA	Aqcoe5G069600.1.p
OG0000075	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA	Aqcoe1G263600.1.p, Aqcoe7G254300.1.p, Aqcoe7G326500.1.p, Aqcoe4G142000.1.p, Aqcoe0192s0001.1.p, Aqcoe5G306000.1.p
OG0000077	Ds_00000030-RA, Ds_00000031-RA	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p
OG0000077	Ds_00006087-RA	Aqcoe1G007000.1.p, Aqcoe1G007200.1.p, Aqcoe1G007200.2.p, Aqcoe6G314700.1.p
OG0000078	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA	Aqcoe5G089900.1.p, Aqcoe3G423900.1.p, Aqcoe4G122900.1.p, Aqcoe7G124700.1.p
OG0000078	Ds_00006350-RA, Ds_00006352-RA, Ds_00006351-RA, Ds_00006353-RA, Ds_00010422-RA, Ds_00002738-RA, Ds_00002733-RA	Aqcoe3G318600.1.p, Aqcoe3G318700.1.p, Aqcoe3G295700.1.p
OG0000078	Ds_00009717-RA	Aqcoe5G097200.1.p, Aqcoe2G156200.1.p, Aqcoe2G252100.1.p, Aqcoe4G127300.1.p, Aqcoe5G017600.1.p, Aqcoe2G131700.1.p, Aqcoe2G131600.1.p
OG0000078	Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA	Aqcoe7G124500.1.p
OG0000079	Ds_00017477-RA	Aqcoe1G370800.1.p
OG0000079	Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA	Aqcoe4G238800.1.p
OG0000084	Ds_00017343-RA	Aqcoe4G200700.1.p, Aqcoe4G269900.1.p, Aqcoe4G255600.1.p, Aqcoe4G270200.1.p, Aqcoe4G292300.1.p, Aqcoe4G204300.1.p, Aqcoe1G276500.1.p, Aqcoe4G243100.1.p, Aqcoe2G126900.1.p, Aqcoe4G264900.1.p, Aqcoe4G280800.1.p, Aqcoe4G267400.1.p, Aqcoe1G280700.1.p, Aqcoe1G386000.1.p, Aqcoe1G230100.1.p, Aqcoe1G380700.1.p, Aqcoe1G380800.1.p, Aqcoe1G385900.1.p, Aqcoe1G385800.1.p, Aqcoe1G386100.1.p, Aqcoe1G386500.1.p, Aqcoe1G394400.1.p, Aqcoe4G236800.1.p, Aqcoe1G386300.1.p, Aqcoe1G385600.1.p, Aqcoe1G386200.1.p, Aqcoe1G385400.1.p
OG0000085	Ds_00013315-RA	Aqcoe7G428500.1.p
OG0000085	Ds_00006817-RA	Aqcoe2G069700.1.p
OG0000085	Ds_00003374-RA	Aqcoe7G239100.1.p
OG0000085	Ds_00013221-RA, Ds_00016552-RA	Aqcoe1G060400.1.p, Aqcoe1G060400.2.p
OG0000085	Ds_00007391-RA	Aqcoe5G241700.1.p
OG0000087	Ds_00000857-RA	Aqcoe1G041400.1.p, Aqcoe2G039200.1.p
OG0000087	Ds_00012134-RA, Ds_00012132-RA	Aqcoe6G024800.1.p
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	Aqcoe1G425600.1.p
OG0000089	Ds_00010413-RA, Ds_00002434-RA, Ds_00000919-RA, Ds_00000698-RA	Aqcoe7G202700.8.p, Aqcoe7G202700.9.p, Aqcoe7G202700.10.p, Aqcoe7G202700.4.p, Aqcoe7G202700.3.p, Aqcoe7G202700.5.p, Aqcoe7G202700.1.p, Aqcoe7G202700.2.p, Aqcoe3G215000.1.p, Aqcoe7G202900.1.p, Aqcoe7G202400.1.p, Aqcoe7G202400.2.p, Aqcoe7G202600.1.p, Aqcoe7G202600.2.p, Aqcoe1G185700.1.p
OG0000089	Ds_00014281-RA, Ds_00009910-RA, Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA	Aqcoe7G202300.2.p, Aqcoe7G202300.1.p, Aqcoe7G202200.1.p
OG0000090	Ds_00003959-RA	Aqcoe5G263600.3.p, Aqcoe5G263600.1.p, Aqcoe5G263600.2.p
OG0000090	Ds_00004417-RA	Aqcoe5G076700.1.p, Aqcoe5G076700.2.p
OG0000091	Ds_00005720-RA, Ds_00012613-RA	Aqcoe1G208000.1.p
OG0000091	Ds_00007917-RA	Aqcoe5G474700.1.p
OG0000091	Ds_00009911-RA, Ds_00000663-RA	Aqcoe6G159700.1.p, Aqcoe6G159600.1.p, Aqcoe6G232900.1.p, Aqcoe6G232700.1.p
OG0000092	Ds_00007208-RA, Ds_00013212-RA, Ds_00013213-RA, Ds_00006795-RA, Ds_00014224-RA, Ds_00014213-RA	Aqcoe4G221400.1.p, Aqcoe1G272600.1.p, Aqcoe1G317600.1.p, Aqcoe1G317400.1.p
OG0000093	Ds_00017546-RA, Ds_00017926-RA, Ds_00002167-RA, Ds_00007179-RA, Ds_00017547-RA, Ds_00017551-RA, Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA	Aqcoe7G301000.1.p, Aqcoe7G300700.1.p, Aqcoe0021s0001.1.p, Aqcoe7G295300.1.p, Aqcoe7G301400.1.p, Aqcoe7G300100.2.p, Aqcoe7G300100.1.p, Aqcoe7G300000.1.p
OG0000095	Ds_00016626-RA, Ds_00005433-RA, Ds_00005415-RA	Aqcoe6G022200.2.p, Aqcoe6G022200.3.p, Aqcoe6G022200.4.p, Aqcoe6G022200.1.p, Aqcoe7G165300.4.p, Aqcoe7G165300.1.p, Aqcoe7G165300.3.p, Aqcoe7G165300.2.p, Aqcoe7G165300.5.p, Aqcoe7G165300.7.p, Aqcoe7G165300.6.p
OG0000096	Ds_00011884-RA, Ds_00011885-RA, Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA	Aqcoe4G273300.1.p, Aqcoe7G439300.1.p, Aqcoe4G135000.1.p, Aqcoe4G135100.1.p
OG0000097	Ds_00008970-RA	Aqcoe3G278900.1.p
OG0000098	Ds_00000511-RA	Aqcoe5G210900.1.p
OG0000098	Ds_00004278-RA, Ds_00000887-RA	Aqcoe1G173300.1.p, Aqcoe4G008100.1.p, Aqcoe3G411000.1.p
OG0000098	Ds_00001304-RA	Aqcoe5G427300.1.p
OG0000098	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA	Aqcoe3G000700.1.p, Aqcoe2G055200.1.p, Aqcoe2G055300.1.p
OG0000098	Ds_00010103-RA	Aqcoe7G037100.1.p
OG0000099	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA, Ds_00012557-RA	Aqcoe6G049600.1.p, Aqcoe6G049500.1.p, Aqcoe6G049400.1.p, Aqcoe6G049300.1.p
OG0000101	Ds_00017680-RA, Ds_00013692-RA	Aqcoe3G302000.1.p
OG0000101	Ds_00013443-RA, Ds_00013823-RA	Aqcoe5G262700.1.p
OG0000101	Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA	Aqcoe4G169800.1.p
OG0000101	Ds_00008372-RA	Aqcoe2G168400.1.p
OG0000102	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA, Ds_00011502-RA, Ds_00015916-RA	Aqcoe1G229600.2.p, Aqcoe1G229600.1.p, Aqcoe1G229500.1.p, Aqcoe1G144900.1.p, Aqcoe2G016700.1.p, Aqcoe7G350300.1.p, Aqcoe2G016600.1.p
OG0000103	Ds_00007541-RA	Aqcoe4G056500.3.p, Aqcoe4G056500.4.p, Aqcoe4G056500.1.p, Aqcoe4G056500.2.p
OG0000103	Ds_00015206-RA, Ds_00015118-RA	Aqcoe7G153000.2.p, Aqcoe7G153000.1.p, Aqcoe7G153000.3.p, Aqcoe7G153000.4.p, Aqcoe1G314500.1.p
OG0000104	Ds_00015579-RA	Aqcoe1G436200.1.p
OG0000104	Ds_00015800-RA, Ds_00015801-RA	Aqcoe1G436600.1.p
OG0000105	Ds_00016593-RA, Ds_00001973-RA	Aqcoe3G145000.1.p, Aqcoe5G400800.1.p
OG0000105	Ds_00004427-RA, Ds_00011176-RA, Ds_00014085-RA	Aqcoe4G304500.1.p, Aqcoe4G304500.2.p
OG0000105	Ds_00008720-RA, Ds_00016969-RA, Ds_00015702-RA	Aqcoe2G131100.1.p, Aqcoe1G452500.2.p, Aqcoe1G452500.1.p
OG0000106	Ds_00012991-RA	Aqcoe6G197100.1.p
OG0000107	Ds_00008559-RA	Aqcoe3G024000.1.p, Aqcoe2G152900.1.p
