Orthogroup	V_vinifera.proteins	L_sativa.proteins
OG0000018	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1	Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1
OG0000018	VIT_205s0049g00250.1	Lsat_1_v5_gn_3_119000.1, Lsat_1_v5_gn_3_121680.2, Lsat_1_v5_gn_3_121680.1, Lsat_1_v5_gn_3_121600.3, Lsat_1_v5_gn_3_121220.4, Lsat_1_v5_gn_3_121220.1
OG0000018	VIT_205s0049g00430.1	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1
OG0000018	VIT_207s0005g03060.1	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
OG0000021	VIT_202s0012g02360.1	Lsat_1_v5_gn_8_141940.1
OG0000021	VIT_215s0048g01515.1, VIT_215s0048g01500.1	Lsat_1_v5_gn_7_7821.2
OG0000021	VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1	Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1
OG0000022	VIT_205s0020g01630.1, VIT_205s0020g01640.1, VIT_205s0020g01643.1	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1
OG0000022	VIT_207s0031g01450.1	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3
OG0000023	VIT_211s0052g00750.1, VIT_211s0052g00750.2, VIT_211s0052g00790.1, VIT_211s0052g00770.3, VIT_211s0052g00770.1, VIT_211s0052g00770.2, VIT_203s0091g01200.3, VIT_203s0091g01200.1, VIT_203s0091g01200.2, VIT_203s0088g00160.1	Lsat_1_v5_gn_5_78901.2, Lsat_1_v5_gn_5_109840.2, Lsat_1_v5_gn_5_62800.4, Lsat_1_v5_gn_5_62800.3, Lsat_1_v5_gn_0_39321.3, Lsat_1_v5_gn_0_39321.1, Lsat_1_v5_gn_0_39321.2
OG0000023	VIT_203s0091g01270.1, VIT_203s0091g01240.1, VIT_203s0091g01240.2	Lsat_1_v5_gn_5_78901.1, Lsat_1_v5_gn_5_109940.1, Lsat_1_v5_gn_5_91281.3, Lsat_1_v5_gn_5_78901.3, Lsat_1_v5_gn_4_54361.2, Lsat_1_v5_gn_4_54361.1, Lsat_1_v5_gn_5_78940.1, Lsat_1_v5_gn_5_91281.1, Lsat_1_v5_gn_5_89861.2, Lsat_1_v5_gn_5_89861.1, Lsat_1_v5_gn_2_124260.3, Lsat_1_v5_gn_2_124260.1, Lsat_1_v5_gn_8_153541.1, Lsat_1_v5_gn_5_62301.2, Lsat_1_v5_gn_5_62301.1, Lsat_1_v5_gn_5_62301.3, Lsat_1_v5_gn_5_62840.1, Lsat_1_v5_gn_5_62840.3, Lsat_1_v5_gn_5_62840.2, Lsat_1_v5_gn_5_62601.1, Lsat_1_v5_gn_5_62601.3, Lsat_1_v5_gn_5_62800.2, Lsat_1_v5_gn_5_109840.3, Lsat_1_v5_gn_5_109840.1, Lsat_1_v5_gn_4_32061.1
OG0000024	VIT_219s0027g00030.1, VIT_219s0135g00200.1	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1
OG0000024	VIT_219s0015g02050.1	Lsat_1_v5_gn_5_126200.1
OG0000025	VIT_203s0038g01190.1, VIT_203s0038g01090.1, VIT_203s0038g01150.1, VIT_203s0038g01170.1, VIT_203s0038g01250.1, VIT_203s0038g01210.1, VIT_203s0038g01110.1, VIT_203s0038g01270.1, VIT_203s0038g01285.1, VIT_203s0038g01130.1, VIT_203s0038g01230.1, VIT_203s0038g01300.1, VIT_203s0038g01080.1, VIT_203s0038g01160.1, VIT_203s0038g01120.1, VIT_203s0038g01100.1, VIT_203s0038g01280.1, VIT_203s0038g01290.1, VIT_203s0038g01260.1, VIT_203s0038g01220.1, VIT_203s0038g01180.1	Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10
OG0000025	VIT_218s0001g14000.1	Lsat_1_v5_gn_8_127440.1
OG0000025	VIT_204s0023g00490.1, VIT_204s0023g00500.1, VIT_204s0023g00520.1, VIT_204s0023g00505.1, VIT_204s0023g00540.1, VIT_204s0023g00530.1, VIT_204s0023g00555.1, VIT_204s0023g00550.1, VIT_204s0023g00580.1, VIT_204s0023g00570.1, VIT_204s0023g00560.1	Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1
OG0000026	VIT_218s0001g04510.1, VIT_218s0001g05460.1	Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2
OG0000026	VIT_218s0001g04090.1, VIT_218s0001g04830.1	Lsat_1_v5_gn_5_42681.2, Lsat_1_v5_gn_5_40321.2, Lsat_1_v5_gn_0_44201.1
OG0000026	VIT_218s0001g04170.1, VIT_218s0001g04050.1, VIT_218s0001g04080.1, VIT_218s0001g05430.1, VIT_218s0001g05290.1, VIT_218s0001g04280.1, VIT_218s0001g05230.1, VIT_218s0001g04870.1, VIT_218s0001g04120.1, VIT_218s0001g05520.1, VIT_218s0001g05360.1, VIT_218s0001g05470.1, VIT_218s0001g04220.1, VIT_218s0001g04780.1, VIT_218s0001g05240.1, VIT_219s0014g01060.1, VIT_219s0014g01060.2, VIT_219s0014g01060.3, VIT_219s0014g01070.1, VIT_219s0014g04810.1, VIT_219s0014g04800.1, VIT_219s0014g02580.1, VIT_219s0014g02550.1, VIT_219s0014g02590.1	Lsat_1_v5_gn_3_23121.1, Lsat_1_v5_gn_3_23121.3, Lsat_1_v5_gn_5_42681.1, Lsat_1_v5_gn_5_40321.1, Lsat_1_v5_gn_5_40321.4, Lsat_1_v5_gn_5_42681.4, Lsat_1_v5_gn_9_20380.2, Lsat_1_v5_gn_9_20380.3, Lsat_1_v5_gn_9_20380.1, Lsat_1_v5_gn_6_21340.3, Lsat_1_v5_gn_6_21340.1, Lsat_1_v5_gn_0_28161.1, Lsat_1_v5_gn_1_84540.1, Lsat_1_v5_gn_1_5141.3, Lsat_1_v5_gn_1_5141.1, Lsat_1_v5_gn_1_5240.2, Lsat_1_v5_gn_1_5240.1, Lsat_1_v5_gn_9_20320.2, Lsat_1_v5_gn_9_20260.3, Lsat_1_v5_gn_6_58980.1, Lsat_1_v5_gn_6_58980.2, Lsat_1_v5_gn_9_20260.1, Lsat_1_v5_gn_9_20320.1, Lsat_1_v5_gn_0_8301.1, Lsat_1_v5_gn_0_8301.3, Lsat_1_v5_gn_6_58961.3, Lsat_1_v5_gn_6_58961.2, Lsat_1_v5_gn_6_58961.1, Lsat_1_v5_gn_6_59741.3, Lsat_1_v5_gn_6_59741.1, Lsat_1_v5_gn_6_59741.2
OG0000027	VIT_209s0002g00130.3, VIT_209s0002g00130.4	Lsat_1_v5_gn_5_85480.2
OG0000027	VIT_217s0000g05540.1, VIT_214s0066g02550.1	Lsat_1_v5_gn_5_19060.1
OG0000027	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2
OG0000027	VIT_211s0052g00620.1, VIT_204s0008g02460.1	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1
OG0000027	VIT_211s0149g00210.1	Lsat_1_v5_gn_5_90761.1
OG0000027	VIT_209s0002g02260.1	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1
OG0000028	VIT_218s0157g00040.1, VIT_212s0057g00750.1, VIT_212s0057g00760.1, VIT_212s0057g00800.1, VIT_212s0057g00620.1, VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1, VIT_219s0085g00160.1	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3
OG0000029	VIT_217s0000g02105.1, VIT_217s0000g02100.1, VIT_218s0041g00010.1	Lsat_1_v5_gn_8_32960.4
OG0000029	VIT_218s0041g00020.1, VIT_218s0041g00040.1	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1
OG0000029	VIT_203s0132g00390.1, VIT_203s0132g00350.1	Lsat_1_v5_gn_7_30861.4
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1
OG0000030	VIT_200s0976g00003.1, VIT_200s0560g00020.1, VIT_200s0517g00010.1, VIT_200s0869g00010.1, VIT_200s0560g00010.1, VIT_200s0517g00020.1, VIT_200s1235g00030.1, VIT_200s0976g00006.1, VIT_200s2386g00010.1	Lsat_1_v5_gn_2_74680.1, Lsat_1_v5_gn_2_74580.1, Lsat_1_v5_gn_4_143581.1, Lsat_1_v5_gn_3_71001.1, Lsat_1_v5_gn_3_70040.1, Lsat_1_v5_gn_5_162820.1, Lsat_1_v5_gn_3_70961.1, Lsat_1_v5_gn_3_70901.1
OG0000031	VIT_204s0023g02200.3, VIT_204s0023g02200.1, VIT_204s0023g02200.4, VIT_204s0023g02200.2, VIT_204s0023g02210.1, VIT_204s0023g02210.2	Lsat_1_v5_gn_5_53841.5, Lsat_1_v5_gn_7_55041.2, Lsat_1_v5_gn_7_55041.1, Lsat_1_v5_gn_7_10781.1, Lsat_1_v5_gn_7_10781.2, Lsat_1_v5_gn_7_10741.3, Lsat_1_v5_gn_7_10741.2, Lsat_1_v5_gn_7_10741.1, Lsat_1_v5_gn_7_10721.3, Lsat_1_v5_gn_7_10721.1, Lsat_1_v5_gn_3_139781.3, Lsat_1_v5_gn_3_139781.1
OG0000031	VIT_204s0023g02260.1, VIT_204s0023g02320.1	Lsat_1_v5_gn_3_77400.2
OG0000031	VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1	Lsat_1_v5_gn_3_77400.1, Lsat_1_v5_gn_3_77440.2, Lsat_1_v5_gn_3_77440.1, Lsat_1_v5_gn_4_149540.1
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	Lsat_1_v5_gn_3_75880.1
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3
OG0000032	VIT_214s0006g02420.1, VIT_214s0006g02350.1, VIT_214s0006g02380.1, VIT_214s0006g02430.1, VIT_214s0006g02360.1, VIT_214s0006g02435.1, VIT_214s0006g02330.1, VIT_214s0006g02390.1, VIT_214s0006g02370.1, VIT_214s0006g02400.1, VIT_214s0006g02440.1, VIT_216s0013g00010.1, VIT_216s0013g00078.1, VIT_216s0013g00102.1, VIT_216s0039g02860.1, VIT_216s0013g00096.1, VIT_216s0013g00072.1, VIT_216s0039g02900.1, VIT_216s0013g00090.1, VIT_216s0013g00060.1, VIT_214s0060g02700.1, VIT_214s0060g02690.1, VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	Lsat_1_v5_gn_9_107401.1
OG0000032	VIT_210s0003g05310.1, VIT_210s0003g05300.1, VIT_210s0003g05260.1, VIT_210s0003g05250.1, VIT_210s0003g05336.1, VIT_210s0003g05340.1, VIT_210s0003g05360.1, VIT_212s0059g00730.1	Lsat_1_v5_gn_9_107321.1, Lsat_1_v5_gn_9_106481.1, Lsat_1_v5_gn_7_54120.1, Lsat_1_v5_gn_7_54100.1, Lsat_1_v5_gn_7_54140.3, Lsat_1_v5_gn_7_54140.1
OG0000034	VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1	Lsat_1_v5_gn_7_17880.1
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1
OG0000034	VIT_210s0092g00650.1	Lsat_1_v5_gn_7_18081.1, Lsat_1_v5_gn_7_18141.1
OG0000037	VIT_218s0001g11400.1	Lsat_1_v5_gn_1_19741.2, Lsat_1_v5_gn_1_19741.1, Lsat_1_v5_gn_1_19681.1, Lsat_1_v5_gn_1_19681.2, Lsat_1_v5_gn_2_15421.1
OG0000037	VIT_218s0001g11560.1, VIT_218s0001g11530.1, VIT_218s0001g11500.1, VIT_218s0001g11480.1, VIT_218s0001g11490.1, VIT_218s0001g11430.1, VIT_218s0001g11470.1, VIT_218s0001g11520.1	Lsat_1_v5_gn_4_123620.1, Lsat_1_v5_gn_4_123720.2, Lsat_1_v5_gn_4_123720.1, Lsat_1_v5_gn_4_123660.1, Lsat_1_v5_gn_4_123700.1
OG0000037	VIT_218s0001g11580.1, VIT_218s0001g11570.1	Lsat_1_v5_gn_4_120360.1, Lsat_1_v5_gn_4_121121.1, Lsat_1_v5_gn_4_121121.3, Lsat_1_v5_gn_4_120300.1, Lsat_1_v5_gn_4_43541.1, Lsat_1_v5_gn_4_43541.3, Lsat_1_v5_gn_4_120521.5, Lsat_1_v5_gn_4_124941.1, Lsat_1_v5_gn_4_120041.1, Lsat_1_v5_gn_4_108921.1, Lsat_1_v5_gn_4_122561.1, Lsat_1_v5_gn_4_122561.3, Lsat_1_v5_gn_4_120701.1, Lsat_1_v5_gn_4_120681.1, Lsat_1_v5_gn_4_120681.3, Lsat_1_v5_gn_4_122541.2, Lsat_1_v5_gn_4_122541.1, Lsat_1_v5_gn_4_120941.1, Lsat_1_v5_gn_4_120721.1, Lsat_1_v5_gn_2_122701.1, Lsat_1_v5_gn_2_122701.2, Lsat_1_v5_gn_4_121901.1, Lsat_1_v5_gn_4_121381.1, Lsat_1_v5_gn_7_104561.1, Lsat_1_v5_gn_7_104561.3, Lsat_1_v5_gn_4_120561.1, Lsat_1_v5_gn_4_120601.1, Lsat_1_v5_gn_4_121261.1, Lsat_1_v5_gn_4_123780.4, Lsat_1_v5_gn_4_123780.1, Lsat_1_v5_gn_4_123820.1
OG0000037	VIT_218s0001g11410.1, VIT_218s0001g11450.1	Lsat_1_v5_gn_4_120521.1, Lsat_1_v5_gn_4_120521.4, Lsat_1_v5_gn_4_120340.1
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1
OG0000038	VIT_219s0015g00070.1, VIT_217s0000g09550.1	Lsat_1_v5_gn_1_70980.4
OG0000038	VIT_217s0000g09570.1, VIT_217s0000g09510.1	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1
OG0000040	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1
OG0000040	VIT_217s0000g03330.1, VIT_217s0000g03330.2, VIT_214s0006g02630.1, VIT_214s0006g02660.2, VIT_214s0006g02660.1, VIT_201s0011g03890.1, VIT_201s0011g03990.1, VIT_201s0011g03900.1, VIT_214s0006g02650.1	Lsat_1_v5_gn_3_61580.1, Lsat_1_v5_gn_3_61580.5, Lsat_1_v5_gn_3_61580.3, Lsat_1_v5_gn_3_61600.1, Lsat_1_v5_gn_3_61560.2, Lsat_1_v5_gn_3_61560.1, Lsat_1_v5_gn_3_62461.1, Lsat_1_v5_gn_3_62461.3, Lsat_1_v5_gn_3_62461.2, Lsat_1_v5_gn_3_62321.1, Lsat_1_v5_gn_3_62321.2, Lsat_1_v5_gn_3_62301.2, Lsat_1_v5_gn_3_62301.1
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1
OG0000041	VIT_217s0000g02660.1	Lsat_1_v5_gn_8_43460.1
OG0000041	VIT_205s0049g01020.1, VIT_207s0005g03340.1	Lsat_1_v5_gn_9_8501.3
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1	Lsat_1_v5_gn_6_114481.1
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1, VIT_211s0016g01320.1, VIT_211s0016g01310.1, VIT_204s0008g01840.1	Lsat_1_v5_gn_7_35020.1
OG0000041	VIT_208s0007g07230.1	Lsat_1_v5_gn_6_53661.1
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3
OG0000042	VIT_206s0004g05320.1, VIT_206s0004g05320.2, VIT_206s0004g05450.1, VIT_206s0004g05280.5	Lsat_1_v5_gn_5_108221.1, Lsat_1_v5_gn_9_63660.4, Lsat_1_v5_gn_9_64401.1, Lsat_1_v5_gn_9_64301.1, Lsat_1_v5_gn_2_85880.1
OG0000042	VIT_206s0004g05370.1, VIT_206s0004g05360.1, VIT_206s0004g05340.3, VIT_206s0004g05430.3, VIT_206s0004g05430.2, VIT_206s0004g05430.1, VIT_206s0004g05340.2, VIT_206s0004g05340.1, VIT_206s0004g05330.1, VIT_206s0004g05380.1, VIT_206s0004g05390.1, VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2	Lsat_1_v5_gn_9_24040.1
OG0000042	VIT_208s0007g00890.1	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1
OG0000043	VIT_218s0001g09660.1	Lsat_1_v5_gn_1_24061.2, Lsat_1_v5_gn_1_24061.1, Lsat_1_v5_gn_1_24061.6
OG0000043	VIT_218s0001g09500.1, VIT_218s0001g09510.1, VIT_218s0001g09520.1	Lsat_1_v5_gn_6_112940.1
OG0000043	VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1	Lsat_1_v5_gn_6_112960.1
