Orthogroup	V_vinifera.proteins	A_hypochondriacus.proteins
OG0000021	VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA
OG0000022	VIT_213s0084g00030.1	AH010680-RA, AH013136-RA, AH015771-RA, AH015772-RB, AH015772-RA, AH019050-RA
OG0000023	VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1	AH000663-RA
OG0000024	VIT_219s0027g00030.1, VIT_219s0135g00200.1, VIT_219s0135g00150.4, VIT_219s0135g00120.1, VIT_219s0135g00130.2, VIT_219s0015g02500.3	AH017854-RA, AH007410-RA
OG0000024	VIT_219s0135g00230.5, VIT_219s0135g00230.4, VIT_219s0135g00230.3, VIT_219s0015g02910.2, VIT_219s0015g02500.4, VIT_219s0015g02500.2, VIT_219s0135g00230.2, VIT_219s0135g00230.1, VIT_219s0015g02500.1, VIT_219s0015g02500.7, VIT_219s0015g02660.1, VIT_219s0015g02900.1, VIT_219s0015g02520.1, VIT_219s0015g02780.1, VIT_219s0015g02910.1, VIT_219s0015g02440.1, VIT_219s0015g02140.3, VIT_219s0015g02140.5, VIT_219s0015g02140.1, VIT_219s0015g02090.3, VIT_219s0015g02090.1, VIT_219s0135g00150.1, VIT_219s0135g00150.2, VIT_219s0135g00150.3, VIT_219s0135g00130.1	AH012583-RA
OG0000026	VIT_218s0001g04510.1, VIT_218s0001g05460.1	AH010288-RA
OG0000026	VIT_218s0001g04090.1, VIT_218s0001g04830.1	AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA
OG0000026	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1	AH010101-RA
OG0000027	VIT_209s0002g00130.3, VIT_209s0002g00130.4, VIT_217s0000g05540.1, VIT_214s0066g02550.1	AH002791-RA
OG0000027	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2	AH009374-RA
OG0000028	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1	AH020918-RA
OG0000029	VIT_218s0041g00020.1, VIT_218s0041g00040.1	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	VIT_203s0132g00390.1, VIT_203s0132g00350.1	AH006350-RA
OG0000030	VIT_200s0918g00015.1	AH004946-RA, AH004294-RA
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	AH016837-RA, AH023677-RA, AH023678-RA, AH002346-RA
OG0000030	VIT_200s0976g00010.1, VIT_200s1235g00020.1	AH004951-RA, AH004295-RA
OG0000031	VIT_204s0023g03790.1, VIT_204s0023g03810.1	AH010117-RA
OG0000031	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1	AH006620-RA, AH020546-RA, AH017304-RA
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	AH005774-RA
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	AH010116-RA
OG0000032	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA
OG0000034	VIT_200s0532g00070.1	AH018551-RA
OG0000034	VIT_200s2745g00010.1, VIT_200s2659g00010.1, VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1, VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1, VIT_210s0092g00650.1, VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1, VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1	AH015068-RA
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	AH022157-RA, AH022156-RA
OG0000038	VIT_219s0015g00070.1, VIT_217s0000g09550.1	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA
OG0000041	VIT_207s0130g00040.1	AH007879-RA
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1	AH002675-RA, AH017708-RA
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	AH016437-RA
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	VIT_200s0790g00020.1, VIT_200s0705g00010.1, VIT_207s0129g00800.1, VIT_207s0129g00760.1, VIT_207s0129g00710.1, VIT_207s0129g00730.1, VIT_207s0129g00810.1, VIT_207s0129g00820.1, VIT_214s0030g01940.1, VIT_207s0129g00850.1	AH015073-RA, AH010383-RA
OG0000043	VIT_218s0001g09660.1	AH015075-RA, AH015076-RA, AH015074-RA
OG0000043	VIT_218s0001g09650.1	AH015480-RA, AH006791-RA
OG0000044	VIT_204s0023g01430.1	AH003991-RA
OG0000044	VIT_201s0010g02100.2, VIT_201s0010g02100.1	AH006255-RA
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	AH013313-RA
OG0000044	VIT_212s0028g03030.2, VIT_212s0028g03030.1	AH001378-RA
OG0000044	VIT_200s0179g00170.1	AH002596-RA, AH017804-RA
OG0000046	VIT_211s0016g03880.1	AH020861-RA
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	AH016482-RA
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	AH003338-RA, AH002087-RA, AH000466-RA
OG0000047	VIT_207s0031g01140.1	AH003569-RA
OG0000047	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1	AH008841-RA
OG0000047	VIT_203s0097g00160.2, VIT_203s0097g00160.1	AH002383-RA
OG0000047	VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4	AH008924-RA
OG0000047	VIT_201s0010g03896.1, VIT_214s0068g01800.1	AH023632-RA, AH004534-RA
OG0000047	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1	AH009198-RA
OG0000048	VIT_208s0058g01230.1, VIT_206s0004g08060.1, VIT_208s0058g01210.1	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA
OG0000050	VIT_216s0098g01340.1	AH022759-RA, AH008317-RA, AH007098-RA, AH022595-RA, AH016877-RA, AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA, AH006481-RA, AH015550-RA
OG0000050	VIT_209s0054g01090.1	AH022273-RA
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	AH005218-RA, AH004572-RA
OG0000055	VIT_205s0020g01770.1	AH007027-RA
OG0000055	VIT_204s0043g01030.1	AH010394-RA
OG0000056	VIT_214s0060g02080.1	AH023488-RA, AH010523-RA
OG0000056	VIT_214s0060g02720.1	AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA
OG0000058	VIT_206s0080g00085.1	AH016699-RA
OG0000058	VIT_208s0007g03650.1	AH012624-RA
OG0000059	VIT_218s0001g01320.1, VIT_218s0001g01370.1	AH011171-RA
OG0000059	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	VIT_203s0110g00150.1	AH016857-RA
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	AH001425-RA, AH001424-RA
OG0000063	VIT_218s0001g06850.3, VIT_218s0001g06850.6, VIT_218s0001g06850.1, VIT_218s0001g06850.2, VIT_218s0001g06850.5, VIT_218s0001g06850.4, VIT_206s0004g07740.1	AH022436-RA
OG0000063	VIT_208s0058g00970.1, VIT_208s0058g00970.3, VIT_208s0058g00970.2	AH012497-RA
OG0000063	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	AH013518-RA, AH020188-RA
OG0000065	VIT_205s0051g00110.1, VIT_205s0051g00180.1, VIT_205s0051g00130.1, VIT_218s0072g00320.1, VIT_205s0051g00240.1, VIT_200s2718g00010.1, VIT_200s2652g00010.1, VIT_206s0004g01575.1, VIT_215s0024g01369.1, VIT_215s0024g01515.1, VIT_219s0027g00930.1, VIT_206s0004g05690.1, VIT_205s0051g00310.1	AH020228-RA
OG0000065	VIT_207s0005g04880.1, VIT_207s0005g04870.1, VIT_207s0005g04890.1	AH013022-RA
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	AH001311-RA
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	AH020385-RA, AH006767-RA, AH020386-RA
OG0000068	VIT_210s0003g04510.1	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	AH004919-RA, AH004504-RA, AH022950-RA
OG0000070	VIT_204s0044g00580.2, VIT_213s0019g01240.4	AH016471-RA
OG0000071	VIT_217s0000g09810.1	AH022369-RA, AH013559-RA
OG0000071	VIT_208s0007g04820.1	AH012735-RA
OG0000071	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4	AH020129-RA
OG0000071	VIT_205s0051g00590.1	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	AH013047-RA
OG0000071	VIT_201s0137g00240.2, VIT_201s0137g00240.1	AH004886-RA
OG0000072	VIT_218s0001g13680.2	AH003759-RA, AH005866-RA
OG0000072	VIT_218s0072g00800.1	AH020159-RA, AH008035-RA
OG0000072	VIT_213s0064g01340.1	AH011844-RA
OG0000076	VIT_215s0021g00810.1	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA
OG0000077	VIT_203s0038g02060.1, VIT_203s0038g02050.1	AH000842-RA
OG0000077	VIT_213s0019g01210.1	AH019349-RA
OG0000077	VIT_206s0004g00980.1, VIT_206s0004g00970.1	AH007662-RA, AH007663-RA
OG0000077	VIT_208s0007g06960.1, VIT_208s0007g06950.1, VIT_208s0007g06930.1, VIT_208s0007g06990.1, VIT_208s0007g07000.1, VIT_208s0007g06910.1, VIT_208s0007g06900.1	AH006889-RA
OG0000078	VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1	AH022838-RA
OG0000079	VIT_200s0392g00060.1, VIT_200s0361g00060.1, VIT_200s0392g00030.1	AH015194-RA
OG0000079	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1	AH002054-RA, AH008309-RA
OG0000085	VIT_211s0016g01060.1	AH014594-RA, AH021106-RA
OG0000085	VIT_209s0002g01110.1	AH013377-RA, AH013378-RA
OG0000085	VIT_208s0056g00150.1	AH021680-RA
OG0000085	VIT_211s0065g00470.2, VIT_211s0065g00470.1	AH015892-RA, AH017005-RA
OG0000085	VIT_202s0087g00270.1	AH018522-RA
OG0000087	VIT_208s0007g05390.1	AH006703-RA, AH020455-RA
OG0000087	VIT_201s0026g00940.1	AH004659-RA
OG0000087	VIT_217s0000g07580.1	AH017338-RA
OG0000088	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1	AH007982-RA
OG0000088	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1	AH002040-RA
OG0000089	VIT_211s0016g04590.1	AH014168-RA
OG0000090	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7	AH003790-RA, AH010641-RA
OG0000090	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3	AH005307-RA
OG0000091	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1	AH020558-RA, AH020560-RA
OG0000091	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1	AH021178-RA, AH000644-RA, AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	VIT_213s0067g00650.1	AH006375-RA
OG0000092	VIT_213s0064g00530.1	AH010573-RA, AH012303-RA
OG0000092	VIT_219s0027g00830.1	AH016633-RA
OG0000093	VIT_206s0004g01440.1	AH013659-RA, AH010915-RA
OG0000093	VIT_213s0064g01760.1	AH007680-RA, AH007681-RA
OG0000095	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3	AH013260-RA
OG0000095	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4	AH006304-RA
OG0000095	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6	AH010162-RA
OG0000096	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1	AH005894-RA
OG0000096	VIT_203s0017g02110.1, VIT_203s0017g02000.1, VIT_203s0017g02120.1	AH001835-RA
OG0000097	VIT_217s0000g08760.1	AH017957-RA
OG0000097	VIT_210s0003g04760.1, VIT_212s0028g01845.1, VIT_200s0658g00010.1, VIT_210s0003g05200.1, VIT_210s0003g04814.1, VIT_209s0018g01460.1	AH006658-RA
OG0000097	VIT_203s0017g00090.1	AH010510-RA, AH010508-RA, AH010504-RA
OG0000097	VIT_212s0057g00745.1, VIT_209s0096g01010.1	AH009815-RA
OG0000097	VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000097	VIT_212s0057g00820.1, VIT_216s0013g01710.1	AH009811-RA
OG0000098	VIT_218s0001g14360.1	AH016758-RA
OG0000098	VIT_202s0025g03540.1, VIT_217s0000g02450.1	AH003177-RA
OG0000099	VIT_207s0031g01680.1, VIT_207s0031g01670.1, VIT_207s0031g01660.1	AH005801-RA
OG0000099	VIT_214s0006g01680.1	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA
OG0000102	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3	AH010958-RA, AH012445-RA, AH021394-RA
OG0000103	VIT_208s0040g01930.5, VIT_208s0040g01930.7, VIT_208s0040g01930.4, VIT_208s0040g01930.3, VIT_208s0040g01930.8, VIT_208s0040g01930.2, VIT_208s0040g01930.6, VIT_208s0040g01930.1	AH021989-RA
OG0000103	VIT_200s0370g00010.4, VIT_200s0370g00010.3, VIT_200s0370g00010.2, VIT_200s0370g00010.1, VIT_208s0007g02150.8, VIT_208s0007g02150.6, VIT_208s0007g02150.5, VIT_208s0007g02150.3, VIT_208s0007g02150.2, VIT_208s0007g02150.7, VIT_208s0007g02150.1, VIT_208s0007g02150.4	AH010272-RA, AH008021-RA, AH015077-RA
OG0000103	VIT_219s0014g01530.3, VIT_219s0014g01530.1, VIT_219s0014g01530.2, VIT_215s0024g01320.1	AH011687-RA
OG0000104	VIT_208s0007g02700.1	AH021778-RA, AH012562-RA
OG0000104	VIT_208s0007g02710.1	AH012563-RA
OG0000104	VIT_206s0080g00980.1, VIT_206s0080g00990.1, VIT_206s0080g01020.1, VIT_206s0080g01000.1, VIT_208s0007g02720.3, VIT_208s0007g02720.1, VIT_208s0007g02720.2	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	VIT_214s0066g00460.2, VIT_214s0066g00460.1	AH005316-RA
OG0000105	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1	AH021428-RA, AH014857-RA
OG0000105	VIT_208s0007g03600.1, VIT_208s0007g03600.2	AH012640-RA, AH021838-RA
OG0000105	VIT_206s0061g01540.1	AH013279-RA
OG0000106	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	VIT_201s0011g04180.1	AH004190-RA, AH005485-RA
OG0000107	VIT_214s0006g02480.3, VIT_214s0006g02480.2, VIT_214s0006g02480.1, VIT_214s0006g02480.4, VIT_214s0006g02480.6, VIT_214s0006g02480.5	AH001713-RA
OG0000108	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1	AH010687-RA, AH001829-RA
OG0000108	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1	AH012760-RA, AH014759-RA
OG0000109	VIT_203s0038g00700.1	AH001741-RA
OG0000109	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1	AH003764-RA
OG0000109	VIT_218s0001g13580.1	AH008949-RA
OG0000110	VIT_218s0122g00420.1, VIT_218s0122g00520.1	AH019974-RA, AH007045-RA
OG0000112	VIT_219s0027g00800.1	AH015488-RA
OG0000113	VIT_204s0008g05640.1	AH016269-RA, AH023225-RA
OG0000113	VIT_215s0048g00630.1	AH023633-RA
OG0000113	VIT_212s0035g02000.1, VIT_202s0154g00320.1	AH018586-RA
OG0000113	VIT_202s0154g00280.1, VIT_202s0154g00290.1	AH018579-RA
OG0000114	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1	AH015161-RA
OG0000115	VIT_208s0040g00710.1, VIT_208s0040g00715.1	AH002718-RA, AH002719-RA, AH011596-RA
OG0000115	VIT_207s0005g01745.1	AH011228-RA
OG0000116	VIT_206s0004g04370.1	AH018140-RA, AH006915-RA, AH006916-RA
OG0000116	VIT_213s0019g00800.1, VIT_213s0067g03650.1, VIT_208s0007g00040.1, VIT_213s0019g00780.1, VIT_206s0004g03890.1	AH022502-RA
OG0000116	VIT_213s0019g00760.1	AH020377-RA
OG0000117	VIT_201s0011g05150.1, VIT_201s0011g05180.1, VIT_201s0011g05190.1, VIT_201s0011g05170.1	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	VIT_219s0015g01190.1	AH022107-RA
OG0000118	VIT_202s0025g01050.1	AH012040-RA, AH019634-RA
OG0000118	VIT_203s0038g02390.1	AH006465-RA
OG0000120	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3	AH020337-RA, AH006837-RA
OG0000120	VIT_208s0007g06140.1	AH020344-RA
OG0000120	VIT_215s0046g03030.1, VIT_215s0046g03030.2	AH018632-RA
OG0000121	VIT_206s0009g00810.1, VIT_206s0009g00810.5, VIT_206s0009g00810.2, VIT_206s0009g00810.6, VIT_206s0009g00810.4, VIT_206s0009g00810.3	AH022634-RA
OG0000121	VIT_206s0009g00780.1	AH010322-RA, AH013867-RA
OG0000122	VIT_218s0001g08620.1	AH003330-RA
OG0000123	VIT_214s0068g00920.2, VIT_214s0068g00920.3, VIT_214s0068g00920.1	AH004264-RA, AH005234-RA
OG0000124	VIT_203s0063g00830.1	AH001904-RA
OG0000124	VIT_203s0063g00820.1	AH001376-RA
