Orthogroup	V_vinifera.proteins	B_vulgaris.proteins
OG0000024	VIT_219s0135g00230.5, VIT_219s0135g00230.4, VIT_219s0135g00230.3, VIT_219s0015g02910.2, VIT_219s0015g02500.4, VIT_219s0015g02500.2, VIT_219s0135g00230.2, VIT_219s0135g00230.1, VIT_219s0015g02500.1, VIT_219s0015g02500.7, VIT_219s0015g02660.1, VIT_219s0015g02900.1, VIT_219s0015g02520.1, VIT_219s0015g02780.1, VIT_219s0015g02910.1, VIT_219s0015g02440.1, VIT_219s0015g02140.3, VIT_219s0015g02140.5, VIT_219s0015g02140.1, VIT_219s0015g02090.3, VIT_219s0015g02090.1, VIT_219s0135g00150.1, VIT_219s0135g00150.2, VIT_219s0135g00150.3, VIT_219s0135g00130.1	Bevul.7G020900.1.p, Bevul.7G020600.1.p
OG0000025	VIT_204s0023g00490.1, VIT_204s0023g00500.1, VIT_204s0023g00520.1, VIT_204s0023g00505.1, VIT_204s0023g00540.1, VIT_204s0023g00530.1, VIT_204s0023g00555.1, VIT_204s0023g00550.1, VIT_204s0023g00580.1, VIT_204s0023g00570.1, VIT_204s0023g00560.1	Bevul.9G229000.1.p
OG0000026	VIT_218s0001g04510.1, VIT_218s0001g05460.1, VIT_218s0001g04090.1, VIT_218s0001g04830.1	Bevul.4G049100.1.p
OG0000026	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1	Bevul.4G079600.1.p
OG0000027	VIT_209s0002g00130.3, VIT_209s0002g00130.4, VIT_217s0000g05540.1, VIT_214s0066g02550.1	Bevul.5G197000.1.p
OG0000027	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2	Bevul.1G144100.1.p
OG0000027	VIT_209s0002g00130.2, VIT_209s0002g00130.1	Bevul.7G159800.1.p
OG0000027	VIT_211s0052g00620.1, VIT_204s0008g02460.1	Bevul.2G132800.2.p, Bevul.2G132800.1.p
OG0000027	VIT_211s0149g00210.1	Bevul.8G159900.1.p
OG0000027	VIT_209s0002g02260.1	Bevul.9G228300.1.p, Bevul.9G228300.2.p
OG0000029	VIT_218s0041g00020.1, VIT_218s0041g00040.1	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p
OG0000030	VIT_200s0918g00015.1	Bevul.6G220100.1.p
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p, Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p, Bevul.9G124900.1.p, Bevul.9G124800.1.p
OG0000030	VIT_200s0976g00010.1, VIT_200s1235g00020.1	Bevul.6G220800.1.p
OG0000031	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1	Bevul.3G005000.1.p, Bevul.3G005100.1.p, Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p, Bevul.5G208000.1.p
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	Bevul.6G022900.1.p
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	Bevul.1G155200.1.p
OG0000032	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p
OG0000034	VIT_200s0532g00070.1	Bevul.5G008500.1.p, Bevul.5G008400.1.p, Bevul.8G072800.1.p, Bevul.8G069300.1.p
OG0000034	VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1	Bevul.8G068400.1.p, Bevul.8G065600.1.p
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p
OG0000034	VIT_210s0092g00650.1	Bevul.8G034500.1.p
OG0000034	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1	Bevul.9G089000.2.p, Bevul.9G089000.1.p
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	Bevul.7G132700.1.p
OG0000038	VIT_217s0000g09610.1	Bevul.7G140500.1.p
OG0000038	VIT_217s0000g09570.1, VIT_217s0000g09510.1	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p
OG0000040	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	Bevul.9G137500.1.p
OG0000041	VIT_207s0130g00040.1	Bevul.4G126000.1.p
OG0000041	VIT_205s0049g01020.1, VIT_207s0005g03340.1	Bevul.3G009300.1.p
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1	Bevul.5G251800.1.p
OG0000041	VIT_215s0046g00170.1	Bevul.1G194200.1.p
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	Bevul.8G136400.1.p
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p
OG0000042	VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2	Bevul.7G200100.1.p
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	Bevul.4G033600.1.p, Bevul.4G033500.1.p
OG0000043	VIT_200s0790g00020.1, VIT_200s0705g00010.1, VIT_207s0129g00800.1, VIT_207s0129g00760.1, VIT_207s0129g00710.1, VIT_207s0129g00730.1, VIT_207s0129g00810.1, VIT_207s0129g00820.1, VIT_214s0030g01940.1, VIT_207s0129g00850.1	Bevul.2G142500.1.p
OG0000043	VIT_218s0001g09660.1	Bevul.8G029800.1.p
OG0000043	VIT_218s0001g09650.1	Bevul.3G192200.1.p
OG0000043	VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1	Bevul.1G013100.1.p, Bevul.1G013000.1.p, Bevul.5G044900.1.p, Bevul.1G033800.1.p
OG0000044	VIT_204s0023g01430.1	Bevul.6G087200.1.p
OG0000044	VIT_201s0010g02100.2, VIT_201s0010g02100.1	Bevul.6G042400.1.p
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	Bevul.7G059000.1.p
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	Bevul.7G175700.1.p
OG0000044	VIT_212s0028g03030.2, VIT_212s0028g03030.1	Bevul.9G080900.1.p, Bevul.9G080900.2.p
OG0000044	VIT_200s0179g00170.1	Bevul.5G238300.1.p
OG0000046	VIT_203s0063g02440.1	Bevul.6G085300.1.p
OG0000046	VIT_211s0016g03880.1	Bevul.8G193500.1.p, Bevul.8G193400.1.p
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p
OG0000047	VIT_207s0031g01140.1	Bevul.6G072600.1.p
OG0000047	VIT_201s0010g03896.1, VIT_214s0068g01800.1	Bevul.6G205000.1.p, Bevul.9G121600.1.p
OG0000047	VIT_212s0059g02675.1	Bevul.4G162400.1.p
OG0000048	VIT_208s0058g01230.1, VIT_206s0004g08060.1, VIT_208s0058g01210.1	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p
OG0000048	VIT_213s0320g00050.1	Bevul.7G007200.1.p
OG0000050	VIT_216s0098g01340.1	Bevul.9G090800.1.p, Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p, Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p
OG0000052	VIT_203s0038g03060.2, VIT_203s0038g03060.4, VIT_203s0038g03060.1, VIT_203s0038g03060.5, VIT_203s0038g03060.3	Bevul.2G027500.1.p, Bevul.1G145000.1.p, Bevul.8G101600.1.p, Bevul.9G088100.1.p, Bevul.4G102100.1.p, Bevul.5G110500.1.p
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	Bevul.6G201900.1.p
OG0000055	VIT_205s0020g01770.1	Bevul.3G152000.1.p
OG0000055	VIT_214s0068g01540.3, VIT_214s0068g01540.4, VIT_214s0068g01540.1, VIT_214s0068g01540.2	Bevul.6G037500.1.p
OG0000055	VIT_207s0005g06450.1	Bevul.7G124000.1.p
OG0000055	VIT_219s0014g00940.1, VIT_219s0090g00030.1	Bevul.4G037900.1.p
OG0000055	VIT_210s0116g00850.1	Bevul.8G057600.1.p
OG0000055	VIT_213s0067g03410.1	Bevul.2G111100.1.p, Bevul.2G111100.2.p
OG0000055	VIT_206s0004g03670.1	Bevul.7G220300.1.p
OG0000056	VIT_214s0060g02080.1	Bevul.4G202900.1.p
OG0000056	VIT_214s0060g02720.1	Bevul.9G148400.1.p, Bevul.1G122700.1.p, Bevul.1G121200.1.p, Bevul.1G121100.1.p
OG0000058	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1	Bevul.7G198300.1.p
OG0000058	VIT_208s0007g03650.1	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p
OG0000058	VIT_215s0048g01210.3, VIT_215s0048g01210.4, VIT_215s0048g01210.2, VIT_215s0048g01210.1, VIT_215s0048g01200.1	Bevul.1G123200.1.p
OG0000059	VIT_218s0001g01320.1, VIT_218s0001g01370.1	Bevul.4G207200.1.p
OG0000059	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1	Bevul.8G204300.1.p, Bevul.8G204400.1.p, Bevul.4G210500.1.p, Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p
OG0000060	VIT_203s0110g00150.1	Bevul.4G032400.1.p, Bevul.6G106000.1.p, Bevul.1G069200.1.p, Bevul.4G140200.1.p, Bevul.2G183900.1.p, Bevul.2G179300.1.p, Bevul.5G113600.1.p, Bevul.9G154900.1.p, Bevul.7G122300.1.p, Bevul.7G087000.1.p, Bevul.6G130000.1.p, Bevul.3G157500.1.p, Bevul.9G041500.1.p, Bevul.9G085600.1.p, Bevul.2G113300.1.p, Bevul.5G158700.1.p, Bevul.6G112500.1.p, Bevul.3G135000.1.p, Bevul.2G050500.1.p, Bevul.6G192600.1.p, Bevul.1G032500.1.p, Bevul.6G224900.1.p, Bevul.2G017000.1.p, Bevul.9G096800.1.p, Bevul.1G082000.1.p, Bevul.7G051800.1.p, Bevul.2G125300.1.p, Bevul.4G094800.1.p, Bevul.5G182700.1.p, Bevul.2G234000.1.p, Bevul.5G136200.1.p, Bevul.3G152200.1.p, Bevul.3G185000.1.p, Bevul.8G086400.1.p, Bevul.6G063000.1.p, Bevul.8G098000.1.p, Bevul.7G155700.1.p, Bevul.3G150400.1.p, Bevul.2G136500.1.p, Bevul.3G161000.1.p, Bevul.5G158800.1.p, Bevul.9G084200.1.p, Bevul.4G140300.1.p, Bevul.7G174300.1.p, Bevul.4G135800.1.p, Bevul.6G178600.1.p, Bevul.7G075500.1.p, Bevul.1G030200.1.p, Bevul.6G164700.1.p, Bevul.1G030100.1.p, Bevul.8G107100.1.p, Bevul.7G151700.1.p, Bevul.9G069700.1.p, Bevul.7G057400.1.p, Bevul.5G087900.1.p, Bevul.5G114800.1.p, Bevul.5G092900.1.p, Bevul.1G103000.1.p, Bevul.5G227500.1.p, Bevul.6G137600.1.p, Bevul.4G111400.1.p, Bevul.4G143400.1.p, Bevul.9G051300.1.p, Bevul.8G151700.1.p, Bevul.2G048400.1.p, Bevul.7G080500.1.p, Bevul.4G113200.1.p, Bevul.6G129900.1.p, Bevul.1G069400.1.p, Bevul.3G132800.1.p, Bevul.6G103300.1.p, Bevul.8G063200.1.p, Bevul.6G115000.1.p, Bevul.4G085700.1.p, Bevul.4G106200.1.p, Bevul.1G049200.1.p, Bevul.6G110300.1.p, Bevul.6G149300.1.p, Bevul.8G022700.1.p, Bevul.7G086100.1.p, Bevul.3G145900.1.p, Bevul.6G152800.1.p, Bevul.2G147800.1.p, Bevul.7G048400.1.p, Bevul.1G063200.1.p, Bevul.9G077400.1.p, Bevul.1G057800.1.p, Bevul.1G013600.1.p
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p
OG0000063	VIT_218s0001g06850.3, VIT_218s0001g06850.6, VIT_218s0001g06850.1, VIT_218s0001g06850.2, VIT_218s0001g06850.5, VIT_218s0001g06850.4, VIT_206s0004g07740.1	Bevul.7G222300.1.p, Bevul.7G222600.1.p, Bevul.7G222500.1.p
OG0000063	VIT_208s0058g00970.1, VIT_208s0058g00970.3, VIT_208s0058g00970.2	Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p
OG0000063	VIT_206s0004g07770.1	Bevul.7G222800.1.p
OG0000063	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3	Bevul.2G184800.1.p
OG0000065	VIT_214s0060g02170.1, VIT_206s0004g05670.1, VIT_206s0004g05680.1, VIT_206s0004g05700.1	Bevul.7G197900.1.p
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	Bevul.7G110100.1.p, Bevul.7G148200.1.p, Bevul.3G163400.1.p
OG0000065	VIT_207s0005g04880.1, VIT_207s0005g04870.1, VIT_207s0005g04890.1	Bevul.7G117800.1.p, Bevul.7G117700.1.p
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p
OG0000068	VIT_210s0003g04510.1	Bevul.3G027000.1.p, Bevul.8G060400.1.p, Bevul.8G072600.1.p, Bevul.8G072700.1.p, Bevul.8G072900.1.p, Bevul.8G060300.1.p, Bevul.3G137200.1.p
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	Bevul.6G213100.1.p, Bevul.2G233700.1.p
OG0000071	VIT_217s0000g09810.1	Bevul.7G142600.1.p
OG0000071	VIT_208s0007g04820.1	Bevul.7G048700.2.p, Bevul.7G048700.1.p
OG0000071	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4	Bevul.3G133800.1.p
OG0000071	VIT_205s0051g00590.1	Bevul.3G170700.1.p
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	Bevul.7G121800.1.p
OG0000071	VIT_201s0137g00240.2, VIT_201s0137g00240.1	Bevul.6G171300.1.p
OG0000072	VIT_218s0001g13680.2	Bevul.6G096500.1.p
OG0000072	VIT_218s0072g00800.1	Bevul.4G070600.1.p
OG0000072	VIT_204s0044g00560.1	Bevul.4G241400.1.p
OG0000076	VIT_215s0021g00810.1	Bevul.7G121000.1.p, Bevul.9G093500.1.p, Bevul.7G097500.1.p
OG0000077	VIT_203s0038g02050.1	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p
OG0000077	VIT_213s0019g01210.1	Bevul.2G047300.1.p
OG0000077	VIT_206s0004g00980.1, VIT_206s0004g00970.1	Bevul.4G245600.1.p
OG0000077	VIT_208s0007g06960.1, VIT_208s0007g06950.1, VIT_208s0007g06930.1, VIT_208s0007g06990.1, VIT_208s0007g07000.1, VIT_208s0007g06910.1, VIT_208s0007g06900.1	Bevul.3G177700.1.p, Bevul.3G177600.1.p
OG0000078	VIT_207s0005g05300.1	Bevul.1G103100.1.p, Bevul.9G153800.1.p
OG0000078	VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1	Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p
OG0000079	VIT_200s0392g00060.1, VIT_200s0361g00060.1, VIT_200s0392g00030.1	Bevul.8G067100.1.p
OG0000079	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1	Bevul.4G206400.1.p, Bevul.4G110500.1.p
OG0000084	VIT_208s0032g00240.1, VIT_210s0092g00480.1, VIT_210s0092g00370.1, VIT_210s0092g00495.1, VIT_218s0072g01140.1, VIT_210s0092g00510.1, VIT_219s0015g00080.1, VIT_219s0015g00110.1, VIT_219s0015g00100.1	Bevul.6G022100.1.p, Bevul.8G147200.1.p, Bevul.8G147600.1.p, Bevul.8G147500.1.p, Bevul.8G147400.1.p, Bevul.8G147300.1.p, Bevul.8G191300.1.p
OG0000085	VIT_211s0016g01060.1	Bevul.8G140500.1.p
OG0000085	VIT_209s0002g01110.1	Bevul.7G169300.1.p, Bevul.7G169200.1.p
OG0000085	VIT_208s0056g00150.1	Bevul.2G000300.1.p
OG0000085	VIT_211s0065g00470.2, VIT_211s0065g00470.1	Bevul.2G120700.1.p
OG0000085	VIT_206s0004g00220.2, VIT_206s0004g00220.1	Bevul.4G250700.1.p
OG0000085	VIT_202s0087g00270.1	Bevul.5G108500.1.p
OG0000087	VIT_208s0007g05390.1	Bevul.3G206400.1.p
OG0000087	VIT_213s0067g03070.1	Bevul.2G027900.1.p
OG0000087	VIT_201s0026g00940.1	Bevul.6G246200.1.p
OG0000087	VIT_217s0000g07580.1	Bevul.5G203900.1.p
OG0000088	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p
