gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position
Dm_00005129-RA,2,AT1G71820.1, Symbols: SEC6 ,  , chr1:27010022-27016745 FORWARD LENGTH=752
Dm_00005532-RA,2,AT1G77800.4, Symbols: PRE2 ,  , chr1:29253800-29260190 FORWARD LENGTH=1424
Dm_00005533-RA,2,AT1G77800.5, Symbols: PRE2 ,  , chr1:29253800-29259889 FORWARD LENGTH=1364
Dm_00005557-RA,2,AT3G46960.2, Symbols: SKI2 ,  , chr3:17291004-17296968 REVERSE LENGTH=1210
Dm_00005679-RA,2,AT1G08600.4," Symbols: ATRX, CHR20 ",  , chr1:2724562-2733431 FORWARD LENGTH=1479
Dm_00005680-RA,2,AT1G08600.4," Symbols: ATRX, CHR20 ",  , chr1:2724562-2733431 FORWARD LENGTH=1479
Dm_00005753-RA,2,AT5G16280.2," Symbols: TRAPPC8, TRS85 ",  , chr5:5323377-5331345 REVERSE LENGTH=1271
Dm_00005755-RA,2,AT2G37150.9, Symbols: CTL10 ,  , chr2:15603748-15605988 REVERSE LENGTH=546
Dm_00005916-RA,2,AT3G63460.2, Symbols: SEC31B ,  , chr3:23431009-23437241 REVERSE LENGTH=1102
Dm_00005917-RA,2,AT3G63460.1, Symbols: SEC31B ,  , chr3:23431009-23437241 REVERSE LENGTH=1104
Dm_00006041-RA,2,AT5G54880.1, Symbols: DTWD2B ,  , chr5:22291920-22293104 FORWARD LENGTH=394
Dm_00006056-RA,2,AT1G02080.2, Symbols: NOT1 ,  , chr1:373694-386682 FORWARD LENGTH=2377
Dm_00006057-RA,2,AT1G02080.3, Symbols: NOT1 ,  , chr1:373694-386682 FORWARD LENGTH=2378
Dm_00006059-RA,2,AT1G02080.1, Symbols: NOT1 ,  , chr1:373335-386682 FORWARD LENGTH=2431
Dm_00006060-RA,2,AT1G02080.2, Symbols: NOT1 ,  , chr1:373694-386682 FORWARD LENGTH=2377
Dm_00006183-RA,2,AT2G17930.1, Symbols: TRA1a ,  , chr2:7784455-7802230 REVERSE LENGTH=3858
Dm_00006305-RA,2,AT3G27550.3, Symbols: CFM9 ,  , chr3:10208010-10209899 REVERSE LENGTH=491
Dm_00006426-RA,2,AT5G65780.1, Symbols: ATBCAT-5 ,  , chr5:26316418-26318585 FORWARD LENGTH=415
Dm_00006432-RA,2,AT2G47350.1, Symbols: IES2A ,  , chr2:19434588-19437045 FORWARD LENGTH=486
Dm_00006585-RA,2,AT1G22870.1, Symbols: SCYL2A ,  , chr1:8089501-8094173 FORWARD LENGTH=913
Dm_00006817-RA,2,AT3G24880.3, Symbols: AtEAF1A ,  , chr3:9086457-9095537 REVERSE LENGTH=1909
Dm_00006818-RA,2,AT3G24880.3, Symbols: AtEAF1A ,  , chr3:9086457-9095537 REVERSE LENGTH=1909
Dm_00007633-RA,2,AT4G32620.2, Symbols: EPCR1 ,  , chr4:15731968-15737222 FORWARD LENGTH=1540
Dm_00007966-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00008365-RA,2,AT2G30690.2, Symbols: MyoB4 ,  , chr2:13076229-13078595 FORWARD LENGTH=760
Dm_00008529-RA,2,AT5G18420.1, Symbols: NOT11 ,  , chr5:6105638-6109337 REVERSE LENGTH=441
Dm_00008771-RA,2,AT3G01720.1, Symbols: AtSERGT1 ,  , chr3:262412-265608 REVERSE LENGTH=802
Dm_00008889-RA,2,AT3G10650.2," Symbols: NUP1, AtNUP1 ",  , chr3:3325562-3330819 REVERSE LENGTH=1309
Dm_00008994-RA,2,AT4G12610.1," Symbols: RAP74, ATRAP74 ",  , chr4:7454970-7457465 FORWARD LENGTH=543
Dm_00009088-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00009217-RA,2,AT3G14120.2, Symbols: NUP107 ,  , chr3:4677993-4685455 FORWARD LENGTH=1077
Dm_00009222-RA,2,AT3G01780.1, Symbols: TPLATE ,  , chr3:279171-283399 FORWARD LENGTH=1176
Dm_00009265-RA,2,AT1G61690.1, Symbols: FYVE4 ,  , chr1:22782825-22786782 REVERSE LENGTH=1171
Dm_00009417-RA,2,AT5G50020.1, Symbols: PAT9 ,  , chr5:20351591-20354124 FORWARD LENGTH=407
Dm_00009522-RA,2,AT3G63460.1, Symbols: SEC31B ,  , chr3:23431009-23437241 REVERSE LENGTH=1104
Dm_00009523-RA,2,AT3G63460.2, Symbols: SEC31B ,  , chr3:23431009-23437241 REVERSE LENGTH=1102
Dm_00009739-RA,2,AT5G65540.1, Symbols: TAFL ,  , chr5:26195710-26198112 FORWARD LENGTH=605
Dm_00009782-RA,2,AT5G21170.1," Symbols: KINbeta1, AKINBETA1 ",  , chr5:7205718-7208239 FORWARD LENGTH=283
Dm_00009848-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00010139-RA,2,AT1G12930.1, Symbols: TNPO3 ,  , chr1:4398588-4405495 REVERSE LENGTH=1005
Dm_00010511-RA,2,AT1G58350.4, Symbols: ZW18 ,  , chr1:21663131-21666827 REVERSE LENGTH=794
Dm_00010700-RA,2,AT5G46400.1," Symbols: PRP39-2, AT PRP39-2 ",  , chr5:18820032-18824522 FORWARD LENGTH=1036
Dm_00010798-RA,2,AT1G71980.1, Symbols: RMR2 ,  , chr1:27098250-27099881 FORWARD LENGTH=448
Dm_00010964-RA,2,AT5G08520.1, Symbols: MYBS2 ,  , chr5:2755470-2757741 REVERSE LENGTH=298
Dm_00011251-RA,2,AT1G21460.1," Symbols: SWEET1, AtSWEET1 ",  , chr1:7512030-7513281 REVERSE LENGTH=247
Dm_00011720-RA,2,AT1G67890.3, Symbols: RAF11 ,  , chr1:25457345-25461727 FORWARD LENGTH=738
Dm_00012434-RA,2,AT3G26020.6, Symbols: PP2AB'ETA ,  , chr3:9514363-9516585 FORWARD LENGTH=510
Dm_00012662-RA,2,AT5G47690.1," Symbols: PDS5A, PDS5, AtPDS5A ",  , chr5:19317899-19327014 FORWARD LENGTH=1605
Dm_00012781-RA,2,AT2G31890.1," Symbols: ATRAP, RAP ",  , chr2:13557100-13559715 REVERSE LENGTH=671
Dm_00012860-RA,2,AT2G04620.1, Symbols: MTP12 ,  , chr2:1610506-1612902 REVERSE LENGTH=798
Dm_00013087-RA,2,AT5G18610.3, Symbols: PBL27 ,  , chr5:6192736-6195371 FORWARD LENGTH=513
Dm_00013088-RA,2,AT3G07030.5, Symbols: ALBA6 ,  , chr3:2222871-2225254 REVERSE LENGTH=453
Dm_00013154-RA,2,AT2G22400.1," Symbols: TRM4B, AtTRM4b ",  , chr2:9504823-9508788 REVERSE LENGTH=808
Dm_00013329-RA,2,AT2G01070.2, Symbols: 7TM5 ,  , chr2:75596-77300 FORWARD LENGTH=452
Dm_00013389-RA,2,AT2G42450.1," Symbols: COR15A, LEA24 ",  , chr2:17672425-17674854 REVERSE LENGTH=546
Dm_00013412-RA,2,AT4G35870.1," Symbols: GFS10, MTV14, OSCA4.1 ",  , chr4:16990332-16992785 FORWARD LENGTH=817
Dm_00014266-RA,2,AT2G43410.4, Symbols: FPA ,  , chr2:18026397-18030989 REVERSE LENGTH=901
Dm_00014330-RA,2,AT2G24530.2, Symbols: ADA1E ,  , chr2:10422597-10423820 FORWARD LENGTH=407
Dm_00015058-RA,2,AT4G31880.1," Symbols: AtPDS5C, PDS5C ",  , chr4:15419435-15423939 REVERSE LENGTH=873
Dm_00015059-RA,2,AT4G31880.1," Symbols: AtPDS5C, PDS5C ",  , chr4:15419435-15423939 REVERSE LENGTH=873
Dm_00015190-RA,2,AT1G50920.1, Symbols: Nog1-1 ,  , chr1:18870555-18872570 FORWARD LENGTH=671
Dm_00015455-RA,2,AT2G39190.2, Symbols: ATATH8 ,  , chr2:16350140-16355745 FORWARD LENGTH=814
Dm_00015565-RA,2,AT2G47350.1, Symbols: IES2A ,  , chr2:19434588-19437045 FORWARD LENGTH=486
Dm_00015701-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00016056-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00016057-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00016459-RA,2,AT1G11960.2, Symbols: OSCA1.3 ,  , chr1:4040590-4043143 REVERSE LENGTH=633
Dm_00016705-RA,2,AT5G22070.1, Symbols: RSE1 ,  , chr5:7308255-7309343 FORWARD LENGTH=362
Dm_00016900-RA,2,AT4G31880.2," Symbols: AtPDS5C, PDS5C ",  , chr4:15419435-15423939 REVERSE LENGTH=872
Dm_00017011-RA,2,AT5G11650.1, Symbols: MAGL13 ,  , chr5:3745069-3746816 FORWARD LENGTH=390
Dm_00017434-RA,2,AT5G10310.1," Symbols: EPFL1, AtEPFL1 ",  , chr5:3241666-3242127 REVERSE LENGTH=122
Dm_00018588-RA,2,AT5G06560.1, Symbols: MyoB7 ,  , chr5:2003678-2005543 REVERSE LENGTH=518
Dm_00018626-RA,2,AT1G24330.2, Symbols: PUB6 ,  , chr1:8631779-8634835 FORWARD LENGTH=771
Dm_00018830-RA,2,AT1G78690.5, Symbols: At1g78690p ,  , chr1:29597002-29598409 FORWARD LENGTH=284
Dm_00019083-RA,2,AT4G15480.1, Symbols: UGT84A1 ,  , chr4:8849000-8850472 REVERSE LENGTH=490
Dm_00019299-RA,2,AT1G11950.3, Symbols: JMJ26 ,  , chr1:4034747-4038310 REVERSE LENGTH=875
Dm_00019764-RA,2,AT4G19600.1, Symbols: CYCT1;4 ,  , chr4:10673619-10676532 FORWARD LENGTH=541
Dm_00019773-RA,2,AT1G56190.1," Symbols: PGKp2, cPGK2, PGK2 ",  , chr1:21028403-21030454 FORWARD LENGTH=478
Dm_00020976-RA,2,AT5G24870.3," Symbols: MREL57, CTL07 ",  , chr5:8545008-8546923 REVERSE LENGTH=520
Dm_00020333-RA,2,AT3G62860.1, Symbols: MAGL12 ,  , chr3:23239577-23242143 REVERSE LENGTH=348
Dm_00002603-RA,2,AT3G48050.2, Symbols: SUO , 'shuttle' in chinese , chr3:17734270-17739412 REVERSE LENGTH=1613
Dm_00008561-RA,2,AT4G24220.1," Symbols: AWI31, 5[beta]-StR, VEP1 "," ""&#916;4,5-steroid-5[beta]-reductase"", VEIN PATTERNING 1 ", chr4:12565219-12566474 FORWARD LENGTH=388
Dm_00017824-RA,2,AT5G36120.1," Symbols: CCB3, atylmg3, YLMG3 "," ""cofactor assembly, complex C (B6F)"" ", chr5:14198679-14199203 REVERSE LENGTH=174
Dm_00018530-RA,2,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
Dm_00001701-RA,2,AT3G48270.1, Symbols: CYP71A26 ," ""cytochrome P450, family 71, subfamily A, polypeptide 26"" ", chr3:17876571-17878173 FORWARD LENGTH=489
Dm_00001605-RA,2,AT2G45550.1, Symbols: CYP76C4 ," ""cytochrome P450, family 76, subfamily C, polypeptide 4"" ", chr2:18773541-18775654 REVERSE LENGTH=511
Dm_00011621-RA,2,AT4G31940.1, Symbols: CYP82C4 ," ""cytochrome P450, family 82, subfamily C, polypeptide 4"" ", chr4:15452040-15453966 FORWARD LENGTH=524
Dm_00007466-RA,2,AT5G02770.1, Symbols: MOS11 ," ""modifier of snc1, 11"" ", chr5:628101-629168 REVERSE LENGTH=214
Dm_00020410-RA,2,AT1G33520.1, Symbols: MOS2 ," ""modifier of snc1, 2"" ", chr1:12157488-12158876 REVERSE LENGTH=462
Dm_00013106-RA,2,AT5G15400.1," Symbols: MUSE3, UFD2 "," ""Mutant, snc1 -enhancing 3"", r Ubiquitin Fusion Degradation Protein2 ", chr5:4997764-5002907 REVERSE LENGTH=1038
Dm_00013499-RA,2,AT5G05970.2, Symbols: NEDD1 ," ""NEURAL PRECURSOR CELL EXPRESSED, DEVELOPMENTALLY DOWN-REGULATED GENE 1"" ", chr5:1795464-1799313 FORWARD LENGTH=782
Dm_00006091-RA,2,AT5G60970.1, Symbols: TCP5 ," ""TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5"" ", chr5:24535570-24536652 REVERSE LENGTH=360
Dm_00015772-RA,2,AT1G62640.2, Symbols: KAS III , 3-ketoacyl-acyl carrier protein synthase III , chr1:23192502-23194737 FORWARD LENGTH=404
Dm_00007098-RA,2,AT1G19440.1, Symbols: KCS4 , 3-ketoacyl-CoA synthase 4 , chr1:6729119-6730669 FORWARD LENGTH=516
Dm_00007716-RA,2,AT1G75660.1," Symbols: AtXRN3, XRN3 "," 5'-3' EXORIBONUCLEASE 3, 5'-3' exoribonuclease 3 ", chr1:28408289-28414825 FORWARD LENGTH=1020
Dm_00015577-RA,2,AT4G35740.1," Symbols: ATRECQ3, RecQl3 ", A. THALIANA RECQ HELICASE 3 , chr4:16936233-16940172 FORWARD LENGTH=713
Dm_00016070-RA,2,AT2G44880.2, Symbols: AHG11 , ABA hypersensitive germination 11 , chr2:18505110-18506906 FORWARD LENGTH=598
Dm_00004992-RA,2,AT5G01520.1," Symbols: AtAIRP2, AIRP2 ", ABA Insensitive RING Protein 2 , chr5:206797-208399 FORWARD LENGTH=242
Dm_00015480-RA,2,AT5G04895.1, Symbols: ABO6 , ABA overly sensitive 6 , chr5:1428796-1434516 FORWARD LENGTH=1161
Dm_00009231-RA,2,AT5G13630.1," Symbols: ABAR, CHLH, GUN5, CCH, CCH1 "," ABA-BINDING PROTEIN, H SUBUNIT OF MG-CHELATASE, GENOMES UNCOUPLED 5, CONDITIONAL CHLORINA ", chr5:4387567-4392082 REVERSE LENGTH=1381
Dm_00010884-RA,2,AT1G69850.1," Symbols: NRT1:2, NTL1, AIT1, NPF4.6, ATNRT1:2, AtNPF4.6, NRT1.2 "," ABA-importing transporter 1, NRT1/ PTR family 4.6, nitrate transporter 1:2 ", chr1:26296945-26300407 REVERSE LENGTH=585
Dm_00002019-RA,2,AT3G04460.2," Symbols: ATPEX12, PEX12, APM4 "," ABERRANT PEROXISOME MORPHOLOGY 4, PEROXIN-12, peroxin-12 ", chr3:1186641-1189041 FORWARD LENGTH=403
Dm_00007286-RA,2,AT2G20300.1, Symbols: ALE2 , Abnormal Leaf Shape 2 , chr2:8756475-8759845 REVERSE LENGTH=744
Dm_00003716-RA,2,AT5G51290.1, Symbols: ACD5 , ACCELERATED CELL DEATH 5 , chr5:20844252-20848157 REVERSE LENGTH=608
Dm_00017567-RA,2,AT5G42480.1, Symbols: ARC6 , ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6 , chr5:16985295-16988332 FORWARD LENGTH=801
Dm_00013392-RA,2,AT3G21740.1, Symbols: APO4 , ACCUMULATION OF PHOTOSYSTEM ONE 4 , chr3:7662542-7663638 REVERSE LENGTH=337
Dm_00018408-RA,2,AT1G36160.2," Symbols: AT-ACC1, 115D-4A, ACC1, PAS3, EMB22, GSD1, SFR3, GK "," acetyl-CoA carboxylase 1, PASTICCINO 3, GLOSSYHEAD 1, SENSITIVE TO FREEZING 3, GURKE, EMBRYO DEFECTIVE 22 ", chr1:13534196-13543773 FORWARD LENGTH=2254
Dm_00014632-RA,2,AT4G39680.2, Symbols: ACINUS , ACINUS , chr4:18414604-18416938 REVERSE LENGTH=633
Dm_00010101-RA,2,AT1G18450.1," Symbols: ARP4, ATARP4 ", actin-related protein 4 , chr1:6348199-6351766 FORWARD LENGTH=441
Dm_00005877-RA,2,AT5G16370.1, Symbols: AAE5 , acyl activating enzyme 5 , chr5:5356823-5358481 REVERSE LENGTH=552
Dm_00016629-RA,2,AT1G60780.1," Symbols: AP1M2, HAP13 "," adaptor protein-1 mu-adaptin 2, HAPLESS 13 ", chr1:22369289-22371885 REVERSE LENGTH=428
Dm_00001302-RA,2,AT5G23150.2," Symbols: ART1, HUA2 "," AERIAL ROSETTE 1, ENHANCER OF AG-4 2 ", chr5:7786173-7791648 FORWARD LENGTH=1339
Dm_00010504-RA,2,AT5G23150.2," Symbols: ART1, HUA2 "," AERIAL ROSETTE 1, ENHANCER OF AG-4 2 ", chr5:7786173-7791648 FORWARD LENGTH=1339
Dm_00006912-RA,2,AT5G60440.1, Symbols: AGL62 , AGAMOUS-like 62 , chr5:24306329-24307520 FORWARD LENGTH=299
Dm_00000410-RA,2,AT3G18110.1," Symbols: ACM1, EMB1270 "," Albino Cotyledon Mutant1, embryo defective 1270 ", chr3:6204940-6209691 REVERSE LENGTH=1440
Dm_00014455-RA,2,AT2G14170.1," Symbols: ALDH6B2, MMSD ", aldehyde dehydrogenase  6B2 , chr2:5977727-5981899 REVERSE LENGTH=607
Dm_00010574-RA,2,AT2G27150.2," Symbols: AOdelta, AAO3, AtAAO3, At-AO3 "," Aldehyde oxidase delta, Arabidopsis thaliana aldehyde oxidase 3, abscisic aldehyde oxidase 3 ", chr2:11601952-11607014 FORWARD LENGTH=1332
Dm_00002813-RA,2,AT1G15130.1, Symbols: ALIX , ALG-2 INTERACTING PROTEIN-X , chr1:5206217-5209848 REVERSE LENGTH=846
Dm_00007003-RA,2,AT1G69830.1," Symbols: ATAMY3, AMY3 "," ALPHA-AMYLASE-LIKE 3, alpha-amylase-like 3 ", chr1:26288518-26293003 REVERSE LENGTH=887
Dm_00019013-RA,2,AT3G54720.1," Symbols: PT, AtAMP1, HPT, COP2, MFO1, AMP1 "," ALTERED MERISTEM PROGRAM 1, CONSTITUTIVE MORPHOGENESIS 2, PRIMORDIA TIMING, Multifolia, HAUPTLING ", chr3:20254852-20257815 REVERSE LENGTH=705
Dm_00013685-RA,2,AT1G68370.1, Symbols: ARG1 , ALTERED RESPONSE TO GRAVITY 1 , chr1:25632046-25634527 REVERSE LENGTH=410
Dm_00004619-RA,2,AT1G13560.1," Symbols: ATAAPT1, AAPT1 ", aminoalcoholphosphotransferase 1 , chr1:4638834-4641691 REVERSE LENGTH=389
Dm_00001569-RA,2,AT5G04930.1, Symbols: ALA1 , aminophospholipid ATPase 1 , chr5:1445509-1449568 FORWARD LENGTH=1158
Dm_00013202-RA,2,AT5G04930.1, Symbols: ALA1 , aminophospholipid ATPase 1 , chr5:1445509-1449568 FORWARD LENGTH=1158
Dm_00003755-RA,2,AT5G44240.2, Symbols: ALA2 , aminophospholipid ATPase 2 , chr5:17817619-17823598 FORWARD LENGTH=1107
Dm_00013524-RA,2,AT3G25610.1, Symbols: ALA10 , Aminophospholipid ATPase10 , chr3:9308942-9313353 REVERSE LENGTH=1202
Dm_00002289-RA,2,AT1G28530.2, Symbols: ANU10 , ANGULATA 10 , chr1:10032127-10035496 REVERSE LENGTH=613
Dm_00010281-RA,2,AT4G35450.3," Symbols: AFT, AKR2, AKR2A ", ankyrin repeat-containing protein 2 , chr4:16839862-16841759 FORWARD LENGTH=342
Dm_00013940-RA,2,AT4G36050.2, Symbols: APE2 , APURINIC/APYRIMIDINIC ENDONUCLEASE2 , chr4:17052323-17055044 REVERSE LENGTH=610
Dm_00018681-RA,2,AT2G02970.1," Symbols: APY6, AtAPY6 ", apyrase 6 , chr2:865395-868007 REVERSE LENGTH=555
Dm_00012084-RA,2,AT1G79000.2," Symbols: PCAT2, ATHAC1, ATHPCAT2, HAC1 "," ARABIDOPSIS HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY 1, P300/CBP ACETYLTRANSFERASE-RELATED PROTEIN 2, ARABIDOPSIS THALIANA P300/CBP ACETYLTRANSFERASE-RELATED PROTEIN 2, histone acetyltransferase of the CBP family 1 ", chr1:29716639-29723984 REVERSE LENGTH=1741
Dm_00020387-RA,2,AT4G38130.1," Symbols: ATHDA19, HD1, HDA1, HDAC19, HDA19, RPD3A, ATHD1 "," ARABIDOPSIS HISTONE DEACETYLASE 19, histone deacetylase 19, HISTONE DEACETYLASE 19, histone deacetylase 1, ARABIDOPSIS HISTONE DEACETYLASE 1 ", chr4:17896493-17899057 REVERSE LENGTH=501
Dm_00008318-RA,2,AT1G79090.3, Symbols: PAT1 , Arabidopsis homolog of yeast PAT1 , chr1:29749551-29752945 REVERSE LENGTH=793
Dm_00014757-RA,2,AT1G18870.1," Symbols: ATICS2, ICS2 "," ARABIDOPSIS ISOCHORISMATE SYNTHASE 2, isochorismate synthase 2 ", chr1:6515486-6519176 FORWARD LENGTH=562
Dm_00002783-RA,2,AT3G04740.1," Symbols: SWP, ATMED14, MED14 "," ARABIDOPSIS MEDIATOR COMPONENTS 14, MEDIATOR COMPONENTS 14, STRUWWELPETER ", chr3:1294037-1300555 FORWARD LENGTH=1703
Dm_00005547-RA,2,AT5G05660.1," Symbols: ATNFXL2, EBI, NFXL2 "," Arabidopsis NF-X like 2, EARLY BIRD, NFX1-like 2 ", chr5:1691113-1695473 REVERSE LENGTH=883
Dm_00016548-RA,2,AT1G77360.2, Symbols: APPR6 , Arabidopsis pentatricopeptide repeat 6 , chr1:29071983-29073428 REVERSE LENGTH=481
Dm_00004499-RA,2,AT2G01980.1," Symbols: ATNHX7, ATSOS1, SOS1 "," ARABIDOPSIS SALT OVERLY SENSITIVE 1, SALT OVERLY SENSITIVE 1, ARABIDOPSIS NA+/H+ ANTIPORTER 7 ", chr2:457070-463145 FORWARD LENGTH=1146
Dm_00008119-RA,2,AT5G51300.3," Symbols: AtSF1, SOT4, SF1 "," Arabidopsis SF1 homolog, SPLICING FACTOR 1 ", chr5:20849881-20852295 REVERSE LENGTH=804
Dm_00020126-RA,2,AT5G51300.3," Symbols: AtSF1, SOT4, SF1 "," Arabidopsis SF1 homolog, SPLICING FACTOR 1 ", chr5:20849881-20852295 REVERSE LENGTH=804
Dm_00003061-RA,2,AT1G20823.1," Symbols: AtATL80, ATL80 ", Arabidopsis T####xicos en Levadura 80 , chr1:7238880-7239473 FORWARD LENGTH=197
Dm_00009506-RA,2,AT1G79650.1," Symbols: RAD23B, AtAO1 "," Arabidopsis thaliana aldehyde oxidase 1, RADIATION SENSITIVE23B ", chr1:29972406-29975132 REVERSE LENGTH=371
Dm_00003284-RA,2,AT3G48190.3," Symbols: ATATM, PIG1, ATM "," ARABIDOPSIS THALIANA ATAXIA-TELANGIECTASIA MUTATED, ataxia-telangiectasia mutated, pcd in male gametogenesis 1 ", chr3:17801421-17828361 FORWARD LENGTH=2989
Dm_00003286-RA,2,AT3G48190.3," Symbols: ATATM, PIG1, ATM "," ARABIDOPSIS THALIANA ATAXIA-TELANGIECTASIA MUTATED, ataxia-telangiectasia mutated, pcd in male gametogenesis 1 ", chr3:17801421-17828361 FORWARD LENGTH=2989
Dm_00003288-RA,2,AT3G48190.3," Symbols: ATATM, PIG1, ATM "," ARABIDOPSIS THALIANA ATAXIA-TELANGIECTASIA MUTATED, ataxia-telangiectasia mutated, pcd in male gametogenesis 1 ", chr3:17801421-17828361 FORWARD LENGTH=2989
Dm_00019855-RA,2,AT1G44446.1," Symbols: CH1, ATCAO, CAO "," ARABIDOPSIS THALIANA CHLOROPHYLL A OXYGENASE, CHLORINA 1, CHLOROPHYLL A OXYGENASE ", chr1:16848664-16851152 REVERSE LENGTH=536
Dm_00002422-RA,2,AT4G37270.1," Symbols: ATHMA1, HMA1 "," ARABIDOPSIS THALIANA HEAVY METAL ATPASE 1, heavy metal atpase 1 ", chr4:17541987-17546352 REVERSE LENGTH=819
