Orthogroup	P_amilis.proteins	D_muscipula.proteins
OG0000022	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1	Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA
OG0000023	FUN_005579-T1	Dm_00006887-RA
OG0000023	FUN_024429-T1, FUN_024427-T1, FUN_024428-T1, FUN_024433-T1, FUN_024431-T1, FUN_024415-T1	Dm_00007864-RA, Dm_00007863-RA
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	FUN_050780-T1, FUN_050779-T1	Dm_00003443-RA, Dm_00007239-RA
OG0000026	FUN_045879-T1, FUN_046852-T1, FUN_045873-T1	Dm_00006966-RA, Dm_00006968-RA, Dm_00006808-RA
OG0000026	FUN_046670-T1, FUN_045872-T1, FUN_045870-T1	Dm_00006967-RA
OG0000027	FUN_047527-T1	Dm_00014996-RA, Dm_00013634-RA, Dm_00019371-RA, Dm_00002324-RA, Dm_00004939-RA, Dm_00004749-RA, Dm_00000738-RA
OG0000027	FUN_053156-T1	Dm_00000274-RA
OG0000028	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA
OG0000028	FUN_050971-T1	Dm_00006320-RA
OG0000028	FUN_050955-T1, FUN_011516-T1	Dm_00006321-RA
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1	Dm_00000141-RA
OG0000031	FUN_009433-T1	Dm_00019538-RA, Dm_00005346-RA
OG0000032	FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	Dm_00020696-RA
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	Dm_00017791-RA
OG0000034	FUN_012547-T1	Dm_00013221-RA
OG0000034	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	Dm_00008931-RA, Dm_00011829-RA
OG0000037	FUN_027096-T1, FUN_027094-T1	Dm_00011621-RA
OG0000037	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1	Dm_00015941-RA, Dm_00016029-RA
OG0000037	FUN_001430-T1	Dm_00020788-RA
OG0000038	FUN_030253-T1, FUN_004360-T1, FUN_050362-T1	Dm_00004693-RA
OG0000038	FUN_037585-T1, FUN_025377-T1	Dm_00018034-RA
OG0000038	FUN_025082-T1	Dm_00001698-RA
OG0000038	FUN_050347-T1	Dm_00001431-RA, Dm_00001432-RA, Dm_00001695-RA
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	Dm_00008090-RA, Dm_00014922-RA
OG0000041	FUN_051962-T1, FUN_045720-T1	Dm_00005610-RA, Dm_00016090-RA
OG0000041	FUN_002730-T1	Dm_00017104-RA, Dm_00020901-RA
OG0000041	FUN_010340-T1	Dm_00009275-RA, Dm_00004200-RA
OG0000041	FUN_027799-T1	Dm_00010291-RA
OG0000041	FUN_003721-T1	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA
OG0000041	FUN_037732-T1, FUN_048382-T1	Dm_00009990-RA
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	FUN_001129-T1	Dm_00020841-RA
OG0000044	FUN_001565-T1	Dm_00001157-RA
OG0000044	FUN_050016-T1	Dm_00020338-RA
OG0000044	FUN_039424-T1	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	FUN_050905-T1	Dm_00016520-RA
OG0000045	FUN_028651-T1	Dm_00019438-RA, Dm_00019641-RA
OG0000045	FUN_008915-T1, FUN_023500-T1, FUN_053058-T1, FUN_043753-T1, FUN_023687-T1	Dm_00016661-RA, Dm_00010691-RA, Dm_00014811-RA, Dm_00019124-RA, Dm_00018192-RA, Dm_00018028-RA, Dm_00019303-RA, Dm_00011471-RA, Dm_00007268-RA, Dm_00016925-RA, Dm_00018031-RA, Dm_00005668-RA, Dm_00011085-RA, Dm_00010390-RA, Dm_00017821-RA, Dm_00010392-RA, Dm_00021107-RA, Dm_00020930-RA, Dm_00018381-RA, Dm_00019838-RA, Dm_00016114-RA, Dm_00020627-RA, Dm_00016899-RA, Dm_00018290-RA, Dm_00007212-RA, Dm_00014648-RA, Dm_00015474-RA, Dm_00018246-RA, Dm_00020736-RA, Dm_00017038-RA, Dm_00015554-RA, Dm_00012391-RA, Dm_00010733-RA, Dm_00006544-RA, Dm_00021071-RA, Dm_00019653-RA, Dm_00016657-RA, Dm_00017273-RA, Dm_00011682-RA, Dm_00017977-RA, Dm_00017380-RA, Dm_00018364-RA, Dm_00009096-RA, Dm_00020542-RA, Dm_00005255-RA, Dm_00014013-RA, Dm_00015817-RA, Dm_00018288-RA, Dm_00005813-RA, Dm_00005889-RA, Dm_00017926-RA, Dm_00013050-RA, Dm_00017429-RA, Dm_00019439-RA, Dm_00019495-RA, Dm_00019561-RA, Dm_00019642-RA, Dm_00021053-RA, Dm_00019753-RA, Dm_00007028-RA, Dm_00011084-RA, Dm_00018527-RA, Dm_00019911-RA, Dm_00020316-RA, Dm_00019042-RA, Dm_00020834-RA, Dm_00019819-RA, Dm_00015749-RA, Dm_00015454-RA, Dm_00017126-RA, Dm_00020504-RA, Dm_00021092-RA, Dm_00020223-RA, Dm_00016318-RA, Dm_00016125-RA, Dm_00018294-RA, Dm_00011261-RA, Dm_00012227-RA, Dm_00014889-RA, Dm_00008878-RA, Dm_00019576-RA, Dm_00016410-RA, Dm_00019927-RA, Dm_00018689-RA, Dm_00020112-RA, Dm_00018289-RA, Dm_00021131-RA, Dm_00010191-RA, Dm_00019506-RA, Dm_00020629-RA, Dm_00010096-RA, Dm_00020932-RA, Dm_00012052-RA, Dm_00005969-RA, Dm_00013726-RA, Dm_00012264-RA, Dm_00011978-RA, Dm_00019316-RA, Dm_00014689-RA, Dm_00016933-RA, Dm_00017382-RA, Dm_00002868-RA, Dm_00017428-RA, Dm_00018949-RA, Dm_00015496-RA, Dm_00015129-RA, Dm_00013351-RA, Dm_00012031-RA, Dm_00011977-RA, Dm_00014643-RA, Dm_00011172-RA, Dm_00020302-RA, Dm_00019489-RA, Dm_00016639-RA, Dm_00012331-RA, Dm_00020625-RA, Dm_00014200-RA, Dm_00017250-RA, Dm_00020660-RA, Dm_00013502-RA, Dm_00013999-RA, Dm_00019058-RA, Dm_00016499-RA, Dm_00012009-RA, Dm_00018350-RA, Dm_00019273-RA, Dm_00018145-RA, Dm_00011265-RA, Dm_00020583-RA, Dm_00016928-RA, Dm_00016590-RA, Dm_00019437-RA, Dm_00017119-RA, Dm_00020593-RA, Dm_00020404-RA, Dm_00016634-RA, Dm_00011317-RA, Dm_00014613-RA, Dm_00006890-RA, Dm_00020787-RA, Dm_00009319-RA, Dm_00015856-RA, Dm_00019627-RA, Dm_00020628-RA, Dm_00012639-RA, Dm_00010786-RA, Dm_00020380-RA, Dm_00018365-RA, Dm_00016660-RA, Dm_00011947-RA, Dm_00011206-RA
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	Dm_00007088-RA, Dm_00001752-RA
OG0000046	FUN_001154-T1, FUN_030219-T1	Dm_00020179-RA, Dm_00012741-RA
OG0000046	FUN_015529-T1, FUN_026427-T1	Dm_00006378-RA, Dm_00013509-RA
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	Dm_00003891-RA, Dm_00011430-RA
OG0000046	FUN_016469-T1, FUN_029956-T1	Dm_00014024-RA, Dm_00012683-RA
OG0000046	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1	Dm_00007080-RA
OG0000047	FUN_016927-T1, FUN_029662-T1	Dm_00007969-RA, Dm_00020823-RA
OG0000047	FUN_027211-T1	Dm_00015896-RA
OG0000047	FUN_052024-T1	Dm_00005670-RA, Dm_00012951-RA
OG0000047	FUN_044316-T1	Dm_00004056-RA
OG0000047	FUN_008876-T2	Dm_00008069-RA
OG0000047	FUN_038585-T1	Dm_00018046-RA
OG0000047	FUN_011417-T1	Dm_00010754-RA, Dm_00004084-RA
OG0000048	FUN_011943-T1, FUN_021004-T1	Dm_00001249-RA
OG0000048	FUN_020326-T1	Dm_00000024-RA
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1	Dm_00010232-RA, Dm_00016824-RA, Dm_00012378-RA, Dm_00019415-RA, Dm_00019277-RA, Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA
OG0000050	FUN_028422-T1, FUN_010388-T1, FUN_043838-T1	Dm_00018494-RA
OG0000050	FUN_004521-T1, FUN_046746-T1, FUN_008570-T1	Dm_00018187-RA, Dm_00015317-RA
OG0000050	FUN_023523-T1	Dm_00021049-RA, Dm_00006647-RA
OG0000050	FUN_001245-T1	Dm_00012380-RA, Dm_00020915-RA
OG0000050	FUN_053188-T1, FUN_053188-T2	Dm_00020295-RA
OG0000050	FUN_053296-T1, FUN_052997-T1	Dm_00010704-RA, Dm_00017829-RA
OG0000050	FUN_053004-T1	Dm_00020030-RA, Dm_00000650-RA
OG0000051	FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1	Dm_00012248-RA, Dm_00016219-RA, Dm_00000875-RA, Dm_00005213-RA, Dm_00000437-RA, Dm_00008487-RA, Dm_00002944-RA
OG0000051	FUN_053258-T1, FUN_000050-T1, FUN_039290-T1, FUN_009538-T1	Dm_00017795-RA, Dm_00013534-RA, Dm_00015895-RA, Dm_00002885-RA, Dm_00005212-RA, Dm_00014974-RA, Dm_00016136-RA, Dm_00020644-RA, Dm_00020341-RA, Dm_00021073-RA, Dm_00018132-RA, Dm_00017796-RA, Dm_00019995-RA
OG0000051	FUN_029436-T1	Dm_00016571-RA, Dm_00014975-RA
OG0000052	FUN_023455-T1, FUN_053229-T1	Dm_00014948-RA, Dm_00010000-RA, Dm_00012651-RA, Dm_00017265-RA, Dm_00005710-RA, Dm_00013783-RA
OG0000055	FUN_025259-T1, FUN_025259-T2	Dm_00019791-RA
OG0000055	FUN_020259-T1	Dm_00013087-RA, Dm_00006640-RA
OG0000055	FUN_043526-T1, FUN_024966-T1	Dm_00000927-RA
OG0000055	FUN_045967-T1, FUN_049882-T1	Dm_00000848-RA
OG0000055	FUN_014867-T1	Dm_00006448-RA, Dm_00014246-RA
OG0000055	FUN_007699-T1	Dm_00011186-RA
OG0000058	FUN_020519-T1, FUN_000927-T1	Dm_00001789-RA, Dm_00000773-RA
OG0000060	FUN_019328-T1	Dm_00011321-RA
OG0000060	FUN_053291-T1	Dm_00011116-RA
OG0000060	FUN_053219-T1	Dm_00008660-RA
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	Dm_00017284-RA, Dm_00001327-RA
OG0000063	FUN_049359-T1	Dm_00000040-RA
OG0000063	FUN_029304-T1	Dm_00016579-RA, Dm_00009436-RA
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	Dm_00018921-RA
OG0000067	FUN_027482-T1	Dm_00004643-RA, Dm_00004223-RA
OG0000070	FUN_010235-T2, FUN_038594-T1	Dm_00017292-RA
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	Dm_00008155-RA
OG0000071	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1	Dm_00001685-RA
OG0000071	FUN_006200-T1	Dm_00016304-RA
OG0000071	FUN_017402-T1	Dm_00012616-RA
OG0000071	FUN_005720-T1	Dm_00019310-RA
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	Dm_00008368-RA, Dm_00000932-RA
OG0000072	FUN_036484-T1, FUN_011884-T1, FUN_036491-T1, FUN_036489-T1, FUN_029141-T1, FUN_011881-T1	Dm_00019149-RA
OG0000075	FUN_053122-T1, FUN_053198-T1	Dm_00016096-RA, Dm_00020819-RA, Dm_00020574-RA, Dm_00019027-RA, Dm_00009838-RA, Dm_00018522-RA, Dm_00015436-RA, Dm_00004793-RA, Dm_00020283-RA, Dm_00004994-RA, Dm_00004792-RA, Dm_00007807-RA, Dm_00020772-RA
OG0000075	FUN_005764-T1	Dm_00001719-RA
OG0000075	FUN_042496-T1, FUN_008706-T1, FUN_027892-T1, FUN_001397-T1, FUN_045957-T1, FUN_021737-T1, FUN_003060-T1, FUN_003439-T1, FUN_022639-T1, FUN_053322-T1, FUN_044507-T1	Dm_00018466-RA
OG0000077	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	Dm_00004852-RA, Dm_00021132-RA
OG0000077	FUN_000256-T1	Dm_00009375-RA
OG0000078	FUN_041364-T1, FUN_011520-T1	Dm_00001318-RA
OG0000085	FUN_041708-T1, FUN_028183-T1	Dm_00002079-RA, Dm_00008755-RA
OG0000085	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1	Dm_00018382-RA, Dm_00014711-RA
OG0000085	FUN_007810-T1	Dm_00000001-RA
OG0000085	FUN_005979-T1, FUN_044617-T1	Dm_00021097-RA
OG0000085	FUN_003118-T1	Dm_00020301-RA
OG0000085	FUN_041849-T1	Dm_00011328-RA
OG0000086	FUN_008349-T1, FUN_038722-T1, FUN_046396-T1, FUN_013719-T1, FUN_031517-T1, FUN_006350-T1, FUN_009845-T1, FUN_020553-T1, FUN_027733-T1, FUN_030320-T1, FUN_006375-T1, FUN_044264-T1, FUN_000010-T1, FUN_029413-T1, FUN_049656-T1, FUN_025350-T1, FUN_010757-T1, FUN_050847-T1, FUN_003075-T1, FUN_010243-T1, FUN_045452-T1, FUN_017228-T1, FUN_048532-T1, FUN_008138-T1, FUN_050350-T1, FUN_009674-T1, FUN_040774-T1, FUN_048952-T1, FUN_026036-T1, FUN_027476-T1, FUN_052542-T1, FUN_001152-T1, FUN_018530-T1, FUN_012347-T1, FUN_016933-T1, FUN_020048-T1, FUN_037128-T1, FUN_051380-T1, FUN_044562-T1, FUN_006559-T1, FUN_045650-T1, FUN_007757-T1, FUN_001297-T1, FUN_031274-T1, FUN_052567-T1, FUN_021869-T1, FUN_053155-T1, FUN_009350-T1, FUN_038601-T1, FUN_027835-T1, FUN_030993-T1, FUN_000411-T1, FUN_017348-T1, FUN_019993-T1, FUN_039821-T1, FUN_016719-T1, FUN_022341-T1, FUN_038873-T1, FUN_052727-T1, FUN_030382-T1, FUN_029623-T1, FUN_025124-T1, FUN_009134-T1, FUN_052998-T1, FUN_015963-T1, FUN_031560-T1, FUN_049191-T1, FUN_002617-T1, FUN_045093-T1, FUN_050765-T1, FUN_007931-T1, FUN_010404-T1, FUN_018624-T1, FUN_040801-T1, FUN_009164-T1, FUN_019493-T1, FUN_021401-T1, FUN_003173-T1, FUN_025972-T1, FUN_014644-T1, FUN_001036-T1, FUN_040559-T1, FUN_007684-T1, FUN_015478-T1, FUN_013702-T1, FUN_044117-T1, FUN_042660-T1, FUN_032509-T1, FUN_021882-T1, FUN_009965-T1, FUN_049887-T1, FUN_031126-T1, FUN_048242-T1, FUN_053070-T1, FUN_051164-T1, FUN_006620-T1, FUN_029012-T1, FUN_038561-T1, FUN_033690-T1, FUN_032183-T1, FUN_052124-T1, FUN_029990-T1, FUN_025122-T1, FUN_004188-T1, FUN_053204-T1, FUN_045884-T1, FUN_006102-T1, FUN_011227-T1, FUN_002936-T1, FUN_051122-T1, FUN_007754-T1, FUN_018015-T1, FUN_005945-T1, FUN_000594-T1, FUN_053143-T1, FUN_038001-T1, FUN_038131-T1, FUN_040308-T1, FUN_027006-T1, FUN_019325-T1, FUN_016852-T1, FUN_040895-T1, FUN_048069-T1, FUN_018416-T1, FUN_000343-T1	Dm_00010883-RA
OG0000087	FUN_004476-T1, FUN_032711-T1	Dm_00009408-RA
OG0000087	FUN_038676-T1, FUN_038676-T2	Dm_00012409-RA
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	Dm_00020143-RA, Dm_00002856-RA
OG0000088	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1	Dm_00006025-RA
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4	Dm_00000623-RA
OG0000089	FUN_026304-T1	Dm_00001050-RA
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	Dm_00004995-RA
OG0000091	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1	Dm_00002549-RA, Dm_00011577-RA
OG0000091	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1	Dm_00002331-RA
OG0000092	FUN_050902-T1	Dm_00010933-RA, Dm_00009686-RA, Dm_00002757-RA, Dm_00016581-RA
OG0000092	FUN_017541-T1	Dm_00003218-RA
OG0000092	FUN_005023-T1, FUN_018581-T1, FUN_044125-T1	Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA
OG0000092	FUN_017545-T1, FUN_017554-T1, FUN_017547-T1	Dm_00016580-RA, Dm_00003219-RA, Dm_00009722-RA, Dm_00019429-RA, Dm_00019543-RA
OG0000093	FUN_007585-T1, FUN_008357-T1	Dm_00008253-RA
OG0000093	FUN_023486-T1	Dm_00011309-RA
OG0000093	FUN_015864-T1, FUN_007588-T1	Dm_00014861-RA, Dm_00016946-RA, Dm_00008254-RA, Dm_00012465-RA
OG0000095	FUN_053310-T2, FUN_053310-T1	Dm_00013674-RA
OG0000095	FUN_053289-T2, FUN_053289-T1	Dm_00001105-RA
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1	Dm_00002220-RA
OG0000097	FUN_010778-T1	Dm_00005636-RA, Dm_00005630-RA
OG0000097	FUN_023814-T1	Dm_00006030-RA
OG0000098	FUN_024139-T1	Dm_00003034-RA
OG0000098	FUN_036291-T1	Dm_00004482-RA, Dm_00015844-RA
OG0000098	FUN_048014-T1	Dm_00003528-RA
OG0000098	FUN_040838-T1	Dm_00013312-RA, Dm_00006029-RA
OG0000102	FUN_043426-T1	Dm_00018156-RA, Dm_00001449-RA
OG0000102	FUN_036782-T1, FUN_036783-T1	Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA
OG0000102	FUN_036786-T1	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
