Orthogroup	L_sativa.proteins	S_lycopersicum.proteins
OG0000018	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1
OG0000021	Lsat_1_v5_gn_3_92740.2, Lsat_1_v5_gn_3_92680.1, Lsat_1_v5_gn_3_92680.2, Lsat_1_v5_gn_8_141960.3, Lsat_1_v5_gn_3_92740.1, Lsat_1_v5_gn_3_91981.1, Lsat_1_v5_gn_8_141960.1, Lsat_1_v5_gn_8_141960.4, Lsat_1_v5_gn_3_92640.1	Solyc09g098010.3.1, Solyc08g014190.3.1, Solyc09g098770.2.1, Solyc02g090290.3.1, Solyc02g090267.1.1, Solyc02g090300.3.1, Solyc09g098610.2.1, Solyc02g064806.1.1, Solyc09g061795.1.1, Solyc09g061793.1.1, Solyc02g065230.3.1, Solyc02g065190.3.1, Solyc02g065210.3.1
OG0000021	Lsat_1_v5_gn_8_141940.1	Solyc02g090265.1.1
OG0000022	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1	Solyc04g051880.2.1
OG0000022	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3	Solyc04g011700.2.1
OG0000022	Lsat_1_v5_gn_1_4761.1, Lsat_1_v5_gn_9_43001.1, Lsat_1_v5_gn_9_42961.1, Lsat_1_v5_gn_9_43021.1, Lsat_1_v5_gn_9_43161.1	Solyc04g072510.3.1, Solyc04g072520.2.1, Solyc12g010650.1.1, Solyc04g072530.2.1, Solyc04g072540.3.1, Solyc04g072500.1.1, Solyc04g072550.2.1, Solyc11g022600.2.1
OG0000023	Lsat_1_v5_gn_5_78901.2, Lsat_1_v5_gn_5_109840.2, Lsat_1_v5_gn_5_62800.4, Lsat_1_v5_gn_5_62800.3, Lsat_1_v5_gn_0_39321.3, Lsat_1_v5_gn_0_39321.1, Lsat_1_v5_gn_0_39321.2	Solyc12g088260.1.1, Solyc12g019560.1.1
OG0000023	Lsat_1_v5_gn_5_78901.1, Lsat_1_v5_gn_5_109940.1, Lsat_1_v5_gn_5_91281.3, Lsat_1_v5_gn_5_78901.3, Lsat_1_v5_gn_4_54361.2, Lsat_1_v5_gn_4_54361.1, Lsat_1_v5_gn_5_78940.1, Lsat_1_v5_gn_5_91281.1, Lsat_1_v5_gn_5_89861.2, Lsat_1_v5_gn_5_89861.1, Lsat_1_v5_gn_2_124260.3, Lsat_1_v5_gn_2_124260.1, Lsat_1_v5_gn_8_153541.1, Lsat_1_v5_gn_5_62301.2, Lsat_1_v5_gn_5_62301.1, Lsat_1_v5_gn_5_62301.3, Lsat_1_v5_gn_5_62840.1, Lsat_1_v5_gn_5_62840.3, Lsat_1_v5_gn_5_62840.2, Lsat_1_v5_gn_5_62601.1, Lsat_1_v5_gn_5_62601.3, Lsat_1_v5_gn_5_62800.2, Lsat_1_v5_gn_5_109840.3, Lsat_1_v5_gn_5_109840.1, Lsat_1_v5_gn_4_32061.1	Solyc10g049270.2.1, Solyc10g049210.2.1
OG0000024	Lsat_1_v5_gn_3_36180.4, Lsat_1_v5_gn_3_36440.3	Solyc07g052070.2.1
OG0000024	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1	Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1
OG0000024	Lsat_1_v5_gn_5_126200.1	Solyc07g061980.2.1
OG0000024	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1
OG0000025	Lsat_1_v5_gn_3_45161.1	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1
OG0000025	Lsat_1_v5_gn_8_127440.1	Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1
OG0000025	Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1	Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1
OG0000026	Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2	Solyc06g060010.3.1
OG0000027	Lsat_1_v5_gn_5_85480.2	Solyc00g257110.3.1, Solyc03g113405.1.1
OG0000027	Lsat_1_v5_gn_5_19060.1	Solyc06g071100.3.1
OG0000027	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2	Solyc08g078200.2.1
OG0000027	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1	Solyc07g017780.3.1
OG0000027	Lsat_1_v5_gn_5_90761.1	Solyc12g010360.2.1
OG0000027	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1	Solyc03g117150.3.1
OG0000028	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3	Solyc01g098370.1.1, Solyc12g013730.2.1, Solyc07g005150.2.1, Solyc01g014940.1.1, Solyc01g014930.1.1, Solyc01g012690.1.1, Solyc01g014140.3.1, Solyc12g100020.1.1, Solyc12g100030.2.1, Solyc12g100010.1.1, Solyc12g040750.1.1, Solyc06g008300.3.1, Solyc06g008265.1.1, Solyc08g067805.1.1, Solyc12g099950.2.1, Solyc12g036793.1.1, Solyc12g036800.1.1, Solyc12g099870.2.1, Solyc12g099980.2.1, Solyc05g012430.1.1, Solyc12g049200.1.1, Solyc12g049190.2.1, Solyc10g051230.1.1, Solyc10g051225.1.1, Solyc10g051253.1.1, Solyc01g013880.1.1, Solyc01g014300.1.1, Solyc01g014310.1.1, Solyc01g013960.2.1, Solyc01g005715.1.1, Solyc01g005720.3.1, Solyc01g008390.2.1, Solyc01g006550.3.1, Solyc01g005730.3.1, Solyc01g005870.2.1, Solyc01g005760.3.1, Solyc01g008410.2.1, Solyc01g005755.1.1, Solyc01g006545.1.1, Solyc01g009680.3.1, Solyc03g082780.2.1, Solyc01g005775.1.1, Solyc01g005710.2.1, Solyc01g016370.2.1, Solyc10g007210.1.1, Solyc01g009700.2.1, Solyc01g005865.1.1, Solyc09g064670.2.1, Solyc12g040740.2.1, Solyc01g014147.1.1, Solyc01g009930.2.1, Solyc01g014143.1.1, Solyc01g014150.1.1
OG0000029	Lsat_1_v5_gn_8_32960.4	Solyc09g015210.1.1
OG0000029	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1
OG0000029	Lsat_1_v5_gn_7_30861.4	Solyc09g015200.1.1
OG0000029	Lsat_1_v5_gn_0_37361.2, Lsat_1_v5_gn_0_37361.1, Lsat_1_v5_gn_5_52120.1, Lsat_1_v5_gn_9_35121.4, Lsat_1_v5_gn_9_35021.5	Solyc05g017780.1.1
OG0000029	Lsat_1_v5_gn_5_150741.1	Solyc11g072140.2.1
OG0000029	Lsat_1_v5_gn_8_101081.1, Lsat_1_v5_gn_8_101081.3, Lsat_1_v5_gn_8_101061.3, Lsat_1_v5_gn_8_101061.1, Lsat_1_v5_gn_8_101161.1, Lsat_1_v5_gn_8_101161.3, Lsat_1_v5_gn_8_101181.1, Lsat_1_v5_gn_8_101181.2	Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1
OG0000030	Lsat_1_v5_gn_2_74680.1, Lsat_1_v5_gn_2_74580.1, Lsat_1_v5_gn_4_143581.1, Lsat_1_v5_gn_3_71001.1, Lsat_1_v5_gn_3_70040.1, Lsat_1_v5_gn_5_162820.1, Lsat_1_v5_gn_3_70961.1, Lsat_1_v5_gn_3_70901.1	Solyc02g083050.1.1, Solyc02g083040.1.1, Solyc02g083070.2.1, Solyc02g083100.2.1, Solyc02g083090.1.1, Solyc03g032230.1.1, Solyc02g083010.1.1, Solyc02g083020.1.1, Solyc02g083030.1.1, Solyc02g083000.1.1
OG0000031	Lsat_1_v5_gn_5_53841.5, Lsat_1_v5_gn_7_55041.2, Lsat_1_v5_gn_7_55041.1, Lsat_1_v5_gn_7_10781.1, Lsat_1_v5_gn_7_10781.2, Lsat_1_v5_gn_7_10741.3, Lsat_1_v5_gn_7_10741.2, Lsat_1_v5_gn_7_10741.1, Lsat_1_v5_gn_7_10721.3, Lsat_1_v5_gn_7_10721.1, Lsat_1_v5_gn_3_139781.3, Lsat_1_v5_gn_3_139781.1	Solyc10g061840.2.1, Solyc01g080970.3.1, Solyc01g080990.3.1
OG0000031	Lsat_1_v5_gn_3_77400.2, Lsat_1_v5_gn_3_77400.1, Lsat_1_v5_gn_3_77440.2, Lsat_1_v5_gn_3_77440.1, Lsat_1_v5_gn_4_149540.1	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1
OG0000031	Lsat_1_v5_gn_3_75880.1	Solyc02g084950.3.1
OG0000031	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3	Solyc04g080660.3.1
OG0000032	Lsat_1_v5_gn_9_107401.1	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000032	Lsat_1_v5_gn_9_107321.1, Lsat_1_v5_gn_9_106481.1, Lsat_1_v5_gn_7_54120.1, Lsat_1_v5_gn_7_54100.1, Lsat_1_v5_gn_7_54140.3, Lsat_1_v5_gn_7_54140.1	Solyc10g078850.1.1, Solyc10g078840.1.1
OG0000034	Lsat_1_v5_gn_4_57601.3, Lsat_1_v5_gn_4_116381.2, Lsat_1_v5_gn_4_116381.1, Lsat_1_v5_gn_4_116381.4, Lsat_1_v5_gn_4_57641.2, Lsat_1_v5_gn_4_57641.1, Lsat_1_v5_gn_7_17880.1, Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1, Lsat_1_v5_gn_7_18081.1, Lsat_1_v5_gn_7_18141.1	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	Lsat_1_v5_gn_1_19741.2, Lsat_1_v5_gn_1_19741.1, Lsat_1_v5_gn_1_19681.1, Lsat_1_v5_gn_1_19681.2, Lsat_1_v5_gn_2_15421.1	Solyc12g088970.1.1
OG0000037	Lsat_1_v5_gn_4_120360.1, Lsat_1_v5_gn_4_121121.1, Lsat_1_v5_gn_4_121121.3, Lsat_1_v5_gn_4_120300.1, Lsat_1_v5_gn_4_43541.1, Lsat_1_v5_gn_4_43541.3, Lsat_1_v5_gn_4_120521.5, Lsat_1_v5_gn_4_124941.1, Lsat_1_v5_gn_4_120041.1, Lsat_1_v5_gn_4_108921.1, Lsat_1_v5_gn_4_122561.1, Lsat_1_v5_gn_4_122561.3, Lsat_1_v5_gn_4_120701.1, Lsat_1_v5_gn_4_120681.1, Lsat_1_v5_gn_4_120681.3, Lsat_1_v5_gn_4_122541.2, Lsat_1_v5_gn_4_122541.1, Lsat_1_v5_gn_4_120941.1, Lsat_1_v5_gn_4_120721.1, Lsat_1_v5_gn_2_122701.1, Lsat_1_v5_gn_2_122701.2, Lsat_1_v5_gn_4_121901.1, Lsat_1_v5_gn_4_121381.1, Lsat_1_v5_gn_7_104561.1, Lsat_1_v5_gn_7_104561.3, Lsat_1_v5_gn_4_120561.1, Lsat_1_v5_gn_4_120601.1, Lsat_1_v5_gn_4_121261.1, Lsat_1_v5_gn_4_123780.4, Lsat_1_v5_gn_4_123780.1, Lsat_1_v5_gn_4_123820.1	Solyc04g079680.3.1, Solyc04g079660.2.1, Solyc04g079640.3.1
OG0000037	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1	Solyc09g059240.3.1
OG0000038	Lsat_1_v5_gn_1_70980.4	Solyc06g076160.3.1
OG0000038	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1	Solyc03g111880.3.1
OG0000038	Lsat_1_v5_gn_1_70980.1, Lsat_1_v5_gn_1_70980.3, Lsat_1_v5_gn_1_70980.2, Lsat_1_v5_gn_1_71160.3, Lsat_1_v5_gn_1_71160.1, Lsat_1_v5_gn_1_71080.1, Lsat_1_v5_gn_1_70900.3, Lsat_1_v5_gn_1_70900.1, Lsat_1_v5_gn_1_28480.4, Lsat_1_v5_gn_1_28480.1, Lsat_1_v5_gn_1_11940.1, Lsat_1_v5_gn_1_11940.3, Lsat_1_v5_gn_1_12561.2, Lsat_1_v5_gn_1_12561.1, Lsat_1_v5_gn_4_45060.1, Lsat_1_v5_gn_1_27281.1, Lsat_1_v5_gn_1_27341.2, Lsat_1_v5_gn_1_27321.1, Lsat_1_v5_gn_1_27341.1, Lsat_1_v5_gn_5_14040.1, Lsat_1_v5_gn_5_14040.2, Lsat_1_v5_gn_5_14000.1, Lsat_1_v5_gn_5_12760.1, Lsat_1_v5_gn_1_28501.3, Lsat_1_v5_gn_1_28501.1	Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1
OG0000040	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000040	Lsat_1_v5_gn_3_61580.1, Lsat_1_v5_gn_3_61580.5, Lsat_1_v5_gn_3_61580.3, Lsat_1_v5_gn_3_61600.1, Lsat_1_v5_gn_3_61560.2, Lsat_1_v5_gn_3_61560.1, Lsat_1_v5_gn_3_62461.1, Lsat_1_v5_gn_3_62461.3, Lsat_1_v5_gn_3_62461.2, Lsat_1_v5_gn_3_62321.1, Lsat_1_v5_gn_3_62321.2, Lsat_1_v5_gn_3_62301.2, Lsat_1_v5_gn_3_62301.1	Solyc02g086210.3.1, Solyc05g009090.2.1, Solyc05g009040.3.1, Solyc05g009050.2.1, Solyc04g007380.2.1
OG0000041	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	Lsat_1_v5_gn_8_43460.1	Solyc05g008235.1.1, Solyc05g008250.2.1
OG0000041	Lsat_1_v5_gn_9_8501.3	Solyc03g005570.3.1, Solyc06g053610.3.1
OG0000041	Lsat_1_v5_gn_6_114481.1	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000041	Lsat_1_v5_gn_7_35020.1	Solyc12g049300.2.1
OG0000042	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3	Solyc03g096650.2.1
OG0000042	Lsat_1_v5_gn_5_108221.1, Lsat_1_v5_gn_9_63660.4, Lsat_1_v5_gn_9_64401.1, Lsat_1_v5_gn_9_64301.1, Lsat_1_v5_gn_2_85880.1	Solyc03g096640.3.1, Solyc06g083470.3.1, Solyc06g083480.3.1, Solyc06g083490.3.1, Solyc03g096660.2.1
OG0000042	Lsat_1_v5_gn_9_24040.1	Solyc06g005720.3.1
OG0000042	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1	Solyc10g086620.2.1
OG0000043	Lsat_1_v5_gn_6_112940.1	Solyc12g088510.1.1, Solyc12g088460.2.1
OG0000043	Lsat_1_v5_gn_1_25520.1, Lsat_1_v5_gn_1_25520.3, Lsat_1_v5_gn_1_22720.1	Solyc04g078270.3.1, Solyc04g078290.3.1
OG0000044	Lsat_1_v5_gn_2_76741.1	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	Lsat_1_v5_gn_1_18461.1, Lsat_1_v5_gn_4_120460.1	Solyc04g080130.3.1
OG0000044	Lsat_1_v5_gn_9_124220.1	Solyc01g099340.3.1
OG0000044	Lsat_1_v5_gn_5_35960.3, Lsat_1_v5_gn_5_35960.1	Solyc04g008500.3.1
OG0000044	Lsat_1_v5_gn_2_98240.1, Lsat_1_v5_gn_6_46760.1	Solyc11g069240.2.1, Solyc06g075250.3.1
OG0000044	Lsat_1_v5_gn_2_109221.1	Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	Lsat_1_v5_gn_6_14101.1	Solyc08g063040.3.1, Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	Lsat_1_v5_gn_4_66301.1, Lsat_1_v5_gn_4_66301.3	Solyc07g053570.3.1
OG0000044	Lsat_1_v5_gn_5_185501.1	Solyc09g065670.3.1
OG0000046	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	Lsat_1_v5_gn_2_76621.1	Solyc02g062790.3.1, Solyc03g034060.3.1
OG0000046	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1	Solyc12g007110.2.1
OG0000046	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1	Solyc05g010140.3.1, Solyc01g010030.3.1
