Orthogroup	L_sativa.proteins	D_muscipula.proteins
OG0000040	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1	Dm_00008090-RA, Dm_00014922-RA
OG0000041	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1	Dm_00005610-RA, Dm_00016090-RA
OG0000041	Lsat_1_v5_gn_8_43460.1	Dm_00004417-RA
OG0000041	Lsat_1_v5_gn_6_114481.1	Dm_00009275-RA, Dm_00004200-RA
OG0000041	Lsat_1_v5_gn_7_35020.1	Dm_00010326-RA, Dm_00010291-RA, Dm_00012002-RA, Dm_00018417-RA
OG0000041	Lsat_1_v5_gn_6_53661.1	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA
OG0000042	Lsat_1_v5_gn_5_108221.1, Lsat_1_v5_gn_9_63660.4, Lsat_1_v5_gn_9_64401.1, Lsat_1_v5_gn_9_64301.1, Lsat_1_v5_gn_2_85880.1	Dm_00012006-RA
OG0000042	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	Lsat_1_v5_gn_2_76741.1	Dm_00020841-RA
OG0000044	Lsat_1_v5_gn_2_98240.1, Lsat_1_v5_gn_6_46760.1, Lsat_1_v5_gn_2_109221.1	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	Lsat_1_v5_gn_6_14101.1	Dm_00009532-RA, Dm_00014819-RA
OG0000044	Lsat_1_v5_gn_5_185501.1	Dm_00016520-RA
OG0000046	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1	Dm_00007088-RA, Dm_00001752-RA
OG0000046	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1	Dm_00006378-RA, Dm_00013509-RA
OG0000046	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1	Dm_00003891-RA, Dm_00011430-RA
OG0000046	Lsat_1_v5_gn_2_86540.1	Dm_00014024-RA, Dm_00012683-RA
OG0000047	Lsat_1_v5_gn_6_109820.1	Dm_00007969-RA, Dm_00020823-RA
OG0000047	Lsat_1_v5_gn_4_108241.3, Lsat_1_v5_gn_9_75300.1, Lsat_1_v5_gn_9_75300.3	Dm_00005670-RA
OG0000047	Lsat_1_v5_gn_7_84161.1, Lsat_1_v5_gn_6_107221.5, Lsat_1_v5_gn_5_109681.1, Lsat_1_v5_gn_5_111061.1	Dm_00018046-RA
OG0000047	Lsat_1_v5_gn_0_36361.1, Lsat_1_v5_gn_8_35560.3, Lsat_1_v5_gn_8_35560.2, Lsat_1_v5_gn_8_35560.1	Dm_00013559-RA, Dm_00009598-RA
OG0000047	Lsat_1_v5_gn_5_23501.1, Lsat_1_v5_gn_4_114440.3	Dm_00015362-RA
OG0000048	Lsat_1_v5_gn_1_72560.1, Lsat_1_v5_gn_1_72560.3, Lsat_1_v5_gn_1_72560.2, Lsat_1_v5_gn_1_72901.1, Lsat_1_v5_gn_1_72901.3, Lsat_1_v5_gn_1_72740.2, Lsat_1_v5_gn_1_72740.1, Lsat_1_v5_gn_1_72700.1, Lsat_1_v5_gn_1_72640.1, Lsat_1_v5_gn_1_72640.2, Lsat_1_v5_gn_1_72600.3, Lsat_1_v5_gn_1_72600.1, Lsat_1_v5_gn_1_72901.2, Lsat_1_v5_gn_1_72921.2, Lsat_1_v5_gn_1_72921.1, Lsat_1_v5_gn_1_72941.3, Lsat_1_v5_gn_1_72941.2, Lsat_1_v5_gn_1_72941.1, Lsat_1_v5_gn_1_72961.3, Lsat_1_v5_gn_1_72961.2, Lsat_1_v5_gn_1_72961.1, Lsat_1_v5_gn_1_82001.1, Lsat_1_v5_gn_1_82001.3, Lsat_1_v5_gn_1_82001.2, Lsat_1_v5_gn_9_39161.2, Lsat_1_v5_gn_9_39161.3, Lsat_1_v5_gn_9_39161.1, Lsat_1_v5_gn_9_39240.3, Lsat_1_v5_gn_9_39240.2, Lsat_1_v5_gn_9_39240.1, Lsat_1_v5_gn_9_38580.3, Lsat_1_v5_gn_9_38580.2, Lsat_1_v5_gn_9_38580.1	Dm_00001249-RA
OG0000048	Lsat_1_v5_gn_1_89881.2, Lsat_1_v5_gn_1_89881.3, Lsat_1_v5_gn_1_89881.1	Dm_00000024-RA
OG0000055	Lsat_1_v5_gn_4_2160.1, Lsat_1_v5_gn_3_31781.1	Dm_00019791-RA
OG0000055	Lsat_1_v5_gn_3_25860.1, Lsat_1_v5_gn_3_25860.2	Dm_00013087-RA, Dm_00006640-RA
OG0000055	Lsat_1_v5_gn_5_180201.2, Lsat_1_v5_gn_5_180201.1, Lsat_1_v5_gn_5_180201.3	Dm_00000927-RA
OG0000055	Lsat_1_v5_gn_9_94201.1, Lsat_1_v5_gn_9_94201.3	Dm_00000848-RA
OG0000055	Lsat_1_v5_gn_7_17361.1	Dm_00006448-RA, Dm_00014246-RA
OG0000055	Lsat_1_v5_gn_2_110100.1, Lsat_1_v5_gn_2_110100.3, Lsat_1_v5_gn_2_115401.1, Lsat_1_v5_gn_2_115401.2, Lsat_1_v5_gn_5_166160.1, Lsat_1_v5_gn_9_21141.1	Dm_00011186-RA
OG0000058	Lsat_1_v5_gn_6_66300.5, Lsat_1_v5_gn_6_66300.3, Lsat_1_v5_gn_6_66300.4	Dm_00001789-RA, Dm_00000773-RA
OG0000059	Lsat_1_v5_gn_2_62240.4, Lsat_1_v5_gn_2_62240.3, Lsat_1_v5_gn_8_118040.1, Lsat_1_v5_gn_8_118040.2, Lsat_1_v5_gn_8_118101.1, Lsat_1_v5_gn_8_118101.2, Lsat_1_v5_gn_2_62280.1, Lsat_1_v5_gn_2_62280.2, Lsat_1_v5_gn_2_73280.1, Lsat_1_v5_gn_2_73280.2, Lsat_1_v5_gn_2_62181.1, Lsat_1_v5_gn_2_62181.3, Lsat_1_v5_gn_2_62541.1, Lsat_1_v5_gn_2_62920.4, Lsat_1_v5_gn_2_30021.1, Lsat_1_v5_gn_2_62920.2, Lsat_1_v5_gn_2_62501.3, Lsat_1_v5_gn_2_62501.1	Dm_00007673-RA
OG0000063	Lsat_1_v5_gn_5_151121.1, Lsat_1_v5_gn_5_151121.3, Lsat_1_v5_gn_5_151081.3, Lsat_1_v5_gn_5_151081.1, Lsat_1_v5_gn_5_151141.2, Lsat_1_v5_gn_5_151141.1, Lsat_1_v5_gn_5_150900.1, Lsat_1_v5_gn_5_150900.2	Dm_00000040-RA
OG0000063	Lsat_1_v5_gn_5_175381.2	Dm_00016579-RA, Dm_00009436-RA
OG0000065	Lsat_1_v5_gn_8_81940.1, Lsat_1_v5_gn_8_81940.3, Lsat_1_v5_gn_8_81960.1, Lsat_1_v5_gn_8_83441.2, Lsat_1_v5_gn_8_83441.1, Lsat_1_v5_gn_8_83421.1, Lsat_1_v5_gn_8_83421.2, Lsat_1_v5_gn_8_84381.1, Lsat_1_v5_gn_8_81760.2, Lsat_1_v5_gn_8_81700.2, Lsat_1_v5_gn_8_81760.1, Lsat_1_v5_gn_8_81700.1, Lsat_1_v5_gn_8_81880.1, Lsat_1_v5_gn_8_81880.2, Lsat_1_v5_gn_8_81900.1, Lsat_1_v5_gn_8_81900.3	Dm_00018921-RA
OG0000070	Lsat_1_v5_gn_5_42480.1, Lsat_1_v5_gn_5_42480.3, Lsat_1_v5_gn_8_116260.1	Dm_00019678-RA
OG0000071	Lsat_1_v5_gn_5_12880.1, Lsat_1_v5_gn_2_94200.1, Lsat_1_v5_gn_2_93361.1	Dm_00001685-RA
OG0000071	Lsat_1_v5_gn_6_28301.3	Dm_00016304-RA
OG0000071	Lsat_1_v5_gn_2_111980.3, Lsat_1_v5_gn_2_111980.1, Lsat_1_v5_gn_9_71760.3, Lsat_1_v5_gn_9_71760.1	Dm_00012616-RA
OG0000071	Lsat_1_v5_gn_2_43400.1, Lsat_1_v5_gn_0_4881.2, Lsat_1_v5_gn_0_4881.1	Dm_00019310-RA
OG0000071	Lsat_1_v5_gn_8_90220.1, Lsat_1_v5_gn_9_12800.1	Dm_00008368-RA, Dm_00000932-RA
OG0000072	Lsat_1_v5_gn_9_73101.1	Dm_00015257-RA
OG0000072	Lsat_1_v5_gn_6_81961.1, Lsat_1_v5_gn_6_48681.1, Lsat_1_v5_gn_6_104521.1, Lsat_1_v5_gn_6_99580.1, Lsat_1_v5_gn_7_10540.1, Lsat_1_v5_gn_1_9380.1, Lsat_1_v5_gn_5_89880.1, Lsat_1_v5_gn_6_48701.3, Lsat_1_v5_gn_6_48701.1, Lsat_1_v5_gn_6_48681.3, Lsat_1_v5_gn_1_67140.3, Lsat_1_v5_gn_6_48701.6, Lsat_1_v5_gn_6_99500.1, Lsat_1_v5_gn_1_67140.1, Lsat_1_v5_gn_6_48661.1, Lsat_1_v5_gn_6_41341.1, Lsat_1_v5_gn_6_99560.2, Lsat_1_v5_gn_6_48681.2, Lsat_1_v5_gn_6_99480.1, Lsat_1_v5_gn_6_99380.1	Dm_00019149-RA
OG0000075	Lsat_1_v5_gn_4_44341.1, Lsat_1_v5_gn_7_11420.1	Dm_00001719-RA
OG0000077	Lsat_1_v5_gn_8_126040.1	Dm_00004852-RA, Dm_00021132-RA
OG0000077	Lsat_1_v5_gn_1_67980.1, Lsat_1_v5_gn_1_67800.1, Lsat_1_v5_gn_1_67980.2, Lsat_1_v5_gn_1_67980.3, Lsat_1_v5_gn_1_60200.1, Lsat_1_v5_gn_1_60340.3, Lsat_1_v5_gn_1_67920.1, Lsat_1_v5_gn_1_67920.3	Dm_00009375-RA
OG0000078	Lsat_1_v5_gn_6_63141.1, Lsat_1_v5_gn_6_61461.1, Lsat_1_v5_gn_0_4660.1	Dm_00001318-RA
OG0000085	Lsat_1_v5_gn_5_140541.1, Lsat_1_v5_gn_8_85560.1	Dm_00002079-RA, Dm_00008755-RA
OG0000085	Lsat_1_v5_gn_4_93421.2, Lsat_1_v5_gn_4_93421.1, Lsat_1_v5_gn_4_94081.1	Dm_00018382-RA, Dm_00014711-RA
OG0000085	Lsat_1_v5_gn_5_153541.1, Lsat_1_v5_gn_5_153541.3	Dm_00000001-RA
OG0000085	Lsat_1_v5_gn_5_80941.2, Lsat_1_v5_gn_5_80941.1, Lsat_1_v5_gn_5_80941.3, Lsat_1_v5_gn_7_57420.2, Lsat_1_v5_gn_7_57420.5, Lsat_1_v5_gn_7_57420.1, Lsat_1_v5_gn_5_80560.1	Dm_00021097-RA
OG0000085	Lsat_1_v5_gn_2_50401.1	Dm_00020301-RA
OG0000085	Lsat_1_v5_gn_3_20560.1, Lsat_1_v5_gn_6_75341.1	Dm_00011328-RA
OG0000087	Lsat_1_v5_gn_5_159621.1	Dm_00009408-RA
OG0000088	Lsat_1_v5_gn_7_102080.1, Lsat_1_v5_gn_7_102080.3, Lsat_1_v5_gn_7_102060.2, Lsat_1_v5_gn_7_102060.1, Lsat_1_v5_gn_5_125941.3, Lsat_1_v5_gn_5_125941.1	Dm_00006025-RA
OG0000088	Lsat_1_v5_gn_4_37761.1, Lsat_1_v5_gn_4_37780.1	Dm_00016161-RA
OG0000089	Lsat_1_v5_gn_5_133321.1, Lsat_1_v5_gn_5_133301.1, Lsat_1_v5_gn_5_133301.2, Lsat_1_v5_gn_1_33901.1, Lsat_1_v5_gn_1_33901.2, Lsat_1_v5_gn_1_34040.1, Lsat_1_v5_gn_1_33941.1, Lsat_1_v5_gn_4_104160.1, Lsat_1_v5_gn_5_133361.1, Lsat_1_v5_gn_5_133361.3, Lsat_1_v5_gn_5_132941.1	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	Lsat_1_v5_gn_5_32461.1, Lsat_1_v5_gn_5_32481.2, Lsat_1_v5_gn_5_32481.1, Lsat_1_v5_gn_5_32481.3, Lsat_1_v5_gn_5_32461.2, Lsat_1_v5_gn_5_32461.3, Lsat_1_v5_gn_6_22800.1	Dm_00000623-RA, Dm_00005052-RA, Dm_00008000-RA, Dm_00005053-RA, Dm_00014697-RA, Dm_00001050-RA
OG0000090	Lsat_1_v5_gn_4_3921.1, Lsat_1_v5_gn_2_91101.2, Lsat_1_v5_gn_2_91101.1, Lsat_1_v5_gn_0_22040.1, Lsat_1_v5_gn_0_22040.3	Dm_00004995-RA
OG0000091	Lsat_1_v5_gn_2_45920.2, Lsat_1_v5_gn_2_45920.1	Dm_00002549-RA, Dm_00011577-RA
OG0000091	Lsat_1_v5_gn_7_56941.1	Dm_00004862-RA
OG0000093	Lsat_1_v5_gn_6_49701.3, Lsat_1_v5_gn_6_49701.4, Lsat_1_v5_gn_6_49701.1	Dm_00008970-RA, Dm_00008253-RA, Dm_00011309-RA, Dm_00014861-RA, Dm_00016946-RA, Dm_00008254-RA, Dm_00012465-RA
OG0000095	Lsat_1_v5_gn_4_9780.1	Dm_00001105-RA
OG0000096	Lsat_1_v5_gn_2_83360.1, Lsat_1_v5_gn_5_65600.1, Lsat_1_v5_gn_5_64321.1, Lsat_1_v5_gn_3_119721.1, Lsat_1_v5_gn_3_119740.1, Lsat_1_v5_gn_3_119441.1, Lsat_1_v5_gn_3_119441.3, Lsat_1_v5_gn_3_119700.5, Lsat_1_v5_gn_3_119700.1, Lsat_1_v5_gn_3_119900.1, Lsat_1_v5_gn_3_119861.1, Lsat_1_v5_gn_3_118940.1, Lsat_1_v5_gn_3_118880.1, Lsat_1_v5_gn_3_119381.2, Lsat_1_v5_gn_3_119381.1	Dm_00002220-RA
OG0000097	Lsat_1_v5_gn_4_75740.1	Dm_00005636-RA, Dm_00005630-RA
OG0000097	Lsat_1_v5_gn_9_10221.1	Dm_00006030-RA
OG0000098	Lsat_1_v5_gn_9_46981.1, Lsat_1_v5_gn_9_46981.2, Lsat_1_v5_gn_8_30681.1, Lsat_1_v5_gn_2_9641.3, Lsat_1_v5_gn_2_9641.1	Dm_00003034-RA
OG0000098	Lsat_1_v5_gn_3_7300.2, Lsat_1_v5_gn_3_7300.1, Lsat_1_v5_gn_6_6441.1	Dm_00015457-RA
OG0000098	Lsat_1_v5_gn_9_33260.1, Lsat_1_v5_gn_5_111360.1	Dm_00013312-RA, Dm_00006029-RA
OG0000102	Lsat_1_v5_gn_7_22980.1, Lsat_1_v5_gn_8_116441.1, Lsat_1_v5_gn_8_116481.1, Lsat_1_v5_gn_8_116461.1, Lsat_1_v5_gn_8_116441.2, Lsat_1_v5_gn_8_116461.2, Lsat_1_v5_gn_4_158581.1, Lsat_1_v5_gn_8_63680.1, Lsat_1_v5_gn_3_42561.1	Dm_00001450-RA, Dm_00018156-RA, Dm_00001449-RA, Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA, Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
OG0000103	Lsat_1_v5_gn_7_103281.1, Lsat_1_v5_gn_7_103301.1, Lsat_1_v5_gn_7_103301.2, Lsat_1_v5_gn_7_116101.1, Lsat_1_v5_gn_7_116101.2	Dm_00020702-RA
OG0000103	Lsat_1_v5_gn_7_19020.3, Lsat_1_v5_gn_7_19020.1	Dm_00001448-RA
OG0000104	Lsat_1_v5_gn_6_35741.3, Lsat_1_v5_gn_6_35741.2, Lsat_1_v5_gn_6_35741.1	Dm_00012898-RA
OG0000105	Lsat_1_v5_gn_0_11801.1, Lsat_1_v5_gn_2_91441.1	Dm_00012589-RA
OG0000105	Lsat_1_v5_gn_4_64081.1	Dm_00013721-RA
OG0000105	Lsat_1_v5_gn_5_1921.1, Lsat_1_v5_gn_7_114220.1	Dm_00001881-RA
OG0000105	Lsat_1_v5_gn_1_48520.5, Lsat_1_v5_gn_1_48520.1	Dm_00000769-RA, Dm_00001787-RA
OG0000106	Lsat_1_v5_gn_8_122340.1	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA
OG0000107	Lsat_1_v5_gn_3_62240.3, Lsat_1_v5_gn_3_62240.1	Dm_00002832-RA, Dm_00001602-RA
OG0000107	Lsat_1_v5_gn_4_155521.1, Lsat_1_v5_gn_4_155521.2, Lsat_1_v5_gn_2_80941.2, Lsat_1_v5_gn_2_80941.1, Lsat_1_v5_gn_4_14740.3, Lsat_1_v5_gn_8_42381.1, Lsat_1_v5_gn_8_42381.2	Dm_00001603-RA
OG0000108	Lsat_1_v5_gn_9_6621.1	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA
OG0000109	Lsat_1_v5_gn_8_127960.2, Lsat_1_v5_gn_8_127960.1	Dm_00003433-RA
OG0000109	Lsat_1_v5_gn_2_78600.1	Dm_00007914-RA
OG0000110	Lsat_1_v5_gn_6_100980.1, Lsat_1_v5_gn_6_100980.3, Lsat_1_v5_gn_6_100980.4, Lsat_1_v5_gn_6_100940.2, Lsat_1_v5_gn_6_100940.3, Lsat_1_v5_gn_6_100940.1	Dm_00010771-RA
OG0000110	Lsat_1_v5_gn_1_5581.3	Dm_00016846-RA
OG0000113	Lsat_1_v5_gn_6_21140.1	Dm_00016399-RA
OG0000113	Lsat_1_v5_gn_3_1560.1, Lsat_1_v5_gn_1_127541.1, Lsat_1_v5_gn_1_127541.5, Lsat_1_v5_gn_1_127541.2, Lsat_1_v5_gn_3_320.1, Lsat_1_v5_gn_3_221.1, Lsat_1_v5_gn_7_47621.1	Dm_00006694-RA, Dm_00006695-RA
OG0000114	Lsat_1_v5_gn_7_20181.2, Lsat_1_v5_gn_7_20181.1, Lsat_1_v5_gn_7_20220.1, Lsat_1_v5_gn_7_20200.1	Dm_00013880-RA
OG0000115	Lsat_1_v5_gn_4_21321.1, Lsat_1_v5_gn_4_20821.1, Lsat_1_v5_gn_4_20821.3	Dm_00015940-RA, Dm_00015939-RA, Dm_00008526-RA, Dm_00005665-RA, Dm_00005666-RA
OG0000116	Lsat_1_v5_gn_7_54561.1	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA
OG0000118	Lsat_1_v5_gn_7_116161.1	Dm_00001565-RA
OG0000118	Lsat_1_v5_gn_6_86061.3	Dm_00015779-RA
OG0000118	Lsat_1_v5_gn_4_145581.1, Lsat_1_v5_gn_9_13560.1, Lsat_1_v5_gn_5_177320.1	Dm_00006495-RA
OG0000120	Lsat_1_v5_gn_5_164121.1, Lsat_1_v5_gn_8_75640.3, Lsat_1_v5_gn_8_75640.1	Dm_00019247-RA
OG0000120	Lsat_1_v5_gn_8_79201.3, Lsat_1_v5_gn_8_79201.1	Dm_00008637-RA
OG0000120	Lsat_1_v5_gn_4_46240.1	Dm_00001877-RA
OG0000120	Lsat_1_v5_gn_6_6340.1	Dm_00017973-RA
OG0000121	Lsat_1_v5_gn_4_133320.1, Lsat_1_v5_gn_4_133320.3	Dm_00018618-RA
OG0000121	Lsat_1_v5_gn_6_31901.4	Dm_00021095-RA
OG0000123	Lsat_1_v5_gn_4_147220.1	Dm_00013069-RA, Dm_00000436-RA
OG0000123	Lsat_1_v5_gn_2_76880.1	Dm_00020844-RA
OG0000123	Lsat_1_v5_gn_2_43780.1, Lsat_1_v5_gn_2_43780.2, Lsat_1_v5_gn_2_43681.1, Lsat_1_v5_gn_2_43681.2, Lsat_1_v5_gn_2_42941.3, Lsat_1_v5_gn_2_42941.1, Lsat_1_v5_gn_2_43721.1, Lsat_1_v5_gn_2_43721.2, Lsat_1_v5_gn_2_42881.1, Lsat_1_v5_gn_2_42860.3, Lsat_1_v5_gn_2_42860.1	Dm_00006567-RA, Dm_00005134-RA
OG0000124	Lsat_1_v5_gn_7_67001.1	Dm_00007112-RA
