Orthogroup	L_sativa.proteins	B_vulgaris.proteins
OG0000018	Lsat_1_v5_gn_5_159640.1, Lsat_1_v5_gn_3_63520.1, Lsat_1_v5_gn_3_63520.2, Lsat_1_v5_gn_9_62660.1, Lsat_1_v5_gn_5_159640.3, Lsat_1_v5_gn_4_165860.3, Lsat_1_v5_gn_4_165860.1, Lsat_1_v5_gn_6_18560.1, Lsat_1_v5_gn_4_168381.1, Lsat_1_v5_gn_5_11300.2, Lsat_1_v5_gn_3_121100.3, Lsat_1_v5_gn_3_121100.1, Lsat_1_v5_gn_3_121180.5, Lsat_1_v5_gn_3_121180.4, Lsat_1_v5_gn_3_120981.1, Lsat_1_v5_gn_3_120981.3, Lsat_1_v5_gn_3_121041.1, Lsat_1_v5_gn_3_121081.1, Lsat_1_v5_gn_3_121300.2, Lsat_1_v5_gn_3_121300.1, Lsat_1_v5_gn_3_121280.1, Lsat_1_v5_gn_3_120060.1, Lsat_1_v5_gn_3_120060.2, Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p
OG0000018	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1	Bevul.3G188900.1.p, Bevul.3G012200.1.p, Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p
OG0000018	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3	Bevul.5G246300.1.p
OG0000021	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1	Bevul.7G006300.1.p
OG0000022	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3	Bevul.1G097600.1.p
OG0000024	Lsat_1_v5_gn_3_36180.4, Lsat_1_v5_gn_3_36440.3, Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
OG0000024	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p, Bevul.4G087600.1.p, Bevul.4G004600.1.p
OG0000025	Lsat_1_v5_gn_3_45161.1	Bevul.9G156900.1.p
OG0000025	Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1	Bevul.9G229000.1.p
OG0000025	Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2	Bevul.9G157000.1.p, Bevul.9G157500.1.p, Bevul.9G157400.1.p
OG0000026	Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2, Lsat_1_v5_gn_5_42681.2, Lsat_1_v5_gn_5_40321.2, Lsat_1_v5_gn_0_44201.1	Bevul.4G049100.1.p
OG0000027	Lsat_1_v5_gn_3_101980.3, Lsat_1_v5_gn_5_90761.3, Lsat_1_v5_gn_5_85480.2, Lsat_1_v5_gn_1_31841.2, Lsat_1_v5_gn_5_19060.2, Lsat_1_v5_gn_3_101980.1, Lsat_1_v5_gn_5_19060.1	Bevul.5G197000.1.p
OG0000027	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2	Bevul.1G144100.1.p
OG0000027	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1	Bevul.8G210000.1.p, Bevul.2G132800.2.p, Bevul.2G132800.1.p
OG0000027	Lsat_1_v5_gn_5_90761.1	Bevul.8G159900.1.p
OG0000027	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1	Bevul.9G228300.1.p, Bevul.9G228300.2.p
OG0000028	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3	Bevul.9G027600.1.p, Bevul.5G236400.1.p
OG0000029	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p
OG0000029	Lsat_1_v5_gn_9_35121.2, Lsat_1_v5_gn_9_35121.1, Lsat_1_v5_gn_9_35021.1, Lsat_1_v5_gn_9_35021.2, Lsat_1_v5_gn_9_35061.2, Lsat_1_v5_gn_9_35061.1	Bevul.6G040200.1.p
OG0000029	Lsat_1_v5_gn_5_150741.1, Lsat_1_v5_gn_8_101081.1, Lsat_1_v5_gn_8_101081.3, Lsat_1_v5_gn_8_101061.3, Lsat_1_v5_gn_8_101061.1, Lsat_1_v5_gn_8_101161.1, Lsat_1_v5_gn_8_101161.3, Lsat_1_v5_gn_8_101181.1, Lsat_1_v5_gn_8_101181.2	Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p
OG0000030	Lsat_1_v5_gn_3_70580.1, Lsat_1_v5_gn_3_70480.1	Bevul.6G220100.1.p
OG0000030	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p
OG0000031	Lsat_1_v5_gn_3_77400.2, Lsat_1_v5_gn_3_77400.1, Lsat_1_v5_gn_3_77440.2, Lsat_1_v5_gn_3_77440.1, Lsat_1_v5_gn_4_149540.1	Bevul.3G005000.1.p, Bevul.3G005100.1.p, Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p, Bevul.5G208000.1.p
OG0000031	Lsat_1_v5_gn_3_75880.1	Bevul.6G022900.1.p
OG0000031	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3	Bevul.1G155200.1.p
OG0000032	Lsat_1_v5_gn_9_107401.1	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p
OG0000034	Lsat_1_v5_gn_7_17880.1	Bevul.8G068400.1.p, Bevul.8G065600.1.p
OG0000034	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p
OG0000034	Lsat_1_v5_gn_7_18081.1, Lsat_1_v5_gn_7_18141.1	Bevul.8G034500.1.p
OG0000037	Lsat_1_v5_gn_6_113241.1, Lsat_1_v5_gn_6_113241.3, Lsat_1_v5_gn_6_113301.1, Lsat_1_v5_gn_6_113301.2, Lsat_1_v5_gn_6_113220.1, Lsat_1_v5_gn_6_113220.3	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p
OG0000037	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1	Bevul.7G132700.1.p
OG0000038	Lsat_1_v5_gn_4_147180.1, Lsat_1_v5_gn_4_153500.1	Bevul.7G140100.1.p, Bevul.7G140600.1.p
OG0000038	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1, Lsat_1_v5_gn_1_70980.1, Lsat_1_v5_gn_1_70980.3, Lsat_1_v5_gn_1_70980.2, Lsat_1_v5_gn_1_71160.3, Lsat_1_v5_gn_1_71160.1, Lsat_1_v5_gn_1_71080.1, Lsat_1_v5_gn_1_70900.3, Lsat_1_v5_gn_1_70900.1, Lsat_1_v5_gn_1_28480.4, Lsat_1_v5_gn_1_28480.1, Lsat_1_v5_gn_1_11940.1, Lsat_1_v5_gn_1_11940.3, Lsat_1_v5_gn_1_12561.2, Lsat_1_v5_gn_1_12561.1, Lsat_1_v5_gn_4_45060.1, Lsat_1_v5_gn_1_27281.1, Lsat_1_v5_gn_1_27341.2, Lsat_1_v5_gn_1_27321.1, Lsat_1_v5_gn_1_27341.1, Lsat_1_v5_gn_5_14040.1, Lsat_1_v5_gn_5_14040.2, Lsat_1_v5_gn_5_14000.1, Lsat_1_v5_gn_5_12760.1, Lsat_1_v5_gn_1_28501.3, Lsat_1_v5_gn_1_28501.1	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p
OG0000040	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p
OG0000041	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1	Bevul.9G137500.1.p
OG0000041	Lsat_1_v5_gn_9_8501.3	Bevul.3G009300.1.p
OG0000041	Lsat_1_v5_gn_6_114481.1	Bevul.5G251800.1.p
OG0000041	Lsat_1_v5_gn_7_35020.1	Bevul.8G136400.1.p
OG0000042	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p
OG0000042	Lsat_1_v5_gn_9_24040.1	Bevul.7G200100.1.p
OG0000042	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1	Bevul.4G033600.1.p, Bevul.4G033500.1.p
OG0000043	Lsat_1_v5_gn_1_24061.2, Lsat_1_v5_gn_1_24061.1, Lsat_1_v5_gn_1_24061.6	Bevul.8G029800.1.p
OG0000043	Lsat_1_v5_gn_6_112960.1	Bevul.1G013100.1.p, Bevul.1G013000.1.p, Bevul.5G044900.1.p, Bevul.1G033800.1.p
OG0000043	Lsat_1_v5_gn_1_25520.1, Lsat_1_v5_gn_1_25520.3, Lsat_1_v5_gn_1_22720.1	Bevul.2G182900.1.p
OG0000044	Lsat_1_v5_gn_2_76741.1	Bevul.6G087200.1.p
OG0000044	Lsat_1_v5_gn_5_35960.3, Lsat_1_v5_gn_5_35960.1	Bevul.6G042400.1.p
OG0000044	Lsat_1_v5_gn_2_98240.1, Lsat_1_v5_gn_6_46760.1, Lsat_1_v5_gn_2_109221.1	Bevul.7G059000.1.p
OG0000044	Lsat_1_v5_gn_6_14101.1	Bevul.7G175700.1.p
OG0000044	Lsat_1_v5_gn_4_66301.1, Lsat_1_v5_gn_4_66301.3	Bevul.9G080900.1.p, Bevul.9G080900.2.p
OG0000044	Lsat_1_v5_gn_5_185501.1	Bevul.5G238300.1.p
OG0000046	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1	Bevul.9G172100.1.p
OG0000046	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1	Bevul.8G193500.1.p, Bevul.8G193400.1.p
OG0000046	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1	Bevul.6G116700.1.p
OG0000046	Lsat_1_v5_gn_2_86540.1	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p
OG0000047	Lsat_1_v5_gn_6_109820.1	Bevul.6G072600.1.p
OG0000047	Lsat_1_v5_gn_7_19860.1, Lsat_1_v5_gn_9_25680.1, Lsat_1_v5_gn_4_821.1, Lsat_1_v5_gn_4_103221.2, Lsat_1_v5_gn_4_10400.5, Lsat_1_v5_gn_4_10400.3, Lsat_1_v5_gn_4_14100.2, Lsat_1_v5_gn_4_14100.1, Lsat_1_v5_gn_4_861.1, Lsat_1_v5_gn_4_71361.1, Lsat_1_v5_gn_4_861.2, Lsat_1_v5_gn_4_14100.3, Lsat_1_v5_gn_4_1060.1, Lsat_1_v5_gn_4_1060.2, Lsat_1_v5_gn_2_93321.1, Lsat_1_v5_gn_2_93321.3	Bevul.6G205000.1.p, Bevul.9G121600.1.p
OG0000048	Lsat_1_v5_gn_5_149921.1, Lsat_1_v5_gn_5_152461.3, Lsat_1_v5_gn_5_152461.1	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p
OG0000048	Lsat_1_v5_gn_1_89881.2, Lsat_1_v5_gn_1_89881.3, Lsat_1_v5_gn_1_89881.1	Bevul.7G007200.1.p
OG0000055	Lsat_1_v5_gn_4_2160.1, Lsat_1_v5_gn_3_31781.1	Bevul.6G201900.1.p
OG0000055	Lsat_1_v5_gn_3_25860.1, Lsat_1_v5_gn_3_25860.2	Bevul.3G152000.1.p
OG0000055	Lsat_1_v5_gn_9_12120.3, Lsat_1_v5_gn_9_12120.1	Bevul.7G220500.1.p, Bevul.7G123900.1.p
OG0000055	Lsat_1_v5_gn_5_180201.2, Lsat_1_v5_gn_5_180201.1, Lsat_1_v5_gn_5_180201.3	Bevul.7G124000.1.p
OG0000055	Lsat_1_v5_gn_9_94201.1, Lsat_1_v5_gn_9_94201.3	Bevul.4G037900.1.p
OG0000055	Lsat_1_v5_gn_7_17361.1	Bevul.8G057600.1.p
OG0000055	Lsat_1_v5_gn_2_115401.1, Lsat_1_v5_gn_2_115401.2	Bevul.2G111100.1.p, Bevul.2G111100.2.p
OG0000055	Lsat_1_v5_gn_5_166160.1, Lsat_1_v5_gn_9_21141.1	Bevul.7G220300.1.p
OG0000058	Lsat_1_v5_gn_8_115501.1, Lsat_1_v5_gn_8_115501.3, Lsat_1_v5_gn_8_115380.3, Lsat_1_v5_gn_8_115380.1, Lsat_1_v5_gn_8_115521.1, Lsat_1_v5_gn_8_115521.2, Lsat_1_v5_gn_8_115421.1, Lsat_1_v5_gn_8_115421.3	Bevul.2G147300.1.p, Bevul.2G147300.2.p, Bevul.2G147400.1.p
OG0000058	Lsat_1_v5_gn_4_12580.1, Lsat_1_v5_gn_4_7680.1, Lsat_1_v5_gn_4_7680.2	Bevul.7G198300.1.p
OG0000058	Lsat_1_v5_gn_6_66300.5, Lsat_1_v5_gn_6_66300.3, Lsat_1_v5_gn_6_66300.4	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p
OG0000058	Lsat_1_v5_gn_3_135061.1	Bevul.1G123200.1.p
OG0000059	Lsat_1_v5_gn_2_62240.4, Lsat_1_v5_gn_2_62240.3, Lsat_1_v5_gn_8_118040.1, Lsat_1_v5_gn_8_118040.2, Lsat_1_v5_gn_8_118101.1, Lsat_1_v5_gn_8_118101.2, Lsat_1_v5_gn_2_62280.1, Lsat_1_v5_gn_2_62280.2, Lsat_1_v5_gn_2_73280.1, Lsat_1_v5_gn_2_73280.2, Lsat_1_v5_gn_2_62181.1, Lsat_1_v5_gn_2_62181.3, Lsat_1_v5_gn_2_62541.1, Lsat_1_v5_gn_2_62920.4, Lsat_1_v5_gn_2_30021.1, Lsat_1_v5_gn_2_62920.2, Lsat_1_v5_gn_2_62501.3, Lsat_1_v5_gn_2_62501.1	Bevul.8G204300.1.p, Bevul.8G204400.1.p, Bevul.4G210500.1.p, Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p
OG0000063	Lsat_1_v5_gn_5_151121.1, Lsat_1_v5_gn_5_151121.3, Lsat_1_v5_gn_5_151081.3, Lsat_1_v5_gn_5_151081.1, Lsat_1_v5_gn_5_151141.2, Lsat_1_v5_gn_5_151141.1, Lsat_1_v5_gn_5_150900.1, Lsat_1_v5_gn_5_150900.2	Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p
OG0000063	Lsat_1_v5_gn_5_175381.2	Bevul.2G185200.1.p, Bevul.2G185200.2.p
OG0000063	Lsat_1_v5_gn_5_175321.1, Lsat_1_v5_gn_5_175381.1	Bevul.7G222800.1.p
OG0000063	Lsat_1_v5_gn_8_13440.1	Bevul.2G184800.1.p
OG0000065	Lsat_1_v5_gn_8_81940.1, Lsat_1_v5_gn_8_81940.3, Lsat_1_v5_gn_8_81960.1, Lsat_1_v5_gn_8_83441.2, Lsat_1_v5_gn_8_83441.1, Lsat_1_v5_gn_8_83421.1, Lsat_1_v5_gn_8_83421.2, Lsat_1_v5_gn_8_84381.1, Lsat_1_v5_gn_8_81760.2, Lsat_1_v5_gn_8_81700.2, Lsat_1_v5_gn_8_81760.1, Lsat_1_v5_gn_8_81700.1, Lsat_1_v5_gn_8_81880.1, Lsat_1_v5_gn_8_81880.2, Lsat_1_v5_gn_8_81900.1, Lsat_1_v5_gn_8_81900.3	Bevul.7G197900.1.p, Bevul.4G193000.1.p, Bevul.7G110100.1.p, Bevul.7G148200.1.p, Bevul.3G163400.1.p
OG0000068	Lsat_1_v5_gn_4_105500.5, Lsat_1_v5_gn_4_105500.1, Lsat_1_v5_gn_2_74860.1, Lsat_1_v5_gn_8_106801.3, Lsat_1_v5_gn_1_45260.4, Lsat_1_v5_gn_2_74920.3	Bevul.3G027000.1.p, Bevul.8G060400.1.p, Bevul.8G072600.1.p, Bevul.8G072700.1.p, Bevul.8G072900.1.p, Bevul.8G060300.1.p, Bevul.3G137200.1.p
OG0000071	Lsat_1_v5_gn_5_12880.1	Bevul.7G142600.1.p
OG0000071	Lsat_1_v5_gn_6_28301.3	Bevul.7G048700.2.p, Bevul.7G048700.1.p
OG0000071	Lsat_1_v5_gn_2_111980.3, Lsat_1_v5_gn_2_111980.1, Lsat_1_v5_gn_9_71760.3, Lsat_1_v5_gn_9_71760.1	Bevul.3G133800.1.p
OG0000071	Lsat_1_v5_gn_2_43400.1, Lsat_1_v5_gn_0_4881.2, Lsat_1_v5_gn_0_4881.1	Bevul.3G170700.1.p
OG0000071	Lsat_1_v5_gn_8_90220.1, Lsat_1_v5_gn_9_12800.1	Bevul.7G121800.1.p
OG0000071	Lsat_1_v5_gn_8_154380.2, Lsat_1_v5_gn_8_154380.1	Bevul.6G171300.1.p
OG0000072	Lsat_1_v5_gn_4_114681.1, Lsat_1_v5_gn_1_16160.1, Lsat_1_v5_gn_1_3221.2	Bevul.6G096500.1.p
OG0000075	Lsat_1_v5_gn_4_44341.1, Lsat_1_v5_gn_7_11420.1	Bevul.9G081500.1.p
OG0000077	Lsat_1_v5_gn_8_126040.1	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p
OG0000077	Lsat_1_v5_gn_1_97920.1, Lsat_1_v5_gn_1_97880.3, Lsat_1_v5_gn_1_97880.1	Bevul.2G047300.1.p
