,gene_ID,module,AT_gene_id,Symbol,TopBlastHitDescription,Position
1909,Dm_00003639-RA,3,AT1G08750.3," Symbols: GPI8, ATGPI8 ",  , chr1:2801283-2804392 FORWARD LENGTH=388
1994,Dm_00003829-RA,3,AT3G60820.3, Symbols: PBF1 ,  , chr3:22472038-22473809 REVERSE LENGTH=223
2065,Dm_00003968-RA,3,AT4G09040.1, Symbols: CP33C ,  , chr4:5795075-5797315 REVERSE LENGTH=304
2079,Dm_00003999-RA,3,AT5G27850.1, Symbols: RPL18C ,  , chr5:9873169-9874297 FORWARD LENGTH=187
2084,Dm_00004010-RA,3,AT1G15250.2, Symbols: RPL37A ,  , chr1:5248825-5249381 REVERSE LENGTH=95
2109,Dm_00004062-RA,3,AT2G34480.2," Symbols: L18aB, RPL18aB ",  , chr2:14532916-14534278 REVERSE LENGTH=217
2192,Dm_00004226-RA,3,AT3G19184.1, Symbols: REM1 ,  , chr3:6637555-6639035 FORWARD LENGTH=277
2319,Dm_00004494-RA,3,AT5G14710.1, Symbols: PBAC3 ,  , chr5:4746465-4747776 FORWARD LENGTH=124
2348,Dm_00004550-RA,3,AT1G53540.1, Symbols: HSP17.6C ,  , chr1:19980510-19980983 FORWARD LENGTH=157
2605,Dm_00005094-RA,3,AT1G51510.1, Symbols: Y14 ,  , chr1:19103072-19104753 REVERSE LENGTH=202
2625,Dm_00005141-RA,3,AT4G13630.2, Symbols: MyoB13 ,  , chr4:7934093-7936029 REVERSE LENGTH=569
2711,Dm_00005327-RA,3,AT4G39220.2, Symbols: ATRER1A ,  , chr4:18264280-18265531 FORWARD LENGTH=191
2788,Dm_00005487-RA,3,AT5G09250.4, Symbols: KIWI ,  , chr5:2875486-2876368 REVERSE LENGTH=119
2899,Dm_00005741-RA,3,AT1G03090.2, Symbols: MCCA ,  , chr1:739715-743819 FORWARD LENGTH=734
2915,Dm_00005765-RA,3,AT3G46220.1, Symbols: UFL1 ,  , chr3:16979174-16983970 FORWARD LENGTH=804
2969,Dm_00005876-RA,3,AT3G03773.3, Symbols: p23-2 ,  , chr3:951885-952877 FORWARD LENGTH=117
3020,Dm_00005974-RA,3,AT5G09300.1, Symbols: E1A2 ,  , chr5:2884282-2886797 REVERSE LENGTH=472
3044,Dm_00006037-RA,3,AT4G27040.6, Symbols: VPS22 ,  , chr4:13573061-13574576 REVERSE LENGTH=250
3047,Dm_00006048-RA,3,AT3G58060.2, Symbols: MTP8 ,  , chr3:21497778-21499676 REVERSE LENGTH=411
3119,Dm_00006205-RA,3,AT1G07140.1, Symbols: SIRANBP ,  , chr1:2192360-2193688 REVERSE LENGTH=228
3130,Dm_00006228-RA,3,AT1G07140.1, Symbols: SIRANBP ,  , chr1:2192360-2193688 REVERSE LENGTH=228
3146,Dm_00006261-RA,3,AT1G79940.3," Symbols: Sec. 63-1, ATERDJ2A ",  , chr1:30070023-30073237 FORWARD LENGTH=687
3147,Dm_00006262-RA,3,AT1G79940.4," Symbols: Sec. 63-1, ATERDJ2A ",  , chr1:30070023-30073237 FORWARD LENGTH=594
3209,Dm_00006377-RA,3,AT2G18420.2, Symbols: GASA11 ,  , chr2:7994032-7994334 FORWARD LENGTH=70
3212,Dm_00006380-RA,3,AT1G77940.1, Symbols: RPL30B ,  , chr1:29304116-29305288 REVERSE LENGTH=112
3236,Dm_00006439-RA,3,AT5G14060.2," Symbols: AK2, CARAB-AK-LYS ",  , chr5:4536143-4538993 FORWARD LENGTH=544
3342,Dm_00006685-RA,3,AT3G45020.4, Symbols: uL18-L7 ,  , chr3:16469167-16469568 REVERSE LENGTH=133
3353,Dm_00006710-RA,3,AT2G46520.1, Symbols: XPO2 ,  , chr2:19096867-19099785 FORWARD LENGTH=972
3369,Dm_00006735-RA,3,AT2G15430.1," Symbols: NRPB3, RPB35.5A, NRPD3, NRPE3A, RBP36A ",  , chr2:6733661-6735482 FORWARD LENGTH=319
3400,Dm_00006807-RA,3,AT5G54580.1, Symbols: ORRM2 ,  , chr5:22171332-22172656 FORWARD LENGTH=156
3420,Dm_00006856-RA,3,AT1G07790.1, Symbols: HTB1 ,  , chr1:2413049-2413495 FORWARD LENGTH=148
3439,Dm_00006889-RA,3,AT3G62810.2," Symbols: mzm1, LYRM7 ",  , chr3:23227763-23228180 FORWARD LENGTH=106
3443,Dm_00006899-RA,3,AT1G28480.1," Symbols: GRXC9, ROXY19, GRX480 ",  , chr1:10013634-10014047 REVERSE LENGTH=137
3548,Dm_00007111-RA,3,AT5G42820.2," Symbols: ATU2AF35B, U2AF35B ",  , chr5:17170445-17171296 REVERSE LENGTH=283
3714,Dm_00007454-RA,3,AT1G14420.1, Symbols: AT59 ,  , chr1:4931844-4933405 REVERSE LENGTH=459
3766,Dm_00007551-RA,3,AT4G27090.1, Symbols: RPL14B ,  , chr4:13594104-13595187 REVERSE LENGTH=134
3783,Dm_00007581-RA,3,AT3G16980.1," Symbols: NRPD9A, NRPB9A, NRPE9A ",  , chr3:5794526-5795699 FORWARD LENGTH=114
3976,Dm_00008008-RA,3,AT4G14870.1, Symbols: SECE1 ,  , chr4:8517248-8517781 FORWARD LENGTH=177
3991,Dm_00008041-RA,3,AT1G09300.2, Symbols: AtICP55 ,  , chr1:3004485-3008131 FORWARD LENGTH=462
4068,Dm_00008230-RA,3,AT5G54840.1," Symbols: ATSGP1, SGP1 ",  , chr5:22276611-22278328 REVERSE LENGTH=288
4175,Dm_00008492-RA,3,AT5G20850.1," Symbols: ATRAD51, RAD51 ",  , chr5:7070758-7072860 REVERSE LENGTH=342
4240,Dm_00008632-RA,3,AT5G58950.1, Symbols: RAF36 ,  , chr5:23801136-23803025 REVERSE LENGTH=525
4308,Dm_00008770-RA,3,AT3G01720.1, Symbols: AtSERGT1 ,  , chr3:262412-265608 REVERSE LENGTH=802
4322,Dm_00008802-RA,3,AT5G43670.1, Symbols: AtSEC23G ,  , chr5:17539025-17541733 REVERSE LENGTH=794
4340,Dm_00008826-RA,3,AT5G27850.1, Symbols: RPL18C ,  , chr5:9873169-9874297 FORWARD LENGTH=187
4368,Dm_00008922-RA,3,AT3G16370.1, Symbols: GGL19 ,  , chr3:5556928-5558351 FORWARD LENGTH=353
4381,Dm_00008949-RA,3,AT5G19140.1," Symbols: ATAILP1, AILP1 ",  , chr5:6423398-6425785 FORWARD LENGTH=234
4503,Dm_00009212-RA,3,AT3G59600.1," Symbols: NRPD8B, NRPE8B, NRPB8B ",  , chr3:22016629-22017923 FORWARD LENGTH=146
4760,Dm_00009785-RA,3,AT1G30700.1, Symbols: AtBBE8 ,  , chr1:10892623-10894437 FORWARD LENGTH=527
4798,Dm_00009889-RA,3,AT4G39520.1, Symbols: Drg1-1 ,  , chr4:18371329-18374000 REVERSE LENGTH=369
4842,Dm_00010003-RA,3,AT5G21170.1," Symbols: KINbeta1, AKINBETA1 ",  , chr5:7205718-7208239 FORWARD LENGTH=283
4878,Dm_00010079-RA,3,AT5G46560.1, Symbols: MAN1 ,  , chr5:18888061-18890090 FORWARD LENGTH=387
4941,Dm_00010204-RA,3,AT1G16780.3," Symbols: AtVHP2;2, VHP2;2 ",  , chr1:5739468-5743569 REVERSE LENGTH=802
5042,Dm_00010487-RA,3,AT4G35040.4," Symbols: bZIP19, AtbZIP19 ",  , chr4:16680821-16681805 FORWARD LENGTH=261
5068,Dm_00010543-RA,3,AT1G53590.1," Symbols: NTMC2T6.1, NTMC2TYPE6.1 ",  , chr1:19996556-20000127 FORWARD LENGTH=751
5072,Dm_00010550-RA,3,AT1G18070.2, Symbols: EF-1alpha ,  , chr1:6214236-6218211 REVERSE LENGTH=532
5233,Dm_00010992-RA,3,AT4G17900.1, Symbols: PLATZ11 ,  , chr4:9946046-9947697 FORWARD LENGTH=227
5240,Dm_00011011-RA,3,AT5G60390.3, Symbols: EF1alpha ,  , chr5:24289226-24290675 FORWARD LENGTH=449
5426,Dm_00011465-RA,3,AT2G36740.1," Symbols: ATSWC2, SWC2 ",  , chr2:15407066-15409430 REVERSE LENGTH=365
5433,Dm_00011480-RA,3,AT1G24090.1, Symbols: RNH1C ,  , chr1:8520834-8522737 FORWARD LENGTH=353
5444,Dm_00011518-RA,3,AT4G01320.1," Symbols: STE24, ATSTE24 ",  , chr4:545905-549002 FORWARD LENGTH=424
5583,Dm_00011844-RA,3,AT1G63780.1, Symbols: IMP4 ,  , chr1:23665045-23667243 REVERSE LENGTH=294
5601,Dm_00011889-RA,3,AT1G60900.1," Symbols: ATU2AF65B, U2AF65b ",  , chr1:22424008-22427806 FORWARD LENGTH=589
5726,Dm_00012207-RA,3,AT3G62600.1," Symbols: ERDJ3B, ATERDJ3B ",  , chr3:23151038-23153346 REVERSE LENGTH=346
5816,Dm_00012448-RA,3,AT1G11950.3, Symbols: JMJ26 ,  , chr1:4034747-4038310 REVERSE LENGTH=875
5936,Dm_00012723-RA,3,AT1G61660.6," Symbols: PFA4, AtbHLH112 ",  , chr1:22754603-22756171 REVERSE LENGTH=347
6022,Dm_00012938-RA,3,AT5G35430.1, Symbols: NOT10 ,  , chr5:13662077-13665735 FORWARD LENGTH=786
6035,Dm_00012961-RA,3,AT5G59810.1," Symbols: SBT5.4, ATSBT5.4 ",  , chr5:24096895-24100387 REVERSE LENGTH=778
6048,Dm_00012985-RA,3,AT1G20580.1, Symbols: SMD3B ,  , chr1:7128979-7130371 FORWARD LENGTH=131
6081,Dm_00013088-RA,3,AT3G07030.5, Symbols: ALBA6 ,  , chr3:2222871-2225254 REVERSE LENGTH=453
6087,Dm_00013103-RA,3,AT5G24810.1, Symbols: ABC1K11 ,  , chr5:8516902-8522616 REVERSE LENGTH=1009
6116,Dm_00013171-RA,3,AT1G71900.1, Symbols: ENOR3L4 ,  , chr1:27061754-27064053 FORWARD LENGTH=343
6156,Dm_00013273-RA,3,AT2G45910.2, Symbols: PUB33 ,  , chr2:18894520-18898212 FORWARD LENGTH=834
6251,Dm_00013490-RA,3,AT5G65750.1, Symbols: E1-OGDH2 ,  , chr5:26304212-26307947 FORWARD LENGTH=1025
6284,Dm_00013594-RA,3,AT3G07090.2, Symbols: Desi1 ,  , chr3:2243153-2244476 REVERSE LENGTH=265
6304,Dm_00013632-RA,3,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
6331,Dm_00013701-RA,3,AT2G44770.1," Symbols: ELMOD_B, MCR ",  , chr2:18457817-18459886 FORWARD LENGTH=266
6367,Dm_00013784-RA,3,AT3G60670.1, Symbols: PLATZ10 ,  , chr3:22424695-22426074 REVERSE LENGTH=245
6450,Dm_00013981-RA,3,AT1G53540.1, Symbols: HSP17.6C ,  , chr1:19980510-19980983 FORWARD LENGTH=157
6451,Dm_00013983-RA,3,AT1G11650.2," Symbols: RBP45B, ATRBP45B ",  , chr1:3914895-3917941 FORWARD LENGTH=405
6470,Dm_00014028-RA,3,AT1G51510.1, Symbols: Y14 ,  , chr1:19103072-19104753 REVERSE LENGTH=202
6575,Dm_00014270-RA,3,AT5G06830.1, Symbols: C53 ,  , chr5:2116882-2119559 REVERSE LENGTH=549
6625,Dm_00014379-RA,3,AT5G38710.1, Symbols: PDH2 ,  , chr5:15501340-15503899 FORWARD LENGTH=476
6636,Dm_00014413-RA,3,AT5G28060.1, Symbols: RPS24B ,  , chr5:10069791-10070792 REVERSE LENGTH=133
6664,Dm_00014490-RA,3,AT1G03020.1," Symbols: GRXS1, ROXY16 ",  , chr1:698207-698515 REVERSE LENGTH=102
6677,Dm_00014542-RA,3,AT2G35795.1, Symbols: PAM18-1 ,  , chr2:15042321-15043334 FORWARD LENGTH=112
6819,Dm_00014924-RA,3,AT1G66810.3, Symbols: AtC3H14 ,  , chr1:24927613-24928619 REVERSE LENGTH=310
6874,Dm_00015093-RA,3,AT3G03420.1, Symbols: AtATP23 ,  , chr3:812527-813644 FORWARD LENGTH=194
6932,Dm_00015222-RA,3,AT1G08390.1, Symbols: RMI2 ,  , chr1:2642220-2643103 FORWARD LENGTH=137
6982,Dm_00015348-RA,3,AT5G48460.1, Symbols: AtFIM2 ,  , chr5:19636225-19639365 REVERSE LENGTH=654
7051,Dm_00015546-RA,3,AT2G39400.1, Symbols: MAGL6 ,  , chr2:16452719-16454650 FORWARD LENGTH=311
7081,Dm_00015641-RA,3,AT3G12130.1, Symbols: KHZ1 ,  , chr3:3864486-3866406 REVERSE LENGTH=248
7126,Dm_00015751-RA,3,AT5G27820.1, Symbols: uL18m ,  , chr5:9860584-9860928 FORWARD LENGTH=114
7200,Dm_00015988-RA,3,AT5G59180.1, Symbols: NRPB7 ,  , chr5:23883499-23884976 FORWARD LENGTH=176
7202,Dm_00015992-RA,3,AT2G01250.1, Symbols: RPL7B ,  , chr2:132943-134264 REVERSE LENGTH=242
7319,Dm_00016302-RA,3,AT5G03470.1, Symbols: ATB' ALPHA ,  , chr5:866795-868872 FORWARD LENGTH=495
7368,Dm_00016436-RA,3,AT1G73480.1, Symbols: MAGL4 ,  , chr1:27629266-27632486 FORWARD LENGTH=463
7709,Dm_00017364-RA,3,AT5G37670.1, Symbols: HSP15.7 ,  , chr5:14969035-14969448 FORWARD LENGTH=137
7712,Dm_00017371-RA,3,AT4G04450.1," Symbols: AtWRKY42, WRKY42 ",  , chr4:2218379-2221113 FORWARD LENGTH=528
7718,Dm_00017385-RA,3,AT5G61890.1, Symbols: ERF114 ,  , chr5:24852639-24853744 REVERSE LENGTH=248
7753,Dm_00017503-RA,3,AT3G62930.1," Symbols: ROXY17, GRXS6 ",  , chr3:23261538-23261846 REVERSE LENGTH=102
7771,Dm_00017544-RA,3,AT3G02090.1, Symbols: MPPBETA ,  , chr3:365624-368526 FORWARD LENGTH=531
7772,Dm_00017546-RA,3,AT5G59840.1, Symbols: AtRabE1b ,  , chr5:24107450-24109049 REVERSE LENGTH=216
7794,Dm_00017595-RA,3,AT2G14960.1, Symbols: GH3.1 ,  , chr2:6451659-6453670 REVERSE LENGTH=590
7890,Dm_00017851-RA,3,AT3G06610.1, Symbols: PYK ,  , chr3:2060837-2061845 FORWARD LENGTH=115
7922,Dm_00017913-RA,3,AT4G39690.1, Symbols: MIC60 ,  , chr4:18417755-18421633 FORWARD LENGTH=650
7924,Dm_00017915-RA,3,AT4G39690.1, Symbols: MIC60 ,  , chr4:18417755-18421633 FORWARD LENGTH=650
7925,Dm_00017916-RA,3,AT4G39690.1, Symbols: MIC60 ,  , chr4:18417755-18421633 FORWARD LENGTH=650
8068,Dm_00018322-RA,3,AT4G25570.2, Symbols: ACYB-2 ,  , chr4:13053887-13055641 REVERSE LENGTH=280
8070,Dm_00018326-RA,3,AT1G30580.1, Symbols: EngD-1 ,  , chr1:10831953-10835454 REVERSE LENGTH=394
8118,Dm_00018435-RA,3,AT5G62440.1," Symbols: DOM1, EMB514 ",  , chr5:25072620-25073917 REVERSE LENGTH=202
8151,Dm_00018548-RA,3,AT3G10185.1," Symbols: GASA13, AtGASA14 ",  , chr3:3145579-3146199 FORWARD LENGTH=122
8210,Dm_00018710-RA,3,AT4G16160.1," Symbols: ATOEP16-2, ATOEP16-S ",  , chr4:9157545-9158738 FORWARD LENGTH=176
8268,Dm_00018856-RA,3,AT3G02090.2, Symbols: MPPBETA ,  , chr3:365624-368534 FORWARD LENGTH=535
8306,Dm_00018938-RA,3,AT4G17900.1, Symbols: PLATZ11 ,  , chr4:9946046-9947697 FORWARD LENGTH=227
8361,Dm_00019083-RA,3,AT4G15480.1, Symbols: UGT84A1 ,  , chr4:8849000-8850472 REVERSE LENGTH=490
8380,Dm_00019142-RA,3,AT5G61220.3," Symbols: ISD11, LYRM4 ",  , chr5:24626057-24626320 REVERSE LENGTH=87
8524,Dm_00019548-RA,3,AT4G14342.2, Symbols: SF3B5B ,  , chr4:8254783-8255405 REVERSE LENGTH=101
8563,Dm_00019661-RA,3,AT4G19003.6, Symbols: VPS25 ,  , chr4:10407571-10408582 REVERSE LENGTH=179
8680,Dm_00019991-RA,3,AT5G06270.2, Symbols: GIR1 ,  , chr5:1912895-1913263 FORWARD LENGTH=122
8689,Dm_00020005-RA,3,AT1G69780.1, Symbols: ATHB13 ,  , chr1:26259166-26260465 FORWARD LENGTH=294
8868,Dm_00020656-RA,3,AT4G40080.1, Symbols: PICALM10a ,  , chr4:18579371-18580542 FORWARD LENGTH=365
8995,Dm_00021078-RA,3,AT3G12130.1, Symbols: KHZ1 ,  , chr3:3864486-3866406 REVERSE LENGTH=248
8360,Dm_00019081-RA,3,AT4G24220.1," Symbols: AWI31, 5[beta]-StR, VEP1 "," ""&#916;4,5-steroid-5[beta]-reductase"", VEIN PATTERNING 1 ", chr4:12565219-12566474 FORWARD LENGTH=388
5984,Dm_00012852-RA,3,AT1G09780.1, Symbols: iPGAM1 ," ""2,3-biphosphoglycerate-independent phosphoglycerate mutase 1"" ", chr1:3165550-3167812 REVERSE LENGTH=557
2389,Dm_00004641-RA,3,AT3G52300.1," Symbols: ATPQ, ATPd "," ""ATP synthase D chain, mitochondrial"" ", chr3:19396689-19398119 FORWARD LENGTH=168
622,Dm_00001180-RA,3,AT3G57260.2," Symbols: AtBG2, PR2, GNS2, AtPR2, BG2, PR-2, BGL2 "," ""beta-1,3-glucanase 2"", PATHOGENESIS-RELATED PROTEIN 2, ""&#946;-1,3-Glucanase"", ""BETA-1,3-GLUCANASE 2"" ", chr3:21188709-21189870 REVERSE LENGTH=355
4042,Dm_00008173-RA,3,AT5G53420.1, Symbols: CCT101 ," ""CONSTANS, CO-like and TOC1 motif;"" ", chr5:21673683-21675469 FORWARD LENGTH=264
7133,Dm_00015786-RA,3,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
7194,Dm_00015970-RA,3,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
7690,Dm_00017327-RA,3,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
8274,Dm_00018867-RA,3,AT2G45510.1, Symbols: CYP704A2 ," ""cytochrome P450, family 704, subfamily A, polypeptide 2"" ", chr2:18753085-18754944 FORWARD LENGTH=511
2702,Dm_00005311-RA,3,AT3G19270.2, Symbols: CYP707A4 ," ""cytochrome P450, family 707, subfamily A, polypeptide 4"" ", chr3:6673885-6676400 REVERSE LENGTH=468
905,Dm_00001695-RA,3,AT3G48310.1, Symbols: CYP71A22 ," ""cytochrome P450, family 71, subfamily A, polypeptide 22"" ", chr3:17888192-17889749 FORWARD LENGTH=490
907,Dm_00001699-RA,3,AT3G48290.2, Symbols: CYP71A24 ," ""cytochrome P450, family 71, subfamily A, polypeptide 24"" ", chr3:17882590-17884134 FORWARD LENGTH=514
763,Dm_00001431-RA,3,AT3G48280.1, Symbols: CYP71A25 ," ""cytochrome P450, family 71, subfamily A, polypeptide 25"" ", chr3:17879594-17881164 FORWARD LENGTH=490
908,Dm_00001700-RA,3,AT3G48270.1, Symbols: CYP71A26 ," ""cytochrome P450, family 71, subfamily A, polypeptide 26"" ", chr3:17876571-17878173 FORWARD LENGTH=489
7973,Dm_00018034-RA,3,AT3G26300.1, Symbols: CYP71B34 ," ""cytochrome P450, family 71, subfamily B, polypeptide 34"" ", chr3:9639199-9640866 REVERSE LENGTH=500
2110,Dm_00004063-RA,3,AT2G34500.1, Symbols: CYP710A1 ," ""cytochrome P450, family 710, subfamily A, polypeptide 1"" ", chr2:14539712-14541199 REVERSE LENGTH=495
4410,Dm_00009016-RA,3,AT5G24910.1," Symbols: CYP714A1, ELA1 "," ""cytochrome P450, family 714, subfamily A, polypeptide 1"", EUI-like p450 A1 ", chr5:8567674-8570260 REVERSE LENGTH=532
6225,Dm_00013414-RA,3,AT5G52400.1, Symbols: CYP715A1 ," ""cytochrome P450, family 715, subfamily A, polypeptide 1"" ", chr5:21272949-21275509 FORWARD LENGTH=519
2460,Dm_00004789-RA,3,AT3G14690.1, Symbols: CYP72A15 ," ""cytochrome P450, family 72, subfamily A, polypeptide 15"" ", chr3:4937410-4939310 FORWARD LENGTH=512
4012,Dm_00008089-RA,3,AT3G14690.2, Symbols: CYP72A15 ," ""cytochrome P450, family 72, subfamily A, polypeptide 15"" ", chr3:4937305-4939310 FORWARD LENGTH=547
7875,Dm_00017809-RA,3,AT3G14690.1, Symbols: CYP72A15 ," ""cytochrome P450, family 72, subfamily A, polypeptide 15"" ", chr3:4937410-4939310 FORWARD LENGTH=512
2061,Dm_00003959-RA,3,AT2G45550.1, Symbols: CYP76C4 ," ""cytochrome P450, family 76, subfamily C, polypeptide 4"" ", chr2:18773541-18775654 REVERSE LENGTH=511
4916,Dm_00010156-RA,3,AT2G45550.1, Symbols: CYP76C4 ," ""cytochrome P450, family 76, subfamily C, polypeptide 4"" ", chr2:18773541-18775654 REVERSE LENGTH=511
6185,Dm_00013333-RA,3,AT2G45550.1, Symbols: CYP76C4 ," ""cytochrome P450, family 76, subfamily C, polypeptide 4"" ", chr2:18773541-18775654 REVERSE LENGTH=511
7968,Dm_00018023-RA,3,AT2G45550.1, Symbols: CYP76C4 ," ""cytochrome P450, family 76, subfamily C, polypeptide 4"" ", chr2:18773541-18775654 REVERSE LENGTH=511
2393,Dm_00004650-RA,3,AT3G61040.1, Symbols: CYP76C7 ," ""cytochrome P450, family 76, subfamily C, polypeptide 7"" ", chr3:22594074-22596125 REVERSE LENGTH=498
5226,Dm_00010968-RA,3,AT3G61040.1, Symbols: CYP76C7 ," ""cytochrome P450, family 76, subfamily C, polypeptide 7"" ", chr3:22594074-22596125 REVERSE LENGTH=498
7182,Dm_00015941-RA,3,AT4G31940.1, Symbols: CYP82C4 ," ""cytochrome P450, family 82, subfamily C, polypeptide 4"" ", chr4:15452040-15453966 FORWARD LENGTH=524
3816,Dm_00007664-RA,3,AT1G24540.1, Symbols: CYP86C1 ," ""cytochrome P450, family 86, subfamily C, polypeptide 1"" ", chr1:8699751-8701319 FORWARD LENGTH=522
5911,Dm_00012655-RA,3,AT1G64940.1, Symbols: CYP89A6 ," ""cytochrome P450, family 87, subfamily A, polypeptide 6"" ", chr1:24123789-24125324 FORWARD LENGTH=511
6992,Dm_00015375-RA,3,AT1G64940.1, Symbols: CYP89A6 ," ""cytochrome P450, family 87, subfamily A, polypeptide 6"" ", chr1:24123789-24125324 FORWARD LENGTH=511
1000,Dm_00001848-RA,3,AT3G48520.1, Symbols: CYP94B3 ," ""cytochrome P450, family 94, subfamily B, polypeptide 3"" ", chr3:17975104-17976624 REVERSE LENGTH=506
407,Dm_00000775-RA,3,AT2G27690.1, Symbols: CYP94C1 ," ""cytochrome P450, family 94, subfamily C, polypeptide 1"" ", chr2:11809373-11810860 FORWARD LENGTH=495
3000,Dm_00005943-RA,3,AT2G40890.1," Symbols: REF8, CYP98A3 "," ""cytochrome P450, family 98, subfamily A, polypeptide 3"", REDUCED EPIDERMAL FLUORESCENCE 8 ", chr2:17058291-17060532 REVERSE LENGTH=508
4256,Dm_00008672-RA,3,AT5G54080.2," Symbols: HGO, AtHGO "," ""homogentisate 1,2-dioxygenase"" ", chr5:21945920-21948070 FORWARD LENGTH=461
7996,Dm_00018105-RA,3,AT3G18165.1, Symbols: MOS4 ," ""Modifier of snc1,4"" ", chr3:6223248-6225076 FORWARD LENGTH=253
