,Orthogroup,gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position
4032,OG0001387,Dm_00018651-RA,2,AT5G19820.1,"Symbols: IMB3, KETCH1, EMB2734","EMBRYO DEFECTIVE 2734, (karyopherin enabling the transport of the  cytoplasmic HYL1",chr5:6695731-6701247 REVERSE LENGTH=1116
4033,OG0001400,Dm_00010980-RA,2,AT2G40540.5,"Symbols: SHY3, ATKT2, KT2, KUP2, ATKUP2, TRK2",potassium transporter 2,chr2:16931445-16934516 FORWARD LENGTH=794
4036,OG0001405,Dm_00004760-RA,2,AT3G07610.2,Symbols: IBM1,increase in bonsai methylation 1,chr3:2426148-2429358 FORWARD LENGTH=762
4039,OG0001405,Dm_00019299-RA,2,AT1G11950.3,Symbols: JMJ26,NA,chr1:4034747-4038310 REVERSE LENGTH=875
4101,OG0001460,Dm_00000434-RA,2,AT3G49350.1,Symbols: no symbol available,no full name available,chr3:18297663-18299846 REVERSE LENGTH=539
4129,OG0001502,Dm_00019175-RA,2,AT1G50180.1,Symbols: CAR1,CEL-Activated Resistance 1,chr1:18584235-18587136 FORWARD LENGTH=857
4124,OG0001502,Dm_00013532-RA,2,AT1G58410.3,Symbols: no symbol available,no full name available,chr1:21701286-21704255 REVERSE LENGTH=867
4210,OG0001507,Dm_00016016-RA,2,NA,NA,NA,NA
4220,OG0001524,Dm_00008566-RA,2,AT5G43130.1,"Symbols: TAF4B, TAF4","TBP-associated factor 4B, TBP-associated factor 4",chr5:17315608-17321144 REVERSE LENGTH=823
4233,OG0001557,Dm_00008941-RA,2,NA,NA,NA,NA
4236,OG0001558,Dm_00014106-RA,2,AT1G19485.2,Symbols: no symbol available,no full name available,chr1:6747167-6751443 FORWARD LENGTH=815
4240,OG0001632,Dm_00008150-RA,2,AT3G52250.2,Symbols: PWR,POWERDRESS,chr3:19376629-19383100 FORWARD LENGTH=1656
4241,OG0001632,Dm_00008151-RA,2,AT3G52250.2,Symbols: PWR,POWERDRESS,chr3:19376629-19383100 FORWARD LENGTH=1656
4242,OG0001632,Dm_00017286-RA,2,AT3G52250.2,Symbols: PWR,POWERDRESS,chr3:19376629-19383100 FORWARD LENGTH=1656
4248,OG0001687,Dm_00001163-RA,2,AT5G42950.1,Symbols: EXA1,Essential for poteXvirus Accumulation 1,chr5:17224436-17231044 FORWARD LENGTH=1714
4249,OG0001687,Dm_00002730-RA,2,AT5G42950.1,Symbols: EXA1,Essential for poteXvirus Accumulation 1,chr5:17224436-17231044 FORWARD LENGTH=1714
4256,OG0001700,Dm_00019408-RA,2,AT1G26610.1,Symbols: no symbol available,no full name available,chr1:9193735-9195102 FORWARD LENGTH=455
4266,OG0001701,Dm_00015453-RA,2,AT4G08455.1,Symbols: no symbol available,no full name available,chr4:5375810-5376922 FORWARD LENGTH=270
4360,OG0001793,Dm_00003162-RA,2,AT2G20760.1,Symbols: CLC1,CLATHRIN LIGHT 62 CHAIN1,chr2:8943279-8945108 REVERSE LENGTH=338
4361,OG0001793,Dm_00011218-RA,2,AT2G20760.1,Symbols: CLC1,CLATHRIN LIGHT 62 CHAIN1,chr2:8943279-8945108 REVERSE LENGTH=338
4373,OG0001820,Dm_00007602-RA,2,NA,NA,NA,NA
4374,OG0001820,Dm_00007603-RA,2,NA,NA,NA,NA
4375,OG0001820,Dm_00007604-RA,2,AT1G70620.8,Symbols: no symbol available,no full name available,chr1:26627922-26630631 FORWARD LENGTH=630
4406,OG0001845,Dm_00015308-RA,2,AT4G32450.1,Symbols: MEF8S,MEF8 similar,chr4:15661092-15662705 FORWARD LENGTH=537
4414,OG0001926,Dm_00004941-RA,2,AT1G22410.1,Symbols: no symbol available,no full name available,chr1:7912120-7914742 FORWARD LENGTH=527
4418,OG0001929,Dm_00011377-RA,2,AT1G14900.1,Symbols: HMGA,high mobility group A,chr1:5138665-5139353 REVERSE LENGTH=204
4419,OG0001929,Dm_00014739-RA,2,AT1G48620.1,Symbols: HON5,high mobility group A5,chr1:17974148-17976301 REVERSE LENGTH=479
4421,OG0001930,Dm_00007017-RA,2,AT1G53720.1,"Symbols: CYP59, ATCYP59","CYCLOPHILIN 59, cyclophilin 59",chr1:20057012-20059508 FORWARD LENGTH=506
4432,OG0001943,Dm_00018924-RA,2,AT3G05850.1,Symbols: MUG7,MUSTANG 7,chr3:1743537-1745943 REVERSE LENGTH=777
4445,OG0001970,Dm_00018937-RA,2,AT5G49720.1,"Symbols: KOR, RSW2, TSD1, GH9A1, DEC, KOR1, ATGH9A1, IRX2","DEFECTIVE CYTOKINESIS, glycosyl hydrolase 9A1, KORRIGAN, RADIALLY SWOLLEN 2, TUMOROUS SHOOT DEVELOPMENT 1, IRREGULAR XYLEM 2, KORRIGAN 1",chr5:20197765-20200168 REVERSE LENGTH=621
4481,OG0002120,Dm_00007923-RA,2,AT4G33650.1,"Symbols: DRP3A, NOXY15, ADL2, APEM1","dynamin-related protein 3A, non responding to oxylipins 15, ARABIDOPSIS DYNAMIN-LIKE 2, ABERRANT PEROXISOME MORPHOLOGY 1",chr4:16161073-16166587 FORWARD LENGTH=808
4483,OG0002120,Dm_00018169-RA,2,AT4G33650.1,"Symbols: DRP3A, NOXY15, ADL2, APEM1","dynamin-related protein 3A, non responding to oxylipins 15, ARABIDOPSIS DYNAMIN-LIKE 2, ABERRANT PEROXISOME MORPHOLOGY 1",chr4:16161073-16166587 FORWARD LENGTH=808
4503,OG0002164,Dm_00018109-RA,2,AT5G37870.1,Symbols: no symbol available,no full name available,chr5:15073764-15074851 REVERSE LENGTH=281
4505,OG0002164,Dm_00019966-RA,2,AT5G37930.1,Symbols: no symbol available,no full name available,chr5:15102239-15103651 REVERSE LENGTH=349
4508,OG0002166,Dm_00017587-RA,2,AT3G57650.1,Symbols: LPAT2,lysophosphatidyl acyltransferase 2,chr3:21349751-21352839 FORWARD LENGTH=389
4509,OG0002169,Dm_00003529-RA,2,NA,NA,NA,NA
4510,OG0002169,Dm_00011126-RA,2,NA,NA,NA,NA
4560,OG0002277,Dm_00019215-RA,2,AT2G25690.2,Symbols: no symbol available,no full name available,chr2:10940530-10941649 REVERSE LENGTH=324
4563,OG0002290,Dm_00000626-RA,2,AT5G25510.1,Symbols: no symbol available,no full name available,chr5:8882728-8884325 REVERSE LENGTH=500
4570,OG0002306,Dm_00001569-RA,2,AT5G04930.1,Symbols: ALA1,aminophospholipid ATPase 1,chr5:1445509-1449568 FORWARD LENGTH=1158
4580,OG0002350,Dm_00015691-RA,2,NA,NA,NA,NA
4576,OG0002350,Dm_00006165-RA,2,AT3G14470.2,Symbols: no symbol available,no full name available,chr3:4857940-4861104 FORWARD LENGTH=1054
4585,OG0002350,Dm_00017558-RA,2,AT3G14470.2,Symbols: no symbol available,no full name available,chr3:4857940-4861104 FORWARD LENGTH=1054
4586,OG0002350,Dm_00017559-RA,2,AT3G14470.2,Symbols: no symbol available,no full name available,chr3:4857940-4861104 FORWARD LENGTH=1054
4613,OG0002459,Dm_00007820-RA,2,AT5G57610.1,Symbols: no symbol available,no full name available,chr5:23325307-23329099 FORWARD LENGTH=1054
4614,OG0002462,Dm_00000257-RA,2,AT5G25270.1,Symbols: no symbol available,no full name available,chr5:8757783-8762002 REVERSE LENGTH=642
4621,OG0002471,Dm_00017085-RA,2,AT3G55550.1,Symbols: LecRK-S.4,L-type lectin receptor kinase S.4,chr3:20600019-20602073 REVERSE LENGTH=684
4631,OG0002533,Dm_00010837-RA,2,AT4G24280.1,Symbols: cpHsc70-1,chloroplast heat shock protein 70-1,chr4:12590094-12593437 FORWARD LENGTH=718
4633,OG0002533,Dm_00020567-RA,2,AT5G49910.1,"Symbols: HSC70-7, cpHsc70-2","chloroplast heat shock protein 70-2, HEAT SHOCK PROTEIN 70-7",chr5:20303470-20306295 FORWARD LENGTH=718
4641,OG0002578,Dm_00008997-RA,2,AT4G12570.1,Symbols: UPL5,ubiquitin protein ligase 5,chr4:7445585-7448819 FORWARD LENGTH=873
4642,OG0002578,Dm_00009954-RA,2,AT4G12570.1,Symbols: UPL5,ubiquitin protein ligase 5,chr4:7445585-7448819 FORWARD LENGTH=873
4667,OG0002623,Dm_00004229-RA,2,AT4G14103.3,Symbols: no symbol available,no full name available,chr4:8126948-8128305 FORWARD LENGTH=381
4716,OG0002664,Dm_00013504-RA,2,NA,NA,NA,NA
4754,OG0002665,Dm_00020790-RA,2,NA,NA,NA,NA
4780,OG0002711,Dm_00007816-RA,2,AT4G03250.1,Symbols: no symbol available,no full name available,chr4:1425050-1427744 FORWARD LENGTH=507
4820,OG0002750,Dm_00003723-RA,2,AT3G24490.1,Symbols: no symbol available,no full name available,chr3:8911022-8912023 FORWARD LENGTH=333
4825,OG0002790,Dm_00002128-RA,2,AT5G55040.2,Symbols: BRD13,bromodomain-containing protein 13,chr5:22327727-22331703 REVERSE LENGTH=916
4827,OG0002790,Dm_00004741-RA,2,AT5G55040.2,Symbols: BRD13,bromodomain-containing protein 13,chr5:22327727-22331703 REVERSE LENGTH=916
4826,OG0002790,Dm_00002129-RA,2,NA,NA,NA,NA
4829,OG0002792,Dm_00009116-RA,2,AT3G53540.1,Symbols: TRM19,TON1 Recruiting Motif 19,chr3:19846805-19850670 REVERSE LENGTH=924
4831,OG0002792,Dm_00017749-RA,2,AT3G53540.1,Symbols: TRM19,TON1 Recruiting Motif 19,chr3:19846805-19850670 REVERSE LENGTH=924
4832,OG0002796,Dm_00000860-RA,2,NA,NA,NA,NA
4833,OG0002796,Dm_00000861-RA,2,AT1G50660.1,Symbols: no symbol available,no full name available,chr1:18771386-18774385 FORWARD LENGTH=725
4884,OG0002933,Dm_00002135-RA,2,AT5G55100.2,Symbols: no symbol available,no full name available,chr5:22361401-22364664 REVERSE LENGTH=844
4892,OG0002956,Dm_00005448-RA,2,AT5G17690.2,"Symbols: TFL2, LHP1, AtLHP1","LIKE HETEROCHROMATIN PROTEIN 1, TERMINAL FLOWER 2",chr5:5827622-5829537 REVERSE LENGTH=435
4904,OG0002999,Dm_00018588-RA,2,AT5G06560.1,Symbols: MyoB7,NA,chr5:2003678-2005543 REVERSE LENGTH=518
4925,OG0003079,Dm_00001927-RA,2,AT2G48110.1,"Symbols: MED33B, REF4, MED5B",REDUCED EPIDERMAL FLUORESCENCE 4,chr2:19673370-19679494 FORWARD LENGTH=1275
4926,OG0003079,Dm_00007754-RA,2,AT3G23590.1,"Symbols: MED33A, MED5A, RFR1",REF4-related 1,chr3:8467638-8473469 FORWARD LENGTH=1309
4928,OG0003079,Dm_00013879-RA,2,AT3G23590.1,"Symbols: MED33A, MED5A, RFR1",REF4-related 1,chr3:8467638-8473469 FORWARD LENGTH=1309
4929,OG0003080,Dm_00003764-RA,2,NA,NA,NA,NA
4933,OG0003108,Dm_00002872-RA,2,AT3G26600.1,Symbols: ARO4,armadillo repeat only 4,chr3:9769889-9771736 FORWARD LENGTH=615
4937,OG0003112,Dm_00012539-RA,2,AT4G38430.1,"Symbols: ATROPGEF1, ROPGEF1",ROP (rho of plants) guanine nucleotide exchange factor 1,chr4:17986643-17988659 FORWARD LENGTH=548
4946,OG0003141,Dm_00016876-RA,2,AT1G20110.1,"Symbols: FREE1, FYVE1, PDE330","FYVE-domain protein 1, PIGMENT DEFECTIVE EMBRYO 330, FYVE domain protein required for endosomal sorting 1",chr1:6971554-6974578 FORWARD LENGTH=601
4947,OG0003141,Dm_00017140-RA,2,AT1G20110.1,"Symbols: FREE1, FYVE1, PDE330","FYVE-domain protein 1, PIGMENT DEFECTIVE EMBRYO 330, FYVE domain protein required for endosomal sorting 1",chr1:6971554-6974578 FORWARD LENGTH=601
4964,OG0003186,Dm_00002328-RA,2,AT1G80530.1,Symbols: no symbol available,no full name available,chr1:30278224-30280247 REVERSE LENGTH=561
4968,OG0003193,Dm_00018944-RA,2,AT3G09670.2,Symbols: PDP2,PWWP domain protein 2,chr3:2966637-2968817 FORWARD LENGTH=726
4981,OG0003203,Dm_00015980-RA,2,AT2G28380.1,"Symbols: DRB2, AtDRB2",dsRNA-binding protein 2,chr2:12134098-12135915 REVERSE LENGTH=434
4979,OG0003203,Dm_00012880-RA,2,AT3G26932.2,Symbols: DRB3,dsRNA-binding protein 3,chr3:9930460-9931714 REVERSE LENGTH=359
4982,OG0003210,Dm_00005153-RA,2,NA,NA,NA,NA
4995,OG0003238,Dm_00015864-RA,2,AT1G55860.1,Symbols: UPL1,ubiquitin-protein ligase 1,chr1:20879900-20892910 REVERSE LENGTH=3681
5031,OG0003401,Dm_00016796-RA,2,AT1G63120.1,"Symbols: RBL2, ATRBL2",RHOMBOID-like 2,chr1:23409054-23410725 REVERSE LENGTH=317
5039,OG0003426,Dm_00015683-RA,2,AT1G45616.1,"Symbols: RLP6, AtRLP6",receptor like protein 6,chr1:17183550-17186534 REVERSE LENGTH=994
5044,OG0003455,Dm_00016629-RA,2,AT1G60780.1,"Symbols: AP1M2, HAP13","adaptor protein-1 mu-adaptin 2, HAPLESS 13",chr1:22369289-22371885 REVERSE LENGTH=428
5045,OG0003464,Dm_00006334-RA,2,AT2G44710.4,Symbols: no symbol available,no full name available,chr2:18433457-18436629 FORWARD LENGTH=724
5057,OG0003510,Dm_00005022-RA,2,NA,NA,NA,NA
5122,OG0003551,Dm_00017928-RA,2,AT2G32710.2,"Symbols: ICK7, KRP4, ACK2","INTERACTORS OF CDC2 KINASE 7, KIP-RELATED PROTEIN 4, CYCLIN-DEPENDENT KINASE INHIBITOR 2",chr2:13873496-13875350 FORWARD LENGTH=286
5126,OG0003559,Dm_00009605-RA,2,NA,NA,NA,NA
5128,OG0003594,Dm_00007941-RA,2,AT4G08920.1,"Symbols: OOP2, BLU1, ATCRY1, CRY1, HY4","ELONGATED HYPOCOTYL 4, cryptochrome 1, BLUE LIGHT UNINHIBITED 1, OUT OF PHASE 2",chr4:5724260-5726905 FORWARD LENGTH=681
5152,OG0003662,Dm_00007641-RA,2,AT2G02955.1,"Symbols: CCG, MEE12","CENTRAL CELL GUIDANCE, maternal effect embryo arrest 12",chr2:859592-861772 FORWARD LENGTH=666
5154,OG0003662,Dm_00016609-RA,2,AT2G02955.1,"Symbols: CCG, MEE12","CENTRAL CELL GUIDANCE, maternal effect embryo arrest 12",chr2:859592-861772 FORWARD LENGTH=666
5159,OG0003680,Dm_00000823-RA,2,AT5G54680.1,"Symbols: ILR3, bHLH105","basic Helix-Loop-Helix 105, iaa-leucine resistant3",chr5:22217270-22218993 FORWARD LENGTH=234
5165,OG0003693,Dm_00009761-RA,2,AT4G34450.1,Symbols: gamma2-COP,gamma2 Coat Protein,chr4:16471956-16476795 FORWARD LENGTH=886
5173,OG0003713,Dm_00005036-RA,2,AT5G27470.1,Symbols: no symbol available,no full name available,chr5:9695087-9697154 FORWARD LENGTH=451
5174,OG0003713,Dm_00014910-RA,2,AT5G27470.1,Symbols: no symbol available,no full name available,chr5:9695087-9697154 FORWARD LENGTH=451
5175,OG0003728,Dm_00004829-RA,2,AT3G02090.1,Symbols: MPPBETA,NA,chr3:365624-368526 FORWARD LENGTH=531
5178,OG0003731,Dm_00004519-RA,2,NA,NA,NA,NA
5179,OG0003776,Dm_00016037-RA,2,AT1G56290.1,Symbols: no symbol available,no full name available,chr1:21075939-21078608 FORWARD LENGTH=692
5202,OG0003826,Dm_00004948-RA,2,AT1G19580.1,Symbols: GAMMA CA1,gamma carbonic anhydrase 1,chr1:6774937-6777092 FORWARD LENGTH=275
5224,OG0003863,Dm_00001454-RA,2,AT4G21670.1,"Symbols: CPL1, ATCPL1, FRY2, SHI4, RCF2","SHINY 4, C-terminal domain phosphatase-like 1, regulators of C-REPEAT BINDING FACTOR (CBF) gene expression 2, FIERY 2, C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1",chr4:11511511-11516922 FORWARD LENGTH=967
5229,OG0003880,Dm_00016540-RA,2,AT2G26910.1,"Symbols: PEC1, PDR4, ATPDR4, ABCG32, AtABCG32","PERMEABLE CUTICLE 1, ATP-binding cassette G32, pleiotropic drug resistance 4, PLEIOTROPIC DRUG RESISTANCE 4",chr2:11481623-11487874 FORWARD LENGTH=1420
5245,OG0003994,Dm_00004413-RA,2,AT1G71010.1,Symbols: FAB1C,FORMS APLOID AND BINUCLEATE CELLS 1C,chr1:26782839-26788712 FORWARD LENGTH=1648
5250,OG0004006,Dm_00008704-RA,2,AT1G48950.1,"Symbols: MEM1, ZC2HC1",Zinc Finger C3HC-Type Containing 1,chr1:18107063-18110108 FORWARD LENGTH=594
5254,OG0004015,Dm_00005023-RA,2,NA,NA,NA,NA
5306,OG0004048,Dm_00014160-RA,2,AT5G12400.1,Symbols: DDP3,DDT-PHD PROTEIN3,chr5:4013813-4021018 FORWARD LENGTH=1602
5319,OG0004105,Dm_00012755-RA,2,AT1G80670.1,Symbols: RAE1,RNA export factor 1,chr1:30320809-30323543 REVERSE LENGTH=349
5320,OG0004110,Dm_00002501-RA,2,AT1G06340.1,Symbols: no symbol available,no full name available,chr1:1933583-1933987 REVERSE LENGTH=134
5338,OG0004218,Dm_00004754-RA,2,AT5G07660.1,Symbols: SMC6A,structural maintenance of chromosomes 6A,chr5:2422839-2429912 FORWARD LENGTH=1058
5345,OG0004262,Dm_00008787-RA,2,AT3G48195.1,Symbols: SNX5,SORTING NEXIN 5,chr3:17828706-17832388 REVERSE LENGTH=938
5375,OG0004359,Dm_00013202-RA,2,AT5G04930.1,Symbols: ALA1,aminophospholipid ATPase 1,chr5:1445509-1449568 FORWARD LENGTH=1158
5379,OG0004389,Dm_00009805-RA,2,AT4G35510.1,Symbols: no symbol available,no full name available,chr4:16860712-16861713 REVERSE LENGTH=333
5384,OG0004411,Dm_00012865-RA,2,AT4G32960.1,Symbols: no symbol available,no full name available,chr4:15908785-15910141 REVERSE LENGTH=264
5415,OG0004629,Dm_00009401-RA,2,AT1G29940.1,Symbols: NRPA2,nuclear RNA polymerase A2,chr1:10479322-10486670 REVERSE LENGTH=1178
5426,OG0004726,Dm_00000711-RA,2,AT5G46060.1,Symbols: no symbol available,no full name available,chr5:18681533-18682459 FORWARD LENGTH=248
5451,OG0004843,Dm_00007466-RA,2,AT5G02770.1,Symbols: MOS11,"""modifier of snc1, 11""",chr5:628101-629168 REVERSE LENGTH=214
