Orthogroup	B_vulgaris.proteins	P_amilis.proteins
OG0000018	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1
OG0000018	Bevul.3G190300.1.p	FUN_042066-T1
OG0000018	Bevul.3G188900.1.p, Bevul.3G012200.1.p	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2
OG0000018	Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p	FUN_051744-T1, FUN_012787-T1
OG0000018	Bevul.5G246300.1.p	FUN_051184-T1
OG0000020	Bevul.9G084700.1.p, Bevul.9G073100.2.p, Bevul.4G085500.1.p, Bevul.5G114900.1.p	FUN_027597-T1
OG0000021	Bevul.5G038600.1.p, Bevul.2G167900.1.p, Bevul.8G145800.1.p, Bevul.8G146100.1.p, Bevul.5G040400.1.p	FUN_040662-T1, FUN_040655-T1, FUN_040656-T1, FUN_040664-T1, FUN_018676-T1, FUN_018672-T1, FUN_018656-T1, FUN_018681-T1, FUN_018680-T1, FUN_018678-T1, FUN_018682-T1
OG0000021	Bevul.5G145300.1.p	FUN_024282-T1
OG0000021	Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p	FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1
OG0000021	Bevul.2G184100.1.p	FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1
OG0000021	Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p	FUN_046257-T1
OG0000021	Bevul.1G207900.1.p, Bevul.1G207800.1.p	FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1
OG0000022	Bevul.7G006300.1.p	FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1
OG0000022	Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p	FUN_020730-T1, FUN_020932-T1
OG0000022	Bevul.7G005900.1.p	FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1
OG0000023	Bevul.1G139100.1.p, Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p	FUN_014378-T2, FUN_014378-T1, FUN_015007-T1
OG0000023	Bevul.9G223400.1.p	FUN_005579-T1
OG0000023	Bevul.1G009300.1.p	FUN_024415-T1
OG0000024	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1
OG0000024	Bevul.7G020900.1.p, Bevul.7G020600.1.p	FUN_020355-T1
OG0000024	Bevul.4G087500.1.p	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1
OG0000024	Bevul.4G087600.1.p	FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1
OG0000025	Bevul.9G156900.1.p	FUN_050791-T1, FUN_051656-T1
OG0000025	Bevul.9G157100.1.p	FUN_050776-T1
OG0000025	Bevul.9G156800.1.p, Bevul.9G157600.1.p	FUN_051653-T1, FUN_051654-T1
OG0000025	Bevul.9G156700.1.p	FUN_050790-T1
OG0000025	Bevul.9G157500.1.p, Bevul.9G157400.1.p	FUN_050780-T1, FUN_050779-T1
OG0000025	Bevul.9G229300.1.p, Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p, Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p, Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1
OG0000026	Bevul.6G022200.1.p	FUN_028423-T2, FUN_028423-T1
OG0000026	Bevul.7G010100.2.p, Bevul.7G010100.1.p	FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1
OG0000026	Bevul.4G049100.1.p	FUN_046668-T1, FUN_045871-T1
OG0000026	Bevul.4G079600.1.p	FUN_052497-T1, FUN_046670-T1, FUN_045872-T1, FUN_045870-T1, FUN_047376-T1, FUN_047376-T2, FUN_047380-T1, FUN_047378-T2, FUN_047378-T1, FUN_047376-T3, FUN_047376-T4, FUN_052621-T1, FUN_047377-T1
OG0000026	Bevul.4G046500.1.p	FUN_046452-T1, FUN_046453-T1, FUN_046749-T1, FUN_020280-T1, FUN_045755-T1
OG0000027	Bevul.5G197000.1.p	FUN_047527-T1
OG0000027	Bevul.1G144100.1.p	FUN_049510-T1
OG0000027	Bevul.7G159800.1.p	FUN_024104-T2, FUN_024104-T1
OG0000027	Bevul.8G210000.1.p	FUN_013068-T1, FUN_026793-T2, FUN_026793-T1
OG0000027	Bevul.2G132800.2.p, Bevul.2G132800.1.p	FUN_005343-T1, FUN_005343-T2
OG0000027	Bevul.8G159900.1.p	FUN_053156-T1
OG0000027	Bevul.9G228300.1.p, Bevul.9G228300.2.p	FUN_052200-T1, FUN_005491-T1
OG0000028	Bevul.9G027600.1.p, Bevul.5G236400.1.p	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1, FUN_050972-T1, FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1, FUN_010675-T1, FUN_011515-T1, FUN_011513-T2, FUN_011513-T3, FUN_011513-T1, FUN_011518-T1, FUN_011514-T1, FUN_050956-T1
OG0000029	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1
OG0000029	Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1
OG0000030	Bevul.6G220100.1.p	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1
OG0000030	Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p	FUN_046131-T1, FUN_046111-T1, FUN_046117-T1, FUN_046121-T1, FUN_046133-T1, FUN_046120-T1, FUN_046114-T1, FUN_046125-T1, FUN_046123-T1, FUN_046129-T1, FUN_046110-T1, FUN_046122-T1, FUN_046116-T1, FUN_046128-T1, FUN_046126-T1, FUN_046113-T1, FUN_046132-T1
OG0000030	Bevul.9G124900.1.p	FUN_046137-T1, FUN_046135-T1, FUN_046136-T1
OG0000030	Bevul.9G124800.1.p	FUN_002402-T1
OG0000030	Bevul.6G220800.1.p	FUN_004132-T1
OG0000031	Bevul.6G216700.1.p	FUN_020443-T1
OG0000031	Bevul.9G167800.1.p	FUN_030704-T1, FUN_027306-T1, FUN_052133-T1, FUN_045055-T1, FUN_024196-T1, FUN_043727-T1, FUN_002224-T1
OG0000031	Bevul.3G005000.1.p, Bevul.3G005100.1.p, Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p, Bevul.5G208000.1.p	FUN_018873-T1, FUN_018874-T1, FUN_003563-T1
OG0000031	Bevul.6G022900.1.p	FUN_009434-T1
OG0000031	Bevul.1G155200.1.p	FUN_038338-T1
OG0000032	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1
OG0000032	Bevul.9G072800.1.p	FUN_012015-T1
OG0000032	Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p	FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1
OG0000032	Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	FUN_037257-T1, FUN_043669-T1
OG0000034	Bevul.5G008500.1.p, Bevul.5G008400.1.p	FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1
OG0000034	Bevul.8G072800.1.p, Bevul.8G069300.1.p	FUN_035395-T1
OG0000034	Bevul.8G068400.1.p, Bevul.8G065600.1.p	FUN_012518-T1
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1
OG0000034	Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p	FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1
OG0000034	Bevul.9G089000.2.p, Bevul.9G089000.1.p	FUN_012547-T1
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p	FUN_001433-T1, FUN_001434-T1
OG0000037	Bevul.8G003600.1.p, Bevul.8G012100.1.p	FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1
OG0000037	Bevul.7G132700.1.p	FUN_000651-T1
OG0000038	Bevul.7G139200.1.p	FUN_050364-T1
OG0000038	Bevul.6G168300.1.p	FUN_037585-T1, FUN_025377-T1
OG0000038	Bevul.7G140500.1.p	FUN_025082-T1
OG0000038	Bevul.7G140200.1.p	FUN_050347-T1
OG0000038	Bevul.4G044200.1.p, Bevul.4G044100.1.p, Bevul.4G043800.1.p, Bevul.4G043900.1.p, Bevul.4G046700.1.p, Bevul.7G138200.1.p, Bevul.7G138400.1.p, Bevul.7G139100.1.p, Bevul.5G025300.1.p, Bevul.7G139600.1.p	FUN_050359-T1, FUN_050369-T1, FUN_035434-T1, FUN_028254-T1
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p	FUN_025077-T1
OG0000038	Bevul.7G139700.1.p	FUN_025080-T1, FUN_025078-T1, FUN_025078-T2
OG0000038	Bevul.7G140000.1.p	FUN_025081-T1
OG0000040	Bevul.4G187100.1.p, Bevul.4G187000.1.p	FUN_033511-T1, FUN_033516-T1, FUN_033517-T1, FUN_033523-T1, FUN_033520-T1, FUN_033521-T1
OG0000040	Bevul.3G181600.1.p	FUN_005498-T1
OG0000040	Bevul.2G209700.2.p, Bevul.2G209700.1.p	FUN_035490-T1, FUN_012622-T1, FUN_035489-T1
OG0000040	Bevul.2G209500.1.p	FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1
OG0000041	Bevul.9G137500.1.p	FUN_051962-T1, FUN_045720-T1
OG0000041	Bevul.4G126000.1.p	FUN_002730-T1
OG0000041	Bevul.2G204400.1.p	FUN_016739-T1
OG0000041	Bevul.5G248300.1.p	FUN_051239-T1
OG0000041	Bevul.3G009300.1.p	FUN_015112-T1
OG0000041	Bevul.5G251800.1.p	FUN_010340-T1
OG0000041	Bevul.1G194200.1.p	FUN_037490-T1
OG0000041	Bevul.8G136400.1.p	FUN_027799-T1
OG0000041	Bevul.1G208000.1.p	FUN_037732-T1, FUN_048382-T1
OG0000042	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1
OG0000042	Bevul.7G200100.1.p	FUN_047986-T1
OG0000042	Bevul.9G031500.1.p, Bevul.7G200000.1.p	FUN_047988-T2, FUN_047988-T3, FUN_047988-T4, FUN_047988-T1, FUN_047989-T1
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1
OG0000043	Bevul.2G142500.1.p	FUN_032854-T1, FUN_004646-T1
OG0000043	Bevul.6G008000.1.p	FUN_030472-T1
OG0000043	Bevul.8G029800.1.p	FUN_024518-T1
OG0000043	Bevul.3G192200.1.p	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1
OG0000043	Bevul.1G013100.1.p	FUN_024185-T1, FUN_024184-T1, FUN_024186-T1, FUN_024187-T1
OG0000043	Bevul.1G013000.1.p	FUN_024769-T1, FUN_030446-T1, FUN_030447-T1
OG0000043	Bevul.5G044900.1.p	FUN_041873-T1, FUN_041870-T1, FUN_041871-T1, FUN_041872-T1, FUN_041876-T1, FUN_041875-T1
OG0000043	Bevul.1G033800.1.p	FUN_025703-T1
OG0000043	Bevul.2G182900.1.p	FUN_032853-T1, FUN_011522-T1, FUN_030474-T1
OG0000044	Bevul.6G087200.1.p	FUN_001129-T1
OG0000044	Bevul.6G042400.1.p	FUN_020670-T1
OG0000044	Bevul.7G059000.1.p	FUN_039424-T1
