Orthogroup	B_vulgaris.proteins	D_muscipula.proteins
OG0000021	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA
OG0000022	Bevul.1G097600.1.p	Dm_00009918-RA
OG0000022	Bevul.8G058800.1.p, Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p, Bevul.7G005900.1.p	Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA
OG0000023	Bevul.9G223400.1.p	Dm_00006887-RA
OG0000023	Bevul.1G009300.1.p	Dm_00007864-RA, Dm_00007863-RA
OG0000024	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	Bevul.9G157000.1.p	Dm_00003442-RA
OG0000025	Bevul.9G157500.1.p, Bevul.9G157400.1.p	Dm_00003443-RA, Dm_00007239-RA
OG0000026	Bevul.4G079600.1.p	Dm_00006967-RA
OG0000027	Bevul.5G197000.1.p	Dm_00014996-RA, Dm_00013634-RA, Dm_00019371-RA, Dm_00002324-RA, Dm_00004939-RA, Dm_00004749-RA, Dm_00000738-RA
OG0000027	Bevul.8G159900.1.p	Dm_00000274-RA
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p	Dm_00000141-RA
OG0000032	Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	Dm_00020696-RA
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p	Dm_00017791-RA
OG0000034	Bevul.9G089000.2.p, Bevul.9G089000.1.p	Dm_00013221-RA
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p	Dm_00015941-RA, Dm_00016029-RA
OG0000038	Bevul.6G168300.1.p	Dm_00018034-RA
OG0000038	Bevul.7G140500.1.p	Dm_00001698-RA
OG0000038	Bevul.7G140200.1.p	Dm_00001431-RA, Dm_00001432-RA, Dm_00001695-RA
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA
OG0000040	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p	Dm_00008090-RA, Dm_00014922-RA
OG0000041	Bevul.9G137500.1.p	Dm_00005610-RA, Dm_00016090-RA
OG0000041	Bevul.4G126000.1.p	Dm_00017104-RA, Dm_00020901-RA
OG0000041	Bevul.4G131500.1.p	Dm_00003625-RA, Dm_00015625-RA
OG0000041	Bevul.5G251800.1.p	Dm_00009275-RA, Dm_00004200-RA
OG0000041	Bevul.8G136400.1.p	Dm_00010291-RA
OG0000041	Bevul.1G208000.1.p	Dm_00009990-RA
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	Bevul.6G087200.1.p	Dm_00020841-RA
OG0000044	Bevul.7G059000.1.p	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	Bevul.7G175700.1.p	Dm_00009532-RA, Dm_00014819-RA
OG0000044	Bevul.5G238300.1.p	Dm_00016520-RA
OG0000045	Bevul.2G135500.1.p, Bevul.7G096000.1.p, Bevul.8G197300.1.p	Dm_00016661-RA, Dm_00010691-RA, Dm_00014811-RA, Dm_00019124-RA, Dm_00018192-RA, Dm_00018028-RA, Dm_00019303-RA, Dm_00011471-RA, Dm_00007268-RA, Dm_00016925-RA, Dm_00018031-RA, Dm_00005668-RA, Dm_00011085-RA, Dm_00010390-RA, Dm_00017821-RA, Dm_00010392-RA, Dm_00021107-RA, Dm_00020930-RA, Dm_00018381-RA, Dm_00019838-RA, Dm_00016114-RA, Dm_00020627-RA, Dm_00016899-RA, Dm_00018290-RA, Dm_00007212-RA, Dm_00014648-RA, Dm_00015474-RA, Dm_00018246-RA, Dm_00020736-RA, Dm_00017038-RA, Dm_00015554-RA, Dm_00012391-RA, Dm_00010733-RA, Dm_00006544-RA, Dm_00021071-RA, Dm_00019653-RA, Dm_00016657-RA, Dm_00017273-RA, Dm_00011682-RA, Dm_00017977-RA, Dm_00017380-RA, Dm_00018364-RA, Dm_00009096-RA, Dm_00020542-RA, Dm_00005255-RA, Dm_00014013-RA, Dm_00015817-RA, Dm_00018288-RA, Dm_00005813-RA, Dm_00005889-RA, Dm_00017926-RA, Dm_00013050-RA, Dm_00017429-RA, Dm_00019439-RA, Dm_00019495-RA, Dm_00019561-RA, Dm_00019642-RA, Dm_00021053-RA, Dm_00019753-RA, Dm_00007028-RA, Dm_00011084-RA, Dm_00018527-RA, Dm_00019911-RA, Dm_00020316-RA, Dm_00019042-RA, Dm_00020834-RA, Dm_00019819-RA, Dm_00015749-RA, Dm_00015454-RA, Dm_00017126-RA, Dm_00020504-RA, Dm_00021092-RA, Dm_00020223-RA, Dm_00016318-RA, Dm_00016125-RA, Dm_00018294-RA, Dm_00011261-RA, Dm_00012227-RA, Dm_00014889-RA, Dm_00008878-RA, Dm_00019576-RA, Dm_00016410-RA, Dm_00019927-RA, Dm_00018689-RA, Dm_00020112-RA, Dm_00018289-RA, Dm_00021131-RA, Dm_00010191-RA, Dm_00019506-RA, Dm_00020629-RA, Dm_00010096-RA, Dm_00020932-RA, Dm_00012052-RA, Dm_00005969-RA, Dm_00013726-RA, Dm_00012264-RA, Dm_00011978-RA, Dm_00019316-RA, Dm_00014689-RA, Dm_00016933-RA, Dm_00017382-RA, Dm_00002868-RA, Dm_00017428-RA, Dm_00018949-RA, Dm_00015496-RA, Dm_00015129-RA, Dm_00013351-RA, Dm_00012031-RA, Dm_00011977-RA, Dm_00014643-RA, Dm_00011172-RA, Dm_00020302-RA, Dm_00019489-RA, Dm_00016639-RA, Dm_00012331-RA, Dm_00020625-RA, Dm_00014200-RA, Dm_00017250-RA, Dm_00020660-RA, Dm_00013502-RA, Dm_00013999-RA, Dm_00019058-RA, Dm_00016499-RA, Dm_00012009-RA, Dm_00018350-RA, Dm_00019273-RA, Dm_00018145-RA, Dm_00011265-RA, Dm_00020583-RA, Dm_00016928-RA, Dm_00016590-RA, Dm_00019437-RA, Dm_00017119-RA, Dm_00020593-RA, Dm_00020404-RA, Dm_00016634-RA, Dm_00011317-RA, Dm_00014613-RA, Dm_00006890-RA, Dm_00020787-RA, Dm_00009319-RA, Dm_00015856-RA, Dm_00019627-RA, Dm_00020628-RA, Dm_00012639-RA, Dm_00010786-RA, Dm_00020380-RA, Dm_00018365-RA, Dm_00016660-RA, Dm_00011947-RA, Dm_00011206-RA
OG0000046	Bevul.9G172100.1.p	Dm_00007088-RA, Dm_00001752-RA
OG0000046	Bevul.6G085300.1.p	Dm_00020179-RA, Dm_00012741-RA
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	Dm_00006378-RA, Dm_00013509-RA
OG0000046	Bevul.6G116700.1.p	Dm_00003891-RA, Dm_00011430-RA
OG0000046	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p	Dm_00014024-RA, Dm_00012683-RA
OG0000046	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p	Dm_00007080-RA
OG0000047	Bevul.6G072600.1.p	Dm_00007969-RA, Dm_00020823-RA
OG0000047	Bevul.8G084000.1.p	Dm_00004056-RA
OG0000047	Bevul.4G162400.1.p	Dm_00001976-RA
OG0000048	Bevul.7G007200.1.p	Dm_00000024-RA
OG0000050	Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p	Dm_00020295-RA
OG0000050	Bevul.4G082400.1.p, Bevul.4G069400.1.p, Bevul.1G145400.1.p	Dm_00010704-RA, Dm_00017829-RA
OG0000050	Bevul.6G021100.1.p, Bevul.4G115800.1.p, Bevul.5G199600.1.p, Bevul.9G040100.1.p, Bevul.2G052300.1.p, Bevul.8G086300.1.p, Bevul.2G094700.1.p, Bevul.4G161000.1.p	Dm_00014907-RA, Dm_00001243-RA, Dm_00002802-RA, Dm_00020880-RA
OG0000050	Bevul.2G039300.1.p, Bevul.7G166000.1.p, Bevul.2G109200.1.p, Bevul.4G056700.1.p, Bevul.8G140100.1.p, Bevul.7G019800.1.p, Bevul.5G071100.1.p, Bevul.4G184500.1.p, Bevul.9G012300.1.p, Bevul.7G031500.1.p, Bevul.1G041000.1.p	Dm_00020030-RA, Dm_00000650-RA
OG0000051	Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p	Dm_00012248-RA, Dm_00016219-RA, Dm_00000875-RA, Dm_00005213-RA, Dm_00000437-RA, Dm_00008487-RA, Dm_00002944-RA
OG0000052	Bevul.2G110700.1.p, Bevul.2G033200.1.p	Dm_00018241-RA, Dm_00008751-RA, Dm_00004404-RA
OG0000052	Bevul.2G027500.1.p, Bevul.1G145000.1.p, Bevul.8G101600.1.p, Bevul.9G088100.1.p, Bevul.4G102100.1.p, Bevul.5G110500.1.p	Dm_00008735-RA
OG0000055	Bevul.6G201900.1.p	Dm_00019791-RA
OG0000055	Bevul.3G152000.1.p	Dm_00013087-RA, Dm_00006640-RA
OG0000055	Bevul.7G124000.1.p	Dm_00000927-RA
OG0000055	Bevul.4G037900.1.p	Dm_00000848-RA
OG0000055	Bevul.8G057600.1.p	Dm_00006448-RA, Dm_00014246-RA
OG0000055	Bevul.2G111100.1.p, Bevul.2G111100.2.p, Bevul.7G220300.1.p	Dm_00011186-RA
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p	Dm_00001789-RA, Dm_00000773-RA
OG0000059	Bevul.4G210500.1.p	Dm_00007673-RA
OG0000060	Bevul.4G032400.1.p, Bevul.6G106000.1.p, Bevul.1G069200.1.p, Bevul.4G140200.1.p, Bevul.2G183900.1.p, Bevul.2G179300.1.p, Bevul.5G113600.1.p, Bevul.9G154900.1.p, Bevul.7G122300.1.p, Bevul.7G087000.1.p, Bevul.6G130000.1.p, Bevul.3G157500.1.p, Bevul.9G041500.1.p	Dm_00014611-RA
OG0000060	Bevul.9G085600.1.p, Bevul.2G113300.1.p, Bevul.5G158700.1.p, Bevul.6G112500.1.p, Bevul.3G135000.1.p, Bevul.2G050500.1.p, Bevul.6G192600.1.p, Bevul.1G032500.1.p, Bevul.6G224900.1.p, Bevul.2G017000.1.p, Bevul.9G096800.1.p, Bevul.1G082000.1.p, Bevul.7G051800.1.p, Bevul.2G125300.1.p, Bevul.4G094800.1.p, Bevul.5G182700.1.p, Bevul.2G234000.1.p, Bevul.5G136200.1.p, Bevul.3G152200.1.p, Bevul.3G185000.1.p, Bevul.8G086400.1.p, Bevul.6G063000.1.p, Bevul.8G098000.1.p, Bevul.7G155700.1.p, Bevul.3G150400.1.p, Bevul.2G136500.1.p, Bevul.3G161000.1.p, Bevul.5G158800.1.p, Bevul.9G084200.1.p, Bevul.4G140300.1.p, Bevul.7G174300.1.p, Bevul.4G135800.1.p, Bevul.6G178600.1.p, Bevul.7G075500.1.p, Bevul.1G030200.1.p, Bevul.6G164700.1.p, Bevul.1G030100.1.p, Bevul.8G107100.1.p, Bevul.7G151700.1.p, Bevul.9G069700.1.p, Bevul.7G057400.1.p, Bevul.5G087900.1.p, Bevul.5G114800.1.p, Bevul.5G092900.1.p, Bevul.1G103000.1.p, Bevul.5G227500.1.p, Bevul.6G137600.1.p, Bevul.4G111400.1.p, Bevul.4G143400.1.p, Bevul.9G051300.1.p, Bevul.8G151700.1.p, Bevul.2G048400.1.p, Bevul.7G080500.1.p, Bevul.4G113200.1.p, Bevul.6G129900.1.p, Bevul.1G069400.1.p, Bevul.3G132800.1.p, Bevul.6G103300.1.p, Bevul.8G063200.1.p, Bevul.6G115000.1.p, Bevul.4G085700.1.p, Bevul.4G106200.1.p, Bevul.1G049200.1.p, Bevul.6G110300.1.p, Bevul.6G149300.1.p	Dm_00011321-RA
OG0000060	Bevul.8G022700.1.p	Dm_00006664-RA, Dm_00009640-RA, Dm_00017358-RA, Dm_00010891-RA
OG0000060	Bevul.7G086100.1.p	Dm_00011116-RA
OG0000060	Bevul.7G048400.1.p	Dm_00010462-RA
OG0000060	Bevul.1G063200.1.p, Bevul.9G077400.1.p, Bevul.1G057800.1.p, Bevul.1G013600.1.p	Dm_00009641-RA
OG0000063	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p	Dm_00017284-RA, Dm_00001327-RA
OG0000063	Bevul.7G222300.1.p, Bevul.7G222600.1.p, Bevul.7G222500.1.p, Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p	Dm_00000040-RA
OG0000063	Bevul.2G185200.1.p, Bevul.2G185200.2.p	Dm_00016579-RA, Dm_00009436-RA
OG0000065	Bevul.3G163400.1.p	Dm_00018921-RA
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p	Dm_00004643-RA, Dm_00004223-RA
OG0000067	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p	Dm_00011275-RA
OG0000070	Bevul.6G213100.1.p, Bevul.2G233700.1.p	Dm_00008155-RA
OG0000071	Bevul.7G142600.1.p	Dm_00001685-RA
OG0000071	Bevul.7G048700.2.p, Bevul.7G048700.1.p	Dm_00016304-RA
OG0000071	Bevul.3G133800.1.p	Dm_00012616-RA
OG0000071	Bevul.3G170700.1.p	Dm_00019310-RA
OG0000071	Bevul.7G121800.1.p	Dm_00008368-RA, Dm_00000932-RA
OG0000072	Bevul.4G070000.1.p, Bevul.4G070600.1.p, Bevul.4G070200.1.p, Bevul.4G241400.1.p, Bevul.6G033000.1.p, Bevul.4G241200.1.p	Dm_00019149-RA
OG0000075	Bevul.8G087100.1.p	Dm_00016096-RA, Dm_00020819-RA, Dm_00020574-RA, Dm_00019027-RA
OG0000075	Bevul.2G091500.1.p	Dm_00009838-RA, Dm_00018522-RA, Dm_00015436-RA
OG0000075	Bevul.9G081500.1.p	Dm_00001719-RA
OG0000075	Bevul.7G079700.1.p, Bevul.6G120700.1.p, Bevul.2G100200.1.p	Dm_00018466-RA
OG0000077	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p	Dm_00004852-RA, Dm_00021132-RA
OG0000077	Bevul.4G245600.1.p	Dm_00009375-RA
OG0000078	Bevul.1G103100.1.p, Bevul.9G153800.1.p, Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA
OG0000085	Bevul.8G140500.1.p	Dm_00002079-RA, Dm_00008755-RA
OG0000085	Bevul.7G169300.1.p, Bevul.7G169200.1.p	Dm_00018382-RA, Dm_00014711-RA
OG0000085	Bevul.2G000300.1.p	Dm_00000001-RA
OG0000085	Bevul.2G120700.1.p	Dm_00021097-RA
OG0000085	Bevul.4G250700.1.p	Dm_00020301-RA
OG0000085	Bevul.5G108500.1.p	Dm_00011328-RA
OG0000086	Bevul.1G040000.1.p	Dm_00010883-RA
OG0000087	Bevul.3G206400.1.p	Dm_00009408-RA
OG0000087	Bevul.1G116200.1.p	Dm_00012409-RA
OG0000087	Bevul.6G246200.1.p	Dm_00020143-RA, Dm_00002856-RA
OG0000088	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p	Dm_00006025-RA
OG0000088	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p, Bevul.8G074400.1.p	Dm_00016161-RA
OG0000089	Bevul.9G199700.1.p	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	Bevul.2G018800.1.p	Dm_00000623-RA
OG0000089	Bevul.8G186400.1.p	Dm_00001050-RA
OG0000090	Bevul.6G147700.1.p, Bevul.6G173400.1.p	Dm_00004995-RA
OG0000091	Bevul.3G230400.1.p, Bevul.3G229900.1.p, Bevul.3G229800.1.p	Dm_00002549-RA, Dm_00011577-RA
OG0000091	Bevul.8G117100.1.p	Dm_00004862-RA
OG0000091	Bevul.7G053900.1.p	Dm_00000624-RA, Dm_00001319-RA
OG0000091	Bevul.1G098700.1.p, Bevul.1G099000.1.p, Bevul.1G098800.1.p, Bevul.5G151700.1.p, Bevul.5G151600.1.p, Bevul.2G055300.1.p, Bevul.2G055200.1.p	Dm_00002331-RA
OG0000092	Bevul.2G192400.1.p	Dm_00004449-RA, Dm_00015857-RA, Dm_00000793-RA, Dm_00002769-RA, Dm_00003361-RA, Dm_00014668-RA, Dm_00004450-RA, Dm_00010933-RA, Dm_00009686-RA, Dm_00002757-RA, Dm_00016581-RA, Dm_00003364-RA, Dm_00004447-RA, Dm_00013178-RA, Dm_00009687-RA, Dm_00003365-RA, Dm_00009688-RA, Dm_00003218-RA
OG0000092	Bevul.5G086800.1.p	Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA
OG0000092	Bevul.2G014200.1.p, Bevul.2G012200.1.p	Dm_00002958-RA
OG0000095	Bevul.7G228500.1.p	Dm_00013674-RA
OG0000095	Bevul.4G035700.1.p	Dm_00001105-RA
