Orthogroup	D_spatulata.proteins	P_amilis.proteins
OG0000021	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA	FUN_040982-T1, FUN_040985-T1, FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1
OG0000022	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA	FUN_017760-T1, FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1, FUN_017754-T1, FUN_017828-T1, FUN_017840-T1, FUN_017838-T1
OG0000022	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1
OG0000023	Ds_00016053-RA	FUN_024429-T1, FUN_024427-T1, FUN_024428-T1, FUN_024433-T1, FUN_024431-T1, FUN_024415-T1
OG0000024	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA, Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1
OG0000024	Ds_00007357-RA, Ds_00007354-RA	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1
OG0000024	Ds_00014538-RA	FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1
OG0000025	Ds_00000314-RA	FUN_050791-T1, FUN_051656-T1
OG0000025	Ds_00008906-RA, Ds_00008905-RA	FUN_050780-T1, FUN_050779-T1
OG0000025	Ds_00011235-RA	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1
OG0000026	Ds_00006582-RA	FUN_028423-T2, FUN_028423-T1, FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1
OG0000026	Ds_00001373-RA	FUN_046668-T1, FUN_045871-T1
OG0000026	Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA	FUN_045879-T1, FUN_046852-T1, FUN_045873-T1
OG0000026	Ds_00016879-RA, Ds_00016881-RA, Ds_00001374-RA	FUN_046670-T1, FUN_045872-T1, FUN_045870-T1
OG0000026	Ds_00018009-RA, Ds_00018041-RA, Ds_00015619-RA	FUN_046452-T1, FUN_046453-T1, FUN_046749-T1, FUN_020280-T1, FUN_045755-T1
OG0000027	Ds_00016246-RA, Ds_00016163-RA, Ds_00002306-RA, Ds_00000646-RA, Ds_00007953-RA, Ds_00009832-RA, Ds_00007193-RA	FUN_047527-T1
OG0000027	Ds_00015071-RA	FUN_011010-T2, FUN_011010-T1
OG0000028	Ds_00010076-RA, Ds_00010074-RA	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1, FUN_050972-T1, FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1, FUN_010675-T1, FUN_011515-T1, FUN_011513-T2, FUN_011513-T3, FUN_011513-T1, FUN_011518-T1, FUN_011514-T1, FUN_050956-T1
OG0000028	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1
OG0000028	Ds_00011377-RA, Ds_00011385-RA	FUN_050955-T1, FUN_011516-T1
OG0000029	Ds_00010871-RA, Ds_00010870-RA	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1
OG0000029	Ds_00005993-RA	FUN_012166-T1
OG0000029	Ds_00008364-RA, Ds_00015383-RA	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1
OG0000029	Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA	FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1
OG0000030	Ds_00015041-RA	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1
OG0000031	Ds_00009829-RA, Ds_00009830-RA	FUN_020443-T1, FUN_030704-T1, FUN_027306-T1, FUN_052133-T1, FUN_045055-T1, FUN_024196-T1, FUN_043727-T1, FUN_002224-T1
OG0000031	Ds_00004983-RA, Ds_00004982-RA	FUN_009433-T1
OG0000031	Ds_00001472-RA	FUN_009434-T1
OG0000031	Ds_00000354-RA, Ds_00000355-RA	FUN_038338-T1
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1
OG0000034	Ds_00010208-RA, Ds_00015077-RA	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1
OG0000034	Ds_00015914-RA	FUN_012547-T1
OG0000037	Ds_00010987-RA, Ds_00009807-RA	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1
OG0000037	Ds_00015216-RA	FUN_000651-T1
OG0000038	Ds_00017774-RA	FUN_037585-T1, FUN_025377-T1
OG0000038	Ds_00003815-RA	FUN_025082-T1
OG0000038	Ds_00005791-RA, Ds_00009691-RA, Ds_00013784-RA, Ds_00013785-RA	FUN_050347-T1
OG0000038	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1
OG0000040	Ds_00008461-RA, Ds_00008462-RA	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1
OG0000041	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA	FUN_051962-T1, FUN_045720-T1
OG0000041	Ds_00006251-RA	FUN_002730-T1
OG0000041	Ds_00016658-RA	FUN_016739-T1
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	FUN_010340-T1
OG0000041	Ds_00016022-RA, Ds_00000091-RA	FUN_027799-T1
OG0000041	Ds_00006077-RA	FUN_003721-T1
OG0000042	Ds_00012464-RA	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1
OG0000042	Ds_00015505-RA	FUN_047986-T1
OG0000042	Ds_00007701-RA	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1
OG0000043	Ds_00000548-RA, Ds_00002531-RA	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1
OG0000043	Ds_00002532-RA	FUN_024185-T1, FUN_024184-T1, FUN_024186-T1, FUN_024187-T1, FUN_024769-T1, FUN_030446-T1, FUN_030447-T1, FUN_041873-T1, FUN_041870-T1, FUN_041871-T1, FUN_041872-T1, FUN_041876-T1, FUN_041875-T1, FUN_025703-T1
OG0000044	Ds_00010910-RA, Ds_00011206-RA	FUN_001129-T1
OG0000044	Ds_00007873-RA	FUN_001565-T1
OG0000044	Ds_00005439-RA	FUN_020670-T1
OG0000044	Ds_00005440-RA	FUN_050016-T1
OG0000044	Ds_00008781-RA	FUN_039424-T1
OG0000044	Ds_00008624-RA	FUN_050905-T1
OG0000045	Ds_00009752-RA	FUN_028651-T1, FUN_008915-T1, FUN_023500-T1, FUN_053058-T1, FUN_043753-T1, FUN_023687-T1
OG0000046	Ds_00016515-RA, Ds_00004346-RA	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1
OG0000046	Ds_00010906-RA, Ds_00011215-RA	FUN_001154-T1, FUN_030219-T1
OG0000046	Ds_00013053-RA	FUN_015529-T1, FUN_026427-T1
OG0000046	Ds_00008610-RA	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2
OG0000046	Ds_00008496-RA, Ds_00012090-RA	FUN_016469-T1, FUN_029956-T1
OG0000046	Ds_00000726-RA	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1
OG0000047	Ds_00001929-RA	FUN_016927-T1, FUN_029662-T1
OG0000047	Ds_00000182-RA	FUN_027211-T1
OG0000047	Ds_00013036-RA	FUN_052024-T1
OG0000047	Ds_00005948-RA	FUN_044316-T1
OG0000047	Ds_00000942-RA	FUN_008876-T2
OG0000047	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA	FUN_025284-T1
OG0000047	Ds_00008795-RA, Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA	FUN_011417-T1
OG0000048	Ds_00015046-RA, Ds_00014049-RA, Ds_00014050-RA, Ds_00014051-RA, Ds_00011988-RA	FUN_011943-T1, FUN_021004-T1
OG0000050	Ds_00011184-RA	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1
OG0000050	Ds_00006666-RA, Ds_00008163-RA	FUN_001245-T1
OG0000050	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA	FUN_053188-T1, FUN_053188-T2
OG0000051	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA	FUN_053077-T1, FUN_053100-T1
OG0000051	Ds_00017962-RA, Ds_00009669-RA	FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1
OG0000051	Ds_00014341-RA	FUN_009537-T1, FUN_027836-T1
OG0000055	Ds_00010593-RA	FUN_025259-T1, FUN_025259-T2
OG0000055	Ds_00014521-RA	FUN_020259-T1
OG0000055	Ds_00001014-RA	FUN_043526-T1, FUN_024966-T1
OG0000055	Ds_00002955-RA	FUN_045967-T1, FUN_049882-T1
OG0000055	Ds_00001660-RA	FUN_007699-T1
OG0000058	Ds_00011609-RA, Ds_00005255-RA	FUN_009655-T1, FUN_009655-T2
OG0000058	Ds_00002067-RA	FUN_000928-T1
OG0000058	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	FUN_020519-T1, FUN_000927-T1
OG0000059	Ds_00015524-RA, Ds_00015528-RA	FUN_020369-T1, FUN_020373-T1, FUN_020369-T2, FUN_020377-T1, FUN_020374-T1
OG0000059	Ds_00013734-RA	FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1
OG0000059	Ds_00013728-RA	FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1
OG0000060	Ds_00017662-RA	FUN_053171-T1
OG0000063	Ds_00001207-RA, Ds_00010181-RA	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1
OG0000063	Ds_00014318-RA	FUN_029304-T1
OG0000065	Ds_00009318-RA, Ds_00016604-RA	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA	FUN_027482-T1
OG0000070	Ds_00016135-RA	FUN_010235-T2, FUN_038594-T1
OG0000070	Ds_00010078-RA	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1
OG0000070	Ds_00001412-RA, Ds_00010928-RA	FUN_038597-T1
OG0000071	Ds_00003826-RA	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1
OG0000071	Ds_00005567-RA	FUN_045262-T1
OG0000071	Ds_00002033-RA	FUN_006200-T1
OG0000071	Ds_00013248-RA, Ds_00007141-RA	FUN_005720-T1
OG0000071	Ds_00006568-RA	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2
OG0000071	Ds_00012035-RA, Ds_00010724-RA	FUN_032036-T1
OG0000072	Ds_00000109-RA	FUN_036484-T1, FUN_011884-T1, FUN_036491-T1, FUN_036489-T1, FUN_029141-T1, FUN_011881-T1
OG0000072	Ds_00017713-RA	FUN_049826-T1
OG0000073	Ds_00002589-RA	FUN_040168-T1
OG0000073	Ds_00002588-RA, Ds_00011442-RA	FUN_007747-T1
OG0000075	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA	FUN_053122-T1, FUN_053198-T1
OG0000075	Ds_00012460-RA, Ds_00010695-RA	FUN_005764-T1
OG0000076	Ds_00004958-RA	FUN_021898-T1, FUN_042051-T1, FUN_032174-T1, FUN_047060-T1, FUN_030675-T1, FUN_029162-T1, FUN_026104-T1, FUN_007816-T1, FUN_023546-T1, FUN_033496-T1, FUN_048289-T1, FUN_041797-T1, FUN_012690-T1, FUN_040419-T1, FUN_038716-T1, FUN_018002-T1, FUN_014882-T1, FUN_006014-T1, FUN_029617-T1, FUN_012389-T1, FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1, FUN_052590-T1, FUN_032879-T1, FUN_020273-T1, FUN_032942-T1, FUN_045100-T1, FUN_047103-T1, FUN_038886-T1, FUN_001158-T1, FUN_034641-T1, FUN_004883-T1, FUN_001989-T1, FUN_018147-T1, FUN_020267-T1, FUN_029677-T1, FUN_006263-T1, FUN_036010-T1, FUN_049769-T1, FUN_020684-T1, FUN_045843-T1, FUN_041680-T1, FUN_026563-T1, FUN_008655-T1, FUN_001810-T1, FUN_016859-T1, FUN_037603-T1, FUN_007989-T1, FUN_036065-T1, FUN_049253-T1, FUN_050980-T1, FUN_023822-T1, FUN_037806-T1, FUN_051438-T1, FUN_016257-T1, FUN_005236-T1, FUN_018146-T1, FUN_038753-T1, FUN_043921-T1, FUN_033899-T1, FUN_016695-T1, FUN_050571-T1, FUN_052464-T1, FUN_019910-T1, FUN_024278-T1, FUN_006264-T1, FUN_038183-T1, FUN_019359-T1, FUN_026269-T1, FUN_015273-T1, FUN_041773-T1, FUN_003908-T1, FUN_030844-T1, FUN_045193-T1, FUN_009909-T1, FUN_001826-T1, FUN_029709-T1, FUN_020726-T1, FUN_017024-T1, FUN_005730-T1, FUN_015794-T1, FUN_040754-T1, FUN_023607-T1, FUN_020926-T1, FUN_001244-T1, FUN_041593-T1, FUN_051211-T1, FUN_038103-T1, FUN_035957-T1, FUN_029766-T1, FUN_018392-T1, FUN_010513-T1, FUN_041319-T1, FUN_014955-T1, FUN_011939-T1, FUN_029338-T1, FUN_006396-T1, FUN_027881-T1, FUN_048737-T1, FUN_025793-T1, FUN_037866-T1, FUN_020480-T1, FUN_000168-T1, FUN_002310-T1, FUN_017423-T1, FUN_017093-T1, FUN_028430-T1, FUN_002574-T1, FUN_052380-T1, FUN_009231-T1, FUN_037969-T1, FUN_042845-T1, FUN_012766-T1, FUN_043189-T1, FUN_043920-T1, FUN_040136-T1, FUN_012861-T1
OG0000077	Ds_00000030-RA, Ds_00000031-RA	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1
OG0000077	Ds_00006087-RA	FUN_000256-T1
OG0000077	Ds_00011039-RA	FUN_033024-T1
OG0000078	Ds_00009717-RA	FUN_030618-T1
OG0000078	Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA	FUN_041364-T1, FUN_011520-T1
OG0000084	Ds_00017343-RA	FUN_028502-T1, FUN_028512-T1, FUN_046448-T1, FUN_046447-T1, FUN_046444-T1, FUN_046450-T1, FUN_046449-T1, FUN_046445-T1
OG0000085	Ds_00013315-RA	FUN_041708-T1, FUN_028183-T1
OG0000085	Ds_00002345-RA	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1
OG0000085	Ds_00006817-RA	FUN_007810-T1
OG0000085	Ds_00003374-RA	FUN_005979-T1, FUN_044617-T1
OG0000085	Ds_00013221-RA, Ds_00016552-RA	FUN_003118-T1
OG0000085	Ds_00007391-RA	FUN_041849-T1
OG0000087	Ds_00000857-RA	FUN_004476-T1, FUN_032711-T1
OG0000087	Ds_00012134-RA, Ds_00012132-RA	FUN_038676-T1, FUN_038676-T2
OG0000087	Ds_00015816-RA, Ds_00008978-RA	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1
OG0000089	Ds_00000919-RA, Ds_00000698-RA	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4
OG0000089	Ds_00014281-RA, Ds_00009910-RA	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4
OG0000090	Ds_00003959-RA	FUN_052301-T2, FUN_052301-T1
OG0000090	Ds_00008033-RA, Ds_00010488-RA	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2
OG0000091	Ds_00005720-RA, Ds_00012613-RA	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1
OG0000091	Ds_00000663-RA	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1
OG0000092	Ds_00007208-RA	FUN_050902-T1
OG0000092	Ds_00013213-RA, Ds_00006795-RA	FUN_017545-T1, FUN_017554-T1, FUN_017547-T1
OG0000092	Ds_00014224-RA, Ds_00014213-RA	FUN_017453-T1, FUN_018071-T1, FUN_014526-T1, FUN_014403-T1, FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1, FUN_015368-T1, FUN_013968-T1
OG0000093	Ds_00002167-RA	FUN_007585-T1, FUN_008357-T1
OG0000093	Ds_00007179-RA	FUN_023486-T1
OG0000093	Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA	FUN_015864-T1, FUN_007588-T1
OG0000095	Ds_00016626-RA	FUN_053310-T2, FUN_053310-T1
OG0000095	Ds_00005433-RA	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4
OG0000095	Ds_00005415-RA	FUN_053289-T2, FUN_053289-T1
OG0000096	Ds_00011884-RA, Ds_00011885-RA	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1
OG0000097	Ds_00008970-RA	FUN_010778-T1
OG0000097	Ds_00011731-RA	FUN_023814-T1
OG0000098	Ds_00000511-RA	FUN_024139-T1
OG0000098	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA	FUN_036291-T1
OG0000098	Ds_00010103-RA	FUN_048014-T1
OG0000099	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA	FUN_007844-T1, FUN_007845-T1
OG0000099	Ds_00012557-RA	FUN_004319-T1, FUN_000816-T1, FUN_004293-T1
OG0000101	Ds_00008372-RA	FUN_053190-T1
OG0000102	Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA	FUN_043426-T1
OG0000102	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA	FUN_036782-T1, FUN_036783-T1
OG0000102	Ds_00011502-RA, Ds_00015916-RA	FUN_036786-T1
OG0000103	Ds_00007541-RA	FUN_046694-T1, FUN_046694-T2, FUN_011723-T1, FUN_046785-T1
OG0000103	Ds_00015206-RA, Ds_00015118-RA	FUN_008761-T1, FUN_008761-T2
OG0000104	Ds_00015579-RA	FUN_020265-T1
OG0000104	Ds_00015800-RA, Ds_00015801-RA	FUN_022997-T1
OG0000105	Ds_00014085-RA	FUN_046429-T1, FUN_046432-T1
OG0000105	Ds_00008720-RA, Ds_00016969-RA	FUN_039134-T1
OG0000105	Ds_00015702-RA	FUN_049962-T1
OG0000107	Ds_00008559-RA	FUN_020121-T2, FUN_020121-T1
OG0000108	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1
OG0000108	Ds_00004396-RA	FUN_034902-T1
OG0000109	Ds_00000324-RA	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2
OG0000109	Ds_00013208-RA	FUN_031066-T1, FUN_025571-T1
OG0000109	Ds_00000125-RA	FUN_038539-T1
OG0000110	Ds_00010855-RA	FUN_020206-T1
OG0000110	Ds_00011944-RA	FUN_043352-T1, FUN_027217-T1
OG0000112	Ds_00016959-RA, Ds_00016949-RA	FUN_048674-T1
OG0000113	Ds_00016297-RA	FUN_036924-T1
OG0000113	Ds_00011325-RA	FUN_040152-T1, FUN_040153-T1
OG0000114	Ds_00015893-RA, Ds_00015892-RA	FUN_008529-T1, FUN_008532-T1, FUN_008538-T1, FUN_008540-T1, FUN_035476-T1, FUN_035471-T1, FUN_035477-T1, FUN_035473-T1, FUN_035478-T2, FUN_035478-T1, FUN_035478-T3, FUN_046590-T1, FUN_046591-T1, FUN_021823-T2, FUN_021823-T1, FUN_030024-T1, FUN_027385-T1
OG0000115	Ds_00012650-RA	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1
OG0000115	Ds_00009366-RA	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1, FUN_004395-T1, FUN_004390-T1
OG0000115	Ds_00003925-RA, Ds_00003924-RA	FUN_043606-T1, FUN_043605-T1
OG0000116	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA	FUN_011257-T1
OG0000117	Ds_00008529-RA	FUN_046833-T1, FUN_046834-T1, FUN_046830-T1, FUN_046836-T1, FUN_016578-T1, FUN_046831-T1, FUN_046842-T1, FUN_046844-T1, FUN_046840-T1, FUN_046839-T1, FUN_046838-T1, FUN_024371-T1, FUN_046825-T1, FUN_046829-T1, FUN_046841-T1, FUN_046824-T1, FUN_046826-T1, FUN_020513-T1, FUN_001316-T1, FUN_001319-T1, FUN_001321-T1, FUN_015683-T1, FUN_020368-T1, FUN_020378-T1
OG0000118	Ds_00011668-RA	FUN_018231-T1
OG0000118	Ds_00006827-RA	FUN_037349-T1, FUN_024743-T1
OG0000118	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA	FUN_008995-T1, FUN_013730-T1, FUN_013730-T2
OG0000118	Ds_00002816-RA	FUN_031123-T1, FUN_051972-T1
