Orthogroup	D_spatulata.proteins	A_vesiculosa.proteins
OG0000042	Ds_00007701-RA	Av_00009478-RA, Av_00008427-RA
OG0000044	Ds_00010910-RA, Ds_00011206-RA	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	Ds_00007873-RA	Av_00016449-RA
OG0000044	Ds_00008781-RA	Av_00012555-RA, Av_00002870-RA
OG0000044	Ds_00012803-RA	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA
OG0000044	Ds_00008624-RA	Av_00002322-RA, Av_00009708-RA
OG0000046	Ds_00016515-RA, Ds_00004346-RA	Av_00004429-RA, Av_00012280-RA
OG0000046	Ds_00010906-RA, Ds_00011215-RA	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA
OG0000046	Ds_00013053-RA	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	Ds_00008610-RA	Av_00002747-RA
OG0000046	Ds_00008496-RA, Ds_00012090-RA	Av_00009129-RA, Av_00005749-RA
OG0000046	Ds_00000726-RA	Av_00024073-RA, Av_00006807-RA
OG0000047	Ds_00001929-RA	Av_00021683-RA
OG0000047	Ds_00013036-RA	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA
OG0000047	Ds_00005948-RA	Av_00024563-RA
OG0000047	Ds_00000942-RA	Av_00018720-RA
OG0000047	Ds_00008795-RA	Av_00011450-RA, Av_00000054-RA
OG0000047	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA	Av_00015234-RA, Av_00010903-RA
OG0000047	Ds_00004014-RA	Av_00011809-RA
OG0000048	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA	Av_00020140-RA
OG0000048	Ds_00015046-RA	Av_00019438-RA
OG0000048	Ds_00014304-RA	Av_00005053-RA, Av_00010310-RA
OG0000050	Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA	Av_00012807-RA, Av_00021668-RA
OG0000050	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA	Av_00002378-RA
OG0000050	Ds_00016172-RA	Av_00024445-RA
OG0000051	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA	Av_00024209-RA, Av_00016836-RA
OG0000051	Ds_00002936-RA, Ds_00016530-RA	Av_00010341-RA
OG0000051	Ds_00007321-RA	Av_00016049-RA
OG0000055	Ds_00010593-RA	Av_00002758-RA
OG0000055	Ds_00014521-RA	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000055	Ds_00001014-RA	Av_00017818-RA
OG0000055	Ds_00002955-RA	Av_00024743-RA, Av_00019729-RA
OG0000055	Ds_00001660-RA	Av_00016413-RA, Av_00013445-RA
OG0000058	Ds_00011609-RA, Ds_00005255-RA	Av_00008430-RA
OG0000058	Ds_00002073-RA	Av_00002928-RA
OG0000059	Ds_00013728-RA	Av_00013645-RA
OG0000060	Ds_00012663-RA	Av_00002915-RA
OG0000063	Ds_00001207-RA	Av_00002221-RA
OG0000063	Ds_00010181-RA	Av_00017394-RA, Av_00017390-RA, Av_00017389-RA
OG0000063	Ds_00014318-RA	Av_00005674-RA
OG0000065	Ds_00009318-RA, Ds_00016604-RA	Av_00001967-RA
OG0000067	Ds_00004112-RA	Av_00014269-RA, Av_00010147-RA
OG0000067	Ds_00014586-RA, Ds_00005210-RA	Av_00012703-RA, Av_00018513-RA
OG0000067	Ds_00010296-RA	Av_00002873-RA
OG0000067	Ds_00015402-RA	Av_00024311-RA, Av_00023884-RA
OG0000070	Ds_00003633-RA	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA
OG0000070	Ds_00016135-RA	Av_00000389-RA
OG0000070	Ds_00010078-RA	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000070	Ds_00014701-RA	Av_00006141-RA, Av_00020546-RA
OG0000071	Ds_00003826-RA	Av_00011182-RA, Av_00001686-RA
OG0000071	Ds_00005567-RA	Av_00009962-RA
OG0000071	Ds_00002033-RA	Av_00021173-RA
OG0000071	Ds_00013248-RA	Av_00000661-RA, Av_00023726-RA
OG0000071	Ds_00007141-RA	Av_00013211-RA, Av_00018792-RA
OG0000071	Ds_00006568-RA	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA
OG0000071	Ds_00012035-RA, Ds_00010724-RA	Av_00002646-RA, Av_00005357-RA
OG0000072	Ds_00000109-RA	Av_00011117-RA, Av_00011868-RA, Av_00016563-RA, Av_00011359-RA, Av_00007236-RA, Av_00007010-RA
OG0000073	Ds_00002589-RA	Av_00025085-RA, Av_00024865-RA, Av_00023889-RA, Av_00024854-RA, Av_00017819-RA
OG0000073	Ds_00002588-RA, Ds_00011442-RA	Av_00025098-RA, Av_00023706-RA, Av_00024625-RA, Av_00025117-RA, Av_00024856-RA, Av_00024965-RA, Av_00025011-RA, Av_00024566-RA, Av_00024850-RA, Av_00020639-RA, Av_00023891-RA, Av_00024670-RA, Av_00025020-RA, Av_00017209-RA, Av_00015297-RA, Av_00024293-RA, Av_00016834-RA, Av_00023004-RA, Av_00023479-RA, Av_00025099-RA, Av_00019845-RA, Av_00024980-RA, Av_00017464-RA, Av_00025019-RA, Av_00024417-RA
OG0000073	Ds_00008118-RA	Av_00024703-RA, Av_00024912-RA, Av_00025047-RA, Av_00024849-RA, Av_00019955-RA, Av_00023763-RA, Av_00025056-RA, Av_00024806-RA, Av_00025118-RA, Av_00024677-RA, Av_00025050-RA, Av_00023307-RA, Av_00023785-RA, Av_00025076-RA, Av_00023478-RA, Av_00019099-RA, Av_00025103-RA, Av_00024475-RA, Av_00024565-RA, Av_00022693-RA, Av_00021114-RA, Av_00021327-RA, Av_00024863-RA, Av_00024829-RA, Av_00018048-RA, Av_00024926-RA, Av_00023319-RA, Av_00022662-RA, Av_00024668-RA, Av_00024477-RA, Av_00021555-RA, Av_00019944-RA, Av_00018093-RA, Av_00024855-RA, Av_00017325-RA, Av_00024805-RA, Av_00022373-RA, Av_00014794-RA, Av_00025046-RA, Av_00024749-RA, Av_00024985-RA, Av_00025084-RA, Av_00019024-RA, Av_00024645-RA, Av_00024815-RA, Av_00021336-RA, Av_00023269-RA, Av_00019495-RA, Av_00024886-RA, Av_00020623-RA, Av_00021157-RA, Av_00024660-RA, Av_00024478-RA, Av_00023503-RA, Av_00021446-RA, Av_00022663-RA, Av_00024690-RA, Av_00024890-RA, Av_00024595-RA, Av_00016833-RA, Av_00024876-RA, Av_00024128-RA, Av_00024669-RA, Av_00024961-RA, Av_00025010-RA, Av_00025061-RA, Av_00022841-RA, Av_00024888-RA, Av_00024596-RA, Av_00024852-RA, Av_00024873-RA, Av_00024580-RA, Av_00023892-RA, Av_00012050-RA, Av_00025082-RA, Av_00024969-RA, Av_00024875-RA
OG0000075	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA, Av_00022830-RA
OG0000075	Ds_00012460-RA, Ds_00010695-RA	Av_00024003-RA
OG0000077	Ds_00000030-RA, Ds_00000031-RA	Av_00007275-RA
OG0000078	Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA
OG0000078	Ds_00006350-RA, Ds_00006352-RA, Ds_00006351-RA, Ds_00006353-RA, Ds_00010422-RA, Ds_00002738-RA, Ds_00002733-RA	Av_00008324-RA, Av_00008326-RA, Av_00008325-RA, Av_00008323-RA
OG0000078	Ds_00009717-RA	Av_00015019-RA
OG0000079	Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA	Av_00009274-RA
OG0000085	Ds_00013315-RA	Av_00009790-RA, Av_00008760-RA
OG0000085	Ds_00002345-RA	Av_00021920-RA, Av_00004097-RA
OG0000085	Ds_00006817-RA	Av_00005421-RA, Av_00002984-RA
OG0000085	Ds_00003374-RA	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000085	Ds_00013221-RA, Ds_00016552-RA	Av_00018975-RA
OG0000087	Ds_00000857-RA	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	Ds_00012134-RA, Ds_00012132-RA	Av_00020186-RA
OG0000087	Ds_00008978-RA	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	Av_00002335-RA, Av_00019465-RA
OG0000088	Ds_00011160-RA	Av_00003725-RA
OG0000089	Ds_00000919-RA	Av_00023663-RA, Av_00018159-RA
OG0000089	Ds_00000698-RA	Av_00004150-RA
OG0000089	Ds_00014281-RA, Ds_00009910-RA	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA
OG0000089	Ds_00000701-RA	Av_00007975-RA
OG0000090	Ds_00003959-RA	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA
OG0000090	Ds_00004417-RA	Av_00014172-RA, Av_00010636-RA
OG0000090	Ds_00008033-RA, Ds_00010488-RA	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA
OG0000091	Ds_00005720-RA, Ds_00012613-RA	Av_00024182-RA, Av_00022189-RA
OG0000091	Ds_00007917-RA	Av_00011058-RA, Av_00016851-RA
OG0000091	Ds_00009843-RA	Av_00004488-RA
OG0000091	Ds_00000663-RA	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA
OG0000092	Ds_00013213-RA, Ds_00006795-RA	Av_00005802-RA
OG0000092	Ds_00014224-RA, Ds_00014213-RA	Av_00005801-RA
OG0000093	Ds_00017546-RA, Ds_00017926-RA	Av_00020943-RA
OG0000093	Ds_00007179-RA	Av_00009079-RA, Av_00009080-RA
OG0000093	Ds_00017547-RA, Ds_00017551-RA	Av_00024091-RA
OG0000093	Ds_00015265-RA	Av_00008996-RA
OG0000093	Ds_00017793-RA	Av_00019964-RA
OG0000093	Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA	Av_00006037-RA
OG0000095	Ds_00016626-RA	Av_00016560-RA
OG0000095	Ds_00005433-RA	Av_00022745-RA, Av_00014819-RA
OG0000095	Ds_00005415-RA	Av_00015892-RA, Av_00013399-RA
OG0000096	Ds_00011884-RA, Ds_00011885-RA	Av_00015889-RA
OG0000096	Ds_00000525-RA	Av_00006885-RA
OG0000096	Ds_00009255-RA	Av_00009973-RA
OG0000097	Ds_00011731-RA	Av_00021109-RA
OG0000098	Ds_00000511-RA	Av_00009967-RA
OG0000098	Ds_00004278-RA, Ds_00000887-RA	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA
OG0000098	Ds_00001304-RA	Av_00020806-RA, Av_00006102-RA
OG0000098	Ds_00005755-RA, Ds_00009375-RA	Av_00003512-RA
OG0000098	Ds_00010103-RA	Av_00006162-RA, Av_00008431-RA
OG0000099	Ds_00016206-RA	Av_00015329-RA
OG0000099	Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA	Av_00014232-RA
OG0000102	Ds_00005815-RA	Av_00005016-RA
OG0000102	Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA	Av_00021401-RA
OG0000102	Ds_00006637-RA	Av_00010561-RA, Av_00025037-RA, Av_00025035-RA
OG0000103	Ds_00007541-RA	Av_00007835-RA, Av_00000217-RA
OG0000104	Ds_00015579-RA	Av_00018015-RA
OG0000104	Ds_00015800-RA, Ds_00015801-RA	Av_00015686-RA
OG0000105	Ds_00004427-RA	Av_00010637-RA, Av_00014174-RA
OG0000105	Ds_00011176-RA	Av_00007451-RA, Av_00003719-RA
OG0000105	Ds_00014085-RA	Av_00003052-RA, Av_00015716-RA
OG0000105	Ds_00008720-RA, Ds_00016969-RA	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA
OG0000106	Ds_00012991-RA	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA
OG0000107	Ds_00008559-RA	Av_00000247-RA
OG0000108	Ds_00017400-RA	Av_00010829-RA
OG0000108	Ds_00010757-RA	Av_00005367-RA
OG0000108	Ds_00004396-RA	Av_00003730-RA
OG0000109	Ds_00000324-RA	Av_00018758-RA, Av_00008820-RA
OG0000109	Ds_00013208-RA	Av_00021187-RA, Av_00001943-RA
OG0000109	Ds_00000125-RA	Av_00011101-RA, Av_00009901-RA
OG0000110	Ds_00010855-RA	Av_00020501-RA, Av_00008377-RA
OG0000110	Ds_00011944-RA	Av_00008370-RA, Av_00008371-RA
OG0000110	Ds_00016825-RA	Av_00011529-RA
OG0000112	Ds_00016959-RA, Ds_00016949-RA	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA
OG0000113	Ds_00004232-RA, Ds_00002603-RA	Av_00023507-RA
OG0000113	Ds_00011325-RA	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA
OG0000114	Ds_00015893-RA, Ds_00015892-RA	Av_00003668-RA, Av_00015326-RA
OG0000115	Ds_00012650-RA	Av_00020585-RA
OG0000115	Ds_00009366-RA	Av_00020146-RA
OG0000116	Ds_00014709-RA, Ds_00000291-RA	Av_00012531-RA
OG0000116	Ds_00010066-RA	Av_00002841-RA
OG0000116	Ds_00010358-RA	Av_00013418-RA
OG0000118	Ds_00006827-RA	Av_00017992-RA, Av_00017242-RA
OG0000118	Ds_00012570-RA	Av_00022902-RA
OG0000118	Ds_00015851-RA, Ds_00005679-RA	Av_00012860-RA, Av_00001648-RA, Av_00009432-RA
OG0000118	Ds_00002816-RA	Av_00007265-RA, Av_00013942-RA
OG0000119	Ds_00017833-RA	Av_00005945-RA
OG0000120	Ds_00011028-RA	Av_00014461-RA, Av_00022346-RA
OG0000120	Ds_00005529-RA	Av_00001195-RA, Av_00014395-RA
OG0000120	Ds_00006102-RA	Av_00011870-RA, Av_00007013-RA
OG0000120	Ds_00011026-RA	Av_00021880-RA
OG0000120	Ds_00014982-RA	Av_00022290-RA
OG0000120	Ds_00004593-RA	Av_00010880-RA
OG0000120	Ds_00015941-RA	Av_00020803-RA
OG0000121	Ds_00007035-RA	Av_00001370-RA
OG0000121	Ds_00010128-RA	Av_00015288-RA
OG0000121	Ds_00014897-RA	Av_00012522-RA
OG0000122	Ds_00007977-RA	Av_00015184-RA
OG0000122	Ds_00006648-RA	Av_00022651-RA, Av_00014602-RA, Av_00015420-RA
OG0000122	Ds_00016938-RA, Ds_00018075-RA	Av_00014454-RA, Av_00015160-RA, Av_00024373-RA, Av_00014603-RA, Av_00023686-RA
OG0000123	Ds_00017692-RA, Ds_00004523-RA	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA
OG0000123	Ds_00005553-RA	Av_00020305-RA, Av_00003479-RA, Av_00006755-RA, Av_00023019-RA
OG0000124	Ds_00009554-RA	Av_00010170-RA
OG0000125	Ds_00000896-RA	Av_00019160-RA, Av_00001507-RA
OG0000125	Ds_00004719-RA	Av_00006820-RA
OG0000125	Ds_00006202-RA	Av_00020356-RA
OG0000125	Ds_00006911-RA	Av_00016779-RA
OG0000126	Ds_00013847-RA, Ds_00012723-RA, Ds_00009887-RA, Ds_00012111-RA, Ds_00006203-RA, Ds_00012110-RA, Ds_00006204-RA	Av_00024260-RA
OG0000127	Ds_00000390-RA, Ds_00012730-RA	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA
OG0000127	Ds_00017651-RA	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA
OG0000129	Ds_00014831-RA, Ds_00009085-RA	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA
OG0000131	Ds_00008212-RA, Ds_00013324-RA	Av_00008767-RA
OG0000135	Ds_00011844-RA	Av_00023049-RA
OG0000135	Ds_00002569-RA	Av_00021246-RA, Av_00023855-RA
OG0000135	Ds_00000458-RA	Av_00017571-RA, Av_00013077-RA
OG0000135	Ds_00012779-RA	Av_00018331-RA
OG0000135	Ds_00003378-RA, Ds_00002564-RA	Av_00017962-RA, Av_00001097-RA
OG0000136	Ds_00000277-RA	Av_00023293-RA, Av_00020159-RA
OG0000137	Ds_00001512-RA, Ds_00014384-RA, Ds_00014967-RA, Ds_00014968-RA	Av_00012426-RA, Av_00009313-RA, Av_00015913-RA, Av_00010531-RA, Av_00010516-RA
OG0000138	Ds_00015264-RA	Av_00005734-RA, Av_00017291-RA
OG0000139	Ds_00013858-RA, Ds_00013856-RA	Av_00011998-RA
OG0000140	Ds_00002651-RA	Av_00019737-RA
OG0000143	Ds_00017988-RA	Av_00008537-RA
OG0000143	Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA	Av_00017945-RA, Av_00002008-RA
OG0000144	Ds_00006975-RA	Av_00016136-RA
OG0000144	Ds_00010956-RA, Ds_00003597-RA	Av_00001844-RA
OG0000145	Ds_00004600-RA	Av_00008637-RA, Av_00011445-RA
OG0000146	Ds_00014708-RA, Ds_00014704-RA, Ds_00014622-RA	Av_00013344-RA, Av_00023979-RA, Av_00020548-RA, Av_00020547-RA, Av_00006138-RA
OG0000146	Ds_00006085-RA	Av_00011999-RA
OG0000147	Ds_00010706-RA	Av_00019395-RA
OG0000147	Ds_00005844-RA	Av_00012705-RA, Av_00020525-RA
OG0000148	Ds_00010086-RA	Av_00019670-RA, Av_00006146-RA
OG0000148	Ds_00010778-RA	Av_00020556-RA, Av_00014073-RA
OG0000149	Ds_00012034-RA	Av_00001613-RA
OG0000149	Ds_00009210-RA	Av_00011501-RA
OG0000149	Ds_00006233-RA	Av_00016214-RA
OG0000152	Ds_00013693-RA	Av_00023873-RA, Av_00012587-RA, Av_00015693-RA, Av_00005098-RA
OG0000152	Ds_00007505-RA	Av_00022456-RA, Av_00006096-RA, Av_00005508-RA, Av_00013353-RA
OG0000153	Ds_00010298-RA	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA
OG0000153	Ds_00005175-RA	Av_00000144-RA, Av_00016947-RA
OG0000153	Ds_00014432-RA	Av_00001271-RA, Av_00015076-RA
OG0000154	Ds_00009050-RA	Av_00021482-RA, Av_00022567-RA, Av_00015465-RA
OG0000155	Ds_00014910-RA	Av_00001520-RA, Av_00013491-RA
OG0000155	Ds_00004721-RA	Av_00024885-RA, Av_00001519-RA
OG0000156	Ds_00000597-RA, Ds_00002488-RA	Av_00007919-RA, Av_00006858-RA
OG0000156	Ds_00003462-RA	Av_00024913-RA
OG0000156	Ds_00013706-RA, Ds_00008760-RA	Av_00019326-RA, Av_00011725-RA
OG0000157	Ds_00011121-RA	Av_00024921-RA
OG0000157	Ds_00000657-RA	Av_00010056-RA, Av_00007953-RA
OG0000157	Ds_00015738-RA	Av_00005838-RA
OG0000157	Ds_00009636-RA	Av_00007384-RA, Av_00003795-RA, Av_00021642-RA
OG0000159	Ds_00013623-RA, Ds_00013624-RA, Ds_00007406-RA, Ds_00013622-RA, Ds_00012539-RA	Av_00008586-RA
OG0000159	Ds_00004538-RA	Av_00009492-RA
OG0000160	Ds_00007481-RA	Av_00007416-RA
OG0000160	Ds_00013430-RA	Av_00022355-RA, Av_00022827-RA
OG0000161	Ds_00008227-RA, Ds_00008230-RA, Ds_00004514-RA, Ds_00013396-RA	Av_00019011-RA, Av_00019010-RA, Av_00019007-RA
OG0000162	Ds_00008464-RA	Av_00004972-RA
OG0000162	Ds_00006516-RA	Av_00007787-RA
OG0000163	Ds_00011543-RA	Av_00000797-RA, Av_00003444-RA
OG0000163	Ds_00000106-RA	Av_00007238-RA
OG0000163	Ds_00001076-RA, Ds_00007815-RA	Av_00004788-RA
OG0000163	Ds_00006949-RA	Av_00020340-RA
OG0000164	Ds_00016899-RA	Av_00009562-RA, Av_00022631-RA
OG0000164	Ds_00001238-RA	Av_00014947-RA
OG0000164	Ds_00007283-RA	Av_00009037-RA, Av_00021627-RA
OG0000165	Ds_00001766-RA	Av_00019533-RA
OG0000165	Ds_00010669-RA, Ds_00016594-RA, Ds_00017009-RA, Ds_00010643-RA, Ds_00010670-RA, Ds_00010647-RA	Av_00002454-RA, Av_00002373-RA
OG0000168	Ds_00006112-RA	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA
