HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N3.HOG0000027	OG0000018	n21			AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1									
N3.HOG0000028	OG0000018	n37								GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p				
N3.HOG0000029	OG0000018	n70								GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p				
N3.HOG0000030	OG0000018	n150								GmISU01.16G167400.1.p, GmISU01.16G167700.1.p				
N3.HOG0000031	OG0000021	n61								GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p				
N3.HOG0000032	OG0000021	n81								GmISU01.09G236300.1.p				
N3.HOG0000033	OG0000021	n95			AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1									
N3.HOG0000034	OG0000021	n175								GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p				
N3.HOG0000035	OG0000022	n3			AT5G07900.1					GmISU01.18G094000.2.p, GmISU01.18G094000.1.p, GmISU01.08G273600.1.p, GmISU01.08G273500.1.p, GmISU01.08G248900.1.p, GmISU01.18G094100.1.p, GmISU01.08G273400.1.p, GmISU01.18G094200.1.p, GmISU01.18G094400.1.p, GmISU01.18G094300.1.p, GmISU01.18G094300.2.p, GmISU01.18G094300.3.p, GmISU01.18G090800.1.p, GmISU01.08G272800.1.p, GmISU01.08G272700.2.p, GmISU01.18G094500.2.p, GmISU01.18G094500.1.p				
N3.HOG0000036	OG0000022	n20			AT1G21150.2, AT1G21150.1, AT1G21150.3									
N3.HOG0000037	OG0000022	n37								GmISU01.15G141400.1.p				
N3.HOG0000038	OG0000022	n102			AT5G64950.1					GmISU01.08G098000.1.p				
N3.HOG0000039	OG0000023	n2								GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p				
N3.HOG0000040	OG0000023	n52			AT3G12220.3, AT3G12220.1, AT3G12220.2, AT3G12240.1, AT3G12230.1, AT3G12203.3, AT3G12203.2, AT3G12203.1									
N3.HOG0000041	OG0000023	n61			AT1G33540.1, AT1G33540.2									
N3.HOG0000042	OG0000023	n121			AT2G22920.3									
N3.HOG0000043	OG0000023	n129			AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2									
N3.HOG0000044	OG0000023	n178			AT5G09640.1					GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p				
N3.HOG0000045	OG0000024	n25			AT1G17060.1									
N3.HOG0000046	OG0000024	n42								GmISU01.06G198800.2.p, GmISU01.06G198800.1.p				
N3.HOG0000047	OG0000024	n84								GmISU01.15G203300.1.p, GmISU01.15G203400.1.p, GmISU01.13G226000.1.p, GmISU01.13G240000.1.p, GmISU01.03G185200.1.p				
N3.HOG0000048	OG0000024	n92			AT3G14620.1, AT3G14680.1, AT3G14690.1, AT3G14690.2, AT3G14650.1, AT3G14660.1, AT3G14660.3, AT3G14640.2, AT3G14640.1, AT3G14630.1, AT3G14630.2, AT3G14610.1, AT3G14660.2									
N3.HOG0000049	OG0000025	n1			AT2G21210.1, AT2G21210.2					GmISU01.04G006500.1.p, GmISU01.06G006000.1.p, GmISU01.04G006600.1.p, GmISU01.06G006100.1.p				
N3.HOG0000050	OG0000025	n60								GmISU01.09G178800.1.p				
N3.HOG0000051	OG0000025	n61			AT4G34770.1					GmISU01.09G177900.1.p, GmISU01.12G030900.1.p				
N3.HOG0000052	OG0000025	n68								GmISU01.06G005700.1.p				
N3.HOG0000053	OG0000025	n84			AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1					GmISU01.09G180500.1.p, GmISU01.09G180200.1.p, GmISU01.12G032000.1.p, GmISU01.04G006200.2.p, GmISU01.04G006300.1.p				
N3.HOG0000054	OG0000025	n158								GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p				
N3.HOG0000055	OG0000026	n6			AT1G70080.1, AT5G48110.1					GmISU01.12G116800.1.p, GmISU01.12G116800.2.p, GmISU01.12G117100.1.p, GmISU01.12G117100.3.p, GmISU01.12G118100.1.p, GmISU01.12G118100.2.p, GmISU01.12G116900.2.p, GmISU01.12G116900.3.p, GmISU01.12G116900.4.p				
N3.HOG0000056	OG0000026	n23			AT5G23960.2, AT5G23960.1									
N3.HOG0000057	OG0000026	n143								GmISU01.12G181500.1.p, GmISU01.13G247600.1.p				
N3.HOG0000058	OG0000027	n6			AT2G24520.4, AT5G57350.3									
N3.HOG0000059	OG0000027	n60								GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p				
N3.HOG0000060	OG0000027	n74								GmISU01.13G043700.1.p, GmISU01.19G016900.1.p				
N3.HOG0000061	OG0000027	n76			AT3G47950.1, AT3G47950.2, AT5G62670.1									
N3.HOG0000062	OG0000027	n80			AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3					GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p				
N3.HOG0000063	OG0000027	n101								GmISU01.07G023600.4.p				
N3.HOG0000064	OG0000027	n108			AT1G17260.1					GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p				
N3.HOG0000065	OG0000027	n135								GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p				
N3.HOG0000066	OG0000027	n142			AT2G24520.3, AT2G24520.1, AT2G24520.2					GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p				
N3.HOG0000067	OG0000027	n150			AT2G18960.1, AT2G18960.3, AT2G18960.2, AT4G30190.2, AT4G30190.1, AT5G57350.4, AT5G57350.2, AT5G57350.1, AT4G11730.1									
N3.HOG0000068	OG0000027	n159			AT2G07560.1, AT3G42640.1					GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p				
N3.HOG0000069	OG0000027	n176			AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4					GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p				
N3.HOG0000070	OG0000028	n3			AT1G47890.1, AT1G45616.1									
N3.HOG0000071	OG0000028	n43								GmISU01.09G114900.1.p				
N3.HOG0000072	OG0000028	n119								GmISU01.14G143700.1.p				
N3.HOG0000073	OG0000028	n121								GmISU01.15G136000.1.p				
N3.HOG0000074	OG0000029	n28								GmISU01.04G201100.1.p, GmISU01.06G109100.1.p				
N3.HOG0000075	OG0000029	n34			AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1					GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p				
N3.HOG0000076	OG0000029	n84			AT1G22720.1					GmISU01.04G201000.1.p, GmISU01.04G201200.1.p, GmISU01.06G109000.1.p				
N3.HOG0000077	OG0000029	n88								GmISU01.09G026100.1.p				
N3.HOG0000078	OG0000030	n10								GmISU01.11G076400.1.p, GmISU01.01G123300.1.p				
N3.HOG0000079	OG0000030	n13			AT4G35680.1									
N3.HOG0000080	OG0000030	n14			AT4G35660.1					GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p				
N3.HOG0000081	OG0000030	n21			AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1					GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p				
N3.HOG0000082	OG0000030	n144			AT4G35710.1, AT4G35690.1, AT2G17680.1					GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p				
N3.HOG0000083	OG0000030	n183			AT4G35720.1					GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p				
N3.HOG0000084	OG0000031	n2			AT3G21950.2, AT3G21950.1, AT5G38020.2, AT5G38020.1, AT2G14060.2, AT2G14060.1, AT5G66430.1, AT5G04380.3, AT5G04380.1, AT5G04380.2, AT3G11480.1, AT5G04370.1, AT5G04370.2, AT5G04370.3									
N3.HOG0000085	OG0000031	n58								GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p				
N3.HOG0000086	OG0000031	n75								GmISU01.03G037000.1.p, GmISU01.03G055300.1.p				
N3.HOG0000087	OG0000031	n77								GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p				
N3.HOG0000088	OG0000031	n120								GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p				
N3.HOG0000089	OG0000031	n166			AT4G36470.1					GmISU01.01G054000.1.p, GmISU01.02G107300.1.p				
N3.HOG0000090	OG0000031	n180			AT1G19640.1					GmISU01.14G068000.1.p, GmISU01.17G219400.1.p				
N3.HOG0000091	OG0000032	n38			AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1					GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p				
N3.HOG0000092	OG0000032	n178								GmISU01.09G024800.1.p, GmISU01.15G122700.1.p, GmISU01.08G074300.1.p, GmISU01.05G102200.1.p				
N3.HOG0000093	OG0000034	n13			AT4G23320.2, AT4G23320.1, AT4G23320.3									
N3.HOG0000094	OG0000034	n16								GmISU01.20G104100.1.p				
N3.HOG0000095	OG0000034	n85			AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2					GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p				
N3.HOG0000096	OG0000034	n141			AT4G23220.1									
N3.HOG0000097	OG0000034	n150			AT4G38830.1					GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p				
N3.HOG0000098	OG0000037	n1			AT4G31950.1, AT4G31970.1, AT4G31940.1					GmISU01.04G033500.1.p				
N3.HOG0000099	OG0000037	n36								GmISU01.19G013000.1.p, GmISU01.13G046600.1.p, GmISU01.19G013200.2.p, GmISU01.19G013600.1.p, GmISU01.19G013400.1.p, GmISU01.13G046300.1.p, GmISU01.19G013300.1.p, GmISU01.19G013100.1.p, GmISU01.15G176900.1.p, GmISU01.13G247700.1.p, GmISU01.01G102900.1.p, GmISU01.02G070700.1.p, GmISU01.06G032400.1.p, GmISU01.04G033400.1.p				
N3.HOG0000100	OG0000037	n63								GmISU01.06G032200.1.p, GmISU01.06G032300.1.p				
N3.HOG0000101	OG0000037	n157			AT3G25180.1, AT3G25180.2					GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p				
N3.HOG0000102	OG0000037	n171								GmISU01.16G078400.1.p				
N3.HOG0000103	OG0000037	n175								GmISU01.01G143300.1.p, GmISU01.11G054400.1.p, GmISU01.11G054500.1.p, GmISU01.01G143400.1.p				
N3.HOG0000104	OG0000038	n11								GmISU01.04G152300.1.p				
N3.HOG0000105	OG0000038	n58			AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1					GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p				
N3.HOG0000106	OG0000040	n51			AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1									
N3.HOG0000107	OG0000040	n60								GmISU01.10G230300.1.p, GmISU01.11G143200.1.p				
N3.HOG0000108	OG0000040	n102								GmISU01.09G143800.1.p, GmISU01.07G085600.7.p, GmISU01.07G085600.3.p, GmISU01.07G085300.1.p, GmISU01.07G085300.3.p, GmISU01.07G085300.2.p, GmISU01.07G085200.1.p, GmISU01.07G085100.1.p, GmISU01.07G085100.2.p, GmISU01.07G085900.1.p, GmISU01.09G143600.2.p, GmISU01.09G143600.1.p, GmISU01.07G085600.1.p, GmISU01.07G085600.2.p, GmISU01.07G085800.2.p, GmISU01.07G085800.1.p, GmISU01.07G085700.1.p, GmISU01.07G086300.3.p, GmISU01.07G086300.2.p, GmISU01.07G086300.1.p, GmISU01.07G086000.1.p, GmISU01.07G086200.2.p, GmISU01.07G086200.1.p				
N3.HOG0000109	OG0000040	n146								GmISU01.05G203400.1.p, GmISU01.08G040800.1.p, GmISU01.08G040900.1.p				
N3.HOG0000110	OG0000040	n157								GmISU01.10G231000.4.p, GmISU01.20G085800.1.p, GmISU01.20G086300.4.p, GmISU01.20G086300.1.p, GmISU01.20G086300.2.p, GmISU01.20G086400.2.p, GmISU01.20G086400.1.p, GmISU01.20G086400.3.p, GmISU01.20G085900.2.p, GmISU01.20G086100.1.p, GmISU01.10G230900.1.p, GmISU01.20G085900.1.p, GmISU01.10G231000.2.p, GmISU01.20G086200.1.p, GmISU01.10G081500.1.p				
N3.HOG0000111	OG0000041	n2			AT2G16720.1, AT4G34990.1, AT4G38620.1					GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p				
N3.HOG0000112	OG0000041	n30								GmISU01.06G147100.1.p, GmISU01.04G166400.1.p				
N3.HOG0000113	OG0000041	n43								GmISU01.14G064800.1.p, GmISU01.02G209100.1.p				
N3.HOG0000114	OG0000041	n49								GmISU01.20G011000.1.p, GmISU01.07G183700.1.p				
N3.HOG0000115	OG0000041	n70								GmISU01.03G207400.1.p, GmISU01.19G208400.1.p, GmISU01.10G133300.1.p				
N3.HOG0000116	OG0000041	n79			AT3G23250.1					GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p				
