HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N10.HOG0000072	OG0000027	n2		AH002791-RA			Bevul.5G197000.1.p							
N10.HOG0000073	OG0000027	n80		AH009374-RA			Bevul.1G144100.1.p							
N10.HOG0000074	OG0000027	n108					Bevul.7G159800.1.p							
N10.HOG0000075	OG0000027	n125					Bevul.8G210000.1.p							
N10.HOG0000076	OG0000027	n129					Bevul.2G132800.2.p, Bevul.2G132800.1.p							
N10.HOG0000077	OG0000027	n159					Bevul.8G159900.1.p							
N10.HOG0000078	OG0000027	n176					Bevul.9G228300.1.p, Bevul.9G228300.2.p							
N10.HOG0000079	OG0000028	n17					Bevul.9G027600.1.p, Bevul.5G236400.1.p							
N10.HOG0000080	OG0000028	n19		AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA										
N10.HOG0000081	OG0000028	n28		AH020917-RA										
N10.HOG0000082	OG0000028	n29		AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA										
N10.HOG0000083	OG0000028	n43		AH020918-RA										
N10.HOG0000084	OG0000028	n158		AH013996-RA										
N10.HOG0000085	OG0000028	n159		AH019532-RA										
N10.HOG0000086	OG0000028	n163		AH010516-RA										
N10.HOG0000087	OG0000029	n2		AH007429-RA, AH007431-RA			Bevul.4G206200.1.p, Bevul.4G206300.1.p, Bevul.4G205700.1.p, Bevul.4G205600.1.p, Bevul.4G206000.1.p, Bevul.4G206100.1.p, Bevul.4G207500.1.p, Bevul.6G130200.1.p, Bevul.4G207900.1.p, Bevul.4G207300.1.p							
N10.HOG0000088	OG0000029	n55					Bevul.3G107500.1.p, Bevul.3G108400.1.p							
N10.HOG0000089	OG0000029	n59		AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA			Bevul.3G107400.1.p							
N10.HOG0000090	OG0000029	n63		AH020079-RA			Bevul.3G107700.1.p, Bevul.3G135600.1.p							
N10.HOG0000091	OG0000029	n65		AH011681-RA			Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p							
N10.HOG0000092	OG0000029	n113		AH006237-RA			Bevul.6G040300.1.p, Bevul.6G040400.1.p, Bevul.5G070000.1.p, Bevul.6G040100.1.p, Bevul.5G070100.1.p							
N10.HOG0000093	OG0000029	n119		AH006362-RA, AH006364-RA, AH006348-RA, AH006238-RA, AH006356-RA, AH006346-RA, AH006351-RA, AH006355-RA, AH006357-RA										
N10.HOG0000094	OG0000029	n128		AH010825-RA, AH006239-RA			Bevul.6G040200.1.p							
N10.HOG0000095	OG0000029	n138		AH006350-RA										
N10.HOG0000096	OG0000029	n154		AH011168-RA										
N10.HOG0000097	OG0000029	n163					Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p							
N10.HOG0000098	OG0000030	n3		AH004946-RA, AH004294-RA			Bevul.6G220100.1.p							
N10.HOG0000099	OG0000030	n48		AH016837-RA			Bevul.1G036200.1.p, Bevul.1G036300.1.p							
N10.HOG0000100	OG0000030	n51		AH023677-RA			Bevul.1G036100.1.p							
N10.HOG0000101	OG0000030	n52		AH023678-RA			Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p							
N10.HOG0000102	OG0000030	n57					Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p							
N10.HOG0000103	OG0000030	n90					Bevul.9G124900.1.p							
N10.HOG0000104	OG0000030	n93		AH002346-RA			Bevul.9G124800.1.p							
N10.HOG0000105	OG0000030	n183		AH004951-RA, AH004295-RA			Bevul.6G220800.1.p							
N10.HOG0000106	OG0000031	n81		AH004273-RA			Bevul.9G081700.1.p, Bevul.6G216700.1.p							
N10.HOG0000107	OG0000031	n84		AH006728-RA			Bevul.9G167800.1.p							
N10.HOG0000108	OG0000031	n92		AH010117-RA										
N10.HOG0000109	OG0000031	n155		AH006620-RA			Bevul.3G005000.1.p, Bevul.3G005100.1.p							
N10.HOG0000110	OG0000031	n157		AH020546-RA			Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p							
N10.HOG0000111	OG0000031	n161		AH017304-RA			Bevul.5G208000.1.p							
N10.HOG0000112	OG0000031	n166		AH005774-RA			Bevul.6G022900.1.p							
N10.HOG0000113	OG0000031	n180		AH010116-RA			Bevul.1G155200.1.p							
N10.HOG0000114	OG0000032	n43					Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p							
N10.HOG0000115	OG0000032	n58		AH008800-RA										
N10.HOG0000116	OG0000032	n65		AH014263-RA			Bevul.9G072800.1.p							
N10.HOG0000117	OG0000032	n67		AH017723-RA, AH022573-RA			Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p							
N10.HOG0000118	OG0000032	n75		AH003819-RA			Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p							
N10.HOG0000119	OG0000034	n18		AH018551-RA			Bevul.5G008500.1.p, Bevul.5G008400.1.p							
N10.HOG0000120	OG0000034	n29					Bevul.8G072800.1.p, Bevul.8G069300.1.p							
N10.HOG0000121	OG0000034	n50					Bevul.8G068400.1.p, Bevul.8G065600.1.p							
N10.HOG0000122	OG0000034	n91					Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p							
N10.HOG0000123	OG0000034	n99					Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p							
N10.HOG0000124	OG0000034	n138					Bevul.8G034500.1.p							
N10.HOG0000125	OG0000034	n141					Bevul.9G089000.2.p, Bevul.9G089000.1.p							
N10.HOG0000126	OG0000037	n83		AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA			Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p							
N10.HOG0000127	OG0000037	n95					Bevul.8G003600.1.p, Bevul.8G012100.1.p							
N10.HOG0000128	OG0000037	n157		AH022157-RA, AH022156-RA			Bevul.7G132700.1.p							
N10.HOG0000129	OG0000038	n3					Bevul.7G139200.1.p							
N10.HOG0000130	OG0000038	n4					Bevul.7G140100.1.p, Bevul.7G140600.1.p							
N10.HOG0000131	OG0000038	n11		AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA										
N10.HOG0000132	OG0000038	n36					Bevul.6G168300.1.p							
N10.HOG0000133	OG0000038	n44					Bevul.7G140500.1.p							
N10.HOG0000134	OG0000038	n49					Bevul.7G140200.1.p							
N10.HOG0000135	OG0000038	n59					Bevul.4G044200.1.p, Bevul.4G044100.1.p, Bevul.4G043800.1.p, Bevul.4G043900.1.p, Bevul.4G046700.1.p, Bevul.7G138200.1.p, Bevul.7G138400.1.p, Bevul.7G139100.1.p, Bevul.5G025300.1.p, Bevul.7G139600.1.p							
N10.HOG0000136	OG0000038	n173					Bevul.7G139800.1.p, Bevul.7G139900.1.p							
N10.HOG0000137	OG0000038	n175					Bevul.7G139700.1.p							
N10.HOG0000138	OG0000038	n178					Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p							
N10.HOG0000139	OG0000038	n180					Bevul.7G140000.1.p							
N10.HOG0000140	OG0000040	n4		AH010353-RA			Bevul.4G187100.1.p, Bevul.4G187000.1.p							
N10.HOG0000141	OG0000040	n12		AH001516-RA			Bevul.3G181600.1.p							
N10.HOG0000142	OG0000040	n36					Bevul.2G209700.2.p, Bevul.2G209700.1.p							
N10.HOG0000143	OG0000040	n40					Bevul.2G209500.1.p							
N10.HOG0000144	OG0000041	n2					Bevul.9G137500.1.p							
N10.HOG0000145	OG0000041	n30		AH007879-RA			Bevul.4G126000.1.p							
N10.HOG0000146	OG0000041	n43					Bevul.2G204400.1.p							
N10.HOG0000147	OG0000041	n67		AH002654-RA			Bevul.5G248300.1.p							
N10.HOG0000148	OG0000041	n70					Bevul.4G131500.1.p							
N10.HOG0000149	OG0000041	n79					Bevul.3G009300.1.p							
N10.HOG0000150	OG0000041	n96		AH002675-RA, AH017708-RA			Bevul.5G251800.1.p							
N10.HOG0000151	OG0000041	n118					Bevul.1G194200.1.p							
N10.HOG0000152	OG0000041	n137					Bevul.8G136400.1.p							
N10.HOG0000153	OG0000041	n168					Bevul.1G208000.1.p							
N10.HOG0000154	OG0000042	n20		AH016437-RA			Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p							
N10.HOG0000155	OG0000042	n72					Bevul.7G200100.1.p							
N10.HOG0000156	OG0000042	n95		AH022589-RA			Bevul.9G031500.1.p, Bevul.7G200000.1.p							
N10.HOG0000157	OG0000042	n129		AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA			Bevul.4G033600.1.p, Bevul.4G033500.1.p							
N10.HOG0000158	OG0000043	n8		AH015073-RA, AH010383-RA			Bevul.2G142500.1.p							
N10.HOG0000159	OG0000043	n24					Bevul.6G008000.1.p							
N10.HOG0000160	OG0000043	n52		AH015075-RA, AH015076-RA, AH015074-RA			Bevul.8G029800.1.p							
N10.HOG0000161	OG0000043	n62		AH015480-RA, AH006791-RA			Bevul.3G192200.1.p							
N10.HOG0000162	OG0000043	n101					Bevul.1G013100.1.p							
N10.HOG0000163	OG0000043	n105					Bevul.1G013000.1.p							
N10.HOG0000164	OG0000043	n108					Bevul.5G044900.1.p							
N10.HOG0000165	OG0000043	n114					Bevul.1G033800.1.p							
N10.HOG0000166	OG0000043	n118		AH023189-RA			Bevul.2G182700.1.p							
N10.HOG0000167	OG0000043	n119		AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA			Bevul.2G182900.1.p							
N10.HOG0000168	OG0000044	n1		AH003991-RA			Bevul.6G087200.1.p							
N10.HOG0000169	OG0000044	n27		AH008438-RA										
N10.HOG0000170	OG0000044	n41		AH006255-RA			Bevul.6G042400.1.p							
N10.HOG0000171	OG0000044	n65		AH000298-RA, AH016207-RA										
N10.HOG0000172	OG0000044	n74					Bevul.7G059000.1.p							
N10.HOG0000173	OG0000044	n105		AH012782-RA										
N10.HOG0000174	OG0000044	n107		AH016206-RA			Bevul.2G143200.1.p, Bevul.2G143200.4.p, Bevul.2G143200.2.p, Bevul.2G143200.3.p							
N10.HOG0000175	OG0000044	n112		AH013313-RA			Bevul.7G175700.1.p							
N10.HOG0000176	OG0000044	n140		AH001378-RA			Bevul.9G080900.1.p, Bevul.9G080900.2.p							
N10.HOG0000177	OG0000044	n156		AH002596-RA, AH017804-RA			Bevul.5G238300.1.p							
N10.HOG0000178	OG0000045	n15					Bevul.2G135500.1.p, Bevul.7G096000.1.p, Bevul.8G197300.1.p							
N10.HOG0000179	OG0000046	n3		AH000561-RA			Bevul.9G172100.1.p							
N10.HOG0000180	OG0000046	n28					Bevul.6G085300.1.p							
N10.HOG0000181	OG0000046	n63		AH020861-RA			Bevul.8G193500.1.p, Bevul.8G193400.1.p, Bevul.8G193800.1.p							
N10.HOG0000182	OG0000046	n89		AH005447-RA, AH004082-RA			Bevul.6G116700.1.p							
N10.HOG0000183	OG0000046	n117		AH016482-RA			Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p							
N10.HOG0000184	OG0000046	n151		AH003338-RA										
N10.HOG0000185	OG0000046	n152		AH002087-RA, AH000466-RA			Bevul.9G205500.1.p, Bevul.9G205500.2.p							
N10.HOG0000186	OG0000047	n1		AH003569-RA			Bevul.6G072600.1.p							
N10.HOG0000187	OG0000047	n37		AH008841-RA										
N10.HOG0000188	OG0000047	n53		AH000830-RA, AH000718-RA										
N10.HOG0000189	OG0000047	n60		AH011231-RA, AH020493-RA			Bevul.8G084000.1.p							
N10.HOG0000190	OG0000047	n66		AH010621-RA			Bevul.7G199200.1.p							
N10.HOG0000191	OG0000047	n69		AH011987-RA										
N10.HOG0000192	OG0000047	n78		AH002383-RA										
N10.HOG0000193	OG0000047	n81		AH008924-RA										
N10.HOG0000194	OG0000047	n91		AH003784-RA, AH008644-RA										
N10.HOG0000195	OG0000047	n97		AH017470-RA										
N10.HOG0000196	OG0000047	n102		AH022778-RA										
N10.HOG0000197	OG0000047	n119					Bevul.6G205000.1.p, Bevul.9G121600.1.p							
N10.HOG0000198	OG0000047	n141		AH023632-RA, AH004534-RA										
N10.HOG0000199	OG0000047	n153		AH009198-RA										
N10.HOG0000200	OG0000047	n164		AH008597-RA										
N10.HOG0000201	OG0000047	n165					Bevul.4G162400.1.p							
N10.HOG0000202	OG0000048	n17		AH012470-RA, AH003272-RA, AH012469-RA			Bevul.7G007100.1.p							
N10.HOG0000203	OG0000048	n21		AH012467-RA			Bevul.7G006800.1.p							
N10.HOG0000204	OG0000048	n22		AH012466-RA			Bevul.9G163800.1.p							
N10.HOG0000205	OG0000048	n23		AH021362-RA, AH012468-RA			Bevul.7G006900.1.p, Bevul.7G007000.1.p							
N10.HOG0000206	OG0000048	n31		AH021718-RA, AH012465-RA			Bevul.9G163700.1.p							
N10.HOG0000207	OG0000048	n134					Bevul.7G007200.1.p							
N10.HOG0000208	OG0000049	n1					Bevul.5G143100.1.p, Bevul.1G059200.1.p, Bevul.6G174000.1.p, Bevul.8G122400.1.p, Bevul.5G137800.1.p, Bevul.1G008600.1.p, Bevul.4G165400.1.p, Bevul.2G188100.1.p, Bevul.6G112400.1.p, Bevul.2G120900.1.p, Bevul.6G030400.1.p, Bevul.3G164200.1.p, Bevul.8G154600.1.p, Bevul.2G021800.1.p, Bevul.3G139100.1.p, Bevul.4G167300.1.p, Bevul.8G088400.1.p, Bevul.5G159500.1.p, Bevul.9G089200.1.p, Bevul.3G187000.1.p, Bevul.5G095300.1.p, Bevul.8G091100.1.p, Bevul.5G083800.1.p, Bevul.9G108600.1.p, Bevul.7G132300.1.p, Bevul.1G048700.1.p, Bevul.7G147300.1.p, Bevul.7G046500.1.p, Bevul.7G077200.1.p, Bevul.5G145200.1.p, Bevul.6G188200.1.p, Bevul.8G079500.1.p, Bevul.1G063500.1.p, Bevul.2G087100.1.p, Bevul.2G054000.1.p, Bevul.7G135600.1.p, Bevul.9G076100.1.p, Bevul.4G118100.1.p, Bevul.8G090100.1.p, Bevul.1G000600.1.p, Bevul.4G089100.1.p, Bevul.6G106400.1.p, Bevul.7G209300.1.p, Bevul.9G111200.1.p, Bevul.9G060300.1.p							
N10.HOG0000209	OG0000049	n88					Bevul.8G094900.1.p, Bevul.5G152800.1.p, Bevul.6G164000.1.p, Bevul.6G166400.1.p, Bevul.1G111200.1.p, Bevul.5G103900.1.p, Bevul.7G103700.1.p, Bevul.9G021300.1.p							
N10.HOG0000210	OG0000049	n113					Bevul.5G132000.1.p							
N10.HOG0000211	OG0000049	n117					Bevul.7G007900.1.p, Bevul.6G165200.1.p, Bevul.5G132100.1.p							
N10.HOG0000212	OG0000050	n40					Bevul.9G090800.1.p							
N10.HOG0000213	OG0000050	n44		AH022759-RA										
N10.HOG0000214	OG0000050	n54		AH007098-RA, AH022595-RA, AH016877-RA			Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p							
N10.HOG0000215	OG0000050	n72		AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA			Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p							
N10.HOG0000216	OG0000050	n88		AH015550-RA										
N10.HOG0000217	OG0000050	n107		AH022273-RA										
N10.HOG0000218	OG0000050	n112					Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p							
N10.HOG0000219	OG0000050	n129					Bevul.4G082400.1.p							
N10.HOG0000220	OG0000050	n131					Bevul.4G069400.1.p, Bevul.1G145400.1.p							
N10.HOG0000221	OG0000050	n134					Bevul.6G021100.1.p, Bevul.4G115800.1.p, Bevul.5G199600.1.p, Bevul.9G040100.1.p, Bevul.2G052300.1.p, Bevul.8G086300.1.p, Bevul.2G094700.1.p, Bevul.4G161000.1.p							
N10.HOG0000222	OG0000050	n145					Bevul.2G039300.1.p, Bevul.7G166000.1.p, Bevul.2G109200.1.p, Bevul.4G056700.1.p, Bevul.8G140100.1.p, Bevul.7G019800.1.p, Bevul.5G071100.1.p, Bevul.4G184500.1.p, Bevul.9G012300.1.p, Bevul.7G031500.1.p, Bevul.1G041000.1.p							
N10.HOG0000223	OG0000051	n39					Bevul.1G053800.1.p							
N10.HOG0000224	OG0000051	n40					Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p							
N10.HOG0000225	OG0000051	n136					Bevul.5G196000.1.p							
N10.HOG0000226	OG0000052	n22					Bevul.2G110700.1.p, Bevul.2G033200.1.p							
