HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N5.HOG0000010	OG0000011	n171									Lsat_1_v5_gn_3_60940.3, Lsat_1_v5_gn_3_64900.2, Lsat_1_v5_gn_3_60620.5, Lsat_1_v5_gn_3_60620.3, Lsat_1_v5_gn_3_60620.4, Lsat_1_v5_gn_3_60480.3, Lsat_1_v5_gn_3_60101.3, Lsat_1_v5_gn_3_60101.1			
N5.HOG0000011	OG0000011	n183									Lsat_1_v5_gn_4_41300.1		Solyc04g077710.2.1	
N5.HOG0000012	OG0000011	n184									Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3		Solyc01g057680.3.1	
N5.HOG0000013	OG0000011	n191									Lsat_1_v5_gn_3_60700.2, Lsat_1_v5_gn_3_60700.1			
N5.HOG0000014	OG0000011	n192									Lsat_1_v5_gn_3_64860.2, Lsat_1_v5_gn_3_64980.3, Lsat_1_v5_gn_3_60900.1, Lsat_1_v5_gn_3_60720.3, Lsat_1_v5_gn_8_151380.1, Lsat_1_v5_gn_3_64820.2, Lsat_1_v5_gn_3_64820.1			
N5.HOG0000015	OG0000011	n198									Lsat_1_v5_gn_3_61740.3, Lsat_1_v5_gn_3_61740.1, Lsat_1_v5_gn_3_74061.1, Lsat_1_v5_gn_3_60940.1, Lsat_1_v5_gn_3_60940.6, Lsat_1_v5_gn_3_60940.4, Lsat_1_v5_gn_3_66240.1, Lsat_1_v5_gn_3_64900.5, Lsat_1_v5_gn_3_64900.4, Lsat_1_v5_gn_1_101841.3, Lsat_1_v5_gn_1_101841.1, Lsat_1_v5_gn_3_64860.1, Lsat_1_v5_gn_3_64001.1, Lsat_1_v5_gn_3_64001.3, Lsat_1_v5_gn_3_64980.1, Lsat_1_v5_gn_3_64980.2, Lsat_1_v5_gn_3_64900.3, Lsat_1_v5_gn_3_66120.5, Lsat_1_v5_gn_3_64960.2, Lsat_1_v5_gn_3_66120.4, Lsat_1_v5_gn_3_64960.1, Lsat_1_v5_gn_3_64900.7, Lsat_1_v5_gn_3_64900.1, Lsat_1_v5_gn_3_66320.1, Lsat_1_v5_gn_3_66320.2, Lsat_1_v5_gn_3_69800.2, Lsat_1_v5_gn_3_69800.1, Lsat_1_v5_gn_3_66240.2, Lsat_1_v5_gn_3_69800.3, Lsat_1_v5_gn_3_69800.4			
N5.HOG0000016	OG0000011	n227									Lsat_1_v5_gn_3_60620.1, Lsat_1_v5_gn_3_60880.1, Lsat_1_v5_gn_3_66120.1, Lsat_1_v5_gn_3_60940.5, Lsat_1_v5_gn_3_70120.2, Lsat_1_v5_gn_3_70120.3, Lsat_1_v5_gn_3_70120.1, Lsat_1_v5_gn_3_60480.4, Lsat_1_v5_gn_3_60480.1, Lsat_1_v5_gn_3_58541.1, Lsat_1_v5_gn_3_116040.1, Lsat_1_v5_gn_3_60720.2, Lsat_1_v5_gn_3_116040.3, Lsat_1_v5_gn_3_58701.1, Lsat_1_v5_gn_3_58701.2, Lsat_1_v5_gn_3_60920.2, Lsat_1_v5_gn_3_60920.1, Lsat_1_v5_gn_3_60880.2, Lsat_1_v5_gn_1_101201.1, Lsat_1_v5_gn_1_101201.2, Lsat_1_v5_gn_3_60520.1, Lsat_1_v5_gn_3_60520.3, Lsat_1_v5_gn_3_60980.1, Lsat_1_v5_gn_3_60820.1, Lsat_1_v5_gn_3_60700.4, Lsat_1_v5_gn_3_60800.1, Lsat_1_v5_gn_3_60800.2, Lsat_1_v5_gn_3_60880.3, Lsat_1_v5_gn_3_64701.2, Lsat_1_v5_gn_3_64701.1, Lsat_1_v5_gn_3_60121.1, Lsat_1_v5_gn_3_60121.3, Lsat_1_v5_gn_8_151400.1, Lsat_1_v5_gn_8_151400.3, Lsat_1_v5_gn_3_60940.2, Lsat_1_v5_gn_3_60720.1, Lsat_1_v5_gn_3_58681.1, Lsat_1_v5_gn_3_116040.2, Lsat_1_v5_gn_3_60320.1, Lsat_1_v5_gn_3_60400.1, Lsat_1_v5_gn_3_60400.4, Lsat_1_v5_gn_3_60280.3, Lsat_1_v5_gn_3_60280.1, Lsat_1_v5_gn_3_60340.3, Lsat_1_v5_gn_3_60340.1			
N5.HOG0000017	OG0000015	n2											Solyc02g030383.1.1, Solyc02g030300.3.1, Solyc02g030380.2.1	
N5.HOG0000018	OG0000015	n14									Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1		Solyc02g079590.3.1, Solyc03g006770.3.1	
N5.HOG0000019	OG0000015	n51									Lsat_1_v5_gn_9_95221.2, Lsat_1_v5_gn_9_95221.1, Lsat_1_v5_gn_9_95221.3, Lsat_1_v5_gn_7_105821.1		Solyc07g063750.3.1, Solyc07g063720.1.1, Solyc07g063730.2.1, Solyc07g063700.2.1, Solyc07g063710.2.1, Solyc10g006720.3.1	
N5.HOG0000020	OG0000015	n84									Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1			
N5.HOG0000021	OG0000015	n141									Lsat_1_v5_gn_5_49640.1, Lsat_1_v5_gn_2_114921.4, Lsat_1_v5_gn_2_114941.2, Lsat_1_v5_gn_2_114941.1, Lsat_1_v5_gn_2_114921.1			
N5.HOG0000022	OG0000015	n146									Lsat_1_v5_gn_5_49520.2			
N5.HOG0000023	OG0000015	n173									Lsat_1_v5_gn_7_107440.3, Lsat_1_v5_gn_7_107440.1		Solyc07g063820.3.1, Solyc07g063770.3.1, Solyc10g006710.3.1	
N5.HOG0000024	OG0000015	n196									Lsat_1_v5_gn_7_107500.1, Lsat_1_v5_gn_7_106760.1, Lsat_1_v5_gn_7_106760.3, Lsat_1_v5_gn_7_106760.4, Lsat_1_v5_gn_7_107001.2, Lsat_1_v5_gn_7_107001.3, Lsat_1_v5_gn_7_107001.1, Lsat_1_v5_gn_7_106861.2, Lsat_1_v5_gn_7_106861.1, Lsat_1_v5_gn_7_106941.2, Lsat_1_v5_gn_7_106941.3, Lsat_1_v5_gn_7_106941.1, Lsat_1_v5_gn_7_106841.4, Lsat_1_v5_gn_7_106861.3, Lsat_1_v5_gn_7_106781.1, Lsat_1_v5_gn_7_106841.1, Lsat_1_v5_gn_7_107560.1, Lsat_1_v5_gn_7_107541.1, Lsat_1_v5_gn_7_107541.2, Lsat_1_v5_gn_5_5521.3, Lsat_1_v5_gn_5_5521.2, Lsat_1_v5_gn_5_5521.1, Lsat_1_v5_gn_5_5541.1, Lsat_1_v5_gn_5_5541.3		Solyc04g077280.3.1, Solyc04g077270.3.1, Solyc04g077340.3.1, Solyc04g077300.3.1, Solyc04g077360.3.1, Solyc04g077380.2.1, Solyc04g077330.3.1, Solyc04g077370.2.1, Solyc04g077390.3.1, Solyc07g063780.2.1, Solyc07g063810.2.1, Solyc07g063735.1.1, Solyc07g063800.2.1, Solyc12g005290.2.1	
N5.HOG0000025	OG0000016	n3									Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3		Solyc10g012140.1.1	
N5.HOG0000026	OG0000016	n17									Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1		Solyc07g018180.2.1	
N5.HOG0000027	OG0000016	n60											Solyc07g018190.3.1, Solyc10g085120.2.1	
N5.HOG0000028	OG0000016	n66									Lsat_1_v5_gn_2_120441.5, Lsat_1_v5_gn_2_120721.1		Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1	
N5.HOG0000029	OG0000016	n105									Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1		Solyc11g020270.1.1	
N5.HOG0000030	OG0000016	n218											Solyc03g096190.2.1, Solyc04g009040.3.1	
N5.HOG0000031	OG0000018	n3											Solyc04g009860.3.1, Solyc04g009850.3.1	
N5.HOG0000032	OG0000018	n37									Lsat_1_v5_gn_3_111780.1		Solyc09g089770.3.1	
N5.HOG0000033	OG0000018	n70									Lsat_1_v5_gn_5_159640.1, Lsat_1_v5_gn_3_63520.1, Lsat_1_v5_gn_3_63520.2, Lsat_1_v5_gn_9_62660.1, Lsat_1_v5_gn_5_159640.3, Lsat_1_v5_gn_4_165860.3, Lsat_1_v5_gn_4_165860.1, Lsat_1_v5_gn_6_18560.1, Lsat_1_v5_gn_4_168381.1, Lsat_1_v5_gn_5_11300.2, Lsat_1_v5_gn_3_121100.3, Lsat_1_v5_gn_3_121100.1, Lsat_1_v5_gn_3_121180.5, Lsat_1_v5_gn_3_121180.4, Lsat_1_v5_gn_3_120981.1, Lsat_1_v5_gn_3_120981.3, Lsat_1_v5_gn_3_121041.1, Lsat_1_v5_gn_3_121081.1, Lsat_1_v5_gn_3_121300.2, Lsat_1_v5_gn_3_121300.1, Lsat_1_v5_gn_3_121280.1, Lsat_1_v5_gn_3_120060.1, Lsat_1_v5_gn_3_120060.2, Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1		Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	
N5.HOG0000034	OG0000018	n150									Lsat_1_v5_gn_3_119000.1, Lsat_1_v5_gn_3_121680.2, Lsat_1_v5_gn_3_121680.1, Lsat_1_v5_gn_3_121600.3, Lsat_1_v5_gn_3_121220.4, Lsat_1_v5_gn_3_121220.1		Solyc09g089700.3.1, Solyc03g095920.2.1	
N5.HOG0000035	OG0000018	n165									Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1		Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1	
N5.HOG0000036	OG0000018	n205									Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3			
N5.HOG0000037	OG0000021	n20									Lsat_1_v5_gn_3_92740.2, Lsat_1_v5_gn_3_92680.1, Lsat_1_v5_gn_3_92680.2, Lsat_1_v5_gn_8_141960.3, Lsat_1_v5_gn_3_92740.1, Lsat_1_v5_gn_3_91981.1, Lsat_1_v5_gn_8_141960.1, Lsat_1_v5_gn_8_141960.4, Lsat_1_v5_gn_3_92640.1		Solyc09g098010.3.1, Solyc08g014190.3.1, Solyc09g098770.2.1, Solyc02g090290.3.1, Solyc02g090267.1.1, Solyc02g090300.3.1, Solyc09g098610.2.1, Solyc02g064806.1.1, Solyc09g061795.1.1, Solyc09g061793.1.1, Solyc02g065230.3.1, Solyc02g065190.3.1, Solyc02g065210.3.1	
N5.HOG0000038	OG0000021	n54									Lsat_1_v5_gn_8_141940.1		Solyc02g090265.1.1	
N5.HOG0000039	OG0000021	n181									Lsat_1_v5_gn_7_7821.2			
N5.HOG0000040	OG0000021	n183									Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1			
N5.HOG0000041	OG0000021	n196											Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	
N5.HOG0000042	OG0000022	n37									Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1		Solyc04g051880.2.1	
N5.HOG0000043	OG0000022	n103									Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3		Solyc04g011700.2.1	
N5.HOG0000044	OG0000022	n111									Lsat_1_v5_gn_1_4761.1, Lsat_1_v5_gn_9_43001.1, Lsat_1_v5_gn_9_42961.1, Lsat_1_v5_gn_9_43021.1, Lsat_1_v5_gn_9_43161.1		Solyc04g072510.3.1, Solyc04g072520.2.1, Solyc12g010650.1.1, Solyc04g072530.2.1, Solyc04g072540.3.1, Solyc04g072500.1.1, Solyc04g072550.2.1, Solyc11g022600.2.1	
N5.HOG0000045	OG0000023	n2									Lsat_1_v5_gn_5_78901.2, Lsat_1_v5_gn_5_109840.2, Lsat_1_v5_gn_5_62800.4, Lsat_1_v5_gn_5_62800.3, Lsat_1_v5_gn_0_39321.3, Lsat_1_v5_gn_0_39321.1, Lsat_1_v5_gn_0_39321.2		Solyc12g088260.1.1, Solyc12g019560.1.1	
N5.HOG0000046	OG0000023	n69									Lsat_1_v5_gn_5_78901.1, Lsat_1_v5_gn_5_109940.1, Lsat_1_v5_gn_5_91281.3, Lsat_1_v5_gn_5_78901.3, Lsat_1_v5_gn_4_54361.2, Lsat_1_v5_gn_4_54361.1, Lsat_1_v5_gn_5_78940.1, Lsat_1_v5_gn_5_91281.1, Lsat_1_v5_gn_5_89861.2, Lsat_1_v5_gn_5_89861.1, Lsat_1_v5_gn_2_124260.3, Lsat_1_v5_gn_2_124260.1, Lsat_1_v5_gn_8_153541.1, Lsat_1_v5_gn_5_62301.2, Lsat_1_v5_gn_5_62301.1, Lsat_1_v5_gn_5_62301.3, Lsat_1_v5_gn_5_62840.1, Lsat_1_v5_gn_5_62840.3, Lsat_1_v5_gn_5_62840.2, Lsat_1_v5_gn_5_62601.1, Lsat_1_v5_gn_5_62601.3, Lsat_1_v5_gn_5_62800.2, Lsat_1_v5_gn_5_109840.3, Lsat_1_v5_gn_5_109840.1, Lsat_1_v5_gn_4_32061.1		Solyc10g049270.2.1, Solyc10g049210.2.1	
N5.HOG0000047	OG0000023	n121											Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1	
N5.HOG0000048	OG0000023	n129											Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1	
N5.HOG0000049	OG0000024	n13									Lsat_1_v5_gn_3_36180.4, Lsat_1_v5_gn_3_36440.3		Solyc07g052070.2.1	
N5.HOG0000050	OG0000024	n25									Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1			
N5.HOG0000051	OG0000024	n28											Solyc07g052073.1.1	
N5.HOG0000052	OG0000024	n30											Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1	
N5.HOG0000053	OG0000024	n33											Solyc07g052025.1.1	
N5.HOG0000054	OG0000024	n84									Lsat_1_v5_gn_5_126200.1		Solyc07g061980.2.1	
N5.HOG0000055	OG0000024	n92									Lsat_1_v5_gn_2_71421.1, Lsat_1_v5_gn_2_71501.1, Lsat_1_v5_gn_2_71481.1			
N5.HOG0000056	OG0000024	n111									Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2		Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1	
N5.HOG0000057	OG0000025	n1									Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10			
N5.HOG0000058	OG0000025	n61									Lsat_1_v5_gn_3_45161.1		Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1	
N5.HOG0000059	OG0000025	n68											Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1	
N5.HOG0000060	OG0000025	n84									Lsat_1_v5_gn_8_127440.1		Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1	
N5.HOG0000061	OG0000025	n138									Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1		Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1	
N5.HOG0000062	OG0000025	n158									Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2			
N5.HOG0000063	OG0000026	n6											Solyc06g059930.3.1	
N5.HOG0000064	OG0000026	n23											Solyc06g059885.1.1, Solyc06g060180.2.1, Solyc09g092470.2.1, Solyc12g019240.2.1, Solyc07g051940.3.1, Solyc07g008690.3.1, Solyc12g006570.2.1, Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1	
N5.HOG0000065	OG0000026	n55									Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2		Solyc06g060010.3.1	
N5.HOG0000066	OG0000026	n62									Lsat_1_v5_gn_5_42681.2, Lsat_1_v5_gn_5_40321.2, Lsat_1_v5_gn_0_44201.1			
N5.HOG0000067	OG0000026	n115											Solyc06g060013.1.1	
N5.HOG0000068	OG0000026	n121											Solyc07g052120.3.1	
N5.HOG0000069	OG0000026	n143									Lsat_1_v5_gn_3_23121.1, Lsat_1_v5_gn_3_23121.3, Lsat_1_v5_gn_5_42681.1, Lsat_1_v5_gn_5_40321.1, Lsat_1_v5_gn_5_40321.4, Lsat_1_v5_gn_5_42681.4, Lsat_1_v5_gn_9_20380.2, Lsat_1_v5_gn_9_20380.3, Lsat_1_v5_gn_9_20380.1, Lsat_1_v5_gn_6_21340.3, Lsat_1_v5_gn_6_21340.1, Lsat_1_v5_gn_0_28161.1, Lsat_1_v5_gn_1_84540.1, Lsat_1_v5_gn_1_5141.3, Lsat_1_v5_gn_1_5141.1, Lsat_1_v5_gn_1_5240.2, Lsat_1_v5_gn_1_5240.1, Lsat_1_v5_gn_9_20320.2, Lsat_1_v5_gn_9_20260.3, Lsat_1_v5_gn_6_58980.1, Lsat_1_v5_gn_6_58980.2, Lsat_1_v5_gn_9_20260.1, Lsat_1_v5_gn_9_20320.1, Lsat_1_v5_gn_0_8301.1, Lsat_1_v5_gn_0_8301.3, Lsat_1_v5_gn_6_58961.3, Lsat_1_v5_gn_6_58961.2, Lsat_1_v5_gn_6_58961.1, Lsat_1_v5_gn_6_59741.3, Lsat_1_v5_gn_6_59741.1, Lsat_1_v5_gn_6_59741.2			
N5.HOG0000070	OG0000027	n24									Lsat_1_v5_gn_5_85480.2		Solyc00g257110.3.1, Solyc03g113405.1.1	
N5.HOG0000071	OG0000027	n51									Lsat_1_v5_gn_1_31841.2			
N5.HOG0000072	OG0000027	n54									Lsat_1_v5_gn_5_19060.2			
N5.HOG0000073	OG0000027	n80									Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2		Solyc08g078200.2.1	
