Orthogroup	A_hypochondriacus.proteins	D_muscipula.proteins
OG0000044	AH008438-RA	Dm_00001157-RA
OG0000044	AH016207-RA	Dm_00020338-RA
OG0000044	AH013313-RA	Dm_00009532-RA, Dm_00014819-RA
OG0000044	AH002596-RA, AH017804-RA	Dm_00016520-RA
OG0000046	AH000561-RA	Dm_00007088-RA, Dm_00001752-RA
OG0000046	AH020861-RA	Dm_00006378-RA, Dm_00013509-RA
OG0000046	AH005447-RA, AH004082-RA	Dm_00003891-RA, Dm_00011430-RA
OG0000046	AH016482-RA	Dm_00014024-RA, Dm_00012683-RA
OG0000046	AH003338-RA, AH002087-RA, AH000466-RA	Dm_00007080-RA
OG0000047	AH003569-RA	Dm_00007969-RA, Dm_00020823-RA
OG0000047	AH008841-RA	Dm_00005670-RA
OG0000047	AH000830-RA, AH000718-RA	Dm_00012951-RA
OG0000047	AH011231-RA, AH020493-RA	Dm_00004056-RA
OG0000047	AH011987-RA	Dm_00008069-RA
OG0000047	AH008924-RA	Dm_00018046-RA
OG0000047	AH017470-RA	Dm_00003985-RA, Dm_00009087-RA
OG0000047	AH022778-RA	Dm_00016600-RA
OG0000047	AH016591-RA	Dm_00020873-RA, Dm_00013559-RA, Dm_00009598-RA, Dm_00015362-RA
OG0000047	AH009198-RA	Dm_00010754-RA
OG0000047	AH008597-RA	Dm_00004084-RA
OG0000050	AH022759-RA	Dm_00018187-RA, Dm_00015317-RA
OG0000055	AH005218-RA, AH004572-RA	Dm_00019791-RA
OG0000055	AH007027-RA	Dm_00013087-RA, Dm_00006640-RA
OG0000058	AH012624-RA	Dm_00001789-RA, Dm_00000773-RA
OG0000059	AH007433-RA	Dm_00007673-RA
OG0000060	AH016857-RA	Dm_00009221-RA, Dm_00019776-RA, Dm_00014611-RA, Dm_00011321-RA, Dm_00006664-RA, Dm_00009640-RA, Dm_00017358-RA, Dm_00010891-RA, Dm_00019940-RA, Dm_00021085-RA, Dm_00013756-RA, Dm_00010328-RA, Dm_00011116-RA, Dm_00000620-RA, Dm_00008660-RA, Dm_00010462-RA
OG0000063	AH001425-RA, AH001424-RA	Dm_00017284-RA, Dm_00001327-RA
OG0000063	AH022436-RA, AH012497-RA	Dm_00000040-RA
OG0000063	AH023171-RA	Dm_00016579-RA, Dm_00009436-RA
OG0000063	AH016307-RA	Dm_00020250-RA
OG0000065	AH020188-RA	Dm_00018921-RA
OG0000067	AH001311-RA	Dm_00004643-RA, Dm_00004223-RA
OG0000067	AH020385-RA, AH006767-RA	Dm_00011275-RA
OG0000070	AH004919-RA, AH004504-RA, AH022950-RA	Dm_00008155-RA
OG0000071	AH022369-RA, AH013559-RA	Dm_00001685-RA
OG0000071	AH012735-RA	Dm_00016304-RA
OG0000071	AH020129-RA	Dm_00012616-RA
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	Dm_00019310-RA
OG0000071	AH013047-RA	Dm_00008368-RA, Dm_00000932-RA
OG0000072	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA	Dm_00019149-RA
OG0000077	AH000842-RA	Dm_00004852-RA, Dm_00021132-RA
OG0000077	AH007662-RA, AH007663-RA	Dm_00009375-RA
OG0000078	AH022838-RA	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA
OG0000085	AH014594-RA, AH021106-RA	Dm_00002079-RA, Dm_00008755-RA
OG0000085	AH013377-RA, AH013378-RA	Dm_00018382-RA, Dm_00014711-RA
OG0000085	AH021680-RA	Dm_00000001-RA
OG0000085	AH015892-RA, AH017005-RA	Dm_00021097-RA
OG0000085	AH018522-RA	Dm_00011328-RA
OG0000087	AH006703-RA, AH020455-RA	Dm_00009408-RA
OG0000087	AH004659-RA	Dm_00020143-RA, Dm_00002856-RA
OG0000088	AH007982-RA	Dm_00006025-RA
OG0000088	AH002003-RA, AH000992-RA, AH014780-RA	Dm_00016161-RA
OG0000089	AH002040-RA	Dm_00012672-RA
OG0000089	AH019224-RA, AH019223-RA	Dm_00000623-RA
OG0000089	AH014168-RA	Dm_00001050-RA
OG0000090	AH005307-RA, AH004871-RA, AH004467-RA	Dm_00004995-RA
OG0000091	AH020558-RA, AH020560-RA	Dm_00002549-RA, Dm_00011577-RA
OG0000091	AH021178-RA, AH000644-RA	Dm_00000624-RA, Dm_00001319-RA
OG0000091	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA	Dm_00002331-RA
OG0000092	AH006375-RA	Dm_00003221-RA, Dm_00003211-RA
OG0000092	AH016633-RA	Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA
OG0000095	AH013260-RA	Dm_00013674-RA
OG0000095	AH010162-RA	Dm_00001105-RA
OG0000096	AH005894-RA	Dm_00002220-RA
OG0000097	AH017957-RA	Dm_00005636-RA, Dm_00005630-RA
OG0000097	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA	Dm_00006030-RA
OG0000097	AH009811-RA	Dm_00017352-RA
OG0000098	AH016758-RA	Dm_00003034-RA
OG0000098	AH003177-RA	Dm_00015457-RA
OG0000101	AH019269-RA	Dm_00005058-RA
OG0000102	AH010958-RA, AH012445-RA	Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA
OG0000102	AH021394-RA	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
OG0000103	AH010123-RA	Dm_00020702-RA
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	Dm_00001448-RA
OG0000103	AH011687-RA	Dm_00020247-RA
OG0000104	AH021778-RA, AH012562-RA	Dm_00012898-RA
OG0000104	AH012563-RA	Dm_00001406-RA
OG0000105	AH005316-RA	Dm_00012589-RA
OG0000105	AH021428-RA, AH014857-RA	Dm_00013721-RA
OG0000105	AH012640-RA, AH021838-RA	Dm_00000769-RA, Dm_00001787-RA
OG0000105	AH013279-RA	Dm_00006766-RA
OG0000106	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA
OG0000107	AH004190-RA, AH005485-RA	Dm_00002832-RA, Dm_00001602-RA
OG0000107	AH001713-RA	Dm_00001603-RA
OG0000108	AH010687-RA, AH001829-RA	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA
OG0000108	AH012760-RA, AH014759-RA	Dm_00014168-RA
OG0000109	AH001741-RA	Dm_00003433-RA
OG0000109	AH003764-RA	Dm_00007914-RA
OG0000109	AH008949-RA	Dm_00012182-RA
OG0000110	AH019974-RA, AH007045-RA	Dm_00010771-RA
OG0000113	AH016269-RA, AH023225-RA	Dm_00016399-RA
OG0000113	AH018586-RA	Dm_00006694-RA, Dm_00006695-RA
OG0000113	AH018584-RA	Dm_00006693-RA
OG0000114	AH015161-RA	Dm_00013880-RA
OG0000115	AH020498-RA	Dm_00005936-RA, Dm_00005937-RA
OG0000116	AH022502-RA	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA
OG0000118	AH022107-RA	Dm_00001565-RA
OG0000118	AH012040-RA, AH019634-RA	Dm_00002039-RA, Dm_00015779-RA
OG0000118	AH006465-RA, AH002266-RA, AH009602-RA	Dm_00006495-RA
OG0000120	AH020337-RA, AH006837-RA	Dm_00019247-RA
OG0000120	AH020344-RA	Dm_00008637-RA
OG0000120	AH009707-RA	Dm_00017614-RA
OG0000120	AH018632-RA	Dm_00017973-RA
OG0000121	AH010321-RA	Dm_00018618-RA
OG0000121	AH003011-RA	Dm_00014597-RA
OG0000121	AH013867-RA	Dm_00021095-RA
OG0000122	AH003330-RA	Dm_00016543-RA
OG0000123	AH004264-RA, AH005234-RA	Dm_00020844-RA
OG0000125	AH012890-RA	Dm_00004819-RA
OG0000125	AH010563-RA	Dm_00000561-RA
OG0000127	AH010397-RA	Dm_00001228-RA
OG0000127	AH022171-RA, AH012869-RA	Dm_00006084-RA
OG0000127	AH002969-RA, AH017357-RA	Dm_00000969-RA, Dm_00000275-RA, Dm_00000966-RA, Dm_00015587-RA
OG0000129	AH019248-RA	Dm_00018929-RA, Dm_00010360-RA
OG0000129	AH019249-RA	Dm_00019326-RA
OG0000131	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA	Dm_00020931-RA, Dm_00002070-RA
OG0000134	AH001790-RA, AH001791-RA	Dm_00002439-RA, Dm_00009619-RA, Dm_00002440-RA
OG0000135	AH022214-RA	Dm_00020801-RA
OG0000135	AH016059-RA	Dm_00015604-RA
OG0000135	AH013502-RA	Dm_00006540-RA, Dm_00009257-RA
OG0000135	AH015896-RA	Dm_00010456-RA, Dm_00019007-RA
OG0000136	AH016776-RA, AH023665-RA	Dm_00009414-RA
OG0000137	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA	Dm_00020784-RA, Dm_00016612-RA, Dm_00005256-RA, Dm_00006644-RA, Dm_00015272-RA, Dm_00020969-RA, Dm_00020646-RA
OG0000138	AH005424-RA	Dm_00008855-RA
OG0000139	AH023020-RA	Dm_00010302-RA, Dm_00016348-RA, Dm_00002446-RA
OG0000139	AH016410-RA	Dm_00018590-RA
OG0000140	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA	Dm_00010965-RA
OG0000142	AH003498-RA, AH003496-RA, AH003495-RA, AH003497-RA	Dm_00012078-RA, Dm_00012077-RA
OG0000143	AH002172-RA	Dm_00008555-RA
OG0000143	AH008727-RA	Dm_00003928-RA
OG0000144	AH005332-RA	Dm_00009698-RA, Dm_00010190-RA
OG0000144	AH004163-RA	Dm_00011268-RA
OG0000145	AH009242-RA	Dm_00017523-RA
OG0000146	AH013670-RA, AH013668-RA	Dm_00013981-RA, Dm_00004551-RA, Dm_00004550-RA
OG0000147	AH021952-RA	Dm_00012154-RA
OG0000147	AH000183-RA	Dm_00004214-RA
OG0000148	AH022552-RA	Dm_00003748-RA
OG0000148	AH022967-RA	Dm_00012196-RA
OG0000149	AH016220-RA	Dm_00013011-RA
OG0000152	AH000407-RA	Dm_00019913-RA
OG0000152	AH022506-RA	Dm_00014149-RA, Dm_00020320-RA, Dm_00016601-RA
OG0000153	AH021960-RA	Dm_00003098-RA
OG0000153	AH007368-RA	Dm_00004902-RA, Dm_00004472-RA
OG0000155	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA	Dm_00014490-RA
OG0000155	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA	Dm_00017503-RA
OG0000157	AH001951-RA	Dm_00002335-RA
OG0000157	AH019804-RA	Dm_00004388-RA
OG0000159	AH009478-RA, AH009480-RA	Dm_00004560-RA
OG0000159	AH011882-RA	Dm_00000193-RA
OG0000160	AH016892-RA, AH023753-RA	Dm_00000160-RA
OG0000160	AH005973-RA	Dm_00002270-RA, Dm_00012322-RA
OG0000162	AH005478-RA, AH004130-RA	Dm_00020718-RA, Dm_00002774-RA
OG0000163	AH014552-RA	Dm_00005033-RA, Dm_00013005-RA, Dm_00002817-RA, Dm_00007859-RA
OG0000163	AH013346-RA	Dm_00011806-RA
OG0000164	AH021228-RA, AH014343-RA	Dm_00019025-RA, Dm_00020584-RA, Dm_00020207-RA
OG0000164	AH001454-RA, AH000392-RA	Dm_00014735-RA, Dm_00018986-RA
OG0000164	AH020804-RA, AH014173-RA	Dm_00000108-RA
OG0000168	AH007811-RA	Dm_00004247-RA, Dm_00004248-RA
OG0000169	AH003317-RA	Dm_00001981-RA
OG0000169	AH010535-RA	Dm_00003996-RA
OG0000170	AH022999-RA, AH016450-RA	Dm_00008657-RA
OG0000170	AH011283-RA	Dm_00015271-RA
OG0000170	AH007222-RA, AH010754-RA	Dm_00003497-RA, Dm_00003545-RA
OG0000171	AH000491-RA, AH002132-RA	Dm_00017813-RA, Dm_00000656-RA, Dm_00009503-RA
OG0000171	AH020896-RA, AH014491-RA	Dm_00018421-RA
OG0000171	AH018302-RA, AH009054-RA	Dm_00010899-RA
OG0000179	AH015938-RA	Dm_00013947-RA, Dm_00016891-RA
OG0000179	AH012805-RA	Dm_00014782-RA
OG0000179	AH004307-RA	Dm_00017688-RA, Dm_00018639-RA
OG0000180	AH014306-RA, AH021076-RA	Dm_00014427-RA
OG0000180	AH022087-RA	Dm_00015134-RA
OG0000181	AH010377-RA, AH003266-RA	Dm_00001869-RA
OG0000182	AH001251-RA, AH000172-RA, AH021993-RA	Dm_00013542-RA, Dm_00004694-RA
OG0000182	AH012779-RA	Dm_00003411-RA
OG0000183	AH000308-RA, AH001363-RA	Dm_00006578-RA, Dm_00003753-RA
OG0000183	AH015254-RA	Dm_00000721-RA
OG0000184	AH007212-RA	Dm_00010841-RA
OG0000184	AH019907-RA, AH007213-RA	Dm_00009564-RA
OG0000185	AH007772-RA	Dm_00008201-RA
OG0000185	AH020040-RA	Dm_00019609-RA
OG0000186	AH004613-RA	Dm_00012498-RA
OG0000188	AH009637-RA	Dm_00004072-RA, Dm_00020166-RA
OG0000189	AH004583-RA	Dm_00005825-RA
OG0000191	AH020345-RA	Dm_00020682-RA
OG0000191	AH006833-RA	Dm_00017204-RA, Dm_00008634-RA, Dm_00012017-RA, Dm_00008636-RA, Dm_00017241-RA, Dm_00010364-RA
OG0000192	AH011160-RA, AH011162-RA, AH011161-RA	Dm_00001966-RA
OG0000192	AH007480-RA, AH011104-RA	Dm_00007600-RA
OG0000192	AH011736-RA	Dm_00018084-RA
OG0000193	AH002455-RA	Dm_00019935-RA
OG0000198	AH013656-RA	Dm_00010685-RA
OG0000199	AH011848-RA	Dm_00014546-RA
OG0000199	AH001884-RA	Dm_00013937-RA, Dm_00001731-RA
OG0000199	AH015573-RA	Dm_00000116-RA, Dm_00001028-RA
OG0000200	AH005777-RA	Dm_00018449-RA
OG0000200	AH005778-RA	Dm_00011732-RA
OG0000201	AH011734-RA	Dm_00001383-RA
OG0000201	AH020018-RA	Dm_00001382-RA
OG0000206	AH010923-RA	Dm_00018567-RA
OG0000206	AH022824-RA, AH007651-RA	Dm_00018450-RA
OG0000207	AH002648-RA	Dm_00008540-RA, Dm_00012316-RA
OG0000207	AH022984-RA	Dm_00012138-RA, Dm_00009219-RA
OG0000207	AH018948-RA	Dm_00020776-RA
OG0000207	AH023638-RA	Dm_00004924-RA
OG0000207	AH023639-RA	Dm_00011320-RA
OG0000207	AH009147-RA	Dm_00005362-RA
OG0000208	AH013416-RA, AH022322-RA, AH013411-RA	Dm_00010303-RA
OG0000211	AH015397-RA, AH019277-RA	Dm_00017798-RA, Dm_00019243-RA
OG0000211	AH017571-RA	Dm_00010386-RA
OG0000211	AH005036-RA, AH004370-RA	Dm_00001989-RA, Dm_00005372-RA
OG0000212	AH019579-RA, AH012403-RA	Dm_00003314-RA, Dm_00011656-RA
OG0000212	AH013636-RA	Dm_00004774-RA, Dm_00004773-RA, Dm_00019158-RA
OG0000213	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA	Dm_00011152-RA, Dm_00001766-RA
OG0000216	AH008260-RA	Dm_00003598-RA, Dm_00004133-RA
OG0000216	AH002574-RA	Dm_00001128-RA, Dm_00015348-RA
OG0000216	AH000038-RA	Dm_00004892-RA
OG0000217	AH006817-RA, AH006820-RA	Dm_00018926-RA
OG0000218	AH018419-RA	Dm_00015495-RA
OG0000220	AH018371-RA	Dm_00020025-RA
OG0000220	AH002688-RA	Dm_00001513-RA, Dm_00001514-RA, Dm_00020024-RA, Dm_00014687-RA, Dm_00017640-RA
OG0000221	AH016860-RA	Dm_00003470-RA
OG0000221	AH015847-RA, AH019151-RA	Dm_00006083-RA
OG0000222	AH018451-RA, AH011549-RA	Dm_00007071-RA
OG0000222	AH019420-RA, AH010384-RA, AH019521-RA	Dm_00007034-RA
OG0000222	AH012987-RA	Dm_00020094-RA
OG0000222	AH012396-RA	Dm_00010493-RA
OG0000224	AH021647-RA, AH015222-RA	Dm_00004529-RA
OG0000224	AH000336-RA, AH001344-RA	Dm_00007961-RA, Dm_00003159-RA
OG0000227	AH019119-RA	Dm_00015659-RA
OG0000227	AH022956-RA, AH016463-RA	Dm_00005804-RA, Dm_00008810-RA
OG0000228	AH002970-RA, AH017354-RA	Dm_00000277-RA, Dm_00000967-RA
OG0000229	AH003810-RA, AH005782-RA	Dm_00007169-RA
OG0000230	AH016753-RA	Dm_00003037-RA
OG0000230	AH023644-RA	Dm_00006279-RA, Dm_00003240-RA
OG0000230	AH009416-RA	Dm_00010795-RA, Dm_00008107-RA
OG0000231	AH004765-RA	Dm_00003957-RA
OG0000232	AH008127-RA	Dm_00006467-RA
OG0000235	AH007677-RA, AH010905-RA	Dm_00007259-RA, Dm_00014092-RA
OG0000235	AH020331-RA, AH006874-RA, AH006856-RA	Dm_00019411-RA, Dm_00008269-RA
OG0000236	AH013818-RA	Dm_00018982-RA, Dm_00017997-RA
OG0000236	AH023094-RA	Dm_00014567-RA
OG0000238	AH022168-RA, AH022166-RA, AH022167-RA, AH004972-RA	Dm_00007192-RA, Dm_00008221-RA, Dm_00008223-RA, Dm_00008222-RA
OG0000238	AH002211-RA, AH002223-RA, AH002216-RA, AH013971-RA, AH002218-RA, AH000864-RA, AH005582-RA	Dm_00011911-RA
OG0000240	AH007927-RA	Dm_00003698-RA
OG0000240	AH001498-RA, AH000378-RA	Dm_00007397-RA, Dm_00010486-RA
OG0000241	AH011397-RA, AH018288-RA, AH018263-RA	Dm_00008568-RA
OG0000241	AH001165-RA, AH016129-RA, AH018322-RA	Dm_00004181-RA
OG0000242	AH009443-RA	Dm_00012845-RA
OG0000243	AH003233-RA	Dm_00017507-RA
OG0000244	AH012219-RA	Dm_00010726-RA
OG0000244	AH013016-RA	Dm_00003192-RA
OG0000244	AH001047-RA, AH001046-RA	Dm_00004109-RA, Dm_00003980-RA, Dm_00005516-RA
OG0000245	AH021950-RA	Dm_00007470-RA, Dm_00005273-RA, Dm_00007469-RA
OG0000246	AH014183-RA, AH013911-RA, AH014182-RA	Dm_00002182-RA, Dm_00016375-RA, Dm_00020254-RA
OG0000247	AH022128-RA	Dm_00012774-RA
OG0000248	AH004731-RA, AH004633-RA	Dm_00006793-RA
OG0000249	AH007643-RA	Dm_00007674-RA, Dm_00006387-RA
OG0000249	AH006900-RA	Dm_00018649-RA
OG0000249	AH002805-RA	Dm_00010765-RA
OG0000250	AH002733-RA	Dm_00012773-RA
OG0000250	AH009230-RA	Dm_00014769-RA, Dm_00017039-RA
OG0000251	AH010082-RA	Dm_00015938-RA
OG0000251	AH023083-RA	Dm_00009500-RA, Dm_00001044-RA
OG0000252	AH005701-RA, AH003872-RA	Dm_00011892-RA
OG0000254	AH016102-RA	Dm_00014114-RA, Dm_00007185-RA
OG0000256	AH012393-RA	Dm_00011654-RA
OG0000256	AH015599-RA, AH015603-RA	Dm_00020630-RA, Dm_00020395-RA, Dm_00004520-RA
OG0000257	AH004421-RA	Dm_00020715-RA
OG0000257	AH020706-RA	Dm_00011295-RA
OG0000262	AH006972-RA, AH007602-RA, AH010501-RA	Dm_00000606-RA, Dm_00000607-RA
OG0000262	AH020567-RA, AH006502-RA	Dm_00002554-RA
OG0000262	AH010069-RA, AH008056-RA	Dm_00014915-RA
OG0000264	AH021353-RA, AH014775-RA	Dm_00010481-RA
OG0000265	AH010088-RA	Dm_00012299-RA
OG0000265	AH001360-RA, AH001361-RA, AH018443-RA	Dm_00006575-RA
OG0000266	AH021514-RA, AH015026-RA	Dm_00005517-RA, Dm_00006442-RA
OG0000267	AH014219-RA	Dm_00003016-RA
OG0000268	AH016282-RA, AH023211-RA	Dm_00019727-RA
OG0000268	AH001979-RA	Dm_00004823-RA
OG0000269	AH000502-RA	Dm_00013579-RA
OG0000269	AH017112-RA	Dm_00014933-RA
OG0000270	AH013316-RA	Dm_00004263-RA, Dm_00006561-RA
OG0000271	AH017307-RA, AH002751-RA	Dm_00002603-RA, Dm_00010741-RA
OG0000276	AH023560-RA, AH008937-RA	Dm_00003012-RA
OG0000276	AH015150-RA	Dm_00010885-RA
OG0000276	AH010847-RA	Dm_00001832-RA, Dm_00008973-RA
OG0000276	AH014503-RA, AH020889-RA	Dm_00012068-RA
OG0000277	AH013259-RA, AH022403-RA	Dm_00019863-RA
OG0000277	AH016190-RA	Dm_00007324-RA
OG0000277	AH020366-RA, AH010939-RA	Dm_00008273-RA, Dm_00016211-RA
OG0000278	AH008601-RA	Dm_00012892-RA
OG0000278	AH008064-RA	Dm_00020573-RA, Dm_00013316-RA
OG0000279	AH011909-RA	Dm_00000183-RA, Dm_00000424-RA
OG0000280	AH004575-RA, AH005224-RA	Dm_00017167-RA
OG0000280	AH006406-RA	Dm_00018855-RA
OG0000286	AH018733-RA	Dm_00014786-RA
OG0000286	AH018383-RA	Dm_00016645-RA
OG0000286	AH001609-RA	Dm_00004678-RA
OG0000287	AH014543-RA	Dm_00002547-RA
OG0000288	AH013288-RA	Dm_00009045-RA, Dm_00007848-RA
OG0000288	AH014662-RA	Dm_00015338-RA
OG0000288	AH021166-RA, AH014663-RA	Dm_00014124-RA
OG0000291	AH005068-RA, AH004389-RA	Dm_00005703-RA, Dm_00007812-RA
OG0000291	AH002812-RA	Dm_00018461-RA
OG0000291	AH018325-RA	Dm_00019892-RA
OG0000292	AH004693-RA, AH004654-RA, AH005949-RA, AH008037-RA	Dm_00012302-RA
OG0000293	AH015410-RA	Dm_00002608-RA, Dm_00008435-RA, Dm_00020939-RA
OG0000294	AH007875-RA	Dm_00004717-RA, Dm_00002020-RA
OG0000295	AH006922-RA	Dm_00013292-RA
OG0000295	AH007665-RA, AH010890-RA	Dm_00015064-RA, Dm_00006049-RA
OG0000295	AH016162-RA, AH015966-RA	Dm_00013889-RA
OG0000299	AH003820-RA	Dm_00013770-RA
OG0000300	AH010916-RA	Dm_00010178-RA, Dm_00007263-RA
OG0000300	AH010919-RA	Dm_00007264-RA
OG0000301	AH000104-RA, AH001296-RA	Dm_00006222-RA, Dm_00009188-RA
OG0000302	AH022753-RA, AH016603-RA	Dm_00019668-RA
OG0000302	AH016519-RA, AH022864-RA	Dm_00008092-RA
OG0000302	AH022373-RA, AH013565-RA	Dm_00001686-RA, Dm_00001435-RA
OG0000303	AH004650-RA, AH004696-RA	Dm_00002850-RA
OG0000304	AH016791-RA	Dm_00015125-RA, Dm_00013420-RA
OG0000309	AH005931-RA, AH005930-RA	Dm_00018400-RA
OG0000310	AH006104-RA	Dm_00015520-RA
OG0000313	AH004628-RA	Dm_00009065-RA
OG0000314	AH022007-RA	Dm_00020898-RA, Dm_00006997-RA
OG0000315	AH001723-RA, AH001724-RA, AH008726-RA, AH000594-RA	Dm_00019004-RA
OG0000315	AH000220-RA	Dm_00008452-RA
