Orthogroup	A_hypochondriacus.proteins	B_vulgaris.proteins
OG0000026	AH009954-RA, AH012021-RA, AH019650-RA, AH010101-RA, AH010287-RA, AH009956-RA, AH008142-RA, AH008143-RA, AH011166-RA	Bevul.4G079600.1.p
OG0000026	AH008141-RA	Bevul.4G046500.1.p
OG0000027	AH002791-RA	Bevul.5G197000.1.p
OG0000027	AH009374-RA	Bevul.1G144100.1.p
OG0000028	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA	Bevul.9G027600.1.p, Bevul.5G236400.1.p
OG0000029	AH007429-RA, AH007431-RA	Bevul.4G206200.1.p, Bevul.4G206300.1.p, Bevul.4G205700.1.p, Bevul.4G205600.1.p, Bevul.4G206000.1.p, Bevul.4G206100.1.p, Bevul.4G207500.1.p, Bevul.6G130200.1.p, Bevul.4G207900.1.p, Bevul.4G207300.1.p
OG0000029	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA	Bevul.3G107400.1.p
OG0000029	AH020079-RA	Bevul.3G107700.1.p, Bevul.3G135600.1.p
OG0000029	AH011681-RA	Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p
OG0000029	AH006237-RA	Bevul.6G040300.1.p, Bevul.6G040400.1.p, Bevul.5G070000.1.p, Bevul.6G040100.1.p, Bevul.5G070100.1.p
OG0000029	AH010825-RA, AH006239-RA	Bevul.6G040200.1.p
OG0000030	AH004946-RA, AH004294-RA	Bevul.6G220100.1.p
OG0000030	AH016837-RA	Bevul.1G036200.1.p, Bevul.1G036300.1.p
OG0000030	AH023677-RA	Bevul.1G036100.1.p
OG0000030	AH023678-RA	Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p
OG0000030	AH002346-RA	Bevul.9G124800.1.p
OG0000030	AH004951-RA, AH004295-RA	Bevul.6G220800.1.p
OG0000031	AH004273-RA	Bevul.6G216700.1.p
OG0000031	AH006728-RA	Bevul.9G167800.1.p
OG0000031	AH006620-RA	Bevul.3G005000.1.p, Bevul.3G005100.1.p
OG0000031	AH020546-RA	Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p
OG0000031	AH017304-RA	Bevul.5G208000.1.p
OG0000031	AH005774-RA	Bevul.6G022900.1.p
OG0000031	AH010116-RA	Bevul.1G155200.1.p
OG0000032	AH014263-RA	Bevul.9G072800.1.p
OG0000032	AH017723-RA, AH022573-RA	Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p
OG0000032	AH003819-RA	Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p
OG0000034	AH018551-RA	Bevul.5G008500.1.p, Bevul.5G008400.1.p
OG0000034	AH015068-RA	Bevul.8G068400.1.p, Bevul.8G065600.1.p, Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p, Bevul.8G034500.1.p, Bevul.9G089000.2.p, Bevul.9G089000.1.p
OG0000037	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p
OG0000037	AH022157-RA, AH022156-RA	Bevul.7G132700.1.p
OG0000040	AH010353-RA	Bevul.4G187100.1.p, Bevul.4G187000.1.p
OG0000040	AH001516-RA	Bevul.3G181600.1.p
OG0000041	AH007879-RA	Bevul.4G126000.1.p
OG0000041	AH002654-RA	Bevul.5G248300.1.p
OG0000041	AH002675-RA, AH017708-RA	Bevul.5G251800.1.p
OG0000042	AH016437-RA	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p
OG0000042	AH022589-RA	Bevul.9G031500.1.p, Bevul.7G200000.1.p
OG0000042	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA	Bevul.4G033600.1.p, Bevul.4G033500.1.p
OG0000043	AH010383-RA	Bevul.2G142500.1.p
OG0000043	AH015075-RA, AH015076-RA, AH015074-RA	Bevul.8G029800.1.p
OG0000043	AH015480-RA, AH006791-RA	Bevul.3G192200.1.p
OG0000043	AH023189-RA	Bevul.2G182700.1.p
OG0000043	AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA	Bevul.2G182900.1.p
OG0000044	AH003991-RA	Bevul.6G087200.1.p
OG0000044	AH006255-RA	Bevul.6G042400.1.p
OG0000044	AH016206-RA	Bevul.2G143200.1.p, Bevul.2G143200.4.p, Bevul.2G143200.2.p, Bevul.2G143200.3.p
OG0000044	AH013313-RA	Bevul.7G175700.1.p
OG0000044	AH001378-RA	Bevul.9G080900.1.p, Bevul.9G080900.2.p
OG0000044	AH002596-RA, AH017804-RA	Bevul.5G238300.1.p
OG0000046	AH000561-RA	Bevul.9G172100.1.p
OG0000046	AH020861-RA	Bevul.8G193500.1.p, Bevul.8G193400.1.p
OG0000046	AH005447-RA, AH004082-RA	Bevul.6G116700.1.p
OG0000046	AH016482-RA	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p
OG0000046	AH002087-RA, AH000466-RA	Bevul.9G205500.1.p, Bevul.9G205500.2.p
OG0000047	AH003569-RA	Bevul.6G072600.1.p
OG0000047	AH011231-RA, AH020493-RA	Bevul.8G084000.1.p
OG0000047	AH010621-RA	Bevul.7G199200.1.p
OG0000047	AH023632-RA, AH004534-RA	Bevul.6G205000.1.p, Bevul.9G121600.1.p
OG0000048	AH012470-RA, AH003272-RA, AH012469-RA	Bevul.7G007100.1.p
OG0000048	AH012467-RA	Bevul.7G006800.1.p
OG0000048	AH012466-RA	Bevul.9G163800.1.p
OG0000048	AH021362-RA, AH012468-RA	Bevul.7G006900.1.p, Bevul.7G007000.1.p
OG0000048	AH021718-RA, AH012465-RA	Bevul.9G163700.1.p
OG0000050	AH007098-RA, AH022595-RA, AH016877-RA	Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p
OG0000050	AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA	Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p
OG0000055	AH005218-RA, AH004572-RA	Bevul.6G201900.1.p
OG0000055	AH007027-RA	Bevul.3G152000.1.p
OG0000055	AH013063-RA	Bevul.7G220500.1.p
OG0000056	AH010523-RA	Bevul.4G202900.1.p
OG0000056	AH006697-RA	Bevul.5G169200.1.p, Bevul.1G056800.1.p, Bevul.6G155400.1.p, Bevul.6G155300.1.p, Bevul.3G205600.1.p, Bevul.3G206800.1.p, Bevul.3G171300.1.p, Bevul.3G171200.1.p, Bevul.3G171400.1.p, Bevul.3G171100.1.p, Bevul.3G216600.1.p
OG0000056	AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA	Bevul.9G148400.1.p, Bevul.1G122700.1.p, Bevul.1G121200.1.p, Bevul.1G121100.1.p
OG0000056	AH021732-RA, AH012484-RA	Bevul.7G009100.1.p
OG0000056	AH021731-RA, AH012482-RA	Bevul.7G009200.1.p, Bevul.7G009200.3.p, Bevul.7G009200.2.p
OG0000058	AH012624-RA	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p
OG0000059	AH004860-RA	Bevul.1G077700.1.p, Bevul.1G077800.1.p
OG0000059	AH006349-RA, AH006347-RA, AH011674-RA	Bevul.3G108300.1.p
OG0000059	AH011171-RA	Bevul.4G207200.1.p
OG0000059	AH018362-RA, AH011169-RA, AH007432-RA	Bevul.4G207400.1.p
OG0000059	AH014450-RA	Bevul.8G204300.1.p
OG0000059	AH014451-RA	Bevul.8G204400.1.p
OG0000059	AH007433-RA	Bevul.4G210500.1.p
OG0000059	AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA	Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p
OG0000060	AH016857-RA	Bevul.4G032400.1.p, Bevul.6G106000.1.p, Bevul.1G069200.1.p, Bevul.4G140200.1.p, Bevul.2G183900.1.p, Bevul.2G179300.1.p, Bevul.5G113600.1.p, Bevul.9G154900.1.p, Bevul.7G122300.1.p, Bevul.7G087000.1.p, Bevul.6G130000.1.p, Bevul.3G157500.1.p, Bevul.9G041500.1.p, Bevul.9G085600.1.p, Bevul.2G113300.1.p, Bevul.5G158700.1.p, Bevul.6G112500.1.p, Bevul.3G135000.1.p, Bevul.2G050500.1.p, Bevul.6G192600.1.p, Bevul.1G032500.1.p, Bevul.6G224900.1.p, Bevul.2G017000.1.p, Bevul.9G096800.1.p, Bevul.1G082000.1.p, Bevul.7G051800.1.p, Bevul.2G125300.1.p, Bevul.4G094800.1.p, Bevul.5G182700.1.p, Bevul.2G234000.1.p, Bevul.5G136200.1.p, Bevul.3G152200.1.p, Bevul.3G185000.1.p, Bevul.8G086400.1.p, Bevul.6G063000.1.p, Bevul.8G098000.1.p, Bevul.7G155700.1.p, Bevul.3G150400.1.p, Bevul.2G136500.1.p, Bevul.3G161000.1.p, Bevul.5G158800.1.p, Bevul.9G084200.1.p, Bevul.4G140300.1.p, Bevul.7G174300.1.p, Bevul.4G135800.1.p, Bevul.6G178600.1.p, Bevul.7G075500.1.p, Bevul.1G030200.1.p, Bevul.6G164700.1.p, Bevul.1G030100.1.p, Bevul.8G107100.1.p, Bevul.7G151700.1.p, Bevul.9G069700.1.p, Bevul.7G057400.1.p, Bevul.5G087900.1.p, Bevul.5G114800.1.p, Bevul.5G092900.1.p, Bevul.1G103000.1.p, Bevul.5G227500.1.p, Bevul.6G137600.1.p, Bevul.4G111400.1.p, Bevul.4G143400.1.p, Bevul.9G051300.1.p, Bevul.8G151700.1.p, Bevul.2G048400.1.p, Bevul.7G080500.1.p, Bevul.4G113200.1.p, Bevul.6G129900.1.p, Bevul.1G069400.1.p, Bevul.3G132800.1.p, Bevul.6G103300.1.p, Bevul.8G063200.1.p, Bevul.6G115000.1.p, Bevul.4G085700.1.p, Bevul.4G106200.1.p, Bevul.1G049200.1.p, Bevul.6G110300.1.p, Bevul.6G149300.1.p, Bevul.8G022700.1.p, Bevul.7G086100.1.p, Bevul.3G145900.1.p, Bevul.6G152800.1.p, Bevul.2G147800.1.p, Bevul.7G048400.1.p
OG0000063	AH001425-RA	Bevul.9G094300.1.p
OG0000063	AH001424-RA	Bevul.9G094200.1.p
OG0000063	AH022436-RA	Bevul.7G222300.1.p, Bevul.7G222600.1.p, Bevul.7G222500.1.p
OG0000063	AH012497-RA	Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p
OG0000063	AH023171-RA	Bevul.2G185200.1.p, Bevul.2G185200.2.p
OG0000063	AH016306-RA	Bevul.2G185300.1.p
OG0000063	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA	Bevul.2G184800.1.p
OG0000063	AH016303-RA	Bevul.2G184500.1.p, Bevul.2G184600.1.p
OG0000063	AH023175-RA	Bevul.2G184700.1.p
OG0000065	AH013518-RA	Bevul.7G110100.1.p, Bevul.7G148200.1.p
OG0000065	AH020188-RA	Bevul.3G163400.1.p
OG0000065	AH020229-RA	Bevul.4G077200.1.p, Bevul.4G077300.1.p
OG0000065	AH013022-RA	Bevul.7G117800.1.p, Bevul.7G117700.1.p
OG0000067	AH001311-RA	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p
OG0000067	AH020385-RA, AH006767-RA	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p
OG0000068	AH011897-RA	Bevul.3G027000.1.p
OG0000068	AH021520-RA	Bevul.8G060400.1.p
OG0000068	AH021522-RA	Bevul.8G072600.1.p
OG0000068	AH015036-RA	Bevul.8G072700.1.p
OG0000068	AH015035-RA	Bevul.8G060300.1.p
OG0000068	AH020117-RA	Bevul.3G137200.1.p
OG0000070	AH008914-RA, AH023567-RA	Bevul.1G170800.1.p
OG0000070	AH004919-RA, AH004504-RA	Bevul.6G213100.1.p
OG0000070	AH022950-RA	Bevul.2G233700.1.p
OG0000070	AH013681-RA	Bevul.7G207000.1.p
OG0000071	AH022369-RA, AH013559-RA	Bevul.7G142600.1.p
OG0000071	AH019943-RA	Bevul.3G015700.1.p
OG0000071	AH012735-RA	Bevul.7G048700.2.p, Bevul.7G048700.1.p
OG0000071	AH020129-RA	Bevul.3G133800.1.p
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	Bevul.3G170700.1.p
OG0000071	AH013047-RA	Bevul.7G121800.1.p
OG0000071	AH004886-RA	Bevul.6G171300.1.p
OG0000072	AH003759-RA, AH005866-RA	Bevul.6G096500.1.p
OG0000072	AH020159-RA, AH008035-RA	Bevul.4G070600.1.p
OG0000076	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA	Bevul.7G121000.1.p
OG0000077	AH000842-RA	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p
OG0000077	AH019349-RA	Bevul.2G047300.1.p
OG0000077	AH007662-RA, AH007663-RA	Bevul.4G245600.1.p
OG0000077	AH006889-RA	Bevul.3G177700.1.p, Bevul.3G177600.1.p
OG0000078	AH022838-RA	Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p
OG0000079	AH015194-RA	Bevul.8G067100.1.p
OG0000079	AH002054-RA	Bevul.4G206400.1.p
OG0000079	AH008309-RA	Bevul.4G110500.1.p
OG0000085	AH014594-RA, AH021106-RA	Bevul.8G140500.1.p
OG0000085	AH013377-RA	Bevul.7G169300.1.p
OG0000085	AH013378-RA	Bevul.7G169200.1.p
OG0000085	AH021680-RA	Bevul.2G000300.1.p
OG0000085	AH015892-RA, AH017005-RA	Bevul.2G120700.1.p
OG0000085	AH018522-RA	Bevul.5G108500.1.p
OG0000087	AH006703-RA, AH020455-RA	Bevul.3G206400.1.p
OG0000087	AH019163-RA, AH015676-RA	Bevul.2G043100.1.p
OG0000087	AH019164-RA, AH015677-RA	Bevul.2G042800.1.p
OG0000087	AH004659-RA	Bevul.6G246200.1.p
OG0000087	AH017338-RA	Bevul.5G203900.1.p
OG0000088	AH007982-RA	Bevul.4G082000.1.p
OG0000088	AH002003-RA, AH000992-RA	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p
OG0000088	AH014780-RA	Bevul.8G074400.1.p
OG0000089	AH002040-RA	Bevul.9G199700.1.p
OG0000089	AH019224-RA, AH019223-RA	Bevul.2G018800.1.p
OG0000089	AH014168-RA	Bevul.8G186400.1.p
OG0000090	AH010641-RA	Bevul.4G177600.1.p
OG0000090	AH005307-RA	Bevul.6G147700.1.p
OG0000090	AH004871-RA, AH004467-RA	Bevul.6G173400.1.p
OG0000091	AH020558-RA	Bevul.3G230400.1.p
OG0000091	AH020560-RA	Bevul.3G229900.1.p, Bevul.3G229800.1.p
OG0000091	AH016466-RA	Bevul.2G233100.1.p
OG0000091	AH021178-RA, AH000644-RA	Bevul.7G053900.1.p
OG0000091	AH008758-RA	Bevul.1G098700.1.p
OG0000091	AH008757-RA	Bevul.1G099000.1.p, Bevul.1G098800.1.p
OG0000091	AH019221-RA, AH019219-RA	Bevul.5G151700.1.p, Bevul.5G151600.1.p
OG0000092	AH002167-RA	Bevul.9G149200.1.p, Bevul.9G105100.1.p
OG0000092	AH016633-RA	Bevul.5G086800.1.p
OG0000095	AH013260-RA	Bevul.7G228500.1.p
OG0000095	AH006304-RA	Bevul.6G047300.1.p
OG0000095	AH010162-RA	Bevul.4G035700.1.p
OG0000096	AH005894-RA	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p
OG0000097	AH017957-RA	Bevul.5G215500.1.p
OG0000097	AH021560-RA	Bevul.8G067300.1.p
OG0000097	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA	Bevul.4G007500.1.p, Bevul.4G009100.1.p, Bevul.4G009300.1.p, Bevul.4G009200.1.p, Bevul.4G006500.1.p, Bevul.4G008300.1.p, Bevul.4G008400.1.p, Bevul.4G008500.1.p, Bevul.7G126500.1.p
OG0000098	AH016758-RA	Bevul.1G023300.1.p
OG0000098	AH003177-RA	Bevul.5G002300.1.p
OG0000099	AH005801-RA	Bevul.6G102400.1.p
OG0000099	AH005806-RA, AH005677-RA	Bevul.6G101800.1.p, Bevul.6G102100.1.p, Bevul.6G102000.1.p
OG0000099	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA	Bevul.6G102500.1.p
OG0000099	AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA	Bevul.7G136600.1.p, Bevul.6G080300.1.p, Bevul.6G080100.1.p, Bevul.6G080000.1.p, Bevul.7G136500.1.p
OG0000101	AH019269-RA	Bevul.9G147500.1.p, Bevul.3G108700.1.p, Bevul.1G020800.1.p
OG0000102	AH010958-RA	Bevul.1G039700.1.p
OG0000102	AH012445-RA	Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p
OG0000102	AH021394-RA	Bevul.8G011700.1.p
OG0000103	AH010123-RA	Bevul.4G072400.1.p
OG0000103	AH021989-RA	Bevul.7G057800.1.p
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	Bevul.8G030200.1.p
OG0000103	AH011687-RA	Bevul.3G111000.1.p
OG0000104	AH021778-RA, AH012562-RA	Bevul.7G018600.1.p
OG0000104	AH012563-RA	Bevul.7G018700.1.p
OG0000104	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA	Bevul.9G234500.4.p, Bevul.9G234500.1.p, Bevul.9G234500.6.p, Bevul.9G234500.2.p, Bevul.9G234500.7.p, Bevul.9G234500.3.p, Bevul.9G234500.5.p, Bevul.9G234700.1.p, Bevul.9G234800.1.p
OG0000105	AH005316-RA	Bevul.6G149400.1.p
OG0000105	AH021428-RA, AH014857-RA	Bevul.8G035800.1.p
OG0000105	AH012640-RA, AH021838-RA	Bevul.7G031800.2.p, Bevul.7G031800.1.p
OG0000105	AH013279-RA	Bevul.7G230900.1.p
OG0000106	AH023641-RA, AH000766-RA	Bevul.9G126800.1.p, Bevul.9G127200.1.p, Bevul.9G127500.1.p, Bevul.9G126400.1.p
OG0000106	AH007103-RA, AH002332-RA	Bevul.9G126500.1.p
OG0000106	AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA	Bevul.9G126700.1.p
OG0000106	AH000765-RA, AH000768-RA	Bevul.9G127700.1.p, Bevul.9G127800.1.p
OG0000107	AH004190-RA, AH005485-RA	Bevul.6G135200.1.p
OG0000107	AH001713-RA	Bevul.6G135100.1.p
OG0000108	AH010687-RA	Bevul.4G117300.1.p
OG0000108	AH001829-RA	Bevul.9G172600.1.p
OG0000108	AH012760-RA, AH014759-RA	Bevul.8G078900.1.p
OG0000109	AH001741-RA	Bevul.9G160500.4.p, Bevul.9G160500.1.p, Bevul.9G160500.3.p, Bevul.9G160500.2.p
OG0000109	AH003764-RA	Bevul.6G028900.1.p
OG0000109	AH008949-RA	Bevul.1G164200.1.p
OG0000110	AH019974-RA, AH007045-RA	Bevul.3G149500.1.p
OG0000113	AH016269-RA, AH023225-RA	Bevul.2G177100.1.p
OG0000113	AH023633-RA	Bevul.1G135600.1.p
OG0000113	AH018586-RA	Bevul.5G004000.1.p
OG0000113	AH018584-RA	Bevul.5G004200.1.p
OG0000113	AH018579-RA	Bevul.5G005400.1.p
OG0000113	AH003200-RA	Bevul.5G005300.1.p
OG0000114	AH015161-RA	Bevul.8G062400.1.p
OG0000115	AH020498-RA	Bevul.3G216700.1.p
OG0000115	AH002718-RA, AH002719-RA	Bevul.5G258000.1.p
OG0000115	AH021864-RA, AH006630-RA	Bevul.3G216400.1.p
OG0000115	AH020499-RA	Bevul.3G216800.1.p
OG0000115	AH011228-RA	Bevul.4G166300.1.p, Bevul.4G166200.1.p
OG0000115	AH011595-RA	Bevul.3G061200.1.p
OG0000116	AH006915-RA	Bevul.7G210000.1.p
OG0000116	AH022502-RA	Bevul.5G013500.1.p
OG0000117	AH003210-RA, AH018569-RA	Bevul.5G006500.1.p, Bevul.5G006800.1.p, Bevul.4G042900.1.p, Bevul.4G042700.1.p, Bevul.4G042800.1.p, Bevul.4G043000.1.p
OG0000117	AH011627-RA, AH011626-RA	Bevul.3G100300.1.p
OG0000117	AH021154-RA	Bevul.8G125200.1.p, Bevul.8G125100.1.p
OG0000117	AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA	Bevul.8G194200.1.p, Bevul.2G080700.1.p
OG0000117	AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA	Bevul.7G058300.1.p, Bevul.7G058400.1.p
OG0000118	AH022107-RA	Bevul.7G094000.1.p
OG0000118	AH012040-RA	Bevul.3G044400.1.p
OG0000118	AH006465-RA	Bevul.6G031600.1.p
