Orthogroup	P_amilis.proteins	A_thaliana.proteins
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	FUN_051962-T1, FUN_045720-T1	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	FUN_015112-T1	AT3G23250.1
OG0000041	FUN_010340-T1	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	FUN_003721-T1	AT3G13540.1
OG0000041	FUN_037732-T1, FUN_048382-T1	AT1G35515.1, AT4G09460.1
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	AT1G07440.2, AT2G29170.1
OG0000042	FUN_047986-T1	AT2G29260.1
OG0000042	FUN_047988-T2, FUN_047988-T3, FUN_047988-T4, FUN_047988-T1, FUN_047989-T1	AT2G29350.3, AT2G29350.1, AT2G29350.2, AT2G29290.2, AT2G29290.1, AT2G29360.1, AT2G29150.1, AT2G29370.1
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	FUN_030472-T1	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1	AT5G10610.1, AT5G10600.1
OG0000044	FUN_001129-T1	AT3G50700.1, AT5G66730.1
OG0000044	FUN_020670-T1	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1
OG0000044	FUN_039424-T1	AT5G03150.1
OG0000044	FUN_012688-T1	AT1G03840.2, AT1G03840.1
OG0000044	FUN_050905-T1	AT4G02670.1, AT4G02670.2
OG0000045	FUN_028651-T1	AT1G67020.1
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	FUN_015529-T1, FUN_026427-T1	AT3G24550.1, AT3G24540.1
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	FUN_016469-T1, FUN_029956-T1	AT5G38560.1
OG0000047	FUN_016927-T1, FUN_029662-T1	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	FUN_052024-T1, FUN_044316-T1	AT2G34440.1, AT3G66656.1
OG0000047	FUN_011417-T1	AT5G62165.14
OG0000048	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1, FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1, FUN_004042-T1, FUN_004048-T1	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1
OG0000048	FUN_020326-T1	AT2G18370.1
OG0000050	FUN_053188-T1, FUN_053188-T2	AT1G21280.1
OG0000055	FUN_025259-T1, FUN_025259-T2	AT5G13160.1
OG0000055	FUN_020259-T1	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	FUN_024965-T1	AT1G07860.1
OG0000055	FUN_043526-T1, FUN_024966-T1	AT3G07070.1
OG0000055	FUN_051595-T1	AT3G24790.2, AT3G24790.1, AT4G13190.4, AT4G13190.1, AT4G13190.3, AT4G13190.2, AT4G13190.5
OG0000055	FUN_045967-T1, FUN_049882-T1	AT3G20530.2, AT3G20530.1
OG0000055	FUN_014867-T1	AT1G61860.1
OG0000055	FUN_007699-T1	AT1G07870.1, AT1G07870.2
OG0000056	FUN_036761-T1, FUN_036761-T2	AT5G45910.1
OG0000058	FUN_009655-T1, FUN_009655-T2	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2
OG0000058	FUN_000928-T1	AT5G59110.1
OG0000058	FUN_020519-T1, FUN_000927-T1	AT5G03620.2, AT5G03620.1
OG0000059	FUN_026705-T1, FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3
OG0000059	FUN_036121-T1, FUN_036120-T1, FUN_036109-T1	AT1G16090.1
OG0000060	FUN_053171-T1	ATMG00810.1
OG0000063	FUN_007710-T1	AT5G58390.1, AT5G58400.1
OG0000063	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1	AT5G05340.1
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	AT3G09270.1
OG0000067	FUN_027482-T1	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000068	FUN_045069-T1, FUN_045070-T1, FUN_035301-T1, FUN_012468-T3, FUN_012468-T1, FUN_012468-T2, FUN_029024-T1	AT5G35810.1
OG0000068	FUN_014800-T1	AT5G35830.1, AT3G54070.1
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	AT3G12110.1
OG0000070	FUN_038597-T1	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1
OG0000071	FUN_025121-T1, FUN_050310-T1	AT4G24780.2, AT4G24780.1
OG0000071	FUN_031359-T1, FUN_031363-T1	AT3G27400.2, AT3G27400.1
OG0000071	FUN_006200-T1	AT3G53190.1
OG0000071	FUN_017402-T1	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	FUN_005720-T1	AT4G13710.2, AT4G13710.1
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	FUN_032036-T1	AT1G67750.1
OG0000072	FUN_025445-T1	AT4G40040.3, AT4G40030.1
OG0000072	FUN_036489-T1	AT5G10390.1
OG0000072	FUN_011881-T1	AT3G27360.1
OG0000072	FUN_049826-T1	AT1G75600.1
OG0000075	FUN_053122-T1, FUN_053198-T1	AT1G40390.1, AT1G43760.1
OG0000076	FUN_021898-T1, FUN_042051-T1, FUN_032174-T1, FUN_047060-T1, FUN_030675-T1, FUN_029162-T1, FUN_026104-T1, FUN_007816-T1, FUN_023546-T1, FUN_033496-T1, FUN_048289-T1, FUN_041797-T1, FUN_012690-T1, FUN_040419-T1, FUN_038716-T1, FUN_018002-T1, FUN_014882-T1, FUN_006014-T1, FUN_029617-T1, FUN_012389-T1, FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1, FUN_052590-T1, FUN_032879-T1, FUN_020273-T1, FUN_032942-T1, FUN_045100-T1, FUN_047103-T1, FUN_038886-T1, FUN_001158-T1, FUN_034641-T1, FUN_004883-T1, FUN_001989-T1, FUN_018147-T1, FUN_020267-T1, FUN_029677-T1, FUN_006263-T1, FUN_036010-T1, FUN_049769-T1, FUN_020684-T1, FUN_045843-T1, FUN_041680-T1, FUN_026563-T1, FUN_008655-T1, FUN_001810-T1, FUN_016859-T1, FUN_037603-T1, FUN_007989-T1, FUN_036065-T1, FUN_049253-T1, FUN_050980-T1, FUN_023822-T1, FUN_037806-T1, FUN_051438-T1, FUN_016257-T1, FUN_005236-T1, FUN_018146-T1, FUN_038753-T1, FUN_043921-T1, FUN_033899-T1, FUN_016695-T1, FUN_050571-T1, FUN_052464-T1, FUN_019910-T1, FUN_024278-T1, FUN_006264-T1, FUN_038183-T1, FUN_019359-T1, FUN_026269-T1, FUN_015273-T1, FUN_041773-T1, FUN_003908-T1, FUN_030844-T1, FUN_045193-T1, FUN_009909-T1, FUN_001826-T1, FUN_029709-T1, FUN_020726-T1, FUN_017024-T1, FUN_005730-T1, FUN_015794-T1, FUN_040754-T1, FUN_023607-T1, FUN_020926-T1, FUN_001244-T1, FUN_041593-T1, FUN_051211-T1, FUN_038103-T1, FUN_035957-T1, FUN_029766-T1, FUN_018392-T1, FUN_010513-T1, FUN_041319-T1, FUN_014955-T1, FUN_011939-T1, FUN_029338-T1, FUN_006396-T1, FUN_027881-T1, FUN_048737-T1, FUN_025793-T1, FUN_037866-T1, FUN_020480-T1, FUN_000168-T1, FUN_002310-T1, FUN_017423-T1, FUN_017093-T1, FUN_028430-T1, FUN_002574-T1, FUN_052380-T1, FUN_009231-T1, FUN_037969-T1, FUN_042845-T1, FUN_012766-T1, FUN_043189-T1, FUN_043920-T1, FUN_040136-T1, FUN_012861-T1	AT5G42965.1
OG0000077	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	AT2G21100.1, AT2G21100.2
OG0000077	FUN_000256-T1	AT1G58170.1, AT3G58090.1, AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1
OG0000077	FUN_033024-T1	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1
OG0000078	FUN_030618-T1	AT4G16295.1, AT4G29035.1
OG0000078	FUN_041364-T1, FUN_011520-T1, FUN_046202-T1	AT5G06020.1, AT5G06030.1, AT5G06040.1
OG0000085	FUN_041708-T1, FUN_028183-T1	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1	AT1G72540.1
OG0000085	FUN_007810-T1	AT5G01020.1
OG0000085	FUN_005979-T1, FUN_044617-T1	AT2G07180.1, AT2G07180.2
OG0000085	FUN_003118-T1	AT5G56460.1
OG0000085	FUN_041849-T1	AT1G61590.1
OG0000087	FUN_004476-T1, FUN_032711-T1	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000087	FUN_047495-T1, FUN_010957-T1	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1
OG0000088	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	AT1G15520.2, AT1G15520.1
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4, FUN_026304-T1	AT3G30842.1
OG0000090	FUN_052301-T2, FUN_052301-T1	AT5G63970.1, AT5G63970.2
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
OG0000091	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1	AT4G14130.1, AT3G23730.1
OG0000093	FUN_007585-T1, FUN_008357-T1	AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2
OG0000095	FUN_053310-T2, FUN_053310-T1	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2
OG0000095	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4	AT3G22170.1, AT3G22170.2
OG0000095	FUN_053289-T2, FUN_053289-T1	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1
OG0000098	FUN_024139-T1	AT1G20010.1, AT1G75780.1
OG0000098	FUN_036291-T1	AT5G12250.1
OG0000098	FUN_040838-T1	AT5G62690.1, AT5G62700.1, AT2G29550.1, AT5G23860.2, AT5G23860.1
OG0000099	FUN_004255-T1, FUN_007844-T1, FUN_007845-T1, FUN_004319-T1, FUN_000816-T1, FUN_004293-T1, FUN_006143-T1, FUN_004278-T1, FUN_004291-T1, FUN_004281-T1, FUN_004285-T1, FUN_004252-T1, FUN_012557-T1, FUN_004277-T1, FUN_013003-T1, FUN_007545-T1, FUN_004218-T1, FUN_004273-T1, FUN_004257-T1, FUN_004271-T1, FUN_004244-T1	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000101	FUN_053190-T1	AT2G06541.1, AT2G06541.2
OG0000102	FUN_036782-T1, FUN_036783-T1	AT3G49340.1, AT2G27420.1
OG0000102	FUN_036786-T1	AT5G45890.1
OG0000103	FUN_011723-T1, FUN_046785-T1	AT1G16670.1
OG0000105	FUN_039134-T1	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1
OG0000107	FUN_020121-T2, FUN_020121-T1	AT1G15080.1
OG0000107	FUN_033480-T2, FUN_033480-T1, FUN_020090-T1	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2
OG0000107	FUN_046807-T1	AT3G18220.1
OG0000108	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3
OG0000108	FUN_034902-T1	AT5G46540.1, AT4G18050.1, AT4G18050.2
OG0000109	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1
OG0000109	FUN_031066-T1, FUN_025571-T1	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3
OG0000110	FUN_020206-T1	AT5G48100.1
OG0000110	FUN_043352-T1, FUN_027217-T1	AT5G09360.1
OG0000111	FUN_020625-T1, FUN_048229-T1, FUN_021866-T1, FUN_017604-T1, FUN_029836-T1, FUN_050868-T1, FUN_029624-T1, FUN_042134-T1, FUN_010864-T1, FUN_040742-T1, FUN_025786-T1, FUN_023316-T1, FUN_035362-T1, FUN_042114-T1, FUN_016556-T1, FUN_024443-T1, FUN_022466-T1, FUN_009322-T1, FUN_051260-T1, FUN_029045-T1, FUN_009036-T1, FUN_028182-T1, FUN_017657-T1, FUN_014807-T1, FUN_010413-T1, FUN_045177-T1, FUN_034639-T1, FUN_023089-T1, FUN_000131-T1, FUN_040210-T1, FUN_042135-T1, FUN_014808-T1, FUN_002107-T1, FUN_006292-T1, FUN_005765-T1, FUN_026587-T1, FUN_022819-T1, FUN_042235-T1, FUN_027757-T1, FUN_022478-T1, FUN_052661-T1, FUN_047878-T1, FUN_044714-T1, FUN_050452-T1, FUN_015488-T1, FUN_031127-T1, FUN_019408-T1, FUN_048243-T1, FUN_006377-T1, FUN_052993-T1, FUN_043602-T1, FUN_045885-T1, FUN_000128-T1, FUN_044382-T1, FUN_036609-T1, FUN_042236-T1, FUN_039251-T1, FUN_022824-T1, FUN_051120-T1, FUN_044508-T1, FUN_029307-T1, FUN_023408-T1, FUN_000029-T1, FUN_008628-T1, FUN_009124-T1, FUN_009738-T1, FUN_039807-T1, FUN_031482-T1, FUN_031589-T1, FUN_013591-T1, FUN_037562-T1, FUN_028915-T1, FUN_047753-T1, FUN_050409-T1, FUN_029704-T1, FUN_029705-T1, FUN_003030-T1, FUN_008848-T1, FUN_027891-T1, FUN_010354-T1, FUN_000448-T1, FUN_000326-T1, FUN_022680-T1, FUN_008238-T1, FUN_030880-T1, FUN_031561-T1, FUN_021643-T1, FUN_031585-T1, FUN_051365-T1, FUN_023098-T1, FUN_040262-T1, FUN_002381-T1, FUN_006221-T1, FUN_027862-T1, FUN_006562-T1, FUN_008894-T1, FUN_009619-T1, FUN_025903-T1, FUN_028870-T1, FUN_028181-T1, FUN_028913-T1, FUN_023411-T1, FUN_027549-T1, FUN_018173-T1, FUN_009902-T1, FUN_008052-T1, FUN_021366-T1, FUN_001037-T1, FUN_003061-T1	AT5G32613.1, AT5G28823.1, AT2G07760.1
OG0000112	FUN_048674-T1	ATCG00860.1, ATCG01280.1
OG0000113	FUN_036924-T1	AT4G00165.1, AT4G00165.2
OG0000113	FUN_040152-T1, FUN_040153-T1	AT2G45180.1
OG0000113	FUN_040159-T1	AT1G62510.1, AT1G12090.1, AT4G12520.1, AT4G12510.1
OG0000113	FUN_040191-T1	AT1G12100.1
OG0000114	FUN_008529-T1, FUN_008532-T1, FUN_008538-T1, FUN_008540-T1, FUN_035476-T1, FUN_035471-T1, FUN_035477-T1, FUN_035473-T1, FUN_035478-T2, FUN_035478-T1, FUN_035478-T3, FUN_046590-T1, FUN_046591-T1, FUN_021823-T2, FUN_021823-T1, FUN_030024-T1, FUN_027385-T1	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1
OG0000114	FUN_008517-T1, FUN_035468-T1	AT4G21390.2, AT4G21390.1, AT1G61610.2, AT1G61610.1
OG0000115	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1	AT5G48350.1, AT3G62320.1
OG0000116	FUN_024579-T1	AT1G07820.1
OG0000116	FUN_022490-T1	AT5G59690.1
OG0000116	FUN_011257-T1	AT1G07660.1
