Orthogroup	P_amilis.proteins	G_max.proteins
OG0000027	FUN_047527-T1	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p
OG0000027	FUN_049510-T1	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p
OG0000027	FUN_011010-T2, FUN_011010-T1	GmISU01.07G023600.4.p
OG0000027	FUN_024104-T2, FUN_024104-T1	GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p
OG0000027	FUN_005343-T1, FUN_005343-T2	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p, GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p
OG0000027	FUN_053156-T1	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p
OG0000027	FUN_052200-T1, FUN_005491-T1	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p
OG0000028	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1	GmISU01.09G114900.1.p
OG0000028	FUN_050971-T1	GmISU01.15G136000.1.p
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p, GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p
OG0000029	FUN_012166-T1	GmISU01.09G026100.1.p
OG0000030	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1	GmISU01.11G076400.1.p, GmISU01.01G123300.1.p, GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1, FUN_046131-T1, FUN_046111-T1, FUN_046117-T1, FUN_046121-T1, FUN_046133-T1, FUN_046120-T1, FUN_046114-T1, FUN_046125-T1, FUN_046123-T1, FUN_046129-T1, FUN_046110-T1, FUN_046122-T1, FUN_046116-T1, FUN_046128-T1, FUN_046126-T1, FUN_046113-T1, FUN_046132-T1, FUN_046137-T1, FUN_046135-T1, FUN_046136-T1, FUN_002402-T1	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p
OG0000030	FUN_004132-T1	GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p
OG0000031	FUN_047053-T1	GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p
OG0000031	FUN_009433-T1	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p
OG0000031	FUN_018873-T1, FUN_018874-T1, FUN_003563-T1	GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p
OG0000031	FUN_009434-T1	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000031	FUN_038338-T1	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p
OG0000032	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1, FUN_031303-T1, FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p
OG0000034	FUN_018515-T1	GmISU01.20G104100.1.p
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000034	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p
OG0000037	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p
OG0000037	FUN_000651-T1	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p
OG0000038	FUN_004360-T1, FUN_050362-T1	GmISU01.04G152300.1.p
OG0000038	FUN_037585-T1, FUN_025377-T1, FUN_025082-T1, FUN_050347-T1	GmISU01.05G039200.1.p
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000041	FUN_051962-T1, FUN_045720-T1	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	FUN_002730-T1	GmISU01.06G147100.1.p, GmISU01.04G166400.1.p
OG0000041	FUN_016739-T1	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p
OG0000041	FUN_015112-T1	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p
OG0000041	FUN_010340-T1	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p
OG0000041	FUN_037490-T1	GmISU01.03G215400.1.p, GmISU01.19G216600.1.p, GmISU01.16G020400.1.p, GmISU01.07G050100.1.p
OG0000041	FUN_027799-T1	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000041	FUN_003721-T1	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	GmISU01.12G054200.1.p
OG0000042	FUN_047986-T1	GmISU01.11G123500.1.p
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	FUN_030472-T1	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1, FUN_024185-T1, FUN_024184-T1, FUN_024186-T1, FUN_024187-T1, FUN_024769-T1, FUN_030446-T1, FUN_030447-T1, FUN_041873-T1, FUN_041870-T1, FUN_041871-T1, FUN_041872-T1, FUN_041876-T1, FUN_041875-T1, FUN_025703-T1, FUN_032853-T1, FUN_011522-T1, FUN_030474-T1	GmISU01.11G085400.1.p
OG0000044	FUN_001129-T1	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	FUN_020670-T1	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p
OG0000044	FUN_039424-T1	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	FUN_012688-T1	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p
OG0000044	FUN_050905-T1	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p
OG0000046	FUN_015529-T1, FUN_026427-T1	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p
OG0000046	FUN_016469-T1, FUN_029956-T1	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p
OG0000047	FUN_016927-T1, FUN_029662-T1	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
OG0000048	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1, FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1, FUN_004042-T1, FUN_004048-T1	GmISU01.18G048900.1.p, GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p
OG0000048	FUN_020326-T1	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1, FUN_028422-T1, FUN_010388-T1, FUN_043838-T1, FUN_004521-T1, FUN_046746-T1, FUN_008570-T1, FUN_053084-T1, FUN_053186-T1, FUN_026082-T1, FUN_047850-T1, FUN_029523-T1, FUN_042954-T1, FUN_033625-T1, FUN_015539-T1, FUN_031844-T1, FUN_047921-T1, FUN_023523-T1, FUN_001245-T1, FUN_012030-T1, FUN_053188-T1, FUN_053188-T2, FUN_053296-T1, FUN_052997-T1, FUN_053004-T1	GmISU01.15G184350.1.p
OG0000051	FUN_037553-T1, FUN_025718-T1, FUN_053077-T1, FUN_053100-T1, FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1, FUN_053258-T1, FUN_000050-T1, FUN_039290-T1, FUN_009538-T1, FUN_009537-T1, FUN_027836-T1, FUN_026756-T1, FUN_048683-T1, FUN_053323-T1, FUN_029031-T1, FUN_005994-T1, FUN_053287-T1, FUN_053148-T1, FUN_042860-T1, FUN_053119-T1, FUN_043928-T1, FUN_027860-T1, FUN_009799-T1, FUN_017350-T1, FUN_039946-T1, FUN_025125-T1, FUN_010148-T1, FUN_026904-T1, FUN_021790-T1, FUN_051181-T1, FUN_029436-T1	GmISU01.20G155800.1.p
OG0000055	FUN_025259-T1, FUN_025259-T2	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p
OG0000055	FUN_020259-T1	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p
OG0000055	FUN_020601-T1	GmISU01.16G047400.1.p, GmISU01.19G073600.1.p, GmISU01.19G073600.3.p
OG0000055	FUN_024965-T1	GmISU01.11G132900.1.p
OG0000055	FUN_043526-T1, FUN_024966-T1	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p
OG0000055	FUN_045967-T1, FUN_049882-T1	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p
OG0000055	FUN_007699-T1	GmISU01.11G133000.1.p, GmISU01.12G067000.1.p
OG0000056	FUN_036761-T1, FUN_036761-T2	GmISU01.13G198000.1.p, GmISU01.15G076000.1.p
OG0000058	FUN_000928-T1	GmISU01.03G016350.1.p
OG0000058	FUN_020519-T1, FUN_000927-T1	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p
OG0000059	FUN_026705-T1, FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1	GmISU01.09G014100.1.p, GmISU01.09G014100.2.p, GmISU01.09G026600.1.p, GmISU01.09G026600.2.p, GmISU01.09G026500.1.p, GmISU01.09G026700.2.p, GmISU01.09G026700.3.p, GmISU01.09G026700.1.p, GmISU01.09G026400.1.p, GmISU01.09G026400.2.p, GmISU01.15G123800.1.p
OG0000059	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1	GmISU01.14G128300.1.p
OG0000060	FUN_053291-T1	GmISU01.12G106500.1.p
OG0000060	FUN_053226-T1	GmISU01.13G060900.1.p, GmISU01.09G052900.1.p
OG0000060	FUN_053013-T1	GmISU01.17G003100.1.p, GmISU01.12G026300.1.p
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p
OG0000063	FUN_049359-T1	GmISU01.09G232300.1.p, GmISU01.18G159500.1.p, GmISU01.09G232400.1.p, GmISU01.18G159400.1.p, GmISU01.18G051400.1.p, GmISU01.11G171500.1.p, GmISU01.02G197200.1.p, GmISU01.14G166700.1.p
OG0000063	FUN_029304-T1, FUN_029314-T1, FUN_029317-T2, FUN_029317-T1, FUN_019005-T1	GmISU01.14G049800.1.p
OG0000063	FUN_007710-T1	GmISU01.11G171200.1.p, GmISU01.18G051100.1.p
OG0000063	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1	GmISU01.14G049700.1.p, GmISU01.02G221000.1.p, GmISU01.04G179300.1.p, GmISU01.06G132800.1.p
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p
OG0000065	FUN_043594-T1	GmISU01.20G071000.1.p
OG0000067	FUN_027482-T1	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p
