"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"78","GO:1902931","negative regulation of alcohol biosynthetic process",2,1,0.02,0.01837
"79","GO:1903427","negative regulation of reactive oxygen species biosynthetic process",2,1,0.02,0.01837
"80","GO:0046203","spermidine catabolic process",2,1,0.02,0.01837
"81","GO:0015812","gamma-aminobutyric acid transport",2,1,0.02,0.01837
"82","GO:0051245","negative regulation of cellular defense response",2,1,0.02,0.01837
"83","GO:0090359","negative regulation of abscisic acid biosynthetic process",2,1,0.02,0.01837
"84","GO:0033481","galacturonate biosynthetic process",2,1,0.02,0.01837
"85","GO:0033478","UDP-rhamnose metabolic process",2,1,0.02,0.01837
"86","GO:0009800","cinnamic acid biosynthetic process",2,1,0.02,0.01837
"87","GO:0009803","cinnamic acid metabolic process",2,1,0.02,0.01837
"88","GO:0046394","carboxylic acid biosynthetic process",314,11,3.22,0.01871
"89","GO:0010927","cellular component assembly involved in morphogenesis",23,2,0.24,0.01881
"90","GO:0010928","regulation of auxin mediated signaling pathway",23,2,0.24,0.01881
"91","GO:0071417","cellular response to organonitrogen compound",23,2,0.24,0.01881
"92","GO:0032989","cellular component morphogenesis",23,2,0.24,0.01881
"93","GO:0000038","very long-chain fatty acid metabolic process",23,2,0.24,0.01881
"94","GO:0009890","negative regulation of biosynthetic process",229,6,2.35,0.01932
"95","GO:0002682","regulation of immune system process",62,3,0.64,0.01951
"96","GO:0009226","nucleotide-sugar biosynthetic process",24,2,0.25,0.0204
"97","GO:0048868","pollen tube development",116,4,1.19,0.02236
"98","GO:0009740","gibberellic acid mediated signaling pathway",26,2,0.27,0.02374
"99","GO:0031324","negative regulation of cellular metabolic process",314,7,3.22,0.02619
"100","GO:2000378","negative regulation of reactive oxygen species metabolic process",3,1,0.03,0.02742
"101","GO:0051761","sesquiterpene metabolic process",3,1,0.03,0.02742
"102","GO:0051762","sesquiterpene biosynthetic process",3,1,0.03,0.02742
"103","GO:0051639","actin filament network formation",3,1,0.03,0.02742
"104","GO:0006527","arginine catabolic process",3,1,0.03,0.02742
"105","GO:0006063","uronic acid metabolic process",3,1,0.03,0.02742
"106","GO:0035264","multicellular organism growth",3,1,0.03,0.02742
"107","GO:0051560","mitochondrial calcium ion homeostasis",3,1,0.03,0.02742
"108","GO:0051552","flavone metabolic process",3,1,0.03,0.02742
"109","GO:0051553","flavone biosynthetic process",3,1,0.03,0.02742
"110","GO:0051554","flavonol metabolic process",3,1,0.03,0.02742
"111","GO:0051555","flavonol biosynthetic process",3,1,0.03,0.02742
"112","GO:0019586","galacturonate metabolic process",3,1,0.03,0.02742
"113","GO:0080187","floral organ senescence",3,1,0.03,0.02742
"114","GO:0009871","jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway",3,1,0.03,0.02742
"115","GO:0036444","calcium import into the mitochondrion",3,1,0.03,0.02742
"116","GO:0031539","positive regulation of anthocyanin metabolic process",3,1,0.03,0.02742
"117","GO:0006851","mitochondrial calcium ion transmembrane transport",3,1,0.03,0.02742
"118","GO:0009617","response to bacterium",438,17,4.49,0.02837
"119","GO:0048522","positive regulation of cellular process",549,11,5.63,0.02848
"120","GO:0120255","olefinic compound biosynthetic process",30,3,0.31,0.02867
"121","GO:1901698","response to nitrogen compound",279,9,2.86,0.02871
"122","GO:0006633","fatty acid biosynthetic process",72,3,0.74,0.0288
"123","GO:0010476","gibberellin mediated signaling pathway",29,2,0.3,0.02913
"124","GO:0048646","anatomical structure formation involved in morphogenesis",126,4,1.29,0.02916
"125","GO:0009225","nucleotide-sugar metabolic process",30,2,0.31,0.03102
"126","GO:1901699","cellular response to nitrogen compound",30,2,0.31,0.03102
"127","GO:0009860","pollen tube growth",75,3,0.77,0.03197
"128","GO:0042127","regulation of cell population proliferation",31,2,0.32,0.03297
"129","GO:0071478","cellular response to radiation",77,3,0.79,0.03418
"130","GO:0014070","response to organic cyclic compound",274,12,2.81,0.03435
"131","GO:0009826","unidimensional cell growth",196,5,2.01,0.03502
"132","GO:1901700","response to oxygen-containing compound",1261,33,12.93,0.03503
"133","GO:0009595","detection of biotic stimulus",4,1,0.04,0.0364
"134","GO:0008216","spermidine metabolic process",4,1,0.04,0.0364
"135","GO:0035436","triose phosphate transmembrane transport",4,1,0.04,0.0364
"136","GO:0106167","extracellular ATP signaling",4,1,0.04,0.0364
"137","GO:0098581","detection of external biotic stimulus",4,1,0.04,0.0364
"138","GO:0033198","response to ATP",4,1,0.04,0.0364
"139","GO:0006564","L-serine biosynthetic process",4,1,0.04,0.0364
"140","GO:0071323","cellular response to chitin",4,1,0.04,0.0364
"141","GO:0071318","cellular response to ATP",4,1,0.04,0.0364
"142","GO:0009625","response to insect",4,1,0.04,0.0364
"143","GO:0015714","phosphoenolpyruvate transport",4,1,0.04,0.0364
"144","GO:0015717","triose phosphate transport",4,1,0.04,0.0364
"145","GO:0033388","putrescine biosynthetic process from arginine",4,1,0.04,0.0364
"146","GO:0009446","putrescine biosynthetic process",4,1,0.04,0.0364
"147","GO:0046683","response to organophosphorus",4,1,0.04,0.0364
"148","GO:0009823","cytokinin catabolic process",4,1,0.04,0.0364
"149","GO:0010185","regulation of cellular defense response",4,1,0.04,0.0364
"150","GO:0140115","export across plasma membrane",33,2,0.34,0.03699
"151","GO:0140352","export from cell",80,3,0.82,0.03765
"152","GO:0008610","lipid biosynthetic process",415,8,4.25,0.03811
"153","GO:0009627","systemic acquired resistance",34,2,0.35,0.03907
"154","GO:0120254","olefinic compound metabolic process",36,3,0.37,0.04056
"155","GO:0008283","cell population proliferation",35,2,0.36,0.04119
"156","GO:0009749","response to glucose",35,2,0.36,0.04119
"157","GO:0045088","regulation of innate immune response",35,2,0.36,0.04119
"158","GO:0009653","anatomical structure morphogenesis",750,12,7.69,0.04371
"159","GO:1901615","organic hydroxy compound metabolic process",209,5,2.14,0.04416
"160","GO:0010148","transpiration",5,1,0.05,0.04529
"161","GO:0042447","hormone catabolic process",5,1,0.05,0.04529
"162","GO:0070413","trehalose metabolism in response to stress",5,1,0.05,0.04529
"163","GO:0045827","negative regulation of isoprenoid metabolic process",5,1,0.05,0.04529
"164","GO:0010929","positive regulation of auxin mediated signaling pathway",5,1,0.05,0.04529
"165","GO:0006968","cellular defense response",5,1,0.05,0.04529
"166","GO:0006047","UDP-N-acetylglucosamine metabolic process",5,1,0.05,0.04529
"167","GO:0006048","UDP-N-acetylglucosamine biosynthetic process",5,1,0.05,0.04529
"168","GO:0009445","putrescine metabolic process",5,1,0.05,0.04529
"169","GO:0009862","systemic acquired resistance, salicylic acid mediated signaling pathway",5,1,0.05,0.04529
"170","GO:0043066","negative regulation of apoptotic process",5,1,0.05,0.04529
"171","GO:0071370","cellular response to gibberellin stimulus",37,2,0.38,0.04557
"172","GO:0000902","cell morphogenesis",282,6,2.89,0.04636
"173","GO:0048511","rhythmic process",87,3,0.89,0.0464
"174","GO:0007623","circadian rhythm",87,3,0.89,0.0464
"175","GO:0016053","organic acid biosynthetic process",362,11,3.71,0.04642
"176","GO:0000904","cell morphogenesis involved in differentiation",147,4,1.51,0.04706
"177","GO:0009746","response to hexose",38,2,0.39,0.04782
"178","GO:0006629","lipid metabolic process",681,11,6.98,0.04957
