Orthogroup	D_spatulata.proteins	V_vinifera.proteins
OG0000030	Ds_00015041-RA	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1
OG0000031	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA	VIT_204s0023g03790.1, VIT_204s0023g03810.1
OG0000031	Ds_00001472-RA	VIT_204s0023g02170.2, VIT_204s0023g02170.1
OG0000031	Ds_00000354-RA, Ds_00000355-RA	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	VIT_200s0532g00070.1
OG0000034	Ds_00010208-RA, Ds_00015077-RA	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1
OG0000034	Ds_00015914-RA	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1
OG0000037	Ds_00007891-RA	VIT_218s0001g11580.1, VIT_218s0001g11570.1
OG0000037	Ds_00015216-RA	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1
OG0000038	Ds_00003815-RA	VIT_217s0000g09610.1
OG0000038	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA	VIT_217s0000g09570.1, VIT_217s0000g09510.1
OG0000040	Ds_00008461-RA, Ds_00008462-RA	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1
OG0000041	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA	VIT_204s0023g03710.1, VIT_203s0038g02310.1
OG0000041	Ds_00006251-RA	VIT_207s0130g00040.1
OG0000041	Ds_00008539-RA, Ds_00005900-RA	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1
OG0000041	Ds_00016022-RA, Ds_00000091-RA	VIT_211s0016g01300.1, VIT_209s0002g01400.1
OG0000041	Ds_00006077-RA	VIT_208s0007g07230.1
OG0000042	Ds_00012464-RA	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4
OG0000042	Ds_00015505-RA	VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2
OG0000042	Ds_00007701-RA	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000043	Ds_00000548-RA, Ds_00002531-RA	VIT_218s0001g09650.1
OG0000043	Ds_00002532-RA	VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1
OG0000044	Ds_00010910-RA, Ds_00011206-RA	VIT_204s0023g01430.1
OG0000044	Ds_00005439-RA	VIT_201s0010g02100.2, VIT_201s0010g02100.1
OG0000044	Ds_00008781-RA	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1
OG0000044	Ds_00012803-RA	VIT_209s0002g02300.1, VIT_204s0008g01160.1
OG0000044	Ds_00008624-RA	VIT_200s0179g00170.1
OG0000046	Ds_00010906-RA, Ds_00011215-RA	VIT_203s0063g02440.1
OG0000046	Ds_00013053-RA	VIT_211s0016g03880.1
OG0000046	Ds_00008496-RA, Ds_00012090-RA	VIT_214s0083g00330.3, VIT_214s0083g00330.1
OG0000046	Ds_00000726-RA	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3
OG0000047	Ds_00001929-RA	VIT_207s0031g01140.1
OG0000047	Ds_00013036-RA	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1
OG0000047	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA	VIT_201s0010g03896.1
OG0000047	Ds_00008795-RA	VIT_215s0048g01240.1
OG0000047	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1
OG0000047	Ds_00004014-RA	VIT_212s0059g02675.1
OG0000050	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA, Ds_00012851-RA, Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA	VIT_216s0098g01340.1
OG0000055	Ds_00010593-RA	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4
OG0000055	Ds_00014521-RA	VIT_205s0020g01770.1
OG0000055	Ds_00001014-RA	VIT_207s0005g06450.1
OG0000055	Ds_00002955-RA	VIT_219s0014g00940.1, VIT_219s0090g00030.1
OG0000055	Ds_00001660-RA	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1, VIT_206s0004g03670.1
OG0000058	Ds_00011609-RA, Ds_00005255-RA	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1
OG0000058	Ds_00002067-RA	VIT_206s0080g00085.1
OG0000058	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	VIT_208s0007g03650.1
OG0000059	Ds_00015524-RA, Ds_00015528-RA	VIT_218s0001g01320.1, VIT_218s0001g01370.1
OG0000059	Ds_00009643-RA, Ds_00013734-RA	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1
OG0000059	Ds_00013728-RA	VIT_218s0041g00030.1
OG0000060	Ds_00008503-RA, Ds_00012663-RA, Ds_00017662-RA	VIT_203s0110g00150.1
OG0000063	Ds_00001207-RA, Ds_00010181-RA	VIT_212s0028g01830.1, VIT_212s0028g01840.1
OG0000065	Ds_00009318-RA, Ds_00016604-RA	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2
OG0000067	Ds_00010296-RA, Ds_00015402-RA	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5
OG0000070	Ds_00003633-RA	VIT_204s0044g00580.1
OG0000070	Ds_00016135-RA	VIT_212s0178g00200.4
OG0000070	Ds_00010078-RA	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3
OG0000070	Ds_00008515-RA	VIT_208s0007g06520.1, VIT_206s0004g04570.2, VIT_206s0004g04570.3, VIT_206s0004g04570.1
OG0000070	Ds_00001412-RA, Ds_00010928-RA	VIT_204s0044g00580.2, VIT_213s0019g01240.4
OG0000071	Ds_00003826-RA	VIT_217s0000g09810.1, VIT_214s0219g00230.2, VIT_214s0219g00230.1
OG0000071	Ds_00002033-RA	VIT_208s0007g04820.1
OG0000071	Ds_00013248-RA, Ds_00007141-RA	VIT_205s0051g00590.1
OG0000071	Ds_00006568-RA	VIT_207s0005g05520.4, VIT_207s0005g05520.1
OG0000071	Ds_00012035-RA, Ds_00010724-RA	VIT_201s0137g00240.2, VIT_201s0137g00240.1
OG0000072	Ds_00003598-RA	VIT_204s0023g03120.1
OG0000072	Ds_00000109-RA	VIT_206s0004g01710.1, VIT_206s0004g01690.1, VIT_218s0072g00800.1, VIT_204s0044g00560.1, VIT_213s0064g01340.1
OG0000076	Ds_00004958-RA	VIT_215s0021g00810.1
OG0000077	Ds_00000030-RA, Ds_00000031-RA	VIT_203s0038g02050.1
OG0000078	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA	VIT_206s0061g00475.1, VIT_207s0005g05300.1, VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1
OG0000079	Ds_00017477-RA, Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1
OG0000084	Ds_00017343-RA	VIT_208s0032g00240.1, VIT_210s0092g00480.1, VIT_210s0092g00370.1, VIT_210s0092g00495.1, VIT_218s0072g01140.1, VIT_210s0092g00510.1, VIT_219s0015g00080.1, VIT_219s0015g00110.1, VIT_219s0015g00100.1
OG0000085	Ds_00013315-RA	VIT_211s0016g01060.1
OG0000085	Ds_00002345-RA	VIT_209s0002g01110.1
OG0000085	Ds_00006817-RA	VIT_208s0056g00150.1
OG0000085	Ds_00003374-RA	VIT_211s0065g00470.2, VIT_211s0065g00470.1
OG0000085	Ds_00013221-RA, Ds_00016552-RA	VIT_206s0004g00220.2, VIT_206s0004g00220.1
OG0000085	Ds_00007391-RA	VIT_202s0087g00270.1
OG0000087	Ds_00000857-RA	VIT_208s0007g05390.1
OG0000087	Ds_00015816-RA, Ds_00008978-RA	VIT_201s0026g00940.1
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1
OG0000088	Ds_00011160-RA	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2
OG0000089	Ds_00010413-RA, Ds_00002434-RA	VIT_209s0002g05590.1, VIT_209s0002g05570.1, VIT_209s0002g05560.1, VIT_209s0002g05530.1, VIT_209s0002g05530.3, VIT_209s0002g05410.2, VIT_209s0002g05410.1, VIT_209s0002g05410.3, VIT_209s0002g05530.2
OG0000089	Ds_00000919-RA, Ds_00000698-RA	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1
OG0000089	Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA	VIT_211s0016g04590.1
OG0000090	Ds_00003959-RA	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7
OG0000090	Ds_00004417-RA	VIT_200s0780g00040.1
OG0000090	Ds_00008033-RA, Ds_00010488-RA	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3
OG0000091	Ds_00005720-RA, Ds_00012613-RA	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1
OG0000091	Ds_00007917-RA	VIT_211s0052g01250.1
OG0000091	Ds_00009843-RA	VIT_211s0052g01230.1
OG0000091	Ds_00009911-RA, Ds_00000663-RA	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1
OG0000092	Ds_00013213-RA, Ds_00006795-RA	VIT_219s0027g00830.1
OG0000093	Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA	VIT_213s0064g01740.1
OG0000095	Ds_00016626-RA	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3
OG0000095	Ds_00005433-RA	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4
OG0000095	Ds_00005415-RA	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6
OG0000096	Ds_00011884-RA, Ds_00011885-RA	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1
OG0000096	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1
OG0000097	Ds_00008970-RA	VIT_217s0000g08760.1
OG0000097	Ds_00011731-RA	VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1
OG0000098	Ds_00000511-RA	VIT_218s0001g14360.1
OG0000098	Ds_00004278-RA, Ds_00000887-RA	VIT_210s0003g05320.1
OG0000098	Ds_00001304-RA	VIT_202s0025g03540.1, VIT_217s0000g02450.1
OG0000098	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1
OG0000098	Ds_00010103-RA	VIT_216s0050g00380.1
OG0000099	Ds_00012557-RA	VIT_214s0006g01680.1
OG0000102	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA, Ds_00011502-RA, Ds_00015916-RA	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3
OG0000103	Ds_00007541-RA	VIT_219s0027g00390.1
OG0000103	Ds_00008775-RA	VIT_208s0040g01930.5, VIT_208s0040g01930.7, VIT_208s0040g01930.4, VIT_208s0040g01930.3, VIT_208s0040g01930.8, VIT_208s0040g01930.2, VIT_208s0040g01930.6, VIT_208s0040g01930.1
OG0000103	Ds_00015206-RA, Ds_00015118-RA	VIT_200s0370g00010.4, VIT_200s0370g00010.3, VIT_200s0370g00010.2, VIT_200s0370g00010.1
OG0000104	Ds_00015579-RA	VIT_208s0007g02700.1
OG0000104	Ds_00015800-RA, Ds_00015801-RA	VIT_208s0007g02710.1
OG0000105	Ds_00016593-RA, Ds_00001973-RA	VIT_214s0066g00460.2, VIT_214s0066g00460.1
OG0000105	Ds_00004427-RA, Ds_00011176-RA, Ds_00014085-RA	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1
OG0000105	Ds_00008720-RA, Ds_00016969-RA	VIT_208s0007g03600.1, VIT_208s0007g03600.2
OG0000105	Ds_00015702-RA	VIT_206s0061g01540.1
OG0000106	Ds_00012991-RA	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1
OG0000107	Ds_00008559-RA	VIT_201s0011g04180.1
OG0000108	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1
OG0000108	Ds_00004396-RA	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1
OG0000109	Ds_00000324-RA	VIT_203s0038g00700.1
OG0000109	Ds_00013208-RA	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1
OG0000109	Ds_00000125-RA	VIT_218s0001g13580.1
OG0000110	Ds_00010855-RA	VIT_218s0122g00420.1, VIT_218s0122g00520.1
OG0000110	Ds_00011944-RA	VIT_218s0122g00370.1
OG0000110	Ds_00016825-RA	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1
OG0000110	Ds_00005164-RA	VIT_218s0164g00110.4, VIT_218s0164g00110.3, VIT_218s0164g00110.2, VIT_218s0164g00110.1, VIT_218s0164g00170.1, VIT_218s0164g00100.2, VIT_218s0164g00100.1, VIT_218s0122g00170.1, VIT_218s0164g00090.1
OG0000112	Ds_00016959-RA, Ds_00016949-RA	VIT_219s0027g00800.1
OG0000113	Ds_00004232-RA, Ds_00002603-RA	VIT_204s0008g05640.1
OG0000113	Ds_00016297-RA	VIT_215s0048g00630.1
OG0000113	Ds_00011325-RA	VIT_212s0035g02000.1, VIT_202s0154g00320.1
OG0000114	Ds_00015893-RA, Ds_00015892-RA	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1
OG0000115	Ds_00009366-RA	VIT_208s0040g00710.1, VIT_208s0040g00715.1
OG0000115	Ds_00011785-RA	VIT_214s0060g00990.1, VIT_214s0060g01000.1
OG0000115	Ds_00003925-RA, Ds_00003924-RA	VIT_207s0005g01745.1
OG0000116	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA	VIT_206s0004g03890.1
OG0000117	Ds_00008529-RA	VIT_201s0011g05150.1, VIT_201s0011g05180.1, VIT_201s0011g05190.1, VIT_201s0011g05170.1
OG0000117	Ds_00008532-RA, Ds_00008530-RA, Ds_00008531-RA	VIT_201s0011g05120.1, VIT_201s0011g05110.1, VIT_201s0011g05140.1, VIT_201s0011g05130.1
OG0000118	Ds_00011668-RA, Ds_00006827-RA	VIT_219s0015g01190.1
OG0000118	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA	VIT_202s0025g01050.1
OG0000118	Ds_00002816-RA	VIT_203s0038g02390.1
OG0000120	Ds_00011028-RA	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3
OG0000120	Ds_00011026-RA	VIT_208s0007g06140.1
OG0000120	Ds_00014982-RA	VIT_213s0064g01380.1
OG0000120	Ds_00015941-RA	VIT_215s0046g03030.1, VIT_215s0046g03030.2
OG0000122	Ds_00006648-RA	VIT_211s0037g01170.1
OG0000122	Ds_00016938-RA, Ds_00018075-RA	VIT_218s0001g08620.1, VIT_209s0002g08340.1
OG0000123	Ds_00017692-RA, Ds_00004523-RA	VIT_216s0100g00750.1, VIT_216s0100g01170.3, VIT_216s0100g01170.4, VIT_216s0100g01170.1, VIT_216s0100g01160.1, VIT_216s0100g01070.1, VIT_210s0042g00920.1, VIT_210s0042g00930.1, VIT_216s0100g00780.1, VIT_216s0100g00910.1, VIT_216s0100g00830.1, VIT_216s0100g01150.1, VIT_216s0100g01120.1, VIT_216s0100g01140.1, VIT_216s0100g01170.2, VIT_216s0100g01020.2, VIT_216s0100g00770.1, VIT_216s0100g00990.1, VIT_216s0100g01010.1, VIT_216s0100g01020.3, VIT_216s0100g00900.1, VIT_216s0100g00930.1, VIT_216s0100g00880.1, VIT_216s0100g01020.1, VIT_216s0100g01000.1, VIT_216s0100g01040.1, VIT_216s0100g00920.1, VIT_216s0100g00840.1, VIT_216s0100g00940.1, VIT_216s0100g00850.1
OG0000123	Ds_00005553-RA	VIT_205s0136g00260.1
OG0000124	Ds_00009554-RA	VIT_203s0063g00820.1
OG0000124	Ds_00003136-RA	VIT_205s0020g03010.1, VIT_205s0020g03000.1
