Orthogroup	D_spatulata.proteins	G_max.proteins
OG0000029	Ds_00010871-RA, Ds_00010870-RA	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p, GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p
OG0000029	Ds_00005993-RA	GmISU01.09G026100.1.p
OG0000030	Ds_00015041-RA	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p
OG0000031	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p
OG0000031	Ds_00001472-RA	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000031	Ds_00000354-RA, Ds_00000355-RA	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	GmISU01.20G104100.1.p
OG0000034	Ds_00010208-RA, Ds_00015077-RA	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000037	Ds_00010987-RA, Ds_00009807-RA, Ds_00007891-RA	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p
OG0000037	Ds_00015216-RA	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p
OG0000038	Ds_00017774-RA, Ds_00003815-RA, Ds_00005791-RA, Ds_00009691-RA, Ds_00013784-RA, Ds_00013785-RA	GmISU01.05G039200.1.p
OG0000038	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p
OG0000040	Ds_00008461-RA, Ds_00008462-RA	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000041	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	Ds_00006251-RA	GmISU01.06G147100.1.p, GmISU01.04G166400.1.p
OG0000041	Ds_00016658-RA	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p
OG0000041	Ds_00008539-RA, Ds_00005900-RA	GmISU01.20G011000.1.p, GmISU01.07G183700.1.p
OG0000041	Ds_00009329-RA	GmISU01.03G207400.1.p, GmISU01.19G208400.1.p, GmISU01.10G133300.1.p
OG0000041	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p, GmISU01.19G063300.1.p
OG0000041	Ds_00016022-RA, Ds_00000091-RA	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000041	Ds_00006077-RA	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p
OG0000042	Ds_00012464-RA	GmISU01.12G054200.1.p
OG0000042	Ds_00015505-RA	GmISU01.11G123500.1.p
OG0000042	Ds_00007701-RA	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	Ds_00000548-RA, Ds_00002531-RA, Ds_00002532-RA	GmISU01.11G085400.1.p
OG0000044	Ds_00010910-RA, Ds_00011206-RA	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	Ds_00005439-RA	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p
OG0000044	Ds_00008781-RA	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	Ds_00012803-RA	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p
OG0000044	Ds_00008624-RA	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	Ds_00016515-RA, Ds_00004346-RA	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p
OG0000046	Ds_00013053-RA	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	Ds_00008610-RA	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p
OG0000046	Ds_00008496-RA, Ds_00012090-RA	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p
OG0000047	Ds_00001929-RA	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
OG0000048	Ds_00014304-RA	GmISU01.09G230100.1.p, GmISU01.18G162600.1.p
OG0000049	Ds_00012230-RA, Ds_00003024-RA, Ds_00002245-RA, Ds_00008896-RA, Ds_00006497-RA, Ds_00017443-RA, Ds_00012468-RA, Ds_00017526-RA, Ds_00014937-RA	GmISU01.14G092500.1.p
OG0000049	Ds_00013655-RA, Ds_00002182-RA, Ds_00005477-RA, Ds_00005217-RA, Ds_00017621-RA, Ds_00017554-RA, Ds_00002211-RA, Ds_00012899-RA, Ds_00006677-RA, Ds_00012844-RA, Ds_00014920-RA, Ds_00010466-RA, Ds_00018005-RA	GmISU01.10G088100.1.p, GmISU01.15G161800.1.p
OG0000050	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA, Ds_00012851-RA, Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA, Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA, Ds_00016172-RA	GmISU01.15G184350.1.p
OG0000051	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA, Ds_00002936-RA, Ds_00016530-RA, Ds_00015250-RA, Ds_00017962-RA, Ds_00009669-RA, Ds_00014341-RA, Ds_00007321-RA	GmISU01.20G155800.1.p
OG0000055	Ds_00010593-RA	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p
OG0000055	Ds_00014521-RA	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p
OG0000055	Ds_00001014-RA	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p
OG0000055	Ds_00002955-RA	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p
OG0000055	Ds_00001660-RA	GmISU01.19G141500.1.p, GmISU01.03G138500.1.p, GmISU01.10G044300.1.p, GmISU01.13G108000.1.p, GmISU01.11G133000.1.p, GmISU01.12G067000.1.p
OG0000058	Ds_00002067-RA	GmISU01.03G016350.1.p
OG0000058	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p
OG0000059	Ds_00009643-RA, Ds_00013734-RA	GmISU01.09G014100.1.p, GmISU01.09G014100.2.p, GmISU01.09G026600.1.p, GmISU01.09G026600.2.p, GmISU01.09G026500.1.p, GmISU01.09G026700.2.p, GmISU01.09G026700.3.p, GmISU01.09G026700.1.p, GmISU01.09G026400.1.p, GmISU01.09G026400.2.p, GmISU01.15G123800.1.p
OG0000059	Ds_00013728-RA	GmISU01.14G128300.1.p
OG0000063	Ds_00001207-RA, Ds_00010181-RA	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p
OG0000063	Ds_00014318-RA	GmISU01.14G049800.1.p
OG0000065	Ds_00009318-RA, Ds_00016604-RA	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p
OG0000067	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p
OG0000067	Ds_00010296-RA, Ds_00015402-RA	GmISU01.03G139900.2.p, GmISU01.03G139900.7.p, GmISU01.19G143200.21.p, GmISU01.19G143200.20.p, GmISU01.19G143200.18.p, GmISU01.19G143200.14.p, GmISU01.19G143200.5.p, GmISU01.19G143200.17.p, GmISU01.19G143200.13.p, GmISU01.19G143200.7.p, GmISU01.19G143200.10.p, GmISU01.19G143200.8.p, GmISU01.19G143200.3.p, GmISU01.19G143200.6.p, GmISU01.19G143200.4.p, GmISU01.19G143200.1.p, GmISU01.19G143200.15.p, GmISU01.19G143200.11.p, GmISU01.19G143200.12.p, GmISU01.19G143200.16.p, GmISU01.19G143200.19.p, GmISU01.19G143200.2.p, GmISU01.19G143200.9.p, GmISU01.10G045800.13.p, GmISU01.10G045800.3.p, GmISU01.10G045800.14.p, GmISU01.10G045800.8.p, GmISU01.10G045800.5.p, GmISU01.10G045800.4.p, GmISU01.10G045800.2.p, GmISU01.13G109300.3.p, GmISU01.13G109300.4.p, GmISU01.13G109300.5.p, GmISU01.13G109300.2.p, GmISU01.13G109300.1.p, GmISU01.10G045800.10.p, GmISU01.10G045800.7.p, GmISU01.10G045800.6.p, GmISU01.10G045800.12.p, GmISU01.10G045800.1.p, GmISU01.10G045800.11.p
OG0000070	Ds_00003633-RA	GmISU01.05G159700.1.p, GmISU01.08G135800.1.p, GmISU01.06G137400.2.p, GmISU01.06G137400.1.p, GmISU01.06G137400.3.p, GmISU01.04G175300.4.p, GmISU01.04G175300.3.p, GmISU01.04G175300.2.p, GmISU01.04G175300.1.p
OG0000070	Ds_00010078-RA	GmISU01.02G150500.1.p, GmISU01.02G150500.3.p, GmISU01.02G150500.2.p, GmISU01.09G090200.4.p, GmISU01.09G090200.3.p, GmISU01.09G090200.2.p, GmISU01.19G114300.4.p, GmISU01.03G109300.1.p, GmISU01.11G127200.1.p, GmISU01.12G058000.3.p, GmISU01.12G058000.2.p, GmISU01.12G058000.1.p, GmISU01.05G000900.2.p, GmISU01.19G000900.1.p, GmISU01.02G082600.1.p, GmISU01.18G233000.2.p, GmISU01.18G233000.1.p
OG0000070	Ds_00008515-RA	GmISU01.15G036800.1.p, GmISU01.13G295000.1.p, GmISU01.15G036800.2.p, GmISU01.15G036800.3.p
OG0000070	Ds_00001412-RA, Ds_00010928-RA	GmISU01.05G000900.3.p, GmISU01.19G000900.2.p, GmISU01.05G000900.5.p
OG0000071	Ds_00003826-RA	GmISU01.05G040300.1.p, GmISU01.17G116400.1.p
OG0000071	Ds_00002033-RA	GmISU01.13G117400.1.p, GmISU01.03G146400.1.p
OG0000071	Ds_00013248-RA, Ds_00007141-RA	GmISU01.20G053300.3.p, GmISU01.10G100300.1.p
OG0000071	Ds_00006568-RA	GmISU01.18G131500.2.p
OG0000071	Ds_00012035-RA, Ds_00010724-RA	GmISU01.18G011300.1.p
OG0000072	Ds_00003598-RA	GmISU01.18G014300.1.p
OG0000072	Ds_00000109-RA	GmISU01.11G119900.1.p, GmISU01.15G030600.1.p, GmISU01.15G188900.1.p, GmISU01.13G301200.2.p, GmISU01.13G144700.1.p, GmISU01.05G159600.1.p, GmISU01.08G225500.1.p, GmISU01.05G159500.1.p, GmISU01.18G209200.1.p, GmISU01.07G171900.1.p, GmISU01.08G211300.1.p, GmISU01.12G050400.1.p
OG0000073	Ds_00002589-RA, Ds_00002588-RA, Ds_00011442-RA, Ds_00008118-RA	GmISU01.20G059450.1.p
OG0000075	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA	GmISU01.13G004900.1.p
OG0000075	Ds_00012460-RA, Ds_00010695-RA, Ds_00017316-RA, Ds_00013821-RA, Ds_00011110-RA	GmISU01.20G183200.1.p
OG0000076	Ds_00004958-RA	GmISU01.01G085600.1.p, GmISU01.02G161800.1.p
OG0000077	Ds_00000030-RA, Ds_00000031-RA	GmISU01.12G027800.1.p
OG0000077	Ds_00011039-RA	GmISU01.19G117100.1.p, GmISU01.19G117000.1.p, GmISU01.03G111800.1.p
OG0000078	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA	GmISU01.13G088700.1.p, GmISU01.01G107400.1.p, GmISU01.01G107300.1.p, GmISU01.01G107000.1.p, GmISU01.01G106800.1.p, GmISU01.03G022300.1.p, GmISU01.03G022200.1.p, GmISU01.03G022100.1.p, GmISU01.01G107100.1.p, GmISU01.01G107200.1.p, GmISU01.01G107700.1.p
OG0000084	Ds_00017343-RA	GmISU01.18G071600.1.p, GmISU01.08G291300.1.p, GmISU01.18G071400.1.p, GmISU01.08G291400.1.p, GmISU01.08G291500.1.p, GmISU01.08G291600.1.p, GmISU01.07G138800.1.p, GmISU01.07G138800.2.p, GmISU01.20G005700.1.p, GmISU01.07G139500.2.p, GmISU01.07G139500.3.p, GmISU01.20G005600.1.p, GmISU01.09G233500.1.p, GmISU01.17G180900.1.p, GmISU01.14G106900.1.p, GmISU01.18G071500.1.p, GmISU01.02G198500.1.p
OG0000085	Ds_00013315-RA	GmISU01.09G062900.1.p, GmISU01.09G062900.2.p, GmISU01.15G160000.1.p, GmISU01.17G044300.1.p, GmISU01.13G082900.1.p
OG0000085	Ds_00002345-RA	GmISU01.07G036800.1.p, GmISU01.16G006900.1.p
OG0000085	Ds_00006817-RA	GmISU01.18G167400.1.p, GmISU01.09G225200.1.p
OG0000085	Ds_00003374-RA	GmISU01.08G024700.1.p, GmISU01.08G024700.2.p, GmISU01.05G188500.1.p, GmISU01.05G188500.2.p, GmISU01.05G188500.3.p
OG0000085	Ds_00013221-RA, Ds_00016552-RA	GmISU01.08G115200.1.p, GmISU01.05G140100.1.p
OG0000085	Ds_00007391-RA	GmISU01.09G175400.1.p, GmISU01.01G114900.1.p, GmISU01.16G090400.1.p
OG0000087	Ds_00000857-RA	GmISU01.03G097000.1.p, GmISU01.19G100600.1.p
OG0000087	Ds_00012134-RA, Ds_00012132-RA	GmISU01.06G105300.1.p, GmISU01.04G204100.1.p, GmISU01.13G052700.2.p
OG0000087	Ds_00015816-RA, Ds_00008978-RA	GmISU01.18G106700.1.p, GmISU01.08G261500.1.p
OG0000088	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA	GmISU01.06G198400.1.p, GmISU01.12G127900.3.p, GmISU01.12G127900.2.p, GmISU01.12G127900.1.p, GmISU01.12G196400.1.p, GmISU01.12G196400.2.p, GmISU01.12G196220.1.p, GmISU01.12G195300.1.p, GmISU01.13G229800.1.p, GmISU01.17G168800.1.p, GmISU01.17G163400.1.p
OG0000089	Ds_00010413-RA, Ds_00002434-RA	GmISU01.14G108900.6.p, GmISU01.14G108900.7.p
OG0000089	Ds_00000919-RA, Ds_00000698-RA	GmISU01.15G011300.1.p, GmISU01.13G319600.1.p, GmISU01.15G011200.1.p, GmISU01.07G030900.3.p, GmISU01.07G030900.4.p, GmISU01.07G030900.2.p, GmISU01.07G030900.1.p
OG0000090	Ds_00003959-RA	GmISU01.04G171200.1.p, GmISU01.04G171200.3.p, GmISU01.04G171200.4.p, GmISU01.04G171200.2.p, GmISU01.06G141850.1.p, GmISU01.08G000966.1.p, GmISU01.05G163900.1.p
OG0000090	Ds_00008033-RA, Ds_00010488-RA	GmISU01.05G093800.1.p, GmISU01.05G093800.2.p, GmISU01.05G093800.3.p, GmISU01.19G042200.2.p, GmISU01.19G042200.3.p, GmISU01.19G042200.4.p, GmISU01.19G060000.2.p, GmISU01.19G060000.3.p, GmISU01.19G060000.1.p, GmISU01.16G061400.1.p
OG0000091	Ds_00005720-RA, Ds_00012613-RA	GmISU01.18G003100.1.p, GmISU01.11G231300.1.p, GmISU01.08G098200.1.p, GmISU01.05G124500.1.p
OG0000091	Ds_00007917-RA	GmISU01.13G075800.1.p, GmISU01.09G057100.1.p
OG0000091	Ds_00000663-RA	GmISU01.13G067800.1.p
OG0000095	Ds_00016626-RA	GmISU01.15G031000.2.p, GmISU01.15G031000.3.p, GmISU01.15G031000.1.p, GmISU01.13G300800.1.p, GmISU01.13G300800.2.p, GmISU01.13G300800.4.p
OG0000095	Ds_00005433-RA	GmISU01.04G104900.5.p, GmISU01.04G104900.8.p, GmISU01.04G104900.6.p, GmISU01.04G104900.2.p, GmISU01.04G104900.4.p, GmISU01.04G104900.10.p, GmISU01.04G104900.1.p, GmISU01.04G104900.9.p, GmISU01.04G104900.3.p, GmISU01.06G268400.1.p, GmISU01.06G268400.3.p
OG0000095	Ds_00005415-RA	GmISU01.10G219500.3.p, GmISU01.10G219500.1.p, GmISU01.10G219500.2.p, GmISU01.20G098700.2.p, GmISU01.20G098700.5.p, GmISU01.20G098700.1.p, GmISU01.20G098700.9.p, GmISU01.20G098700.6.p, GmISU01.20G098700.10.p, GmISU01.20G098700.7.p, GmISU01.20G098700.8.p, GmISU01.20G098700.3.p, GmISU01.20G098700.4.p
OG0000096	Ds_00011884-RA, Ds_00011885-RA	GmISU01.02G268000.1.p
OG0000096	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA	GmISU01.02G190100.1.p, GmISU01.02G190000.1.p, GmISU01.14G158700.1.p
OG0000097	Ds_00008970-RA	GmISU01.05G035500.1.p, GmISU01.17G080500.1.p, GmISU01.04G148800.1.p
OG0000097	Ds_00011731-RA	GmISU01.08G190700.1.p
OG0000098	Ds_00000511-RA	GmISU01.17G224800.1.p, GmISU01.14G183100.1.p, GmISU01.06G021100.1.p, GmISU01.04G023000.1.p
OG0000098	Ds_00004278-RA	GmISU01.09G024900.1.p, GmISU01.15G122800.1.p
OG0000098	Ds_00001304-RA	GmISU01.05G176100.1.p, GmISU01.08G012800.1.p, GmISU01.05G211600.1.p, GmISU01.08G049400.1.p
OG0000098	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA	GmISU01.19G096500.2.p, GmISU01.19G096500.1.p, GmISU01.03G092100.1.p
OG0000098	Ds_00010103-RA	GmISU01.03G057700.1.p, GmISU01.01G084400.1.p
OG0000099	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA, Ds_00012557-RA	GmISU01.19G003400.1.p, GmISU01.19G004100.1.p, GmISU01.05G003100.1.p, GmISU01.05G003000.1.p, GmISU01.05G002900.1.p, GmISU01.19G003300.1.p, GmISU01.19G046300.1.p
OG0000101	Ds_00017680-RA, Ds_00013692-RA	GmISU01.13G171000.1.p
OG0000101	Ds_00013443-RA, Ds_00013823-RA	GmISU01.07G046400.1.p
OG0000101	Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA	GmISU01.13G057800.1.p, GmISU01.04G096300.1.p
OG0000102	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA, Ds_00011502-RA, Ds_00015916-RA	GmISU01.06G235700.1.p, GmISU01.06G236300.1.p, GmISU01.06G234100.1.p, GmISU01.06G235100.1.p, GmISU01.06G240200.1.p, GmISU01.12G106700.1.p, GmISU01.12G108800.1.p, GmISU01.06G235350.1.p, GmISU01.06G234200.1.p, GmISU01.12G106900.1.p, GmISU01.12G106800.1.p, GmISU01.12G108700.1.p, GmISU01.06G240100.1.p, GmISU01.12G069900.1.p, GmISU01.11G158000.1.p
OG0000103	Ds_00007541-RA	GmISU01.12G131100.2.p, GmISU01.12G131100.3.p, GmISU01.12G131100.1.p, GmISU01.06G200900.2.p, GmISU01.06G200900.1.p, GmISU01.08G161300.3.p, GmISU01.08G161300.2.p, GmISU01.08G161300.1.p, GmISU01.15G210100.1.p, GmISU01.08G218000.1.p, GmISU01.15G181800.1.p
OG0000103	Ds_00008775-RA	GmISU01.03G142100.2.p, GmISU01.19G145500.1.p, GmISU01.10G048200.1.p, GmISU01.13G111600.1.p
