Orthogroup	G_max.proteins	S_lycopersicum.proteins
OG0000037	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p	Solyc04g079680.3.1, Solyc04g079660.2.1, Solyc04g079640.3.1
OG0000037	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p	Solyc09g059240.3.1
OG0000037	GmISU01.16G078400.1.p	Solyc04g007940.3.1, Solyc06g073570.3.1, Solyc10g081550.2.1, Solyc10g039210.3.1
OG0000038	GmISU01.04G152300.1.p	Solyc06g076160.3.1
OG0000038	GmISU01.05G039200.1.p	Solyc09g014900.3.1
OG0000038	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1
OG0000040	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000040	GmISU01.05G203400.1.p, GmISU01.08G040800.1.p, GmISU01.08G040900.1.p	Solyc02g086210.3.1
OG0000040	GmISU01.10G231000.4.p, GmISU01.20G085800.1.p, GmISU01.20G086300.4.p, GmISU01.20G086300.1.p, GmISU01.20G086300.2.p, GmISU01.20G086400.2.p, GmISU01.20G086400.1.p, GmISU01.20G086400.3.p, GmISU01.20G085900.2.p, GmISU01.20G086100.1.p, GmISU01.10G230900.1.p, GmISU01.20G085900.1.p, GmISU01.10G231000.2.p, GmISU01.20G086200.1.p, GmISU01.10G081500.1.p	Solyc05g009090.2.1, Solyc05g009040.3.1, Solyc05g009050.2.1, Solyc04g007380.2.1
OG0000041	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	GmISU01.20G011000.1.p, GmISU01.07G183700.1.p	Solyc05g008235.1.1, Solyc05g008250.2.1
OG0000041	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p	Solyc03g005570.3.1, Solyc06g053610.3.1
OG0000041	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000042	GmISU01.12G054200.1.p	Solyc03g096650.2.1
OG0000042	GmISU01.11G123500.1.p	Solyc06g005720.3.1
OG0000042	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000043	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p	Solyc02g092860.3.1, Solyc02g064850.2.1
OG0000043	GmISU01.11G085400.1.p	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1, Solyc12g088510.1.1, Solyc12g088460.2.1, Solyc04g078270.3.1, Solyc04g078290.3.1
OG0000044	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	GmISU01.02G138600.2.p, GmISU01.02G138600.1.p	Solyc01g099340.3.1
OG0000044	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p	Solyc04g008500.3.1
OG0000044	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p	Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p	Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p	Solyc07g053570.3.1
OG0000044	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p	Solyc09g065670.3.1
OG0000046	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p	Solyc12g007110.2.1
OG0000046	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p	Solyc02g089760.3.1
OG0000046	GmISU01.07G004100.1.p, GmISU01.07G004100.4.p	Solyc03g120760.3.1
OG0000047	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p	Solyc04g078300.3.1
OG0000048	GmISU01.18G048900.1.p, GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1
OG0000048	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p	Solyc01g081600.3.1
OG0000048	GmISU01.18G162500.1.p, GmISU01.01G101100.1.p, GmISU01.03G031800.1.p	Solyc06g065600.1.1, Solyc06g005780.1.1, Solyc06g005795.1.1, Solyc06g005770.1.1, Solyc08g067530.1.1, Solyc08g067540.1.1, Solyc08g067550.1.1, Solyc08g067505.1.1, Solyc08g067520.1.1, Solyc08g067510.1.1, Solyc08g067500.1.1
OG0000049	GmISU01.14G092500.1.p	Solyc01g057720.1.1, Solyc11g044597.1.1, Solyc11g044580.1.1, Solyc02g044010.2.1, Solyc06g011650.1.1, Solyc02g055535.1.1, Solyc06g034067.1.1, Solyc06g034070.2.1, Solyc02g055520.1.1, Solyc04g076153.1.1, Solyc04g076160.2.1, Solyc05g016037.1.1, Solyc10g054135.1.1, Solyc10g074420.1.1, Solyc10g074405.1.1
OG0000049	GmISU01.10G088100.1.p, GmISU01.15G161800.1.p	Solyc04g019320.1.1
OG0000050	GmISU01.15G184350.1.p	Solyc04g015475.1.1, Solyc00g075030.3.1, Solyc02g065260.3.1
OG0000051	GmISU01.20G155800.1.p	Solyc05g013435.1.1, Solyc00g304030.2.1, Solyc05g021247.1.1, Solyc01g058230.1.1, Solyc07g026580.1.1
OG0000052	GmISU01.15G204300.1.p	Solyc00g012700.2.1
OG0000055	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p	Solyc05g024290.3.1
OG0000055	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p	Solyc01g067400.3.1
OG0000055	GmISU01.16G047400.1.p, GmISU01.19G073600.1.p, GmISU01.19G073600.3.p	Solyc02g094380.2.1
OG0000055	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p	Solyc09g061330.2.1, Solyc06g083500.3.1
OG0000055	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1
OG0000055	GmISU01.11G133000.1.p, GmISU01.12G067000.1.p	Solyc11g072660.2.1, Solyc06g075550.3.1
OG0000056	GmISU01.13G198000.1.p, GmISU01.15G076000.1.p	Solyc03g006240.3.1
OG0000056	GmISU01.15G075950.1.p, GmISU01.13G198100.1.p, GmISU01.13G198500.1.p, GmISU01.13G198200.1.p, GmISU01.15G075900.1.p, GmISU01.15G075800.1.p	Solyc10g008710.3.1, Solyc10g008720.3.1, Solyc02g077120.3.1, Solyc03g006250.2.1
OG0000058	GmISU01.14G060200.3.p, GmISU01.14G060200.7.p, GmISU01.14G060200.2.p, GmISU01.14G060200.1.p, GmISU01.14G060200.6.p, GmISU01.14G060200.5.p, GmISU01.18G031400.1.p, GmISU01.18G031400.2.p, GmISU01.11G203500.1.p	Solyc03g079890.2.1
OG0000058	GmISU01.03G016350.1.p	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1
OG0000058	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p	Solyc09g009750.2.1
OG0000058	GmISU01.09G221400.1.p	Solyc01g091930.3.1
OG0000059	GmISU01.14G128300.1.p	Solyc09g005190.2.1, Solyc10g076560.1.1
OG0000060	GmISU01.13G060900.1.p, GmISU01.09G052900.1.p, GmISU01.13G001300.1.p, GmISU01.08G145900.1.p, GmISU01.12G108300.1.p, GmISU01.14G131800.1.p, GmISU01.13G010500.2.p, GmISU01.13G010500.1.p, GmISU01.15G221100.1.p, GmISU01.19G038900.1.p, GmISU01.04G115650.1.p, GmISU01.01G083000.1.p, GmISU01.12G119700.1.p, GmISU01.17G003100.1.p, GmISU01.12G026300.1.p	Solyc10g045650.2.1
OG0000060	GmISU01.08G250300.1.p	Solyc12g027540.2.1
OG0000063	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	GmISU01.03G034300.1.p, GmISU01.03G034200.1.p, GmISU01.03G034100.1.p, GmISU01.03G034000.1.p, GmISU01.03G033900.1.p, GmISU01.01G099700.1.p, GmISU01.03G033600.1.p, GmISU01.03G034400.1.p, GmISU01.01G099500.1.p, GmISU01.18G051300.1.p	Solyc10g076220.2.1, Solyc10g076240.2.1, Solyc10g075120.2.1, Solyc10g076230.2.1, Solyc10g076190.2.1, Solyc10g076210.2.1, Solyc10g076243.1.1, Solyc00g072400.3.1
OG0000063	GmISU01.14G049800.1.p	Solyc09g018600.1.1
OG0000063	GmISU01.14G049700.1.p, GmISU01.02G221000.1.p, GmISU01.04G179300.1.p, GmISU01.06G132800.1.p	Solyc06g050440.3.1, Solyc05g052280.3.1
OG0000065	GmISU01.04G088600.1.p	Solyc01g081310.3.1
OG0000065	GmISU01.02G160000.1.p	Solyc06g069045.1.1
OG0000065	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1
OG0000065	GmISU01.13G101600.1.p, GmISU01.13G101600.2.p, GmISU01.13G101700.1.p, GmISU01.13G011600.1.p	Solyc09g011535.1.1
OG0000065	GmISU01.20G071000.1.p	Solyc09g063150.3.1
OG0000067	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p	Solyc11g072490.2.1
