Orthogroup	G_max.proteins	A_thaliana.proteins
OG0000025	GmISU01.09G177900.1.p, GmISU01.12G030900.1.p	AT4G34770.1
OG0000025	GmISU01.09G180500.1.p, GmISU01.09G180200.1.p, GmISU01.12G032000.1.p, GmISU01.04G006200.2.p, GmISU01.04G006300.1.p	AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1
OG0000025	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p	AT4G34800.1
OG0000026	GmISU01.12G116800.1.p, GmISU01.12G116800.2.p, GmISU01.12G117100.1.p, GmISU01.12G117100.3.p, GmISU01.12G118100.1.p, GmISU01.12G118100.2.p, GmISU01.12G116900.2.p, GmISU01.12G116900.3.p, GmISU01.12G116900.4.p	AT1G70080.1, AT5G48110.1
OG0000027	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p	AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000027	GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p	AT1G17260.1
OG0000027	GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p	AT2G24520.3, AT2G24520.1, AT2G24520.2
OG0000027	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p	AT2G07560.1, AT3G42640.1
OG0000027	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4
OG0000028	GmISU01.09G114900.1.p, GmISU01.14G143700.1.p, GmISU01.15G136000.1.p	AT1G47890.1, AT1G45616.1
OG0000029	GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
OG0000029	GmISU01.04G201000.1.p	AT1G22720.1
OG0000030	GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p	AT4G35660.1
OG0000030	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000030	GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p	AT4G35710.1, AT4G35690.1, AT2G17680.1
OG0000030	GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p	AT4G35720.1
OG0000031	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p	AT4G36470.1
OG0000031	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p	AT1G19640.1
OG0000032	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p	AT4G38830.1
OG0000037	GmISU01.04G033500.1.p	AT4G31950.1, AT4G31970.1, AT4G31940.1
OG0000037	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p	AT3G25180.1, AT3G25180.2
OG0000038	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p	AT3G23250.1
OG0000041	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p	AT3G13540.1
OG0000042	GmISU01.12G054200.1.p	AT1G07440.2, AT2G29170.1
OG0000042	GmISU01.11G123500.1.p	AT2G29260.1
OG0000042	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p, GmISU01.12G053900.1.p, GmISU01.12G053800.1.p, GmISU01.12G054000.1.p	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000043	GmISU01.11G085400.1.p	AT5G10610.1, AT5G10600.1
OG0000044	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p	AT3G50700.1, AT5G66730.1
OG0000044	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1
OG0000044	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p	AT5G03150.1
OG0000044	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p	AT1G03840.2, AT1G03840.1
OG0000044	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p	AT4G02670.1, AT4G02670.2
OG0000046	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	GmISU01.11G060900.3.p, GmISU01.11G060900.1.p, GmISU01.01G137200.1.p, GmISU01.01G137200.2.p, GmISU01.11G060900.4.p, GmISU01.16G114300.1.p, GmISU01.02G052000.1.p	AT2G18470.4, AT2G18470.2, AT2G18470.1, AT2G18470.3
OG0000046	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p	AT3G24550.1, AT3G24540.1
OG0000046	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p	AT5G38560.1
OG0000046	GmISU01.07G004100.1.p, GmISU01.07G004100.4.p	AT1G52290.2, AT1G52290.1
OG0000047	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000048	GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1
OG0000048	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p	AT2G18370.1
OG0000048	GmISU01.18G162500.1.p, GmISU01.01G101100.1.p, GmISU01.03G031800.1.p	AT3G08770.2, AT3G08770.1, AT5G01870.1
OG0000050	GmISU01.15G184350.1.p	AT1G21280.1
OG0000055	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p	AT5G13160.1
OG0000055	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	GmISU01.11G132900.1.p	AT1G07860.1
OG0000055	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p	AT3G07070.1
OG0000055	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p	AT3G20530.2, AT3G20530.1
OG0000055	GmISU01.19G141500.1.p, GmISU01.03G138500.1.p, GmISU01.10G044300.1.p, GmISU01.13G108000.1.p	AT5G02800.1
OG0000055	GmISU01.11G133000.1.p, GmISU01.12G067000.1.p	AT1G07870.1, AT1G07870.2
OG0000056	GmISU01.13G198000.1.p, GmISU01.15G076000.1.p	AT5G45910.1
OG0000056	GmISU01.15G075950.1.p, GmISU01.13G198100.1.p, GmISU01.13G198500.1.p, GmISU01.13G198200.1.p, GmISU01.15G075900.1.p, GmISU01.15G075800.1.p	AT2G27360.1, AT1G28610.1, AT1G28600.2, AT1G28600.1, AT1G28610.2, AT1G28590.1, AT1G31550.1, AT1G31550.2, AT1G28570.2, AT1G28570.3, AT1G28570.1, AT1G28580.1, AT1G28580.2, AT1G28650.1, AT1G28660.1, AT1G28660.2, AT1G28670.1, AT1G28640.1
OG0000058	GmISU01.03G016350.1.p	AT5G59110.1
OG0000058	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p	AT5G03620.2, AT5G03620.1
OG0000058	GmISU01.09G221400.1.p	AT4G00230.1, AT4G00230.2
OG0000059	GmISU01.09G014100.1.p, GmISU01.09G014100.2.p, GmISU01.09G026600.1.p, GmISU01.09G026600.2.p, GmISU01.09G026500.1.p, GmISU01.09G026700.2.p, GmISU01.09G026700.3.p, GmISU01.09G026700.1.p, GmISU01.09G026400.1.p, GmISU01.09G026400.2.p, GmISU01.15G123800.1.p	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3
OG0000059	GmISU01.14G128300.1.p	AT1G16090.1
OG0000060	GmISU01.13G238100.1.p	ATMG00240.1
OG0000063	GmISU01.11G171200.1.p, GmISU01.18G051100.1.p	AT5G58390.1, AT5G58400.1
OG0000063	GmISU01.14G049700.1.p, GmISU01.02G221000.1.p, GmISU01.04G179300.1.p, GmISU01.06G132800.1.p	AT5G05340.1
OG0000065	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p	AT2G29420.1, AT3G09270.1
OG0000067	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000068	GmISU01.09G049600.1.p, GmISU01.09G049600.4.p, GmISU01.09G049600.3.p, GmISU01.09G049600.5.p, GmISU01.15G145600.6.p, GmISU01.15G145600.5.p, GmISU01.15G145600.4.p, GmISU01.15G145600.3.p, GmISU01.15G145600.2.p, GmISU01.15G145600.7.p, GmISU01.15G145600.1.p, GmISU01.02G154000.1.p, GmISU01.02G154000.2.p	AT5G35830.1, AT3G54070.1
OG0000070	GmISU01.05G159700.1.p, GmISU01.08G135800.1.p, GmISU01.06G137400.2.p, GmISU01.06G137400.1.p, GmISU01.06G137400.3.p, GmISU01.04G175300.4.p, GmISU01.04G175300.3.p, GmISU01.04G175300.2.p, GmISU01.04G175300.1.p	AT5G09810.1
OG0000070	GmISU01.05G000900.2.p, GmISU01.19G000900.1.p, GmISU01.02G082600.1.p, GmISU01.18G233000.2.p, GmISU01.18G233000.1.p	AT3G12110.1
OG0000070	GmISU01.05G000900.3.p, GmISU01.19G000900.2.p, GmISU01.05G000900.5.p	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1
OG0000071	GmISU01.05G040300.1.p, GmISU01.17G116400.1.p	AT4G24780.2, AT4G24780.1
OG0000071	GmISU01.13G117400.1.p, GmISU01.03G146400.1.p	AT3G53190.1
OG0000071	GmISU01.10G235800.3.p, GmISU01.10G235800.1.p, GmISU01.20G080600.1.p, GmISU01.10G235800.4.p	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	GmISU01.20G053300.3.p, GmISU01.10G100300.1.p	AT4G13710.2, AT4G13710.1
OG0000071	GmISU01.18G131500.2.p	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	GmISU01.18G011300.1.p	AT1G67750.1
OG0000072	GmISU01.14G181200.1.p	AT4G40030.1
OG0000072	GmISU01.18G014200.1.p	AT4G40030.4
OG0000072	GmISU01.18G014300.1.p	AT5G10980.1
OG0000072	GmISU01.11G219900.1.p	AT4G40030.3
OG0000076	GmISU01.01G085600.1.p, GmISU01.02G161800.1.p	AT5G42965.1
OG0000077	GmISU01.12G027800.1.p	AT2G21100.1, AT2G21100.2
OG0000077	GmISU01.03G038600.1.p	AT3G58090.1
OG0000077	GmISU01.02G148600.1.p, GmISU01.19G117100.1.p, GmISU01.19G117000.1.p, GmISU01.03G111800.1.p	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1
OG0000085	GmISU01.09G062900.1.p, GmISU01.09G062900.2.p, GmISU01.15G160000.1.p, GmISU01.17G044300.1.p, GmISU01.13G082900.1.p	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	GmISU01.14G100600.1.p, GmISU01.17G188300.1.p, GmISU01.04G052700.1.p, GmISU01.06G051300.1.p	AT2G26290.1
OG0000085	GmISU01.07G036800.1.p, GmISU01.16G006900.1.p	AT1G72540.1
OG0000085	GmISU01.18G167400.1.p, GmISU01.09G225200.1.p	AT5G01020.1
OG0000085	GmISU01.08G024700.1.p, GmISU01.08G024700.2.p, GmISU01.05G188500.1.p, GmISU01.05G188500.2.p, GmISU01.05G188500.3.p	AT2G07180.1, AT2G07180.2
OG0000085	GmISU01.08G115200.1.p, GmISU01.05G140100.1.p	AT5G56460.1
OG0000085	GmISU01.09G175400.1.p, GmISU01.01G114900.1.p, GmISU01.16G090400.1.p	AT1G61590.1
OG0000087	GmISU01.03G097000.1.p, GmISU01.19G100600.1.p	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	GmISU01.06G130100.1.p, GmISU01.04G181700.2.p, GmISU01.04G181700.1.p, GmISU01.06G130100.2.p	AT2G40670.2, AT2G40670.1, AT3G56380.2, AT3G56380.1
OG0000087	GmISU01.18G106700.1.p, GmISU01.08G261500.1.p	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000087	GmISU01.04G143700.1.p, GmISU01.06G170500.1.p, GmISU01.05G030000.2.p, GmISU01.05G030000.1.p, GmISU01.17G085900.1.p, GmISU01.17G085900.2.p	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1
OG0000088	GmISU01.06G198400.1.p, GmISU01.12G127900.3.p, GmISU01.12G127900.2.p, GmISU01.12G127900.1.p, GmISU01.12G196400.1.p, GmISU01.12G196400.2.p, GmISU01.12G196220.1.p, GmISU01.12G195300.1.p, GmISU01.13G229800.1.p, GmISU01.17G168800.1.p, GmISU01.17G163400.1.p	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	GmISU01.13G229600.3.p, GmISU01.13G229600.2.p, GmISU01.13G229600.4.p, GmISU01.13G229600.1.p, GmISU01.13G229400.1.p	AT1G53420.1, AT3G14840.2
OG0000088	GmISU01.02G248100.2.p, GmISU01.02G248100.4.p, GmISU01.02G248100.3.p, GmISU01.02G248100.1.p, GmISU01.14G024800.1.p	AT1G07650.2, AT1G07650.1, AT1G07650.3, AT1G07650.4
OG0000089	GmISU01.15G011300.1.p, GmISU01.13G319600.1.p, GmISU01.15G011200.1.p, GmISU01.07G030900.3.p, GmISU01.07G030900.4.p, GmISU01.07G030900.2.p, GmISU01.07G030900.1.p	AT1G15520.2, AT1G15520.1
OG0000090	GmISU01.04G171200.1.p, GmISU01.04G171200.3.p, GmISU01.04G171200.4.p, GmISU01.04G171200.2.p, GmISU01.06G141850.1.p, GmISU01.08G000966.1.p, GmISU01.05G163900.1.p	AT5G63970.1, AT5G63970.2
OG0000090	GmISU01.05G093800.1.p, GmISU01.05G093800.2.p, GmISU01.05G093800.3.p, GmISU01.19G042200.2.p, GmISU01.19G042200.3.p, GmISU01.19G042200.4.p, GmISU01.19G060000.2.p, GmISU01.19G060000.3.p, GmISU01.19G060000.1.p, GmISU01.16G061400.1.p	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
