Orthogroup	G_max.proteins	D_spatulata.proteins
OG0000046	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p	Ds_00008610-RA
OG0000046	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p	Ds_00008496-RA, Ds_00012090-RA
OG0000047	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p	Ds_00001929-RA
OG0000048	GmISU01.09G230100.1.p, GmISU01.18G162600.1.p	Ds_00014304-RA
OG0000049	GmISU01.14G092500.1.p	Ds_00012230-RA, Ds_00003024-RA, Ds_00002245-RA, Ds_00008896-RA, Ds_00006497-RA, Ds_00017443-RA, Ds_00012468-RA, Ds_00017526-RA, Ds_00014937-RA
OG0000049	GmISU01.10G088100.1.p, GmISU01.15G161800.1.p	Ds_00013655-RA, Ds_00002182-RA, Ds_00005477-RA, Ds_00005217-RA, Ds_00017621-RA, Ds_00017554-RA, Ds_00002211-RA, Ds_00012899-RA, Ds_00006677-RA, Ds_00012844-RA, Ds_00014920-RA, Ds_00010466-RA, Ds_00018005-RA
OG0000050	GmISU01.15G184350.1.p	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA, Ds_00012851-RA, Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA, Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA, Ds_00016172-RA
OG0000051	GmISU01.20G155800.1.p	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA, Ds_00002936-RA, Ds_00016530-RA, Ds_00015250-RA, Ds_00017962-RA, Ds_00009669-RA, Ds_00014341-RA, Ds_00007321-RA
OG0000055	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p	Ds_00010593-RA
OG0000055	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p	Ds_00014521-RA
OG0000055	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p	Ds_00001014-RA
OG0000055	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p	Ds_00002955-RA
OG0000055	GmISU01.19G141500.1.p, GmISU01.03G138500.1.p, GmISU01.10G044300.1.p, GmISU01.13G108000.1.p, GmISU01.11G133000.1.p, GmISU01.12G067000.1.p	Ds_00001660-RA
OG0000058	GmISU01.03G016350.1.p	Ds_00002067-RA
OG0000058	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	GmISU01.09G014100.1.p, GmISU01.09G014100.2.p, GmISU01.09G026600.1.p, GmISU01.09G026600.2.p, GmISU01.09G026500.1.p, GmISU01.09G026700.2.p, GmISU01.09G026700.3.p, GmISU01.09G026700.1.p, GmISU01.09G026400.1.p, GmISU01.09G026400.2.p, GmISU01.15G123800.1.p	Ds_00009643-RA, Ds_00013734-RA
OG0000059	GmISU01.14G128300.1.p	Ds_00013728-RA
OG0000063	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p	Ds_00001207-RA, Ds_00010181-RA
OG0000063	GmISU01.14G049800.1.p	Ds_00014318-RA
OG0000065	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p	Ds_00009318-RA, Ds_00016604-RA
OG0000067	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000067	GmISU01.03G139900.2.p, GmISU01.03G139900.7.p, GmISU01.19G143200.21.p, GmISU01.19G143200.20.p, GmISU01.19G143200.18.p, GmISU01.19G143200.14.p, GmISU01.19G143200.5.p, GmISU01.19G143200.17.p, GmISU01.19G143200.13.p, GmISU01.19G143200.7.p, GmISU01.19G143200.10.p, GmISU01.19G143200.8.p, GmISU01.19G143200.3.p, GmISU01.19G143200.6.p, GmISU01.19G143200.4.p, GmISU01.19G143200.1.p, GmISU01.19G143200.15.p, GmISU01.19G143200.11.p, GmISU01.19G143200.12.p, GmISU01.19G143200.16.p, GmISU01.19G143200.19.p, GmISU01.19G143200.2.p, GmISU01.19G143200.9.p, GmISU01.10G045800.13.p, GmISU01.10G045800.3.p, GmISU01.10G045800.14.p, GmISU01.10G045800.8.p, GmISU01.10G045800.5.p, GmISU01.10G045800.4.p, GmISU01.10G045800.2.p, GmISU01.13G109300.3.p, GmISU01.13G109300.4.p, GmISU01.13G109300.5.p, GmISU01.13G109300.2.p, GmISU01.13G109300.1.p, GmISU01.10G045800.10.p, GmISU01.10G045800.7.p, GmISU01.10G045800.6.p, GmISU01.10G045800.12.p, GmISU01.10G045800.1.p, GmISU01.10G045800.11.p	Ds_00010296-RA, Ds_00015402-RA
OG0000070	GmISU01.05G159700.1.p, GmISU01.08G135800.1.p, GmISU01.06G137400.2.p, GmISU01.06G137400.1.p, GmISU01.06G137400.3.p, GmISU01.04G175300.4.p, GmISU01.04G175300.3.p, GmISU01.04G175300.2.p, GmISU01.04G175300.1.p	Ds_00003633-RA
OG0000070	GmISU01.02G150500.1.p, GmISU01.02G150500.3.p, GmISU01.02G150500.2.p, GmISU01.09G090200.4.p, GmISU01.09G090200.3.p, GmISU01.09G090200.2.p, GmISU01.19G114300.4.p, GmISU01.03G109300.1.p, GmISU01.11G127200.1.p, GmISU01.12G058000.3.p, GmISU01.12G058000.2.p, GmISU01.12G058000.1.p, GmISU01.05G000900.2.p, GmISU01.19G000900.1.p, GmISU01.02G082600.1.p, GmISU01.18G233000.2.p, GmISU01.18G233000.1.p	Ds_00010078-RA
OG0000070	GmISU01.15G036800.1.p, GmISU01.13G295000.1.p, GmISU01.15G036800.2.p, GmISU01.15G036800.3.p	Ds_00008515-RA
OG0000070	GmISU01.05G000900.3.p, GmISU01.19G000900.2.p, GmISU01.05G000900.5.p	Ds_00001412-RA, Ds_00010928-RA
OG0000071	GmISU01.05G040300.1.p, GmISU01.17G116400.1.p	Ds_00003826-RA
OG0000071	GmISU01.13G117400.1.p, GmISU01.03G146400.1.p	Ds_00002033-RA
OG0000071	GmISU01.20G053300.3.p, GmISU01.10G100300.1.p	Ds_00013248-RA, Ds_00007141-RA
OG0000071	GmISU01.18G131500.2.p	Ds_00006568-RA
OG0000071	GmISU01.18G011300.1.p	Ds_00012035-RA, Ds_00010724-RA
OG0000072	GmISU01.18G014300.1.p	Ds_00003598-RA
OG0000072	GmISU01.11G119900.1.p, GmISU01.15G030600.1.p, GmISU01.15G188900.1.p, GmISU01.13G301200.2.p, GmISU01.13G144700.1.p, GmISU01.05G159600.1.p, GmISU01.08G225500.1.p, GmISU01.05G159500.1.p, GmISU01.18G209200.1.p, GmISU01.07G171900.1.p, GmISU01.08G211300.1.p, GmISU01.12G050400.1.p	Ds_00000109-RA
OG0000073	GmISU01.20G059450.1.p	Ds_00002589-RA, Ds_00002588-RA, Ds_00011442-RA, Ds_00008118-RA
OG0000075	GmISU01.13G004900.1.p	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA
OG0000075	GmISU01.20G183200.1.p	Ds_00012460-RA, Ds_00010695-RA, Ds_00017316-RA, Ds_00013821-RA, Ds_00011110-RA
OG0000076	GmISU01.01G085600.1.p, GmISU01.02G161800.1.p	Ds_00004958-RA
OG0000077	GmISU01.12G027800.1.p	Ds_00000030-RA, Ds_00000031-RA
OG0000077	GmISU01.19G117100.1.p, GmISU01.19G117000.1.p, GmISU01.03G111800.1.p	Ds_00011039-RA
OG0000078	GmISU01.13G088700.1.p, GmISU01.01G107400.1.p, GmISU01.01G107300.1.p, GmISU01.01G107000.1.p, GmISU01.01G106800.1.p, GmISU01.03G022300.1.p, GmISU01.03G022200.1.p, GmISU01.03G022100.1.p, GmISU01.01G107100.1.p, GmISU01.01G107200.1.p, GmISU01.01G107700.1.p	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000084	GmISU01.18G071600.1.p, GmISU01.08G291300.1.p, GmISU01.18G071400.1.p, GmISU01.08G291400.1.p, GmISU01.08G291500.1.p, GmISU01.08G291600.1.p, GmISU01.07G138800.1.p, GmISU01.07G138800.2.p, GmISU01.20G005700.1.p, GmISU01.07G139500.2.p, GmISU01.07G139500.3.p, GmISU01.20G005600.1.p, GmISU01.09G233500.1.p, GmISU01.17G180900.1.p, GmISU01.14G106900.1.p, GmISU01.18G071500.1.p, GmISU01.02G198500.1.p	Ds_00017343-RA
OG0000085	GmISU01.09G062900.1.p, GmISU01.09G062900.2.p, GmISU01.15G160000.1.p, GmISU01.17G044300.1.p, GmISU01.13G082900.1.p	Ds_00013315-RA
OG0000085	GmISU01.07G036800.1.p, GmISU01.16G006900.1.p	Ds_00002345-RA
OG0000085	GmISU01.18G167400.1.p, GmISU01.09G225200.1.p	Ds_00006817-RA
OG0000085	GmISU01.08G024700.1.p, GmISU01.08G024700.2.p, GmISU01.05G188500.1.p, GmISU01.05G188500.2.p, GmISU01.05G188500.3.p	Ds_00003374-RA
OG0000085	GmISU01.08G115200.1.p, GmISU01.05G140100.1.p	Ds_00013221-RA, Ds_00016552-RA
OG0000085	GmISU01.09G175400.1.p, GmISU01.01G114900.1.p, GmISU01.16G090400.1.p	Ds_00007391-RA
OG0000087	GmISU01.03G097000.1.p, GmISU01.19G100600.1.p	Ds_00000857-RA
OG0000087	GmISU01.06G105300.1.p, GmISU01.04G204100.1.p, GmISU01.13G052700.2.p	Ds_00012134-RA, Ds_00012132-RA
OG0000087	GmISU01.18G106700.1.p, GmISU01.08G261500.1.p	Ds_00015816-RA, Ds_00008978-RA
OG0000088	GmISU01.06G198400.1.p, GmISU01.12G127900.3.p, GmISU01.12G127900.2.p, GmISU01.12G127900.1.p, GmISU01.12G196400.1.p, GmISU01.12G196400.2.p, GmISU01.12G196220.1.p, GmISU01.12G195300.1.p, GmISU01.13G229800.1.p, GmISU01.17G168800.1.p, GmISU01.17G163400.1.p	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000089	GmISU01.14G108900.6.p, GmISU01.14G108900.7.p	Ds_00010413-RA, Ds_00002434-RA
OG0000089	GmISU01.15G011300.1.p, GmISU01.13G319600.1.p, GmISU01.15G011200.1.p, GmISU01.07G030900.3.p, GmISU01.07G030900.4.p, GmISU01.07G030900.2.p, GmISU01.07G030900.1.p	Ds_00000919-RA, Ds_00000698-RA
OG0000090	GmISU01.04G171200.1.p, GmISU01.04G171200.3.p, GmISU01.04G171200.4.p, GmISU01.04G171200.2.p, GmISU01.06G141850.1.p, GmISU01.08G000966.1.p, GmISU01.05G163900.1.p	Ds_00003959-RA
OG0000090	GmISU01.05G093800.1.p, GmISU01.05G093800.2.p, GmISU01.05G093800.3.p, GmISU01.19G042200.2.p, GmISU01.19G042200.3.p, GmISU01.19G042200.4.p, GmISU01.19G060000.2.p, GmISU01.19G060000.3.p, GmISU01.19G060000.1.p, GmISU01.16G061400.1.p	Ds_00008033-RA, Ds_00010488-RA
OG0000091	GmISU01.18G003100.1.p, GmISU01.11G231300.1.p, GmISU01.08G098200.1.p, GmISU01.05G124500.1.p	Ds_00005720-RA, Ds_00012613-RA
OG0000091	GmISU01.13G075800.1.p, GmISU01.09G057100.1.p	Ds_00007917-RA
OG0000091	GmISU01.13G067800.1.p	Ds_00000663-RA
OG0000095	GmISU01.15G031000.2.p, GmISU01.15G031000.3.p, GmISU01.15G031000.1.p, GmISU01.13G300800.1.p, GmISU01.13G300800.2.p, GmISU01.13G300800.4.p	Ds_00016626-RA
OG0000095	GmISU01.04G104900.5.p, GmISU01.04G104900.8.p, GmISU01.04G104900.6.p, GmISU01.04G104900.2.p, GmISU01.04G104900.4.p, GmISU01.04G104900.10.p, GmISU01.04G104900.1.p, GmISU01.04G104900.9.p, GmISU01.04G104900.3.p, GmISU01.06G268400.1.p, GmISU01.06G268400.3.p	Ds_00005433-RA
OG0000095	GmISU01.10G219500.3.p, GmISU01.10G219500.1.p, GmISU01.10G219500.2.p, GmISU01.20G098700.2.p, GmISU01.20G098700.5.p, GmISU01.20G098700.1.p, GmISU01.20G098700.9.p, GmISU01.20G098700.6.p, GmISU01.20G098700.10.p, GmISU01.20G098700.7.p, GmISU01.20G098700.8.p, GmISU01.20G098700.3.p, GmISU01.20G098700.4.p	Ds_00005415-RA
OG0000096	GmISU01.02G268000.1.p	Ds_00011884-RA, Ds_00011885-RA
OG0000096	GmISU01.02G190100.1.p, GmISU01.02G190000.1.p, GmISU01.14G158700.1.p	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA
OG0000097	GmISU01.05G035500.1.p, GmISU01.17G080500.1.p, GmISU01.04G148800.1.p	Ds_00008970-RA
OG0000097	GmISU01.08G190700.1.p	Ds_00011731-RA
OG0000098	GmISU01.17G224800.1.p, GmISU01.14G183100.1.p, GmISU01.06G021100.1.p, GmISU01.04G023000.1.p	Ds_00000511-RA
OG0000098	GmISU01.09G024900.1.p, GmISU01.15G122800.1.p	Ds_00004278-RA
OG0000098	GmISU01.05G176100.1.p, GmISU01.08G012800.1.p, GmISU01.05G211600.1.p, GmISU01.08G049400.1.p	Ds_00001304-RA
OG0000098	GmISU01.19G096500.2.p, GmISU01.19G096500.1.p, GmISU01.03G092100.1.p	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000098	GmISU01.03G057700.1.p, GmISU01.01G084400.1.p	Ds_00010103-RA
OG0000099	GmISU01.19G003400.1.p, GmISU01.19G004100.1.p, GmISU01.05G003100.1.p, GmISU01.05G003000.1.p, GmISU01.05G002900.1.p, GmISU01.19G003300.1.p, GmISU01.19G046300.1.p	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA, Ds_00012557-RA
OG0000101	GmISU01.13G171000.1.p	Ds_00017680-RA, Ds_00013692-RA
OG0000101	GmISU01.07G046400.1.p	Ds_00013443-RA, Ds_00013823-RA
OG0000101	GmISU01.13G057800.1.p, GmISU01.04G096300.1.p	Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA
OG0000102	GmISU01.06G235700.1.p, GmISU01.06G236300.1.p, GmISU01.06G234100.1.p, GmISU01.06G235100.1.p, GmISU01.06G240200.1.p, GmISU01.12G106700.1.p, GmISU01.12G108800.1.p, GmISU01.06G235350.1.p, GmISU01.06G234200.1.p, GmISU01.12G106900.1.p, GmISU01.12G106800.1.p, GmISU01.12G108700.1.p, GmISU01.06G240100.1.p, GmISU01.12G069900.1.p, GmISU01.11G158000.1.p	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA, Ds_00011502-RA, Ds_00015916-RA
OG0000103	GmISU01.12G131100.2.p, GmISU01.12G131100.3.p, GmISU01.12G131100.1.p, GmISU01.06G200900.2.p, GmISU01.06G200900.1.p, GmISU01.08G161300.3.p, GmISU01.08G161300.2.p, GmISU01.08G161300.1.p, GmISU01.15G210100.1.p, GmISU01.08G218000.1.p, GmISU01.15G181800.1.p	Ds_00007541-RA
OG0000103	GmISU01.03G142100.2.p, GmISU01.19G145500.1.p, GmISU01.10G048200.1.p, GmISU01.13G111600.1.p	Ds_00008775-RA
