"","...1","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Module"
"44",92,"GO:0048580","regulation of post-embryonic development",232,34,19.71,"0.00227","4"
"45",93,"GO:0006082","organic acid metabolic process",1016,118,86.32,"0.00247","4"
"46",94,"GO:0071396","cellular response to lipid",327,67,27.78,"0.00265","4"
"47",95,"GO:0008219","cell death",116,28,9.85,"0.00269","4"
"48",96,"GO:0052542","defense response by callose deposition",14,5,1.19,"0.00288","4"
"49",97,"GO:0052543","callose deposition in cell wall",14,5,1.19,"0.00288","4"
"50",98,"GO:0010187","negative regulation of seed germination",14,5,1.19,"0.00288","4"
"51",99,"GO:0009753","response to jasmonic acid",218,36,18.52,"0.00301","4"
"52",100,"GO:0097305","response to alcohol",529,109,44.94,"0.00302","4"
"53",101,"GO:0046885","regulation of hormone biosynthetic process",9,4,0.76,"0.00312","4"
"54",102,"GO:1900424","regulation of defense response to bacterium",27,7,2.29,"0.00340","4"
"55",103,"GO:0009742","brassinosteroid mediated signaling pathway",34,8,2.89,"0.00342","4"
"56",104,"GO:0010119","regulation of stomatal movement",65,15,5.52,"0.00374","4"
"57",105,"GO:0009741","response to brassinosteroid",55,14,4.67,"0.00382","4"
"58",106,"GO:1990019","protein storage vacuole organization",5,3,0.42,"0.00395","4"
"59",107,"GO:0010161","red light signaling pathway",5,3,0.42,"0.00395","4"
"60",108,"GO:0080142","regulation of salicylic acid biosynthetic process",5,3,0.42,"0.00395","4"
"61",109,"GO:0043200","response to amino acid",15,5,1.27,"0.00405","4"
"62",110,"GO:0010375","stomatal complex patterning",15,5,1.27,"0.00405","4"
"63",111,"GO:0009967","positive regulation of signal transduction",43,9,3.65,"0.00453","4"
"64",112,"GO:0050829","defense response to Gram-negative bacterium",10,4,0.85,"0.00489","4"
"65",113,"GO:0071495","cellular response to endogenous stimulus",614,139,52.16,"0.00507","4"
"66",114,"GO:0006486","protein glycosylation",95,15,8.07,"0.00543","4"
"67",115,"GO:0010193","response to ozone",16,5,1.36,"0.00552","4"
"68",116,"GO:0009826","unidimensional cell growth",220,32,18.69,"0.00566","4"
"69",117,"GO:0030243","cellulose metabolic process",46,14,3.91,"0.00577","4"
"70",118,"GO:0042545","cell wall modification",75,16,6.37,"0.00581","4"
"71",119,"GO:0006556","S-adenosylmethionine biosynthetic process",2,2,0.17,"0.00583","4"
"72",120,"GO:0009769","photosynthesis, light harvesting in photosystem II",2,2,0.17,"0.00583","4"
"73",121,"GO:0045227","capsule polysaccharide biosynthetic process",2,2,0.17,"0.00583","4"
"74",122,"GO:0015812","gamma-aminobutyric acid transport",2,2,0.17,"0.00583","4"
"75",123,"GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system",2,2,0.17,"0.00583","4"
"76",124,"GO:0033358","UDP-L-arabinose biosynthetic process",2,2,0.17,"0.00583","4"
"77",125,"GO:0032490","detection of molecule of bacterial origin",2,2,0.17,"0.00583","4"
"78",126,"GO:0019567","arabinose biosynthetic process",2,2,0.17,"0.00583","4"
"79",127,"GO:0070592","cell wall polysaccharide biosynthetic process",54,15,4.59,"0.00601","4"
"80",128,"GO:0090333","regulation of stomatal closure",23,6,1.95,"0.00639","4"
"81",129,"GO:0009834","plant-type secondary cell wall biogenesis",79,13,6.71,"0.00655","4"
"82",130,"GO:2000241","regulation of reproductive process",265,32,22.51,"0.00662","4"
"83",131,"GO:0009908","flower development",361,41,30.67,"0.00683","4"
"84",132,"GO:0043067","regulation of programmed cell death",38,8,3.23,"0.00703","4"
"85",133,"GO:0006869","lipid transport",46,9,3.91,"0.00720","4"
"86",134,"GO:0000165","MAPK cascade",11,4,0.93,"0.00723","4"
"87",135,"GO:0010115","regulation of abscisic acid biosynthetic process",11,4,0.93,"0.00723","4"
"88",136,"GO:0048367","shoot system development",786,96,66.78,"0.00736","4"
"89",137,"GO:0032107","regulation of response to nutrient levels",6,3,0.51,"0.00746","4"
"90",138,"GO:0010483","pollen tube reception",6,3,0.51,"0.00746","4"
"91",139,"GO:1990641","response to iron ion starvation",6,3,0.51,"0.00746","4"
"92",140,"GO:0002238","response to molecule of fungal origin",6,3,0.51,"0.00746","4"
"93",141,"GO:0009664","plant-type cell wall organization",87,22,7.39,"0.00760","4"
"94",142,"GO:0009636","response to toxic substance",72,12,6.12,"0.00796","4"
"95",143,"GO:0052546","cell wall pectin metabolic process",24,6,2.04,"0.00798","4"
"96",144,"GO:0035970","peptidyl-threonine dephosphorylation",24,6,2.04,"0.00798","4"
"97",145,"GO:0010191","mucilage metabolic process",24,6,2.04,"0.00798","4"
"98",146,"GO:0010183","pollen tube guidance",24,6,2.04,"0.00798","4"
"99",147,"GO:0044237","cellular metabolic process",5522,611,469.13,"0.00894","4"
"100",148,"GO:0048518","positive regulation of biological process",772,101,65.59,"0.00919","4"
"101",149,"GO:0051510","regulation of unidimensional cell growth",48,9,4.08,"0.00956","4"
"102",150,"GO:0002252","immune effector process",12,4,1.02,"0.01020","4"
"103",151,"GO:0007267","cell-cell signaling",12,4,1.02,"0.01020","4"
"104",152,"GO:0048827","phyllome development",420,54,35.68,"0.01068","4"
"105",153,"GO:0044419","biological process involved in interspecies interaction between organisms",923,198,78.41,"0.01119","4"
"106",154,"GO:0032787","monocarboxylic acid metabolic process",371,57,31.52,"0.01131","4"
"107",155,"GO:0009743","response to carbohydrate",108,19,9.18,"0.01142","4"
"108",156,"GO:0016143","S-glycoside metabolic process",58,10,4.93,"0.01170","4"
"109",157,"GO:0019760","glucosinolate metabolic process",58,10,4.93,"0.01170","4"
"110",158,"GO:0019757","glycosinolate metabolic process",58,10,4.93,"0.01170","4"
"111",159,"GO:0009789","positive regulation of abscisic acid-activated signaling pathway",26,6,2.21,"0.01198","4"
"112",160,"GO:1901657","glycosyl compound metabolic process",85,13,7.22,"0.01203","4"
"113",161,"GO:0010600","regulation of auxin biosynthetic process",7,3,0.59,"0.01232","4"
"114",162,"GO:0046184","aldehyde biosynthetic process",7,3,0.59,"0.01232","4"
"115",163,"GO:0016311","dephosphorylation",138,22,11.72,"0.01243","4"
"116",164,"GO:0043436","oxoacid metabolic process",952,108,80.88,"0.01250","4"
"117",165,"GO:0009628","response to abiotic stimulus",1986,294,168.72,"0.01252","4"
"118",166,"GO:0051274","beta-glucan biosynthetic process",51,14,4.33,"0.01260","4"
"119",167,"GO:0006906","vesicle fusion",34,7,2.89,"0.01291","4"
"120",168,"GO:0048284","organelle fusion",59,10,5.01,"0.01316","4"
"121",169,"GO:0071216","cellular response to biotic stimulus",13,4,1.1,"0.01385","4"
"122",170,"GO:0009612","response to mechanical stimulus",13,4,1.1,"0.01385","4"
"123",171,"GO:2000031","regulation of salicylic acid mediated signaling pathway",13,4,1.1,"0.01385","4"
"124",172,"GO:0006793","phosphorus metabolic process",985,143,83.68,"0.01390","4"
"125",173,"GO:0019752","carboxylic acid metabolic process",803,95,68.22,"0.01401","4"
"126",174,"GO:0010087","phloem or xylem histogenesis",78,12,6.63,"0.01481","4"
"127",175,"GO:0048584","positive regulation of response to stimulus",120,25,10.19,"0.01548","4"
"128",176,"GO:0007010","cytoskeleton organization",187,23,15.89,"0.01575","4"
"129",177,"GO:0097435","supramolecular fiber organization",107,15,9.09,"0.01584","4"
"130",178,"GO:0009607","response to biotic stimulus",917,197,77.91,"0.01655","4"
"131",179,"GO:2000378","negative regulation of reactive oxygen species metabolic process",3,2,0.25,"0.01660","4"
"132",180,"GO:0006808","regulation of nitrogen utilization",3,2,0.25,"0.01660","4"
"133",181,"GO:0008615","pyridoxine biosynthetic process",3,2,0.25,"0.01660","4"
"134",182,"GO:0071786","endoplasmic reticulum tubular network organization",3,2,0.25,"0.01660","4"
"135",183,"GO:0010394","homogalacturonan metabolic process",3,2,0.25,"0.01660","4"
"136",184,"GO:0106035","protein maturation by [4Fe-4S] cluster transfer",3,2,0.25,"0.01660","4"
"137",185,"GO:0051552","flavone metabolic process",3,2,0.25,"0.01660","4"
"138",186,"GO:0051553","flavone biosynthetic process",3,2,0.25,"0.01660","4"
"139",187,"GO:0051554","flavonol metabolic process",3,2,0.25,"0.01660","4"
"140",188,"GO:0051555","flavonol biosynthetic process",3,2,0.25,"0.01660","4"
"141",189,"GO:0010289","homogalacturonan biosynthetic process",3,2,0.25,"0.01660","4"
"142",190,"GO:0009832","plant-type cell wall biogenesis",159,30,13.51,"0.01691","4"
"143",191,"GO:0009056","catabolic process",1117,106,94.9,"0.01693","4"
"144",192,"GO:0061025","membrane fusion",44,8,3.74,"0.01699","4"
"145",193,"GO:0065007","biological regulation",3672,502,311.96,"0.01712","4"
"146",194,"GO:0006470","protein dephosphorylation",95,17,8.07,"0.01779","4"
"147",195,"GO:0009605","response to external stimulus",1165,226,98.97,"0.01786","4"
"148",196,"GO:1902532","negative regulation of intracellular signal transduction",14,4,1.19,"0.01824","4"
"149",197,"GO:0010941","regulation of cell death",51,14,4.33,"0.01825","4"
"150",198,"GO:0009750","response to fructose",8,3,0.68,"0.01860","4"
"151",199,"GO:1900034","regulation of cellular response to heat",8,3,0.68,"0.01860","4"
"152",200,"GO:0010189","vitamin E biosynthetic process",8,3,0.68,"0.01860","4"
"153",201,"GO:0002757","immune response-activating signal transduction",8,3,0.68,"0.01860","4"
"154",202,"GO:0002758","innate immune response-activating signal transduction",8,3,0.68,"0.01860","4"
"155",203,"GO:0042360","vitamin E metabolic process",8,3,0.68,"0.01860","4"
"156",204,"GO:0007568","aging",21,5,1.78,"0.01871","4"
"157",205,"GO:0048278","vesicle docking",21,5,1.78,"0.01871","4"
"158",206,"GO:0034285","response to disaccharide",45,8,3.82,"0.01932","4"
"159",207,"GO:0009744","response to sucrose",45,8,3.82,"0.01932","4"
"160",208,"GO:0010053","root epidermal cell differentiation",100,14,8.5,"0.01955","4"
"161",209,"GO:0044550","secondary metabolite biosynthetic process",81,12,6.88,"0.01957","4"
"162",210,"GO:0090174","organelle membrane fusion",37,7,3.14,"0.02026","4"
"163",211,"GO:0045490","pectin catabolic process",37,7,3.14,"0.02026","4"
"164",212,"GO:0033692","cellular polysaccharide biosynthetic process",129,28,10.96,"0.02046","4"
"165",213,"GO:0007623","circadian rhythm",91,13,7.73,"0.02052","4"
"166",214,"GO:0048511","rhythmic process",91,13,7.73,"0.02052","4"
"167",215,"GO:0006796","phosphate-containing compound metabolic process",959,138,81.47,"0.02128","4"
"168",216,"GO:0048574","long-day photoperiodism, flowering",22,5,1.87,"0.02273","4"
"169",217,"GO:0030865","cortical cytoskeleton organization",38,7,3.23,"0.02325","4"
"170",218,"GO:0006775","fat-soluble vitamin metabolic process",15,4,1.27,"0.02340","4"
"171",219,"GO:0050826","response to freezing",15,4,1.27,"0.02340","4"
"172",220,"GO:0042362","fat-soluble vitamin biosynthetic process",15,4,1.27,"0.02340","4"
"173",221,"GO:0009404","toxin metabolic process",30,6,2.55,"0.02383","4"
"174",222,"GO:0090627","plant epidermal cell differentiation",123,16,10.45,"0.02494","4"
"175",223,"GO:0042430","indole-containing compound metabolic process",56,9,4.76,"0.02508","4"
"176",224,"GO:0099402","plant organ development",927,128,78.75,"0.02523","4"
"177",225,"GO:0009639","response to red or far red light",191,25,16.23,"0.02612","4"
"178",226,"GO:0052544","defense response by callose deposition in cell wall",9,3,0.76,"0.02634","4"
"179",227,"GO:0007155","cell adhesion",9,3,0.76,"0.02634","4"
"180",228,"GO:2000038","regulation of stomatal complex development",9,3,0.76,"0.02634","4"
"181",229,"GO:0052482","defense response by cell wall thickening",9,3,0.76,"0.02634","4"
"182",230,"GO:0009698","phenylpropanoid metabolic process",75,11,6.37,"0.02650","4"
"183",231,"GO:0016052","carbohydrate catabolic process",114,15,9.69,"0.02673","4"
"184",232,"GO:0022603","regulation of anatomical structure morphogenesis",96,17,8.16,"0.02698","4"
"185",233,"GO:0071417","cellular response to organonitrogen compound",23,5,1.95,"0.02727","4"
"186",234,"GO:0009809","lignin biosynthetic process",31,6,2.63,"0.02770","4"
"187",235,"GO:0098754","detoxification",57,9,4.84,"0.02783","4"
"188",236,"GO:0009250","glucan biosynthetic process",85,17,7.22,"0.02805","4"
"189",237,"GO:0009653","anatomical structure morphogenesis",852,107,72.38,"0.02899","4"
"190",238,"GO:0051260","protein homooligomerization",16,4,1.36,"0.02936","4"
"191",239,"GO:0048359","mucilage metabolic process involved in seed coat development",16,4,1.36,"0.02936","4"
"192",240,"GO:0009838","abscission",16,4,1.36,"0.02936","4"
"193",241,"GO:0010016","shoot system morphogenesis",146,18,12.4,"0.02952","4"
"194",242,"GO:0009642","response to light intensity",188,22,15.97,"0.02973","4"
"195",243,"GO:0009644","response to high light intensity",40,7,3.4,"0.03011","4"
"196",244,"GO:0030001","metal ion transport",116,15,9.85,"0.03068","4"
"197",245,"GO:0000271","polysaccharide biosynthetic process",160,36,13.59,"0.03073","4"
"198",246,"GO:0009699","phenylpropanoid biosynthetic process",58,9,4.93,"0.03080","4"
"199",247,"GO:0071369","cellular response to ethylene stimulus",55,16,4.67,"0.03098","4"
"200",248,"GO:0002764","immune response-regulating signaling pathway",19,9,1.61,"0.03121","4"
"201",249,"GO:0033037","polysaccharide localization",23,9,1.95,"0.03123","4"
"202",250,"GO:0050776","regulation of immune response",51,17,4.33,"0.03126","4"
"203",251,"GO:0035627","ceramide transport",4,2,0.34,"0.03153","4"
"204",252,"GO:0048317","seed morphogenesis",4,2,0.34,"0.03153","4"
"205",253,"GO:0009268","response to pH",4,2,0.34,"0.03153","4"
"206",254,"GO:2001009","regulation of plant-type cell wall cellulose biosynthetic process",4,2,0.34,"0.03153","4"
"207",255,"GO:0050685","positive regulation of mRNA processing",4,2,0.34,"0.03153","4"
"208",256,"GO:0015969","guanosine tetraphosphate metabolic process",4,2,0.34,"0.03153","4"
"209",257,"GO:0008614","pyridoxine metabolic process",4,2,0.34,"0.03153","4"
"210",258,"GO:0120009","intermembrane lipid transfer",4,2,0.34,"0.03153","4"
"211",259,"GO:0098609","cell-cell adhesion",4,2,0.34,"0.03153","4"
"212",260,"GO:1900036","positive regulation of cellular response to heat",4,2,0.34,"0.03153","4"
"213",261,"GO:0034035","purine ribonucleoside bisphosphate metabolic process",4,2,0.34,"0.03153","4"
"214",262,"GO:0010981","regulation of cell wall macromolecule metabolic process",4,2,0.34,"0.03153","4"
"215",263,"GO:1902065","response to L-glutamate",4,2,0.34,"0.03153","4"
"216",264,"GO:0048026","positive regulation of mRNA splicing, via spliceosome",4,2,0.34,"0.03153","4"
"217",265,"GO:0080168","abscisic acid transport",4,2,0.34,"0.03153","4"
"218",266,"GO:0046864","isoprenoid transport",4,2,0.34,"0.03153","4"
"219",267,"GO:0046865","terpenoid transport",4,2,0.34,"0.03153","4"
"220",268,"GO:0071323","cellular response to chitin",4,2,0.34,"0.03153","4"
"221",269,"GO:0048585","negative regulation of response to stimulus",135,22,11.47,"0.03160","4"
"222",270,"GO:0071704","organic substance metabolic process",5786,629,491.56,"0.03176","4"
"223",271,"GO:0006887","exocytosis",32,6,2.72,"0.03196","4"
"224",272,"GO:0002239","response to oomycetes",32,6,2.72,"0.03196","4"
"225",273,"GO:0032102","negative regulation of response to external stimulus",24,5,2.04,"0.03235","4"
"226",274,"GO:1905421","regulation of plant organ morphogenesis",24,5,2.04,"0.03235","4"
"227",275,"GO:0002832","negative regulation of response to biotic stimulus",24,5,2.04,"0.03235","4"
"228",276,"GO:0006811","ion transport",279,32,23.7,"0.03249","4"
"229",277,"GO:0009909","regulation of flower development",107,14,9.09,"0.03296","4"
"230",278,"GO:0009845","seed germination",112,18,9.52,"0.03447","4"
"231",279,"GO:0006631","fatty acid metabolic process",149,18,12.66,"0.03521","4"
"232",280,"GO:0001558","regulation of cell growth",73,17,6.2,"0.03523","4"
"233",281,"GO:0006002","fructose 6-phosphate metabolic process",10,3,0.85,"0.03553","4"
"234",282,"GO:0048766","root hair initiation",10,3,0.85,"0.03553","4"
"235",283,"GO:0052325","cell wall pectin biosynthetic process",10,3,0.85,"0.03553","4"
"236",284,"GO:0010105","negative regulation of ethylene-activated signaling pathway",10,3,0.85,"0.03553","4"
"237",285,"GO:0070298","negative regulation of phosphorelay signal transduction system",10,3,0.85,"0.03553","4"
"238",286,"GO:0010227","floral organ abscission",10,3,0.85,"0.03553","4"
"239",287,"GO:1900425","negative regulation of defense response to bacterium",10,3,0.85,"0.03553","4"
"240",288,"GO:0090354","regulation of auxin metabolic process",10,3,0.85,"0.03553","4"
"241",289,"GO:0010017","red or far-red light signaling pathway",22,7,1.87,"0.03586","4"
"242",290,"GO:0030244","cellulose biosynthetic process",42,12,3.57,"0.03589","4"
"243",291,"GO:0043069","negative regulation of programmed cell death",17,4,1.44,"0.03613","4"
"244",292,"GO:1900150","regulation of defense response to fungus",17,4,1.44,"0.03613","4"
"245",293,"GO:0051707","response to other organism",915,196,77.74,"0.03625","4"
"246",294,"GO:0043207","response to external biotic stimulus",915,196,77.74,"0.03625","4"
"247",295,"GO:0071554","cell wall organization or biogenesis",472,90,40.1,"0.03644","4"
"248",296,"GO:0009185","ribonucleoside diphosphate metabolic process",33,6,2.8,"0.03663","4"
"249",297,"GO:0009132","nucleoside diphosphate metabolic process",42,7,3.57,"0.03822","4"
"250",298,"GO:0051241","negative regulation of multicellular organismal process",84,15,7.14,"0.03839","4"
"251",299,"GO:0007015","actin filament organization",61,9,5.18,"0.04098","4"
"252",300,"GO:0006833","water transport",18,4,1.53,"0.04373","4"
"253",301,"GO:0042044","fluid transport",18,4,1.53,"0.04373","4"
"254",302,"GO:0032881","regulation of polysaccharide metabolic process",26,5,2.21,"0.04416","4"
"255",303,"GO:0048571","long-day photoperiodism",26,5,2.21,"0.04416","4"
"256",304,"GO:0045927","positive regulation of growth",25,9,2.12,"0.04562","4"
"257",305,"GO:0006629","lipid metabolic process",714,90,60.66,"0.04578","4"
"258",306,"GO:0048522","positive regulation of cellular process",604,78,51.31,"0.04590","4"
"259",307,"GO:0031407","oxylipin metabolic process",11,3,0.93,"0.04614","4"
"260",308,"GO:0031408","oxylipin biosynthetic process",11,3,0.93,"0.04614","4"
"261",309,"GO:0006012","galactose metabolic process",11,3,0.93,"0.04614","4"
"262",310,"GO:0043903","regulation of biological process involved in symbiotic interaction",11,3,0.93,"0.04614","4"
"263",311,"GO:0010363","regulation of plant-type hypersensitive response",11,3,0.93,"0.04614","4"
"264",312,"GO:1901419","regulation of response to alcohol",72,10,6.12,"0.04626","4"
"265",313,"GO:0009787","regulation of abscisic acid-activated signaling pathway",72,10,6.12,"0.04626","4"
"266",314,"GO:1905957","regulation of cellular response to alcohol",72,10,6.12,"0.04626","4"
"267",315,"GO:0044248","cellular catabolic process",862,81,73.23,"0.04629","4"
"268",316,"GO:0006812","cation transport",154,18,13.08,"0.04641","4"
"269",317,"GO:0006816","calcium ion transport",35,6,2.97,"0.04721","4"
"270",318,"GO:0006165","nucleoside diphosphate phosphorylation",35,6,2.97,"0.04721","4"
"271",319,"GO:0008152","metabolic process",6326,684,537.43,"0.04752","4"
"272",320,"GO:0048437","floral organ development",155,18,13.17,"0.04893","4"
"273",321,"GO:0051289","protein homotetramerization",5,2,0.42,"0.04991","4"
"274",322,"GO:0033120","positive regulation of RNA splicing",5,2,0.42,"0.04991","4"
"275",323,"GO:0051231","spindle elongation",5,2,0.42,"0.04991","4"
"276",324,"GO:0042436","indole-containing compound catabolic process",5,2,0.42,"0.04991","4"
"277",325,"GO:0046473","phosphatidic acid metabolic process",5,2,0.42,"0.04991","4"
"278",326,"GO:0006670","sphingosine metabolic process",5,2,0.42,"0.04991","4"
"279",327,"GO:0010338","leaf formation",5,2,0.42,"0.04991","4"
"280",328,"GO:0070370","cellular heat acclimation",5,2,0.42,"0.04991","4"
"281",329,"GO:0051512","positive regulation of unidimensional cell growth",5,2,0.42,"0.04991","4"
"282",330,"GO:0009805","coumarin biosynthetic process",5,2,0.42,"0.04991","4"
"283",331,"GO:0043066","negative regulation of apoptotic process",5,2,0.42,"0.04991","4"
"284",332,"GO:0070413","trehalose metabolism in response to stress",5,2,0.42,"0.04991","4"
"285",333,"GO:0042822","pyridoxal phosphate metabolic process",5,2,0.42,"0.04991","4"
"286",334,"GO:0042823","pyridoxal phosphate biosynthetic process",5,2,0.42,"0.04991","4"
"287",335,"GO:0042819","vitamin B6 biosynthetic process",5,2,0.42,"0.04991","4"
"288",336,"GO:0010929","positive regulation of auxin mediated signaling pathway",5,2,0.42,"0.04991","4"
"289",337,"GO:0010120","camalexin biosynthetic process",5,2,0.42,"0.04991","4"
"290",338,"GO:0052317","camalexin metabolic process",5,2,0.42,"0.04991","4"
"291",339,"GO:0010148","transpiration",5,2,0.42,"0.04991","4"
"292",340,"GO:2001289","lipid X metabolic process",5,2,0.42,"0.04991","4"
"293",341,"GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway",5,2,0.42,"0.04991","4"
"294",342,"GO:0046512","sphingosine biosynthetic process",5,2,0.42,"0.04991","4"
"295",343,"GO:0031328","positive regulation of cellular biosynthetic process",272,38,23.11,"0.04995","4"
"296",31,"GO:0035196","miRNA processing",20,8,1.96,"0.00015","2"
"297",32,"GO:0040007","growth",782,107,76.7,"0.00015","2"
"298",33,"GO:0042752","regulation of circadian rhythm",36,11,3.53,"0.00015","2"
"299",34,"GO:0006914","autophagy",49,19,4.81,"0.00020","2"
"300",35,"GO:0060321","acceptance of pollen",8,5,0.78,"0.00022","2"
"301",36,"GO:0010218","response to far red light",21,8,2.06,"0.00022","2"
"302",37,"GO:0048869","cellular developmental process",700,93,68.66,"0.00023","2"
"303",38,"GO:0009893","positive regulation of metabolic process",473,106,46.39,"0.00023","2"
"304",39,"GO:0048366","leaf development",279,45,27.36,"0.00026","2"
"305",40,"GO:0045053","protein retention in Golgi apparatus",5,4,0.49,"0.00026","2"
"306",41,"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",137,30,13.44,"0.00026","2"
"307",42,"GO:0050794","regulation of cellular process",2734,435,268.15,"0.00029","2"
"308",43,"GO:0009640","photomorphogenesis",71,16,6.96,"0.00030","2"
"309",44,"GO:0031058","positive regulation of histone modification",17,7,1.67,"0.00032","2"
"310",45,"GO:0048024","regulation of mRNA splicing, via spliceosome",17,7,1.67,"0.00032","2"
"311",46,"GO:0046777","protein autophosphorylation",93,19,9.12,"0.00032","2"
"312",47,"GO:0010628","positive regulation of gene expression",52,13,5.1,"0.00037","2"
"313",48,"GO:0006351","DNA-templated transcription",998,164,97.88,"0.00037","2"
"314",49,"GO:0006606","protein import into nucleus",28,9,2.75,"0.00040","2"
"315",50,"GO:0016197","endosomal transport",46,12,4.51,"0.00040","2"
"316",51,"GO:0000422","autophagy of mitochondrion",13,6,1.28,"0.00042","2"
"317",52,"GO:0016573","histone acetylation",42,13,4.12,"0.00042","2"
"318",53,"GO:0032776","DNA methylation on cytosine",9,5,0.88,"0.00045","2"
"319",54,"GO:0010604","positive regulation of macromolecule metabolic process",399,93,39.13,"0.00046","2"
"320",55,"GO:0008104","protein localization",402,83,39.43,"0.00050","2"
"321",56,"GO:0098542","defense response to other organism",770,103,75.52,"0.00056","2"
"322",57,"GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process",3,3,0.29,"0.00065","2"
"323",58,"GO:2001008","positive regulation of cellulose biosynthetic process",3,3,0.29,"0.00065","2"
"324",59,"GO:0009408","response to heat",178,29,17.46,"0.00065","2"
"325",60,"GO:0022607","cellular component assembly",525,78,51.49,"0.00066","2"
"326",61,"GO:0030307","positive regulation of cell growth",14,6,1.37,"0.00068","2"
"327",62,"GO:0010629","negative regulation of gene expression",262,69,25.7,"0.00068","2"
"328",63,"GO:1900109","regulation of histone H3-K9 dimethylation",6,4,0.59,"0.00072","2"
"329",64,"GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain",6,4,0.59,"0.00072","2"
"330",65,"GO:0034727","piecemeal microautophagy of the nucleus",6,4,0.59,"0.00072","2"
"331",66,"GO:0007064","mitotic sister chromatid cohesion",10,5,0.98,"0.00083","2"
"332",67,"GO:0000373","Group II intron splicing",25,8,2.45,"0.00087","2"
"333",68,"GO:0030422","siRNA processing",25,8,2.45,"0.00087","2"
"334",69,"GO:0048589","developmental growth",624,77,61.2,"0.00087","2"
"335",70,"GO:0009648","photoperiodism",119,38,11.67,"0.00090","2"
