Orthogroup	D_muscipula.proteins	A_hypochondriacus.proteins
OG0000044	Dm_00009532-RA, Dm_00014819-RA	AH013313-RA
OG0000044	Dm_00016520-RA	AH002596-RA, AH017804-RA
OG0000046	Dm_00007088-RA, Dm_00001752-RA	AH000561-RA
OG0000046	Dm_00006378-RA, Dm_00013509-RA	AH020861-RA
OG0000046	Dm_00003891-RA, Dm_00011430-RA	AH005447-RA, AH004082-RA
OG0000046	Dm_00014024-RA, Dm_00012683-RA	AH016482-RA
OG0000046	Dm_00007080-RA	AH003338-RA, AH002087-RA, AH000466-RA
OG0000047	Dm_00007969-RA, Dm_00020823-RA	AH003569-RA
OG0000047	Dm_00005670-RA	AH008841-RA
OG0000047	Dm_00012951-RA	AH000830-RA, AH000718-RA
OG0000047	Dm_00004056-RA	AH011231-RA, AH020493-RA
OG0000047	Dm_00008069-RA	AH011987-RA
OG0000047	Dm_00018046-RA	AH008924-RA
OG0000047	Dm_00003985-RA, Dm_00009087-RA	AH017470-RA
OG0000047	Dm_00016600-RA	AH022778-RA
OG0000047	Dm_00020873-RA, Dm_00013559-RA, Dm_00009598-RA, Dm_00015362-RA	AH016591-RA
OG0000047	Dm_00010754-RA	AH009198-RA
OG0000047	Dm_00004084-RA	AH008597-RA
OG0000050	Dm_00018187-RA, Dm_00015317-RA	AH022759-RA
OG0000055	Dm_00019791-RA	AH005218-RA, AH004572-RA
OG0000055	Dm_00013087-RA, Dm_00006640-RA	AH007027-RA
OG0000058	Dm_00001789-RA, Dm_00000773-RA	AH012624-RA
OG0000059	Dm_00007673-RA	AH007433-RA
OG0000060	Dm_00009221-RA, Dm_00019776-RA, Dm_00014611-RA, Dm_00011321-RA, Dm_00006664-RA, Dm_00009640-RA, Dm_00017358-RA, Dm_00010891-RA, Dm_00019940-RA, Dm_00021085-RA, Dm_00013756-RA, Dm_00010328-RA, Dm_00011116-RA, Dm_00000620-RA, Dm_00008660-RA, Dm_00010462-RA	AH016857-RA
OG0000063	Dm_00017284-RA, Dm_00001327-RA	AH001425-RA, AH001424-RA
OG0000063	Dm_00000040-RA	AH022436-RA, AH012497-RA
OG0000063	Dm_00016579-RA, Dm_00009436-RA	AH023171-RA
OG0000063	Dm_00020250-RA	AH016307-RA
OG0000065	Dm_00018921-RA	AH020188-RA
OG0000067	Dm_00004643-RA, Dm_00004223-RA	AH001311-RA
OG0000067	Dm_00011275-RA	AH020385-RA, AH006767-RA
OG0000070	Dm_00008155-RA	AH004919-RA, AH004504-RA, AH022950-RA
OG0000071	Dm_00001685-RA	AH022369-RA, AH013559-RA
OG0000071	Dm_00016304-RA	AH012735-RA
OG0000071	Dm_00012616-RA	AH020129-RA
OG0000071	Dm_00019310-RA	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Dm_00008368-RA, Dm_00000932-RA	AH013047-RA
OG0000072	Dm_00019149-RA	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA
OG0000077	Dm_00004852-RA, Dm_00021132-RA	AH000842-RA
OG0000077	Dm_00009375-RA	AH007662-RA, AH007663-RA
OG0000078	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA	AH022838-RA
OG0000085	Dm_00002079-RA, Dm_00008755-RA	AH014594-RA, AH021106-RA
OG0000085	Dm_00018382-RA, Dm_00014711-RA	AH013377-RA, AH013378-RA
OG0000085	Dm_00000001-RA	AH021680-RA
OG0000085	Dm_00021097-RA	AH015892-RA, AH017005-RA
OG0000085	Dm_00011328-RA	AH018522-RA
OG0000087	Dm_00009408-RA	AH006703-RA, AH020455-RA
OG0000087	Dm_00020143-RA, Dm_00002856-RA	AH004659-RA
OG0000088	Dm_00006025-RA	AH007982-RA
OG0000088	Dm_00016161-RA	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	Dm_00012672-RA	AH002040-RA
OG0000089	Dm_00000623-RA	AH019224-RA, AH019223-RA
OG0000089	Dm_00001050-RA	AH014168-RA
OG0000090	Dm_00004995-RA	AH005307-RA, AH004871-RA, AH004467-RA
OG0000091	Dm_00002549-RA, Dm_00011577-RA	AH020558-RA, AH020560-RA
OG0000091	Dm_00000624-RA, Dm_00001319-RA	AH021178-RA, AH000644-RA
OG0000091	Dm_00002331-RA	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	Dm_00003221-RA, Dm_00003211-RA	AH006375-RA
OG0000092	Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA	AH016633-RA
OG0000095	Dm_00013674-RA	AH013260-RA
OG0000095	Dm_00001105-RA	AH010162-RA
OG0000096	Dm_00002220-RA	AH005894-RA
OG0000097	Dm_00005636-RA, Dm_00005630-RA	AH017957-RA
OG0000097	Dm_00006030-RA	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000097	Dm_00017352-RA	AH009811-RA
OG0000098	Dm_00003034-RA	AH016758-RA
OG0000098	Dm_00015457-RA	AH003177-RA
OG0000101	Dm_00005058-RA	AH019269-RA
OG0000102	Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA	AH010958-RA, AH012445-RA
OG0000102	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA	AH021394-RA
OG0000103	Dm_00020702-RA	AH010123-RA
OG0000103	Dm_00001448-RA	AH010272-RA, AH008021-RA, AH015077-RA
OG0000103	Dm_00020247-RA	AH011687-RA
OG0000104	Dm_00012898-RA	AH021778-RA, AH012562-RA
OG0000104	Dm_00001406-RA	AH012563-RA
OG0000105	Dm_00012589-RA	AH005316-RA
OG0000105	Dm_00013721-RA	AH021428-RA, AH014857-RA
OG0000105	Dm_00000769-RA, Dm_00001787-RA	AH012640-RA, AH021838-RA
OG0000105	Dm_00006766-RA	AH013279-RA
OG0000106	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Dm_00002832-RA, Dm_00001602-RA	AH004190-RA, AH005485-RA
OG0000107	Dm_00001603-RA	AH001713-RA
OG0000108	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA	AH010687-RA, AH001829-RA
OG0000108	Dm_00014168-RA	AH012760-RA, AH014759-RA
OG0000109	Dm_00003433-RA	AH001741-RA
OG0000109	Dm_00007914-RA	AH003764-RA
OG0000109	Dm_00012182-RA	AH008949-RA
OG0000110	Dm_00010771-RA	AH019974-RA, AH007045-RA
OG0000113	Dm_00016399-RA	AH016269-RA, AH023225-RA
OG0000113	Dm_00006694-RA, Dm_00006695-RA	AH018586-RA
OG0000113	Dm_00006693-RA	AH018584-RA
OG0000114	Dm_00013880-RA	AH015161-RA
OG0000115	Dm_00005936-RA, Dm_00005937-RA	AH020498-RA
OG0000116	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA	AH022502-RA
OG0000118	Dm_00001565-RA	AH022107-RA
OG0000118	Dm_00002039-RA, Dm_00015779-RA	AH012040-RA, AH019634-RA
OG0000118	Dm_00006495-RA	AH006465-RA, AH002266-RA, AH009602-RA
OG0000120	Dm_00019247-RA	AH020337-RA, AH006837-RA
OG0000120	Dm_00008637-RA	AH020344-RA
OG0000120	Dm_00017614-RA	AH009707-RA
OG0000120	Dm_00017973-RA	AH018632-RA
OG0000121	Dm_00018618-RA	AH010321-RA
OG0000121	Dm_00014597-RA	AH003011-RA
OG0000121	Dm_00021095-RA	AH013867-RA
OG0000122	Dm_00016543-RA	AH003330-RA
OG0000123	Dm_00020844-RA	AH004264-RA, AH005234-RA
OG0000125	Dm_00004819-RA	AH012890-RA
OG0000125	Dm_00000561-RA	AH010563-RA
OG0000127	Dm_00001228-RA	AH010397-RA
OG0000127	Dm_00006084-RA	AH022171-RA, AH012869-RA
OG0000127	Dm_00000969-RA, Dm_00000275-RA, Dm_00000966-RA, Dm_00015587-RA	AH002969-RA, AH017357-RA
OG0000129	Dm_00018929-RA, Dm_00010360-RA	AH019248-RA
OG0000129	Dm_00019326-RA	AH019249-RA
OG0000131	Dm_00020931-RA, Dm_00002070-RA	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA
OG0000134	Dm_00002439-RA, Dm_00009619-RA, Dm_00002440-RA	AH001790-RA, AH001791-RA
OG0000135	Dm_00020801-RA	AH022214-RA
OG0000135	Dm_00015604-RA	AH016059-RA
OG0000135	Dm_00006540-RA, Dm_00009257-RA	AH013502-RA
OG0000135	Dm_00010456-RA, Dm_00019007-RA	AH015896-RA
OG0000136	Dm_00009414-RA	AH016776-RA, AH023665-RA
OG0000137	Dm_00020784-RA, Dm_00016612-RA, Dm_00005256-RA, Dm_00006644-RA, Dm_00015272-RA, Dm_00020969-RA, Dm_00020646-RA	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA
OG0000138	Dm_00008855-RA	AH005424-RA
OG0000139	Dm_00010302-RA, Dm_00016348-RA, Dm_00002446-RA	AH023020-RA
OG0000139	Dm_00018590-RA	AH016410-RA
OG0000140	Dm_00010965-RA	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA
OG0000142	Dm_00012078-RA, Dm_00012077-RA	AH003498-RA, AH003496-RA, AH003495-RA, AH003497-RA
OG0000143	Dm_00008555-RA	AH002172-RA
OG0000143	Dm_00003928-RA	AH008727-RA
OG0000144	Dm_00009698-RA, Dm_00010190-RA	AH005332-RA
OG0000144	Dm_00011268-RA	AH004163-RA
OG0000145	Dm_00017523-RA	AH009242-RA
OG0000146	Dm_00013981-RA, Dm_00004551-RA, Dm_00004550-RA	AH013670-RA, AH013668-RA
OG0000147	Dm_00012154-RA	AH021952-RA
OG0000147	Dm_00004214-RA	AH000183-RA
OG0000148	Dm_00003748-RA	AH022552-RA
OG0000148	Dm_00012196-RA	AH022967-RA
OG0000149	Dm_00013011-RA	AH016220-RA
OG0000152	Dm_00019913-RA	AH000407-RA
OG0000152	Dm_00014149-RA, Dm_00020320-RA, Dm_00016601-RA	AH022506-RA
OG0000153	Dm_00003098-RA	AH021960-RA
OG0000153	Dm_00004902-RA, Dm_00004472-RA	AH007368-RA
OG0000155	Dm_00014490-RA	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA
OG0000155	Dm_00017503-RA	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA
OG0000157	Dm_00002335-RA	AH001951-RA
OG0000157	Dm_00004388-RA	AH019804-RA
OG0000159	Dm_00004560-RA	AH009478-RA, AH009480-RA
OG0000159	Dm_00000193-RA	AH011882-RA
OG0000160	Dm_00000160-RA	AH016892-RA, AH023753-RA
OG0000160	Dm_00002270-RA, Dm_00012322-RA	AH005973-RA
OG0000162	Dm_00020718-RA, Dm_00002774-RA	AH005478-RA, AH004130-RA
OG0000163	Dm_00005033-RA, Dm_00013005-RA, Dm_00002817-RA, Dm_00007859-RA	AH014552-RA
OG0000163	Dm_00011806-RA	AH013346-RA
OG0000164	Dm_00019025-RA, Dm_00020584-RA, Dm_00020207-RA	AH021228-RA, AH014343-RA
OG0000164	Dm_00014735-RA, Dm_00018986-RA	AH001454-RA, AH000392-RA
OG0000164	Dm_00000108-RA	AH020804-RA, AH014173-RA
OG0000168	Dm_00004247-RA, Dm_00004248-RA	AH007811-RA
OG0000169	Dm_00001981-RA	AH003317-RA
OG0000169	Dm_00003996-RA	AH010535-RA
OG0000170	Dm_00008657-RA	AH022999-RA, AH016450-RA
OG0000170	Dm_00015271-RA	AH011283-RA
OG0000170	Dm_00003497-RA, Dm_00003545-RA	AH007222-RA, AH010754-RA
OG0000171	Dm_00017813-RA, Dm_00000656-RA, Dm_00009503-RA	AH000491-RA, AH002132-RA
OG0000171	Dm_00018421-RA	AH020896-RA, AH014491-RA
OG0000171	Dm_00010899-RA	AH018302-RA, AH009054-RA
OG0000179	Dm_00013947-RA, Dm_00016891-RA	AH015938-RA
OG0000179	Dm_00014782-RA	AH012805-RA
OG0000179	Dm_00017688-RA, Dm_00018639-RA	AH004307-RA
OG0000180	Dm_00014427-RA	AH014306-RA, AH021076-RA
OG0000180	Dm_00015134-RA	AH022087-RA
OG0000181	Dm_00001869-RA	AH010377-RA, AH003266-RA
OG0000182	Dm_00013542-RA, Dm_00004694-RA	AH001251-RA, AH000172-RA, AH021993-RA
OG0000182	Dm_00003411-RA	AH012779-RA
OG0000183	Dm_00006578-RA, Dm_00003753-RA	AH000308-RA, AH001363-RA
OG0000183	Dm_00000721-RA	AH015254-RA
OG0000184	Dm_00010841-RA	AH007212-RA
OG0000184	Dm_00009564-RA	AH019907-RA, AH007213-RA
OG0000185	Dm_00008201-RA	AH007772-RA
OG0000185	Dm_00019609-RA	AH020040-RA
OG0000186	Dm_00012498-RA	AH004613-RA
OG0000188	Dm_00004072-RA, Dm_00020166-RA	AH009637-RA
OG0000189	Dm_00005825-RA	AH004583-RA
OG0000191	Dm_00020682-RA	AH020345-RA
OG0000191	Dm_00017204-RA, Dm_00008634-RA, Dm_00012017-RA, Dm_00008636-RA, Dm_00017241-RA, Dm_00010364-RA	AH006833-RA
OG0000192	Dm_00001966-RA	AH011160-RA, AH011162-RA, AH011161-RA
OG0000192	Dm_00007600-RA	AH007480-RA, AH011104-RA
OG0000192	Dm_00018084-RA	AH011736-RA
OG0000193	Dm_00019935-RA	AH002455-RA
OG0000198	Dm_00010685-RA	AH013656-RA
OG0000199	Dm_00014546-RA	AH011848-RA
OG0000199	Dm_00013937-RA, Dm_00001731-RA	AH001884-RA
OG0000199	Dm_00000116-RA, Dm_00001028-RA	AH015573-RA
OG0000200	Dm_00018449-RA	AH005777-RA
OG0000200	Dm_00011732-RA	AH005778-RA
OG0000201	Dm_00001383-RA	AH011734-RA
OG0000201	Dm_00001382-RA	AH020018-RA
OG0000206	Dm_00018567-RA	AH010923-RA
OG0000206	Dm_00018450-RA	AH022824-RA, AH007651-RA
OG0000207	Dm_00008540-RA, Dm_00012316-RA	AH002648-RA
OG0000207	Dm_00012138-RA, Dm_00009219-RA	AH022984-RA
OG0000207	Dm_00020776-RA	AH018948-RA
OG0000207	Dm_00004924-RA	AH023638-RA
OG0000207	Dm_00011320-RA	AH023639-RA
OG0000207	Dm_00005362-RA	AH009147-RA
OG0000208	Dm_00010303-RA	AH013416-RA, AH022322-RA, AH013411-RA
OG0000211	Dm_00017798-RA, Dm_00019243-RA	AH015397-RA, AH019277-RA
OG0000211	Dm_00010386-RA	AH017571-RA
OG0000211	Dm_00001989-RA, Dm_00005372-RA	AH005036-RA, AH004370-RA
OG0000212	Dm_00003314-RA, Dm_00011656-RA	AH019579-RA, AH012403-RA
OG0000212	Dm_00004774-RA, Dm_00004773-RA, Dm_00019158-RA	AH013636-RA
OG0000213	Dm_00011152-RA, Dm_00001766-RA	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA
OG0000216	Dm_00003598-RA, Dm_00004133-RA	AH008260-RA
OG0000216	Dm_00001128-RA, Dm_00015348-RA	AH002574-RA
OG0000216	Dm_00004892-RA	AH000038-RA
OG0000217	Dm_00018926-RA	AH006817-RA, AH006820-RA
OG0000218	Dm_00015495-RA	AH018419-RA
OG0000220	Dm_00020025-RA	AH018371-RA
OG0000220	Dm_00001513-RA, Dm_00001514-RA, Dm_00020024-RA, Dm_00014687-RA, Dm_00017640-RA	AH002688-RA
OG0000221	Dm_00003470-RA	AH016860-RA
OG0000221	Dm_00006083-RA	AH015847-RA, AH019151-RA
OG0000222	Dm_00007071-RA	AH018451-RA, AH011549-RA
OG0000222	Dm_00007034-RA	AH019420-RA, AH010384-RA, AH019521-RA
OG0000222	Dm_00020094-RA	AH012987-RA
OG0000222	Dm_00010493-RA	AH012396-RA
OG0000224	Dm_00004529-RA	AH021647-RA, AH015222-RA
OG0000224	Dm_00007961-RA, Dm_00003159-RA	AH000336-RA, AH001344-RA
OG0000227	Dm_00015659-RA	AH019119-RA
OG0000227	Dm_00005804-RA, Dm_00008810-RA	AH022956-RA, AH016463-RA
OG0000228	Dm_00000277-RA, Dm_00000967-RA	AH002970-RA, AH017354-RA
OG0000229	Dm_00007169-RA	AH003810-RA, AH005782-RA
OG0000230	Dm_00003037-RA	AH016753-RA
OG0000230	Dm_00006279-RA, Dm_00003240-RA	AH023644-RA
OG0000230	Dm_00010795-RA, Dm_00008107-RA	AH009416-RA
OG0000231	Dm_00003957-RA	AH004765-RA
OG0000232	Dm_00006467-RA	AH008127-RA
OG0000235	Dm_00007259-RA, Dm_00014092-RA	AH007677-RA, AH010905-RA
OG0000235	Dm_00019411-RA, Dm_00008269-RA	AH020331-RA, AH006874-RA, AH006856-RA
OG0000236	Dm_00018982-RA, Dm_00017997-RA	AH013818-RA
OG0000236	Dm_00014567-RA	AH023094-RA
OG0000238	Dm_00007192-RA, Dm_00008221-RA, Dm_00008223-RA, Dm_00008222-RA	AH022168-RA, AH022166-RA, AH022167-RA, AH004972-RA
OG0000238	Dm_00011911-RA	AH002211-RA, AH002223-RA, AH002216-RA, AH013971-RA, AH002218-RA, AH000864-RA, AH005582-RA
OG0000240	Dm_00003698-RA	AH007927-RA
OG0000240	Dm_00007397-RA, Dm_00010486-RA	AH001498-RA, AH000378-RA
OG0000241	Dm_00008568-RA	AH011397-RA, AH018288-RA, AH018263-RA
OG0000241	Dm_00004181-RA	AH001165-RA, AH016129-RA, AH018322-RA
OG0000242	Dm_00012845-RA	AH009443-RA
OG0000243	Dm_00017507-RA	AH003233-RA
OG0000244	Dm_00010726-RA	AH012219-RA
OG0000244	Dm_00003192-RA	AH013016-RA
OG0000244	Dm_00004109-RA, Dm_00003980-RA, Dm_00005516-RA	AH001047-RA, AH001046-RA
OG0000245	Dm_00007470-RA, Dm_00005273-RA, Dm_00007469-RA	AH021950-RA
OG0000246	Dm_00002182-RA, Dm_00016375-RA, Dm_00020254-RA	AH014183-RA, AH013911-RA, AH014182-RA
OG0000247	Dm_00012774-RA	AH022128-RA
OG0000248	Dm_00006793-RA	AH004731-RA, AH004633-RA
OG0000249	Dm_00007674-RA, Dm_00006387-RA	AH007643-RA
OG0000249	Dm_00018649-RA	AH006900-RA
OG0000249	Dm_00010765-RA	AH002805-RA
OG0000250	Dm_00012773-RA	AH002733-RA
OG0000250	Dm_00014769-RA, Dm_00017039-RA	AH009230-RA
OG0000251	Dm_00015938-RA	AH010082-RA
OG0000251	Dm_00009500-RA, Dm_00001044-RA	AH023083-RA
OG0000252	Dm_00011892-RA	AH005701-RA, AH003872-RA
OG0000254	Dm_00014114-RA, Dm_00007185-RA	AH016102-RA
OG0000256	Dm_00011654-RA	AH012393-RA
OG0000256	Dm_00020630-RA, Dm_00020395-RA, Dm_00004520-RA	AH015599-RA, AH015603-RA
OG0000257	Dm_00020715-RA	AH004421-RA
OG0000257	Dm_00011295-RA	AH020706-RA
OG0000262	Dm_00000606-RA, Dm_00000607-RA	AH006972-RA, AH007602-RA, AH010501-RA
OG0000262	Dm_00002554-RA	AH020567-RA, AH006502-RA
OG0000262	Dm_00014915-RA	AH010069-RA, AH008056-RA
OG0000264	Dm_00010481-RA	AH021353-RA, AH014775-RA
OG0000265	Dm_00012299-RA	AH010088-RA
OG0000265	Dm_00006575-RA	AH001360-RA, AH001361-RA, AH018443-RA
OG0000266	Dm_00005517-RA, Dm_00006442-RA	AH021514-RA, AH015026-RA
OG0000267	Dm_00003016-RA	AH014219-RA
OG0000268	Dm_00019727-RA	AH016282-RA, AH023211-RA
OG0000268	Dm_00004823-RA	AH001979-RA
OG0000269	Dm_00013579-RA	AH000502-RA
OG0000269	Dm_00014933-RA	AH017112-RA
OG0000270	Dm_00004263-RA, Dm_00006561-RA	AH013316-RA
OG0000271	Dm_00002603-RA, Dm_00010741-RA	AH017307-RA, AH002751-RA
OG0000276	Dm_00003012-RA	AH023560-RA, AH008937-RA
OG0000276	Dm_00010885-RA	AH015150-RA
OG0000276	Dm_00001832-RA, Dm_00008973-RA	AH010847-RA
OG0000276	Dm_00012068-RA	AH014503-RA, AH020889-RA
OG0000277	Dm_00019863-RA	AH013259-RA, AH022403-RA
OG0000277	Dm_00007324-RA	AH016190-RA
OG0000277	Dm_00008273-RA, Dm_00016211-RA	AH020366-RA, AH010939-RA
OG0000278	Dm_00012892-RA	AH008601-RA
OG0000278	Dm_00020573-RA, Dm_00013316-RA	AH008064-RA
OG0000279	Dm_00000183-RA, Dm_00000424-RA	AH011909-RA
OG0000280	Dm_00017167-RA	AH004575-RA, AH005224-RA
OG0000280	Dm_00018855-RA	AH006406-RA
OG0000286	Dm_00014786-RA	AH018733-RA
OG0000286	Dm_00016645-RA	AH018383-RA
OG0000286	Dm_00004678-RA	AH001609-RA
OG0000287	Dm_00002547-RA	AH014543-RA
OG0000288	Dm_00009045-RA, Dm_00007848-RA	AH013288-RA
OG0000288	Dm_00015338-RA	AH014662-RA
OG0000288	Dm_00014124-RA	AH021166-RA, AH014663-RA
OG0000291	Dm_00005703-RA, Dm_00007812-RA	AH005068-RA, AH004389-RA
OG0000291	Dm_00018461-RA	AH002812-RA
OG0000291	Dm_00019892-RA	AH018325-RA
OG0000292	Dm_00012302-RA	AH004693-RA, AH004654-RA, AH005949-RA, AH008037-RA
OG0000293	Dm_00002608-RA, Dm_00008435-RA, Dm_00020939-RA	AH015410-RA
OG0000294	Dm_00004717-RA, Dm_00002020-RA	AH007875-RA
OG0000295	Dm_00013292-RA	AH006922-RA
OG0000295	Dm_00015064-RA, Dm_00006049-RA	AH007665-RA, AH010890-RA
OG0000295	Dm_00013889-RA	AH016162-RA, AH015966-RA
OG0000299	Dm_00013770-RA	AH003820-RA
OG0000300	Dm_00010178-RA, Dm_00007263-RA	AH010916-RA
OG0000300	Dm_00007264-RA	AH010919-RA
OG0000301	Dm_00006222-RA, Dm_00009188-RA	AH000104-RA, AH001296-RA
OG0000302	Dm_00019668-RA	AH022753-RA, AH016603-RA
OG0000302	Dm_00008092-RA	AH016519-RA, AH022864-RA
OG0000302	Dm_00001686-RA, Dm_00001435-RA	AH022373-RA, AH013565-RA
OG0000303	Dm_00002850-RA	AH004650-RA, AH004696-RA
OG0000304	Dm_00015125-RA, Dm_00013420-RA	AH016791-RA
OG0000309	Dm_00018400-RA	AH005931-RA, AH005930-RA
OG0000310	Dm_00015520-RA	AH006104-RA
OG0000313	Dm_00009065-RA	AH004628-RA
OG0000314	Dm_00020898-RA, Dm_00006997-RA	AH022007-RA
OG0000315	Dm_00019004-RA	AH001723-RA, AH001724-RA, AH008726-RA, AH000594-RA
OG0000315	Dm_00008452-RA	AH000220-RA
