Orthogroup	D_muscipula.proteins	A_vesiculosa.proteins
OG0000004	Dm_00009100-RA	Av_00021704-RA, Av_00022042-RA, Av_00023378-RA, Av_00007388-RA, Av_00023997-RA, Av_00018079-RA, Av_00022083-RA, Av_00016884-RA, Av_00003255-RA, Av_00002331-RA, Av_00022232-RA, Av_00020970-RA, Av_00006389-RA, Av_00018087-RA, Av_00018300-RA, Av_00016849-RA, Av_00019336-RA, Av_00016656-RA, Av_00019601-RA, Av_00023415-RA, Av_00023973-RA, Av_00002043-RA, Av_00016061-RA, Av_00021185-RA, Av_00002170-RA, Av_00022529-RA, Av_00000500-RA, Av_00013830-RA, Av_00010873-RA, Av_00003108-RA, Av_00016044-RA, Av_00021337-RA, Av_00005874-RA, Av_00023373-RA, Av_00021817-RA, Av_00022395-RA, Av_00017665-RA, Av_00022054-RA, Av_00021750-RA, Av_00016854-RA, Av_00019175-RA, Av_00018391-RA, Av_00001524-RA, Av_00001241-RA, Av_00013587-RA, Av_00014069-RA, Av_00019848-RA, Av_00015697-RA, Av_00024162-RA, Av_00019887-RA, Av_00017190-RA, Av_00025091-RA, Av_00022157-RA, Av_00009537-RA, Av_00023916-RA, Av_00022959-RA, Av_00021356-RA, Av_00010512-RA
OG0000004	Dm_00018818-RA	Av_00022422-RA, Av_00021472-RA, Av_00014927-RA, Av_00012651-RA, Av_00010922-RA, Av_00020645-RA, Av_00011417-RA, Av_00017070-RA
OG0000004	Dm_00010848-RA	Av_00003766-RA, Av_00022804-RA, Av_00011853-RA, Av_00011744-RA, Av_00015852-RA, Av_00005011-RA, Av_00009748-RA, Av_00020482-RA, Av_00022590-RA, Av_00019914-RA, Av_00010912-RA, Av_00010498-RA, Av_00020646-RA, Av_00024902-RA, Av_00023963-RA, Av_00008194-RA, Av_00023279-RA, Av_00004077-RA, Av_00013827-RA, Av_00023329-RA, Av_00017781-RA, Av_00012995-RA, Av_00022486-RA, Av_00018392-RA, Av_00021436-RA, Av_00024860-RA, Av_00024245-RA, Av_00024117-RA, Av_00023160-RA, Av_00022646-RA, Av_00005604-RA, Av_00021989-RA, Av_00023629-RA, Av_00018378-RA, Av_00015044-RA, Av_00024388-RA, Av_00017333-RA, Av_00023761-RA, Av_00021979-RA, Av_00019184-RA, Av_00023920-RA, Av_00021184-RA, Av_00024315-RA, Av_00017770-RA, Av_00023538-RA, Av_00022027-RA, Av_00023725-RA, Av_00010817-RA, Av_00021383-RA, Av_00023379-RA, Av_00016839-RA, Av_00000369-RA
OG0000004	Dm_00005854-RA	Av_00019464-RA, Av_00021881-RA, Av_00014811-RA
OG0000004	Dm_00009467-RA, Dm_00017247-RA	Av_00015294-RA, Av_00006390-RA, Av_00015698-RA, Av_00017186-RA, Av_00018947-RA, Av_00017957-RA
OG0000004	Dm_00006234-RA	Av_00024966-RA, Av_00017017-RA, Av_00025097-RA, Av_00012079-RA, Av_00022575-RA, Av_00018419-RA, Av_00024077-RA, Av_00017422-RA, Av_00009936-RA, Av_00023549-RA, Av_00020765-RA, Av_00014588-RA, Av_00019339-RA
OG0000004	Dm_00007639-RA	Av_00024484-RA, Av_00024483-RA, Av_00024661-RA, Av_00017990-RA, Av_00004598-RA, Av_00003486-RA, Av_00019784-RA, Av_00020247-RA, Av_00011683-RA, Av_00019319-RA, Av_00012604-RA, Av_00007609-RA, Av_00010559-RA, Av_00013533-RA
OG0000008	Dm_00017627-RA, Dm_00015033-RA	Av_00011034-RA
OG0000008	Dm_00017626-RA, Dm_00017535-RA	Av_00017274-RA
OG0000008	Dm_00017356-RA, Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA	Av_00024183-RA
OG0000009	Dm_00019312-RA, Dm_00019953-RA, Dm_00013967-RA, Dm_00015045-RA, Dm_00020938-RA, Dm_00016492-RA, Dm_00015906-RA, Dm_00009125-RA, Dm_00008509-RA, Dm_00013003-RA, Dm_00011368-RA, Dm_00020089-RA, Dm_00019418-RA, Dm_00018074-RA, Dm_00016687-RA, Dm_00013056-RA	Av_00023163-RA, Av_00010257-RA
OG0000009	Dm_00021104-RA, Dm_00013107-RA, Dm_00010327-RA, Dm_00018556-RA, Dm_00017633-RA, Dm_00012988-RA, Dm_00020686-RA, Dm_00014000-RA, Dm_00020987-RA, Dm_00015119-RA, Dm_00011788-RA, Dm_00018544-RA, Dm_00017198-RA, Dm_00010304-RA, Dm_00019490-RA, Dm_00016005-RA, Dm_00007205-RA, Dm_00013535-RA	Av_00014948-RA
OG0000009	Dm_00014133-RA, Dm_00007027-RA, Dm_00020798-RA, Dm_00018592-RA	Av_00017212-RA
OG0000009	Dm_00020457-RA, Dm_00014650-RA, Dm_00013176-RA, Dm_00007594-RA, Dm_00010221-RA, Dm_00010409-RA, Dm_00021012-RA, Dm_00019564-RA, Dm_00019202-RA, Dm_00010575-RA, Dm_00015990-RA, Dm_00015152-RA, Dm_00020116-RA, Dm_00020710-RA, Dm_00013536-RA, Dm_00019409-RA, Dm_00020484-RA, Dm_00019842-RA, Dm_00019596-RA, Dm_00006839-RA, Dm_00012890-RA, Dm_00019684-RA, Dm_00017717-RA, Dm_00009449-RA, Dm_00020351-RA, Dm_00011337-RA, Dm_00018193-RA, Dm_00019843-RA, Dm_00015441-RA, Dm_00015618-RA, Dm_00015427-RA, Dm_00019837-RA, Dm_00020740-RA, Dm_00018795-RA, Dm_00019516-RA, Dm_00007935-RA, Dm_00019094-RA	Av_00017786-RA
OG0000009	Dm_00016093-RA	Av_00024760-RA
OG0000009	Dm_00017158-RA, Dm_00017044-RA	Av_00012225-RA
OG0000011	Dm_00013516-RA	Av_00002197-RA
OG0000013	Dm_00015876-RA	Av_00017081-RA, Av_00020185-RA, Av_00020490-RA
OG0000013	Dm_00014957-RA, Dm_00012915-RA, Dm_00007342-RA	Av_00021974-RA
OG0000013	Dm_00015106-RA, Dm_00009424-RA, Dm_00020827-RA, Dm_00020289-RA, Dm_00018235-RA, Dm_00015821-RA, Dm_00019066-RA, Dm_00013719-RA, Dm_00020214-RA, Dm_00016950-RA, Dm_00014528-RA, Dm_00019424-RA, Dm_00020653-RA, Dm_00020963-RA, Dm_00018901-RA, Dm_00020675-RA, Dm_00021063-RA	Av_00024358-RA, Av_00022875-RA, Av_00020439-RA, Av_00022149-RA
OG0000015	Dm_00012726-RA	Av_00005634-RA
OG0000015	Dm_00001315-RA	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA
OG0000018	Dm_00020011-RA	Av_00017038-RA
OG0000018	Dm_00012812-RA	Av_00002303-RA, Av_00009695-RA
OG0000020	Dm_00016826-RA, Dm_00005850-RA, Dm_00017912-RA, Dm_00014086-RA, Dm_00010800-RA, Dm_00019712-RA, Dm_00014691-RA	Av_00024519-RA
OG0000020	Dm_00006753-RA, Dm_00019278-RA, Dm_00020290-RA, Dm_00010987-RA, Dm_00014713-RA, Dm_00006100-RA, Dm_00020018-RA, Dm_00009671-RA, Dm_00014188-RA, Dm_00020645-RA, Dm_00017110-RA, Dm_00017208-RA	Av_00021422-RA, Av_00019988-RA, Av_00024756-RA, Av_00024215-RA, Av_00021800-RA, Av_00023495-RA, Av_00021451-RA
OG0000020	Dm_00014559-RA, Dm_00021028-RA, Dm_00016788-RA, Dm_00017040-RA, Dm_00015679-RA, Dm_00015072-RA, Dm_00012321-RA, Dm_00019301-RA, Dm_00014417-RA, Dm_00017634-RA, Dm_00018703-RA, Dm_00016599-RA, Dm_00005581-RA, Dm_00019882-RA, Dm_00014532-RA, Dm_00020450-RA, Dm_00017674-RA, Dm_00020228-RA, Dm_00018259-RA, Dm_00015009-RA, Dm_00019850-RA, Dm_00017618-RA, Dm_00019357-RA, Dm_00019902-RA, Dm_00020291-RA, Dm_00018624-RA, Dm_00013964-RA, Dm_00014101-RA, Dm_00018863-RA, Dm_00020881-RA, Dm_00017448-RA, Dm_00019253-RA, Dm_00020398-RA, Dm_00006247-RA, Dm_00016989-RA, Dm_00020785-RA, Dm_00020167-RA, Dm_00017993-RA, Dm_00008498-RA, Dm_00018094-RA, Dm_00016881-RA, Dm_00018369-RA, Dm_00010425-RA, Dm_00017133-RA, Dm_00013001-RA, Dm_00017994-RA, Dm_00016890-RA, Dm_00009784-RA, Dm_00015615-RA, Dm_00020439-RA, Dm_00012638-RA, Dm_00010988-RA, Dm_00016138-RA, Dm_00016805-RA, Dm_00010244-RA, Dm_00020397-RA, Dm_00011257-RA, Dm_00015947-RA, Dm_00015099-RA, Dm_00017579-RA, Dm_00020187-RA, Dm_00020957-RA, Dm_00012446-RA, Dm_00018720-RA, Dm_00016786-RA, Dm_00017941-RA, Dm_00015413-RA, Dm_00016856-RA, Dm_00011131-RA, Dm_00019410-RA, Dm_00009650-RA, Dm_00011685-RA, Dm_00017424-RA, Dm_00020638-RA, Dm_00016373-RA, Dm_00019111-RA, Dm_00007983-RA, Dm_00020701-RA, Dm_00020521-RA, Dm_00017052-RA, Dm_00020662-RA, Dm_00014531-RA, Dm_00013963-RA, Dm_00017442-RA, Dm_00015770-RA, Dm_00006313-RA, Dm_00007229-RA, Dm_00015621-RA, Dm_00010715-RA, Dm_00015377-RA, Dm_00020968-RA, Dm_00016438-RA, Dm_00017391-RA, Dm_00017779-RA, Dm_00014424-RA, Dm_00014430-RA, Dm_00012757-RA, Dm_00013510-RA, Dm_00016843-RA, Dm_00019877-RA, Dm_00019845-RA, Dm_00015412-RA, Dm_00013337-RA, Dm_00008859-RA, Dm_00016915-RA, Dm_00020874-RA, Dm_00020258-RA, Dm_00015173-RA, Dm_00018310-RA, Dm_00020731-RA	Av_00021190-RA
OG0000020	Dm_00011749-RA, Dm_00019082-RA, Dm_00017569-RA, Dm_00020366-RA, Dm_00010309-RA, Dm_00013471-RA, Dm_00017109-RA, Dm_00017423-RA, Dm_00010590-RA, Dm_00016323-RA	Av_00019093-RA
OG0000020	Dm_00018807-RA	Av_00024447-RA, Av_00024080-RA, Av_00021972-RA, Av_00021382-RA, Av_00018532-RA
OG0000021	Dm_00010344-RA	Av_00016821-RA, Av_00016683-RA
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	Av_00016682-RA
OG0000022	Dm_00009918-RA	Av_00010967-RA
OG0000022	Dm_00000930-RA	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA
OG0000022	Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA	Av_00002137-RA, Av_00001706-RA, Av_00009282-RA
OG0000023	Dm_00006887-RA	Av_00008849-RA
OG0000023	Dm_00006652-RA	Av_00019809-RA
OG0000024	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA	Av_00004852-RA
OG0000025	Dm_00003442-RA	Av_00008813-RA
OG0000027	Dm_00014996-RA	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA
OG0000027	Dm_00019371-RA	Av_00004078-RA, Av_00023371-RA
OG0000027	Dm_00002324-RA	Av_00004170-RA
OG0000027	Dm_00004939-RA	Av_00006838-RA, Av_00007948-RA, Av_00015408-RA
OG0000027	Dm_00004749-RA	Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA
OG0000027	Dm_00000738-RA	Av_00017102-RA
OG0000028	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA
OG0000028	Dm_00006321-RA	Av_00011314-RA
OG0000031	Dm_00013082-RA	Av_00004188-RA, Av_00015999-RA
OG0000031	Dm_00005346-RA	Av_00023881-RA, Av_00019981-RA
OG0000032	Dm_00020696-RA	Av_00005837-RA
OG0000034	Dm_00017791-RA	Av_00014124-RA, Av_00014125-RA
OG0000034	Dm_00008931-RA, Dm_00011829-RA	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA
OG0000035	Dm_00009444-RA, Dm_00017621-RA	Av_00016468-RA
OG0000035	Dm_00016018-RA, Dm_00019945-RA, Dm_00020020-RA, Dm_00020998-RA, Dm_00015389-RA, Dm_00021023-RA, Dm_00020180-RA, Dm_00014390-RA, Dm_00019977-RA, Dm_00019823-RA, Dm_00017612-RA, Dm_00005252-RA, Dm_00014731-RA, Dm_00013589-RA, Dm_00017153-RA, Dm_00008875-RA, Dm_00007418-RA, Dm_00014166-RA, Dm_00020672-RA, Dm_00014973-RA, Dm_00015361-RA, Dm_00012920-RA, Dm_00009315-RA, Dm_00016781-RA, Dm_00015731-RA, Dm_00020905-RA, Dm_00017152-RA, Dm_00006141-RA, Dm_00015459-RA, Dm_00015688-RA, Dm_00014773-RA, Dm_00016186-RA, Dm_00021112-RA, Dm_00010977-RA, Dm_00004690-RA, Dm_00012631-RA, Dm_00009445-RA, Dm_00013044-RA, Dm_00010513-RA, Dm_00005424-RA, Dm_00019794-RA, Dm_00010265-RA, Dm_00019286-RA, Dm_00020761-RA, Dm_00017489-RA, Dm_00007408-RA, Dm_00003341-RA, Dm_00009486-RA, Dm_00017107-RA, Dm_00016458-RA, Dm_00014057-RA, Dm_00019747-RA, Dm_00015891-RA, Dm_00008064-RA, Dm_00015416-RA, Dm_00015322-RA, Dm_00015314-RA, Dm_00014963-RA, Dm_00016106-RA, Dm_00015300-RA, Dm_00021106-RA, Dm_00014886-RA, Dm_00014418-RA, Dm_00013160-RA, Dm_00012407-RA, Dm_00014984-RA, Dm_00020455-RA, Dm_00020820-RA, Dm_00008305-RA, Dm_00014765-RA, Dm_00020690-RA, Dm_00007956-RA, Dm_00005371-RA, Dm_00017148-RA, Dm_00017461-RA, Dm_00004962-RA, Dm_00017115-RA, Dm_00018523-RA, Dm_00006658-RA, Dm_00020919-RA, Dm_00005423-RA, Dm_00005405-RA, Dm_00015301-RA, Dm_00010247-RA, Dm_00009335-RA, Dm_00020384-RA, Dm_00008434-RA, Dm_00013344-RA, Dm_00009566-RA, Dm_00017048-RA, Dm_00015388-RA, Dm_00002984-RA, Dm_00016019-RA, Dm_00020619-RA, Dm_00013748-RA, Dm_00019990-RA, Dm_00017400-RA, Dm_00014535-RA, Dm_00020789-RA, Dm_00007224-RA, Dm_00019267-RA, Dm_00016141-RA, Dm_00014296-RA, Dm_00017673-RA, Dm_00013912-RA, Dm_00019943-RA, Dm_00018998-RA, Dm_00005354-RA, Dm_00009348-RA, Dm_00019185-RA, Dm_00020580-RA, Dm_00013669-RA, Dm_00016242-RA, Dm_00011926-RA, Dm_00012168-RA, Dm_00015094-RA, Dm_00004430-RA, Dm_00013805-RA, Dm_00020561-RA, Dm_00013700-RA, Dm_00014391-RA, Dm_00019587-RA, Dm_00010312-RA, Dm_00019805-RA, Dm_00018066-RA, Dm_00014766-RA, Dm_00015918-RA	Av_00017670-RA
OG0000037	Dm_00015941-RA, Dm_00016029-RA	Av_00001047-RA
OG0000038	Dm_00001699-RA, Dm_00004693-RA	Av_00017653-RA
OG0000038	Dm_00001430-RA	Av_00017650-RA, Av_00017651-RA, Av_00017652-RA, Av_00010482-RA
OG0000038	Dm_00018034-RA	Av_00000257-RA
OG0000038	Dm_00001695-RA	Av_00001694-RA
OG0000040	Dm_00008090-RA, Dm_00014922-RA	Av_00004970-RA
OG0000041	Dm_00005610-RA	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA
OG0000041	Dm_00016090-RA	Av_00004285-RA, Av_00015969-RA, Av_00011385-RA
OG0000041	Dm_00004417-RA	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA
OG0000041	Dm_00003625-RA, Dm_00015625-RA	Av_00000583-RA, Av_00019204-RA
OG0000041	Dm_00009275-RA	Av_00023746-RA, Av_00022768-RA
OG0000041	Dm_00010326-RA	Av_00021262-RA, Av_00001083-RA
OG0000041	Dm_00010291-RA	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA
OG0000041	Dm_00006869-RA, Dm_00012805-RA	Av_00004338-RA, Av_00008161-RA
OG0000041	Dm_00020049-RA	Av_00012068-RA
OG0000041	Dm_00009990-RA	Av_00003291-RA
OG0000042	Dm_00000170-RA	Av_00009478-RA
OG0000042	Dm_00003840-RA, Dm_00003839-RA	Av_00008427-RA
OG0000044	Dm_00020841-RA	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	Dm_00001157-RA	Av_00016449-RA
OG0000044	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA	Av_00012555-RA, Av_00002870-RA
OG0000044	Dm_00009532-RA	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA
OG0000044	Dm_00014819-RA	Av_00022336-RA, Av_00020253-RA, Av_00004110-RA
OG0000044	Dm_00016520-RA	Av_00002322-RA, Av_00009708-RA
OG0000046	Dm_00007088-RA, Dm_00001752-RA	Av_00004429-RA, Av_00012280-RA
OG0000046	Dm_00020179-RA	Av_00024394-RA
OG0000046	Dm_00012741-RA	Av_00011655-RA, Av_00014209-RA, Av_00001876-RA
OG0000046	Dm_00006378-RA, Dm_00013509-RA	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	Dm_00003891-RA	Av_00002747-RA
OG0000046	Dm_00011430-RA	Av_00016996-RA
OG0000046	Dm_00014024-RA, Dm_00012683-RA	Av_00009129-RA, Av_00005749-RA
OG0000046	Dm_00007080-RA	Av_00024073-RA, Av_00006807-RA
OG0000047	Dm_00007969-RA, Dm_00020823-RA	Av_00021683-RA
OG0000047	Dm_00005670-RA	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA
OG0000047	Dm_00012951-RA	Av_00015257-RA, Av_00010932-RA
OG0000047	Dm_00004056-RA	Av_00024563-RA
OG0000047	Dm_00008069-RA	Av_00018720-RA
OG0000047	Dm_00018046-RA	Av_00021866-RA
OG0000047	Dm_00003985-RA, Dm_00009087-RA	Av_00011225-RA
OG0000047	Dm_00020873-RA	Av_00005783-RA
OG0000047	Dm_00013559-RA, Dm_00009598-RA	Av_00024227-RA
OG0000047	Dm_00010754-RA	Av_00011450-RA, Av_00000054-RA, Av_00015234-RA, Av_00010903-RA
OG0000047	Dm_00001976-RA	Av_00011809-RA
OG0000048	Dm_00001576-RA	Av_00005053-RA, Av_00010310-RA
OG0000050	Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA	Av_00009969-RA
OG0000050	Dm_00021049-RA, Dm_00006647-RA, Dm_00012380-RA, Dm_00020915-RA	Av_00012807-RA, Av_00021668-RA
OG0000050	Dm_00020295-RA	Av_00002378-RA
OG0000050	Dm_00010704-RA, Dm_00017829-RA	Av_00018370-RA
OG0000050	Dm_00020895-RA	Av_00024445-RA
OG0000051	Dm_00016762-RA, Dm_00014170-RA, Dm_00018202-RA, Dm_00007687-RA, Dm_00005613-RA, Dm_00019029-RA, Dm_00011734-RA, Dm_00016407-RA, Dm_00020926-RA, Dm_00012246-RA, Dm_00013138-RA, Dm_00017035-RA, Dm_00002397-RA, Dm_00017030-RA	Av_00010341-RA
OG0000051	Dm_00011405-RA, Dm_00011908-RA, Dm_00020698-RA, Dm_00002830-RA, Dm_00015382-RA, Dm_00013233-RA, Dm_00012849-RA, Dm_00016825-RA, Dm_00002737-RA, Dm_00000588-RA, Dm_00005553-RA, Dm_00003947-RA, Dm_00000850-RA, Dm_00012247-RA	Av_00010819-RA
OG0000051	Dm_00017795-RA	Av_00016835-RA
OG0000051	Dm_00013534-RA, Dm_00015895-RA	Av_00024987-RA, Av_00018964-RA
OG0000051	Dm_00002885-RA	Av_00020761-RA
OG0000051	Dm_00016136-RA, Dm_00020644-RA	Av_00006645-RA
OG0000051	Dm_00020341-RA, Dm_00021073-RA, Dm_00018132-RA, Dm_00017796-RA, Dm_00019995-RA	Av_00021719-RA, Av_00024214-RA
OG0000051	Dm_00013787-RA	Av_00016049-RA
OG0000051	Dm_00016571-RA, Dm_00014975-RA	Av_00015400-RA
OG0000055	Dm_00019791-RA	Av_00002758-RA
OG0000055	Dm_00013087-RA, Dm_00006640-RA	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000055	Dm_00000927-RA	Av_00017818-RA
OG0000055	Dm_00000848-RA	Av_00024743-RA, Av_00019729-RA
OG0000055	Dm_00006448-RA, Dm_00014246-RA	Av_00008958-RA
OG0000055	Dm_00011186-RA	Av_00016413-RA, Av_00013445-RA
OG0000058	Dm_00000773-RA	Av_00002928-RA
OG0000060	Dm_00014611-RA	Av_00019407-RA
OG0000060	Dm_00013756-RA, Dm_00010328-RA	Av_00013026-RA
OG0000060	Dm_00020104-RA	Av_00009650-RA
OG0000063	Dm_00017284-RA	Av_00002221-RA
OG0000063	Dm_00001327-RA	Av_00017394-RA, Av_00017390-RA, Av_00017389-RA
OG0000063	Dm_00016579-RA, Dm_00009436-RA, Dm_00020250-RA	Av_00005674-RA
OG0000065	Dm_00018921-RA	Av_00001967-RA
OG0000067	Dm_00004643-RA	Av_00014269-RA, Av_00010147-RA
OG0000067	Dm_00004223-RA	Av_00012703-RA, Av_00018513-RA
OG0000067	Dm_00011275-RA	Av_00002873-RA
OG0000070	Dm_00019678-RA	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA
OG0000070	Dm_00017292-RA	Av_00000389-RA
OG0000070	Dm_00013873-RA	Av_00021940-RA
OG0000070	Dm_00008155-RA	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000070	Dm_00004547-RA	Av_00006141-RA, Av_00020546-RA
OG0000071	Dm_00001685-RA	Av_00011182-RA, Av_00001686-RA
OG0000071	Dm_00016304-RA	Av_00021173-RA
OG0000071	Dm_00012616-RA	Av_00011924-RA
OG0000071	Dm_00019310-RA	Av_00013211-RA, Av_00018792-RA
OG0000071	Dm_00008368-RA	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA
OG0000071	Dm_00000932-RA	Av_00020038-RA, Av_00000767-RA, Av_00004846-RA
OG0000072	Dm_00015257-RA	Av_00013714-RA, Av_00000367-RA
OG0000072	Dm_00019149-RA	Av_00011117-RA
OG0000072	Dm_00003864-RA, Dm_00019612-RA	Av_00007010-RA
OG0000075	Dm_00016096-RA, Dm_00020819-RA, Dm_00020574-RA, Dm_00019027-RA	Av_00000923-RA
OG0000075	Dm_00009838-RA, Dm_00018522-RA, Dm_00015436-RA	Av_00023632-RA, Av_00023631-RA
OG0000075	Dm_00004793-RA, Dm_00020283-RA, Dm_00004994-RA, Dm_00004792-RA, Dm_00007807-RA, Dm_00020772-RA	Av_00022830-RA
OG0000075	Dm_00001719-RA	Av_00024003-RA
OG0000077	Dm_00004852-RA, Dm_00021132-RA	Av_00007275-RA
OG0000078	Dm_00020663-RA, Dm_00009495-RA	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA
OG0000078	Dm_00014938-RA	Av_00008324-RA, Av_00008326-RA, Av_00008325-RA, Av_00008323-RA
OG0000085	Dm_00002079-RA, Dm_00008755-RA	Av_00009790-RA, Av_00008760-RA
OG0000085	Dm_00018382-RA, Dm_00014711-RA	Av_00021920-RA, Av_00004097-RA
OG0000085	Dm_00000001-RA	Av_00005421-RA, Av_00002984-RA
OG0000085	Dm_00021097-RA	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000085	Dm_00020301-RA	Av_00018975-RA
OG0000087	Dm_00009408-RA	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	Dm_00012409-RA	Av_00020186-RA
OG0000087	Dm_00002856-RA	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
