Orthogroup	A_thaliana.proteins	L_sativa.proteins
OG0000023	AT1G33540.1, AT1G33540.2	Lsat_1_v5_gn_5_78901.1, Lsat_1_v5_gn_5_109940.1, Lsat_1_v5_gn_5_91281.3, Lsat_1_v5_gn_5_78901.3, Lsat_1_v5_gn_4_54361.2, Lsat_1_v5_gn_4_54361.1, Lsat_1_v5_gn_5_78940.1, Lsat_1_v5_gn_5_91281.1, Lsat_1_v5_gn_5_89861.2, Lsat_1_v5_gn_5_89861.1, Lsat_1_v5_gn_2_124260.3, Lsat_1_v5_gn_2_124260.1, Lsat_1_v5_gn_8_153541.1, Lsat_1_v5_gn_5_62301.2, Lsat_1_v5_gn_5_62301.1, Lsat_1_v5_gn_5_62301.3, Lsat_1_v5_gn_5_62840.1, Lsat_1_v5_gn_5_62840.3, Lsat_1_v5_gn_5_62840.2, Lsat_1_v5_gn_5_62601.1, Lsat_1_v5_gn_5_62601.3, Lsat_1_v5_gn_5_62800.2, Lsat_1_v5_gn_5_109840.3, Lsat_1_v5_gn_5_109840.1, Lsat_1_v5_gn_4_32061.1
OG0000024	AT1G17060.1	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1
OG0000024	AT3G14620.1, AT3G14680.1, AT3G14690.1, AT3G14690.2, AT3G14650.1, AT3G14660.1, AT3G14660.3, AT3G14640.2, AT3G14640.1, AT3G14630.1, AT3G14630.2, AT3G14610.1, AT3G14660.2	Lsat_1_v5_gn_2_71421.1, Lsat_1_v5_gn_2_71501.1, Lsat_1_v5_gn_2_71481.1
OG0000025	AT2G21210.1, AT2G21210.2	Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10
OG0000025	AT4G34770.1	Lsat_1_v5_gn_3_45161.1
OG0000025	AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1	Lsat_1_v5_gn_8_127440.1
OG0000025	AT4G34800.1	Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1, Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2
OG0000027	AT2G24520.4, AT5G57350.3	Lsat_1_v5_gn_5_85480.2
OG0000027	AT3G47950.1, AT3G47950.2, AT5G62670.1	Lsat_1_v5_gn_5_19060.1
OG0000027	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2
OG0000027	AT2G24520.3, AT2G24520.1, AT2G24520.2	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1
OG0000027	AT2G07560.1, AT3G42640.1	Lsat_1_v5_gn_5_90761.1
OG0000027	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1
OG0000028	AT1G47890.1, AT1G45616.1	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3
OG0000029	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1
OG0000030	AT4G35660.1	Lsat_1_v5_gn_3_70480.1
OG0000030	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1
OG0000030	AT4G35710.1, AT4G35690.1, AT2G17680.1	Lsat_1_v5_gn_2_74680.1, Lsat_1_v5_gn_2_74580.1, Lsat_1_v5_gn_4_143581.1
OG0000031	AT3G21950.2, AT3G21950.1, AT5G38020.2, AT5G38020.1, AT2G14060.2, AT2G14060.1, AT5G66430.1, AT5G04380.3, AT5G04380.1, AT5G04380.2, AT3G11480.1, AT5G04370.1, AT5G04370.2, AT5G04370.3	Lsat_1_v5_gn_5_53841.5, Lsat_1_v5_gn_7_55041.2, Lsat_1_v5_gn_7_55041.1, Lsat_1_v5_gn_7_10781.1, Lsat_1_v5_gn_7_10781.2, Lsat_1_v5_gn_7_10741.3, Lsat_1_v5_gn_7_10741.2, Lsat_1_v5_gn_7_10741.1, Lsat_1_v5_gn_7_10721.3, Lsat_1_v5_gn_7_10721.1, Lsat_1_v5_gn_3_139781.3, Lsat_1_v5_gn_3_139781.1
OG0000031	AT4G36470.1	Lsat_1_v5_gn_3_75880.1
OG0000031	AT1G19640.1	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3
OG0000032	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1	Lsat_1_v5_gn_9_107401.1
OG0000034	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1
OG0000037	AT4G31950.1, AT4G31970.1, AT4G31940.1	Lsat_1_v5_gn_1_19741.2, Lsat_1_v5_gn_1_19741.1, Lsat_1_v5_gn_1_19681.1, Lsat_1_v5_gn_1_19681.2, Lsat_1_v5_gn_2_15421.1
OG0000037	AT3G25180.1, AT3G25180.2	Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1
OG0000038	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1, Lsat_1_v5_gn_1_70980.1, Lsat_1_v5_gn_1_70980.3, Lsat_1_v5_gn_1_70980.2, Lsat_1_v5_gn_1_71160.3, Lsat_1_v5_gn_1_71160.1, Lsat_1_v5_gn_1_71080.1, Lsat_1_v5_gn_1_70900.3, Lsat_1_v5_gn_1_70900.1, Lsat_1_v5_gn_1_28480.4, Lsat_1_v5_gn_1_28480.1, Lsat_1_v5_gn_1_11940.1, Lsat_1_v5_gn_1_11940.3, Lsat_1_v5_gn_1_12561.2, Lsat_1_v5_gn_1_12561.1, Lsat_1_v5_gn_4_45060.1, Lsat_1_v5_gn_1_27281.1, Lsat_1_v5_gn_1_27341.2, Lsat_1_v5_gn_1_27321.1, Lsat_1_v5_gn_1_27341.1, Lsat_1_v5_gn_5_14040.1, Lsat_1_v5_gn_5_14040.2, Lsat_1_v5_gn_5_14000.1, Lsat_1_v5_gn_5_12760.1, Lsat_1_v5_gn_1_28501.3, Lsat_1_v5_gn_1_28501.1
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1
OG0000041	AT2G16720.1, AT4G34990.1, AT4G38620.1	Lsat_1_v5_gn_4_71501.1, Lsat_1_v5_gn_3_46481.1
OG0000041	AT3G23250.1	Lsat_1_v5_gn_9_8501.3
OG0000041	AT2G31180.1, AT1G06180.1	Lsat_1_v5_gn_3_120520.1
OG0000041	AT5G49330.1, AT3G62610.1, AT2G47460.1	Lsat_1_v5_gn_6_114481.1
OG0000041	AT3G13540.1	Lsat_1_v5_gn_6_53661.1
OG0000042	AT2G29170.1	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3
OG0000042	AT5G06060.1	Lsat_1_v5_gn_5_108221.1, Lsat_1_v5_gn_9_63660.4, Lsat_1_v5_gn_9_64401.1, Lsat_1_v5_gn_9_64301.1, Lsat_1_v5_gn_2_85880.1
OG0000042	AT2G29260.1	Lsat_1_v5_gn_9_24040.1
OG0000042	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1	Lsat_1_v5_gn_6_116221.1, Lsat_1_v5_gn_6_116940.1
OG0000044	AT3G50700.1, AT5G66730.1	Lsat_1_v5_gn_2_76741.1
OG0000044	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1	Lsat_1_v5_gn_5_35960.3, Lsat_1_v5_gn_5_35960.1
OG0000044	AT5G03150.1	Lsat_1_v5_gn_2_109221.1
OG0000044	AT1G55110.1, AT1G55110.3, AT1G55110.2	Lsat_1_v5_gn_6_14101.1
OG0000044	AT1G03840.2, AT1G03840.1	Lsat_1_v5_gn_4_66301.1, Lsat_1_v5_gn_4_66301.3
OG0000044	AT4G02670.1, AT4G02670.2	Lsat_1_v5_gn_5_185501.1
OG0000046	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1	Lsat_1_v5_gn_5_118741.1, Lsat_1_v5_gn_5_118741.3, Lsat_1_v5_gn_9_109560.2, Lsat_1_v5_gn_9_109560.3, Lsat_1_v5_gn_9_109560.1
OG0000046	AT3G24550.1, AT3G24540.1	Lsat_1_v5_gn_5_103581.1, Lsat_1_v5_gn_8_95340.1
OG0000046	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1	Lsat_1_v5_gn_3_60180.3, Lsat_1_v5_gn_3_60180.1
OG0000046	AT5G38560.1	Lsat_1_v5_gn_2_86540.1
OG0000046	AT1G52290.2, AT1G52290.1	Lsat_1_v5_gn_5_130540.1, Lsat_1_v5_gn_5_130540.2, Lsat_1_v5_gn_5_130540.3
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	Lsat_1_v5_gn_6_109820.1
OG0000047	AT2G34440.1, AT3G66656.1	Lsat_1_v5_gn_4_108241.3, Lsat_1_v5_gn_9_75300.1, Lsat_1_v5_gn_9_75300.3
OG0000048	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1	Lsat_1_v5_gn_5_152461.3, Lsat_1_v5_gn_5_152461.1
OG0000048	AT4G33355.2, AT4G33355.1	Lsat_1_v5_gn_1_73001.1
OG0000048	AT2G18370.1	Lsat_1_v5_gn_1_89881.2, Lsat_1_v5_gn_1_89881.3, Lsat_1_v5_gn_1_89881.1
OG0000055	AT5G13160.1	Lsat_1_v5_gn_4_2160.1, Lsat_1_v5_gn_3_31781.1
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	Lsat_1_v5_gn_3_25860.1, Lsat_1_v5_gn_3_25860.2
OG0000055	AT1G07860.1	Lsat_1_v5_gn_9_12120.3, Lsat_1_v5_gn_9_12120.1
OG0000055	AT3G07070.1	Lsat_1_v5_gn_5_180201.2, Lsat_1_v5_gn_5_180201.1, Lsat_1_v5_gn_5_180201.3
OG0000055	AT3G20530.2, AT3G20530.1	Lsat_1_v5_gn_9_94201.1, Lsat_1_v5_gn_9_94201.3
OG0000055	AT1G61860.1	Lsat_1_v5_gn_7_17361.1
OG0000055	AT1G07870.1, AT1G07870.2	Lsat_1_v5_gn_5_166160.1, Lsat_1_v5_gn_9_21141.1
OG0000056	AT5G45910.1	Lsat_1_v5_gn_7_23261.1, Lsat_1_v5_gn_7_23261.2
OG0000056	AT2G27360.1, AT1G28610.1, AT1G28600.2, AT1G28600.1, AT1G28610.2, AT1G28590.1, AT1G31550.1, AT1G31550.2, AT1G28570.2, AT1G28570.3, AT1G28570.1, AT1G28580.1, AT1G28580.2, AT1G28650.1, AT1G28660.1, AT1G28660.2, AT1G28670.1, AT1G28640.1	Lsat_1_v5_gn_8_159241.1, Lsat_1_v5_gn_8_158900.4, Lsat_1_v5_gn_8_159221.3, Lsat_1_v5_gn_8_159221.1, Lsat_1_v5_gn_8_159080.3, Lsat_1_v5_gn_4_27800.1, Lsat_1_v5_gn_4_23901.2, Lsat_1_v5_gn_8_158900.3, Lsat_1_v5_gn_4_23901.1, Lsat_1_v5_gn_4_23901.3, Lsat_1_v5_gn_4_27820.1, Lsat_1_v5_gn_4_23880.3, Lsat_1_v5_gn_4_23880.1, Lsat_1_v5_gn_8_158900.2, Lsat_1_v5_gn_8_158900.1, Lsat_1_v5_gn_8_158181.2, Lsat_1_v5_gn_8_158181.1, Lsat_1_v5_gn_8_159080.2, Lsat_1_v5_gn_8_159080.1, Lsat_1_v5_gn_8_159040.1, Lsat_1_v5_gn_8_159040.2, Lsat_1_v5_gn_8_159040.3, Lsat_1_v5_gn_4_54820.2, Lsat_1_v5_gn_4_54820.1, Lsat_1_v5_gn_7_23361.1, Lsat_1_v5_gn_4_49840.1, Lsat_1_v5_gn_4_49960.1, Lsat_1_v5_gn_4_49920.1, Lsat_1_v5_gn_4_49900.1
OG0000058	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2	Lsat_1_v5_gn_4_12580.1, Lsat_1_v5_gn_4_7680.1, Lsat_1_v5_gn_4_7680.2
OG0000058	AT5G59110.1	Lsat_1_v5_gn_6_66300.1, Lsat_1_v5_gn_6_66300.2
OG0000058	AT5G03620.2, AT5G03620.1	Lsat_1_v5_gn_6_66300.5, Lsat_1_v5_gn_6_66300.3, Lsat_1_v5_gn_6_66300.4
OG0000058	AT4G00230.1, AT4G00230.2	Lsat_1_v5_gn_3_135061.1
OG0000059	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3	Lsat_1_v5_gn_2_62240.4, Lsat_1_v5_gn_2_62240.3, Lsat_1_v5_gn_8_118040.1, Lsat_1_v5_gn_8_118040.2, Lsat_1_v5_gn_8_118101.1, Lsat_1_v5_gn_8_118101.2, Lsat_1_v5_gn_2_62280.1, Lsat_1_v5_gn_2_62280.2, Lsat_1_v5_gn_2_73280.1, Lsat_1_v5_gn_2_73280.2, Lsat_1_v5_gn_2_62181.1, Lsat_1_v5_gn_2_62181.3, Lsat_1_v5_gn_2_62541.1, Lsat_1_v5_gn_2_62920.4, Lsat_1_v5_gn_2_30021.1, Lsat_1_v5_gn_2_62920.2, Lsat_1_v5_gn_2_62501.3, Lsat_1_v5_gn_2_62501.1
OG0000059	AT1G16090.1	Lsat_1_v5_gn_0_45160.1
OG0000063	AT5G58390.1, AT5G58400.1	Lsat_1_v5_gn_5_175321.1, Lsat_1_v5_gn_5_175381.1
OG0000063	AT5G05340.1	Lsat_1_v5_gn_8_13440.1
OG0000065	AT2G29420.1, AT3G09270.1	Lsat_1_v5_gn_8_81940.1, Lsat_1_v5_gn_8_81940.3, Lsat_1_v5_gn_8_81960.1, Lsat_1_v5_gn_8_83441.2, Lsat_1_v5_gn_8_83441.1, Lsat_1_v5_gn_8_83421.1, Lsat_1_v5_gn_8_83421.2, Lsat_1_v5_gn_8_84381.1, Lsat_1_v5_gn_8_81760.2, Lsat_1_v5_gn_8_81700.2, Lsat_1_v5_gn_8_81760.1, Lsat_1_v5_gn_8_81700.1, Lsat_1_v5_gn_8_81880.1, Lsat_1_v5_gn_8_81880.2, Lsat_1_v5_gn_8_81900.1, Lsat_1_v5_gn_8_81900.3
OG0000068	AT5G35810.1	Lsat_1_v5_gn_4_105500.5, Lsat_1_v5_gn_4_105500.1, Lsat_1_v5_gn_2_74860.1, Lsat_1_v5_gn_8_106801.3, Lsat_1_v5_gn_1_45260.4, Lsat_1_v5_gn_2_74920.3
OG0000068	AT5G35830.1, AT3G54070.1	Lsat_1_v5_gn_1_61861.2, Lsat_1_v5_gn_1_61861.1, Lsat_1_v5_gn_5_61760.1, Lsat_1_v5_gn_5_61760.2, Lsat_1_v5_gn_1_49841.1, Lsat_1_v5_gn_1_49841.3, Lsat_1_v5_gn_1_49821.1, Lsat_1_v5_gn_1_45340.2, Lsat_1_v5_gn_1_45340.3, Lsat_1_v5_gn_1_45340.1, Lsat_1_v5_gn_1_45280.2, Lsat_1_v5_gn_1_45280.1, Lsat_1_v5_gn_1_45260.1, Lsat_1_v5_gn_1_45260.2, Lsat_1_v5_gn_1_45601.3, Lsat_1_v5_gn_1_45601.1, Lsat_1_v5_gn_1_45601.2, Lsat_1_v5_gn_0_29540.4, Lsat_1_v5_gn_0_29540.3, Lsat_1_v5_gn_0_29540.1, Lsat_1_v5_gn_5_79180.1, Lsat_1_v5_gn_5_79180.3, Lsat_1_v5_gn_5_79180.2, Lsat_1_v5_gn_6_29241.3, Lsat_1_v5_gn_6_29241.2, Lsat_1_v5_gn_6_29241.1, Lsat_1_v5_gn_8_119100.3, Lsat_1_v5_gn_8_119100.2, Lsat_1_v5_gn_6_114201.1, Lsat_1_v5_gn_6_114201.3, Lsat_1_v5_gn_6_114740.1, Lsat_1_v5_gn_5_104640.2, Lsat_1_v5_gn_5_104640.4, Lsat_1_v5_gn_6_115280.3, Lsat_1_v5_gn_6_115280.2, Lsat_1_v5_gn_2_74820.1, Lsat_1_v5_gn_2_74820.3, Lsat_1_v5_gn_2_74820.2, Lsat_1_v5_gn_2_71081.3, Lsat_1_v5_gn_2_71081.1, Lsat_1_v5_gn_2_71101.2, Lsat_1_v5_gn_2_71101.1, Lsat_1_v5_gn_2_71101.3, Lsat_1_v5_gn_2_74740.2, Lsat_1_v5_gn_2_74740.1, Lsat_1_v5_gn_2_74740.3, Lsat_1_v5_gn_2_74920.1, Lsat_1_v5_gn_2_74920.5, Lsat_1_v5_gn_2_74920.2, Lsat_1_v5_gn_8_106801.1, Lsat_1_v5_gn_8_106801.4, Lsat_1_v5_gn_4_105500.7, Lsat_1_v5_gn_4_105500.6, Lsat_1_v5_gn_0_29540.2, Lsat_1_v5_gn_5_104640.3, Lsat_1_v5_gn_5_104640.1, Lsat_1_v5_gn_6_29421.1, Lsat_1_v5_gn_8_27180.1, Lsat_1_v5_gn_8_27180.2, Lsat_1_v5_gn_6_115280.1, Lsat_1_v5_gn_8_106541.1, Lsat_1_v5_gn_8_106600.2, Lsat_1_v5_gn_8_106600.1, Lsat_1_v5_gn_8_106241.1, Lsat_1_v5_gn_8_106600.3, Lsat_1_v5_gn_8_106541.2, Lsat_1_v5_gn_8_106541.3, Lsat_1_v5_gn_8_106261.2, Lsat_1_v5_gn_8_106261.1, Lsat_1_v5_gn_1_45260.3, Lsat_1_v5_gn_6_102921.3, Lsat_1_v5_gn_6_102921.1, Lsat_1_v5_gn_8_119100.1
OG0000070	AT5G09810.1	Lsat_1_v5_gn_5_42480.1, Lsat_1_v5_gn_5_42480.3, Lsat_1_v5_gn_8_116260.1
OG0000070	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1	Lsat_1_v5_gn_8_82840.1
OG0000071	AT4G24780.2, AT4G24780.1	Lsat_1_v5_gn_5_12880.1
OG0000071	AT3G27400.2, AT3G27400.1	Lsat_1_v5_gn_2_94200.1, Lsat_1_v5_gn_2_93361.1
OG0000071	AT3G53190.1	Lsat_1_v5_gn_6_28301.3
