Orthogroup	A_thaliana.proteins	V_vinifera.proteins
OG0000037	AT3G25180.1, AT3G25180.2	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1
OG0000038	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1	VIT_217s0000g09570.1, VIT_217s0000g09510.1
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1
OG0000041	AT2G16720.1, AT4G34990.1, AT4G38620.1	VIT_204s0023g03710.1, VIT_203s0038g02310.1
OG0000041	AT3G23250.1	VIT_205s0049g01020.1, VIT_207s0005g03340.1
OG0000041	AT5G49330.1, AT3G62610.1, AT2G47460.1	VIT_207s0005g01210.2, VIT_207s0005g01210.1
OG0000041	AT3G13540.1	VIT_208s0007g07230.1
OG0000042	AT1G07440.2, AT2G29170.1	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4
OG0000042	AT5G06060.1	VIT_206s0004g05320.1, VIT_206s0004g05320.2, VIT_206s0004g05450.1, VIT_206s0004g05280.5
OG0000042	AT2G29260.1	VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2
OG0000042	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000043	AT5G10610.1, AT5G10600.1	VIT_218s0001g09650.1
OG0000044	AT3G50700.1, AT5G66730.1	VIT_204s0023g01430.1
OG0000044	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1	VIT_201s0010g02100.2, VIT_201s0010g02100.1
OG0000044	AT5G03150.1	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1
OG0000044	AT1G55110.1, AT1G55110.3, AT1G55110.2	VIT_209s0002g02300.1, VIT_204s0008g01160.1
OG0000044	AT1G03840.2, AT1G03840.1	VIT_212s0028g03030.2, VIT_212s0028g03030.1
OG0000044	AT4G02670.1, AT4G02670.2	VIT_200s0179g00170.1
OG0000046	AT2G18470.4, AT2G18470.2, AT2G18470.1, AT2G18470.3	VIT_204s0023g01570.1
OG0000046	AT3G24550.1, AT3G24540.1	VIT_211s0016g03880.1
OG0000046	AT1G70450.1	VIT_201s0127g00670.1
OG0000046	AT5G38560.1	VIT_214s0083g00330.3, VIT_214s0083g00330.1
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	VIT_207s0031g01140.1
OG0000047	AT2G34440.1, AT3G66656.1	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1
OG0000047	AT5G62165.14	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1
OG0000048	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1	VIT_208s0058g01210.1
OG0000048	AT2G18370.1	VIT_213s0320g00050.1
OG0000055	AT5G13160.1	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	VIT_205s0020g01770.1
OG0000055	AT3G07070.1	VIT_207s0005g06450.1
OG0000055	AT3G24790.2, AT3G24790.1, AT4G13190.4, AT4G13190.1, AT4G13190.3, AT4G13190.2, AT4G13190.5	VIT_204s0043g01030.1
OG0000055	AT3G20530.2, AT3G20530.1	VIT_219s0014g00940.1, VIT_219s0090g00030.1
OG0000055	AT1G61860.1	VIT_210s0116g00850.1
OG0000055	AT1G07870.1, AT1G07870.2	VIT_206s0004g03670.1
OG0000056	AT5G45910.1	VIT_210s0003g01010.1
OG0000058	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1
OG0000058	AT5G59110.1	VIT_206s0080g00085.1
OG0000058	AT5G03620.2, AT5G03620.1	VIT_208s0007g03650.1
OG0000058	AT4G00230.1, AT4G00230.2	VIT_215s0048g01210.3, VIT_215s0048g01210.4, VIT_215s0048g01210.2, VIT_215s0048g01210.1, VIT_215s0048g01200.1
OG0000059	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1
OG0000059	AT1G16090.1	VIT_218s0041g00030.1
OG0000060	ATMG00810.1, ATMG00240.1	VIT_203s0110g00150.1
OG0000063	AT5G58390.1, AT5G58400.1	VIT_206s0004g07770.1
OG0000063	AT5G05340.1	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3
OG0000065	AT2G29420.1	VIT_214s0060g02170.1, VIT_206s0004g05670.1, VIT_206s0004g05680.1, VIT_206s0004g05700.1
OG0000065	AT3G09270.1	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1
OG0000067	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2
OG0000068	AT5G35810.1	VIT_210s0003g04510.1
OG0000068	AT5G35830.1, AT3G54070.1	VIT_201s0010g01370.1, VIT_201s0010g01380.2, VIT_201s0010g01380.4, VIT_201s0010g01380.5, VIT_201s0010g01380.1, VIT_201s0010g01380.3
OG0000070	AT5G09810.1	VIT_204s0044g00580.1
OG0000070	AT3G12110.1	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3
OG0000070	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1	VIT_204s0044g00580.2, VIT_213s0019g01240.4
OG0000071	AT4G24780.2, AT4G24780.1	VIT_217s0000g09810.1
OG0000071	AT3G27400.2, AT3G27400.1	VIT_214s0219g00230.2, VIT_214s0219g00230.1
OG0000071	AT3G53190.1	VIT_208s0007g04820.1
OG0000071	AT5G04310.1, AT5G04310.2, AT5G04310.3	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4
OG0000071	AT4G13710.2, AT4G13710.1	VIT_205s0051g00590.1
OG0000071	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1	VIT_207s0005g05520.4, VIT_207s0005g05520.1
OG0000071	AT1G67750.1	VIT_201s0137g00240.2, VIT_201s0137g00240.1
OG0000072	AT4G40040.3, AT4G40030.1	VIT_218s0001g13680.2
OG0000072	AT4G40030.4	VIT_200s2837g00010.1
OG0000072	AT5G10980.1	VIT_204s0023g03120.1
OG0000072	AT4G40040.1	VIT_218s0001g13680.1
OG0000072	AT1G09200.1, AT5G10390.1	VIT_218s0072g00800.1
OG0000072	AT3G27360.1	VIT_213s0064g01340.1
OG0000076	AT5G42965.1	VIT_215s0021g00810.1
OG0000077	AT2G21100.1, AT2G21100.2	VIT_203s0038g02050.1
OG0000077	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1	VIT_208s0007g06960.1, VIT_208s0007g06950.1, VIT_208s0007g06930.1, VIT_208s0007g06990.1, VIT_208s0007g07000.1, VIT_208s0007g06910.1, VIT_208s0007g06900.1
OG0000078	AT1G04645.1	VIT_207s0005g05300.1
OG0000078	AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1	VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1
OG0000079	AT4G16740.3, AT4G16740.4, AT4G16740.2, AT4G16740.1, AT4G16730.1, AT4G16730.2, AT2G24210.1, AT3G25820.4, AT3G25820.3, AT3G25820.2, AT3G25830.1, AT3G25820.1, AT3G25810.1	VIT_200s0724g00010.1, VIT_200s2271g00010.1, VIT_213s0067g00090.1, VIT_213s0084g00010.1, VIT_213s0067g00130.1, VIT_213s0067g00370.1, VIT_213s0067g03770.1, VIT_213s0067g03700.1, VIT_213s0067g03830.1, VIT_213s0067g03790.1, VIT_213s0123g00040.1, VIT_213s0019g00060.1, VIT_213s0067g03740.1, VIT_213s0123g00024.1
OG0000085	AT5G35580.2, AT5G35580.1, AT2G05940.1	VIT_211s0016g01060.1
OG0000085	AT2G26290.1	VIT_204s0008g02070.1
OG0000085	AT1G72540.1	VIT_209s0002g01110.1
OG0000085	AT5G01020.1	VIT_208s0056g00150.1
OG0000085	AT2G07180.1, AT2G07180.2	VIT_211s0065g00470.2, VIT_211s0065g00470.1
OG0000085	AT5G56460.1	VIT_206s0004g00220.2, VIT_206s0004g00220.1
OG0000085	AT1G61590.1	VIT_202s0087g00270.1
OG0000087	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1	VIT_208s0007g05390.1
OG0000087	AT2G40670.2, AT2G40670.1, AT3G56380.2, AT3G56380.1	VIT_213s0067g03070.1
OG0000087	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1	VIT_201s0026g00940.1
OG0000087	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1	VIT_217s0000g07580.1
OG0000088	AT1G53440.1, AT1G53430.1, AT1G53430.2	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1
OG0000088	AT1G53420.1, AT3G14840.2	VIT_219s0014g00470.1, VIT_219s0014g00520.1, VIT_219s0014g00500.1
OG0000088	AT1G29720.1	VIT_210s0003g01990.2, VIT_210s0003g01990.1, VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2
OG0000088	AT1G07650.2, AT1G07650.1, AT1G07650.3, AT1G07650.4	VIT_212s0028g01350.4, VIT_212s0028g01350.3, VIT_212s0028g01350.1
OG0000089	AT1G15520.2, AT1G15520.1	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1
OG0000089	AT3G30842.1	VIT_211s0016g04590.1
OG0000090	AT5G63970.1, AT5G63970.2	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7
OG0000090	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3
OG0000090	AT1G67800.2, AT1G67800.5, AT1G67800.4, AT1G67800.6, AT1G67800.3, AT1G67800.1	VIT_201s0137g00460.3, VIT_201s0137g00460.4, VIT_201s0137g00460.7, VIT_201s0137g00460.9, VIT_201s0137g00460.8, VIT_201s0137g00460.2, VIT_201s0137g00460.1, VIT_201s0137g00460.10, VIT_217s0000g09640.1
OG0000091	AT4G14130.1, AT3G23730.1	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1
OG0000091	AT4G30270.1, AT4G25810.1, AT5G57560.1, AT5G57550.1	VIT_211s0052g01230.1
OG0000093	AT2G44450.2, AT2G44450.1, AT2G25630.1, AT5G44640.1, AT5G42260.1	VIT_213s0064g01760.1
OG0000095	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3
OG0000095	AT2G32250.4, AT2G32250.2, AT2G32250.5, AT2G32250.1, AT2G32250.6, AT2G32250.3, AT2G32250.7, AT2G32250.8	VIT_203s0017g01830.1, VIT_203s0017g01830.2
OG0000095	AT4G19990.6, AT4G19990.2, AT4G19990.3, AT4G19990.4, AT4G19990.7, AT4G19990.1, AT4G19990.5	VIT_201s0011g01470.5, VIT_201s0011g01470.4, VIT_201s0011g01470.3, VIT_201s0011g01470.1, VIT_201s0011g01470.2
OG0000095	AT3G22170.1, AT3G22170.2	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4
OG0000095	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6
OG0000096	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1
OG0000096	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1
OG0000098	AT1G20010.1, AT1G75780.1	VIT_218s0001g14360.1
OG0000098	AT4G20890.1, AT5G44340.1	VIT_210s0003g05320.1
OG0000098	AT5G12250.1	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1
OG0000098	AT5G62690.1, AT5G62700.1	VIT_208s0007g01630.2, VIT_208s0007g01630.1, VIT_206s0004g05870.1
OG0000098	AT5G23860.2, AT5G23860.1	VIT_202s0025g03680.1
