Orthogroup	A_thaliana.proteins	D_muscipula.proteins
OG0000034	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2	Dm_00017791-RA
OG0000034	AT4G23220.1	Dm_00013221-RA
OG0000034	AT4G38830.1	Dm_00008931-RA, Dm_00011829-RA
OG0000038	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	Dm_00008090-RA, Dm_00014922-RA
OG0000041	AT2G16720.1, AT4G34990.1, AT4G38620.1	Dm_00005610-RA, Dm_00016090-RA
OG0000041	AT5G49330.1, AT3G62610.1, AT2G47460.1	Dm_00009275-RA, Dm_00004200-RA
OG0000041	AT3G13540.1	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA
OG0000041	AT1G35515.1, AT4G09460.1	Dm_00009990-RA
OG0000042	AT5G06060.1	Dm_00012006-RA
OG0000042	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	AT3G50700.1, AT5G66730.1	Dm_00020841-RA
OG0000044	AT5G03150.1	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	AT1G55110.1, AT1G55110.3, AT1G55110.2	Dm_00009532-RA, Dm_00014819-RA
OG0000044	AT4G02670.1, AT4G02670.2	Dm_00016520-RA
OG0000045	AT1G67020.1	Dm_00019438-RA, Dm_00019641-RA
OG0000046	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1	Dm_00007088-RA, Dm_00001752-RA
OG0000046	AT3G24550.1, AT3G24540.1	Dm_00006378-RA, Dm_00013509-RA
OG0000046	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1	Dm_00003891-RA, Dm_00011430-RA
OG0000046	AT5G38560.1	Dm_00014024-RA, Dm_00012683-RA
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	Dm_00007969-RA, Dm_00020823-RA
OG0000047	AT2G34440.1, AT3G66656.1	Dm_00005670-RA, Dm_00012951-RA, Dm_00004056-RA
OG0000047	AT5G62165.14	Dm_00010754-RA
OG0000048	AT2G18370.1	Dm_00000024-RA
OG0000050	AT1G21280.1	Dm_00020295-RA
OG0000055	AT5G13160.1	Dm_00019791-RA
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	Dm_00013087-RA, Dm_00006640-RA
OG0000055	AT3G07070.1	Dm_00000927-RA
OG0000055	AT3G20530.2, AT3G20530.1	Dm_00000848-RA
OG0000055	AT1G61860.1	Dm_00006448-RA, Dm_00014246-RA
OG0000055	AT5G02800.1, AT1G07870.1, AT1G07870.2	Dm_00011186-RA
OG0000058	AT5G03620.2, AT5G03620.1	Dm_00001789-RA, Dm_00000773-RA
OG0000059	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3	Dm_00007673-RA
OG0000065	AT3G09270.1	Dm_00018921-RA
OG0000067	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1	Dm_00004643-RA, Dm_00004223-RA
OG0000070	AT5G09810.1	Dm_00019678-RA
OG0000070	AT3G12110.1	Dm_00008155-RA
OG0000070	AT5G59370.1, AT5G59370.2, AT3G46520.2, AT3G46520.1	Dm_00013287-RA
OG0000070	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1	Dm_00004547-RA
OG0000071	AT5G63180.1, AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1	Dm_00001685-RA
OG0000071	AT3G53190.1	Dm_00016304-RA
OG0000071	AT5G04310.1, AT5G04310.2, AT5G04310.3	Dm_00012616-RA
OG0000071	AT4G13710.2, AT4G13710.1	Dm_00019310-RA
OG0000071	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1	Dm_00008368-RA, Dm_00000932-RA
OG0000072	AT4G40030.4	Dm_00015257-RA
OG0000072	AT5G10980.1	Dm_00012063-RA
OG0000072	AT5G10400.1, AT1G09200.1, AT5G10390.1, AT3G27360.1, AT5G65360.1	Dm_00019149-RA
OG0000075	AT1G40390.1, AT1G43760.1	Dm_00016096-RA, Dm_00020819-RA, Dm_00020574-RA, Dm_00019027-RA, Dm_00009838-RA, Dm_00018522-RA, Dm_00015436-RA
OG0000077	AT2G21100.1, AT2G21100.2	Dm_00004852-RA, Dm_00021132-RA
OG0000077	AT1G58170.1, AT3G58090.1, AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1	Dm_00009375-RA
OG0000078	AT1G04645.1, AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA
OG0000078	AT5G06020.1, AT5G06030.1, AT5G06040.1	Dm_00001318-RA
OG0000085	AT5G35580.2, AT5G35580.1, AT2G05940.1	Dm_00002079-RA, Dm_00008755-RA
OG0000085	AT1G72540.1	Dm_00018382-RA, Dm_00014711-RA
OG0000085	AT5G01020.1	Dm_00000001-RA
OG0000085	AT2G07180.1, AT2G07180.2	Dm_00021097-RA
OG0000085	AT5G56460.1	Dm_00020301-RA
OG0000085	AT1G61590.1	Dm_00011328-RA
OG0000087	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1	Dm_00009408-RA
OG0000087	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1	Dm_00020143-RA, Dm_00002856-RA
OG0000088	AT1G53440.1, AT1G53430.1, AT1G53430.2	Dm_00006025-RA
OG0000088	AT1G29720.1	Dm_00016161-RA
OG0000089	AT1G15520.2, AT1G15520.1	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	AT3G30842.1	Dm_00000623-RA, Dm_00005052-RA, Dm_00008000-RA, Dm_00005053-RA, Dm_00014697-RA, Dm_00001050-RA
OG0000090	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2	Dm_00004995-RA
OG0000091	AT4G14130.1, AT3G23730.1	Dm_00002549-RA, Dm_00011577-RA
OG0000093	AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2	Dm_00008253-RA
OG0000095	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2	Dm_00013674-RA
OG0000095	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2	Dm_00001105-RA
OG0000096	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1	Dm_00002220-RA
OG0000096	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1	Dm_00002364-RA, Dm_00001356-RA, Dm_00001357-RA
OG0000098	AT1G20010.1, AT1G75780.1	Dm_00003034-RA
OG0000098	AT4G20890.1, AT5G44340.1	Dm_00021020-RA
OG0000098	AT5G12250.1	Dm_00004482-RA, Dm_00015844-RA
OG0000098	AT5G23860.2, AT5G23860.1	Dm_00013312-RA, Dm_00006029-RA
OG0000101	AT3G30235.1	Dm_00005058-RA
OG0000101	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1	Dm_00007144-RA, Dm_00005941-RA, Dm_00007145-RA, Dm_00012329-RA, Dm_00017960-RA, Dm_00019229-RA, Dm_00011937-RA, Dm_00005564-RA, Dm_00020741-RA, Dm_00012123-RA
OG0000102	AT2G22160.1	Dm_00001450-RA
OG0000102	AT3G49340.1, AT2G27420.1	Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA
OG0000102	AT5G45890.1	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
OG0000103	AT1G16670.1	Dm_00020702-RA
OG0000105	AT3G27580.2, AT3G27580.1	Dm_00012589-RA
OG0000105	AT5G47750.1	Dm_00013721-RA
OG0000105	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1	Dm_00000769-RA, Dm_00001787-RA
OG0000106	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA
OG0000107	AT1G15080.1	Dm_00002832-RA, Dm_00001602-RA
OG0000107	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2	Dm_00001603-RA
OG0000108	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA
OG0000108	AT5G46540.1, AT4G18050.1, AT4G18050.2	Dm_00014168-RA
OG0000109	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1	Dm_00003433-RA
OG0000109	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3	Dm_00007914-RA
OG0000110	AT5G48100.1	Dm_00010771-RA
OG0000110	AT5G09360.1	Dm_00016846-RA, Dm_00017526-RA, Dm_00018936-RA, Dm_00009959-RA, Dm_00005480-RA, Dm_00014565-RA
OG0000111	AT5G32613.1, AT5G28823.1, AT2G07760.1	Dm_00013661-RA
OG0000113	AT2G45180.1	Dm_00006694-RA, Dm_00006695-RA
OG0000114	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1	Dm_00013880-RA
OG0000116	AT1G07660.1	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA
OG0000118	AT3G08690.1, AT3G08690.2, AT5G56150.1	Dm_00001565-RA
OG0000118	AT5G53300.4, AT5G53300.2, AT5G53300.1, AT4G27960.1, AT2G16740.1, AT1G64230.2, AT1G64230.1, AT5G41700.2, AT5G41700.4, AT5G41700.5, AT5G41700.1	Dm_00006495-RA
OG0000120	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1	Dm_00019247-RA
OG0000120	AT5G06850.1	Dm_00008637-RA
OG0000120	AT4G11610.2, AT4G11610.1, AT4G11610.3	Dm_00017973-RA
OG0000121	AT5G04885.3, AT5G04885.1, AT5G04885.2	Dm_00018618-RA
OG0000123	AT5G13930.1	Dm_00020844-RA
OG0000125	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2	Dm_00004819-RA
OG0000125	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1	Dm_00000561-RA
OG0000125	AT5G18840.1	Dm_00019657-RA
OG0000127	AT2G39060.1	Dm_00001228-RA
OG0000127	AT5G50790.1	Dm_00000969-RA, Dm_00000275-RA, Dm_00000966-RA, Dm_00015587-RA
OG0000129	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1	Dm_00019326-RA
OG0000134	AT2G26560.1	Dm_00002439-RA, Dm_00009619-RA, Dm_00002440-RA
OG0000135	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2	Dm_00015604-RA
OG0000135	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1	Dm_00006540-RA, Dm_00009257-RA
OG0000135	AT2G07020.1, AT5G35380.1	Dm_00010456-RA, Dm_00019007-RA
OG0000136	AT1G20090.1, AT1G75840.1	Dm_00018695-RA, Dm_00009414-RA
OG0000136	AT3G51300.1, AT4G35950.1, AT2G17800.1, AT2G17800.2	Dm_00005806-RA
OG0000138	AT1G13245.1, AT3G25717.1, AT1G68825.2, AT1G68825.1	Dm_00008855-RA
OG0000138	AT2G39705.1	Dm_00019040-RA
OG0000139	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1	Dm_00010302-RA, Dm_00016348-RA, Dm_00002446-RA, Dm_00018590-RA
OG0000142	AT1G61180.2, AT1G61310.1, AT1G61300.1, AT1G61300.2, AT1G61190.4, AT1G61190.1, AT1G61190.3, AT1G61190.2, AT1G61180.1, AT5G63020.1, AT1G12290.1, AT1G12290.2, AT1G12290.4, AT1G12290.3, AT1G12210.2, AT1G12210.3, AT1G12210.1, AT1G12280.1, AT1G12280.2, AT1G12220.3, AT1G12220.1, AT1G12220.2, AT4G10780.1, AT4G10780.2, AT1G63350.3, AT1G63360.1, AT1G63360.2, AT1G62630.1, AT1G63350.4, AT1G63350.2, AT1G63350.1	Dm_00012078-RA, Dm_00012077-RA
OG0000143	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1	Dm_00003928-RA
OG0000144	AT1G60940.1, AT1G60940.2, AT1G10940.2, AT1G10940.1	Dm_00009698-RA, Dm_00010190-RA
OG0000144	AT5G63650.1, AT5G08590.1, AT5G08590.2	Dm_00011268-RA
OG0000144	AT4G40010.1	Dm_00009755-RA
OG0000145	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2	Dm_00017523-RA
OG0000147	AT3G27470.3, AT3G27470.2, AT3G27470.5, AT3G27470.4, AT3G27470.1	Dm_00012154-RA
OG0000147	AT3G26440.4	Dm_00005818-RA
OG0000147	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3	Dm_00004214-RA
OG0000148	AT1G07530.1, AT2G29060.1, AT2G29060.2	Dm_00003748-RA
OG0000148	AT2G37650.1, AT2G37650.2	Dm_00014512-RA
OG0000149	AT4G31810.1	Dm_00013011-RA
OG0000149	AT3G60510.3, AT3G60510.1, AT3G60510.2	Dm_00012150-RA
OG0000152	AT3G09480.1	Dm_00019913-RA, Dm_00003386-RA, Dm_00006856-RA
OG0000153	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1	Dm_00003098-RA
OG0000153	AT2G13570.1	Dm_00004902-RA, Dm_00004472-RA
OG0000155	AT3G62930.1, AT1G03020.1	Dm_00014490-RA, Dm_00017503-RA
OG0000156	AT4G37780.1	Dm_00008341-RA
OG0000156	AT5G65790.1, AT3G49690.1	Dm_00008466-RA
OG0000156	AT5G57620.1	Dm_00000763-RA
OG0000156	AT2G36890.1, AT2G36890.2	Dm_00015627-RA
OG0000157	AT3G42170.1, AT3G42170.2	Dm_00004388-RA
OG0000159	AT5G54160.1	Dm_00000193-RA
OG0000160	AT1G42540.4, AT1G42540.1, AT1G42540.2	Dm_00000160-RA
OG0000160	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3	Dm_00002270-RA, Dm_00012322-RA
OG0000163	AT3G58160.3, AT3G58160.4, AT3G58160.1, AT3G58160.5, AT3G58160.2	Dm_00002817-RA, Dm_00007859-RA
OG0000163	AT1G17580.1	Dm_00011806-RA
OG0000163	AT1G54560.1, AT1G54560.2, AT1G08730.1, AT1G08730.2	Dm_00003550-RA
OG0000164	AT1G48410.2, AT1G48410.3, AT1G48410.1	Dm_00019025-RA, Dm_00020584-RA, Dm_00020207-RA
OG0000164	AT2G27880.1	Dm_00014735-RA, Dm_00018986-RA
OG0000164	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3	Dm_00000108-RA
OG0000168	AT3G43790.1, AT3G43790.3, AT3G43790.2, AT3G43790.5, AT3G43790.4	Dm_00006284-RA
OG0000168	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2	Dm_00004247-RA, Dm_00004248-RA
OG0000169	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1	Dm_00001981-RA
OG0000169	AT1G56240.1, AT1G56250.1, AT1G09155.1	Dm_00003996-RA
OG0000170	AT2G29400.1, AT5G59160.3, AT5G59160.1, AT5G59160.2, AT3G46820.1	Dm_00013647-RA
OG0000170	AT4G11240.1, AT1G64040.1	Dm_00015271-RA
OG0000171	AT5G25810.1, AT5G11590.1	Dm_00017813-RA, Dm_00000656-RA, Dm_00009503-RA
OG0000171	AT2G35700.1, AT4G16750.1	Dm_00000880-RA
OG0000171	AT3G60490.1	Dm_00010899-RA
OG0000172	AT3G08680.2, AT3G08680.1	Dm_00001563-RA, Dm_00000012-RA
OG0000173	AT3G29785.1	Dm_00013472-RA, Dm_00002263-RA, Dm_00011528-RA
OG0000179	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1	Dm_00013947-RA, Dm_00016891-RA
OG0000179	AT3G51370.3, AT3G51370.1, AT5G66080.1	Dm_00017688-RA, Dm_00018639-RA
OG0000180	AT3G43190.1, AT3G43190.2, AT5G20830.2, AT5G20830.3, AT5G20830.1	Dm_00014427-RA
OG0000180	AT4G02280.1, AT5G49190.1, AT5G49190.2, AT5G49190.3	Dm_00015134-RA
OG0000181	AT3G05270.2, AT3G05270.1, AT3G05270.3	Dm_00001869-RA
OG0000182	AT2G37180.1, AT2G37170.1, AT2G37170.2, AT3G53420.2, AT3G53420.1, AT5G60660.1, AT3G54820.1, AT2G39010.1	Dm_00013542-RA, Dm_00004694-RA
OG0000182	AT2G39010.2	Dm_00003411-RA
OG0000184	AT2G32830.1	Dm_00010841-RA
OG0000184	AT5G43350.1, AT5G43370.2, AT5G43370.1, AT5G43360.1	Dm_00009564-RA
OG0000185	AT4G14880.2, AT4G14880.3, AT4G14880.1, AT4G14880.4, AT4G14880.5, AT3G22460.1	Dm_00008201-RA
OG0000185	AT2G43750.2, AT2G43750.1, AT3G59760.3	Dm_00019609-RA
OG0000187	AT5G63500.1, AT3G48660.1	Dm_00000289-RA
OG0000188	AT1G01490.1, AT1G01490.2, AT1G01490.3, AT1G01490.4	Dm_00004072-RA, Dm_00020166-RA
OG0000189	AT5G40210.1, AT5G40240.2, AT5G40240.3, AT5G40240.1, AT5G40230.1, AT4G15540.1, AT4G15540.2, AT3G28050.1	Dm_00009083-RA
OG0000191	AT5G06860.1, AT5G06870.1	Dm_00013133-RA, Dm_00020682-RA, Dm_00017204-RA, Dm_00008634-RA, Dm_00012017-RA, Dm_00008636-RA, Dm_00017241-RA, Dm_00010364-RA
OG0000192	AT1G65570.1	Dm_00007600-RA
OG0000192	AT2G43860.1, AT2G43870.1, AT3G59850.2, AT3G59850.1	Dm_00018084-RA
OG0000198	AT3G12580.1	Dm_00010685-RA
OG0000199	AT3G22800.1	Dm_00014546-RA
OG0000199	AT4G33970.1, AT2G15880.1	Dm_00002428-RA
OG0000199	AT1G62440.1, AT1G12040.1	Dm_00009341-RA
OG0000199	AT3G24480.1, AT4G13340.1	Dm_00000116-RA, Dm_00001028-RA
OG0000200	AT3G50930.1, AT3G50940.1	Dm_00018449-RA
OG0000200	AT5G17730.1, AT5G17740.1, AT5G17760.1	Dm_00011732-RA
OG0000201	AT1G65560.2, AT1G65560.1	Dm_00010307-RA
OG0000201	AT5G16980.3, AT5G16980.1, AT5G16980.2	Dm_00001383-RA
OG0000203	AT2G45950.1, AT2G45950.3, AT2G45950.4, AT2G45950.2, AT2G45950.5, AT3G61415.1, AT3G61415.2	Dm_00016637-RA
OG0000206	AT1G73730.2, AT1G73730.1	Dm_00010176-RA, Dm_00018567-RA
OG0000206	AT3G20770.1, AT2G27050.1	Dm_00006201-RA, Dm_00020951-RA
OG0000206	AT5G10120.1, AT5G65100.1	Dm_00018450-RA
OG0000207	AT2G42430.1	Dm_00008540-RA, Dm_00012316-RA
OG0000207	AT5G06080.1	Dm_00012138-RA, Dm_00009219-RA
OG0000207	AT3G03760.1	Dm_00020776-RA
OG0000207	AT2G45410.1, AT4G00210.1	Dm_00005362-RA
OG0000208	AT3G14225.2, AT3G14225.1, AT1G53940.1, AT1G53940.2, AT5G40990.1, AT1G53990.1	Dm_00010303-RA
OG0000211	AT2G40610.1	Dm_00017798-RA, Dm_00019243-RA
OG0000211	AT1G26770.2, AT1G26770.1, AT1G69530.2, AT1G69530.1, AT2G03090.1	Dm_00001989-RA, Dm_00005372-RA
OG0000212	AT4G25590.2, AT4G25590.1, AT5G52360.1	Dm_00003314-RA, Dm_00011656-RA
OG0000212	AT3G46000.3, AT3G46000.1	Dm_00010728-RA
OG0000214	AT3G02100.1, AT1G78270.1	Dm_00007920-RA, Dm_00011105-RA
OG0000216	AT4G26700.5, AT4G26700.6, AT4G26700.3, AT4G26700.2, AT4G26700.1, AT4G26700.4, AT4G26700.7, AT5G55400.2, AT5G55400.1, AT5G55400.3	Dm_00003598-RA, Dm_00004133-RA
OG0000216	AT5G48460.1	Dm_00001128-RA, Dm_00015348-RA
OG0000216	AT5G35700.1, AT2G04750.1	Dm_00004892-RA
OG0000217	AT1G56130.1, AT1G56130.3, AT1G56130.2, AT1G56140.1, AT1G56120.3, AT1G56120.2, AT1G56120.1, AT1G56145.1, AT1G56145.2, AT1G56145.3	Dm_00018926-RA
OG0000218	AT4G17770.1, AT4G17770.2	Dm_00015495-RA
OG0000221	AT5G37740.2, AT5G37740.1	Dm_00006083-RA
