Orthogroup	A_thaliana.proteins	A_vesiculosa.proteins
OG0000041	AT5G49330.1, AT3G62610.1, AT2G47460.1	Av_00023746-RA, Av_00022768-RA
OG0000041	AT3G13540.1	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA
OG0000041	AT1G35515.1, AT4G09460.1	Av_00003291-RA
OG0000042	AT1G07440.2, AT2G29170.1	Av_00019089-RA
OG0000042	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1	Av_00009478-RA, Av_00008427-RA
OG0000043	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1	Av_00014180-RA
OG0000044	AT3G50700.1, AT5G66730.1	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	AT5G03150.1	Av_00012555-RA, Av_00002870-RA
OG0000044	AT1G55110.1, AT1G55110.3, AT1G55110.2	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA
OG0000044	AT4G02670.1, AT4G02670.2	Av_00002322-RA, Av_00009708-RA
OG0000046	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1	Av_00004429-RA, Av_00012280-RA
OG0000046	AT3G24550.1, AT3G24540.1	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1	Av_00002747-RA, Av_00016996-RA
OG0000046	AT5G38560.1	Av_00009129-RA, Av_00005749-RA
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	Av_00021683-RA
OG0000047	AT2G34440.1, AT3G66656.1	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA, Av_00024563-RA
OG0000047	AT5G62165.14	Av_00015234-RA, Av_00010903-RA
OG0000048	AT4G33355.2, AT4G33355.1	Av_00020140-RA
OG0000050	AT1G21280.1	Av_00002378-RA
OG0000055	AT5G13160.1	Av_00002758-RA
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000055	AT3G07070.1	Av_00017818-RA
OG0000055	AT3G20530.2, AT3G20530.1	Av_00024743-RA, Av_00019729-RA
OG0000055	AT1G61860.1	Av_00008958-RA
OG0000055	AT5G02800.1, AT1G07870.1, AT1G07870.2	Av_00016413-RA, Av_00013445-RA
OG0000058	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2	Av_00008430-RA
OG0000058	AT5G03620.2, AT5G03620.1	Av_00002928-RA
OG0000059	AT1G16090.1	Av_00013645-RA
OG0000065	AT3G09270.1	Av_00001967-RA
OG0000067	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA
OG0000070	AT5G09810.1	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA
OG0000070	AT3G12110.1	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000070	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1	Av_00006141-RA, Av_00020546-RA
OG0000071	AT5G63180.1, AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1	Av_00011182-RA, Av_00001686-RA
OG0000071	AT3G53190.1	Av_00021173-RA
OG0000071	AT5G04310.1, AT5G04310.2, AT5G04310.3	Av_00011924-RA
OG0000071	AT4G13710.2, AT4G13710.1	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA
OG0000071	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA
OG0000071	AT1G67750.1	Av_00002646-RA, Av_00005357-RA
OG0000072	AT4G40030.4	Av_00013714-RA, Av_00000367-RA
OG0000072	AT5G10400.1, AT1G09200.1, AT5G10390.1, AT3G27360.1, AT5G65360.1	Av_00011117-RA
OG0000072	AT5G65350.1	Av_00016563-RA, Av_00011359-RA, Av_00007236-RA
OG0000075	AT1G40390.1, AT1G43760.1	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA
OG0000077	AT2G21100.1, AT2G21100.2	Av_00007275-RA
OG0000078	AT1G04645.1, AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA
OG0000078	AT4G16295.1, AT4G29035.1	Av_00015019-RA
OG0000085	AT5G35580.2, AT5G35580.1, AT2G05940.1	Av_00009790-RA, Av_00008760-RA
OG0000085	AT1G72540.1	Av_00021920-RA, Av_00004097-RA
OG0000085	AT5G01020.1	Av_00005421-RA, Av_00002984-RA
OG0000085	AT2G07180.1, AT2G07180.2	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000085	AT5G56460.1	Av_00018975-RA
OG0000087	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
OG0000088	AT1G53440.1, AT1G53430.1, AT1G53430.2	Av_00002335-RA, Av_00019465-RA
OG0000088	AT1G29720.1	Av_00003725-RA
OG0000089	AT1G15520.2, AT1G15520.1	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA
OG0000089	AT3G30842.1	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA, Av_00007975-RA
OG0000090	AT5G63970.1, AT5G63970.2	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA
OG0000090	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA
OG0000091	AT4G14130.1, AT3G23730.1	Av_00024182-RA, Av_00022189-RA
OG0000091	AT4G30270.1, AT4G25810.1, AT5G57560.1, AT5G57550.1	Av_00004488-RA
OG0000095	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2	Av_00016560-RA
OG0000095	AT3G22170.1, AT3G22170.2	Av_00022745-RA, Av_00014819-RA
OG0000095	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2	Av_00015892-RA, Av_00013399-RA
OG0000096	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1	Av_00015889-RA
OG0000096	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1	Av_00006885-RA, Av_00009973-RA
OG0000098	AT1G20010.1, AT1G75780.1	Av_00009967-RA
OG0000098	AT4G20890.1, AT5G44340.1	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA
OG0000098	AT5G12250.1	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA
OG0000098	AT5G23860.2, AT5G23860.1	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA
OG0000099	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1	Av_00015329-RA, Av_00014232-RA
OG0000102	AT2G22160.1	Av_00021401-RA
OG0000102	AT3G49340.1, AT2G27420.1	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA
OG0000103	AT1G16670.1	Av_00007835-RA, Av_00000217-RA
OG0000105	AT5G47750.1	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA
OG0000105	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA
OG0000106	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA
OG0000107	AT1G15080.1	Av_00000247-RA, Av_00006353-RA
OG0000107	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2	Av_00007784-RA
OG0000108	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3	Av_00010829-RA, Av_00005367-RA
OG0000108	AT5G46540.1, AT4G18050.1, AT4G18050.2	Av_00003730-RA
OG0000109	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1	Av_00018758-RA, Av_00008820-RA
OG0000109	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3	Av_00021187-RA, Av_00001943-RA
OG0000110	AT5G48100.1	Av_00020501-RA, Av_00008377-RA
OG0000110	AT5G09360.1	Av_00008370-RA, Av_00008371-RA, Av_00011529-RA
OG0000112	ATCG00860.1, ATCG01280.1	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA
OG0000113	AT2G45180.1	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA
OG0000114	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1	Av_00003668-RA, Av_00015326-RA
OG0000115	AT5G48350.1, AT3G62320.1	Av_00020146-RA
OG0000116	AT1G07660.1	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA
OG0000118	AT3G08690.1, AT3G08690.2, AT5G56150.1	Av_00017992-RA, Av_00017242-RA
OG0000118	AT2G16740.1	Av_00007265-RA
OG0000118	AT5G41700.2, AT5G41700.4, AT5G41700.5, AT5G41700.1	Av_00013942-RA
OG0000120	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1	Av_00014461-RA, Av_00022346-RA
OG0000120	AT5G06850.1	Av_00021880-RA
OG0000120	AT4G11610.2, AT4G11610.1, AT4G11610.3	Av_00020803-RA
OG0000121	AT5G04885.3, AT5G04885.1, AT5G04885.2	Av_00001370-RA
OG0000121	AT5G20950.1, AT5G20950.2, AT5G20950.3, AT5G20940.1	Av_00013289-RA
OG0000122	ATCG00350.1	Av_00015184-RA, Av_00024977-RA, Av_00014604-RA
OG0000124	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1	Av_00010170-RA
OG0000125	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2	Av_00006820-RA
OG0000125	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1	Av_00020356-RA, Av_00016779-RA
OG0000127	AT2G39060.1	Av_00014440-RA, Av_00001249-RA
OG0000127	AT5G50790.1	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA
OG0000129	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA
OG0000134	AT2G26560.1	Av_00001044-RA, Av_00022546-RA, Av_00018234-RA
OG0000135	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2	Av_00023049-RA
OG0000135	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA
OG0000135	AT2G07020.1, AT5G35380.1	Av_00017962-RA, Av_00001097-RA
OG0000136	AT1G20090.1, AT1G75840.1	Av_00023293-RA, Av_00020159-RA
OG0000136	AT3G51300.1, AT4G35950.1, AT2G17800.1, AT2G17800.2	Av_00023894-RA, Av_00014249-RA, Av_00022366-RA
OG0000138	AT1G13245.1, AT3G25717.1, AT1G68825.2, AT1G68825.1	Av_00011570-RA
OG0000138	AT2G39705.1	Av_00005734-RA, Av_00017291-RA
OG0000139	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1	Av_00011998-RA, Av_00005008-RA, Av_00005715-RA
OG0000143	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1	Av_00008537-RA, Av_00017945-RA, Av_00002008-RA
OG0000144	AT5G63650.1, AT5G08590.1, AT5G08590.2	Av_00016294-RA
OG0000144	AT4G40010.1	Av_00001844-RA
OG0000145	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2	Av_00008637-RA, Av_00011445-RA
OG0000147	AT3G27470.3, AT3G27470.2, AT3G27470.5, AT3G27470.4, AT3G27470.1	Av_00021851-RA
OG0000147	AT3G26440.4	Av_00019395-RA
OG0000147	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3	Av_00012705-RA, Av_00020525-RA
OG0000148	AT3G46600.2, AT3G46600.3, AT3G46600.1, AT5G59450.1	Av_00022736-RA
OG0000148	AT1G07530.1, AT2G29060.1, AT2G29060.2	Av_00019670-RA, Av_00006146-RA
OG0000148	AT2G37650.1, AT2G37650.2	Av_00020556-RA, Av_00014073-RA
OG0000149	AT4G31810.1	Av_00001613-RA
OG0000152	AT3G09480.1	Av_00023873-RA, Av_00012587-RA, Av_00015693-RA, Av_00005098-RA
OG0000152	AT2G28720.1	Av_00022456-RA
OG0000153	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA
OG0000153	AT5G47640.1	Av_00000144-RA
OG0000153	AT2G13570.1	Av_00001271-RA, Av_00015076-RA
OG0000154	AT5G14670.1, AT5G14670.2, AT5G14670.3	Av_00002672-RA
OG0000155	AT3G62930.1, AT1G03020.1	Av_00001520-RA, Av_00013491-RA, Av_00024885-RA, Av_00001519-RA
OG0000156	AT4G37780.1	Av_00007919-RA, Av_00006858-RA
OG0000156	AT2G36890.1, AT2G36890.2	Av_00024913-RA
OG0000157	AT3G42170.1, AT3G42170.2	Av_00005838-RA, Av_00007384-RA, Av_00003795-RA, Av_00021642-RA
OG0000159	AT5G54160.1	Av_00009492-RA
OG0000160	AT1G42540.4, AT1G42540.1, AT1G42540.2	Av_00007416-RA
OG0000160	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3	Av_00022355-RA, Av_00022827-RA
OG0000162	AT1G66880.1, AT1G66880.2, AT1G66880.3, AT5G38210.3, AT5G38210.2, AT5G38210.1	Av_00004972-RA
OG0000163	AT1G17580.1	Av_00006762-RA, Av_00008041-RA
OG0000163	AT1G54560.1, AT1G54560.2, AT1G08730.1, AT1G08730.2	Av_00020340-RA
OG0000164	AT1G48410.2, AT1G48410.3, AT1G48410.1	Av_00009562-RA, Av_00022631-RA
OG0000164	AT2G27880.1	Av_00014947-RA
OG0000164	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3	Av_00009037-RA, Av_00021627-RA, Av_00018348-RA, Av_00005134-RA
OG0000168	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA
OG0000169	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1	Av_00014436-RA, Av_00014435-RA, Av_00014437-RA, Av_00006958-RA
OG0000170	AT2G29400.1, AT5G59160.3, AT5G59160.1, AT5G59160.2, AT3G46820.1	Av_00023969-RA
OG0000170	AT4G11240.1, AT1G64040.1	Av_00005502-RA, Av_00024526-RA
OG0000171	AT5G25810.1, AT5G11590.1	Av_00010251-RA, Av_00010250-RA, Av_00010069-RA, Av_00004643-RA, Av_00024165-RA, Av_00022584-RA, Av_00004133-RA, Av_00008001-RA, Av_00006803-RA
OG0000171	AT2G35700.1, AT4G16750.1	Av_00010342-RA, Av_00014519-RA
OG0000171	AT3G60490.1	Av_00023216-RA, Av_00010986-RA
OG0000172	AT3G08680.2, AT3G08680.1	Av_00003826-RA, Av_00005047-RA, Av_00005416-RA, Av_00002975-RA, Av_00010320-RA, Av_00017991-RA
OG0000173	AT3G29785.1	Av_00017532-RA, Av_00015909-RA, Av_00019958-RA, Av_00016476-RA, Av_00019368-RA
OG0000179	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1	Av_00013630-RA, Av_00008250-RA, Av_00008208-RA
OG0000179	AT3G51370.3, AT3G51370.1, AT5G66080.1	Av_00020630-RA, Av_00014246-RA, Av_00011691-RA
OG0000180	AT3G43190.1, AT3G43190.2, AT5G20830.2, AT5G20830.3, AT5G20830.1	Av_00007137-RA, Av_00017139-RA, Av_00021970-RA
OG0000180	AT4G02280.1, AT5G49190.1, AT5G49190.2, AT5G49190.3	Av_00002186-RA
OG0000181	AT1G21810.2, AT1G21810.1, AT1G21810.3	Av_00008381-RA
OG0000181	AT3G05270.2, AT3G05270.1, AT3G05270.3	Av_00011782-RA
OG0000182	AT2G37180.1, AT2G37170.1, AT2G37170.2, AT3G53420.2, AT3G53420.1, AT5G60660.1, AT3G54820.1, AT2G39010.1	Av_00013467-RA, Av_00013640-RA, Av_00023400-RA
OG0000182	AT2G39010.2	Av_00004288-RA, Av_00009862-RA, Av_00011072-RA, Av_00018316-RA, Av_00007261-RA
OG0000184	AT2G32830.1	Av_00002027-RA, Av_00017044-RA
OG0000184	AT5G43350.1, AT5G43370.2, AT5G43370.1, AT5G43360.1	Av_00012870-RA, Av_00012869-RA, Av_00012866-RA
OG0000185	AT4G14880.2, AT4G14880.3, AT4G14880.1, AT4G14880.4, AT4G14880.5, AT3G22460.1	Av_00020648-RA, Av_00000618-RA
OG0000185	AT2G43750.2, AT2G43750.1, AT3G59760.3	Av_00020843-RA
OG0000187	AT5G40960.1	Av_00004735-RA
OG0000187	AT3G27030.1	Av_00020489-RA
OG0000187	AT5G08391.1	Av_00000886-RA
OG0000188	AT1G01490.1, AT1G01490.2, AT1G01490.3, AT1G01490.4	Av_00008619-RA, Av_00014654-RA
OG0000189	AT5G40210.1, AT5G40240.2, AT5G40240.3, AT5G40240.1, AT5G40230.1, AT4G15540.1, AT4G15540.2, AT3G28050.1	Av_00008267-RA
OG0000191	AT5G06860.1, AT5G06870.1	Av_00021883-RA, Av_00021882-RA
OG0000192	AT1G65570.1	Av_00010659-RA
OG0000192	AT2G43860.1, AT2G43870.1, AT3G59850.2, AT3G59850.1	Av_00014755-RA
OG0000193	AT3G19690.1, AT2G14580.1, AT2G14610.1, AT4G33730.1	Av_00004616-RA
OG0000198	AT3G12580.1	Av_00013347-RA
OG0000199	AT3G22800.1	Av_00003513-RA
OG0000199	AT4G33970.1, AT2G15880.1	Av_00024249-RA
OG0000199	AT3G24480.1, AT4G13340.1	Av_00009032-RA, Av_00003777-RA, Av_00007403-RA, Av_00019446-RA
OG0000200	AT5G17730.1, AT5G17740.1, AT5G17760.1	Av_00001956-RA
OG0000201	AT1G65560.2, AT1G65560.1	Av_00006563-RA
OG0000203	AT2G45950.1, AT2G45950.3, AT2G45950.4, AT2G45950.2, AT2G45950.5, AT3G61415.1, AT3G61415.2	Av_00014660-RA, Av_00008624-RA, Av_00000043-RA
OG0000206	AT1G73730.2, AT1G73730.1	Av_00007012-RA, Av_00014917-RA, Av_00008149-RA
OG0000206	AT3G20770.1, AT2G27050.1	Av_00018524-RA, Av_00012695-RA, Av_00004740-RA, Av_00016933-RA
OG0000206	AT5G10120.1, AT5G65100.1	Av_00023641-RA
OG0000207	AT2G42430.1	Av_00001416-RA
OG0000207	AT3G03760.1	Av_00012253-RA
OG0000207	AT2G45420.1	Av_00010915-RA, Av_00015240-RA
OG0000207	AT2G45410.1, AT4G00210.1	Av_00000060-RA
OG0000208	AT3G14225.2, AT3G14225.1, AT1G53940.1, AT1G53940.2, AT5G40990.1, AT1G53990.1	Av_00015817-RA
OG0000211	AT2G40610.1	Av_00003836-RA, Av_00005037-RA, Av_00021376-RA
OG0000211	AT1G26770.2, AT1G26770.1, AT1G69530.2, AT1G69530.1, AT2G03090.1	Av_00006413-RA, Av_00007555-RA, Av_00015516-RA, Av_00016968-RA
OG0000212	AT4G25590.2, AT4G25590.1, AT5G52360.1	Av_00009181-RA, Av_00022867-RA, Av_00001625-RA, Av_00012930-RA, Av_00009405-RA, Av_00002082-RA
OG0000212	AT3G46000.3, AT3G46000.1	Av_00018708-RA, Av_00023788-RA
OG0000213	AT4G04460.1, AT4G04460.2, AT1G62290.1, AT1G62290.6, AT1G62290.4, AT1G62290.3, AT1G62290.5, AT1G62290.2, AT1G11910.2, AT1G11910.1	Av_00007469-RA, Av_00005967-RA
OG0000214	AT3G02100.1, AT1G78270.1	Av_00001794-RA
OG0000216	AT4G26700.5, AT4G26700.6, AT4G26700.3, AT4G26700.2, AT4G26700.1, AT4G26700.4, AT4G26700.7, AT5G55400.2, AT5G55400.1, AT5G55400.3	Av_00002521-RA, Av_00003068-RA
OG0000216	AT5G48460.1	Av_00025005-RA, Av_00001398-RA
