Orthogroup	A_thaliana.proteins	A_hypochondriacus.proteins
OG0000044	AT1G03840.2, AT1G03840.1	AH001378-RA
OG0000044	AT4G02670.1, AT4G02670.2	AH002596-RA, AH017804-RA
OG0000046	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1	AH000561-RA
OG0000046	AT3G24550.1, AT3G24540.1	AH020861-RA
OG0000046	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1	AH005447-RA, AH004082-RA
OG0000046	AT5G38560.1	AH016482-RA
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	AH003569-RA
OG0000047	AT2G34440.1, AT3G66656.1	AH008841-RA, AH000830-RA, AH000718-RA, AH011231-RA, AH020493-RA, AH010621-RA
OG0000047	AT5G62165.14	AH009198-RA
OG0000048	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA
OG0000055	AT5G13160.1	AH005218-RA, AH004572-RA
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	AH007027-RA
OG0000055	AT1G07860.1	AH013063-RA
OG0000055	AT3G24790.2, AT3G24790.1, AT4G13190.4, AT4G13190.1, AT4G13190.3, AT4G13190.2, AT4G13190.5	AH010394-RA
OG0000058	AT5G59110.1	AH016699-RA
OG0000058	AT5G03620.2, AT5G03620.1	AH012624-RA
OG0000059	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	ATMG00810.1, ATMG00240.1	AH016857-RA
OG0000063	AT5G05340.1	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000065	AT3G09270.1	AH013518-RA, AH020188-RA
OG0000067	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1	AH001311-RA
OG0000068	AT5G35810.1	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA
OG0000070	AT3G12110.1	AH004919-RA, AH004504-RA, AH022950-RA
OG0000070	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1	AH016471-RA
OG0000071	AT4G24780.2, AT4G24780.1	AH022369-RA, AH013559-RA
OG0000071	AT3G53190.1	AH012735-RA
OG0000071	AT5G04310.1, AT5G04310.2, AT5G04310.3	AH020129-RA
OG0000071	AT4G13710.2, AT4G13710.1	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1	AH013047-RA
OG0000071	AT1G67750.1	AH004886-RA
OG0000072	AT4G40030.1	AH003759-RA, AH005866-RA
OG0000072	AT5G10390.1	AH008035-RA
OG0000072	AT3G27360.1	AH011844-RA
OG0000076	AT5G42965.1	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA
OG0000077	AT2G21100.1, AT2G21100.2	AH000842-RA
OG0000077	AT1G58170.1, AT3G58090.1, AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1	AH007662-RA, AH007663-RA
OG0000077	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1	AH006889-RA
OG0000078	AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1	AH022838-RA
OG0000085	AT5G35580.2, AT5G35580.1, AT2G05940.1	AH014594-RA, AH021106-RA
OG0000085	AT1G72540.1	AH013377-RA, AH013378-RA
OG0000085	AT5G01020.1	AH021680-RA
OG0000085	AT2G07180.1, AT2G07180.2	AH015892-RA, AH017005-RA
OG0000085	AT1G61590.1	AH018522-RA
OG0000087	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1	AH006703-RA, AH020455-RA
OG0000087	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1	AH004659-RA
OG0000087	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1	AH017338-RA
OG0000088	AT1G53440.1, AT1G53430.1, AT1G53430.2	AH007982-RA
OG0000088	AT1G29720.1	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	AT1G15520.2, AT1G15520.1	AH002040-RA
OG0000089	AT3G30842.1	AH019224-RA, AH019223-RA, AH014168-RA
OG0000090	AT5G63970.1, AT5G63970.2	AH003790-RA, AH010641-RA
OG0000090	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2	AH005307-RA
OG0000091	AT4G14130.1, AT3G23730.1	AH020558-RA, AH020560-RA
OG0000093	AT2G44450.2, AT2G44450.1, AT2G25630.1, AT5G44640.1, AT5G42260.1	AH007680-RA, AH007681-RA
OG0000095	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2	AH013260-RA
OG0000095	AT3G22170.1, AT3G22170.2	AH006304-RA
OG0000095	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2	AH010162-RA
OG0000096	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1	AH005894-RA
OG0000098	AT1G20010.1, AT1G75780.1	AH016758-RA
OG0000099	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1	AH005801-RA, AH005806-RA, AH005677-RA, AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA, AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA
OG0000101	AT3G30235.1	AH019269-RA
OG0000102	AT3G49340.1, AT2G27420.1	AH010958-RA, AH012445-RA
OG0000102	AT5G45890.1	AH021394-RA
OG0000103	AT3G09010.2, AT3G09010.1	AH010272-RA, AH008021-RA, AH015077-RA
OG0000105	AT3G27580.2, AT3G27580.1	AH005316-RA
OG0000105	AT5G47750.1	AH021428-RA, AH014857-RA
OG0000105	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1	AH012640-RA, AH021838-RA
OG0000106	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	AT1G15080.1	AH004190-RA, AH005485-RA
OG0000107	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2	AH001713-RA
OG0000108	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3	AH010687-RA, AH001829-RA
OG0000108	AT5G46540.1, AT4G18050.1, AT4G18050.2	AH012760-RA, AH014759-RA
OG0000109	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1	AH001741-RA
OG0000109	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3	AH003764-RA
OG0000110	AT5G48100.1	AH019974-RA, AH007045-RA
OG0000113	AT4G00165.1, AT4G00165.2	AH023633-RA
OG0000113	AT2G45180.1	AH018586-RA
OG0000113	AT1G12100.1	AH018579-RA
OG0000113	AT4G12550.1, AT4G12545.1	AH003200-RA
OG0000114	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1	AH015161-RA
OG0000115	AT5G48350.1, AT3G62320.1	AH002718-RA, AH002719-RA
OG0000115	AT3G12420.1, AT3G12410.1, AT3G12430.1, AT3G12460.1, AT3G12440.1, AT2G36110.1, AT3G12470.1	AH011595-RA
OG0000116	AT3G53730.1	AH018140-RA
OG0000116	AT1G07820.1	AH006915-RA
OG0000116	AT2G28740.1, AT1G07660.1	AH022502-RA
OG0000117	AT1G70850.3, AT1G70850.1, AT1G70830.1, AT1G70830.4, AT1G70830.2, AT1G70850.2, AT1G70830.3, AT1G70830.5, AT1G70860.1, AT1G70880.1, AT1G70890.1, AT1G70840.1, AT1G23130.1, AT1G35310.1, AT1G35260.1, AT5G28010.1, AT5G28010.2, AT5G28000.1	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	AT3G08690.1, AT3G08690.2, AT5G56150.1	AH022107-RA
OG0000118	AT2G16740.1	AH006465-RA, AH002266-RA
OG0000119	AT4G22390.1, AT4G22390.2, AT4G12560.1, AT4G12560.3, AT4G12560.2	AH017345-RA, AH002923-RA
OG0000120	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1	AH020337-RA, AH006837-RA
OG0000120	AT5G06850.1	AH020344-RA
OG0000120	AT4G11610.2, AT4G11610.1, AT4G11610.3	AH018632-RA
OG0000121	AT5G04885.3, AT5G04885.1, AT5G04885.2	AH010321-RA
OG0000121	AT5G20950.1, AT5G20950.2, AT5G20950.3, AT5G20940.1	AH022634-RA
OG0000122	ATCG00350.1	AH015608-RA
OG0000123	AT5G13930.1	AH004264-RA, AH005234-RA
OG0000124	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1	AH001904-RA, AH001376-RA, AH019891-RA, AH004745-RA, AH000628-RA
OG0000124	AT1G47480.1	AH015148-RA
OG0000125	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2	AH012890-RA
OG0000125	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1	AH010561-RA, AH010565-RA, AH010563-RA
OG0000127	AT2G39060.1	AH010397-RA
OG0000127	AT5G50790.1	AH002969-RA, AH017357-RA
OG0000127	AT3G48740.1, AT5G23660.1	AH017358-RA, AH002968-RA
OG0000128	AT1G78950.2, AT1G78950.1, AT1G78955.5, AT1G78955.4, AT1G78955.2, AT1G78955.3, AT1G78955.1, AT1G66960.3, AT1G66960.4, AT1G66960.2, AT1G66960.1, AT1G78960.5, AT1G78960.2, AT1G78960.3, AT1G78960.1, AT1G78960.4, AT1G78970.2, AT1G78970.1, AT1G78970.3	AH013509-RA, AH013505-RA, AH013510-RA, AH013513-RA
OG0000129	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1	AH019249-RA
OG0000131	AT1G72610.1, AT5G20630.1	AH014578-RA
OG0000134	AT2G26560.1	AH001790-RA, AH001791-RA
OG0000135	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2	AH016059-RA
OG0000135	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1	AH013502-RA
OG0000135	AT2G07020.1, AT5G35380.1	AH015896-RA
OG0000136	AT5G62880.2, AT3G48040.2, AT5G62880.1, AT3G48040.1	AH017306-RA
OG0000136	AT1G20090.1, AT1G75840.1	AH016776-RA, AH023665-RA
OG0000136	AT4G35020.2, AT4G35020.1, AT4G35020.3	AH000810-RA, AH002265-RA
OG0000138	AT3G23635.1	AH016422-RA, AH016421-RA
OG0000138	AT1G68825.2, AT1G68825.1	AH005424-RA
OG0000138	AT5G16023.1, AT3G02493.1	AH022914-RA, AH016501-RA
OG0000138	AT4G13395.1	AH014147-RA, AH014146-RA
OG0000138	AT1G53708.1, AT3G14362.1	AH022294-RA, AH013450-RA
OG0000138	AT2G29125.1	AH013724-RA, AH022574-RA
OG0000139	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1	AH023020-RA, AH016410-RA
OG0000142	AT1G61180.2, AT1G61310.1, AT1G61300.1, AT1G61300.2, AT1G61190.4, AT1G61190.1, AT1G61190.3, AT1G61190.2, AT1G61180.1, AT5G63020.1, AT1G12290.1, AT1G12290.2, AT1G12290.4, AT1G12290.3, AT1G12210.2, AT1G12210.3, AT1G12210.1, AT1G12280.1, AT1G12280.2, AT1G12220.3, AT1G12220.1, AT1G12220.2, AT4G10780.1, AT4G10780.2, AT1G63350.3, AT1G63360.1, AT1G63360.2, AT1G62630.1, AT1G63350.4, AT1G63350.2, AT1G63350.1, AT4G26090.1	AH003498-RA, AH003496-RA, AH003495-RA, AH003497-RA
OG0000143	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1	AH016191-RA, AH008728-RA, AH008727-RA
OG0000144	AT1G60940.1, AT1G60940.2, AT1G10940.2, AT1G10940.1	AH005332-RA
OG0000144	AT5G63650.1, AT5G08590.1, AT5G08590.2	AH004163-RA
OG0000145	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2	AH009242-RA
OG0000146	AT2G29500.1	AH019053-RA, AH016411-RA, AH023019-RA, AH023024-RA, AH008823-RA
OG0000147	AT3G27470.3, AT3G27470.2, AT3G27470.5, AT3G27470.4, AT3G27470.1	AH021952-RA
OG0000147	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3	AH000183-RA
OG0000148	AT3G46600.2, AT3G46600.3, AT3G46600.1, AT5G59450.1	AH022555-RA, AH013718-RA, AH013719-RA, AH013714-RA
OG0000148	AT1G07530.1, AT2G29060.1, AT2G29060.2	AH022552-RA
OG0000149	AT4G31810.1	AH016220-RA
OG0000149	AT2G30660.1, AT2G30660.2, AT2G30650.2, AT2G30650.1, AT5G65940.2, AT5G65940.3, AT5G65940.1, AT5G65940.4	AH018906-RA
OG0000152	AT3G09480.1	AH000407-RA
OG0000152	AT2G37470.1, AT3G53650.1, AT5G02570.1	AH022513-RA
OG0000152	AT2G28720.1	AH022508-RA
OG0000153	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1	AH021960-RA
OG0000153	AT5G47640.1	AH008291-RA
OG0000153	AT2G13570.1	AH007368-RA
OG0000155	AT3G62930.1, AT1G03020.1	AH012856-RA, AH012857-RA, AH012863-RA, AH012861-RA, AH012858-RA, AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA, AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA
OG0000157	AT3G42170.1, AT3G42170.2	AH019804-RA
OG0000159	AT5G54160.1	AH011882-RA
OG0000160	AT1G42540.4, AT1G42540.1, AT1G42540.2	AH016892-RA, AH023753-RA
OG0000160	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3	AH005973-RA
OG0000160	AT2G17260.1, AT4G35290.3, AT4G35290.4, AT4G35290.2, AT4G35290.5, AT4G35290.1, AT4G35290.6	AH001592-RA, AH000928-RA
OG0000162	AT1G18390.2, AT1G18390.1	AH017198-RA, AH002995-RA
OG0000162	AT1G66880.1, AT1G66880.2, AT1G66880.3, AT5G38210.3, AT5G38210.2, AT5G38210.1	AH022861-RA, AH022859-RA
OG0000162	AT1G25390.2, AT1G25390.1	AH000903-RA
OG0000163	AT3G58160.3, AT3G58160.4, AT3G58160.1, AT3G58160.5, AT3G58160.2	AH014552-RA
OG0000163	AT1G17580.1	AH013346-RA
OG0000164	AT1G48410.2, AT1G48410.3, AT1G48410.1	AH021228-RA, AH014343-RA
OG0000164	AT2G27880.1	AH001454-RA, AH000392-RA
OG0000164	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3	AH020804-RA, AH014173-RA
OG0000168	AT3G43790.1, AT3G43790.3, AT3G43790.2, AT3G43790.5, AT3G43790.4	AH020525-RA, AH006562-RA, AH006510-RA
OG0000168	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2	AH007811-RA
OG0000169	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1	AH003317-RA
OG0000169	AT1G56240.1, AT1G56250.1, AT1G09155.1	AH010535-RA
OG0000170	AT4G11240.1, AT1G64040.1	AH011283-RA
OG0000171	AT5G25810.1, AT5G11590.1	AH000491-RA, AH002132-RA
OG0000179	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1	AH015938-RA
OG0000179	AT4G38520.2, AT4G38520.1	AH000794-RA, AH002289-RA
OG0000179	AT3G51370.3, AT3G51370.1, AT5G66080.1	AH004307-RA
OG0000180	AT3G43190.1, AT3G43190.2, AT5G20830.2, AT5G20830.3, AT5G20830.1	AH014306-RA, AH021076-RA
OG0000180	AT4G02280.1, AT5G49190.1, AT5G49190.2, AT5G49190.3	AH022087-RA
OG0000181	AT1G21810.2, AT1G21810.1, AT1G21810.3	AH008868-RA
OG0000181	AT3G05270.2, AT3G05270.1, AT3G05270.3	AH010377-RA, AH003266-RA
OG0000182	AT2G37180.1, AT2G37170.1, AT2G37170.2, AT3G53420.2, AT3G53420.1, AT5G60660.1	AH001251-RA, AH000172-RA
OG0000182	AT3G54820.1, AT2G39010.1	AH021993-RA
OG0000182	AT2G16850.1, AT4G35100.2, AT4G35100.1	AH002277-RA, AH000801-RA
OG0000182	AT2G39010.2	AH012779-RA
OG0000184	AT2G32830.1	AH007212-RA
OG0000184	AT5G43350.1, AT5G43370.2, AT5G43370.1, AT5G43360.1	AH019907-RA, AH007213-RA
OG0000184	AT2G38940.1, AT3G54700.2, AT3G54700.1	AH017737-RA
OG0000185	AT4G14880.2, AT4G14880.3, AT4G14880.1, AT4G14880.4, AT4G14880.5, AT3G22460.1	AH007772-RA
OG0000185	AT2G43750.2, AT2G43750.1, AT3G59760.3	AH020040-RA
OG0000185	AT5G28020.4, AT5G28020.1, AT5G28020.2, AT5G28020.6, AT5G28020.3, AT5G28030.5, AT5G28030.2, AT5G28030.3, AT5G28030.4, AT5G28030.1, AT3G04940.2, AT3G04940.1	AH010844-RA, AH007773-RA, AH010845-RA
OG0000187	AT3G27027.1, AT5G40980.1	AH006377-RA
OG0000187	AT5G40960.1	AH006242-RA
OG0000187	AT3G27030.1	AH003378-RA, AH006240-RA
OG0000187	AT5G08391.1	AH004538-RA, AH005195-RA
OG0000188	AT5G52740.1, AT5G52740.2	AH019606-RA, AH012098-RA
OG0000188	AT1G01490.1, AT1G01490.2, AT1G01490.3, AT1G01490.4	AH009637-RA
OG0000190	AT3G06240.1	AH021202-RA
OG0000191	AT5G06860.1, AT5G06870.1	AH007821-RA, AH006828-RA, AH010151-RA, AH006832-RA, AH020345-RA, AH006833-RA
OG0000192	AT2G43880.1, AT2G43880.2	AH011738-RA
OG0000192	AT1G65570.1	AH007480-RA, AH011104-RA
OG0000192	AT2G43860.1, AT2G43870.1, AT3G59850.2, AT3G59850.1	AH011736-RA, AH020017-RA
OG0000193	AT1G50060.1	AH010169-RA, AH002456-RA, AH002454-RA
OG0000198	AT3G12580.1	AH013656-RA
OG0000198	AT1G16030.1	AH009407-RA
OG0000198	AT1G56410.1	AH006665-RA, AH004318-RA
OG0000198	AT3G09440.2, AT3G09440.1, AT3G09440.3, AT3G09440.4, AT5G02500.1, AT5G02490.1	AH015977-RA, AH015978-RA
OG0000199	AT3G22800.1	AH011848-RA
OG0000199	AT4G28380.1	AH000315-RA
OG0000199	AT3G24480.1, AT4G13340.1	AH015573-RA
OG0000200	AT3G50930.1, AT3G50940.1	AH005777-RA
OG0000200	AT5G17730.1, AT5G17740.1, AT5G17760.1	AH005778-RA
OG0000201	AT5G16980.3, AT5G16980.1, AT5G16980.2	AH011734-RA
OG0000202	AT4G31500.1, AT4G13770.1	AH000612-RA, AH000613-RA, AH016607-RA, AH003783-RA, AH008930-RA, AH002357-RA
OG0000203	AT2G45950.1, AT2G45950.3, AT2G45950.4, AT2G45950.2, AT2G45950.5, AT3G61415.1, AT3G61415.2	AH019586-RA
OG0000206	AT1G73730.2, AT1G73730.1	AH010923-RA
OG0000206	AT5G21120.2, AT5G21120.1, AT5G21120.3	AH010673-RA
OG0000206	AT5G10120.1, AT5G65100.1	AH022824-RA, AH007651-RA
OG0000207	AT2G42430.1	AH002648-RA
OG0000207	AT5G06080.1	AH022984-RA
OG0000207	AT3G03760.1	AH018948-RA
OG0000207	AT2G45420.1	AH009146-RA
OG0000207	AT2G45410.1, AT4G00210.1	AH009147-RA
OG0000208	AT1G53920.1	AH013419-RA, AH022318-RA
