Orthogroup	A_thaliana.proteins	D_spatulata.proteins
OG0000070	AT3G12110.1, AT5G59370.1, AT5G59370.2, AT3G46520.2, AT3G46520.1	Ds_00010078-RA
OG0000070	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1	Ds_00014701-RA
OG0000070	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1	Ds_00001412-RA, Ds_00010928-RA
OG0000071	AT5G63180.1, AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1	Ds_00003826-RA
OG0000071	AT3G53190.1	Ds_00002033-RA
OG0000071	AT4G13710.2, AT4G13710.1	Ds_00013248-RA, Ds_00007141-RA
OG0000071	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1	Ds_00006568-RA
OG0000071	AT1G67750.1	Ds_00012035-RA, Ds_00010724-RA
OG0000072	AT5G10980.1	Ds_00003598-RA
OG0000072	AT5G10400.1, AT1G09200.1, AT5G10390.1, AT3G27360.1, AT5G65360.1, AT5G65350.1	Ds_00000109-RA
OG0000072	AT1G75600.1	Ds_00017713-RA
OG0000075	AT1G40390.1, AT1G43760.1	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA
OG0000076	AT5G42965.1	Ds_00004958-RA
OG0000077	AT2G21100.1, AT2G21100.2	Ds_00000030-RA, Ds_00000031-RA
OG0000077	AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1	Ds_00006087-RA
OG0000077	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1	Ds_00011039-RA
OG0000078	AT1G04645.1, AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000078	AT4G16295.1, AT4G29035.1	Ds_00009717-RA
OG0000078	AT5G06020.1, AT5G06030.1, AT5G06040.1	Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA
OG0000085	AT5G35580.2, AT5G35580.1, AT2G05940.1	Ds_00013315-RA
OG0000085	AT1G72540.1	Ds_00002345-RA
OG0000085	AT5G01020.1	Ds_00006817-RA
OG0000085	AT2G07180.1, AT2G07180.2	Ds_00003374-RA
OG0000085	AT5G56460.1	Ds_00013221-RA, Ds_00016552-RA
OG0000085	AT1G61590.1	Ds_00007391-RA
OG0000087	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1	Ds_00000857-RA
OG0000087	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1	Ds_00015816-RA, Ds_00008978-RA
OG0000088	AT1G53440.1, AT1G53430.1, AT1G53430.2	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	AT1G29720.1	Ds_00011160-RA
OG0000089	AT1G15520.2, AT1G15520.1	Ds_00000919-RA, Ds_00000698-RA
OG0000089	AT3G30842.1	Ds_00014281-RA, Ds_00009910-RA, Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA
OG0000090	AT5G63970.1, AT5G63970.2	Ds_00003959-RA
OG0000090	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2	Ds_00008033-RA, Ds_00010488-RA
OG0000091	AT4G14130.1, AT3G23730.1	Ds_00005720-RA, Ds_00012613-RA
OG0000091	AT4G30270.1, AT4G25810.1, AT5G57560.1, AT5G57550.1	Ds_00009843-RA
OG0000093	AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2	Ds_00002167-RA
OG0000095	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2	Ds_00016626-RA
OG0000095	AT3G22170.1, AT3G22170.2	Ds_00005433-RA
OG0000095	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2	Ds_00005415-RA
OG0000096	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1	Ds_00011884-RA, Ds_00011885-RA
OG0000096	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1	Ds_00002543-RA, Ds_00000525-RA, Ds_00009255-RA
OG0000098	AT1G20010.1, AT1G75780.1	Ds_00000511-RA
OG0000098	AT4G20890.1, AT5G44340.1	Ds_00004278-RA, Ds_00000887-RA
OG0000098	AT5G12250.1	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000099	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA, Ds_00012557-RA
OG0000101	AT3G30235.1	Ds_00017680-RA, Ds_00013692-RA
OG0000101	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1	Ds_00013443-RA, Ds_00013823-RA, Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA
OG0000101	AT2G06541.1, AT2G06541.2	Ds_00008372-RA
OG0000102	AT2G22160.1	Ds_00011097-RA, Ds_00000392-RA
OG0000102	AT3G49340.1, AT2G27420.1	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA
OG0000102	AT5G45890.1	Ds_00011502-RA, Ds_00015916-RA
OG0000103	AT1G16670.1	Ds_00007541-RA
OG0000105	AT3G27580.2, AT3G27580.1	Ds_00016593-RA, Ds_00001973-RA
OG0000105	AT5G47750.1	Ds_00004427-RA, Ds_00011176-RA
OG0000105	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1	Ds_00008720-RA, Ds_00016969-RA
OG0000106	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1	Ds_00012991-RA
OG0000107	AT1G15080.1	Ds_00008559-RA
OG0000108	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	AT5G46540.1, AT4G18050.1, AT4G18050.2	Ds_00004396-RA
OG0000109	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1	Ds_00000324-RA
OG0000109	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3	Ds_00013208-RA
OG0000110	AT5G48100.1	Ds_00010855-RA
OG0000110	AT5G09360.1	Ds_00011944-RA, Ds_00016825-RA, Ds_00005164-RA
OG0000112	ATCG00860.1, ATCG01280.1	Ds_00016959-RA, Ds_00016949-RA
OG0000113	AT4G00165.1, AT4G00165.2	Ds_00016297-RA
OG0000113	AT2G45180.1	Ds_00011325-RA
OG0000114	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1	Ds_00015893-RA, Ds_00015892-RA
OG0000115	AT5G48350.1, AT3G62320.1	Ds_00009366-RA
OG0000116	AT1G07660.1	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA
OG0000117	AT1G70850.3, AT1G70850.1, AT1G70830.1, AT1G70830.4, AT1G70830.2, AT1G70850.2, AT1G70830.3, AT1G70830.5, AT1G70860.1, AT1G70880.1, AT1G70890.1, AT1G70840.1, AT1G23130.1, AT1G35310.1, AT1G35260.1, AT5G28010.1, AT5G28010.2, AT5G28000.1	Ds_00008529-RA
OG0000118	AT3G08690.1, AT3G08690.2, AT5G56150.1	Ds_00011668-RA, Ds_00006827-RA
OG0000118	AT5G53300.4, AT5G53300.2, AT5G53300.1, AT4G27960.1, AT2G16740.1, AT1G64230.2, AT1G64230.1, AT5G41700.2, AT5G41700.4, AT5G41700.5, AT5G41700.1	Ds_00002816-RA
OG0000120	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1	Ds_00011028-RA
OG0000120	AT5G06850.1	Ds_00011026-RA
OG0000120	AT4G11610.2, AT4G11610.1, AT4G11610.3	Ds_00015941-RA
OG0000121	AT5G04885.3, AT5G04885.1, AT5G04885.2	Ds_00007035-RA
OG0000122	ATCG00350.1	Ds_00007977-RA
OG0000122	ATCG00340.1	Ds_00016938-RA, Ds_00018075-RA
OG0000124	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1	Ds_00009554-RA, Ds_00015312-RA
OG0000125	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2	Ds_00004719-RA
OG0000125	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1	Ds_00006202-RA, Ds_00006911-RA
OG0000127	AT5G50790.1	Ds_00017651-RA
OG0000128	AT1G78950.2, AT1G78950.1, AT1G78955.5, AT1G78955.4, AT1G78955.2, AT1G78955.3, AT1G78955.1, AT1G66960.3, AT1G66960.4, AT1G66960.2, AT1G66960.1, AT1G78960.5, AT1G78960.2, AT1G78960.3, AT1G78960.1, AT1G78960.4, AT1G78970.2, AT1G78970.1, AT1G78970.3	Ds_00011307-RA, Ds_00008095-RA
OG0000129	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1	Ds_00014831-RA, Ds_00009085-RA
OG0000134	AT2G26560.1	Ds_00015753-RA, Ds_00003473-RA, Ds_00007908-RA
OG0000135	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2	Ds_00011844-RA
OG0000135	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1	Ds_00000458-RA, Ds_00012779-RA
OG0000135	AT2G07020.1, AT5G35380.1	Ds_00003378-RA, Ds_00002564-RA
OG0000136	AT5G62880.2, AT3G48040.2, AT5G62880.1, AT3G48040.1, AT5G45970.1	Ds_00012310-RA
OG0000136	AT1G20090.1, AT1G75840.1	Ds_00000277-RA
OG0000138	AT3G23635.1	Ds_00008401-RA
OG0000138	AT2G39705.1	Ds_00015264-RA
OG0000138	AT2G29125.1	Ds_00015496-RA
OG0000139	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1	Ds_00013858-RA, Ds_00013856-RA
OG0000142	AT1G61180.2, AT1G61310.1, AT1G61300.1, AT1G61300.2, AT1G61190.4, AT1G61190.1, AT1G61190.3, AT1G61190.2, AT1G61180.1, AT5G63020.1, AT1G12290.1, AT1G12290.2, AT1G12290.4, AT1G12290.3, AT1G12210.2, AT1G12210.3, AT1G12210.1, AT1G12280.1, AT1G12280.2, AT1G12220.3, AT1G12220.1, AT1G12220.2, AT4G10780.1, AT4G10780.2, AT1G63350.3, AT1G63360.1, AT1G63360.2, AT1G62630.1, AT1G63350.4, AT1G63350.2, AT1G63350.1	Ds_00016529-RA, Ds_00015657-RA, Ds_00017015-RA
OG0000143	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1	Ds_00017988-RA, Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA
OG0000144	AT1G60940.1, AT1G60940.2, AT1G10940.2, AT1G10940.1	Ds_00008018-RA
OG0000144	AT1G78290.3, AT1G78290.2	Ds_00008164-RA
OG0000144	AT4G40010.1	Ds_00010956-RA, Ds_00003597-RA
OG0000145	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2	Ds_00004600-RA
OG0000146	AT1G53540.1, AT3G46230.1, AT5G59720.1	Ds_00008350-RA
OG0000146	AT2G29500.1	Ds_00006085-RA
OG0000147	AT3G26440.4	Ds_00010706-RA
OG0000147	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3	Ds_00005844-RA
OG0000148	AT1G07530.1, AT2G29060.1, AT2G29060.2	Ds_00010086-RA
OG0000148	AT2G37650.1, AT2G37650.2	Ds_00010778-RA
OG0000149	AT4G31810.1	Ds_00012034-RA
OG0000149	AT2G30660.1, AT2G30660.2, AT2G30650.2, AT2G30650.1, AT5G65940.2, AT5G65940.3, AT5G65940.1, AT5G65940.4	Ds_00003858-RA
OG0000152	AT3G09480.1	Ds_00013693-RA
OG0000152	AT5G59910.1, AT3G45980.1, AT3G46030.1, AT2G28720.1	Ds_00007505-RA
OG0000153	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1	Ds_00010298-RA
OG0000153	AT5G47640.1, AT4G14540.1	Ds_00005175-RA
OG0000153	AT2G13570.1	Ds_00014432-RA
OG0000154	AT2G47170.1, AT2G47170.3, AT2G47170.2	Ds_00014448-RA
OG0000154	AT3G62290.2, AT3G62290.3, AT3G62290.1	Ds_00009433-RA, Ds_00003935-RA
OG0000155	AT3G62930.1, AT1G03020.1	Ds_00014910-RA, Ds_00004721-RA
OG0000156	AT4G37780.1	Ds_00000597-RA, Ds_00002488-RA
OG0000156	AT5G57620.1	Ds_00007972-RA
OG0000156	AT2G36890.1, AT2G36890.2	Ds_00003462-RA
OG0000157	AT3G42170.1, AT3G42170.2	Ds_00015738-RA, Ds_00009636-RA
OG0000159	AT5G54160.1	Ds_00004538-RA, Ds_00004525-RA, Ds_00004526-RA
OG0000160	AT1G42540.4, AT1G42540.1, AT1G42540.2	Ds_00007481-RA
OG0000160	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3	Ds_00013430-RA
OG0000162	AT1G66880.1, AT1G66880.2, AT1G66880.3, AT5G38210.3, AT5G38210.2, AT5G38210.1	Ds_00008464-RA
OG0000162	AT1G25390.2, AT1G25390.1	Ds_00005880-RA
OG0000163	AT1G54560.1, AT1G54560.2, AT1G08730.1, AT1G08730.2	Ds_00006949-RA
OG0000164	AT1G48410.2, AT1G48410.3, AT1G48410.1	Ds_00016899-RA, Ds_00000385-RA
OG0000164	AT2G27880.1	Ds_00001238-RA
OG0000164	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3	Ds_00007283-RA
OG0000167	AT4G09490.1	Ds_00008681-RA, Ds_00008627-RA, Ds_00007273-RA, Ds_00017743-RA, Ds_00002188-RA, Ds_00014960-RA, Ds_00014248-RA, Ds_00014101-RA, Ds_00015803-RA, Ds_00002846-RA, Ds_00017493-RA
OG0000168	AT3G43790.1, AT3G43790.3, AT3G43790.2, AT3G43790.5, AT3G43790.4	Ds_00010005-RA
OG0000168	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2	Ds_00006112-RA
OG0000169	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1	Ds_00004019-RA
OG0000169	AT1G56240.1, AT1G56250.1, AT1G09155.1	Ds_00003898-RA
OG0000170	AT2G29400.1, AT5G59160.3, AT5G59160.1, AT5G59160.2, AT3G46820.1	Ds_00015508-RA
OG0000170	AT4G11240.1, AT1G64040.1	Ds_00016912-RA
OG0000171	AT5G25810.1, AT5G11590.1	Ds_00014598-RA, Ds_00002404-RA, Ds_00000753-RA
OG0000172	AT3G08680.2, AT3G08680.1	Ds_00015990-RA, Ds_00014297-RA
OG0000173	AT3G29785.1	Ds_00002108-RA, Ds_00003719-RA, Ds_00005129-RA, Ds_00008498-RA, Ds_00018001-RA, Ds_00000349-RA, Ds_00010973-RA, Ds_00006728-RA, Ds_00007195-RA, Ds_00015053-RA, Ds_00008450-RA, Ds_00014042-RA, Ds_00017268-RA, Ds_00006674-RA, Ds_00012604-RA, Ds_00010484-RA, Ds_00004262-RA, Ds_00005822-RA, Ds_00012915-RA, Ds_00002664-RA, Ds_00008699-RA, Ds_00014236-RA, Ds_00009202-RA, Ds_00014804-RA, Ds_00016662-RA, Ds_00000810-RA, Ds_00002737-RA, Ds_00002119-RA, Ds_00010302-RA, Ds_00006631-RA, Ds_00011326-RA, Ds_00014873-RA, Ds_00007762-RA, Ds_00001725-RA, Ds_00017111-RA, Ds_00010972-RA, Ds_00009699-RA, Ds_00004167-RA, Ds_00013188-RA, Ds_00015054-RA, Ds_00016701-RA, Ds_00011153-RA, Ds_00009201-RA, Ds_00006681-RA, Ds_00010812-RA, Ds_00010301-RA, Ds_00017269-RA, Ds_00013137-RA, Ds_00017726-RA, Ds_00006692-RA, Ds_00008072-RA, Ds_00015957-RA, Ds_00008449-RA, Ds_00012098-RA, Ds_00010636-RA, Ds_00009266-RA, Ds_00010388-RA, Ds_00017431-RA, Ds_00001153-RA, Ds_00015628-RA, Ds_00013230-RA, Ds_00008700-RA, Ds_00017698-RA, Ds_00017217-RA, Ds_00016746-RA, Ds_00003689-RA, Ds_00017513-RA, Ds_00002665-RA, Ds_00008632-RA, Ds_00003688-RA, Ds_00014613-RA, Ds_00000348-RA, Ds_00014043-RA, Ds_00016468-RA, Ds_00004217-RA, Ds_00006630-RA
OG0000178	AT3G46730.1, AT3G46710.1, AT3G46530.1	Ds_00014079-RA
OG0000179	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1	Ds_00005952-RA
OG0000179	AT3G51370.3, AT3G51370.1, AT5G66080.1	Ds_00001438-RA, Ds_00013435-RA
