Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
OG0033559	Aqcoe2G366900.1.p											
OG0033560	Aqcoe2G207000.1.p											
OG0033561	Aqcoe2G290200.1.p											
OG0033562	Aqcoe2G031500.1.p											
OG0033563	Aqcoe2G149200.1.p											
OG0033564	Aqcoe2G138200.1.p											
OG0033565	Aqcoe2G149400.1.p											
OG0033566	Aqcoe2G194900.1.p											
OG0033567	Aqcoe2G414300.1.p											
OG0033568	Aqcoe2G073300.1.p											
OG0033569	Aqcoe2G076900.1.p											
OG0033570	Aqcoe2G192700.1.p											
OG0033571	Aqcoe2G113000.1.p											
OG0033572	Aqcoe2G181800.1.p											
OG0033573	Aqcoe2G393800.2.p											
OG0033574	Aqcoe2G222800.1.p											
OG0033575	Aqcoe2G122900.1.p											
OG0033576	Aqcoe2G383200.1.p											
OG0033577	Aqcoe2G323500.1.p											
OG0033578	Aqcoe2G388200.1.p											
OG0033579	Aqcoe2G411800.1.p											
OG0033580	Aqcoe2G025700.1.p											
OG0033581	Aqcoe2G157100.1.p											
OG0033582	Aqcoe2G255300.1.p											
OG0033583	Aqcoe2G197300.1.p											
OG0033584	Aqcoe2G360300.1.p											
OG0033585	Aqcoe2G326900.1.p											
OG0033586	Aqcoe2G265400.1.p											
OG0033587	Aqcoe2G300200.1.p											
OG0033588	Aqcoe2G319200.1.p											
OG0033589	Aqcoe2G051700.1.p											
OG0033590	Aqcoe2G053000.1.p											
OG0033591	Aqcoe2G412200.1.p											
OG0033592	Aqcoe2G098100.1.p											
OG0033593	Aqcoe2G313800.1.p											
OG0033594	Aqcoe2G173800.1.p											
OG0033595	Aqcoe2G177600.1.p											
OG0033596	Aqcoe2G088000.1.p											
OG0033597	Aqcoe2G225200.1.p											
OG0033598	Aqcoe2G125300.1.p											
OG0033599	Aqcoe2G148800.1.p											
OG0033600	Aqcoe2G270200.1.p											
OG0033601	Aqcoe2G205400.1.p											
OG0033602	Aqcoe2G426000.1.p											
OG0033603	Aqcoe2G171600.1.p											
OG0033604	Aqcoe2G373200.1.p											
OG0033605	Aqcoe2G320700.1.p											
OG0033606	Aqcoe2G366500.1.p											
OG0033607	Aqcoe2G115000.1.p											
OG0033608	Aqcoe2G177300.2.p											
OG0033609	Aqcoe2G015700.1.p											
OG0033610	Aqcoe2G251500.1.p											
OG0033611	Aqcoe2G178000.1.p											
OG0033612	Aqcoe2G387800.1.p											
OG0033613	Aqcoe2G368700.1.p											
OG0033614	Aqcoe2G249000.1.p											
OG0033615	Aqcoe2G201700.1.p											
OG0033616	Aqcoe2G370100.1.p											
OG0033617	Aqcoe2G197000.1.p											
OG0033618	Aqcoe2G137400.1.p											
OG0033619	Aqcoe2G361500.1.p											
OG0033620	Aqcoe2G043800.1.p											
OG0033621	Aqcoe2G394600.1.p											
OG0033622	Aqcoe2G343800.1.p											
OG0033623	Aqcoe2G025500.1.p											
OG0033624	Aqcoe2G121400.1.p											
OG0033625	Aqcoe2G058200.1.p											
OG0033626	Aqcoe2G343700.1.p											
OG0033627	Aqcoe2G107700.1.p											
OG0033628	Aqcoe2G130800.1.p											
OG0033629	Aqcoe2G395000.1.p											
OG0033630	Aqcoe2G318200.1.p											
OG0033631	Aqcoe2G194700.1.p											
OG0033632	Aqcoe2G417100.1.p											
OG0033633	Aqcoe2G314700.1.p											
OG0033634	Aqcoe2G387000.1.p											
OG0033635	Aqcoe2G028300.1.p											
OG0033636	Aqcoe2G414800.1.p											
OG0033637	Aqcoe2G214400.1.p											
OG0033638	Aqcoe2G235300.1.p											
OG0033639	Aqcoe2G027900.1.p											
OG0033640	Aqcoe2G320800.1.p											
OG0033641	Aqcoe2G035600.1.p											
OG0033642	Aqcoe2G035600.3.p											
OG0033643	Aqcoe2G035600.2.p											
OG0033644	Aqcoe2G224700.1.p											
OG0033645	Aqcoe2G228200.1.p											
OG0033646	Aqcoe2G072000.1.p											
OG0033647	Aqcoe2G095100.1.p											
OG0033648	Aqcoe2G252200.1.p											
OG0033649	Aqcoe2G422300.1.p											
OG0033650	Aqcoe2G224100.1.p											
OG0033651	Aqcoe2G246000.1.p											
OG0033652	Aqcoe2G266500.1.p											
OG0033653	Aqcoe2G037000.2.p											
OG0033654	Aqcoe2G406700.1.p											
OG0033655	Aqcoe2G104400.1.p											
OG0033656	Aqcoe2G173600.1.p											
OG0033657	Aqcoe2G344900.1.p											
OG0033658	Aqcoe2G324000.1.p											
OG0033659	Aqcoe2G228800.1.p											
OG0033660	Aqcoe2G160200.1.p											
OG0033661	Aqcoe2G074700.1.p											
OG0033662	Aqcoe2G098000.1.p											
OG0033663	Aqcoe2G230000.1.p											
OG0033664	Aqcoe2G422200.1.p											
OG0033665	Aqcoe2G174900.1.p											
OG0033666	Aqcoe2G179600.1.p											
OG0033667	Aqcoe2G196800.1.p											
OG0033668	Aqcoe2G357400.1.p											
OG0033669	Aqcoe2G017600.1.p											
OG0033670	Aqcoe2G254000.1.p											
OG0033671	Aqcoe2G009600.1.p											
OG0033672	Aqcoe2G275000.1.p											
OG0033673	Aqcoe2G166500.1.p											
OG0033674	Aqcoe2G022800.1.p											
OG0033675	Aqcoe2G237200.1.p											
OG0033676	Aqcoe2G181400.1.p											
OG0033677	Aqcoe2G092900.1.p											
OG0033678	Aqcoe2G328700.1.p											
OG0033679	Aqcoe2G245800.1.p											
OG0033680	Aqcoe2G292900.1.p											
OG0033681	Aqcoe2G197900.1.p											
OG0033682	Aqcoe2G138600.1.p											
OG0033683	Aqcoe2G408200.1.p											
OG0033684	Aqcoe2G179400.1.p											
OG0033685	Aqcoe2G213900.1.p											
OG0033686	Aqcoe2G351300.1.p											
OG0033687	Aqcoe2G151600.1.p											
OG0033688	Aqcoe2G030300.1.p											
OG0033689	Aqcoe2G266100.1.p											
OG0033690	Aqcoe2G420300.1.p											
OG0033691	Aqcoe2G178900.1.p											
OG0033692	Aqcoe2G050500.1.p											
OG0033693	Aqcoe2G428700.1.p											
OG0033694	Aqcoe2G374500.1.p											
OG0033695	Aqcoe2G147700.1.p											
OG0033696	Aqcoe2G154000.1.p											
OG0033697	Aqcoe2G046500.1.p											
OG0033698	Aqcoe2G088600.1.p											
OG0033699	Aqcoe2G106800.1.p											
OG0033700	Aqcoe2G079500.1.p											
OG0033701	Aqcoe2G125600.1.p											
OG0033702	Aqcoe2G138100.1.p											
OG0033703	Aqcoe2G121800.1.p											
OG0033704	Aqcoe2G389900.1.p											
OG0033705	Aqcoe2G124900.1.p											
OG0033706	Aqcoe2G049300.1.p											
OG0033707	Aqcoe2G273500.2.p											
OG0033708	Aqcoe2G312500.1.p											
OG0033709	Aqcoe2G082200.1.p											
OG0033710	Aqcoe2G272100.1.p											
OG0033711	Aqcoe2G245200.1.p											
OG0033712	Aqcoe2G286300.1.p											
OG0033713	Aqcoe2G255700.1.p											
OG0033714	Aqcoe2G048500.2.p											
OG0033715	Aqcoe2G313600.1.p											
OG0033716	Aqcoe2G082800.1.p											
OG0033717	Aqcoe2G199000.1.p											
OG0033718	Aqcoe2G249900.1.p											
OG0033719	Aqcoe2G332600.1.p											
OG0033720	Aqcoe2G254300.1.p											
OG0033721	Aqcoe2G369300.1.p											
OG0033722	Aqcoe2G198000.1.p											
OG0033723	Aqcoe2G161000.1.p											
OG0033724	Aqcoe2G274400.1.p											
OG0033725	Aqcoe2G166600.1.p											
OG0033726	Aqcoe2G046100.1.p											
OG0033727	Aqcoe2G104500.1.p											
OG0033728	Aqcoe2G412100.1.p											
OG0033729	Aqcoe2G237300.1.p											
OG0033730	Aqcoe2G243500.1.p											
OG0033731	Aqcoe2G280400.1.p											
OG0033732	Aqcoe2G353400.1.p											
OG0033733	Aqcoe2G053400.1.p											
OG0033734	Aqcoe2G218400.1.p											
OG0033735	Aqcoe2G417400.1.p											
OG0033736	Aqcoe2G364500.1.p											
OG0033737	Aqcoe2G407900.1.p											
OG0033738	Aqcoe2G183900.1.p											
OG0033739	Aqcoe2G227300.3.p											
OG0033740	Aqcoe2G009700.1.p											
OG0033741	Aqcoe2G072600.1.p											
OG0033742	Aqcoe2G321000.1.p											
OG0033743	Aqcoe2G141100.1.p											
OG0033744	Aqcoe2G220200.1.p											
OG0033745	Aqcoe2G416300.1.p											
OG0033746	Aqcoe2G020800.1.p											
OG0033747	Aqcoe2G026300.1.p											
OG0033748	Aqcoe2G289600.1.p											
OG0033749	Aqcoe2G011600.1.p											
OG0033750	Aqcoe2G223700.1.p											
OG0033751	Aqcoe2G010700.1.p											
OG0033752	Aqcoe2G314100.1.p											
OG0033753	Aqcoe2G410500.1.p											
OG0033754	Aqcoe2G193000.1.p											
OG0033755	Aqcoe2G008500.3.p											
OG0033756	Aqcoe2G183400.1.p											
OG0033757	Aqcoe2G295900.1.p											
OG0033758	Aqcoe2G217500.1.p											
OG0033759	Aqcoe2G199200.1.p											
OG0033760	Aqcoe2G102200.1.p											
OG0033761	Aqcoe2G236000.1.p											
OG0033762	Aqcoe2G363200.1.p											
OG0033763	Aqcoe2G196000.1.p											
OG0033764	Aqcoe2G120100.1.p											
OG0033765	Aqcoe2G018000.1.p											
OG0033766	Aqcoe2G158300.1.p											
OG0033767	Aqcoe2G198400.1.p											
OG0033768	Aqcoe2G211100.1.p											
OG0033769	Aqcoe2G418900.1.p											
OG0033770	Aqcoe2G093800.1.p											
OG0033771	Aqcoe2G211000.1.p											
OG0033772	Aqcoe2G197800.1.p											
OG0033773	Aqcoe2G126500.1.p											
OG0033774	Aqcoe2G080200.1.p											
OG0033775	Aqcoe2G369100.1.p											
OG0033776	Aqcoe2G165000.1.p											
OG0033777	Aqcoe2G087200.1.p											
OG0033778	Aqcoe2G095000.1.p											
OG0033779	Aqcoe2G044100.1.p											
OG0033780	Aqcoe2G333800.1.p											
OG0033781	Aqcoe2G395200.1.p											
OG0033782	Aqcoe2G016800.1.p											
OG0033783	Aqcoe2G129600.1.p											
OG0033784	Aqcoe2G152800.2.p											
OG0033785	Aqcoe2G243200.1.p											
OG0033786	Aqcoe2G431700.1.p											
OG0033787	Aqcoe2G169900.1.p											
OG0033788	Aqcoe2G039000.1.p											
OG0033789	Aqcoe2G256000.1.p											
OG0033790	Aqcoe2G019600.1.p											
OG0033791	Aqcoe2G319600.1.p											
OG0033792	Aqcoe2G143100.1.p											
OG0033793	Aqcoe2G269200.1.p											
OG0033794	Aqcoe2G211400.1.p											
OG0033795	Aqcoe2G309200.1.p											
OG0033796	Aqcoe2G257700.1.p											
OG0033797	Aqcoe2G270500.1.p											
OG0033798	Aqcoe2G314500.1.p											
OG0033799	Aqcoe2G213300.1.p											
OG0033800	Aqcoe2G130600.1.p											
OG0033801	Aqcoe2G226400.1.p											
OG0033802	Aqcoe2G093900.1.p											
OG0033803	Aqcoe2G325200.1.p											
OG0033804	Aqcoe2G134400.1.p											
OG0033805	Aqcoe2G305400.1.p											
OG0033806	Aqcoe2G394400.1.p											
OG0033807	Aqcoe2G148300.1.p											
OG0033808	Aqcoe2G123100.1.p											
OG0033809	Aqcoe2G149100.1.p											
OG0033810	Aqcoe2G281300.1.p											
OG0033811	Aqcoe2G225400.1.p											
OG0033812	Aqcoe2G255400.1.p											
OG0033813	Aqcoe2G094300.1.p											
OG0033814	Aqcoe2G003400.1.p											
OG0033815	Aqcoe2G347600.1.p											
OG0033816	Aqcoe2G226500.1.p											
OG0033817	Aqcoe2G341100.1.p											
OG0033818	Aqcoe2G212300.1.p											
OG0033819	Aqcoe2G002800.1.p											
OG0033820	Aqcoe2G379600.1.p											
OG0033821	Aqcoe2G366300.1.p											
OG0033822	Aqcoe2G201500.1.p											
OG0033823	Aqcoe2G082700.1.p											
OG0033824	Aqcoe2G097900.1.p											
OG0033825	Aqcoe2G061500.1.p											
OG0033826	Aqcoe2G435200.1.p											
OG0033827	Aqcoe2G418300.1.p											
OG0033828	Aqcoe2G373600.1.p											
OG0033829	Aqcoe2G001500.1.p											
OG0033830	Aqcoe2G406100.1.p											
OG0033831	Aqcoe2G046900.1.p											
OG0033832	Aqcoe2G172500.1.p											
OG0033833	Aqcoe2G340200.1.p											
OG0033834	Aqcoe2G295000.1.p											
OG0033835	Aqcoe2G097700.1.p											
OG0033836	Aqcoe2G435300.1.p											
OG0033837	Aqcoe2G148200.1.p											
OG0033838	Aqcoe2G208800.1.p											
OG0033839	Aqcoe2G180600.1.p											
OG0033840	Aqcoe2G121900.1.p											
OG0033841	Aqcoe2G410300.1.p											
OG0033842	Aqcoe2G086200.1.p											
OG0033843	Aqcoe2G156600.1.p											
OG0033844	Aqcoe2G073700.1.p											
OG0033845	Aqcoe2G006100.1.p											
OG0033846	Aqcoe2G229700.1.p											
OG0033847	Aqcoe2G126600.1.p											
OG0033848	Aqcoe2G073500.1.p											
OG0033849	Aqcoe2G173000.1.p											
OG0033850	Aqcoe2G090800.1.p											
OG0033851	Aqcoe2G091200.1.p											
OG0033852	Aqcoe2G108300.1.p											
OG0033853	Aqcoe2G130700.1.p											
OG0033854	Aqcoe2G289300.1.p											
OG0033855	Aqcoe2G103200.1.p											
OG0033856	Aqcoe2G306600.1.p											
OG0033857	Aqcoe2G167800.1.p											
OG0033858	Aqcoe2G144700.1.p											
OG0033859	Aqcoe2G218900.1.p											
OG0033860	Aqcoe2G069800.1.p											
OG0033861	Aqcoe2G424400.1.p											
OG0033862	Aqcoe2G434100.1.p											
OG0033863	Aqcoe2G127200.1.p											
OG0033864	Aqcoe2G395600.1.p											
OG0033865	Aqcoe2G383100.1.p											
OG0033866	Aqcoe2G106000.1.p											
OG0033867	Aqcoe2G174600.1.p											
OG0033868	Aqcoe2G298000.1.p											
OG0033869	Aqcoe2G250600.1.p											
OG0033870	Aqcoe2G034700.1.p											
OG0033871	Aqcoe2G240400.1.p											
OG0033872	Aqcoe2G086600.1.p											
OG0033873	Aqcoe2G380900.1.p											
OG0033874	Aqcoe2G162500.1.p											
OG0033875	Aqcoe2G202000.1.p											
OG0033876	Aqcoe2G171500.1.p											
OG0033877	Aqcoe2G367400.1.p											
OG0033878	Aqcoe2G384800.1.p											
OG0033879	Aqcoe2G187600.1.p											
OG0033880	Aqcoe2G290600.1.p											
OG0033881	Aqcoe2G282300.1.p											
OG0033882	Aqcoe2G337400.2.p											
OG0033883	Aqcoe2G269300.1.p											
OG0033884	Aqcoe2G197100.1.p											
OG0033885	Aqcoe2G169300.1.p											
OG0033886	Aqcoe2G204500.1.p											
OG0033887	Aqcoe2G342000.1.p											
OG0033888	Aqcoe2G114900.2.p											
OG0033889	Aqcoe2G253400.1.p											
OG0033890	Aqcoe2G258700.1.p											
OG0033891	Aqcoe2G305000.1.p											
OG0033892	Aqcoe2G206600.1.p											
OG0033893	Aqcoe2G033400.1.p											
OG0033894	Aqcoe2G403100.1.p											
OG0033895	Aqcoe2G263700.1.p											
OG0033896	Aqcoe2G428800.1.p											
OG0033897	Aqcoe2G413700.1.p											
OG0033898	Aqcoe2G143200.1.p											
OG0033899	Aqcoe2G393300.1.p											
OG0033900	Aqcoe2G377400.1.p											
OG0033901	Aqcoe2G088800.1.p											
OG0033902	Aqcoe2G316000.1.p											
OG0033903	Aqcoe2G395700.1.p											
OG0033904	Aqcoe2G142200.1.p											
OG0033905	Aqcoe2G416800.1.p											
OG0033906	Aqcoe2G391200.6.p											
OG0033907	Aqcoe2G077100.1.p											
OG0033908	Aqcoe2G115900.1.p											
OG0033909	Aqcoe2G240000.1.p											
OG0033910	Aqcoe2G254700.1.p											
OG0033911	Aqcoe2G152100.1.p											
OG0033912	Aqcoe2G222300.1.p											
OG0033913	Aqcoe2G032900.1.p											
OG0033914	Aqcoe2G096000.1.p											
OG0033915	Aqcoe2G183500.1.p											
OG0033916	Aqcoe2G111000.2.p											
OG0033917	Aqcoe2G357800.1.p											
OG0033918	Aqcoe2G184700.1.p											
OG0033919	Aqcoe2G035300.1.p											
OG0033920	Aqcoe2G058500.1.p											
OG0033921	Aqcoe2G304600.1.p											
OG0033922	Aqcoe2G065200.1.p											
OG0033923	Aqcoe2G291500.1.p											
OG0033924	Aqcoe2G206700.1.p											
OG0033925	Aqcoe2G422100.1.p											
OG0033926	Aqcoe2G276700.1.p											
OG0033927	Aqcoe2G043500.1.p											
OG0033928	Aqcoe2G156000.1.p											
OG0033929	Aqcoe2G117300.1.p											
OG0033930	Aqcoe2G286800.1.p											
OG0033931	Aqcoe2G235500.1.p											
OG0033932	Aqcoe2G044000.1.p											
OG0033933	Aqcoe2G421000.1.p											
OG0033934	Aqcoe2G289400.1.p											
OG0033935	Aqcoe2G281500.1.p											
OG0033936	Aqcoe2G132800.1.p											
OG0033937	Aqcoe2G184600.1.p											
OG0033938	Aqcoe2G099400.1.p											
OG0033939	Aqcoe2G220900.1.p											
OG0033940	Aqcoe2G054700.1.p											
OG0033941	Aqcoe2G269000.1.p											
OG0033942	Aqcoe2G407600.1.p											
OG0033943	Aqcoe2G030600.1.p											
OG0033944	Aqcoe2G221100.1.p											
OG0033945	Aqcoe2G116700.1.p											
OG0033946	Aqcoe2G368200.1.p											
OG0033947	Aqcoe2G194300.1.p											
OG0033948	Aqcoe2G105300.1.p											
OG0033949	Aqcoe2G057600.1.p											
OG0033950	Aqcoe2G380200.1.p											
OG0033951	Aqcoe2G397700.1.p											
OG0033952	Aqcoe2G124100.1.p											
OG0033953	Aqcoe2G268100.1.p											
OG0033954	Aqcoe2G246700.3.p											
OG0033955	Aqcoe2G407700.1.p											
OG0033956	Aqcoe2G324500.1.p											
OG0033957	Aqcoe2G085600.1.p											
OG0033958	Aqcoe2G027300.1.p											
OG0033959	Aqcoe2G006600.1.p											
OG0033960	Aqcoe2G176400.1.p											
OG0033961	Aqcoe2G095200.1.p											
OG0033962	Aqcoe2G123200.1.p											
OG0033963	Aqcoe2G437200.1.p											
OG0033964	Aqcoe2G069300.1.p											
OG0033965	Aqcoe2G004900.1.p											
OG0033966	Aqcoe2G267800.1.p											
OG0033967	Aqcoe2G055800.1.p											
OG0033968	Aqcoe2G001700.1.p											
OG0033969	Aqcoe2G261100.1.p											
OG0033970	Aqcoe2G381300.1.p											
OG0033971	Aqcoe2G193900.1.p											
OG0033972	Aqcoe2G220700.1.p											
OG0033973	Aqcoe2G307900.1.p											
OG0033974	Aqcoe2G196100.1.p											
OG0033975	Aqcoe2G334100.1.p											
OG0033976	Aqcoe2G065000.1.p											
OG0033977	Aqcoe2G257200.1.p											
OG0033978	Aqcoe2G092400.1.p											
OG0033979	Aqcoe2G106700.1.p											
OG0033980	Aqcoe2G390900.1.p											
OG0033981	Aqcoe2G108200.1.p											
OG0033982	Aqcoe2G294100.4.p											
OG0033983	Aqcoe2G309700.1.p											
OG0033984	Aqcoe2G096100.1.p											
OG0033985	Aqcoe2G143300.1.p											
OG0033986	Aqcoe2G075800.2.p											
OG0033987	Aqcoe2G215500.1.p											
OG0033988	Aqcoe2G324700.1.p											
OG0033989	Aqcoe2G247100.1.p											
OG0033990	Aqcoe2G139700.1.p											
OG0033991	Aqcoe2G293200.1.p											
OG0033992	Aqcoe2G198900.1.p											
OG0033993	Aqcoe2G249400.1.p											
OG0033994	Aqcoe2G226900.1.p											
OG0033995	Aqcoe2G351700.1.p											
OG0033996	Aqcoe2G117500.1.p											
OG0033997	Aqcoe2G083300.1.p											
OG0033998	Aqcoe2G073400.1.p											
OG0033999	Aqcoe2G199400.1.p											
OG0034000	Aqcoe2G145400.1.p											
OG0034001	Aqcoe2G406800.1.p											
OG0034002	Aqcoe2G136400.1.p											
OG0034003	Aqcoe2G137300.1.p											
OG0034004	Aqcoe2G370200.1.p											
OG0034005	Aqcoe2G054000.1.p											
OG0034006	Aqcoe2G125200.1.p											
OG0034007	Aqcoe2G044600.1.p											
OG0034008	Aqcoe2G096300.1.p											
OG0034009	Aqcoe2G282700.1.p											
OG0034010	Aqcoe2G126200.1.p											
OG0034011	Aqcoe2G309100.1.p											
OG0034012	Aqcoe2G235100.1.p											
OG0034013	Aqcoe2G411900.1.p											
OG0034014	Aqcoe2G246800.1.p											
OG0034015	Aqcoe2G097600.1.p											
OG0034016	Aqcoe2G385800.1.p											
OG0034017	Aqcoe2G317900.1.p											
OG0034018	Aqcoe2G152500.1.p											
OG0034019	Aqcoe2G112500.1.p											
OG0034020	Aqcoe2G053800.1.p											
OG0034021	Aqcoe2G367900.1.p											
OG0034022	Aqcoe2G249700.1.p											
OG0034023	Aqcoe2G192400.1.p											
OG0034024	Aqcoe2G098200.1.p											
OG0034025	Aqcoe2G328800.1.p											
OG0034026	Aqcoe2G120600.1.p											
OG0034027	Aqcoe2G126000.1.p											
OG0034028	Aqcoe2G072200.1.p											
OG0034029	Aqcoe2G149300.1.p											
OG0034030	Aqcoe2G357100.1.p											
OG0034031	Aqcoe2G146100.1.p											
OG0034032	Aqcoe2G212200.1.p											
OG0034033	Aqcoe2G144200.1.p											
OG0034034	Aqcoe2G110000.1.p											
OG0034035	Aqcoe2G204000.1.p											
OG0034036	Aqcoe2G366700.1.p											
OG0034037	Aqcoe2G170800.1.p											
OG0034038	Aqcoe2G192600.1.p											
OG0034039	Aqcoe2G372700.1.p											
OG0034040	Aqcoe2G243300.1.p											
OG0034041	Aqcoe2G365800.1.p											
OG0034042	Aqcoe2G412500.1.p											
OG0034043	Aqcoe2G323800.1.p											
OG0034044	Aqcoe2G130000.1.p											
OG0034045	Aqcoe2G175800.1.p											
OG0034046	Aqcoe2G160300.1.p											
OG0034047	Aqcoe2G230600.1.p											
OG0034048	Aqcoe2G145300.1.p											
OG0034049	Aqcoe2G288300.1.p											
OG0034050	Aqcoe2G194000.1.p											
OG0034051	Aqcoe2G151000.1.p											
OG0034052	Aqcoe2G122700.1.p											
OG0034053	Aqcoe2G124700.1.p											
OG0034054	Aqcoe2G239700.1.p											
OG0034055	Aqcoe2G207700.1.p											
OG0034056	Aqcoe2G005600.1.p											
OG0034057	Aqcoe2G184900.1.p											
OG0034058	Aqcoe2G109300.1.p											
OG0034059	Aqcoe2G181500.1.p											
OG0034060	Aqcoe2G364600.1.p											
OG0034061	Aqcoe2G063000.1.p											
OG0034062	Aqcoe2G037500.1.p											
OG0034063	Aqcoe2G212100.1.p											
OG0034064	Aqcoe2G174800.1.p											
OG0034065	Aqcoe2G266900.1.p											
OG0034066	Aqcoe2G367800.1.p											
OG0034067	Aqcoe2G254600.1.p											
OG0034068	Aqcoe2G359100.1.p											
OG0034069	Aqcoe2G264000.1.p											
OG0034070	Aqcoe2G312600.1.p											
OG0034071	Aqcoe2G276900.1.p											
OG0034072	Aqcoe2G173100.1.p											
OG0034073	Aqcoe2G081900.1.p											
OG0034074	Aqcoe2G163100.1.p											
OG0034075	Aqcoe2G249800.1.p											
OG0034076	Aqcoe2G000400.1.p											
OG0034077	Aqcoe2G146300.1.p											
OG0034078	Aqcoe2G086400.1.p											
OG0034079	Aqcoe2G112200.1.p											
OG0034080	Aqcoe1270s0001.1.p											
OG0034081	Aqcoe0242s0001.1.p											
OG0034082	Aqcoe0526s0002.1.p											
OG0034083	Aqcoe0895s0002.1.p											
OG0034084	Aqcoe0895s0001.1.p											
OG0034085	Aqcoe0014s0006.1.p											
OG0034086	Aqcoe0014s0002.1.p											
OG0034087	Aqcoe1155s0002.1.p											
OG0034088	Aqcoe0559s0002.1.p											
OG0034089	Aqcoe0559s0001.1.p											
OG0034090	Aqcoe6G283400.1.p											
OG0034091	Aqcoe6G083100.1.p											
OG0034092	Aqcoe6G184400.1.p											
OG0034093	Aqcoe6G200500.1.p											
OG0034094	Aqcoe6G162300.1.p											
OG0034095	Aqcoe6G279200.1.p											
OG0034096	Aqcoe6G268100.1.p											
OG0034097	Aqcoe6G287000.1.p											
OG0034098	Aqcoe6G260200.1.p											
OG0034099	Aqcoe6G042500.1.p											
OG0034100	Aqcoe6G088200.1.p											
OG0034101	Aqcoe6G319800.1.p											
OG0034102	Aqcoe6G280000.1.p											
OG0034103	Aqcoe6G188600.1.p											
OG0034104	Aqcoe6G199400.1.p											
OG0034105	Aqcoe6G239100.1.p											
OG0034106	Aqcoe6G080900.1.p											
OG0034107	Aqcoe6G241900.1.p											
OG0034108	Aqcoe6G135400.1.p											
OG0034109	Aqcoe6G151900.1.p											
OG0034110	Aqcoe6G067100.1.p											
OG0034111	Aqcoe6G212000.1.p											
OG0034112	Aqcoe6G252500.1.p											
OG0034113	Aqcoe6G029900.1.p											
OG0034114	Aqcoe6G313500.1.p											
OG0034115	Aqcoe6G260600.1.p											
OG0034116	Aqcoe6G053200.1.p											
OG0034117	Aqcoe6G192600.1.p											
OG0034118	Aqcoe6G265200.1.p											
OG0034119	Aqcoe6G213500.1.p											
OG0034120	Aqcoe6G245000.1.p											
OG0034121	Aqcoe6G099000.1.p											
OG0034122	Aqcoe6G199900.1.p											
OG0034123	Aqcoe6G208000.1.p											
OG0034124	Aqcoe6G149000.1.p											
OG0034125	Aqcoe6G268500.1.p											
OG0034126	Aqcoe6G106400.1.p											
OG0034127	Aqcoe6G216300.1.p											
OG0034128	Aqcoe6G059100.1.p											
OG0034129	Aqcoe6G109900.1.p											
OG0034130	Aqcoe6G326300.1.p											
OG0034131	Aqcoe6G087100.1.p											
OG0034132	Aqcoe6G190100.1.p											
OG0034133	Aqcoe6G106700.1.p											
OG0034134	Aqcoe6G173600.1.p											
OG0034135	Aqcoe6G325800.1.p											
OG0034136	Aqcoe6G144100.1.p											
OG0034137	Aqcoe6G012200.1.p											
OG0034138	Aqcoe6G089800.1.p											
