Orthogroup	A_vesiculosa.proteins	A_coerulea.proteins
OG0000024	Av_00004852-RA	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p
OG0000025	Av_00009754-RA	Aqcoe5G229000.1.p, Aqcoe5G228000.1.p
OG0000025	Av_00000980-RA, Av_00012375-RA, Av_00020768-RA, Av_00004540-RA, Av_00008813-RA, Av_00008810-RA, Av_00007185-RA, Av_00020767-RA	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA, Av_00011314-RA, Av_00014202-RA, Av_00009276-RA	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p
OG0000029	Av_00007061-RA, Av_00016651-RA, Av_00023395-RA	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p
OG0000031	Av_00023882-RA	Aqcoe6G125700.1.p, Aqcoe1G289600.1.p
OG0000031	Av_00004188-RA, Av_00015999-RA, Av_00023881-RA, Av_00019981-RA	Aqcoe1G289700.1.p
OG0000031	Av_00023880-RA	Aqcoe6G125600.1.p
OG0000032	Av_00017613-RA, Av_00005837-RA	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p
OG0000034	Av_00010139-RA	Aqcoe6G280300.1.p
OG0000034	Av_00014124-RA, Av_00014125-RA	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p
OG0000034	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p
OG0000035	Av_00016468-RA, Av_00017670-RA	Aqcoe4G047000.1.p
OG0000037	Av_00004452-RA, Av_00001047-RA, Av_00005925-RA	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p
OG0000038	Av_00017653-RA	Aqcoe4G234200.1.p, Aqcoe7G138400.1.p, Aqcoe3G139600.1.p
OG0000038	Av_00000257-RA	Aqcoe4G206500.1.p
OG0000040	Av_00004970-RA	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	Aqcoe6G223300.1.p
OG0000041	Av_00012197-RA, Av_00005774-RA, Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	Aqcoe3G017900.1.p
OG0000041	Av_00023746-RA, Av_00022768-RA	Aqcoe2G279000.1.p
OG0000041	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	Aqcoe7G114500.1.p
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	Aqcoe1G055500.1.p, Aqcoe1G055800.1.p, Aqcoe1G055800.2.p
OG0000042	Av_00019089-RA	Aqcoe3G112800.2.p
OG0000042	Av_00009478-RA, Av_00008427-RA	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p
OG0000043	Av_00014180-RA	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p
OG0000044	Av_00012555-RA, Av_00002870-RA	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p
OG0000044	Av_00002322-RA, Av_00009708-RA	Aqcoe2G353000.1.p
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	Aqcoe7G176700.1.p
OG0000046	Av_00002747-RA, Av_00016996-RA	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p
OG0000046	Av_00024073-RA, Av_00006807-RA	Aqcoe2G156400.1.p
OG0000047	Av_00021683-RA	Aqcoe6G058700.1.p
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA, Av_00024563-RA	Aqcoe7G259200.1.p
OG0000047	Av_00011225-RA, Av_00012908-RA	Aqcoe3G373700.1.p
OG0000047	Av_00005783-RA, Av_00024227-RA	Aqcoe3G065700.1.p
OG0000048	Av_00020140-RA	Aqcoe1G464400.1.p, Aqcoe1G464500.1.p, Aqcoe1G462000.1.p, Aqcoe1G415500.1.p, Aqcoe2G254500.1.p, Aqcoe1G405500.1.p, Aqcoe1G403400.1.p
OG0000048	Av_00010433-RA, Av_00019438-RA	Aqcoe1G403300.1.p, Aqcoe1G403100.1.p
OG0000050	Av_00009969-RA, Av_00012807-RA, Av_00021668-RA, Av_00018938-RA	Aqcoe4G238500.1.p
OG0000050	Av_00024445-RA	Aqcoe2G034000.1.p, Aqcoe4G097200.1.p
OG0000051	Av_00024209-RA, Av_00016836-RA, Av_00010341-RA, Av_00010819-RA, Av_00023769-RA, Av_00022660-RA, Av_00022295-RA, Av_00024730-RA, Av_00020935-RA, Av_00021508-RA, Av_00019977-RA, Av_00022692-RA, Av_00015433-RA, Av_00018095-RA, Av_00019264-RA, Av_00016879-RA, Av_00018177-RA, Av_00023994-RA, Av_00024247-RA, Av_00016050-RA, Av_00024412-RA, Av_00023308-RA, Av_00019467-RA, Av_00016835-RA, Av_00024987-RA, Av_00018964-RA, Av_00022045-RA, Av_00024556-RA, Av_00023895-RA, Av_00023135-RA, Av_00024604-RA, Av_00020761-RA, Av_00023615-RA, Av_00020673-RA, Av_00006645-RA, Av_00021719-RA, Av_00024214-RA, Av_00019596-RA, Av_00016049-RA, Av_00010376-RA, Av_00015400-RA	Aqcoe6G282400.1.p
OG0000055	Av_00002758-RA	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	Aqcoe5G081700.1.p
OG0000055	Av_00017818-RA	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p
OG0000055	Av_00024743-RA, Av_00019729-RA, Av_00008958-RA	Aqcoe1G276100.1.p
OG0000055	Av_00016413-RA, Av_00013445-RA	Aqcoe2G168000.1.p, Aqcoe2G168000.2.p, Aqcoe1G484000.1.p
OG0000058	Av_00008430-RA	Aqcoe7G095800.1.p, Aqcoe7G095800.2.p, Aqcoe1G094600.1.p, Aqcoe4G235100.1.p, Aqcoe1G125300.1.p, Aqcoe1G094800.1.p
OG0000058	Av_00002928-RA	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p
OG0000059	Av_00013645-RA	Aqcoe6G325200.1.p
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	Aqcoe4G036500.1.p
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA, Av_00002873-RA, Av_00024311-RA, Av_00023884-RA, Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	Aqcoe5G246400.1.p
OG0000070	Av_00000389-RA	Aqcoe5G246400.2.p
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA, Av_00006141-RA, Av_00020546-RA	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p
OG0000071	Av_00011182-RA, Av_00001686-RA	Aqcoe5G383300.1.p, Aqcoe3G135100.1.p
OG0000071	Av_00011924-RA	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	Aqcoe2G390800.1.p
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	Aqcoe5G006300.1.p
OG0000072	Av_00013714-RA, Av_00000367-RA	Aqcoe2G393100.1.p
OG0000072	Av_00011117-RA	Aqcoe1G063900.1.p, Aqcoe1G249200.1.p, Aqcoe1G021700.1.p, Aqcoe1G247500.1.p, Aqcoe1G022200.1.p
OG0000072	Av_00016563-RA, Av_00011359-RA, Av_00007236-RA	Aqcoe2G265300.1.p
OG0000075	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA, Av_00022830-RA	Aqcoe1G263600.1.p, Aqcoe7G254300.1.p, Aqcoe7G326500.1.p, Aqcoe4G142000.1.p, Aqcoe0192s0001.1.p, Aqcoe5G306000.1.p
OG0000077	Av_00007275-RA	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	Aqcoe5G089900.1.p, Aqcoe3G423900.1.p, Aqcoe4G122900.1.p, Aqcoe7G124700.1.p
OG0000078	Av_00008324-RA, Av_00008326-RA, Av_00008325-RA, Av_00008323-RA	Aqcoe3G318600.1.p, Aqcoe3G318700.1.p, Aqcoe3G295700.1.p
OG0000078	Av_00015019-RA	Aqcoe5G097200.1.p, Aqcoe2G156200.1.p, Aqcoe2G252100.1.p, Aqcoe4G127300.1.p, Aqcoe5G017600.1.p, Aqcoe2G131700.1.p, Aqcoe2G131600.1.p
OG0000079	Av_00009274-RA	Aqcoe4G238800.1.p
OG0000085	Av_00009790-RA, Av_00008760-RA	Aqcoe7G428500.1.p
OG0000085	Av_00005421-RA, Av_00002984-RA	Aqcoe2G069700.1.p
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	Aqcoe7G239100.1.p
OG0000085	Av_00018975-RA	Aqcoe1G060400.1.p, Aqcoe1G060400.2.p
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	Aqcoe1G041400.1.p, Aqcoe2G039200.1.p
OG0000087	Av_00020186-RA	Aqcoe6G024800.1.p
OG0000088	Av_00002335-RA, Av_00019465-RA	Aqcoe1G425600.1.p
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	Aqcoe7G202700.8.p, Aqcoe7G202700.9.p, Aqcoe7G202700.10.p, Aqcoe7G202700.4.p, Aqcoe7G202700.3.p, Aqcoe7G202700.5.p, Aqcoe7G202700.1.p, Aqcoe7G202700.2.p, Aqcoe3G215000.1.p, Aqcoe7G202900.1.p, Aqcoe7G202400.1.p, Aqcoe7G202400.2.p, Aqcoe7G202600.1.p, Aqcoe7G202600.2.p, Aqcoe1G185700.1.p
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA, Av_00007975-RA	Aqcoe7G202300.2.p, Aqcoe7G202300.1.p, Aqcoe7G202200.1.p
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	Aqcoe5G263600.3.p, Aqcoe5G263600.1.p, Aqcoe5G263600.2.p
OG0000090	Av_00014172-RA, Av_00010636-RA	Aqcoe5G076700.1.p, Aqcoe5G076700.2.p
OG0000091	Av_00024182-RA, Av_00022189-RA	Aqcoe1G208000.1.p
OG0000091	Av_00011058-RA, Av_00016851-RA	Aqcoe5G474700.1.p
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	Aqcoe6G159700.1.p, Aqcoe6G159600.1.p, Aqcoe6G232900.1.p, Aqcoe6G232700.1.p
OG0000092	Av_00005802-RA, Av_00005801-RA, Av_00002090-RA	Aqcoe4G221400.1.p, Aqcoe1G272600.1.p, Aqcoe1G317600.1.p, Aqcoe1G317400.1.p
OG0000093	Av_00020943-RA, Av_00012171-RA, Av_00010259-RA, Av_00009079-RA, Av_00009080-RA, Av_00024091-RA, Av_00008996-RA, Av_00019964-RA, Av_00006037-RA	Aqcoe7G301000.1.p, Aqcoe7G300700.1.p, Aqcoe0021s0001.1.p, Aqcoe7G295300.1.p, Aqcoe7G301400.1.p, Aqcoe7G300100.2.p, Aqcoe7G300100.1.p, Aqcoe7G300000.1.p
OG0000095	Av_00016560-RA, Av_00022745-RA, Av_00014819-RA, Av_00015892-RA, Av_00013399-RA	Aqcoe6G022200.2.p, Aqcoe6G022200.3.p, Aqcoe6G022200.4.p, Aqcoe6G022200.1.p, Aqcoe7G165300.4.p, Aqcoe7G165300.1.p, Aqcoe7G165300.3.p, Aqcoe7G165300.2.p, Aqcoe7G165300.5.p, Aqcoe7G165300.7.p, Aqcoe7G165300.6.p
OG0000096	Av_00015889-RA, Av_00006885-RA, Av_00009973-RA	Aqcoe4G273300.1.p, Aqcoe7G439300.1.p, Aqcoe4G135000.1.p, Aqcoe4G135100.1.p
OG0000098	Av_00009967-RA	Aqcoe5G210900.1.p
OG0000098	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA	Aqcoe1G173300.1.p, Aqcoe4G008100.1.p, Aqcoe3G411000.1.p
OG0000098	Av_00020806-RA, Av_00006102-RA	Aqcoe5G427300.1.p
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	Aqcoe3G000700.1.p, Aqcoe2G055200.1.p, Aqcoe2G055300.1.p
OG0000098	Av_00006162-RA, Av_00008431-RA	Aqcoe7G037100.1.p
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	Aqcoe1G090000.1.p
OG0000099	Av_00015329-RA, Av_00014232-RA	Aqcoe6G049600.1.p, Aqcoe6G049500.1.p, Aqcoe6G049400.1.p, Aqcoe6G049300.1.p
OG0000102	Av_00005016-RA, Av_00021401-RA, Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	Aqcoe1G229600.2.p, Aqcoe1G229600.1.p, Aqcoe1G229500.1.p, Aqcoe1G144900.1.p, Aqcoe2G016700.1.p, Aqcoe7G350300.1.p, Aqcoe2G016600.1.p
OG0000103	Av_00007835-RA, Av_00000217-RA	Aqcoe4G056500.3.p, Aqcoe4G056500.4.p, Aqcoe4G056500.1.p, Aqcoe4G056500.2.p
OG0000104	Av_00018015-RA	Aqcoe1G436200.1.p
OG0000104	Av_00015686-RA	Aqcoe1G436600.1.p
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA, Av_00003052-RA, Av_00015716-RA	Aqcoe4G304500.1.p, Aqcoe4G304500.2.p
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	Aqcoe2G131100.1.p, Aqcoe1G452500.2.p, Aqcoe1G452500.1.p
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	Aqcoe6G197100.1.p
OG0000107	Av_00000247-RA, Av_00006353-RA	Aqcoe3G024000.1.p, Aqcoe2G152900.1.p
OG0000107	Av_00007784-RA	Aqcoe2G153000.12.p, Aqcoe2G153000.13.p, Aqcoe2G153000.5.p, Aqcoe2G153000.3.p, Aqcoe2G153000.1.p, Aqcoe2G153000.8.p, Aqcoe2G153000.6.p, Aqcoe2G153000.2.p, Aqcoe2G153000.4.p, Aqcoe2G153000.7.p, Aqcoe2G153000.10.p, Aqcoe2G153000.11.p, Aqcoe2G153000.9.p, Aqcoe3G024100.2.p, Aqcoe3G024100.8.p, Aqcoe3G024100.3.p, Aqcoe3G024100.5.p, Aqcoe3G024100.1.p, Aqcoe3G024100.7.p, Aqcoe3G024100.6.p, Aqcoe3G024100.9.p, Aqcoe3G024100.4.p
OG0000108	Av_00010829-RA, Av_00005367-RA	Aqcoe2G248100.2.p, Aqcoe2G248100.1.p, Aqcoe2G248100.3.p, Aqcoe2G248100.4.p, Aqcoe4G098900.1.p, Aqcoe1G248700.2.p, Aqcoe1G248700.3.p, Aqcoe1G248700.1.p, Aqcoe1G248900.1.p, Aqcoe1G248900.2.p, Aqcoe2G248000.1.p, Aqcoe4G162600.1.p, Aqcoe4G162600.2.p, Aqcoe1G107000.1.p
OG0000108	Av_00003730-RA	Aqcoe4G017400.3.p, Aqcoe4G017400.2.p, Aqcoe4G017400.1.p, Aqcoe4G017300.1.p
OG0000109	Av_00018758-RA, Av_00008820-RA	Aqcoe6G247900.1.p, Aqcoe6G247900.2.p
OG0000109	Av_00021187-RA, Av_00001943-RA, Av_00011101-RA, Av_00009901-RA	Aqcoe5G178000.1.p, Aqcoe5G178000.2.p
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	Aqcoe4G301500.1.p, Aqcoe7G225300.1.p, Aqcoe3G207100.1.p
OG0000112	Av_00018535-RA	Aqcoe7G228500.1.p
OG0000112	Av_00022329-RA	Aqcoe4G200100.1.p
OG0000112	Av_00022328-RA	Aqcoe2G195100.1.p, Aqcoe2G190800.1.p
OG0000113	Av_00023507-RA	Aqcoe6G315000.1.p
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	Aqcoe5G161300.1.p
OG0000114	Av_00003668-RA, Av_00015326-RA	Aqcoe1G244900.2.p, Aqcoe1G244900.5.p, Aqcoe1G244900.1.p, Aqcoe1G244900.3.p, Aqcoe1G244900.4.p, Aqcoe1G272500.1.p, Aqcoe1G272500.3.p, Aqcoe1G272500.2.p, Aqcoe4G031600.1.p, Aqcoe4G031600.2.p, Aqcoe4G031600.3.p, Aqcoe1G245000.3.p, Aqcoe1G245000.4.p, Aqcoe1G245000.2.p, Aqcoe1G245000.1.p
OG0000115	Av_00020146-RA	Aqcoe5G137100.1.p, Aqcoe5G137500.1.p, Aqcoe5G136900.1.p, Aqcoe5G137000.1.p, Aqcoe5G136700.1.p, Aqcoe5G137300.1.p, Aqcoe5G137400.1.p
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	Aqcoe7G324500.1.p
OG0000118	Av_00017992-RA, Av_00017242-RA	Aqcoe7G258200.1.p
OG0000119	Av_00005945-RA	Aqcoe5G401000.1.p, Aqcoe2G359600.1.p, Aqcoe4G152700.1.p, Aqcoe4G139900.1.p, Aqcoe4G140200.1.p, Aqcoe2G358000.1.p, Aqcoe2G358100.1.p, Aqcoe2G357900.1.p, Aqcoe4G278600.1.p
OG0000120	Av_00014461-RA, Av_00022346-RA	Aqcoe2G011200.1.p, Aqcoe1G018900.1.p
OG0000120	Av_00021880-RA	Aqcoe1G020800.1.p, Aqcoe1G020800.2.p
OG0000120	Av_00022290-RA	Aqcoe2G011900.5.p, Aqcoe2G011900.3.p, Aqcoe2G011900.4.p, Aqcoe2G011900.6.p, Aqcoe2G011900.2.p, Aqcoe2G011900.1.p
OG0000120	Av_00020803-RA	Aqcoe7G036400.1.p
OG0000121	Av_00021066-RA, Av_00001370-RA, Av_00015288-RA	Aqcoe1G068600.1.p
OG0000121	Av_00013289-RA	Aqcoe1G069000.4.p, Aqcoe1G069000.1.p, Aqcoe1G069000.2.p, Aqcoe1G069000.5.p, Aqcoe1G069000.6.p, Aqcoe1G069000.7.p, Aqcoe1G069000.3.p, Aqcoe1G068800.1.p, Aqcoe1G069100.1.p
OG0000122	Av_00015184-RA	Aqcoe2G193600.1.p, Aqcoe2G187900.1.p
OG0000122	Av_00024977-RA	Aqcoe7G230600.1.p
OG0000122	Av_00022651-RA	Aqcoe5G272900.1.p
OG0000122	Av_00015420-RA	Aqcoe2G146000.1.p
OG0000123	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA	Aqcoe2G387500.1.p, Aqcoe2G118400.1.p, Aqcoe3G357100.1.p
OG0000124	Av_00010170-RA	Aqcoe6G146500.2.p, Aqcoe6G146500.1.p, Aqcoe4G288300.1.p, Aqcoe6G145700.1.p, Aqcoe6G146400.1.p, Aqcoe6G152400.1.p
OG0000125	Av_00006820-RA	Aqcoe2G321200.1.p
OG0000125	Av_00020356-RA	Aqcoe2G321300.1.p
OG0000126	Av_00024260-RA	Aqcoe3G408100.1.p, Aqcoe2G141300.1.p, Aqcoe7G251000.1.p
OG0000127	Av_00014440-RA, Av_00001249-RA, Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	Aqcoe2G313000.1.p
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	Aqcoe3G159400.1.p, Aqcoe5G345400.2.p, Aqcoe5G345400.1.p
