Orthogroup	A_vesiculosa.proteins	G_max.proteins
OG0000022	Av_00010967-RA	GmISU01.08G098000.1.p
OG0000023	Av_00004265-RA	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p
OG0000025	Av_00009754-RA	GmISU01.04G006500.1.p, GmISU01.06G006000.1.p, GmISU01.04G006600.1.p, GmISU01.06G006100.1.p
OG0000025	Av_00000980-RA, Av_00012375-RA	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p
OG0000025	Av_00020768-RA, Av_00004540-RA	GmISU01.06G005700.1.p
OG0000025	Av_00008813-RA	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA	GmISU01.09G114900.1.p
OG0000031	Av_00023882-RA	GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p
OG0000031	Av_00004188-RA, Av_00015999-RA, Av_00023881-RA, Av_00019981-RA	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p
OG0000031	Av_00023880-RA	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000032	Av_00017613-RA, Av_00005837-RA	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p
OG0000034	Av_00010139-RA	GmISU01.20G104100.1.p
OG0000034	Av_00014124-RA, Av_00014125-RA	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000034	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p
OG0000037	Av_00004452-RA, Av_00001047-RA	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p
OG0000037	Av_00005925-RA	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p
OG0000038	Av_00017653-RA	GmISU01.04G152300.1.p
OG0000038	Av_00000257-RA, Av_00001694-RA	GmISU01.05G039200.1.p
OG0000040	Av_00004970-RA	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	Av_00012197-RA, Av_00005774-RA	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p
OG0000041	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	GmISU01.20G011000.1.p, GmISU01.07G183700.1.p
OG0000041	Av_00000583-RA, Av_00019204-RA	GmISU01.03G207400.1.p, GmISU01.19G208400.1.p, GmISU01.10G133300.1.p
OG0000041	Av_00023746-RA, Av_00022768-RA	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p, GmISU01.19G063300.1.p
OG0000041	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p
OG0000042	Av_00019089-RA	GmISU01.12G054200.1.p
OG0000042	Av_00009478-RA, Av_00008427-RA	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	Av_00014180-RA	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	Av_00012555-RA, Av_00002870-RA	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p
OG0000044	Av_00002322-RA, Av_00009708-RA	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	Av_00004429-RA, Av_00012280-RA	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	Av_00002747-RA, Av_00016996-RA	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p
OG0000046	Av_00009129-RA, Av_00005749-RA	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p
OG0000047	Av_00021683-RA	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
OG0000047	Av_00021866-RA	GmISU01.04G117050.1.p
OG0000048	Av_00005053-RA, Av_00010310-RA	GmISU01.09G230100.1.p, GmISU01.18G162600.1.p
OG0000050	Av_00009969-RA, Av_00012807-RA, Av_00021668-RA, Av_00018938-RA, Av_00002378-RA, Av_00018370-RA, Av_00024445-RA	GmISU01.15G184350.1.p
OG0000051	Av_00024209-RA, Av_00016836-RA, Av_00010341-RA, Av_00010819-RA, Av_00023769-RA, Av_00022660-RA, Av_00022295-RA, Av_00024730-RA, Av_00020935-RA, Av_00021508-RA, Av_00019977-RA, Av_00022692-RA, Av_00015433-RA, Av_00018095-RA, Av_00019264-RA, Av_00016879-RA, Av_00018177-RA, Av_00023994-RA, Av_00024247-RA, Av_00016050-RA, Av_00024412-RA, Av_00023308-RA, Av_00019467-RA, Av_00016835-RA, Av_00024987-RA, Av_00018964-RA, Av_00022045-RA, Av_00024556-RA, Av_00023895-RA, Av_00023135-RA, Av_00024604-RA, Av_00020761-RA, Av_00023615-RA, Av_00020673-RA, Av_00006645-RA, Av_00021719-RA, Av_00024214-RA, Av_00019596-RA, Av_00016049-RA, Av_00010376-RA, Av_00015400-RA	GmISU01.20G155800.1.p
OG0000055	Av_00002758-RA	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p
OG0000055	Av_00017818-RA	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p
OG0000055	Av_00024743-RA, Av_00019729-RA	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p
OG0000055	Av_00016413-RA, Av_00013445-RA	GmISU01.19G141500.1.p, GmISU01.03G138500.1.p, GmISU01.10G044300.1.p, GmISU01.13G108000.1.p, GmISU01.11G133000.1.p, GmISU01.12G067000.1.p
OG0000058	Av_00002928-RA	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p
OG0000059	Av_00013645-RA	GmISU01.14G128300.1.p
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p
OG0000063	Av_00005674-RA	GmISU01.14G049800.1.p
OG0000065	Av_00001967-RA	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p
OG0000067	Av_00002873-RA, Av_00024311-RA, Av_00023884-RA, Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA	GmISU01.03G139900.2.p, GmISU01.03G139900.7.p, GmISU01.19G143200.21.p, GmISU01.19G143200.20.p, GmISU01.19G143200.18.p, GmISU01.19G143200.14.p, GmISU01.19G143200.5.p, GmISU01.19G143200.17.p, GmISU01.19G143200.13.p, GmISU01.19G143200.7.p, GmISU01.19G143200.10.p, GmISU01.19G143200.8.p, GmISU01.19G143200.3.p, GmISU01.19G143200.6.p, GmISU01.19G143200.4.p, GmISU01.19G143200.1.p, GmISU01.19G143200.15.p, GmISU01.19G143200.11.p, GmISU01.19G143200.12.p, GmISU01.19G143200.16.p, GmISU01.19G143200.19.p, GmISU01.19G143200.2.p, GmISU01.19G143200.9.p, GmISU01.10G045800.13.p, GmISU01.10G045800.3.p, GmISU01.10G045800.14.p, GmISU01.10G045800.8.p, GmISU01.10G045800.5.p, GmISU01.10G045800.4.p, GmISU01.10G045800.2.p, GmISU01.13G109300.3.p, GmISU01.13G109300.4.p, GmISU01.13G109300.5.p, GmISU01.13G109300.2.p, GmISU01.13G109300.1.p, GmISU01.10G045800.10.p, GmISU01.10G045800.7.p, GmISU01.10G045800.6.p, GmISU01.10G045800.12.p, GmISU01.10G045800.1.p, GmISU01.10G045800.11.p
OG0000070	Av_00003740-RA	GmISU01.08G169400.1.p, GmISU01.08G169400.2.p, GmISU01.15G047200.4.p, GmISU01.15G047200.2.p, GmISU01.15G047200.1.p
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	GmISU01.05G159700.1.p, GmISU01.08G135800.1.p, GmISU01.06G137400.2.p, GmISU01.06G137400.1.p, GmISU01.06G137400.3.p, GmISU01.04G175300.4.p, GmISU01.04G175300.3.p, GmISU01.04G175300.2.p, GmISU01.04G175300.1.p
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	GmISU01.05G000900.2.p, GmISU01.19G000900.1.p, GmISU01.02G082600.1.p, GmISU01.18G233000.2.p, GmISU01.18G233000.1.p
OG0000071	Av_00011182-RA, Av_00001686-RA	GmISU01.05G040300.1.p, GmISU01.17G116400.1.p
OG0000071	Av_00021173-RA	GmISU01.13G117400.1.p, GmISU01.03G146400.1.p
OG0000071	Av_00011924-RA	GmISU01.10G235800.3.p, GmISU01.10G235800.1.p, GmISU01.20G080600.1.p, GmISU01.10G235800.4.p
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	GmISU01.20G053300.3.p, GmISU01.10G100300.1.p
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	GmISU01.18G131500.2.p
OG0000071	Av_00002646-RA, Av_00005357-RA	GmISU01.18G011300.1.p
OG0000072	Av_00013714-RA, Av_00000367-RA	GmISU01.18G014200.1.p
OG0000072	Av_00007010-RA	GmISU01.11G119900.1.p, GmISU01.15G030600.1.p, GmISU01.15G188900.1.p, GmISU01.13G301200.2.p, GmISU01.13G144700.1.p, GmISU01.05G159600.1.p, GmISU01.08G225500.1.p, GmISU01.05G159500.1.p, GmISU01.18G209200.1.p, GmISU01.07G171900.1.p, GmISU01.08G211300.1.p, GmISU01.12G050400.1.p
OG0000073	Av_00025085-RA, Av_00024865-RA, Av_00023889-RA, Av_00024854-RA, Av_00017819-RA, Av_00025060-RA, Av_00019657-RA, Av_00025098-RA, Av_00023706-RA, Av_00024625-RA, Av_00025117-RA, Av_00024856-RA, Av_00024965-RA, Av_00025011-RA, Av_00024566-RA, Av_00024850-RA, Av_00020639-RA, Av_00023891-RA, Av_00024670-RA, Av_00025020-RA, Av_00017209-RA, Av_00015297-RA, Av_00024293-RA, Av_00016834-RA, Av_00023004-RA, Av_00023479-RA, Av_00025099-RA, Av_00019845-RA, Av_00024980-RA, Av_00017464-RA, Av_00025019-RA, Av_00024417-RA, Av_00024641-RA, Av_00020433-RA, Av_00024603-RA, Av_00020876-RA, Av_00019763-RA, Av_00024766-RA, Av_00025012-RA, Av_00024816-RA, Av_00024387-RA, Av_00019313-RA, Av_00025045-RA, Av_00023480-RA, Av_00020624-RA, Av_00025102-RA, Av_00016874-RA, Av_00023976-RA, Av_00025093-RA, Av_00024703-RA, Av_00024912-RA, Av_00025047-RA, Av_00024849-RA, Av_00019955-RA, Av_00023763-RA, Av_00025056-RA, Av_00024806-RA, Av_00025118-RA, Av_00024677-RA, Av_00025050-RA, Av_00023307-RA, Av_00023785-RA, Av_00025076-RA, Av_00023478-RA, Av_00019099-RA, Av_00025103-RA, Av_00024475-RA, Av_00024565-RA, Av_00022693-RA, Av_00021114-RA, Av_00021327-RA, Av_00024863-RA, Av_00024829-RA, Av_00018048-RA, Av_00024926-RA, Av_00023319-RA, Av_00022662-RA, Av_00024668-RA, Av_00024477-RA, Av_00021555-RA, Av_00019944-RA, Av_00018093-RA, Av_00024855-RA, Av_00017325-RA, Av_00024805-RA, Av_00022373-RA, Av_00014794-RA, Av_00025046-RA, Av_00024749-RA, Av_00024985-RA, Av_00025084-RA, Av_00019024-RA, Av_00024645-RA, Av_00024815-RA, Av_00021336-RA, Av_00023269-RA, Av_00019495-RA, Av_00024886-RA, Av_00020623-RA, Av_00021157-RA, Av_00024660-RA, Av_00024478-RA, Av_00023503-RA, Av_00021446-RA, Av_00022663-RA, Av_00024690-RA, Av_00024890-RA, Av_00024595-RA, Av_00016833-RA, Av_00024876-RA, Av_00024128-RA, Av_00024669-RA, Av_00024961-RA, Av_00025010-RA, Av_00025061-RA, Av_00022841-RA, Av_00024888-RA, Av_00024596-RA, Av_00024852-RA, Av_00024873-RA, Av_00024580-RA, Av_00023892-RA, Av_00012050-RA, Av_00025082-RA, Av_00024969-RA, Av_00024875-RA	GmISU01.20G059450.1.p
OG0000075	Av_00024003-RA	GmISU01.20G183200.1.p
OG0000077	Av_00007275-RA	GmISU01.12G027800.1.p
