Orthogroup	A_vesiculosa.proteins	A_thaliana.proteins
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA, Av_00011314-RA, Av_00014202-RA, Av_00009276-RA	AT1G47890.1, AT1G45616.1
OG0000031	Av_00023880-RA	AT4G36470.1
OG0000032	Av_00017613-RA, Av_00005837-RA	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	Av_00010139-RA	AT4G23320.2, AT4G23320.1, AT4G23320.3
OG0000034	Av_00014124-RA, Av_00014125-RA	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	AT4G38830.1
OG0000037	Av_00005925-RA	AT3G25180.1, AT3G25180.2
OG0000040	Av_00004970-RA	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	Av_00023746-RA, Av_00022768-RA	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	AT3G13540.1
OG0000041	Av_00003291-RA	AT1G35515.1, AT4G09460.1
OG0000042	Av_00019089-RA	AT1G07440.2, AT2G29170.1
OG0000042	Av_00009478-RA, Av_00008427-RA	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	Av_00014180-RA	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	AT3G50700.1, AT5G66730.1
OG0000044	Av_00012555-RA, Av_00002870-RA	AT5G03150.1
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	Av_00002322-RA, Av_00009708-RA	AT4G02670.1, AT4G02670.2
OG0000046	Av_00004429-RA, Av_00012280-RA	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	AT3G24550.1, AT3G24540.1
OG0000046	Av_00002747-RA, Av_00016996-RA	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	Av_00009129-RA, Av_00005749-RA	AT5G38560.1
OG0000047	Av_00021683-RA	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA, Av_00024563-RA	AT2G34440.1, AT3G66656.1
OG0000047	Av_00015234-RA, Av_00010903-RA	AT5G62165.14
OG0000048	Av_00020140-RA	AT4G33355.2, AT4G33355.1
OG0000050	Av_00002378-RA	AT1G21280.1
OG0000055	Av_00002758-RA	AT5G13160.1
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	Av_00017818-RA	AT3G07070.1
OG0000055	Av_00024743-RA, Av_00019729-RA	AT3G20530.2, AT3G20530.1
OG0000055	Av_00008958-RA	AT1G61860.1
OG0000055	Av_00016413-RA, Av_00013445-RA	AT5G02800.1, AT1G07870.1, AT1G07870.2
OG0000058	Av_00008430-RA	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2
OG0000058	Av_00002928-RA	AT5G03620.2, AT5G03620.1
OG0000059	Av_00013645-RA	AT1G16090.1
OG0000065	Av_00001967-RA	AT3G09270.1
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	AT5G09810.1
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	AT3G12110.1
OG0000070	Av_00006141-RA, Av_00020546-RA	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1
OG0000071	Av_00011182-RA, Av_00001686-RA	AT5G63180.1, AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1
OG0000071	Av_00021173-RA	AT3G53190.1
OG0000071	Av_00011924-RA	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	AT4G13710.2, AT4G13710.1
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	Av_00002646-RA, Av_00005357-RA	AT1G67750.1
OG0000072	Av_00013714-RA, Av_00000367-RA	AT4G40030.4
OG0000072	Av_00011117-RA	AT5G10400.1, AT1G09200.1, AT5G10390.1, AT3G27360.1, AT5G65360.1
OG0000072	Av_00016563-RA, Av_00011359-RA, Av_00007236-RA	AT5G65350.1
OG0000075	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA	AT1G40390.1, AT1G43760.1
OG0000077	Av_00007275-RA	AT2G21100.1, AT2G21100.2
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	AT1G04645.1, AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1
OG0000078	Av_00015019-RA	AT4G16295.1, AT4G29035.1
OG0000085	Av_00009790-RA, Av_00008760-RA	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	Av_00021920-RA, Av_00004097-RA	AT1G72540.1
OG0000085	Av_00005421-RA, Av_00002984-RA	AT5G01020.1
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	AT2G07180.1, AT2G07180.2
OG0000085	Av_00018975-RA	AT5G56460.1
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000088	Av_00002335-RA, Av_00019465-RA	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	Av_00003725-RA	AT1G29720.1
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	AT1G15520.2, AT1G15520.1
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA, Av_00007975-RA	AT3G30842.1
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	AT5G63970.1, AT5G63970.2
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
OG0000091	Av_00024182-RA, Av_00022189-RA	AT4G14130.1, AT3G23730.1
OG0000091	Av_00004488-RA	AT4G30270.1, AT4G25810.1, AT5G57560.1, AT5G57550.1
OG0000095	Av_00016560-RA	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2
OG0000095	Av_00022745-RA, Av_00014819-RA	AT3G22170.1, AT3G22170.2
OG0000095	Av_00015892-RA, Av_00013399-RA	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	Av_00015889-RA	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1
OG0000096	Av_00006885-RA, Av_00009973-RA	AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1
OG0000098	Av_00009967-RA	AT1G20010.1, AT1G75780.1
OG0000098	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA	AT4G20890.1, AT5G44340.1
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	AT5G12250.1
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	AT5G23860.2, AT5G23860.1
OG0000099	Av_00015329-RA, Av_00014232-RA	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000102	Av_00021401-RA	AT2G22160.1
OG0000102	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	AT3G49340.1, AT2G27420.1
OG0000103	Av_00007835-RA, Av_00000217-RA	AT1G16670.1
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA	AT5G47750.1
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1
OG0000107	Av_00000247-RA, Av_00006353-RA	AT1G15080.1
OG0000107	Av_00007784-RA	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2
OG0000108	Av_00010829-RA, Av_00005367-RA	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3
OG0000108	Av_00003730-RA	AT5G46540.1, AT4G18050.1, AT4G18050.2
OG0000109	Av_00018758-RA, Av_00008820-RA	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1
OG0000109	Av_00021187-RA, Av_00001943-RA	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3
OG0000110	Av_00020501-RA, Av_00008377-RA	AT5G48100.1
OG0000110	Av_00008370-RA, Av_00008371-RA, Av_00011529-RA	AT5G09360.1
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	ATCG00860.1, ATCG01280.1
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	AT2G45180.1
OG0000114	Av_00003668-RA, Av_00015326-RA	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1
OG0000115	Av_00020146-RA	AT5G48350.1, AT3G62320.1
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	AT1G07660.1
OG0000118	Av_00017992-RA, Av_00017242-RA	AT3G08690.1, AT3G08690.2, AT5G56150.1
OG0000118	Av_00007265-RA	AT2G16740.1
OG0000118	Av_00013942-RA	AT5G41700.2, AT5G41700.4, AT5G41700.5, AT5G41700.1
OG0000120	Av_00014461-RA, Av_00022346-RA	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1
OG0000120	Av_00021880-RA	AT5G06850.1
OG0000120	Av_00020803-RA	AT4G11610.2, AT4G11610.1, AT4G11610.3
OG0000121	Av_00001370-RA	AT5G04885.3, AT5G04885.1, AT5G04885.2
OG0000121	Av_00013289-RA	AT5G20950.1, AT5G20950.2, AT5G20950.3, AT5G20940.1
OG0000122	Av_00015184-RA, Av_00024977-RA, Av_00014604-RA	ATCG00350.1
OG0000124	Av_00010170-RA	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1
OG0000125	Av_00006820-RA	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2
OG0000125	Av_00020356-RA, Av_00016779-RA	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1
OG0000127	Av_00014440-RA, Av_00001249-RA	AT2G39060.1
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	AT5G50790.1
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	AT5G11210.8, AT5G11210.6, AT5G11210.7, AT5G11210.3, AT5G11210.10, AT5G11210.2, AT5G11210.4, AT5G11210.5, AT5G11210.1, AT5G11210.9, AT5G11210.11, AT5G11180.1, AT5G11180.2, AT2G24720.1, AT2G24710.1, AT2G24710.3, AT2G24710.2, AT5G27100.1, AT4G31710.2, AT4G31710.1, AT2G29100.2, AT2G29100.1, AT2G29110.1, AT2G29110.2, AT2G29120.1
OG0000134	Av_00001044-RA, Av_00022546-RA, Av_00018234-RA	AT2G26560.1
OG0000135	Av_00023049-RA	AT5G12000.1, AT5G12000.2, AT5G26150.1, AT5G26150.2
OG0000135	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA	AT1G78940.1, AT1G78940.3, AT1G78940.2, AT1G16760.2, AT1G16760.1
OG0000135	Av_00017962-RA, Av_00001097-RA	AT2G07020.1, AT5G35380.1
OG0000136	Av_00023293-RA, Av_00020159-RA	AT1G20090.1, AT1G75840.1
OG0000136	Av_00023894-RA, Av_00014249-RA, Av_00022366-RA	AT3G51300.1, AT4G35950.1, AT2G17800.1, AT2G17800.2
OG0000138	Av_00011570-RA	AT1G13245.1, AT3G25717.1, AT1G68825.2, AT1G68825.1
OG0000138	Av_00005734-RA, Av_00017291-RA	AT2G39705.1
OG0000139	Av_00011998-RA, Av_00005008-RA, Av_00005715-RA	AT3G11340.1, AT5G05900.1, AT5G05880.1, AT5G05890.1, AT5G05870.1, AT5G05860.1
OG0000143	Av_00008537-RA, Av_00017945-RA, Av_00002008-RA	AT1G22370.2, AT1G22370.1, AT1G22380.1, AT1G22400.1, AT1G22360.2, AT1G22360.1, AT1G22340.1
OG0000144	Av_00016294-RA	AT5G63650.1, AT5G08590.1, AT5G08590.2
OG0000144	Av_00001844-RA	AT4G40010.1
OG0000145	Av_00008637-RA, Av_00011445-RA	AT2G24190.2, AT2G24190.1, AT3G61220.3, AT3G61220.2, AT3G61220.1, AT1G01800.1, AT1G01800.2
OG0000147	Av_00021851-RA	AT3G27470.3, AT3G27470.2, AT3G27470.5, AT3G27470.4, AT3G27470.1
OG0000147	Av_00019395-RA	AT3G26440.4
OG0000147	Av_00012705-RA, Av_00020525-RA	AT2G28310.3, AT2G28310.2, AT2G28310.1, AT1G08040.1, AT1G08040.2, AT1G08040.4, AT1G08040.3
OG0000148	Av_00022736-RA	AT3G46600.2, AT3G46600.3, AT3G46600.1, AT5G59450.1
OG0000148	Av_00019670-RA, Av_00006146-RA	AT1G07530.1, AT2G29060.1, AT2G29060.2
OG0000148	Av_00020556-RA, Av_00014073-RA	AT2G37650.1, AT2G37650.2
OG0000149	Av_00001613-RA	AT4G31810.1
OG0000152	Av_00023873-RA, Av_00012587-RA, Av_00015693-RA, Av_00005098-RA	AT3G09480.1
OG0000152	Av_00022456-RA	AT2G28720.1
OG0000153	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA	AT3G53340.4, AT3G53340.3, AT3G53340.2, AT2G37060.3, AT2G37060.1, AT2G37060.2, AT3G53340.5, AT3G53340.1
OG0000153	Av_00000144-RA	AT5G47640.1
OG0000153	Av_00001271-RA, Av_00015076-RA	AT2G13570.1
OG0000154	Av_00002672-RA	AT5G14670.1, AT5G14670.2, AT5G14670.3
OG0000155	Av_00001520-RA, Av_00013491-RA, Av_00024885-RA, Av_00001519-RA	AT3G62930.1, AT1G03020.1
OG0000156	Av_00007919-RA, Av_00006858-RA	AT4G37780.1
OG0000156	Av_00024913-RA	AT2G36890.1, AT2G36890.2
OG0000157	Av_00005838-RA, Av_00007384-RA, Av_00003795-RA, Av_00021642-RA	AT3G42170.1, AT3G42170.2
OG0000159	Av_00009492-RA	AT5G54160.1
OG0000160	Av_00007416-RA	AT1G42540.4, AT1G42540.1, AT1G42540.2
OG0000160	Av_00022355-RA, Av_00022827-RA	AT3G51480.4, AT3G51480.1, AT3G51480.2, AT3G51480.3
OG0000162	Av_00004972-RA	AT1G66880.1, AT1G66880.2, AT1G66880.3, AT5G38210.3, AT5G38210.2, AT5G38210.1
OG0000163	Av_00006762-RA, Av_00008041-RA	AT1G17580.1
OG0000163	Av_00020340-RA	AT1G54560.1, AT1G54560.2, AT1G08730.1, AT1G08730.2
OG0000164	Av_00009562-RA, Av_00022631-RA	AT1G48410.2, AT1G48410.3, AT1G48410.1
OG0000164	Av_00014947-RA	AT2G27880.1
OG0000164	Av_00009037-RA, Av_00021627-RA, Av_00018348-RA, Av_00005134-RA	AT5G43810.2, AT5G43810.4, AT5G43810.1, AT5G43810.3
OG0000168	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA	AT5G13740.1, AT5G13740.2, AT5G13750.3, AT5G13750.4, AT5G13750.1, AT5G13750.2
OG0000169	Av_00014436-RA, Av_00014435-RA, Av_00014437-RA, Av_00006958-RA	AT2G02250.1, AT2G02240.1, AT2G02300.1, AT2G02310.1, AT2G02360.1, AT2G02350.2, AT2G02350.1, AT2G02320.1, AT2G02340.1, AT2G02230.1, AT5G24560.1, AT1G80110.1
OG0000170	Av_00023969-RA	AT2G29400.1, AT5G59160.3, AT5G59160.1, AT5G59160.2, AT3G46820.1
OG0000170	Av_00005502-RA, Av_00024526-RA	AT4G11240.1, AT1G64040.1
OG0000171	Av_00010251-RA, Av_00010250-RA, Av_00010069-RA, Av_00004643-RA, Av_00024165-RA, Av_00022584-RA, Av_00004133-RA, Av_00008001-RA, Av_00006803-RA	AT5G25810.1, AT5G11590.1
OG0000171	Av_00010342-RA, Av_00014519-RA	AT2G35700.1, AT4G16750.1
OG0000171	Av_00023216-RA, Av_00010986-RA	AT3G60490.1
OG0000172	Av_00003826-RA, Av_00005047-RA, Av_00005416-RA, Av_00002975-RA, Av_00010320-RA, Av_00017991-RA	AT3G08680.2, AT3G08680.1
OG0000173	Av_00017532-RA, Av_00015909-RA, Av_00019958-RA, Av_00016476-RA, Av_00019368-RA	AT3G29785.1
OG0000179	Av_00013630-RA, Av_00008250-RA, Av_00008208-RA	AT3G55050.1, AT3G55050.2, AT3G12620.2, AT3G12620.1
OG0000179	Av_00020630-RA, Av_00014246-RA, Av_00011691-RA	AT3G51370.3, AT3G51370.1, AT5G66080.1
OG0000180	Av_00007137-RA, Av_00017139-RA, Av_00021970-RA	AT3G43190.1, AT3G43190.2, AT5G20830.2, AT5G20830.3, AT5G20830.1
OG0000180	Av_00002186-RA	AT4G02280.1, AT5G49190.1, AT5G49190.2, AT5G49190.3
OG0000181	Av_00008381-RA	AT1G21810.2, AT1G21810.1, AT1G21810.3
OG0000181	Av_00011782-RA	AT3G05270.2, AT3G05270.1, AT3G05270.3
OG0000182	Av_00013467-RA, Av_00013640-RA, Av_00023400-RA	AT2G37180.1, AT2G37170.1, AT2G37170.2, AT3G53420.2, AT3G53420.1, AT5G60660.1, AT3G54820.1, AT2G39010.1
OG0000182	Av_00004288-RA, Av_00009862-RA, Av_00011072-RA, Av_00018316-RA, Av_00007261-RA	AT2G39010.2
OG0000184	Av_00002027-RA, Av_00017044-RA	AT2G32830.1
OG0000184	Av_00012870-RA, Av_00012869-RA, Av_00012866-RA	AT5G43350.1, AT5G43370.2, AT5G43370.1, AT5G43360.1
OG0000185	Av_00020648-RA, Av_00000618-RA	AT4G14880.2, AT4G14880.3, AT4G14880.1, AT4G14880.4, AT4G14880.5, AT3G22460.1
OG0000185	Av_00020843-RA	AT2G43750.2, AT2G43750.1, AT3G59760.3
OG0000187	Av_00004735-RA	AT5G40960.1
OG0000187	Av_00020489-RA	AT3G27030.1
OG0000187	Av_00000886-RA	AT5G08391.1
OG0000188	Av_00008619-RA, Av_00014654-RA	AT1G01490.1, AT1G01490.2, AT1G01490.3, AT1G01490.4
OG0000189	Av_00008267-RA	AT5G40210.1, AT5G40240.2, AT5G40240.3, AT5G40240.1, AT5G40230.1, AT4G15540.1, AT4G15540.2, AT3G28050.1
OG0000191	Av_00021883-RA, Av_00021882-RA	AT5G06860.1, AT5G06870.1
OG0000192	Av_00010659-RA	AT1G65570.1
OG0000192	Av_00014755-RA	AT2G43860.1, AT2G43870.1, AT3G59850.2, AT3G59850.1
OG0000193	Av_00004616-RA	AT3G19690.1, AT2G14580.1, AT2G14610.1, AT4G33730.1
OG0000198	Av_00013347-RA	AT3G12580.1
OG0000199	Av_00003513-RA	AT3G22800.1
OG0000199	Av_00024249-RA	AT4G33970.1, AT2G15880.1
OG0000199	Av_00009032-RA, Av_00003777-RA, Av_00007403-RA, Av_00019446-RA	AT3G24480.1, AT4G13340.1
OG0000200	Av_00001956-RA	AT5G17730.1, AT5G17740.1, AT5G17760.1
OG0000201	Av_00006563-RA	AT1G65560.2, AT1G65560.1
OG0000203	Av_00014660-RA, Av_00008624-RA, Av_00000043-RA	AT2G45950.1, AT2G45950.3, AT2G45950.4, AT2G45950.2, AT2G45950.5, AT3G61415.1, AT3G61415.2
OG0000206	Av_00007012-RA, Av_00014917-RA, Av_00008149-RA	AT1G73730.2, AT1G73730.1
OG0000206	Av_00018524-RA, Av_00012695-RA, Av_00004740-RA, Av_00016933-RA	AT3G20770.1, AT2G27050.1
OG0000206	Av_00023641-RA	AT5G10120.1, AT5G65100.1
OG0000207	Av_00001416-RA	AT2G42430.1
OG0000207	Av_00012253-RA	AT3G03760.1
OG0000207	Av_00010915-RA, Av_00015240-RA	AT2G45420.1
OG0000207	Av_00000060-RA	AT2G45410.1, AT4G00210.1
OG0000208	Av_00015817-RA	AT3G14225.2, AT3G14225.1, AT1G53940.1, AT1G53940.2, AT5G40990.1, AT1G53990.1
OG0000211	Av_00003836-RA, Av_00005037-RA, Av_00021376-RA	AT2G40610.1
OG0000211	Av_00006413-RA, Av_00007555-RA, Av_00015516-RA, Av_00016968-RA	AT1G26770.2, AT1G26770.1, AT1G69530.2, AT1G69530.1, AT2G03090.1
OG0000212	Av_00009181-RA, Av_00022867-RA, Av_00001625-RA, Av_00012930-RA, Av_00009405-RA, Av_00002082-RA	AT4G25590.2, AT4G25590.1, AT5G52360.1
OG0000212	Av_00018708-RA, Av_00023788-RA	AT3G46000.3, AT3G46000.1
OG0000213	Av_00007469-RA, Av_00005967-RA	AT4G04460.1, AT4G04460.2, AT1G62290.1, AT1G62290.6, AT1G62290.4, AT1G62290.3, AT1G62290.5, AT1G62290.2, AT1G11910.2, AT1G11910.1
OG0000214	Av_00001794-RA	AT3G02100.1, AT1G78270.1
OG0000216	Av_00002521-RA, Av_00003068-RA	AT4G26700.5, AT4G26700.6, AT4G26700.3, AT4G26700.2, AT4G26700.1, AT4G26700.4, AT4G26700.7, AT5G55400.2, AT5G55400.1, AT5G55400.3
OG0000216	Av_00025005-RA, Av_00001398-RA	AT5G48460.1
