Orthogroup	A_vesiculosa.proteins	D_spatulata.proteins
OG0000075	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA, Av_00022830-RA	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA
OG0000075	Av_00024003-RA	Ds_00012460-RA, Ds_00010695-RA
OG0000077	Av_00007275-RA	Ds_00000030-RA, Ds_00000031-RA
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA
OG0000078	Av_00008324-RA, Av_00008326-RA, Av_00008325-RA, Av_00008323-RA	Ds_00006350-RA, Ds_00006352-RA, Ds_00006351-RA, Ds_00006353-RA, Ds_00010422-RA, Ds_00002738-RA, Ds_00002733-RA
OG0000078	Av_00015019-RA	Ds_00009717-RA
OG0000079	Av_00009274-RA	Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA
OG0000085	Av_00009790-RA, Av_00008760-RA	Ds_00013315-RA
OG0000085	Av_00021920-RA, Av_00004097-RA	Ds_00002345-RA
OG0000085	Av_00005421-RA, Av_00002984-RA	Ds_00006817-RA
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	Ds_00003374-RA
OG0000085	Av_00018975-RA	Ds_00013221-RA, Ds_00016552-RA
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	Ds_00000857-RA
OG0000087	Av_00020186-RA	Ds_00012134-RA, Ds_00012132-RA
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	Ds_00008978-RA
OG0000088	Av_00002335-RA, Av_00019465-RA	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	Av_00003725-RA	Ds_00011160-RA
OG0000089	Av_00023663-RA, Av_00018159-RA	Ds_00000919-RA
OG0000089	Av_00004150-RA	Ds_00000698-RA
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA	Ds_00014281-RA, Ds_00009910-RA
OG0000089	Av_00007975-RA	Ds_00000701-RA
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	Ds_00003959-RA
OG0000090	Av_00014172-RA, Av_00010636-RA	Ds_00004417-RA
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	Ds_00008033-RA, Ds_00010488-RA
OG0000091	Av_00024182-RA, Av_00022189-RA	Ds_00005720-RA, Ds_00012613-RA
OG0000091	Av_00011058-RA, Av_00016851-RA	Ds_00007917-RA
OG0000091	Av_00004488-RA	Ds_00009843-RA
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	Ds_00000663-RA
OG0000092	Av_00005802-RA	Ds_00013213-RA, Ds_00006795-RA
OG0000092	Av_00005801-RA	Ds_00014224-RA, Ds_00014213-RA
OG0000093	Av_00020943-RA	Ds_00017546-RA, Ds_00017926-RA
OG0000093	Av_00009079-RA, Av_00009080-RA	Ds_00007179-RA
OG0000093	Av_00024091-RA	Ds_00017547-RA, Ds_00017551-RA
OG0000093	Av_00008996-RA	Ds_00015265-RA
OG0000093	Av_00019964-RA	Ds_00017793-RA
OG0000093	Av_00006037-RA	Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA
OG0000095	Av_00016560-RA	Ds_00016626-RA
OG0000095	Av_00022745-RA, Av_00014819-RA	Ds_00005433-RA
OG0000095	Av_00015892-RA, Av_00013399-RA	Ds_00005415-RA
OG0000096	Av_00015889-RA	Ds_00011884-RA, Ds_00011885-RA
OG0000096	Av_00006885-RA	Ds_00000525-RA
OG0000096	Av_00009973-RA	Ds_00009255-RA
OG0000097	Av_00021109-RA	Ds_00011731-RA
OG0000098	Av_00009967-RA	Ds_00000511-RA
OG0000098	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA	Ds_00004278-RA, Ds_00000887-RA
OG0000098	Av_00020806-RA, Av_00006102-RA	Ds_00001304-RA
OG0000098	Av_00003512-RA	Ds_00005755-RA, Ds_00009375-RA
OG0000098	Av_00006162-RA, Av_00008431-RA	Ds_00010103-RA
OG0000099	Av_00015329-RA	Ds_00016206-RA
OG0000099	Av_00014232-RA	Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA
OG0000102	Av_00005016-RA	Ds_00005815-RA
OG0000102	Av_00021401-RA	Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA
OG0000102	Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	Ds_00006637-RA
OG0000103	Av_00007835-RA, Av_00000217-RA	Ds_00007541-RA
OG0000104	Av_00018015-RA	Ds_00015579-RA
OG0000104	Av_00015686-RA	Ds_00015800-RA, Ds_00015801-RA
OG0000105	Av_00010637-RA, Av_00014174-RA	Ds_00004427-RA
OG0000105	Av_00007451-RA, Av_00003719-RA	Ds_00011176-RA
OG0000105	Av_00003052-RA, Av_00015716-RA	Ds_00014085-RA
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	Ds_00008720-RA, Ds_00016969-RA
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	Ds_00012991-RA
OG0000107	Av_00000247-RA	Ds_00008559-RA
OG0000108	Av_00010829-RA	Ds_00017400-RA
OG0000108	Av_00005367-RA	Ds_00010757-RA
OG0000108	Av_00003730-RA	Ds_00004396-RA
OG0000109	Av_00018758-RA, Av_00008820-RA	Ds_00000324-RA
OG0000109	Av_00021187-RA, Av_00001943-RA	Ds_00013208-RA
OG0000109	Av_00011101-RA, Av_00009901-RA	Ds_00000125-RA
OG0000110	Av_00020501-RA, Av_00008377-RA	Ds_00010855-RA
OG0000110	Av_00008370-RA, Av_00008371-RA	Ds_00011944-RA
OG0000110	Av_00011529-RA	Ds_00016825-RA
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	Ds_00016959-RA, Ds_00016949-RA
OG0000113	Av_00023507-RA	Ds_00004232-RA, Ds_00002603-RA
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	Ds_00011325-RA
OG0000114	Av_00003668-RA, Av_00015326-RA	Ds_00015893-RA, Ds_00015892-RA
OG0000115	Av_00020585-RA	Ds_00012650-RA
OG0000115	Av_00020146-RA	Ds_00009366-RA
OG0000116	Av_00012531-RA	Ds_00014709-RA, Ds_00000291-RA
OG0000116	Av_00002841-RA	Ds_00010066-RA
OG0000116	Av_00013418-RA	Ds_00010358-RA
OG0000118	Av_00017992-RA, Av_00017242-RA	Ds_00006827-RA
OG0000118	Av_00022902-RA	Ds_00012570-RA
OG0000118	Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	Ds_00015851-RA, Ds_00005679-RA
OG0000118	Av_00007265-RA, Av_00013942-RA	Ds_00002816-RA
OG0000119	Av_00005945-RA	Ds_00017833-RA
OG0000120	Av_00014461-RA, Av_00022346-RA	Ds_00011028-RA
OG0000120	Av_00001195-RA, Av_00014395-RA	Ds_00005529-RA
OG0000120	Av_00011870-RA, Av_00007013-RA	Ds_00006102-RA
OG0000120	Av_00021880-RA	Ds_00011026-RA
OG0000120	Av_00022290-RA	Ds_00014982-RA
OG0000120	Av_00010880-RA	Ds_00004593-RA
OG0000120	Av_00020803-RA	Ds_00015941-RA
OG0000121	Av_00001370-RA	Ds_00007035-RA
OG0000121	Av_00015288-RA	Ds_00010128-RA
OG0000121	Av_00012522-RA	Ds_00014897-RA
OG0000122	Av_00015184-RA	Ds_00007977-RA
OG0000122	Av_00022651-RA, Av_00014602-RA, Av_00015420-RA	Ds_00006648-RA
OG0000122	Av_00014454-RA, Av_00015160-RA, Av_00024373-RA, Av_00014603-RA, Av_00023686-RA	Ds_00016938-RA, Ds_00018075-RA
OG0000123	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA	Ds_00017692-RA, Ds_00004523-RA
OG0000123	Av_00020305-RA, Av_00003479-RA, Av_00006755-RA, Av_00023019-RA	Ds_00005553-RA
OG0000124	Av_00010170-RA	Ds_00009554-RA
OG0000125	Av_00019160-RA, Av_00001507-RA	Ds_00000896-RA
OG0000125	Av_00006820-RA	Ds_00004719-RA
OG0000125	Av_00020356-RA	Ds_00006202-RA
OG0000125	Av_00016779-RA	Ds_00006911-RA
OG0000126	Av_00024260-RA	Ds_00013847-RA, Ds_00012723-RA, Ds_00009887-RA, Ds_00012111-RA, Ds_00006203-RA, Ds_00012110-RA, Ds_00006204-RA
OG0000127	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	Ds_00000390-RA, Ds_00012730-RA
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	Ds_00017651-RA
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	Ds_00014831-RA, Ds_00009085-RA
OG0000131	Av_00008767-RA	Ds_00008212-RA, Ds_00013324-RA
OG0000135	Av_00023049-RA	Ds_00011844-RA
OG0000135	Av_00021246-RA, Av_00023855-RA	Ds_00002569-RA
OG0000135	Av_00017571-RA, Av_00013077-RA	Ds_00000458-RA
OG0000135	Av_00018331-RA	Ds_00012779-RA
OG0000135	Av_00017962-RA, Av_00001097-RA	Ds_00003378-RA, Ds_00002564-RA
OG0000136	Av_00023293-RA, Av_00020159-RA	Ds_00000277-RA
OG0000137	Av_00012426-RA, Av_00009313-RA, Av_00015913-RA, Av_00010531-RA, Av_00010516-RA	Ds_00001512-RA, Ds_00014384-RA, Ds_00014967-RA, Ds_00014968-RA
OG0000138	Av_00005734-RA, Av_00017291-RA	Ds_00015264-RA
OG0000139	Av_00011998-RA	Ds_00013858-RA, Ds_00013856-RA
OG0000140	Av_00019737-RA	Ds_00002651-RA
OG0000143	Av_00008537-RA	Ds_00017988-RA
OG0000143	Av_00017945-RA, Av_00002008-RA	Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA
OG0000144	Av_00016136-RA	Ds_00006975-RA
OG0000144	Av_00001844-RA	Ds_00010956-RA, Ds_00003597-RA
OG0000145	Av_00008637-RA, Av_00011445-RA	Ds_00004600-RA
OG0000146	Av_00013344-RA, Av_00023979-RA, Av_00020548-RA, Av_00020547-RA, Av_00006138-RA	Ds_00014708-RA, Ds_00014704-RA, Ds_00014622-RA
OG0000146	Av_00011999-RA	Ds_00006085-RA
OG0000147	Av_00019395-RA	Ds_00010706-RA
OG0000147	Av_00012705-RA, Av_00020525-RA	Ds_00005844-RA
OG0000148	Av_00019670-RA, Av_00006146-RA	Ds_00010086-RA
OG0000148	Av_00020556-RA, Av_00014073-RA	Ds_00010778-RA
OG0000149	Av_00001613-RA	Ds_00012034-RA
OG0000149	Av_00011501-RA	Ds_00009210-RA
OG0000149	Av_00016214-RA	Ds_00006233-RA
OG0000152	Av_00023873-RA, Av_00012587-RA, Av_00015693-RA, Av_00005098-RA	Ds_00013693-RA
OG0000152	Av_00022456-RA, Av_00006096-RA, Av_00005508-RA, Av_00013353-RA	Ds_00007505-RA
OG0000153	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA	Ds_00010298-RA
OG0000153	Av_00000144-RA, Av_00016947-RA	Ds_00005175-RA
OG0000153	Av_00001271-RA, Av_00015076-RA	Ds_00014432-RA
OG0000154	Av_00021482-RA, Av_00022567-RA, Av_00015465-RA	Ds_00009050-RA
OG0000155	Av_00001520-RA, Av_00013491-RA	Ds_00014910-RA
OG0000155	Av_00024885-RA, Av_00001519-RA	Ds_00004721-RA
OG0000156	Av_00007919-RA, Av_00006858-RA	Ds_00000597-RA, Ds_00002488-RA
OG0000156	Av_00024913-RA	Ds_00003462-RA
OG0000156	Av_00019326-RA, Av_00011725-RA	Ds_00013706-RA, Ds_00008760-RA
OG0000157	Av_00024921-RA	Ds_00011121-RA
OG0000157	Av_00010056-RA, Av_00007953-RA	Ds_00000657-RA
OG0000157	Av_00005838-RA	Ds_00015738-RA
OG0000157	Av_00007384-RA, Av_00003795-RA, Av_00021642-RA	Ds_00009636-RA
OG0000159	Av_00008586-RA	Ds_00013623-RA, Ds_00013624-RA, Ds_00007406-RA, Ds_00013622-RA, Ds_00012539-RA
OG0000159	Av_00009492-RA	Ds_00004538-RA
OG0000160	Av_00007416-RA	Ds_00007481-RA
OG0000160	Av_00022355-RA, Av_00022827-RA	Ds_00013430-RA
OG0000161	Av_00019011-RA, Av_00019010-RA, Av_00019007-RA	Ds_00008227-RA, Ds_00008230-RA, Ds_00004514-RA, Ds_00013396-RA
OG0000162	Av_00004972-RA	Ds_00008464-RA
OG0000162	Av_00007787-RA	Ds_00006516-RA
OG0000163	Av_00000797-RA, Av_00003444-RA	Ds_00011543-RA
OG0000163	Av_00007238-RA	Ds_00000106-RA
OG0000163	Av_00004788-RA	Ds_00001076-RA, Ds_00007815-RA
OG0000163	Av_00020340-RA	Ds_00006949-RA
OG0000164	Av_00009562-RA, Av_00022631-RA	Ds_00016899-RA
OG0000164	Av_00014947-RA	Ds_00001238-RA
OG0000164	Av_00009037-RA, Av_00021627-RA	Ds_00007283-RA
OG0000165	Av_00019533-RA	Ds_00001766-RA
OG0000165	Av_00002454-RA, Av_00002373-RA	Ds_00010669-RA, Ds_00016594-RA, Ds_00017009-RA, Ds_00010643-RA, Ds_00010670-RA, Ds_00010647-RA
OG0000168	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA	Ds_00006112-RA
