Orthogroup	A_vesiculosa.proteins	B_vulgaris.proteins
OG0000018	Av_00002303-RA, Av_00009695-RA	Bevul.5G246300.1.p
OG0000020	Av_00019093-RA	Bevul.9G084700.1.p, Bevul.9G073100.2.p, Bevul.4G085500.1.p, Bevul.5G114900.1.p
OG0000021	Av_00016682-RA	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	Av_00010967-RA	Bevul.1G097600.1.p
OG0000022	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA	Bevul.8G058800.1.p, Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p, Bevul.7G005900.1.p
OG0000023	Av_00004265-RA	Bevul.1G139100.1.p, Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p
OG0000023	Av_00008849-RA	Bevul.9G223400.1.p
OG0000024	Av_00007869-RA	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
OG0000024	Av_00004852-RA	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p
OG0000025	Av_00000980-RA, Av_00012375-RA	Bevul.9G156900.1.p
OG0000025	Av_00020768-RA, Av_00004540-RA	Bevul.9G157100.1.p
OG0000025	Av_00008813-RA	Bevul.9G157000.1.p
OG0000025	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA	Bevul.9G229300.1.p, Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p, Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p, Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p
OG0000027	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA, Av_00004078-RA, Av_00023371-RA, Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA, Av_00009069-RA	Bevul.5G197000.1.p
OG0000029	Av_00023395-RA	Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p
OG0000031	Av_00023880-RA	Bevul.6G022900.1.p
OG0000032	Av_00005837-RA	Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p
OG0000034	Av_00010139-RA	Bevul.5G008500.1.p, Bevul.5G008400.1.p
OG0000034	Av_00014124-RA, Av_00014125-RA	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p
OG0000037	Av_00004452-RA, Av_00001047-RA	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p
OG0000037	Av_00005925-RA	Bevul.7G132700.1.p
OG0000038	Av_00000257-RA	Bevul.6G168300.1.p
OG0000038	Av_00001694-RA	Bevul.7G140200.1.p
OG0000040	Av_00004970-RA	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	Bevul.9G137500.1.p
OG0000041	Av_00012197-RA, Av_00005774-RA	Bevul.2G204400.1.p
OG0000041	Av_00000583-RA, Av_00019204-RA	Bevul.4G131500.1.p
OG0000041	Av_00023746-RA, Av_00022768-RA	Bevul.5G251800.1.p
OG0000041	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	Bevul.8G136400.1.p
OG0000041	Av_00003291-RA	Bevul.1G208000.1.p
OG0000042	Av_00019089-RA	Bevul.7G199900.1.p, Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p
OG0000042	Av_00009478-RA, Av_00008427-RA	Bevul.4G033600.1.p, Bevul.4G033500.1.p
OG0000043	Av_00014180-RA	Bevul.6G008000.1.p
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	Bevul.6G087200.1.p
OG0000044	Av_00012555-RA, Av_00002870-RA	Bevul.7G059000.1.p
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	Bevul.7G175700.1.p
OG0000044	Av_00002322-RA, Av_00009708-RA	Bevul.5G238300.1.p
OG0000046	Av_00004429-RA, Av_00012280-RA	Bevul.9G172100.1.p
OG0000046	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA	Bevul.6G085300.1.p
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	Bevul.8G193500.1.p, Bevul.8G193400.1.p
OG0000046	Av_00002747-RA, Av_00016996-RA	Bevul.6G116700.1.p
OG0000046	Av_00009129-RA, Av_00005749-RA	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p
OG0000046	Av_00024073-RA, Av_00006807-RA	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p
OG0000047	Av_00021683-RA	Bevul.6G072600.1.p
OG0000047	Av_00024563-RA	Bevul.8G084000.1.p
OG0000047	Av_00011809-RA	Bevul.4G162400.1.p
OG0000050	Av_00002378-RA	Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p
OG0000050	Av_00018370-RA	Bevul.4G082400.1.p, Bevul.4G069400.1.p, Bevul.1G145400.1.p
OG0000055	Av_00002758-RA	Bevul.6G201900.1.p
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	Bevul.3G152000.1.p
OG0000055	Av_00017818-RA	Bevul.7G124000.1.p
OG0000055	Av_00024743-RA, Av_00019729-RA	Bevul.4G037900.1.p
OG0000055	Av_00008958-RA	Bevul.8G057600.1.p
OG0000055	Av_00016413-RA, Av_00013445-RA	Bevul.2G111100.1.p, Bevul.2G111100.2.p, Bevul.7G220300.1.p
OG0000058	Av_00008430-RA	Bevul.7G198300.1.p
OG0000058	Av_00002928-RA	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p
OG0000059	Av_00016663-RA, Av_00008085-RA	Bevul.1G077700.1.p, Bevul.1G077800.1.p
OG0000060	Av_00019407-RA	Bevul.4G032400.1.p, Bevul.6G106000.1.p, Bevul.1G069200.1.p, Bevul.4G140200.1.p, Bevul.2G183900.1.p, Bevul.2G179300.1.p, Bevul.5G113600.1.p, Bevul.9G154900.1.p, Bevul.7G122300.1.p, Bevul.7G087000.1.p, Bevul.6G130000.1.p, Bevul.3G157500.1.p, Bevul.9G041500.1.p
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p
OG0000063	Av_00005674-RA	Bevul.2G185200.1.p, Bevul.2G185200.2.p, Bevul.2G185300.1.p, Bevul.2G185400.1.p
OG0000065	Av_00001967-RA	Bevul.3G163400.1.p
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p
OG0000067	Av_00002873-RA, Av_00024311-RA, Av_00023884-RA	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p
OG0000070	Av_00003740-RA	Bevul.1G170800.1.p
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	Bevul.6G213100.1.p, Bevul.2G233700.1.p
OG0000070	Av_00013415-RA, Av_00023180-RA	Bevul.7G207000.1.p
OG0000071	Av_00011182-RA, Av_00001686-RA	Bevul.7G142600.1.p
OG0000071	Av_00009962-RA	Bevul.3G015700.1.p
OG0000071	Av_00021173-RA	Bevul.7G048700.2.p, Bevul.7G048700.1.p
OG0000071	Av_00011924-RA	Bevul.3G133800.1.p
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	Bevul.3G170700.1.p
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	Bevul.7G121800.1.p
OG0000071	Av_00002646-RA, Av_00005357-RA	Bevul.6G171300.1.p
OG0000072	Av_00011117-RA	Bevul.4G070000.1.p, Bevul.4G070600.1.p, Bevul.4G070200.1.p, Bevul.4G241400.1.p, Bevul.6G033000.1.p, Bevul.4G241200.1.p
OG0000075	Av_00000923-RA	Bevul.8G087100.1.p
OG0000075	Av_00023632-RA, Av_00023631-RA	Bevul.2G091500.1.p
OG0000075	Av_00024003-RA	Bevul.9G081500.1.p
OG0000077	Av_00007275-RA	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	Bevul.1G103100.1.p, Bevul.9G153800.1.p, Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p
OG0000078	Av_00015019-RA	Bevul.7G129900.1.p, Bevul.4G007900.1.p, Bevul.2G061000.1.p, Bevul.2G060900.1.p, Bevul.4G008000.1.p
OG0000079	Av_00009274-RA	Bevul.4G110500.1.p
OG0000085	Av_00009790-RA, Av_00008760-RA	Bevul.8G140500.1.p
OG0000085	Av_00021920-RA, Av_00004097-RA	Bevul.7G169300.1.p, Bevul.7G169200.1.p
OG0000085	Av_00005421-RA, Av_00002984-RA	Bevul.2G000300.1.p
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	Bevul.2G120700.1.p
OG0000085	Av_00018975-RA	Bevul.4G250700.1.p
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	Bevul.3G206400.1.p
OG0000087	Av_00020186-RA	Bevul.1G116200.1.p
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	Bevul.6G246200.1.p
OG0000088	Av_00002335-RA, Av_00019465-RA	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p
OG0000088	Av_00003725-RA	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p, Bevul.8G074400.1.p
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	Bevul.9G199700.1.p
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA	Bevul.2G018800.1.p
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	Bevul.4G177600.1.p
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	Bevul.6G147700.1.p
OG0000091	Av_00024182-RA, Av_00022189-RA	Bevul.3G230400.1.p, Bevul.3G229900.1.p, Bevul.3G229800.1.p
OG0000091	Av_00011058-RA, Av_00016851-RA	Bevul.8G117100.1.p
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	Bevul.1G098700.1.p, Bevul.1G099000.1.p, Bevul.1G098800.1.p, Bevul.5G151700.1.p, Bevul.5G151600.1.p, Bevul.2G055300.1.p, Bevul.2G055200.1.p
OG0000092	Av_00005802-RA	Bevul.5G086800.1.p
OG0000092	Av_00002090-RA	Bevul.2G014200.1.p, Bevul.2G012200.1.p
OG0000095	Av_00016560-RA	Bevul.7G228500.1.p
OG0000095	Av_00022745-RA, Av_00014819-RA	Bevul.6G047300.1.p
OG0000095	Av_00015892-RA, Av_00013399-RA	Bevul.4G035700.1.p
OG0000096	Av_00015889-RA	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p, Bevul.6G094400.1.p, Bevul.6G094500.1.p, Bevul.6G120200.1.p
OG0000097	Av_00021109-RA	Bevul.8G067300.1.p, Bevul.4G007500.1.p, Bevul.4G009100.1.p, Bevul.4G009300.1.p, Bevul.4G009200.1.p, Bevul.4G006500.1.p, Bevul.4G008300.1.p, Bevul.4G008400.1.p, Bevul.4G008500.1.p, Bevul.7G126500.1.p
OG0000098	Av_00009967-RA	Bevul.1G023300.1.p
OG0000098	Av_00020806-RA, Av_00006102-RA	Bevul.5G002300.1.p
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	Bevul.3G212800.1.p
OG0000098	Av_00006162-RA, Av_00008431-RA	Bevul.7G197100.1.p
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	Bevul.5G030900.1.p
OG0000099	Av_00015329-RA, Av_00014232-RA	Bevul.6G246400.1.p, Bevul.6G101900.1.p
OG0000102	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	Bevul.1G039700.1.p, Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p
OG0000103	Av_00007835-RA, Av_00000217-RA	Bevul.4G072400.1.p, Bevul.4G093400.1.p
OG0000103	Av_00018171-RA	Bevul.3G111000.1.p
OG0000104	Av_00018015-RA	Bevul.7G018600.1.p
OG0000104	Av_00015686-RA	Bevul.7G018700.1.p
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA	Bevul.8G035800.1.p
OG0000105	Av_00003052-RA, Av_00015716-RA	Bevul.4G003500.1.p
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	Bevul.7G031800.2.p, Bevul.7G031800.1.p
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	Bevul.9G126800.1.p, Bevul.9G127200.1.p, Bevul.9G127500.1.p, Bevul.9G126400.1.p, Bevul.9G126500.1.p, Bevul.9G127300.1.p, Bevul.9G127000.1.p, Bevul.9G127600.1.p, Bevul.9G127100.1.p, Bevul.9G127400.1.p, Bevul.9G126600.1.p, Bevul.9G126300.1.p, Bevul.9G126900.1.p, Bevul.9G126700.1.p, Bevul.9G127700.1.p, Bevul.9G127800.1.p, Bevul.9G126200.1.p
OG0000107	Av_00000247-RA, Av_00006353-RA	Bevul.6G135200.1.p
OG0000107	Av_00007784-RA	Bevul.6G135100.1.p
OG0000108	Av_00010829-RA, Av_00005367-RA	Bevul.8G206000.1.p, Bevul.4G117300.1.p, Bevul.9G172600.1.p
OG0000108	Av_00003730-RA	Bevul.8G078900.1.p
OG0000109	Av_00018758-RA, Av_00008820-RA	Bevul.9G160500.4.p, Bevul.9G160500.1.p, Bevul.9G160500.3.p, Bevul.9G160500.2.p
OG0000109	Av_00021187-RA, Av_00001943-RA	Bevul.6G028900.1.p
OG0000109	Av_00011101-RA, Av_00009901-RA	Bevul.1G164200.1.p
OG0000110	Av_00020501-RA, Av_00008377-RA	Bevul.3G149500.1.p
OG0000110	Av_00008370-RA, Av_00008371-RA	Bevul.1G060000.1.p
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA	Bevul.2G077600.1.p
OG0000113	Av_00023507-RA	Bevul.2G177100.1.p
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	Bevul.5G004000.1.p
OG0000113	Av_00014535-RA, Av_00010366-RA, Av_00003020-RA, Av_00005449-RA	Bevul.5G004200.1.p, Bevul.5G004300.1.p
OG0000114	Av_00003668-RA, Av_00015326-RA	Bevul.8G061700.1.p, Bevul.3G151300.1.p, Bevul.8G062000.1.p, Bevul.8G062400.1.p, Bevul.8G062300.1.p, Bevul.8G062100.1.p, Bevul.7G070200.3.p, Bevul.7G070200.1.p, Bevul.7G070200.2.p, Bevul.7G070100.2.p, Bevul.7G070100.1.p, Bevul.9G088300.1.p
OG0000115	Av_00020585-RA	Bevul.3G216700.1.p
OG0000115	Av_00020146-RA	Bevul.5G258000.1.p, Bevul.3G216400.1.p
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	Bevul.5G013500.1.p
OG0000118	Av_00017992-RA	Bevul.5G021700.1.p
OG0000118	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	Bevul.3G044400.1.p
OG0000118	Av_00007265-RA	Bevul.9G136500.1.p
OG0000119	Av_00005945-RA	Bevul.5G076300.1.p
OG0000120	Av_00014461-RA, Av_00022346-RA	Bevul.3G185900.1.p
OG0000120	Av_00021880-RA	Bevul.3G186500.1.p
OG0000120	Av_00022290-RA	Bevul.6G188900.1.p
OG0000120	Av_00010880-RA	Bevul.1G164500.1.p
OG0000120	Av_00020803-RA	Bevul.1G158600.1.p, Bevul.5G000300.1.p
OG0000121	Av_00001370-RA	Bevul.4G108700.1.p
OG0000121	Av_00015288-RA	Bevul.8G003400.1.p, Bevul.6G014900.1.p, Bevul.5G234100.1.p
OG0000121	Av_00013289-RA	Bevul.7G184000.1.p
OG0000121	Av_00012522-RA	Bevul.5G117700.1.p
OG0000122	Av_00015184-RA	Bevul.8G023100.1.p
OG0000122	Av_00024977-RA	Bevul.7G084500.1.p
OG0000122	Av_00015420-RA	Bevul.1G016700.1.p
OG0000122	Av_00014454-RA	Bevul.7G084400.1.p
OG0000122	Av_00015160-RA, Av_00024373-RA	Bevul.3G142300.1.p
OG0000123	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA	Bevul.2G026700.1.p
OG0000124	Av_00010170-RA	Bevul.9G081400.1.p
OG0000125	Av_00006820-RA	Bevul.7G078600.1.p
OG0000125	Av_00020356-RA	Bevul.4G149800.1.p
OG0000125	Av_00016779-RA	Bevul.4G149700.1.p, Bevul.4G149400.1.p, Bevul.4G149500.1.p, Bevul.4G149600.1.p
OG0000126	Av_00024260-RA	Bevul.8G088900.1.p, Bevul.2G070700.1.p, Bevul.6G164800.1.p, Bevul.9G102100.1.p
OG0000127	Av_00014440-RA, Av_00001249-RA	Bevul.4G194200.1.p
OG0000127	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	Bevul.7G087800.1.p
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	Bevul.2G004200.1.p
OG0000131	Av_00008767-RA	Bevul.2G009600.1.p, Bevul.2G008900.1.p, Bevul.8G138700.1.p, Bevul.8G138600.1.p, Bevul.2G008700.1.p, Bevul.2G008600.1.p, Bevul.2G008300.1.p, Bevul.1G041300.1.p, Bevul.8G138100.1.p, Bevul.8G138300.1.p, Bevul.8G137800.1.p, Bevul.8G137900.1.p, Bevul.8G138000.1.p, Bevul.8G158500.1.p, Bevul.8G138200.1.p, Bevul.3G107900.1.p, Bevul.3G107800.1.p, Bevul.8G181800.1.p, Bevul.8G181900.1.p, Bevul.8G182000.1.p, Bevul.8G145900.1.p, Bevul.8G146000.1.p
OG0000135	Av_00015825-RA	Bevul.7G173200.1.p, Bevul.7G173300.1.p
OG0000135	Av_00023049-RA	Bevul.2G140100.1.p
OG0000135	Av_00021246-RA, Av_00023855-RA	Bevul.2G126000.1.p
OG0000135	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA	Bevul.7G150000.1.p
OG0000135	Av_00017962-RA, Av_00001097-RA	Bevul.2G120400.1.p
OG0000136	Av_00023894-RA, Av_00014249-RA, Av_00022366-RA	Bevul.6G031700.1.p
OG0000137	Av_00012426-RA, Av_00009313-RA, Av_00015913-RA, Av_00010531-RA, Av_00010516-RA	Bevul.3G085500.1.p
OG0000138	Av_00011570-RA	Bevul.6G121200.1.p
OG0000138	Av_00005734-RA, Av_00017291-RA	Bevul.2G230200.1.p
OG0000139	Av_00011998-RA, Av_00005008-RA, Av_00005715-RA	Bevul.2G223600.2.p, Bevul.2G223600.1.p, Bevul.2G223700.1.p, Bevul.2G223000.1.p
OG0000140	Av_00019737-RA	Bevul.9G004400.1.p, Bevul.1G171700.1.p, Bevul.9G004300.1.p, Bevul.9G004100.1.p, Bevul.1G171600.1.p
OG0000143	Av_00008537-RA	Bevul.1G102700.1.p, Bevul.1G103300.1.p, Bevul.1G103200.1.p
OG0000143	Av_00017945-RA, Av_00002008-RA	Bevul.1G103500.1.p, Bevul.1G103700.1.p
OG0000144	Av_00016136-RA	Bevul.4G125600.1.p
OG0000144	Av_00001844-RA	Bevul.6G096000.1.p
OG0000145	Av_00008637-RA, Av_00011445-RA	Bevul.1G166900.1.p
