Orthogroup	D_muscipula.proteins	S_lycopersicum.proteins
OG0000067	Dm_00004643-RA, Dm_00004223-RA	Solyc11g072490.2.1
OG0000070	Dm_00019678-RA	Solyc03g078400.3.1
OG0000070	Dm_00008155-RA	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1
OG0000070	Dm_00013287-RA	Solyc06g076090.3.1
OG0000070	Dm_00004547-RA	Solyc00g017210.2.1
OG0000071	Dm_00001685-RA	Solyc03g111690.3.1, Solyc02g093580.3.1
OG0000071	Dm_00016304-RA	Solyc09g008380.3.1
OG0000071	Dm_00012616-RA	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1
OG0000071	Dm_00019310-RA	Solyc09g091430.3.1
OG0000071	Dm_00008368-RA, Dm_00000932-RA	Solyc09g061890.3.1
OG0000072	Dm_00015257-RA, Dm_00012063-RA	Solyc05g051515.1.1
OG0000072	Dm_00019149-RA	Solyc01g074000.3.1, Solyc10g008910.1.1, Solyc01g073970.3.1, Solyc02g077480.1.1, Solyc01g080600.3.1, Solyc01g086820.3.1, Solyc12g056540.1.1, Solyc01g086800.3.1
OG0000072	Dm_00019242-RA	Solyc01g079110.3.1
OG0000075	Dm_00018466-RA	Solyc09g056435.1.1
OG0000077	Dm_00004852-RA, Dm_00021132-RA	Solyc01g111230.3.1
OG0000077	Dm_00009375-RA	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1
OG0000078	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA	Solyc11g071900.1.1
OG0000078	Dm_00001318-RA	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1
OG0000085	Dm_00002079-RA, Dm_00008755-RA	Solyc07g041940.3.1
OG0000085	Dm_00018382-RA, Dm_00014711-RA	Solyc12g049360.2.1, Solyc06g062920.3.1
OG0000085	Dm_00000001-RA	Solyc10g074710.2.1
OG0000085	Dm_00021097-RA	Solyc12g009310.2.1, Solyc07g042590.3.1
OG0000085	Dm_00020301-RA	Solyc01g028830.3.1
OG0000085	Dm_00011328-RA	Solyc08g074980.3.1
OG0000087	Dm_00009408-RA	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1
OG0000087	Dm_00020143-RA, Dm_00002856-RA	Solyc05g006420.3.1
OG0000088	Dm_00006025-RA	Solyc12g014350.2.1
OG0000088	Dm_00016161-RA	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1
OG0000089	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1
OG0000089	Dm_00000623-RA, Dm_00005052-RA, Dm_00008000-RA, Dm_00005053-RA, Dm_00014697-RA, Dm_00001050-RA	Solyc08g067610.3.1, Solyc08g067620.2.1
OG0000090	Dm_00004995-RA	Solyc02g093520.3.1
OG0000091	Dm_00002549-RA, Dm_00011577-RA	Solyc12g098610.2.1, Solyc09g092520.3.1
OG0000091	Dm_00004862-RA	Solyc07g009380.3.1, Solyc05g046290.3.1
OG0000091	Dm_00000624-RA, Dm_00001319-RA, Dm_00002331-RA	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1
OG0000092	Dm_00003221-RA, Dm_00003211-RA	Solyc10g085780.1.1
OG0000092	Dm_00008014-RA, Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA, Dm_00019542-RA, Dm_00018772-RA, Dm_00019544-RA, Dm_00016580-RA, Dm_00003219-RA, Dm_00009722-RA, Dm_00019429-RA, Dm_00019543-RA	Solyc04g039980.3.1, Solyc04g039990.3.1
OG0000093	Dm_00008253-RA, Dm_00011309-RA, Dm_00014861-RA, Dm_00016946-RA, Dm_00008254-RA, Dm_00012465-RA	Solyc01g074030.3.1, Solyc01g074040.1.1
OG0000095	Dm_00013674-RA	Solyc03g121630.3.1
OG0000095	Dm_00001105-RA	Solyc08g060840.1.1
OG0000096	Dm_00002220-RA	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1
OG0000097	Dm_00005636-RA, Dm_00005630-RA	Solyc03g112680.2.1
OG0000097	Dm_00006030-RA, Dm_00017352-RA	Solyc08g044336.1.1
OG0000098	Dm_00003034-RA	Solyc04g081490.3.1, Solyc12g089310.2.1
OG0000098	Dm_00015457-RA	Solyc03g118760.3.1
OG0000098	Dm_00004482-RA, Dm_00015844-RA	Solyc10g080940.2.1
OG0000098	Dm_00003528-RA	Solyc06g076640.3.1
OG0000098	Dm_00013312-RA, Dm_00006029-RA	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1
OG0000101	Dm_00005058-RA	Solyc05g025640.1.1
OG0000101	Dm_00012329-RA	Solyc03g063670.1.1
OG0000101	Dm_00017960-RA, Dm_00019229-RA, Dm_00011937-RA, Dm_00005564-RA, Dm_00020741-RA, Dm_00012123-RA	Solyc00g016480.1.1
OG0000102	Dm_00001450-RA, Dm_00018156-RA, Dm_00001449-RA, Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA	Solyc02g077050.3.1
OG0000102	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA	Solyc02g076910.3.1
OG0000103	Dm_00020702-RA	Solyc07g062620.3.1, Solyc10g005640.3.1, Solyc10g005630.3.1
OG0000103	Dm_00001448-RA	Solyc02g078530.3.1, Solyc03g006500.3.1
OG0000104	Dm_00012898-RA	Solyc10g083170.2.1
OG0000104	Dm_00000071-RA	Solyc01g005500.3.1
OG0000105	Dm_00012589-RA	Solyc02g067830.3.1, Solyc02g093360.3.1
OG0000105	Dm_00013721-RA, Dm_00001881-RA	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1
OG0000105	Dm_00000769-RA, Dm_00001787-RA	Solyc10g083500.2.1, Solyc09g009380.3.1
OG0000105	Dm_00006766-RA	Solyc06g074480.3.1, Solyc11g067070.1.1
OG0000106	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1
OG0000107	Dm_00002832-RA, Dm_00001602-RA	Solyc05g008805.1.1
OG0000107	Dm_00001603-RA	Solyc02g086370.3.1, Solyc05g008820.3.1, Solyc05g008815.1.1
OG0000108	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA	Solyc06g009280.1.1, Solyc06g009290.3.1
OG0000108	Dm_00014168-RA	Solyc02g071350.3.1, Solyc02g071340.2.1
OG0000109	Dm_00003433-RA	Solyc01g110380.3.1
OG0000109	Dm_00007914-RA	Solyc02g084390.3.1, Solyc02g062330.2.1
OG0000109	Dm_00012182-RA	Solyc04g081060.3.1
OG0000110	Dm_00010771-RA	Solyc12g056820.2.1
OG0000113	Dm_00016399-RA	Solyc06g065970.1.1
OG0000113	Dm_00006694-RA, Dm_00006695-RA	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1
OG0000114	Dm_00013880-RA	Solyc02g079540.2.1, Solyc02g079533.1.1, Solyc02g079550.2.1, Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1, Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1
OG0000115	Dm_00013370-RA	Solyc04g076925.1.1
OG0000115	Dm_00015940-RA, Dm_00015939-RA, Dm_00008526-RA, Dm_00005665-RA, Dm_00005666-RA	Solyc01g100670.1.1, Solyc01g100680.1.1
OG0000116	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1
OG0000118	Dm_00001565-RA	Solyc07g066080.3.1
OG0000118	Dm_00002039-RA, Dm_00015779-RA	Solyc10g011740.3.1, Solyc01g095490.3.1
OG0000118	Dm_00006495-RA	Solyc08g008220.3.1, Solyc05g050230.3.1, Solyc02g083570.3.1
OG0000120	Dm_00019247-RA	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1
OG0000120	Dm_00008637-RA	Solyc03g077920.1.1
OG0000120	Dm_00001877-RA	Solyc01g086720.3.1
OG0000120	Dm_00017973-RA	Solyc08g008020.1.1
OG0000121	Dm_00017678-RA	Solyc11g071650.2.1
OG0000121	Dm_00018618-RA	Solyc01g097000.3.1
OG0000121	Dm_00021095-RA	Solyc01g009240.3.1
OG0000122	Dm_00016543-RA	Solyc06g009950.1.1, Solyc05g020010.1.1
OG0000122	Dm_00009338-RA	Solyc12g035740.1.1
OG0000122	Dm_00020293-RA	Solyc12g032980.1.1, Solyc09g059640.2.1
OG0000123	Dm_00013069-RA, Dm_00000436-RA	Solyc12g098090.1.1, Solyc05g053170.3.1
OG0000123	Dm_00006567-RA, Dm_00005134-RA	Solyc09g091510.3.1, Solyc05g053550.3.1
OG0000124	Dm_00007112-RA	Solyc09g075670.1.1, Solyc06g054290.2.1
OG0000125	Dm_00004819-RA	Solyc09g074230.3.1
OG0000125	Dm_00000561-RA	Solyc02g005180.3.1, Solyc01g098490.3.1, Solyc01g098500.3.1
OG0000125	Dm_00019657-RA	Solyc01g080680.3.1
OG0000126	Dm_00000361-RA, Dm_00016740-RA, Dm_00011436-RA, Dm_00008990-RA, Dm_00016735-RA, Dm_00010571-RA, Dm_00015900-RA, Dm_00018285-RA, Dm_00012242-RA, Dm_00020196-RA, Dm_00008378-RA, Dm_00010641-RA, Dm_00017870-RA, Dm_00017344-RA, Dm_00007714-RA, Dm_00016477-RA, Dm_00013903-RA, Dm_00014573-RA, Dm_00005711-RA, Dm_00018317-RA, Dm_00018185-RA, Dm_00004452-RA, Dm_00011635-RA, Dm_00013614-RA, Dm_00019586-RA, Dm_00003267-RA, Dm_00013189-RA, Dm_00015995-RA, Dm_00015390-RA, Dm_00013188-RA, Dm_00005848-RA, Dm_00009927-RA	Solyc03g063563.1.1
OG0000126	Dm_00014906-RA, Dm_00016307-RA	Solyc03g083835.1.1
OG0000126	Dm_00008348-RA, Dm_00018472-RA, Dm_00011128-RA	Solyc03g013130.1.1
OG0000127	Dm_00001228-RA, Dm_00006084-RA	Solyc09g074530.3.1
OG0000127	Dm_00000969-RA, Dm_00000275-RA, Dm_00000966-RA, Dm_00015587-RA	Solyc06g072630.3.1, Solyc03g097870.3.1, Solyc03g097590.3.1, Solyc03g097600.3.1, Solyc03g097570.3.1, Solyc03g097585.1.1, Solyc06g072620.3.1, Solyc03g097580.3.1, Solyc03g097610.3.1, Solyc06g072640.1.1
OG0000129	Dm_00019326-RA	Solyc08g006500.3.1, Solyc06g063210.3.1, Solyc06g063180.2.1, Solyc06g063200.2.1, Solyc06g063170.3.1, Solyc06g063190.3.1
OG0000131	Dm_00020931-RA, Dm_00002070-RA	Solyc03g123410.1.1
OG0000134	Dm_00002439-RA, Dm_00009619-RA, Dm_00002440-RA	Solyc04g079260.3.1, Solyc04g079250.3.1, Solyc04g079240.3.1
OG0000135	Dm_00006540-RA, Dm_00009257-RA	Solyc04g049400.3.1
OG0000135	Dm_00010456-RA, Dm_00019007-RA	Solyc05g047550.3.1
OG0000136	Dm_00005806-RA	Solyc02g083580.4.1, Solyc03g033420.3.1, Solyc02g062020.3.1
OG0000137	Dm_00020784-RA, Dm_00016612-RA, Dm_00005256-RA, Dm_00006644-RA, Dm_00015272-RA, Dm_00020969-RA, Dm_00020646-RA	Solyc05g054380.2.1, Solyc09g091000.3.1, Solyc12g096960.2.1, Solyc09g090990.2.1, Solyc09g090970.3.1, Solyc09g090980.3.1
OG0000140	Dm_00010965-RA	Solyc11g011590.2.1, Solyc11g011580.2.1, Solyc04g008950.3.1, Solyc04g008940.3.1, Solyc11g011600.2.1, Solyc04g008930.2.1, Solyc04g008970.3.1, Solyc04g008960.3.1
OG0000143	Dm_00003928-RA	Solyc04g074340.3.1, Solyc04g074330.3.1, Solyc04g074390.3.1, Solyc04g074380.3.1, Solyc04g074350.3.1, Solyc04g074360.2.1, Solyc12g057060.2.1, Solyc12g057080.2.1, Solyc12g057070.2.1
OG0000144	Dm_00009698-RA, Dm_00010190-RA	Solyc01g103940.3.1
OG0000144	Dm_00009755-RA	Solyc04g012160.3.1, Solyc11g010130.2.1
OG0000145	Dm_00017523-RA	Solyc01g094210.2.1, Solyc01g099560.3.1, Solyc01g094240.3.1, Solyc01g094250.3.1, Solyc01g094260.3.1, Solyc01g094270.3.1, Solyc10g017570.3.1, Solyc01g094220.3.1
OG0000146	Dm_00013981-RA, Dm_00004551-RA, Dm_00004550-RA	Solyc09g015020.1.1, Solyc09g015000.3.1
OG0000147	Dm_00012154-RA	Solyc05g013650.2.1, Solyc05g013660.3.1
OG0000147	Dm_00005818-RA	Solyc02g093480.3.1
OG0000147	Dm_00004214-RA	Solyc06g075110.3.1, Solyc11g069550.1.1, Solyc06g010170.3.1
OG0000148	Dm_00003748-RA	Solyc06g076280.2.1
OG0000148	Dm_00012196-RA	Solyc05g053090.2.1
OG0000148	Dm_00014512-RA	Solyc10g086530.1.1, Solyc09g010920.1.1
OG0000149	Dm_00013011-RA	Solyc10g085630.2.1
OG0000149	Dm_00002696-RA	Solyc01g108790.2.1
OG0000149	Dm_00012150-RA	Solyc06g054520.1.1
OG0000152	Dm_00004775-RA	Solyc06g074780.1.1, Solyc06g074790.1.1
OG0000153	Dm_00003098-RA	Solyc09g007290.3.1
OG0000153	Dm_00004902-RA, Dm_00004472-RA	Solyc12g027650.1.1
OG0000154	Dm_00006672-RA, Dm_00009628-RA	Solyc05g005190.3.1
OG0000155	Dm_00014490-RA, Dm_00017503-RA	Solyc04g011800.1.1, Solyc04g011810.1.1, Solyc04g011790.1.1, Solyc04g011870.1.1, Solyc04g011850.1.1, Solyc04g011830.1.1, Solyc04g011840.1.1, Solyc04g011780.1.1, Solyc04g011860.1.1, Solyc04g011820.1.1, Solyc05g051730.1.1, Solyc05g051720.1.1, Solyc04g011880.1.1, Solyc04g053110.1.1, Solyc00g028960.1.1
OG0000156	Dm_00008466-RA	Solyc02g091980.2.1
OG0000156	Dm_00000763-RA	Solyc07g006750.3.1
OG0000156	Dm_00015627-RA	Solyc08g065910.1.1, Solyc12g008670.2.1
OG0000156	Dm_00010080-RA, Dm_00011484-RA	Solyc11g069030.2.1, Solyc06g074920.2.1, Solyc06g074910.3.1, Solyc09g008250.3.1
OG0000157	Dm_00017223-RA	Solyc10g007470.3.1
OG0000157	Dm_00002335-RA	Solyc03g116840.2.1
OG0000157	Dm_00004388-RA	Solyc10g080090.2.1, Solyc12g009640.1.1
OG0000159	Dm_00004560-RA	Solyc10g005060.3.1
OG0000159	Dm_00000193-RA	Solyc03g080180.3.1
OG0000160	Dm_00000160-RA	Solyc04g082610.3.1
OG0000160	Dm_00002270-RA, Dm_00012322-RA	Solyc02g082480.3.1
OG0000162	Dm_00020718-RA, Dm_00002774-RA	Solyc05g008930.3.1
OG0000163	Dm_00002817-RA, Dm_00007859-RA	Solyc06g083960.2.1, Solyc07g041150.3.1
OG0000163	Dm_00003550-RA	Solyc11g006220.2.1
OG0000164	Dm_00019025-RA, Dm_00020584-RA, Dm_00020207-RA	Solyc03g098280.3.1, Solyc06g072300.3.1
OG0000164	Dm_00014735-RA, Dm_00018986-RA	Solyc06g074730.3.1
OG0000164	Dm_00000108-RA	Solyc12g006790.2.1
OG0000168	Dm_00006284-RA	Solyc10g076940.2.1
OG0000168	Dm_00004247-RA, Dm_00004248-RA	Solyc01g096740.3.1
OG0000169	Dm_00001981-RA	Solyc05g055870.3.1, Solyc04g050990.3.1, Solyc12g098200.2.1, Solyc12g044930.2.1, Solyc12g098190.2.1, Solyc05g053620.3.1, Solyc04g056735.1.1, Solyc04g056710.2.1, Solyc04g056680.2.1, Solyc12g096890.1.1
OG0000170	Dm_00013647-RA	Solyc06g005800.3.1, Solyc06g076430.3.1
OG0000170	Dm_00003497-RA, Dm_00003545-RA	Solyc05g055060.3.1, Solyc09g090060.3.1, Solyc06g053630.3.1
OG0000171	Dm_00017813-RA, Dm_00000656-RA, Dm_00009503-RA	Solyc08g066660.1.1, Solyc03g120840.2.1, Solyc06g066540.1.1
OG0000171	Dm_00018421-RA	Solyc12g044390.2.1
OG0000171	Dm_00010899-RA	Solyc05g050830.2.1, Solyc01g090560.3.1, Solyc08g078410.1.1, Solyc08g078420.1.1
OG0000172	Dm_00001563-RA, Dm_00000012-RA	Solyc09g030450.3.1
