Orthogroup	D_muscipula.proteins	D_spatulata.proteins
OG0000013	Dm_00019593-RA	Ds_00003727-RA, Ds_00002949-RA
OG0000013	Dm_00012914-RA, Dm_00020238-RA, Dm_00013662-RA, Dm_00020287-RA, Dm_00014988-RA, Dm_00013988-RA, Dm_00021054-RA, Dm_00020941-RA, Dm_00015437-RA, Dm_00017135-RA, Dm_00010616-RA, Dm_00020728-RA, Dm_00017113-RA, Dm_00015655-RA, Dm_00018928-RA, Dm_00016617-RA, Dm_00020296-RA, Dm_00018994-RA, Dm_00010329-RA	Ds_00002982-RA, Ds_00010231-RA, Ds_00007837-RA, Ds_00002197-RA, Ds_00017475-RA, Ds_00017528-RA, Ds_00007059-RA, Ds_00005135-RA, Ds_00018060-RA, Ds_00010439-RA, Ds_00011318-RA, Ds_00002970-RA, Ds_00017544-RA, Ds_00002979-RA, Ds_00013854-RA, Ds_00002948-RA, Ds_00006651-RA, Ds_00007047-RA, Ds_00002218-RA, Ds_00017749-RA
OG0000013	Dm_00015653-RA	Ds_00016283-RA, Ds_00002097-RA
OG0000013	Dm_00018572-RA, Dm_00017981-RA, Dm_00018891-RA, Dm_00015909-RA, Dm_00015202-RA, Dm_00017427-RA, Dm_00020417-RA, Dm_00015927-RA, Dm_00020153-RA, Dm_00017114-RA, Dm_00007033-RA, Dm_00016008-RA, Dm_00014956-RA, Dm_00009270-RA, Dm_00018306-RA, Dm_00017376-RA, Dm_00010778-RA, Dm_00013871-RA, Dm_00012673-RA, Dm_00020940-RA, Dm_00021006-RA, Dm_00013953-RA, Dm_00013496-RA, Dm_00015172-RA, Dm_00020495-RA, Dm_00019806-RA, Dm_00015438-RA, Dm_00010671-RA, Dm_00020257-RA, Dm_00018571-RA, Dm_00015473-RA, Dm_00020532-RA, Dm_00016750-RA, Dm_00017490-RA, Dm_00021009-RA, Dm_00014510-RA, Dm_00009915-RA, Dm_00018462-RA, Dm_00020235-RA, Dm_00018799-RA, Dm_00020727-RA, Dm_00013048-RA, Dm_00019255-RA, Dm_00016574-RA, Dm_00006135-RA, Dm_00018617-RA, Dm_00017459-RA, Dm_00018999-RA, Dm_00020533-RA, Dm_00016151-RA, Dm_00006611-RA, Dm_00016968-RA	Ds_00002757-RA
OG0000013	Dm_00015106-RA, Dm_00009424-RA, Dm_00020827-RA, Dm_00020289-RA, Dm_00018235-RA, Dm_00015821-RA, Dm_00019066-RA, Dm_00013719-RA, Dm_00020214-RA, Dm_00016950-RA, Dm_00014528-RA, Dm_00019424-RA, Dm_00020653-RA, Dm_00020963-RA, Dm_00018901-RA, Dm_00020675-RA, Dm_00021063-RA	Ds_00013865-RA, Ds_00016661-RA, Ds_00017474-RA, Ds_00007048-RA, Ds_00007851-RA, Ds_00011334-RA, Ds_00010326-RA, Ds_00008961-RA, Ds_00017098-RA, Ds_00015155-RA, Ds_00007835-RA
OG0000015	Dm_00012726-RA	Ds_00013984-RA, Ds_00015603-RA
OG0000015	Dm_00007752-RA	Ds_00013983-RA
OG0000015	Dm_00001315-RA	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA
OG0000018	Dm_00020011-RA	Ds_00006436-RA, Ds_00006435-RA
OG0000018	Dm_00012812-RA	Ds_00015426-RA
OG0000019	Dm_00014686-RA, Dm_00017033-RA	Ds_00013591-RA
OG0000019	Dm_00020734-RA, Dm_00005579-RA, Dm_00019563-RA, Dm_00006375-RA, Dm_00019844-RA, Dm_00007300-RA, Dm_00016272-RA, Dm_00021017-RA, Dm_00017590-RA, Dm_00014428-RA, Dm_00014558-RA, Dm_00007609-RA, Dm_00016767-RA, Dm_00018464-RA, Dm_00020270-RA, Dm_00015931-RA, Dm_00015539-RA, Dm_00019011-RA, Dm_00014432-RA, Dm_00012621-RA, Dm_00016971-RA, Dm_00017477-RA, Dm_00004315-RA, Dm_00017073-RA, Dm_00013073-RA, Dm_00017560-RA, Dm_00019720-RA, Dm_00016413-RA, Dm_00019948-RA, Dm_00017346-RA, Dm_00015364-RA, Dm_00012740-RA, Dm_00019871-RA, Dm_00004539-RA, Dm_00019761-RA, Dm_00018511-RA, Dm_00011755-RA, Dm_00018774-RA, Dm_00014406-RA, Dm_00020178-RA, Dm_00019191-RA, Dm_00016615-RA, Dm_00015013-RA, Dm_00019380-RA, Dm_00020068-RA, Dm_00016909-RA, Dm_00019688-RA, Dm_00010269-RA, Dm_00018239-RA, Dm_00019447-RA, Dm_00014943-RA, Dm_00020499-RA, Dm_00011284-RA, Dm_00015586-RA, Dm_00020709-RA, Dm_00016857-RA, Dm_00011686-RA, Dm_00017663-RA, Dm_00014420-RA, Dm_00019125-RA, Dm_00013071-RA, Dm_00017859-RA, Dm_00020069-RA, Dm_00017858-RA, Dm_00009842-RA, Dm_00010268-RA, Dm_00020991-RA, Dm_00020868-RA, Dm_00015867-RA, Dm_00007227-RA, Dm_00014638-RA, Dm_00019689-RA, Dm_00017481-RA, Dm_00016910-RA, Dm_00007851-RA, Dm_00018816-RA, Dm_00014208-RA, Dm_00018621-RA, Dm_00006936-RA, Dm_00020538-RA, Dm_00005582-RA, Dm_00014635-RA, Dm_00020947-RA, Dm_00009340-RA, Dm_00012987-RA, Dm_00019089-RA, Dm_00014516-RA, Dm_00018616-RA, Dm_00017856-RA, Dm_00017736-RA, Dm_00011283-RA, Dm_00016412-RA, Dm_00016662-RA, Dm_00014302-RA, Dm_00013604-RA, Dm_00020277-RA, Dm_00016682-RA, Dm_00018137-RA, Dm_00019427-RA, Dm_00020537-RA, Dm_00014051-RA, Dm_00018386-RA, Dm_00014615-RA, Dm_00017619-RA, Dm_00017849-RA, Dm_00021069-RA, Dm_00016027-RA, Dm_00017817-RA, Dm_00014983-RA, Dm_00011765-RA, Dm_00014279-RA, Dm_00009201-RA, Dm_00014548-RA, Dm_00013455-RA, Dm_00014482-RA, Dm_00003005-RA, Dm_00020539-RA, Dm_00013603-RA, Dm_00017010-RA, Dm_00013165-RA, Dm_00018426-RA, Dm_00014536-RA, Dm_00009418-RA, Dm_00021135-RA, Dm_00018481-RA, Dm_00019344-RA, Dm_00005400-RA, Dm_00011794-RA, Dm_00014839-RA, Dm_00020878-RA, Dm_00013190-RA, Dm_00020665-RA, Dm_00020038-RA, Dm_00020700-RA, Dm_00014927-RA, Dm_00020517-RA, Dm_00013789-RA, Dm_00016770-RA, Dm_00015324-RA, Dm_00017007-RA, Dm_00015140-RA, Dm_00016423-RA, Dm_00020352-RA, Dm_00019988-RA, Dm_00014986-RA, Dm_00013920-RA, Dm_00012483-RA, Dm_00019789-RA, Dm_00020339-RA, Dm_00019105-RA, Dm_00015264-RA, Dm_00015836-RA, Dm_00020041-RA, Dm_00019942-RA, Dm_00020828-RA, Dm_00017737-RA, Dm_00019864-RA, Dm_00020923-RA, Dm_00012452-RA, Dm_00019446-RA, Dm_00008281-RA, Dm_00013197-RA, Dm_00010228-RA, Dm_00020879-RA, Dm_00012213-RA, Dm_00007478-RA, Dm_00020581-RA, Dm_00020713-RA, Dm_00014972-RA, Dm_00012069-RA, Dm_00006314-RA, Dm_00020081-RA, Dm_00013872-RA, Dm_00014481-RA, Dm_00012087-RA, Dm_00006566-RA, Dm_00019865-RA, Dm_00011649-RA, Dm_00019867-RA, Dm_00004803-RA, Dm_00016491-RA, Dm_00019062-RA, Dm_00019533-RA, Dm_00006104-RA, Dm_00016263-RA, Dm_00003004-RA, Dm_00010689-RA, Dm_00010560-RA, Dm_00016688-RA, Dm_00020759-RA, Dm_00017707-RA, Dm_00015699-RA, Dm_00013166-RA, Dm_00013167-RA, Dm_00008143-RA, Dm_00019925-RA, Dm_00018480-RA, Dm_00017183-RA, Dm_00015004-RA, Dm_00009200-RA, Dm_00008144-RA, Dm_00015538-RA, Dm_00017009-RA, Dm_00016674-RA, Dm_00002916-RA, Dm_00017585-RA, Dm_00014433-RA, Dm_00004314-RA, Dm_00011789-RA, Dm_00017074-RA, Dm_00016414-RA, Dm_00017476-RA	Ds_00006891-RA
OG0000020	Dm_00011630-RA, Dm_00020198-RA, Dm_00019574-RA, Dm_00016079-RA, Dm_00016826-RA, Dm_00005850-RA, Dm_00017912-RA, Dm_00014086-RA, Dm_00010800-RA, Dm_00019712-RA, Dm_00014691-RA, Dm_00006753-RA, Dm_00019278-RA, Dm_00020290-RA, Dm_00010987-RA, Dm_00014713-RA, Dm_00006100-RA, Dm_00020018-RA, Dm_00009671-RA, Dm_00014188-RA, Dm_00020645-RA, Dm_00017110-RA, Dm_00017208-RA	Ds_00017581-RA
OG0000020	Dm_00011749-RA, Dm_00019082-RA, Dm_00017569-RA, Dm_00020366-RA, Dm_00010309-RA, Dm_00013471-RA, Dm_00017109-RA, Dm_00017423-RA, Dm_00010590-RA, Dm_00016323-RA	Ds_00013241-RA
OG0000020	Dm_00015128-RA, Dm_00016115-RA, Dm_00019416-RA, Dm_00018721-RA, Dm_00018351-RA, Dm_00019807-RA, Dm_00019379-RA, Dm_00021015-RA, Dm_00020708-RA, Dm_00017922-RA, Dm_00020633-RA, Dm_00013495-RA, Dm_00017097-RA, Dm_00019649-RA, Dm_00018168-RA, Dm_00014849-RA, Dm_00003766-RA, Dm_00014950-RA, Dm_00015816-RA, Dm_00021087-RA, Dm_00015965-RA, Dm_00009665-RA, Dm_00018299-RA, Dm_00014560-RA, Dm_00020331-RA, Dm_00015352-RA, Dm_00012829-RA, Dm_00015010-RA, Dm_00019851-RA, Dm_00007382-RA, Dm_00018643-RA, Dm_00016598-RA, Dm_00019302-RA, Dm_00018228-RA, Dm_00015206-RA, Dm_00018352-RA, Dm_00015559-RA	Ds_00010462-RA
OG0000021	Dm_00003959-RA	Ds_00002122-RA
OG0000021	Dm_00004650-RA	Ds_00009888-RA
OG0000021	Dm_00010344-RA	Ds_00002123-RA, Ds_00001335-RA, Ds_00002132-RA, Ds_00010245-RA
OG0000021	Dm_00010968-RA	Ds_00016546-RA
OG0000021	Dm_00020262-RA	Ds_00010246-RA
OG0000021	Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA	Ds_00013127-RA
OG0000021	Dm_00010156-RA	Ds_00011994-RA
OG0000022	Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA
OG0000023	Dm_00006652-RA	Ds_00005184-RA, Ds_00006219-RA
OG0000023	Dm_00007864-RA, Dm_00007863-RA	Ds_00016053-RA
OG0000024	Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA	Ds_00007357-RA, Ds_00007354-RA
OG0000025	Dm_00003443-RA	Ds_00008906-RA
OG0000025	Dm_00007239-RA	Ds_00008905-RA
OG0000026	Dm_00006966-RA, Dm_00006968-RA, Dm_00006808-RA	Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA
OG0000026	Dm_00005746-RA, Dm_00012208-RA, Dm_00012362-RA, Dm_00004585-RA, Dm_00020406-RA	Ds_00002475-RA
OG0000026	Dm_00006967-RA	Ds_00016879-RA, Ds_00016881-RA
OG0000027	Dm_00014996-RA	Ds_00016246-RA
OG0000027	Dm_00013634-RA	Ds_00016163-RA
OG0000027	Dm_00019371-RA	Ds_00002306-RA
OG0000027	Dm_00004939-RA	Ds_00000646-RA
OG0000027	Dm_00004749-RA, Dm_00000738-RA	Ds_00007953-RA, Ds_00009832-RA
