Orthogroup	A_hypochondriacus.proteins	A_vesiculosa.proteins
OG0000024	AH017854-RA, AH007410-RA	Av_00007869-RA
OG0000024	AH007961-RA, AH010292-RA	Av_00004852-RA
OG0000025	AH001710-RA, AH001709-RA, AH023136-RA	Av_00000980-RA, Av_00012375-RA
OG0000025	AH001699-RA, AH001703-RA, AH001700-RA, AH001701-RA, AH001705-RA, AH001698-RA, AH001704-RA	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA
OG0000027	AH002791-RA	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA, Av_00004078-RA, Av_00023371-RA, Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA, Av_00009069-RA
OG0000028	AH020918-RA	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA
OG0000028	AH013996-RA, AH019532-RA	Av_00011314-RA
OG0000029	AH011168-RA	Av_00016651-RA
OG0000031	AH010117-RA	Av_00004188-RA, Av_00015999-RA, Av_00023881-RA, Av_00019981-RA
OG0000031	AH005774-RA	Av_00023880-RA
OG0000032	AH008800-RA	Av_00017613-RA
OG0000032	AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA	Av_00005837-RA
OG0000034	AH018551-RA	Av_00010139-RA
OG0000034	AH015068-RA	Av_00014124-RA, Av_00014125-RA, Av_00003681-RA, Av_00003677-RA, Av_00003679-RA
OG0000037	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA	Av_00004452-RA, Av_00001047-RA
OG0000037	AH022157-RA, AH022156-RA	Av_00005925-RA
OG0000038	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA	Av_00017653-RA
OG0000041	AH002675-RA, AH017708-RA	Av_00023746-RA, Av_00022768-RA
OG0000042	AH016437-RA	Av_00019089-RA
OG0000042	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA	Av_00009478-RA, Av_00008427-RA
OG0000044	AH003991-RA	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	AH008438-RA	Av_00016449-RA
OG0000044	AH013313-RA	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA
OG0000044	AH002596-RA, AH017804-RA	Av_00002322-RA, Av_00009708-RA
OG0000046	AH000561-RA	Av_00004429-RA, Av_00012280-RA
OG0000046	AH020861-RA	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	AH005447-RA, AH004082-RA	Av_00002747-RA, Av_00016996-RA
OG0000046	AH016482-RA	Av_00009129-RA, Av_00005749-RA
OG0000046	AH003338-RA, AH002087-RA, AH000466-RA	Av_00024073-RA, Av_00006807-RA
OG0000047	AH003569-RA	Av_00021683-RA
OG0000047	AH008841-RA	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA
OG0000047	AH000830-RA, AH000718-RA	Av_00015257-RA, Av_00010932-RA
OG0000047	AH011231-RA, AH020493-RA	Av_00024563-RA
OG0000047	AH011987-RA	Av_00018720-RA
OG0000047	AH000704-RA, AH002383-RA, AH008924-RA, AH002384-RA, AH003784-RA, AH008644-RA	Av_00021866-RA
OG0000047	AH017470-RA	Av_00011225-RA
OG0000047	AH016591-RA	Av_00005783-RA, Av_00024227-RA
OG0000047	AH009198-RA	Av_00015234-RA, Av_00010903-RA
OG0000050	AH022273-RA	Av_00018938-RA
OG0000055	AH005218-RA, AH004572-RA	Av_00002758-RA
OG0000055	AH007027-RA	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000058	AH012624-RA	Av_00002928-RA
OG0000059	AH004860-RA	Av_00016663-RA, Av_00008085-RA
OG0000060	AH016857-RA	Av_00019407-RA, Av_00013026-RA, Av_00002915-RA
OG0000063	AH001425-RA, AH001424-RA	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA
OG0000063	AH023171-RA, AH016307-RA, AH016306-RA	Av_00005674-RA
OG0000065	AH020188-RA	Av_00001967-RA
OG0000067	AH001311-RA	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA
OG0000067	AH020385-RA, AH006767-RA	Av_00002873-RA, Av_00024311-RA, Av_00023884-RA
OG0000067	AH020386-RA	Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA
OG0000070	AH008914-RA, AH023567-RA	Av_00003740-RA
OG0000070	AH004919-RA, AH004504-RA, AH022950-RA	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000070	AH013681-RA	Av_00013415-RA, Av_00023180-RA
OG0000071	AH022369-RA, AH013559-RA	Av_00011182-RA, Av_00001686-RA
OG0000071	AH019943-RA	Av_00009962-RA
OG0000071	AH012735-RA	Av_00021173-RA
OG0000071	AH020129-RA	Av_00011924-RA
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA
OG0000071	AH013047-RA	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA
OG0000071	AH004886-RA	Av_00002646-RA, Av_00005357-RA
OG0000072	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA	Av_00011117-RA
OG0000077	AH000842-RA	Av_00007275-RA
OG0000078	AH022838-RA	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA
OG0000079	AH008309-RA	Av_00009274-RA
OG0000085	AH014594-RA, AH021106-RA	Av_00009790-RA, Av_00008760-RA
OG0000085	AH013377-RA, AH013378-RA	Av_00021920-RA, Av_00004097-RA
OG0000085	AH021680-RA	Av_00005421-RA, Av_00002984-RA
OG0000085	AH015892-RA, AH017005-RA	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000087	AH006703-RA, AH020455-RA	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	AH004659-RA	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
OG0000088	AH007982-RA	Av_00002335-RA, Av_00019465-RA
OG0000088	AH002003-RA, AH000992-RA, AH014780-RA	Av_00003725-RA
OG0000089	AH002040-RA	Av_00004150-RA
OG0000089	AH019224-RA, AH019223-RA	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA
OG0000090	AH003790-RA, AH010641-RA	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA
OG0000090	AH005307-RA	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA
OG0000091	AH020558-RA, AH020560-RA	Av_00024182-RA, Av_00022189-RA
OG0000091	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA
OG0000092	AH016633-RA	Av_00005802-RA
OG0000092	AH021997-RA, AH012260-RA	Av_00005801-RA
OG0000095	AH013260-RA	Av_00016560-RA
OG0000095	AH006304-RA	Av_00022745-RA, Av_00014819-RA
OG0000095	AH010162-RA	Av_00015892-RA, Av_00013399-RA
OG0000096	AH005894-RA	Av_00015889-RA
OG0000097	AH021560-RA, AH010510-RA, AH010508-RA, AH010504-RA, AH009815-RA, AH023774-RA, AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA, AH009811-RA	Av_00021109-RA
OG0000098	AH016758-RA	Av_00009967-RA
OG0000098	AH003177-RA	Av_00020806-RA, Av_00006102-RA
OG0000102	AH010958-RA, AH012445-RA	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA
OG0000103	AH010123-RA	Av_00007835-RA, Av_00000217-RA
OG0000103	AH011687-RA	Av_00018171-RA
OG0000104	AH021778-RA, AH012562-RA	Av_00018015-RA
OG0000104	AH012563-RA	Av_00015686-RA
OG0000105	AH021428-RA, AH014857-RA	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA
OG0000105	AH012640-RA, AH021838-RA	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA
OG0000106	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA
OG0000107	AH004190-RA, AH005485-RA	Av_00000247-RA, Av_00006353-RA
OG0000107	AH001713-RA	Av_00007784-RA
OG0000108	AH010687-RA, AH001829-RA	Av_00010829-RA, Av_00005367-RA
OG0000108	AH012760-RA, AH014759-RA	Av_00003730-RA
OG0000109	AH001741-RA	Av_00018758-RA, Av_00008820-RA
OG0000109	AH003764-RA	Av_00021187-RA, Av_00001943-RA
OG0000109	AH008949-RA	Av_00011101-RA, Av_00009901-RA
OG0000110	AH019974-RA, AH007045-RA	Av_00020501-RA, Av_00008377-RA
OG0000112	AH015562-RA	Av_00022328-RA
OG0000113	AH016269-RA, AH023225-RA	Av_00023507-RA
OG0000113	AH018586-RA	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA
OG0000113	AH018584-RA	Av_00014535-RA, Av_00010366-RA, Av_00003020-RA, Av_00005449-RA
OG0000114	AH015161-RA	Av_00003668-RA, Av_00015326-RA
OG0000115	AH020498-RA	Av_00020585-RA
OG0000115	AH002718-RA, AH002719-RA, AH011596-RA, AH021864-RA, AH006630-RA	Av_00020146-RA
OG0000116	AH022502-RA	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA
OG0000118	AH012040-RA, AH019634-RA	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA
OG0000118	AH002266-RA	Av_00007265-RA
OG0000118	AH009602-RA	Av_00013942-RA
OG0000120	AH020337-RA, AH006837-RA	Av_00014461-RA, Av_00022346-RA
OG0000120	AH020344-RA	Av_00021880-RA
OG0000120	AH009707-RA	Av_00010880-RA
OG0000120	AH018632-RA	Av_00020803-RA
OG0000121	AH010321-RA	Av_00001370-RA
OG0000121	AH003861-RA	Av_00015288-RA
OG0000121	AH022634-RA	Av_00013289-RA
OG0000121	AH003011-RA	Av_00012522-RA
OG0000122	AH015608-RA	Av_00015184-RA, Av_00024977-RA, Av_00014604-RA
OG0000122	AH003330-RA	Av_00015160-RA, Av_00024373-RA
OG0000124	AH001376-RA	Av_00010170-RA
OG0000125	AH012890-RA	Av_00006820-RA
OG0000125	AH010561-RA	Av_00020356-RA
OG0000125	AH010563-RA	Av_00016779-RA
OG0000127	AH010397-RA	Av_00014440-RA, Av_00001249-RA
OG0000127	AH022171-RA, AH012869-RA	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA
OG0000127	AH002969-RA, AH017357-RA	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA
OG0000129	AH019249-RA	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA
OG0000131	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA	Av_00008767-RA
OG0000134	AH001790-RA, AH001791-RA	Av_00001044-RA, Av_00022546-RA, Av_00018234-RA
OG0000135	AH022214-RA	Av_00015825-RA
OG0000135	AH016059-RA	Av_00023049-RA
OG0000135	AH013502-RA	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA
OG0000135	AH015896-RA	Av_00017962-RA, Av_00001097-RA
OG0000137	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA	Av_00012426-RA, Av_00009313-RA, Av_00015913-RA, Av_00010531-RA, Av_00010516-RA
OG0000138	AH005424-RA	Av_00011570-RA
OG0000139	AH023020-RA	Av_00011998-RA, Av_00005008-RA, Av_00005715-RA
OG0000140	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA	Av_00019737-RA
OG0000143	AH016191-RA, AH008728-RA	Av_00008537-RA
OG0000143	AH008727-RA	Av_00017945-RA, Av_00002008-RA
OG0000144	AH010736-RA	Av_00016136-RA
OG0000144	AH004163-RA	Av_00016294-RA
OG0000145	AH009242-RA	Av_00008637-RA, Av_00011445-RA
OG0000146	AH013670-RA, AH013668-RA	Av_00013344-RA, Av_00023979-RA, Av_00020548-RA, Av_00020547-RA, Av_00006138-RA
OG0000146	AH019053-RA, AH016411-RA, AH023019-RA, AH023024-RA, AH008823-RA	Av_00011999-RA
OG0000147	AH021952-RA	Av_00021851-RA
OG0000147	AH000183-RA	Av_00012705-RA, Av_00020525-RA
OG0000148	AH022555-RA, AH013718-RA, AH013719-RA, AH013714-RA	Av_00022736-RA
OG0000148	AH022552-RA	Av_00019670-RA, Av_00006146-RA
OG0000149	AH016220-RA	Av_00001613-RA
OG0000149	AH022324-RA	Av_00011501-RA
OG0000152	AH000407-RA	Av_00023873-RA
OG0000152	AH022508-RA	Av_00022456-RA
OG0000152	AH022506-RA	Av_00006096-RA, Av_00005508-RA, Av_00013353-RA
OG0000153	AH021960-RA	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA
OG0000153	AH008291-RA	Av_00000144-RA
OG0000153	AH007368-RA	Av_00001271-RA, Av_00015076-RA
OG0000154	AH019982-RA	Av_00006639-RA
OG0000154	AH017268-RA	Av_00006929-RA, Av_00021050-RA
OG0000155	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA	Av_00001520-RA, Av_00013491-RA
OG0000155	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA	Av_00024885-RA, Av_00001519-RA
OG0000157	AH001951-RA	Av_00010056-RA, Av_00007953-RA
OG0000157	AH019804-RA	Av_00005838-RA, Av_00007384-RA, Av_00003795-RA, Av_00021642-RA
OG0000159	AH009478-RA, AH009480-RA	Av_00008586-RA
OG0000159	AH011882-RA	Av_00009492-RA
OG0000160	AH016892-RA, AH023753-RA	Av_00007416-RA
OG0000160	AH005973-RA	Av_00022355-RA, Av_00022827-RA
OG0000161	AH010020-RA	Av_00019011-RA, Av_00019010-RA, Av_00019007-RA
OG0000162	AH022861-RA, AH022859-RA	Av_00004972-RA
OG0000162	AH005478-RA, AH004130-RA	Av_00007787-RA
OG0000163	AH014552-RA	Av_00000797-RA, Av_00003444-RA
OG0000163	AH013346-RA	Av_00006762-RA, Av_00008041-RA
OG0000163	AH002639-RA, AH017756-RA	Av_00004788-RA
OG0000164	AH021228-RA, AH014343-RA	Av_00009562-RA, Av_00022631-RA
OG0000164	AH001454-RA, AH000392-RA	Av_00014947-RA
OG0000164	AH020804-RA, AH014173-RA	Av_00009037-RA, Av_00021627-RA
OG0000165	AH001450-RA, AH009997-RA	Av_00019533-RA
OG0000168	AH007811-RA	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA
OG0000169	AH003317-RA	Av_00014436-RA, Av_00014435-RA, Av_00014437-RA, Av_00006958-RA
OG0000170	AH022999-RA, AH016450-RA	Av_00005721-RA
OG0000170	AH011283-RA	Av_00005502-RA, Av_00024526-RA
OG0000170	AH007222-RA, AH010754-RA	Av_00015134-RA, Av_00006691-RA, Av_00016145-RA
OG0000171	AH000491-RA, AH002132-RA	Av_00010251-RA, Av_00010250-RA, Av_00010069-RA, Av_00004643-RA, Av_00024165-RA, Av_00022584-RA, Av_00004133-RA, Av_00008001-RA, Av_00006803-RA
OG0000171	AH018302-RA, AH009054-RA	Av_00023216-RA, Av_00010986-RA
OG0000172	AH019304-RA, AH015622-RA	Av_00019965-RA
OG0000179	AH015938-RA	Av_00013630-RA, Av_00008250-RA, Av_00008208-RA
OG0000179	AH012805-RA	Av_00012567-RA
OG0000179	AH004307-RA	Av_00020630-RA, Av_00014246-RA, Av_00011691-RA
OG0000180	AH014306-RA, AH021076-RA	Av_00007137-RA, Av_00017139-RA, Av_00021970-RA
OG0000180	AH022087-RA	Av_00002186-RA
OG0000181	AH008868-RA	Av_00020506-RA, Av_00008380-RA, Av_00008381-RA
OG0000181	AH010377-RA, AH003266-RA	Av_00011782-RA
OG0000182	AH001251-RA, AH000172-RA, AH021993-RA	Av_00013467-RA, Av_00013640-RA, Av_00023400-RA
OG0000182	AH012779-RA	Av_00004288-RA, Av_00009862-RA, Av_00011072-RA, Av_00018316-RA, Av_00007261-RA
OG0000183	AH000308-RA, AH001363-RA	Av_00017849-RA, Av_00022898-RA, Av_00019892-RA, Av_00021012-RA, Av_00006175-RA, Av_00008439-RA
OG0000183	AH015254-RA	Av_00014103-RA
OG0000184	AH007212-RA	Av_00002027-RA, Av_00017044-RA
OG0000184	AH019907-RA, AH007213-RA	Av_00012870-RA, Av_00012869-RA, Av_00012866-RA
OG0000185	AH007772-RA	Av_00020648-RA, Av_00000618-RA
OG0000185	AH020040-RA	Av_00020843-RA
OG0000186	AH004613-RA	Av_00002766-RA, Av_00005199-RA, Av_00000877-RA, Av_00022484-RA, Av_00000876-RA
OG0000187	AH006242-RA	Av_00004735-RA
OG0000187	AH003378-RA, AH006240-RA	Av_00020489-RA
OG0000187	AH003380-RA	Av_00018686-RA
OG0000187	AH004538-RA, AH005195-RA	Av_00000886-RA
OG0000188	AH009637-RA	Av_00008619-RA, Av_00014654-RA
OG0000189	AH004583-RA	Av_00020740-RA
OG0000192	AH011160-RA, AH011162-RA, AH011161-RA	Av_00019192-RA, Av_00011814-RA
OG0000192	AH007480-RA, AH011104-RA	Av_00010659-RA
OG0000192	AH011736-RA	Av_00014755-RA
OG0000193	AH002455-RA	Av_00015944-RA
OG0000198	AH013656-RA	Av_00013347-RA
OG0000199	AH011848-RA	Av_00003513-RA
OG0000199	AH001884-RA	Av_00004418-RA, Av_00012295-RA, Av_00021266-RA, Av_00001076-RA
OG0000199	AH015573-RA	Av_00009032-RA, Av_00003777-RA, Av_00007403-RA, Av_00019446-RA
OG0000200	AH005778-RA	Av_00001956-RA
OG0000201	AH020018-RA	Av_00002041-RA
OG0000206	AH010923-RA	Av_00014917-RA, Av_00008149-RA
OG0000206	AH022824-RA, AH007651-RA	Av_00023641-RA
OG0000207	AH002648-RA	Av_00001416-RA
OG0000207	AH018948-RA	Av_00012253-RA
OG0000207	AH009146-RA	Av_00010915-RA, Av_00015240-RA
OG0000207	AH009147-RA	Av_00000060-RA
OG0000208	AH013416-RA, AH022322-RA, AH013411-RA	Av_00015817-RA
OG0000211	AH015397-RA, AH019277-RA	Av_00003836-RA, Av_00005037-RA, Av_00021376-RA
OG0000211	AH005036-RA, AH004370-RA	Av_00006413-RA, Av_00007555-RA, Av_00015516-RA, Av_00016968-RA
OG0000212	AH019579-RA, AH012403-RA	Av_00009181-RA, Av_00022867-RA, Av_00001625-RA, Av_00012930-RA, Av_00009405-RA, Av_00002082-RA
OG0000213	AH021488-RA, AH014963-RA	Av_00007469-RA, Av_00005967-RA
OG0000213	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA	Av_00017744-RA, Av_00019827-RA
OG0000216	AH008260-RA	Av_00002521-RA, Av_00003068-RA
OG0000216	AH002574-RA	Av_00025005-RA, Av_00001398-RA
OG0000216	AH000038-RA	Av_00011937-RA, Av_00019820-RA
OG0000217	AH006817-RA, AH006820-RA	Av_00020112-RA, Av_00024943-RA, Av_00022548-RA, Av_00020119-RA, Av_00017471-RA, Av_00017469-RA, Av_00023791-RA, Av_00020115-RA, Av_00024487-RA, Av_00024081-RA, Av_00022549-RA, Av_00020117-RA, Av_00017485-RA, Av_00020111-RA, Av_00022551-RA, Av_00017477-RA, Av_00023250-RA, Av_00017481-RA, Av_00020121-RA, Av_00020110-RA, Av_00001118-RA, Av_00018235-RA
OG0000218	AH021003-RA	Av_00012318-RA
OG0000218	AH018419-RA	Av_00022649-RA, Av_00022097-RA
OG0000219	AH012080-RA	Av_00012929-RA
OG0000220	AH018373-RA	Av_00018653-RA
OG0000220	AH018372-RA	Av_00003043-RA
OG0000220	AH018371-RA	Av_00000134-RA
OG0000220	AH002688-RA	Av_00000133-RA
OG0000221	AH016860-RA	Av_00012992-RA
OG0000221	AH015847-RA, AH019151-RA	Av_00006316-RA
OG0000222	AH018451-RA, AH011549-RA	Av_00018681-RA
OG0000222	AH019420-RA, AH010384-RA, AH019521-RA	Av_00005942-RA, Av_00005628-RA
OG0000222	AH012987-RA	Av_00019951-RA, Av_00001491-RA
OG0000222	AH012396-RA	Av_00020751-RA, Av_00023020-RA
OG0000224	AH021647-RA, AH015222-RA	Av_00008716-RA, Av_00003651-RA
OG0000224	AH000336-RA, AH001344-RA	Av_00023780-RA, Av_00008534-RA, Av_00013126-RA, Av_00022314-RA, Av_00020261-RA
OG0000227	AH019119-RA	Av_00022148-RA
OG0000227	AH022956-RA, AH016463-RA	Av_00004995-RA, Av_00003894-RA, Av_00005737-RA, Av_00016728-RA, Av_00016727-RA, Av_00022907-RA, Av_00022213-RA
OG0000228	AH003360-RA	Av_00020419-RA, Av_00011597-RA, Av_00018603-RA
OG0000228	AH002970-RA, AH017354-RA	Av_00011221-RA, Av_00009247-RA, Av_00015029-RA
OG0000229	AH003810-RA, AH005782-RA	Av_00019979-RA, Av_00012518-RA, Av_00017907-RA, Av_00001955-RA
OG0000230	AH023644-RA	Av_00012766-RA
OG0000230	AH009416-RA	Av_00022270-RA, Av_00014614-RA, Av_00008578-RA
OG0000231	AH004765-RA	Av_00000905-RA, Av_00015481-RA, Av_00020742-RA, Av_00021489-RA
OG0000232	AH008127-RA	Av_00002446-RA, Av_00015772-RA, Av_00022924-RA
OG0000235	AH007677-RA, AH010905-RA	Av_00001192-RA, Av_00011874-RA, Av_00007016-RA, Av_00006516-RA
OG0000235	AH020331-RA, AH006874-RA, AH006856-RA	Av_00018801-RA
