Orthogroup	A_hypochondriacus.proteins	V_vinifera.proteins
OG0000021	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA	VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1
OG0000022	AH010680-RA, AH013136-RA, AH015771-RA, AH015772-RB, AH015772-RA, AH019050-RA	VIT_213s0084g00030.1
OG0000023	AH000663-RA	VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1
OG0000024	AH017854-RA, AH007410-RA	VIT_219s0027g00030.1, VIT_219s0135g00200.1, VIT_219s0135g00150.4, VIT_219s0135g00120.1, VIT_219s0135g00130.2, VIT_219s0015g02500.3
OG0000024	AH012583-RA	VIT_219s0135g00230.5, VIT_219s0135g00230.4, VIT_219s0135g00230.3, VIT_219s0015g02910.2, VIT_219s0015g02500.4, VIT_219s0015g02500.2, VIT_219s0135g00230.2, VIT_219s0135g00230.1, VIT_219s0015g02500.1, VIT_219s0015g02500.7, VIT_219s0015g02660.1, VIT_219s0015g02900.1, VIT_219s0015g02520.1, VIT_219s0015g02780.1, VIT_219s0015g02910.1, VIT_219s0015g02440.1, VIT_219s0015g02140.3, VIT_219s0015g02140.5, VIT_219s0015g02140.1, VIT_219s0015g02090.3, VIT_219s0015g02090.1, VIT_219s0135g00150.1, VIT_219s0135g00150.2, VIT_219s0135g00150.3, VIT_219s0135g00130.1
OG0000026	AH010288-RA	VIT_218s0001g04510.1, VIT_218s0001g05460.1
OG0000026	AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA	VIT_218s0001g04090.1, VIT_218s0001g04830.1
OG0000026	AH010101-RA	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1
OG0000027	AH002791-RA	VIT_209s0002g00130.3, VIT_209s0002g00130.4, VIT_217s0000g05540.1, VIT_214s0066g02550.1
OG0000027	AH009374-RA	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2
OG0000028	AH020918-RA	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1
OG0000029	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA	VIT_218s0041g00020.1, VIT_218s0041g00040.1
OG0000029	AH006350-RA	VIT_203s0132g00390.1, VIT_203s0132g00350.1
OG0000030	AH004946-RA, AH004294-RA	VIT_200s0918g00015.1
OG0000030	AH016837-RA, AH023677-RA, AH023678-RA, AH002346-RA	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1
OG0000030	AH004951-RA, AH004295-RA	VIT_200s0976g00010.1, VIT_200s1235g00020.1
OG0000031	AH010117-RA	VIT_204s0023g03790.1, VIT_204s0023g03810.1
OG0000031	AH006620-RA, AH020546-RA, AH017304-RA	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1
OG0000031	AH005774-RA	VIT_204s0023g02170.2, VIT_204s0023g02170.1
OG0000031	AH010116-RA	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1
OG0000032	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1
OG0000034	AH018551-RA	VIT_200s0532g00070.1
OG0000034	AH015068-RA	VIT_200s2745g00010.1, VIT_200s2659g00010.1, VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1, VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1, VIT_210s0092g00650.1, VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1, VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1
OG0000037	AH022157-RA, AH022156-RA	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1
OG0000038	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA	VIT_219s0015g00070.1, VIT_217s0000g09550.1
OG0000041	AH007879-RA	VIT_207s0130g00040.1
OG0000041	AH002675-RA, AH017708-RA	VIT_207s0005g01210.2, VIT_207s0005g01210.1
OG0000042	AH016437-RA	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4
OG0000042	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000043	AH015073-RA, AH010383-RA	VIT_200s0790g00020.1, VIT_200s0705g00010.1, VIT_207s0129g00800.1, VIT_207s0129g00760.1, VIT_207s0129g00710.1, VIT_207s0129g00730.1, VIT_207s0129g00810.1, VIT_207s0129g00820.1, VIT_214s0030g01940.1, VIT_207s0129g00850.1
OG0000043	AH015075-RA, AH015076-RA, AH015074-RA	VIT_218s0001g09660.1
OG0000043	AH015480-RA, AH006791-RA	VIT_218s0001g09650.1
OG0000044	AH003991-RA	VIT_204s0023g01430.1
OG0000044	AH006255-RA	VIT_201s0010g02100.2, VIT_201s0010g02100.1
OG0000044	AH013313-RA	VIT_209s0002g02300.1, VIT_204s0008g01160.1
OG0000044	AH001378-RA	VIT_212s0028g03030.2, VIT_212s0028g03030.1
OG0000044	AH002596-RA, AH017804-RA	VIT_200s0179g00170.1
OG0000046	AH020861-RA	VIT_211s0016g03880.1
OG0000046	AH016482-RA	VIT_214s0083g00330.3, VIT_214s0083g00330.1
OG0000046	AH003338-RA, AH002087-RA, AH000466-RA	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3
OG0000047	AH003569-RA	VIT_207s0031g01140.1
OG0000047	AH008841-RA	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1
OG0000047	AH002383-RA	VIT_203s0097g00160.2, VIT_203s0097g00160.1
OG0000047	AH008924-RA	VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4
OG0000047	AH023632-RA, AH004534-RA	VIT_201s0010g03896.1, VIT_214s0068g01800.1
OG0000047	AH009198-RA	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1
OG0000048	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA	VIT_208s0058g01230.1, VIT_206s0004g08060.1, VIT_208s0058g01210.1
OG0000050	AH022759-RA, AH008317-RA, AH007098-RA, AH022595-RA, AH016877-RA, AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA, AH006481-RA, AH015550-RA	VIT_216s0098g01340.1
OG0000050	AH022273-RA	VIT_209s0054g01090.1
OG0000055	AH005218-RA, AH004572-RA	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4
OG0000055	AH007027-RA	VIT_205s0020g01770.1
OG0000055	AH010394-RA	VIT_204s0043g01030.1
OG0000056	AH023488-RA, AH010523-RA	VIT_214s0060g02080.1
OG0000056	AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA	VIT_214s0060g02720.1
OG0000058	AH016699-RA	VIT_206s0080g00085.1
OG0000058	AH012624-RA	VIT_208s0007g03650.1
OG0000059	AH011171-RA	VIT_218s0001g01320.1, VIT_218s0001g01370.1
OG0000059	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1
OG0000060	AH016857-RA	VIT_203s0110g00150.1
OG0000063	AH001425-RA, AH001424-RA	VIT_212s0028g01830.1, VIT_212s0028g01840.1
OG0000063	AH022436-RA	VIT_218s0001g06850.3, VIT_218s0001g06850.6, VIT_218s0001g06850.1, VIT_218s0001g06850.2, VIT_218s0001g06850.5, VIT_218s0001g06850.4, VIT_206s0004g07740.1
OG0000063	AH012497-RA	VIT_208s0058g00970.1, VIT_208s0058g00970.3, VIT_208s0058g00970.2
OG0000063	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3
OG0000065	AH013518-RA, AH020188-RA	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1
OG0000065	AH020228-RA	VIT_205s0051g00110.1, VIT_205s0051g00180.1, VIT_205s0051g00130.1, VIT_218s0072g00320.1, VIT_205s0051g00240.1, VIT_200s2718g00010.1, VIT_200s2652g00010.1, VIT_206s0004g01575.1, VIT_215s0024g01369.1, VIT_215s0024g01515.1, VIT_219s0027g00930.1, VIT_206s0004g05690.1, VIT_205s0051g00310.1
OG0000065	AH013022-RA	VIT_207s0005g04880.1, VIT_207s0005g04870.1, VIT_207s0005g04890.1
OG0000067	AH001311-RA	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2
OG0000067	AH020385-RA, AH006767-RA, AH020386-RA	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5
OG0000068	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA	VIT_210s0003g04510.1
OG0000070	AH004919-RA, AH004504-RA, AH022950-RA	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3
OG0000070	AH016471-RA	VIT_204s0044g00580.2, VIT_213s0019g01240.4
OG0000071	AH022369-RA, AH013559-RA	VIT_217s0000g09810.1
OG0000071	AH012735-RA	VIT_208s0007g04820.1
OG0000071	AH020129-RA	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	VIT_205s0051g00590.1
OG0000071	AH013047-RA	VIT_207s0005g05520.4, VIT_207s0005g05520.1
OG0000071	AH004886-RA	VIT_201s0137g00240.2, VIT_201s0137g00240.1
OG0000072	AH003759-RA, AH005866-RA	VIT_218s0001g13680.2
OG0000072	AH020159-RA, AH008035-RA	VIT_218s0072g00800.1
OG0000072	AH011844-RA	VIT_213s0064g01340.1
OG0000076	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA	VIT_215s0021g00810.1
OG0000077	AH000842-RA	VIT_203s0038g02060.1, VIT_203s0038g02050.1
OG0000077	AH019349-RA	VIT_213s0019g01210.1
OG0000077	AH007662-RA, AH007663-RA	VIT_206s0004g00980.1, VIT_206s0004g00970.1
OG0000077	AH006889-RA	VIT_208s0007g06960.1, VIT_208s0007g06950.1, VIT_208s0007g06930.1, VIT_208s0007g06990.1, VIT_208s0007g07000.1, VIT_208s0007g06910.1, VIT_208s0007g06900.1
OG0000078	AH022838-RA	VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1
OG0000079	AH015194-RA	VIT_200s0392g00060.1, VIT_200s0361g00060.1, VIT_200s0392g00030.1
OG0000079	AH002054-RA, AH008309-RA	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1
OG0000085	AH014594-RA, AH021106-RA	VIT_211s0016g01060.1
OG0000085	AH013377-RA, AH013378-RA	VIT_209s0002g01110.1
OG0000085	AH021680-RA	VIT_208s0056g00150.1
OG0000085	AH015892-RA, AH017005-RA	VIT_211s0065g00470.2, VIT_211s0065g00470.1
OG0000085	AH018522-RA	VIT_202s0087g00270.1
OG0000087	AH006703-RA, AH020455-RA	VIT_208s0007g05390.1
OG0000087	AH004659-RA	VIT_201s0026g00940.1
OG0000087	AH017338-RA	VIT_217s0000g07580.1
OG0000088	AH007982-RA	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1
OG0000088	AH002003-RA, AH000992-RA, AH014780-RA	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2
OG0000089	AH002040-RA	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1
OG0000089	AH014168-RA	VIT_211s0016g04590.1
OG0000090	AH003790-RA, AH010641-RA	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7
OG0000090	AH005307-RA	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3
OG0000091	AH020558-RA, AH020560-RA	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1
OG0000091	AH021178-RA, AH000644-RA, AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1
OG0000092	AH006375-RA	VIT_213s0067g00650.1
OG0000092	AH010573-RA, AH012303-RA	VIT_213s0064g00530.1
OG0000092	AH016633-RA	VIT_219s0027g00830.1
OG0000093	AH013659-RA, AH010915-RA	VIT_206s0004g01440.1
OG0000093	AH007680-RA, AH007681-RA	VIT_213s0064g01760.1
OG0000095	AH013260-RA	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3
OG0000095	AH006304-RA	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4
OG0000095	AH010162-RA	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6
OG0000096	AH005894-RA	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1
OG0000096	AH001835-RA	VIT_203s0017g02110.1, VIT_203s0017g02000.1, VIT_203s0017g02120.1
OG0000097	AH017957-RA	VIT_217s0000g08760.1
OG0000097	AH006658-RA	VIT_210s0003g04760.1, VIT_212s0028g01845.1, VIT_200s0658g00010.1, VIT_210s0003g05200.1, VIT_210s0003g04814.1, VIT_209s0018g01460.1
OG0000097	AH010510-RA, AH010508-RA, AH010504-RA	VIT_203s0017g00090.1
OG0000097	AH009815-RA	VIT_212s0057g00745.1, VIT_209s0096g01010.1
OG0000097	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA	VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1
OG0000097	AH009811-RA	VIT_212s0057g00820.1, VIT_216s0013g01710.1
OG0000098	AH016758-RA	VIT_218s0001g14360.1
OG0000098	AH003177-RA	VIT_202s0025g03540.1, VIT_217s0000g02450.1
OG0000099	AH005801-RA	VIT_207s0031g01680.1, VIT_207s0031g01670.1, VIT_207s0031g01660.1
OG0000099	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA	VIT_214s0006g01680.1
OG0000102	AH010958-RA, AH012445-RA, AH021394-RA	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3
OG0000103	AH021989-RA	VIT_208s0040g01930.5, VIT_208s0040g01930.7, VIT_208s0040g01930.4, VIT_208s0040g01930.3, VIT_208s0040g01930.8, VIT_208s0040g01930.2, VIT_208s0040g01930.6, VIT_208s0040g01930.1
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	VIT_200s0370g00010.4, VIT_200s0370g00010.3, VIT_200s0370g00010.2, VIT_200s0370g00010.1, VIT_208s0007g02150.8, VIT_208s0007g02150.6, VIT_208s0007g02150.5, VIT_208s0007g02150.3, VIT_208s0007g02150.2, VIT_208s0007g02150.7, VIT_208s0007g02150.1, VIT_208s0007g02150.4
OG0000103	AH011687-RA	VIT_219s0014g01530.3, VIT_219s0014g01530.1, VIT_219s0014g01530.2, VIT_215s0024g01320.1
OG0000104	AH021778-RA, AH012562-RA	VIT_208s0007g02700.1
OG0000104	AH012563-RA	VIT_208s0007g02710.1
OG0000104	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA	VIT_206s0080g00980.1, VIT_206s0080g00990.1, VIT_206s0080g01020.1, VIT_206s0080g01000.1, VIT_208s0007g02720.3, VIT_208s0007g02720.1, VIT_208s0007g02720.2
OG0000105	AH005316-RA	VIT_214s0066g00460.2, VIT_214s0066g00460.1
OG0000105	AH021428-RA, AH014857-RA	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1
OG0000105	AH012640-RA, AH021838-RA	VIT_208s0007g03600.1, VIT_208s0007g03600.2
OG0000105	AH013279-RA	VIT_206s0061g01540.1
OG0000106	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1
OG0000107	AH004190-RA, AH005485-RA	VIT_201s0011g04180.1
OG0000107	AH001713-RA	VIT_214s0006g02480.3, VIT_214s0006g02480.2, VIT_214s0006g02480.1, VIT_214s0006g02480.4, VIT_214s0006g02480.6, VIT_214s0006g02480.5
OG0000108	AH010687-RA, AH001829-RA	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1
OG0000108	AH012760-RA, AH014759-RA	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1
OG0000109	AH001741-RA	VIT_203s0038g00700.1
OG0000109	AH003764-RA	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1
OG0000109	AH008949-RA	VIT_218s0001g13580.1
OG0000110	AH019974-RA, AH007045-RA	VIT_218s0122g00420.1, VIT_218s0122g00520.1
OG0000112	AH015488-RA	VIT_219s0027g00800.1
OG0000113	AH016269-RA, AH023225-RA	VIT_204s0008g05640.1
OG0000113	AH023633-RA	VIT_215s0048g00630.1
OG0000113	AH018586-RA	VIT_212s0035g02000.1, VIT_202s0154g00320.1
OG0000113	AH018579-RA	VIT_202s0154g00280.1, VIT_202s0154g00290.1
OG0000114	AH015161-RA	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1
OG0000115	AH002718-RA, AH002719-RA, AH011596-RA	VIT_208s0040g00710.1, VIT_208s0040g00715.1
OG0000115	AH011228-RA	VIT_207s0005g01745.1
OG0000116	AH018140-RA, AH006915-RA, AH006916-RA	VIT_206s0004g04370.1
OG0000116	AH022502-RA	VIT_213s0019g00800.1, VIT_213s0067g03650.1, VIT_208s0007g00040.1, VIT_213s0019g00780.1, VIT_206s0004g03890.1
OG0000116	AH020377-RA	VIT_213s0019g00760.1
OG0000117	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA	VIT_201s0011g05150.1, VIT_201s0011g05180.1, VIT_201s0011g05190.1, VIT_201s0011g05170.1
OG0000118	AH022107-RA	VIT_219s0015g01190.1
OG0000118	AH012040-RA, AH019634-RA	VIT_202s0025g01050.1
OG0000118	AH006465-RA	VIT_203s0038g02390.1
OG0000120	AH020337-RA, AH006837-RA	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3
OG0000120	AH020344-RA	VIT_208s0007g06140.1
OG0000120	AH018632-RA	VIT_215s0046g03030.1, VIT_215s0046g03030.2
OG0000121	AH022634-RA	VIT_206s0009g00810.1, VIT_206s0009g00810.5, VIT_206s0009g00810.2, VIT_206s0009g00810.6, VIT_206s0009g00810.4, VIT_206s0009g00810.3
OG0000121	AH010322-RA, AH013867-RA	VIT_206s0009g00780.1
OG0000122	AH003330-RA	VIT_218s0001g08620.1
OG0000123	AH004264-RA, AH005234-RA	VIT_214s0068g00920.2, VIT_214s0068g00920.3, VIT_214s0068g00920.1
OG0000124	AH001904-RA	VIT_203s0063g00830.1
OG0000124	AH001376-RA	VIT_203s0063g00820.1
