Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins	Total
OG0000028	2	13	2	30	2	32	24	3	4	25	53	10	200
OG0000029	26	23	9	3	28	0	15	21	29	22	13	8	197
OG0000030	17	8	11	0	27	1	1	49	16	28	13	24	195
OG0000031	24	8	16	6	12	5	13	32	20	19	13	26	194
OG0000032	25	5	25	2	11	1	0	25	23	20	6	50	193
OG0000033	0	0	0	0	0	0	0	0	0	192	0	0	192
OG0000034	29	2	15	6	20	5	10	37	11	28	8	20	191
OG0000035	1	0	0	2	0	187	0	0	0	0	0	0	190
OG0000036	0	0	0	0	0	0	0	0	0	188	0	0	188
OG0000037	18	6	5	3	10	4	4	25	53	16	9	30	183
OG0000038	33	4	13	7	23	11	10	11	33	17	15	5	182
OG0000039	0	0	0	0	0	0	0	0	0	182	0	0	182
OG0000040	30	2	8	1	6	2	2	43	27	20	14	25	180
OG0000041	9	4	12	25	10	17	15	28	8	13	16	19	176
OG0000042	16	7	29	3	11	4	3	15	32	14	12	29	175
OG0000043	34	12	18	1	10	0	3	6	32	26	10	23	175
OG0000044	9	11	24	15	11	9	8	30	13	9	15	20	174
OG0000045	3	0	1	0	3	160	1	0	0	6	0	0	174
OG0000046	12	8	20	16	17	11	9	23	14	19	11	12	172
OG0000047	4	21	9	21	6	18	16	3	33	9	8	24	172
OG0000048	18	9	13	5	7	3	11	19	40	17	24	4	170
OG0000049	52	0	0	0	57	0	41	3	0	0	16	0	169
OG0000050	6	21	1	7	45	38	18	1	0	27	3	2	169
OG0000051	1	0	0	41	10	52	11	1	0	46	5	0	167
OG0000052	25	0	0	0	8	114	4	1	0	2	2	6	162
OG0000053	0	0	0	0	0	0	0	0	0	159	0	0	159
OG0000054	0	0	0	0	0	0	0	0	0	159	0	0	159
OG0000055	10	5	19	10	11	8	5	27	18	12	13	20	158
OG0000056	16	11	20	0	26	0	0	8	31	25	16	3	156
OG0000057	0	0	0	0	0	0	0	0	0	154	0	0	154
OG0000058	13	4	24	2	8	2	6	25	20	5	6	38	153
OG0000059	2	20	14	3	12	1	5	12	28	34	3	18	152
OG0000060	0	1	2	5	88	19	3	21	0	6	5	1	151
OG0000061	0	0	0	0	0	0	0	0	0	150	0	0	150
OG0000062	0	0	0	0	0	0	0	0	0	150	0	0	150
OG0000063	3	15	3	5	21	6	3	28	12	20	15	18	149
OG0000064	0	0	0	1	0	0	0	0	1	144	0	0	146
OG0000065	8	5	2	1	9	1	2	26	18	7	29	36	144
OG0000066	0	0	0	0	0	0	0	0	0	144	0	0	144
OG0000067	4	4	6	11	24	3	5	64	3	2	5	12	143
OG0000068	0	6	3	0	7	0	0	22	79	16	3	7	143
OG0000069	0	0	0	0	0	0	0	0	0	142	0	0	142
OG0000070	4	7	16	14	4	6	7	38	7	8	13	15	139
OG0000071	6	10	18	19	8	6	8	12	17	12	9	14	139
OG0000072	11	6	14	8	9	8	3	19	24	12	13	10	137
OG0000073	0	0	0	126	0	0	4	1	0	3	1	0	135
OG0000074	0	0	0	0	0	0	0	0	0	134	0	0	134
OG0000075	10	0	2	5	63	23	11	2	2	14	1	0	133
OG0000076	0	6	1	0	3	0	1	2	0	119	0	1	133
OG0000077	18	5	14	1	8	3	4	9	22	12	23	12	131
OG0000078	15	1	15	15	11	8	26	11	3	4	16	6	131
OG0000079	33	3	13	1	3	0	4	7	32	0	15	20	131
OG0000080	0	0	0	0	1	0	0	0	130	0	0	0	131
OG0000081	0	0	0	0	0	0	0	0	131	0	0	0	131
OG0000082	0	0	0	0	0	0	0	0	0	131	0	0	131
OG0000083	0	0	0	0	0	0	0	0	0	130	0	0	130
OG0000084	27	0	0	0	7	0	1	25	17	8	33	10	128
OG0000085	6	8	10	10	7	9	9	23	17	10	10	9	128
OG0000086	0	0	0	0	1	1	0	0	0	125	0	0	127
OG0000087	5	12	17	8	8	4	5	22	9	18	8	10	126
OG0000088	17	4	10	3	12	2	4	21	10	7	5	31	126
OG0000089	18	4	3	7	3	9	13	10	18	11	11	19	126
OG0000090	9	5	14	10	3	2	4	34	8	14	3	20	126
OG0000091	7	13	6	8	13	6	6	15	10	13	9	19	125
OG0000092	4	7	0	3	13	38	6	7	0	38	3	6	125
OG0000093	8	4	10	9	0	7	12	28	3	10	4	30	125
OG0000094	0	0	0	0	0	0	0	0	0	0	125	0	125
OG0000095	11	3	26	5	3	2	3	31	3	8	7	22	124
OG0000096	4	2	14	3	8	4	5	5	21	8	15	35	124
OG0000097	3	39	0	1	11	4	2	7	8	21	11	17	124
OG0000098	10	2	10	18	6	8	8	19	17	4	9	12	123
OG0000099	4	14	15	2	12	0	7	7	23	21	12	4	121
OG0000100	0	0	0	0	0	0	0	0	121	0	0	0	121
OG0000101	27	1	10	0	48	11	11	7	0	1	4	0	120
OG0000102	14	3	4	7	5	9	18	28	11	4	7	7	117
OG0000103	12	6	3	3	5	3	4	27	11	6	9	27	116
OG0000104	21	7	0	2	11	3	7	12	25	9	5	14	116
OG0000105	7	6	11	9	6	6	8	30	8	4	9	12	116
OG0000106	7	11	12	13	17	8	1	4	6	0	22	14	115
OG0000107	25	3	22	3	2	3	1	20	13	6	6	9	113
OG0000108	20	4	20	3	4	4	5	24	4	8	4	13	113
OG0000109	4	3	18	6	6	3	3	51	3	6	4	6	113
OG0000110	0	2	2	5	2	7	4	8	12	3	2	66	113
OG0000111	0	0	3	0	0	1	0	0	0	109	0	0	113
OG0000112	8	2	2	21	1	0	2	1	21	4	47	3	112
OG0000113	6	8	10	8	7	4	4	18	15	9	15	8	112
OG0000114	18	1	11	2	13	1	2	19	6	19	12	8	112
OG0000115	14	9	9	2	8	8	5	8	19	15	10	5	112
OG0000116	10	6	10	8	5	4	4	15	25	7	11	7	112
OG0000117	1	16	18	0	13	0	4	6	8	24	12	10	112
OG0000118	6	6	14	10	6	4	7	17	11	8	9	12	110
OG0000119	10	3	6	1	15	0	4	14	4	14	34	4	109
OG0000120	11	6	10	10	7	7	7	20	8	7	8	8	109
OG0000121	16	6	7	5	6	4	4	17	6	12	8	18	109
OG0000122	7	2	2	12	8	3	4	4	22	2	39	3	108
OG0000123	4	2	1	8	8	5	3	18	13	8	4	34	108
OG0000124	11	6	5	1	9	1	3	19	18	13	10	12	108
OG0000125	5	6	19	5	7	4	4	18	9	9	6	15	107
OG0000126	4	0	0	1	6	81	8	3	0	1	3	0	107
OG0000127	4	7	5	9	3	6	3	15	13	18	14	10	107
OG0000128	23	4	19	0	1	0	2	11	11	16	5	15	107
OG0000129	19	2	25	6	4	3	3	4	6	4	6	25	107
OG0000130	0	0	0	0	0	0	0	0	0	107	0	0	107
OG0000131	1	29	2	1	23	2	2	11	5	17	2	11	106
OG0000132	0	0	0	0	105	0	0	1	0	0	0	0	106
OG0000133	0	0	0	0	0	0	0	0	0	106	0	0	106
OG0000134	16	3	8	3	3	3	3	8	26	3	9	20	105
OG0000135	8	5	14	9	6	7	6	23	5	9	7	6	105
OG0000136	12	5	14	5	5	3	2	20	8	9	7	14	104
OG0000137	9	10	0	5	6	7	4	7	11	21	8	15	103
OG0000138	9	12	19	3	6	2	3	30	10	2	3	4	103
OG0000139	1	2	21	3	8	4	2	5	27	11	12	7	103
OG0000140	1	6	4	1	5	1	1	19	11	13	9	32	103
OG0000141	0	0	0	0	0	0	0	0	0	103	0	0	103
OG0000142	24	4	32	0	1	2	3	1	0	2	0	33	102
OG0000143	11	4	7	3	7	2	5	15	17	6	12	13	102
OG0000144	6	4	10	3	4	4	5	21	13	11	6	15	102
OG0000145	6	2	7	2	2	1	1	17	13	18	9	24	102
OG0000146	11	7	4	6	6	3	5	16	15	9	6	14	102
OG0000147	9	3	20	4	3	3	2	18	11	6	6	17	102
OG0000148	4	6	9	5	12	3	3	18	13	7	7	15	102
OG0000149	3	3	12	3	4	3	4	17	15	13	7	18	102
OG0000150	0	0	0	0	0	0	0	0	102	0	0	0	102
OG0000151	0	0	0	0	0	0	0	0	0	102	0	0	102
OG0000152	9	6	8	8	7	7	6	9	21	5	12	3	101
OG0000153	2	3	22	7	5	4	3	12	17	4	6	16	101
OG0000154	7	2	19	7	6	3	4	20	9	7	4	13	101
OG0000155	0	18	8	4	10	2	2	13	11	12	19	2	101
OG0000156	5	5	7	5	6	6	6	24	11	8	10	7	100
OG0000157	0	3	2	7	6	4	4	45	0	12	5	12	100
OG0000158	0	0	0	0	0	0	0	0	0	100	0	0	100
OG0000159	26	4	1	2	11	2	9	8	10	14	3	9	99
OG0000160	7	5	14	3	8	3	2	22	8	13	2	12	99
OG0000161	11	1	2	3	8	0	4	9	26	14	4	17	99
OG0000162	2	7	10	2	9	2	3	13	9	17	15	10	99
OG0000163	4	5	13	7	4	6	5	16	11	8	4	15	98
OG0000164	12	6	8	7	3	6	4	26	9	5	5	7	98
OG0000165	2	3	0	70	6	0	7	2	0	2	3	3	98
OG0000166	0	0	1	0	0	0	0	0	0	0	97	0	98
OG0000167	0	0	1	0	0	0	11	1	0	85	0	0	98
OG0000168	7	5	11	3	2	3	2	25	4	15	4	16	97
OG0000169	5	4	15	4	10	2	2	6	11	9	14	14	96
OG0000170	7	6	8	9	7	6	4	17	12	5	6	9	96
OG0000171	2	8	6	13	5	6	3	16	12	8	9	8	96
OG0000172	7	2	5	7	13	2	2	41	4	3	4	6	96
OG0000173	0	0	1	5	7	3	76	0	0	4	0	0	96
OG0000174	0	0	0	0	0	1	0	0	0	95	0	0	96
OG0000175	0	0	0	0	0	0	0	1	0	1	2	92	96
OG0000176	0	0	0	0	0	0	0	0	0	96	0	0	96
OG0000177	10	0	0	0	0	81	0	2	0	0	2	0	95
OG0000178	10	0	3	0	1	0	1	10	0	0	29	41	95
OG0000179	6	5	9	9	15	7	8	9	8	4	7	7	94
OG0000180	6	4	9	4	3	2	2	41	10	5	3	5	94
OG0000181	6	3	6	8	2	1	2	33	4	7	3	19	94
OG0000182	3	6	12	8	4	5	4	11	14	9	9	9	94
OG0000183	10	3	8	7	9	3	3	18	13	8	4	8	94
OG0000184	7	4	8	5	20	2	4	10	12	5	6	10	93
OG0000185	6	5	22	3	3	2	3	17	5	6	6	15	93
OG0000186	5	1	12	5	1	1	1	41	3	0	1	22	93
OG0000187	10	7	12	4	7	1	4	18	13	1	7	9	93
OG0000188	1	4	6	5	7	4	4	28	8	12	4	10	93
OG0000189	7	1	8	4	11	3	2	15	16	4	5	17	93
OG0000190	3	1	1	0	4	1	0	0	4	71	1	6	92
OG0000191	8	6	3	2	7	8	8	13	4	29	3	1	92
OG0000192	6	8	10	4	10	3	4	6	11	11	14	5	92
OG0000193	9	4	6	2	7	1	3	14	20	8	9	9	92
OG0000194	1	0	0	0	0	0	0	2	0	88	1	0	92
OG0000195	0	0	0	0	0	0	0	1	0	91	0	0	92
OG0000196	0	0	0	0	0	0	0	0	92	0	0	0	92
OG0000197	0	0	0	0	0	0	0	0	0	92	0	0	92
OG0000198	9	6	9	5	7	5	7	8	12	10	8	5	91
OG0000199	7	5	9	10	5	7	7	12	9	7	9	4	91
OG0000200	16	3	7	1	5	2	6	9	14	5	11	12	91
OG0000201	7	2	21	3	3	3	4	10	11	8	8	11	91
OG0000202	7	6	13	0	10	0	0	11	12	9	10	13	91
OG0000203	1	1	7	3	2	1	1	51	3	3	2	16	91
OG0000204	0	1	0	0	1	0	0	0	0	89	0	0	91
OG0000205	0	0	0	0	0	0	0	0	90	0	0	1	91
OG0000206	3	4	9	8	5	5	4	21	9	7	9	6	90
OG0000207	6	7	7	5	5	9	7	15	13	7	5	4	90
OG0000208	0	5	7	1	6	1	3	11	23	7	9	17	90
OG0000209	0	0	0	0	0	0	0	0	90	0	0	0	90
OG0000210	0	0	0	0	0	0	0	0	0	90	0	0	90
OG0000211	3	5	6	7	2	5	9	15	10	7	8	12	89
OG0000212	5	5	16	8	3	6	3	9	12	7	5	10	89
OG0000213	7	6	10	4	4	2	2	23	7	9	8	7	89
OG0000214	25	0	2	1	0	2	1	23	15	0	2	18	89
OG0000215	19	0	17	0	7	0	0	23	5	1	6	11	89
OG0000216	5	3	13	6	3	5	3	24	9	9	5	4	89
OG0000217	1	2	10	22	3	1	2	14	17	2	1	14	89
OG0000218	6	2	5	3	2	1	2	55	4	3	2	4	89
OG0000219	6	15	0	1	3	0	18	1	13	18	3	10	88
OG0000220	16	4	8	4	10	6	1	9	16	6	1	7	88
OG0000221	3	5	16	4	9	3	5	16	8	7	7	5	88
OG0000222	4	7	8	7	5	5	6	17	9	6	8	5	87
OG0000223	6	7	0	0	4	0	0	9	11	15	7	28	87
OG0000224	3	6	6	7	3	3	3	22	13	5	8	8	87
OG0000225	0	0	0	0	0	0	0	0	87	0	0	0	87
OG0000226	0	0	0	0	0	0	0	0	0	87	0	0	87
OG0000227	4	5	10	8	3	3	5	17	9	6	5	11	86
OG0000228	4	4	14	7	2	3	1	11	15	2	5	18	86
OG0000229	8	2	17	6	2	2	3	28	8	4	3	3	86
OG0000230	7	5	11	4	11	5	5	15	6	5	4	8	86
OG0000231	5	1	9	8	2	3	2	29	4	8	3	12	86
OG0000232	3	6	4	6	9	3	1	25	7	4	7	11	86
OG0000233	0	0	0	0	1	0	0	0	84	1	0	0	86
OG0000234	0	0	0	0	0	0	0	0	86	0	0	0	86
OG0000235	10	5	9	6	3	4	3	16	3	8	4	14	85
OG0000236	5	5	11	4	6	3	3	13	11	6	7	11	85
OG0000237	1	0	1	11	2	62	4	0	0	3	0	1	85
OG0000238	0	11	12	7	4	6	11	0	0	13	0	21	85
OG0000239	0	0	0	0	1	0	0	0	0	0	84	0	85
OG0000240	7	4	11	6	3	3	3	13	15	1	8	10	84
OG0000241	10	8	11	2	9	2	3	13	4	8	11	3	84
OG0000242	1	1	10	2	3	2	2	2	5	28	1	27	84
OG0000243	11	3	8	2	5	3	2	3	10	12	15	10	84
OG0000244	2	7	5	6	4	5	5	13	16	7	4	10	84
OG0000245	2	2	9	3	2	3	1	44	4	4	2	8	84
OG0000246	0	3	0	2	13	23	10	1	29	0	0	3	84
OG0000247	32	4	9	1	6	1	3	4	3	5	3	12	83
OG0000248	5	7	7	2	11	2	2	7	5	10	11	14	83
OG0000249	6	4	6	10	4	5	7	10	13	6	5	7	83
OG0000250	7	2	6	7	3	4	5	21	6	5	5	12	83
OG0000251	3	3	12	6	7	3	2	15	5	4	8	15	83
OG0000252	10	2	6	4	1	2	2	14	7	0	3	32	83
OG0000253	15	1	38	0	0	0	0	13	8	1	1	6	83
OG0000254	8	3	7	5	4	2	3	11	9	3	4	24	83
OG0000255	3	7	8	0	3	0	0	11	8	7	15	21	83
OG0000256	3	3	3	6	5	4	2	10	8	22	4	13	83
OG0000257	10	2	18	2	2	2	3	16	7	7	3	11	83
OG0000258	0	0	82	0	0	0	0	0	1	0	0	0	83
OG0000259	0	0	0	0	0	82	1	0	0	0	0	0	83
OG0000260	0	0	0	0	0	0	0	83	0	0	0	0	83
OG0000261	0	0	0	0	0	0	0	0	0	0	83	0	83
OG0000262	5	9	9	8	4	5	5	16	6	6	4	5	82
OG0000263	6	4	1	3	10	0	3	27	1	4	2	21	82
OG0000264	13	2	14	5	1	1	1	22	7	2	4	10	82
OG0000265	3	4	9	2	4	2	2	13	11	14	6	12	82
OG0000266	2	2	18	7	1	3	3	26	4	2	3	11	82
OG0000267	21	2	13	3	2	1	2	15	4	2	7	10	82
OG0000268	4	6	13	2	3	2	2	15	9	3	5	18	82
OG0000269	2	2	26	3	9	2	2	19	8	5	2	2	82
OG0000270	1	4	9	1	10	2	1	14	18	8	3	11	82
OG0000271	3	2	5	6	3	2	2	46	1	3	2	7	82
OG0000272	0	0	79	0	0	0	0	1	1	0	0	1	82
OG0000273	0	0	1	9	1	69	0	0	0	1	0	1	82
OG0000274	0	0	0	0	0	0	0	0	82	0	0	0	82
OG0000275	0	0	0	0	0	0	0	0	0	82	0	0	82
OG0000276	4	6	6	6	5	5	4	8	17	7	9	4	81
OG0000277	5	6	5	10	5	5	5	14	8	6	6	6	81
OG0000278	4	2	11	7	2	4	3	22	6	7	6	7	81
OG0000279	3	5	10	8	3	2	3	13	11	4	8	11	81
OG0000280	4	3	9	3	2	2	2	33	3	6	2	12	81
OG0000281	0	0	0	0	0	0	0	0	0	81	0	0	81
OG0000282	0	0	0	0	0	0	0	0	0	81	0	0	81
OG0000283	0	0	0	0	0	0	0	0	0	81	0	0	81
OG0000284	0	0	0	0	0	0	0	0	0	81	0	0	81
OG0000285	18	4	6	1	3	1	2	15	15	5	4	6	80
OG0000286	3	4	9	4	5	4	3	18	12	5	7	6	80
OG0000287	4	1	12	2	1	2	3	28	9	1	5	12	80
OG0000288	2	4	7	4	2	4	3	25	2	6	4	17	80
OG0000289	12	1	11	0	2	0	1	12	9	2	4	26	80
OG0000290	5	5	10	1	5	0	1	8	16	7	5	17	80
OG0000291	4	4	4	7	3	4	4	23	5	7	6	9	80
OG0000292	13	9	14	2	9	1	2	9	2	9	2	7	79
OG0000293	4	3	7	8	2	6	5	19	5	7	4	9	79
OG0000294	7	2	9	2	2	2	2	31	4	4	4	10	79
OG0000295	10	5	6	7	4	5	5	7	11	4	5	10	79
OG0000296	3	2	21	8	2	1	4	8	8	2	6	14	79
OG0000297	12	4	3	2	3	2	15	6	11	6	5	10	79
OG0000298	4	0	12	2	6	2	5	14	8	7	9	10	79
OG0000299	5	2	7	5	4	2	2	8	23	4	14	3	79
OG0000300	4	2	2	4	3	3	3	13	25	4	4	12	79
OG0000301	2	2	4	5	7	2	1	42	3	2	2	7	79
OG0000302	3	7	9	7	4	4	5	13	9	6	6	6	79
OG0000303	8	2	9	7	2	3	3	24	6	8	3	4	79
OG0000304	0	1	0	0	1	3	5	1	0	0	68	0	79
OG0000305	0	0	0	0	0	0	0	0	79	0	0	0	79
OG0000306	0	0	0	0	0	0	0	0	79	0	0	0	79
OG0000307	0	0	0	0	0	0	0	0	0	79	0	0	79
OG0000308	5	4	6	0	10	1	1	19	7	6	9	10	78
OG0000309	9	4	7	2	1	1	1	5	10	10	6	22	78
OG0000310	19	1	7	3	39	3	0	3	0	0	3	0	78
OG0000311	6	6	0	3	13	0	1	7	13	16	11	2	78
OG0000312	78	0	0	0	0	0	0	0	0	0	0	0	78
OG0000313	5	4	9	4	3	1	4	24	9	5	6	4	78
OG0000314	8	5	10	2	4	2	3	15	6	4	6	13	78
OG0000315	19	5	1	1	7	2	4	8	3	10	9	9	78
OG0000316	2	3	6	4	11	2	4	14	8	4	1	19	78
OG0000317	5	2	11	5	2	3	2	22	8	6	3	9	78
OG0000318	23	1	5	2	1	3	1	31	2	6	2	1	78
OG0000319	6	0	6	1	13	3	1	27	5	1	3	12	78
OG0000320	0	0	0	0	0	2	0	0	0	76	0	0	78
OG0000321	7	5	6	6	4	4	5	14	9	6	7	4	77
OG0000322	11	1	6	3	25	5	2	5	13	3	2	1	77
OG0000323	7	2	7	9	3	4	3	10	13	4	4	11	77
OG0000324	4	1	2	9	3	0	5	1	32	1	13	6	77
OG0000325	12	2	7	2	3	3	3	6	12	7	6	14	77
OG0000326	4	5	8	4	4	5	3	15	6	7	3	13	77
OG0000327	5	4	6	7	5	4	5	16	6	4	7	8	77
OG0000328	13	1	3	0	1	0	1	5	30	5	6	12	77
OG0000329	9	6	2	2	8	1	1	9	13	2	20	4	77
OG0000330	4	4	10	2	6	1	1	19	11	4	4	11	77
OG0000331	3	2	8	2	3	1	2	14	22	2	11	7	77
OG0000332	11	5	11	3	2	4	4	7	14	3	5	8	77
OG0000333	0	0	0	0	0	0	0	0	0	77	0	0	77
OG0000334	75	0	0	0	0	0	0	0	0	0	0	1	76
OG0000335	3	4	16	7	4	4	4	14	4	4	5	7	76
OG0000336	9	8	5	3	9	3	5	7	11	5	5	6	76
OG0000337	5	2	8	1	4	3	1	13	13	5	10	11	76
OG0000338	4	5	7	6	3	4	4	17	8	3	8	7	76
OG0000339	2	3	10	3	4	2	2	16	15	3	3	13	76
OG0000340	2	10	6	3	17	3	1	3	4	10	4	13	76
OG0000341	2	0	3	0	16	0	13	5	0	0	37	0	76
OG0000342	10	4	6	4	4	3	3	17	6	7	5	7	76
OG0000343	4	1	8	1	1	1	1	51	3	1	1	3	76
OG0000344	8	6	0	0	9	3	6	2	10	9	10	13	76
OG0000345	2	2	18	2	2	2	2	8	10	4	5	19	76
OG0000346	20	4	12	5	3	3	2	10	4	2	1	10	76
OG0000347	0	8	7	1	17	1	1	3	4	27	6	1	76
OG0000348	0	6	6	2	11	2	3	16	11	7	3	9	76
OG0000349	2	6	5	3	6	3	3	9	9	6	8	15	75
OG0000350	9	10	9	2	9	2	3	7	3	14	4	3	75
OG0000351	6	3	7	3	3	3	3	18	10	5	4	10	75
OG0000352	5	4	5	8	6	3	4	11	10	7	7	5	75
OG0000353	9	4	8	1	5	1	1	19	11	4	1	11	75
OG0000354	7	2	3	2	2	6	4	6	21	5	8	9	75
OG0000355	0	1	0	0	0	0	0	0	0	0	74	0	75
OG0000356	0	0	73	0	0	0	0	2	0	0	0	0	75
OG0000357	0	0	75	0	0	0	0	0	0	0	0	0	75
OG0000358	0	0	0	68	0	7	0	0	0	0	0	0	75
OG0000359	0	0	0	0	0	0	0	0	0	75	0	0	75
OG0000360	13	4	7	2	3	0	1	16	8	5	7	8	74
OG0000361	6	2	1	18	2	0	6	3	8	0	21	7	74
OG0000362	9	4	4	4	4	3	3	21	9	4	5	4	74
OG0000363	4	6	3	5	6	3	6	12	6	18	3	2	74
OG0000364	8	4	4	3	4	2	4	16	8	11	4	6	74
OG0000365	11	0	13	0	1	0	0	18	20	1	1	9	74
OG0000366	5	1	3	4	2	3	3	32	6	2	4	9	74
OG0000367	6	3	12	4	3	3	3	13	5	4	4	14	74
OG0000368	5	2	9	4	2	2	4	25	2	2	2	15	74
OG0000369	7	2	10	2	1	1	1	25	12	2	1	10	74
OG0000370	7	3	6	5	10	3	4	9	4	8	2	13	74
OG0000371	1	3	6	8	5	3	2	22	10	3	4	7	74
OG0000372	10	1	12	4	1	2	2	25	6	2	2	7	74
OG0000373	0	12	0	0	6	0	0	2	5	35	8	6	74
OG0000374	0	0	74	0	0	0	0	0	0	0	0	0	74
OG0000375	8	4	6	6	4	4	6	14	6	4	5	6	73
OG0000376	21	0	0	0	2	0	0	0	11	8	14	17	73
OG0000377	7	5	2	3	4	2	4	11	16	6	9	4	73
OG0000378	2	4	19	8	2	3	3	7	10	2	5	8	73
OG0000379	5	3	10	4	2	4	2	25	6	4	2	6	73
OG0000380	1	4	9	5	3	5	6	15	11	6	3	5	73
OG0000381	3	3	6	4	3	3	3	18	5	7	4	14	73
OG0000382	5	2	12	2	9	2	2	22	5	5	2	5	73
OG0000383	4	4	1	1	3	2	3	4	36	3	7	5	73
OG0000384	3	3	6	5	4	4	3	20	6	6	8	5	73
OG0000385	3	6	10	2	3	1	1	21	7	2	9	8	73
OG0000386	0	0	0	0	0	0	0	0	0	73	0	0	73
OG0000387	7	2	9	1	4	2	3	2	30	4	6	2	72
OG0000388	4	3	7	2	2	3	2	24	1	5	2	17	72
OG0000389	4	4	5	6	2	4	3	18	9	5	3	9	72
OG0000390	3	2	4	4	2	1	4	34	5	4	4	5	72
OG0000391	17	1	2	2	5	2	14	5	10	8	3	3	72
OG0000392	13	2	6	6	2	3	2	12	14	3	3	6	72
OG0000393	6	6	11	0	9	0	1	16	5	6	4	8	72
OG0000394	7	5	14	1	2	1	2	12	7	3	4	14	72
OG0000395	7	4	7	4	3	2	2	15	8	5	5	10	72
OG0000396	9	3	13	3	9	1	2	12	5	3	4	8	72
OG0000397	3	4	6	3	2	3	2	21	6	7	5	10	72
OG0000398	3	10	6	6	7	2	3	14	4	5	5	6	71
OG0000399	9	4	3	4	6	1	3	13	7	6	9	6	71
OG0000400	7	9	9	8	5	4	3	8	5	6	2	5	71
OG0000401	5	5	6	13	4	1	2	5	20	3	5	2	71
OG0000402	8	7	10	0	8	0	0	1	4	6	24	3	71
OG0000403	9	2	8	2	2	1	2	13	12	5	4	11	71
OG0000404	4	2	6	3	2	2	3	24	5	3	3	14	71
OG0000405	11	4	11	3	4	2	3	11	7	3	5	7	71
OG0000406	6	5	5	6	3	5	5	11	11	5	5	4	71
OG0000407	3	5	7	8	3	4	4	16	5	2	5	9	71
OG0000408	3	2	3	4	6	3	3	11	7	5	2	22	71
OG0000409	6	3	2	4	4	2	4	25	5	2	1	13	71
OG0000410	6	2	6	4	2	2	3	22	5	9	2	8	71
OG0000411	0	1	7	4	1	2	1	49	2	1	2	1	71
OG0000412	9	3	11	9	3	3	4	6	6	5	5	6	70
OG0000413	11	2	6	3	4	4	3	15	6	5	5	6	70
OG0000414	2	3	17	1	7	1	1	24	2	5	2	5	70
OG0000415	7	2	11	6	4	5	3	9	7	5	3	8	70
OG0000416	3	2	14	4	2	1	1	17	5	4	4	13	70
OG0000417	12	5	9	5	3	3	1	19	2	4	2	5	70
OG0000418	7	3	11	2	3	3	3	11	6	5	2	14	70
OG0000419	5	3	16	4	5	4	3	15	2	3	2	8	70
OG0000420	15	3	2	1	4	1	4	8	11	5	5	11	70
OG0000421	5	2	1	6	7	3	5	10	9	5	5	12	70
OG0000422	4	6	3	2	6	2	1	22	9	5	7	3	70
OG0000423	1	3	5	6	3	5	3	27	4	4	5	4	70
OG0000424	2	1	6	2	5	2	1	28	5	5	2	11	70
OG0000425	2	3	7	2	4	6	10	6	3	9	5	13	70
OG0000426	11	2	17	3	1	2	2	23	4	3	2	0	70
OG0000427	3	5	1	2	6	2	2	6	17	6	5	15	70
