Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	AH012493-RA, AH010288-RA, AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA, AH010098-RA, AH010095-RA, AH010094-RA, AH009973-RA, AH019482-RA, AH009954-RA, AH012021-RA, AH019650-RA, AH010101-RA, AH010287-RA, AH009956-RA, AH008142-RA, AH008143-RA, AH011166-RA, AH008141-RA
OG0000027	Aqcoe3G094300.1.p	AH002791-RA
OG0000027	Aqcoe3G269300.1.p	AH009374-RA
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA, AH020918-RA, AH013996-RA, AH019532-RA, AH010516-RA
OG0000029	Aqcoe5G413000.1.p, Aqcoe5G413200.1.p	AH007429-RA, AH007431-RA
OG0000029	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p	AH006237-RA, AH006362-RA, AH006364-RA, AH006348-RA, AH006238-RA, AH006356-RA, AH006346-RA, AH006351-RA, AH006355-RA, AH006357-RA, AH010825-RA, AH006239-RA, AH006350-RA, AH011168-RA
OG0000030	Aqcoe6G194100.1.p	AH004946-RA, AH004294-RA
OG0000030	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p	AH016837-RA, AH023677-RA, AH023678-RA, AH002346-RA
OG0000030	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p	AH004951-RA, AH004295-RA
OG0000031	Aqcoe1G289700.1.p	AH010117-RA
OG0000031	Aqcoe6G125600.1.p	AH005774-RA
OG0000032	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA
OG0000034	Aqcoe6G280300.1.p	AH018551-RA
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p, Aqcoe1G366600.1.p, Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p	AH015068-RA
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA, AH022157-RA, AH022156-RA
OG0000038	Aqcoe3G139600.1.p	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	AH010353-RA, AH001516-RA
OG0000041	Aqcoe2G279000.1.p	AH002675-RA, AH017708-RA
OG0000042	Aqcoe3G112800.2.p	AH016437-RA
OG0000042	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	Aqcoe4G017600.1.p, Aqcoe6G300600.1.p	AH015073-RA, AH010383-RA
OG0000043	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p	AH015480-RA, AH006791-RA
OG0000043	Aqcoe5G363300.1.p	AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA
OG0000044	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p	AH003991-RA
OG0000044	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p	AH013313-RA
OG0000044	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p	AH001378-RA
OG0000044	Aqcoe2G353000.1.p	AH002596-RA, AH017804-RA
OG0000046	Aqcoe7G176700.1.p	AH020861-RA
OG0000046	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p	AH005447-RA, AH004082-RA
OG0000046	Aqcoe2G156400.1.p	AH003338-RA, AH002087-RA, AH000466-RA
OG0000047	Aqcoe6G058700.1.p	AH003569-RA
OG0000047	Aqcoe7G259200.1.p	AH008841-RA, AH000830-RA, AH000718-RA, AH011231-RA, AH020493-RA, AH010621-RA
OG0000047	Aqcoe3G373700.1.p	AH017470-RA
OG0000047	Aqcoe3G065700.1.p	AH016591-RA
OG0000048	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA
OG0000050	Aqcoe4G238500.1.p	AH022759-RA, AH008317-RA, AH007098-RA, AH022595-RA, AH016877-RA, AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA, AH006481-RA, AH015550-RA, AH022273-RA
OG0000055	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p	AH005218-RA, AH004572-RA
OG0000055	Aqcoe5G081700.1.p	AH007027-RA
OG0000055	Aqcoe2G168800.1.p	AH013063-RA
OG0000056	Aqcoe3G310900.1.p, Aqcoe2G362400.1.p, Aqcoe3G306700.1.p, Aqcoe3G293600.1.p, Aqcoe3G290400.1.p, Aqcoe3G306100.1.p, Aqcoe5G183300.1.p	AH023488-RA, AH010523-RA
OG0000056	Aqcoe5G341000.1.p	AH006697-RA, AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA, AH021732-RA, AH012484-RA, AH021731-RA, AH012482-RA
OG0000058	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p	AH016699-RA, AH013757-RA, AH016050-RA, AH012624-RA
OG0000059	Aqcoe5G413100.1.p	AH011171-RA
OG0000063	Aqcoe4G036500.1.p	AH001425-RA, AH001424-RA
OG0000063	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000065	Aqcoe5G008600.1.p, Aqcoe5G008500.1.p, Aqcoe5G061000.1.p, Aqcoe7G402900.1.p, Aqcoe7G402800.1.p	AH020229-RA, AH020228-RA, AH013022-RA
OG0000067	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p	AH001311-RA, AH020385-RA, AH006767-RA, AH020386-RA
OG0000070	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p	AH004919-RA, AH004504-RA, AH022950-RA
OG0000071	Aqcoe3G135100.1.p	AH022369-RA, AH013559-RA
OG0000071	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p	AH020129-RA
OG0000071	Aqcoe2G390800.1.p	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Aqcoe5G006300.1.p	AH013047-RA
OG0000072	Aqcoe6G077500.1.p	AH003759-RA, AH005866-RA
OG0000072	Aqcoe1G247500.1.p	AH008035-RA
OG0000077	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p	AH000842-RA
OG0000077	Aqcoe2G031900.1.p, Aqcoe2G031800.1.p	AH019349-RA
OG0000077	Aqcoe1G007000.1.p, Aqcoe1G007200.1.p, Aqcoe1G007200.2.p, Aqcoe6G314700.1.p	AH007662-RA, AH007663-RA
OG0000079	Aqcoe1G370000.1.p, Aqcoe1G370200.1.p, Aqcoe1G371200.1.p, Aqcoe1G371100.1.p, Aqcoe1G371000.1.p	AH015194-RA
OG0000079	Aqcoe1G370800.1.p, Aqcoe4G238800.1.p	AH008309-RA
OG0000085	Aqcoe7G428500.1.p	AH014594-RA, AH021106-RA
OG0000085	Aqcoe2G069700.1.p	AH021680-RA
OG0000085	Aqcoe7G239100.1.p	AH015892-RA, AH017005-RA
OG0000085	Aqcoe5G241700.1.p	AH018522-RA
OG0000087	Aqcoe1G041400.1.p, Aqcoe2G039200.1.p	AH006703-RA, AH020455-RA
OG0000087	Aqcoe3G311200.1.p	AH017338-RA
OG0000088	Aqcoe1G425600.1.p	AH007982-RA
OG0000089	Aqcoe7G202700.8.p, Aqcoe7G202700.9.p, Aqcoe7G202700.10.p, Aqcoe7G202700.4.p, Aqcoe7G202700.3.p, Aqcoe7G202700.5.p, Aqcoe7G202700.1.p, Aqcoe7G202700.2.p, Aqcoe3G215000.1.p, Aqcoe7G202900.1.p, Aqcoe7G202400.1.p, Aqcoe7G202400.2.p, Aqcoe7G202600.1.p, Aqcoe7G202600.2.p, Aqcoe1G185700.1.p	AH002040-RA
OG0000089	Aqcoe7G202300.2.p, Aqcoe7G202300.1.p, Aqcoe7G202200.1.p	AH019224-RA, AH019223-RA, AH014168-RA
OG0000090	Aqcoe5G263600.3.p, Aqcoe5G263600.1.p, Aqcoe5G263600.2.p	AH003790-RA, AH010641-RA
OG0000091	Aqcoe1G208000.1.p	AH020558-RA, AH020560-RA
OG0000091	Aqcoe6G159700.1.p, Aqcoe6G159600.1.p, Aqcoe6G232900.1.p, Aqcoe6G232700.1.p	AH021178-RA, AH000644-RA, AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	Aqcoe4G221400.1.p, Aqcoe1G272600.1.p, Aqcoe1G317600.1.p, Aqcoe1G317400.1.p	AH002167-RA, AH006375-RA, AH010573-RA, AH012303-RA, AH016633-RA, AH021997-RA, AH012260-RA
OG0000093	Aqcoe7G301000.1.p, Aqcoe7G300700.1.p, Aqcoe0021s0001.1.p, Aqcoe7G295300.1.p, Aqcoe7G301400.1.p, Aqcoe7G300100.2.p, Aqcoe7G300100.1.p, Aqcoe7G300000.1.p	AH013659-RA, AH010915-RA, AH007680-RA, AH007681-RA
OG0000095	Aqcoe6G022200.2.p, Aqcoe6G022200.3.p, Aqcoe6G022200.4.p, Aqcoe6G022200.1.p, Aqcoe7G165300.4.p, Aqcoe7G165300.1.p, Aqcoe7G165300.3.p, Aqcoe7G165300.2.p, Aqcoe7G165300.5.p, Aqcoe7G165300.7.p, Aqcoe7G165300.6.p	AH013260-RA, AH006304-RA, AH010162-RA
OG0000096	Aqcoe4G273300.1.p, Aqcoe7G439300.1.p, Aqcoe4G135000.1.p, Aqcoe4G135100.1.p	AH005894-RA, AH001835-RA
OG0000097	Aqcoe3G278900.1.p	AH017957-RA
OG0000097	Aqcoe1G102600.1.p	AH006658-RA
OG0000098	Aqcoe5G210900.1.p	AH016758-RA
OG0000098	Aqcoe5G427300.1.p	AH003177-RA
OG0000099	Aqcoe6G049600.1.p, Aqcoe6G049500.1.p, Aqcoe6G049400.1.p, Aqcoe6G049300.1.p	AH005801-RA, AH005806-RA, AH005677-RA, AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA, AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA
OG0000101	Aqcoe3G302000.1.p	AH019269-RA
OG0000102	Aqcoe1G229600.2.p, Aqcoe1G229600.1.p, Aqcoe1G229500.1.p, Aqcoe1G144900.1.p, Aqcoe2G016700.1.p, Aqcoe7G350300.1.p, Aqcoe2G016600.1.p	AH010958-RA, AH012445-RA, AH021394-RA
OG0000103	Aqcoe7G153000.2.p, Aqcoe7G153000.1.p, Aqcoe7G153000.3.p, Aqcoe7G153000.4.p, Aqcoe1G314500.1.p, Aqcoe2G098400.1.p, Aqcoe2G098400.3.p, Aqcoe2G098400.2.p	AH010272-RA, AH008021-RA, AH015077-RA
OG0000104	Aqcoe1G436200.1.p	AH021778-RA, AH012562-RA
OG0000104	Aqcoe1G436600.1.p	AH012563-RA
OG0000104	Aqcoe2G117900.1.p	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	Aqcoe3G145000.1.p, Aqcoe5G400800.1.p	AH005316-RA
OG0000105	Aqcoe4G304500.1.p, Aqcoe4G304500.2.p	AH021428-RA, AH014857-RA
OG0000105	Aqcoe2G131100.1.p, Aqcoe1G452500.2.p, Aqcoe1G452500.1.p	AH012640-RA, AH021838-RA, AH013279-RA
OG0000106	Aqcoe6G197100.1.p	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Aqcoe3G024000.1.p, Aqcoe2G152900.1.p	AH004190-RA, AH005485-RA
OG0000107	Aqcoe2G153000.12.p, Aqcoe2G153000.13.p, Aqcoe2G153000.5.p, Aqcoe2G153000.3.p, Aqcoe2G153000.1.p, Aqcoe2G153000.8.p, Aqcoe2G153000.6.p, Aqcoe2G153000.2.p, Aqcoe2G153000.4.p, Aqcoe2G153000.7.p, Aqcoe2G153000.10.p, Aqcoe2G153000.11.p, Aqcoe2G153000.9.p, Aqcoe3G024100.2.p, Aqcoe3G024100.8.p, Aqcoe3G024100.3.p, Aqcoe3G024100.5.p, Aqcoe3G024100.1.p, Aqcoe3G024100.7.p, Aqcoe3G024100.6.p, Aqcoe3G024100.9.p, Aqcoe3G024100.4.p	AH001713-RA
OG0000108	Aqcoe2G248100.2.p, Aqcoe2G248100.1.p, Aqcoe2G248100.3.p, Aqcoe2G248100.4.p, Aqcoe4G098900.1.p, Aqcoe1G248700.2.p, Aqcoe1G248700.3.p, Aqcoe1G248700.1.p, Aqcoe1G248900.1.p, Aqcoe1G248900.2.p, Aqcoe2G248000.1.p, Aqcoe4G162600.1.p, Aqcoe4G162600.2.p, Aqcoe1G107000.1.p	AH010687-RA, AH001829-RA
OG0000108	Aqcoe4G017400.3.p, Aqcoe4G017400.2.p, Aqcoe4G017400.1.p, Aqcoe4G017300.1.p	AH012760-RA, AH014759-RA
OG0000109	Aqcoe6G247900.1.p, Aqcoe6G247900.2.p	AH001741-RA
OG0000109	Aqcoe5G178000.1.p, Aqcoe5G178000.2.p	AH003764-RA, AH008949-RA
OG0000112	Aqcoe7G228400.1.p	AH015488-RA
OG0000112	Aqcoe2G195100.1.p, Aqcoe2G190800.1.p	AH015562-RA
OG0000113	Aqcoe6G315000.1.p	AH016269-RA, AH023225-RA
OG0000113	Aqcoe7G080200.1.p	AH023633-RA
OG0000113	Aqcoe5G161300.1.p	AH018586-RA
OG0000113	Aqcoe7G077900.1.p	AH003200-RA
OG0000114	Aqcoe1G244900.2.p, Aqcoe1G244900.5.p, Aqcoe1G244900.1.p, Aqcoe1G244900.3.p, Aqcoe1G244900.4.p, Aqcoe1G272500.1.p, Aqcoe1G272500.3.p, Aqcoe1G272500.2.p, Aqcoe4G031600.1.p, Aqcoe4G031600.2.p, Aqcoe4G031600.3.p, Aqcoe1G245000.3.p, Aqcoe1G245000.4.p, Aqcoe1G245000.2.p, Aqcoe1G245000.1.p	AH015161-RA
OG0000115	Aqcoe5G137100.1.p	AH002718-RA, AH002719-RA
OG0000115	Aqcoe5G137500.1.p	AH011596-RA
OG0000115	Aqcoe5G136900.1.p, Aqcoe5G137000.1.p, Aqcoe5G136700.1.p, Aqcoe5G137300.1.p, Aqcoe5G137400.1.p	AH021864-RA, AH006630-RA
OG0000115	Aqcoe5G136400.2.p, Aqcoe5G136400.1.p, Aqcoe5G136500.1.p	AH011595-RA
OG0000116	Aqcoe1G480100.1.p, Aqcoe7G321900.1.p	AH006915-RA
OG0000116	Aqcoe7G408800.1.p, Aqcoe7G324500.1.p, Aqcoe1G451600.1.p	AH022502-RA
OG0000117	Aqcoe1G501500.1.p	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	Aqcoe7G258200.1.p	AH022107-RA
OG0000118	Aqcoe5G212800.1.p, Aqcoe6G221500.1.p	AH006465-RA
OG0000119	Aqcoe5G401000.1.p, Aqcoe2G359600.1.p, Aqcoe4G152700.1.p, Aqcoe4G139900.1.p, Aqcoe4G140200.1.p, Aqcoe2G358000.1.p, Aqcoe2G358100.1.p, Aqcoe2G357900.1.p, Aqcoe4G278600.1.p	AH021449-RA, AH017345-RA, AH002923-RA
OG0000120	Aqcoe2G011200.1.p, Aqcoe1G018900.1.p	AH020337-RA, AH006837-RA
OG0000120	Aqcoe1G020800.1.p, Aqcoe1G020800.2.p	AH020344-RA
OG0000120	Aqcoe7G036400.1.p	AH018632-RA
OG0000121	Aqcoe1G068600.1.p	AH010321-RA, AH003861-RA
OG0000121	Aqcoe1G069000.4.p, Aqcoe1G069000.1.p, Aqcoe1G069000.2.p, Aqcoe1G069000.5.p, Aqcoe1G069000.6.p, Aqcoe1G069000.7.p, Aqcoe1G069000.3.p, Aqcoe1G068800.1.p, Aqcoe1G069100.1.p	AH022634-RA
OG0000121	Aqcoe1G069200.2.p, Aqcoe1G069200.4.p, Aqcoe1G069200.3.p, Aqcoe1G069200.1.p, Aqcoe1G069400.1.p, Aqcoe1G069400.2.p	AH010322-RA, AH013867-RA
OG0000122	Aqcoe2G193600.1.p, Aqcoe2G187900.1.p, Aqcoe7G230600.1.p, Aqcoe6G262300.1.p	AH015608-RA
OG0000123	Aqcoe5G334300.1.p	AH004264-RA, AH005234-RA
OG0000124	Aqcoe6G146500.2.p, Aqcoe6G146500.1.p, Aqcoe4G288300.1.p, Aqcoe6G145700.1.p, Aqcoe6G146400.1.p, Aqcoe6G152400.1.p	AH001904-RA, AH001376-RA, AH019891-RA, AH004745-RA, AH000628-RA
OG0000124	Aqcoe5G156300.1.p	AH015148-RA
OG0000125	Aqcoe2G321200.1.p	AH012890-RA
OG0000125	Aqcoe2G321300.1.p	AH010561-RA
OG0000127	Aqcoe2G313000.1.p	AH010397-RA, AH022171-RA, AH012869-RA
OG0000127	Aqcoe3G159400.1.p, Aqcoe5G345400.2.p, Aqcoe5G345400.1.p	AH002969-RA, AH017357-RA, AH017358-RA, AH002968-RA
OG0000129	Aqcoe7G330100.1.p	AH019248-RA
OG0000129	Aqcoe0018s0008.3.p, Aqcoe0018s0008.1.p, Aqcoe0018s0008.2.p, Aqcoe0018s0007.1.p, Aqcoe1G239100.1.p, Aqcoe1G239100.2.p, Aqcoe7G330700.1.p, Aqcoe0018s0003.3.p, Aqcoe0018s0003.2.p, Aqcoe0018s0003.1.p, Aqcoe7G330300.1.p, Aqcoe7G330300.2.p, Aqcoe7G330000.1.p, Aqcoe4G109900.1.p, Aqcoe4G109600.1.p, Aqcoe7G256400.1.p, Aqcoe4G123000.1.p, Aqcoe7G256300.1.p	AH019249-RA
